"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","位置","所在地","地図","城郭構造","築城主","築城年","遺構","指定文化財","廃城年","天守構造","主な城主","別名","主な改修者","文化財","築造時期","史跡","創建年","再建造物","規模"
"大谷磨崖仏","[大谷磨崖仏] 大谷磨崖仏 （おおやまがいぶつ）は、 栃木県 宇都宮市 大谷にある 磨崖仏 である。 千手観音 像、伝 釈迦三尊 像、伝 薬師三尊 像、伝 阿弥陀三尊 像の4組10体の石心 塑像 が4区に分かれて彫出されている。このうち千手観音像は、現在 大谷寺 の本尊である。","https://ja.wikipedia.org/wiki/大谷磨崖仏","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯36度35分46.3秒 東経139度49分16.9秒","","","","","","","","","","","","","","","","","","",""
"大湯環状列石","[大湯環状列石] 大湯環状列石 （おおゆかんじょうれっせき）は、 秋田県 鹿角市 十和田大湯 にある 縄文時代 後期の大型の 配石 遺跡。国の 特別史跡 に指定されている。環状石籬（かんじょうせきり）や ストーンサークル とも呼ばれる。","https://ja.wikipedia.org/wiki/大湯環状列石","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯40度16分18.0秒 東経140度48分14.0秒","","","","","","","","","","","","","","","","","","",""
"加曽利貝塚","[加曽利貝塚] 加曽利貝塚 （かそりかいづか）は、 千葉県 千葉市 若葉区 桜木8丁目にある 縄文時代 の 貝塚 および 環状集落 の 遺跡 である。日本最大級の貝塚であり、学史上でも著名な 標式遺跡 としても知られる。 1971年 （ 昭和 46年）に北貝塚が、 1977年 （昭和52年）に南貝塚が国の 史跡 に指定され、 2017年 （ 平成 29年）に国の 特別史跡 に指定された。北貝塚のE地点の 土器 は、縄文中期後半の 加曽利E式 、南貝塚のB地点の土器は、縄文後期後半の 加曽利B式 として 編年 の指標となる土器と位置づけられている。","https://ja.wikipedia.org/wiki/加曽利貝塚","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯35度37分24秒東経140度9分53秒","","千葉県千葉市若葉区桜木8丁目","","","","","","","","","","","","","","","","",""
"金井沢碑","[金井沢碑] 金井沢碑 （かないざわひ   、かないざわのひ  ）は、 群馬県 高崎市 山名町にある古碑であり、国の 特別史跡 に指定されている。 山ノ上碑 、 多胡碑 とともに「 上野三碑 」  と称される。","https://ja.wikipedia.org/wiki/金井沢碑","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯36度17分8.36秒 東経139度0分58.27秒","","","","","","","","","","","","","","","","","","",""
"金田城","[金田城] 金田城 （かねだじょう/かなたのき/かねたのき）は、 対馬国 下県郡 の城山（じょうやま、現在の 長崎県 対馬市 美津島町黒瀬）にあった 日本 の 古代山城 （分類は 朝鮮式山城 ）。城跡は国の 特別史跡 に指定されている。","https://ja.wikipedia.org/wiki/金田城","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯34度18分4.88秒東経129度16分23.67秒","北緯34度18分4.88秒東経129度16分23.67秒﻿ / ﻿北緯34.3013556度 東経129.2732417度﻿ /34.3013556; 129.2732417座標:北緯34度18分4.88秒東経129度16分23.67秒﻿ / ﻿北緯34.3013556度 東経129.2732417度﻿ /34.3013556; 129.2732417","","金田城","古代山城（朝鮮式山城）","大和朝廷","天智天皇6年（667年）","城門・水門・石塁・土塁・建物跡","国の特別史跡「金田城跡」","不明","","","","","","","","","",""
"観自在王院跡","[観自在王院跡] 観自在王院跡 （かんじざいおういんあと）とは、 岩手県 の 平泉 に 藤原基衡 の妻  が建設した寺院跡。","https://ja.wikipedia.org/wiki/観自在王院跡","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯38度59分17秒 東経141度6分37秒","","","","","","","","","","","","","","","","","","",""
"基肄城","[基肄城] 基肄城 （きいじょう / きいのき、 椽城 ）は、 福岡県 筑紫野市 と 佐賀県 三養基郡 基山町 にまたがる 基山 （きざん）に築かれた  、 日本 の 古代山城 である。城跡は、1954年（昭和29年）3月20日、国の 特別史跡 「基肄（椽）城跡」に指定されている  。","https://ja.wikipedia.org/wiki/基肄城","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯33度26分42秒東経130度30分47秒","北緯33度26分42秒東経130度30分47秒﻿ / ﻿北緯33.44500度 東経130.51306度﻿ /33.44500; 130.51306﻿ (基肄城)座標:北緯33度26分42秒東経130度30分47秒﻿ / ﻿北緯33.44500度 東経130.51306度﻿ /33.44500; 130.51306﻿ (基肄城)","","基肄城","古代山城","大和朝廷","天智天皇4年（665年）","土塁・石塁・城門・水門・礎石","国の特別史跡「基肄（椽）城跡」","不明","","","","","","","","","",""
"キトラ古墳","[キトラ古墳] キトラ古墳 （キトラこふん）は、 奈良県 高市郡 明日香村 の南西部、阿部山に築かれた 古墳 。国の 特別史跡 。 亀虎古墳 とも書く。墳丘にある石室内に 壁画 が発見され 高松塚古墳 と共に保存事業が進められている。","https://ja.wikipedia.org/wiki/キトラ古墳","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯34度27分05秒東経135度48分19秒","北緯34度27分05秒東経135度48分19秒﻿ / ﻿北緯34.45125度 東経135.805278度﻿ /34.45125; 135.805278﻿ (キトラ古墳)座標:北緯34度27分05秒東経135度48分19秒﻿ / ﻿北緯34.45125度 東経135.805278度﻿ /34.45125; 135.805278﻿ (キトラ古墳)","奈良県高市郡明日香村","","","","","","","","","","","","","7世紀から8世紀","特別史跡","","","上段直径9.4m高さ2.4m下段直径13.8m高さ90cm"
"百済寺 (枚方市)","[百済寺 (枚方市)] 百済寺 （くだらじ）は、 大阪府 枚方市 にかつてあった寺。天平勝宝2年（750年）頃に 百済王敬福 （くだらのこにきしきょうふく）によって建立されたと言われている。1941年1月27日に国の 史跡 に指定され、更に昭和27年（1952年）3月29日に 特別史跡 に指定された。その後1965-1967年に史跡公園としての整備が行われた  。これは全国初とされる  。1973年10月、「百済寺跡の松風」として 枚方八景 の一つに選ばれた。","https://ja.wikipedia.org/wiki/百済寺_(枚方市)","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯34度48分55.1秒 東経135度39分39.8秒","","日本大阪府枚方市中宮西之町","","","","","","","","","","","","","","","","",""
"熊本城","[熊本城] 熊本城 （くまもとじょう）は、 肥後国 飽田郡 熊本  （現在の 熊本県 熊本市 中央区 ）に築かれた 安土桃山時代 から 江戸時代 の 日本の城 。別名「銀杏城（ぎんなんじょう）」  。","https://ja.wikipedia.org/wiki/熊本城","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯32度48分21.7秒東経130度42分21.23秒","北緯32度48分21.7秒東経130度42分21.23秒﻿ / ﻿北緯32.806028度 東経130.7058972度﻿ /32.806028; 130.7058972﻿ (熊本城)座標:北緯32度48分21.7秒東経130度42分21.23秒﻿ / ﻿北緯32.806028度 東経130.7058972度﻿ /32.806028; 130.7058972﻿ (熊本城)","","熊本城熊本市の地図を表示熊本城熊本県の地図を表示熊本城日本の地図を表示","梯郭式平山城","出田秀信（千葉城）、鹿子木親員（隈本城）","1469年–1487年頃","櫓・門・塀、石垣、堀","国の重要文化財:櫓11棟、門1棟、塀1棟国の特別史跡:熊本城跡","1874年","連結式望楼型3重6階地下1階（非現存・1600年築）外観復元（RC造1960年再）","加藤氏、細川氏","千葉城（出田氏）、六実城、隈本城（鹿子木氏、菊池氏、城氏、佐々氏、加藤氏半国期）、銀杏城","加藤清正","","","","","外観復元:大小天守、平櫓木造復元:西大手門、数奇屋丸二階広間、南大手門、西出丸戌亥櫓、未申櫓、元太鼓櫓、飯田丸五階櫓、馬具櫓、本丸御殿大広間",""
"玄宮園","[玄宮園] 玄宮園 （げんきゅうえん）は、 滋賀県 彦根市 にある旧 大名庭園 。国の 特別史跡 「 彦根城跡 」の区域、および隣接する 楽々園 とともに「 玄宮楽々園 」として国の 名勝 に指定されている。 2015年 （平成27年） 4月24日 、「琵琶湖とその水辺景観－ 祈りと暮らしの水遺産 」の構成文化財として 日本遺産 に認定される  。","https://ja.wikipedia.org/wiki/玄宮園","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯35度16分43秒 東経136度15分12秒","","","","","","","","","","","","","","","","","","",""
"小石川後楽園","[小石川後楽園] 小石川後楽園 （こいしかわこうらくえん）は、 東京都 文京区 後楽 一丁目にある 都立庭園 。 江戸時代 初期に 水戸徳川家 の 江戸 上屋敷内につくられた築山泉水回遊式の 日本庭園 （ 大名庭園 ）である。国の 特別史跡 及び 特別名勝 に指定されている  。","https://ja.wikipedia.org/wiki/小石川後楽園","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯35度42分18.4秒東経139度44分59.6秒","","日本東京都文京区後楽一丁目","","","","","","","","","","","","","","","","",""
"弘道館","[弘道館] 弘道館 （こうどうかん）は、 江戸時代 後期に 日本 の 常陸国 水戸藩 に作られた 藩校 。所在地は、 茨城県 水戸市 三の丸1丁目6番内。","https://ja.wikipedia.org/wiki/弘道館","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯36度22分31.08秒 東経140度28分37.2秒","","","","","","","","","","","","","","","","","","",""
"五稜郭","[五稜郭] 五稜郭 （ごりょうかく）は、 江戸時代 末期に 江戸幕府 が 蝦夷地 の 箱館 （現在の 北海道 函館市 ）郊外に築造した 稜堡式 の 城郭 である  。","https://ja.wikipedia.org/wiki/五稜郭","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯41度47分48.84秒東経140度45分25.06秒","北緯41度47分48.84秒東経140度45分25.06秒﻿ / ﻿北緯41.7969000度 東経140.7569611度﻿ /41.7969000; 140.7569611﻿ (五稜郭)座標:北緯41度47分48.84秒東経140度45分25.06秒﻿ / ﻿北緯41.7969000度 東経140.7569611度﻿ /41.7969000; 140.7569611﻿ (五稜郭)","","五稜郭","稜堡式","江戸幕府","1866年","土塁、石垣、堀、兵糧庫","特別史跡","1869年","なし","なし","亀田（御）役所土塁、柳野城","なし","","","","","奉行所、板庫、土蔵",""
"西都原古墳群","[西都原古墳群] 西都原古墳群 （さいとばるこふんぐん）は、 宮崎県 西都市 三宅・童子丸・右松にある 古墳群 。国の 特別史跡 に指定されている。","https://ja.wikipedia.org/wiki/西都原古墳群","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯32度7分4秒 東経131度23分22秒","","宮崎県西都市大字三宅ほか","西都原古墳群","","","","","","","","","","","","4世紀初頭～7世紀前半","国の特別史跡「西都原古墳群」","","","高塚墳311基（前方後円墳31基、方墳1基、円墳279基）"
"斎尾廃寺跡","[斎尾廃寺跡] 斎尾廃寺跡 （さいのおはいじあと）は、 鳥取県 東伯郡 琴浦町 槻下にある 飛鳥時代 後期から 奈良時代 の寺院跡。国の 特別史跡 に指定  されている。","https://ja.wikipedia.org/wiki/斎尾廃寺跡","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯35度28分53.4秒 東経133度42分41.4秒","","","","","","","","","","","","","","","","","","",""
"埼玉古墳群","[埼玉古墳群] 埼玉古墳群 （さきたまこふんぐん）は、 埼玉県 行田市 にある、9基の大型 古墳 からなる 古墳群 。国の 特別史跡 に指定されている。「埼玉古墳群 - 古代東アジア古墳文化の終着点 -」として 世界遺産 への登録を推進している  。","https://ja.wikipedia.org/wiki/埼玉古墳群","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯36度07分42秒東経139度28分46秒","北緯36度07分42秒東経139度28分46秒﻿ / ﻿北緯36.12833度 東経139.47944度﻿ /36.12833; 139.47944","埼玉県行田市大字埼玉ほか","埼玉古墳群","","","","","","","","","","","","5世紀末から7世紀","国の特別史跡","","","前方後円墳8基・円墳1基（現状）"
"讃岐国分寺跡","[讃岐国分寺跡] 讃岐国分寺 （さぬきこくぶんじ）は、 香川県 高松市 国分寺町国分にある 真言宗御室派 の 寺院 。 四国八十八箇所 霊場 の第八十番 札所 。札所寺院としては単に「 國分寺  」と称するのが通例である。","https://ja.wikipedia.org/wiki/讃岐国分寺跡","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯34度18分11.3秒東経133度56分39秒","北緯34度18分11.3秒東経133度56分39秒﻿ / ﻿北緯34.303139度 東経133.94417度﻿ /34.303139; 133.94417﻿ (国分寺)座標:北緯34度18分11.3秒東経133度56分39秒﻿ / ﻿北緯34.303139度 東経133.94417度﻿ /34.303139; 133.94417﻿ (国分寺)","香川県高松市国分寺町国分字上所2065番地","","","","","","","","","","","","本堂、銅鐘、木造千手観音立像（国の重要文化財）讃岐国分寺跡（国の特別史跡）","","","天平勝宝8年（756年）以前","",""
"三内丸山遺跡","[三内丸山遺跡] 三内丸山遺跡 （さんないまるやまいせき）は、 青森県 青森市 大字三内字丸山にある、 縄文時代 前期中頃から中期末葉（約5900-4200年前  ）の大規模集落跡。 沖館川 右岸の 河岸段丘 上に立地する。 1997年 3月5日  、国の 特別史跡 に指定。遺跡には住居群、倉庫群のほか、シンボル的な3層の 掘立柱建物 が再現されており、資料や出土品の展示施設「 縄文時遊館 」もある  。青森県 教育庁 文化財保護課三内丸山遺跡保存活用推進室が 発掘調査 を行っている。","https://ja.wikipedia.org/wiki/三内丸山遺跡","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯40度48分41秒東経140度41分48秒","","青森県青森市大字三内字丸山","","","","","","","","","","","","","","","","",""
"三宝院","[三宝院] 三宝院 （さんぼういん）は、 京都市 伏見区 醍醐 にある寺院。 真言宗醍醐派 総本山 醍醐寺 の 塔頭 、大本山、 門跡 寺院である。また、真言宗系の 修験道 当山派 を統括する 本山 であった（現在は修験道当山派なる宗教法人はない）。三宝院門跡は、醍醐寺座主を兼ね、真言宗醍醐派管長の猊座にある。","https://ja.wikipedia.org/wiki/三宝院","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯34度57分8.2秒 東経135度49分10秒","","","","","","","","","","","","","","","","","","",""
"慈照寺","[慈照寺] 慈照寺 （じしょうじ）は、 京都市 左京区 銀閣寺町にある 臨済宗 相国寺派 の 寺院 。 相国寺 の境外 塔頭 である。観音殿（銀閣）から 銀閣寺 （ぎんかくじ）として知られている。正式には、東山慈照禅寺（とうざんじしょうぜんじ）と号する。 山号 は 東山 （とうざん）。 開基 （創立者）は 足利義政 、 開山 は 夢窓疎石 とされているが、夢窓疎石は実際には当寺創建より1世紀ほど前の人物であり、勧請開山である。","https://ja.wikipedia.org/wiki/慈照寺","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯35度1分36.75秒東経135度47分53.7秒","北緯35度1分36.75秒東経135度47分53.7秒﻿ / ﻿北緯35.0268750度 東経135.798250度﻿ /35.0268750; 135.798250﻿ (慈照寺)座標:北緯35度1分36.75秒東経135度47分53.7秒﻿ / ﻿北緯35.0268750度 東経135.798250度﻿ /35.0268750; 135.798250﻿ (慈照寺)","京都府京都市左京区銀閣寺町2","","","","","","","","","","","","観音殿、東求堂（国宝）絹本著色春屋妙葩像（重要文化財）庭園（特別名勝、特別史跡）世界遺産","","","延徳2年（1490年）","",""
"閑谷学校","[閑谷学校] 閑谷学校 （しずたにがっこう）は、 江戸時代 前期に 岡山藩 によって開かれた庶民のための学校。所在地は 岡山県 備前市 閑谷。「旧閑谷学校」として 特別史跡 に指定され、講堂は 国宝 に指定されている。","https://ja.wikipedia.org/wiki/閑谷学校","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯34度47分47.0秒東経134度13分10.2秒","","岡山県備前市","","","","","","","","","","","","国宝（講堂）、重要文化財（聖廟・神社等）","","","","",""
"巣山古墳","[巣山古墳] 巣山古墳 （すやまこふん）は、 奈良県 北葛城郡 広陵町 三吉にある 古墳 。形状は 前方後円墳 。 馬見古墳群 （中央群）を構成する古墳の1つ。国の 特別史跡 に指定されている。","https://ja.wikipedia.org/wiki/巣山古墳","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯34度33分23秒東経135度44分27秒","北緯34度33分23秒東経135度44分27秒﻿ / ﻿北緯34.55639度 東経135.74083度﻿ /34.55639; 135.74083座標:北緯34度33分23秒東経135度44分27秒﻿ / ﻿北緯34.55639度 東経135.74083度﻿ /34.55639; 135.74083","奈良県北葛城郡広陵町大字三吉元斉音寺","巣山古墳","","","","","","","","","","","","4世紀末 -5世紀初頭","国の特別史跡「巣山古墳」","","","墳丘長204m（推定復原220m）"
