"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","ホーム","所在地","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","乗車人員,-統計年次-","Hidden","Hidden","Hidden","Hidden"
"古泉駅","古泉駅（こいずみえき・伊予鉄道郡中線）","https://ja.wikipedia.org/wiki/古泉駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯33度47分33.02秒東経132度43分1.3秒","郡中線","6.6 km（松山市起点）","伊予鉄道","地上駅","1967年3月9日","1面1線","愛媛県伊予郡松前町西古泉北緯33度47分33.02秒東経132度43分1.3秒﻿ / ﻿北緯33.7925056度 東経132.717028度﻿ /33.7925056; 132.717028﻿ (古泉駅)","","●IY30","","","2,346人/日-2019年-","","","","","","",""
"小泉町停留場","小泉町停留場（こいずみちょうていりゅうじょう・富山地方鉄道富山市内軌道線）","https://ja.wikipedia.org/wiki/小泉町停留場","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯36度40分42秒東経137度13分4.6秒","富山軌道線（本線）","1.0 km（南富山駅前起点）","富山地方鉄道","地上駅","1950年（昭和25年）5月15日","相対式2面2線","富山県富山市小泉町北緯36度40分42秒東経137度13分4.6秒﻿ / ﻿北緯36.67833度 東経137.217944度﻿ /36.67833; 137.217944﻿ (小泉町停留場)座標:北緯36度40分42秒東経137度13分4.6秒﻿ / ﻿北緯36.67833度 東経137.217944度﻿ /36.67833; 137.217944﻿ (小泉町停留場)","","C04","","","323[1]人/日-2019年-","","","","","","",""
"小泉町駅","小泉町駅（こいずみまちえき・東武小泉線）","https://ja.wikipedia.org/wiki/小泉町駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯36度15分41.39秒東経139度25分11.89秒","■小泉線","11.9 km（館林起点）","東武鉄道","地上駅","1917年（大正6年）3月12日","1面1線","群馬県邑楽郡大泉町城之内二丁目4-1北緯36度15分41.39秒東経139度25分11.89秒﻿ / ﻿北緯36.2614972度 東経139.4199694度﻿ /36.2614972; 139.4199694﻿ (小泉町駅)座標:北緯36度15分41.39秒東経139度25分11.89秒﻿ / ﻿北緯36.2614972度 東経139.4199694度﻿ /36.2614972; 139.4199694﻿ (小泉町駅)","簡易委託駅","TI45","コイ","","435人/日-2016年-","","","","","","",""
"小出駅","小出駅（こいでえき）","https://ja.wikipedia.org/wiki/小出駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯37度13分59.6秒東経138度57分13.0秒","■上越線","132.2 km（高崎起点）","東日本旅客鉄道（JR東日本）","地上駅","1923年（大正12年）9月1日","3面5線","新潟県魚沼市四日町1315北緯37度13分59.6秒東経138度57分13.0秒﻿ / ﻿北緯37.233222度 東経138.953611度﻿ /37.233222; 138.953611座標:北緯37度13分59.6秒東経138度57分13.0秒﻿ / ﻿北緯37.233222度 東経138.953611度﻿ /37.233222; 138.953611","業務委託駅みどりの窓口有","","コテ","814人/日（降車客含まず）-2019年-","","","","","","","",""
"五位堂駅","五位堂駅（ごいどうえき）","https://ja.wikipedia.org/wiki/五位堂駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯34度32分5.18秒東経135度43分5.32秒","D大阪線","27.1 km（大阪上本町起点）","近畿日本鉄道（近鉄）[1]","地上駅（橋上駅）","1927年（昭和2年）7月1日","2面4線","奈良県香芝市瓦口268[1]北緯34度32分5.18秒東経135度43分5.32秒﻿ / ﻿北緯34.5347722度 東経135.7181444度﻿ /34.5347722; 135.7181444座標:北緯34度32分5.18秒東経135度43分5.32秒﻿ / ﻿北緯34.5347722度 東経135.7181444度﻿ /34.5347722; 135.7181444",""," D23 ","コイ","14,298人/日（降車客含まず）-2018年-","","","","","","","",""
"五位野駅","五位野駅（ごいのえき）","https://ja.wikipedia.org/wiki/五位野駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯31度28分31.50秒東経130度30分14.08秒","指宿枕崎線","14.1 km（鹿児島中央起点）","九州旅客鉄道（JR九州）","地上駅","1930年（昭和5年）12月7日","2面2線","鹿児島県鹿児島市平川町895北緯31度28分31.50秒東経130度30分14.08秒","無人駅駅集中管理システム（Smart Support Station）採用[1]","","コイ","343人/日（降車客含まず）-2019年-","","","","","","","",""
"恋山形駅","恋山形駅（こいやまがたえき）","https://ja.wikipedia.org/wiki/恋山形駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度15分21.29秒東経134度16分45.06秒","智頭線","50.0 km（上郡起点）","智頭急行","地上駅","1994年（平成6年）12月3日","2面2線","鳥取県八頭郡智頭町大内159-3北緯35度15分21.29秒東経134度16分45.06秒﻿ / ﻿北緯35.2559139度 東経134.2791833度﻿ /35.2559139; 134.2791833座標:北緯35度15分21.29秒東経134度16分45.06秒﻿ / ﻿北緯35.2559139度 東経134.2791833度﻿ /35.2559139; 134.2791833","","","コイ","","5人/日-2018年-","","","","","","",""
"小岩駅","小岩駅（こいわえき）","https://ja.wikipedia.org/wiki/小岩駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度43分58.7秒東経139度52分54秒","■総武線（各駅停車）（正式には総武本線）","12.8 km（東京起点）千葉から26.4 km","東日本旅客鉄道（JR東日本）","高架駅","1899年（明治32年）5月24日[1]","1面2線","東京都江戸川区南小岩七丁目24-15北緯35度43分58.7秒東経139度52分54秒﻿ / ﻿北緯35.732972度 東経139.88167度﻿ /35.732972; 139.88167座標:北緯35度43分58.7秒東経139度52分54秒﻿ / ﻿北緯35.732972度 東経139.88167度﻿ /35.732972; 139.88167","みどりの窓口有東京都区内駅","JB26","コワ","66,125人/日（降車客含まず）-2019年-","","","","","","","",""
"小岩井駅","小岩井駅（こいわいえき）","https://ja.wikipedia.org/wiki/小岩井駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯39度42分35.49秒東経141度1分29.14秒","■田沢湖線","65.1 km（大曲起点）","東日本旅客鉄道（JR東日本）","地上駅","1921年（大正10年）6月25日","2面2線","岩手県滝沢市大釜風林19-2北緯39度42分35.49秒東経141度1分29.14秒﻿ / ﻿北緯39.7098583度 東経141.0247611度﻿ /39.7098583; 141.0247611座標:北緯39度42分35.49秒東経141度1分29.14秒﻿ / ﻿北緯39.7098583度 東経141.0247611度﻿ /39.7098583; 141.0247611","業務委託駅","","コイ←コヰ","428人/日（降車客含まず）-2019年-","","","","","","","",""
"小岩川駅","小岩川駅（こいわがわえき）","https://ja.wikipedia.org/wiki/小岩川駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯38度35分25.6秒東経139度33分57.3秒","■羽越本線","105.4 km（新津起点）","東日本旅客鉄道（JR東日本）","地上駅","1944年（昭和19年）12月11日","2面2線","山形県鶴岡市小岩川北緯38度35分25.6秒東経139度33分57.3秒座標:北緯38度35分25.6秒 東経139度33分57.3秒","無人駅（自動券売機 有）","","コイ","32人/日（降車客含まず）-2009年-","","","","","","","",""
"府中駅 (徳島県)","府中駅 (徳島県)（こうえき・四国旅客鉄道徳島線）","https://ja.wikipedia.org/wiki/府中駅_(徳島県)","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯34度4分26.88秒東経134度28分58.58秒","■徳島線","62.3 km（佃起点）","四国旅客鉄道（JR四国）","地上駅","1899年（明治32年）2月16日","2面2線","徳島県徳島市国府町府中254番地北緯34度4分26.88秒東経134度28分58.58秒﻿ / ﻿北緯34.0741333度 東経134.4829389度﻿ /34.0741333; 134.4829389座標:北緯34度4分26.88秒東経134度28分58.58秒﻿ / ﻿北緯34.0741333度 東経134.4829389度﻿ /34.0741333; 134.4829389","無人駅（自動券売機 有）","○B04","コウ","523人/日（降車客含まず）-2019年-","1,046人/日-2019年-","","","","","","",""
"国府駅 (愛知県)","国府駅 (愛知県)（こうえき・名古屋鉄道名古屋本線・豊川線）","https://ja.wikipedia.org/wiki/国府駅_(愛知県)","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯34度50分15秒東経137度19分41秒","名古屋本線","9.6 km（豊橋起点）","名古屋鉄道","地上駅（橋上駅）","1926年（大正15年）4月1日","島式 3面6線","愛知県豊川市久保町葉善寺35北緯34度50分15秒東経137度19分41秒﻿ / ﻿北緯34.83750度 東経137.32806度﻿ /34.83750; 137.32806座標:北緯34度50分15秒東経137度19分41秒﻿ / ﻿北緯34.83750度 東経137.32806度﻿ /34.83750; 137.32806","終日駅員配置* 名古屋本線名古屋方面への直通有","NH  04 ","","","10,321人/日-2019年[1]-","","","","","","",""
"広域公園前駅","広域公園前駅（こういきこうえんまええき）","https://ja.wikipedia.org/wiki/広域公園前駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯34度26分7.43秒東経132度24分0.43秒","広島新交通1号線","18.4 km（本通起点）","広島高速交通","高架駅","1994年（平成6年）8月20日[1]","1面2線","広島市安佐南区大塚西四丁目4-8北緯34度26分7.43秒東経132度24分0.43秒﻿ / ﻿北緯34.4353972度 東経132.4001194度﻿ /34.4353972; 132.4001194﻿ (広域公園前駅)座標:北緯34度26分7.43秒東経132度24分0.43秒﻿ / ﻿北緯34.4353972度 東経132.4001194度﻿ /34.4353972; 132.4001194﻿ (広域公園前駅)","直営駅[2]","","","1,521人/日（降車客含まず）-2018年-","3,129人/日-2018年-","","","","","","",""
"寒霞渓ロープウェイ","こううん駅","https://ja.wikipedia.org/wiki/寒霞渓ロープウェイ","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"公園駅","公園駅（こうえんえき）","https://ja.wikipedia.org/wiki/公園駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度43分51秒東経140度9分13.9秒","■ユーカリが丘線","1.1 km（ユーカリが丘起点）","山万","高架駅","1982年（昭和57年）11月2日[1]","島式 1面2線","千葉県佐倉市ユーカリが丘六丁目5-5北緯35度43分51秒東経140度9分13.9秒﻿ / ﻿北緯35.73083度 東経140.153861度﻿ /35.73083; 140.153861座標:北緯35度43分51秒東経140度9分13.9秒﻿ / ﻿北緯35.73083度 東経140.153861度﻿ /35.73083; 140.153861","*井野駅経由のキロ程。環状部と枝線部の結節駅","","","","","","","103人/日（降車客含まず）-2018年-","","","",""
"公園上駅","公園上駅（こうえんかみえき）","https://ja.wikipedia.org/wiki/公園上駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度14分56.7秒東経139度2分35.4秒","鋼索線（箱根登山ケーブルカー）","0.48 km（強羅起点）","箱根登山鉄道","地上駅","1921年（大正10年）12月1日","相対式 2面1線","神奈川県足柄下郡箱根町北緯35度14分56.7秒東経139度2分35.4秒﻿ / ﻿北緯35.249083度 東経139.043167度﻿ /35.249083; 139.043167座標:北緯35度14分56.7秒東経139度2分35.4秒﻿ / ﻿北緯35.249083度 東経139.043167度﻿ /35.249083; 139.043167","標高：611m[2]","OH59","","7人/日（降車客含まず）-2018年[1]-","89人/日-2018年[1]-","","","","","","",""
"高円寺駅","高円寺駅（こうえんじえき）","https://ja.wikipedia.org/wiki/高円寺駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度42分19.4秒東経139度38分59.5秒","■中央線（快速）*（正式には中央本線）","5.8 km（新宿起点）東京から16.1 km","東日本旅客鉄道（JR東日本）","高架駅","1922年（大正11年）7月15日","2面4線","東京都杉並区高円寺南四丁目48-2北緯35度42分19.4秒東経139度38分59.5秒座標:北緯35度42分19.4秒 東経139度38分59.5秒","みどりの窓口有東京都区内駅","JC07","カエ←カヱ","51,647人/日（降車客含まず）-2019年-","","","","","","","",""
"公園下駅","公園下駅（こうえんしもえき）","https://ja.wikipedia.org/wiki/公園下駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度14分59.8秒東経139度2分44.3秒","鋼索線（箱根登山ケーブルカー）","0.24 km（強羅起点）","箱根登山鉄道","地上駅","1921年（大正10年）12月1日","相対式 2面1線","神奈川県足柄下郡箱根町北緯35度14分59.8秒東経139度2分44.3秒﻿ / ﻿北緯35.249944度 東経139.045639度﻿ /35.249944; 139.045639座標:北緯35度14分59.8秒東経139度2分44.3秒﻿ / ﻿北緯35.249944度 東経139.045639度﻿ /35.249944; 139.045639","標高：574m[2]","OH58","","9人/日（降車客含まず）-2018年[1]-","61人/日-2018年[1]-","","","","","","",""
"公園西駅","公園西駅（こうえんにしえき）","https://ja.wikipedia.org/wiki/公園西駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度10分28秒東経137度4分37秒","■東部丘陵線（リニモ）","6.0 km（藤が丘起点）","愛知高速交通","高架駅","2005年（平成17年）3月6日[1]","1面2線","愛知県長久手市丸山北緯35度10分28秒東経137度4分37秒﻿ / ﻿北緯35.17444度 東経137.07694度﻿ /35.17444; 137.07694座標:北緯35度10分28秒東経137度4分37秒﻿ / ﻿北緯35.17444度 東経137.07694度﻿ /35.17444; 137.07694","シンボルマーク：","L06","","1,265人/日（降車客含まず）-2019年-","2,511人/日-2019年-","","","","","","",""
"公園東口駅","公園東口駅（こうえんひがしぐちえき）","https://ja.wikipedia.org/wiki/公園東口駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯34度48分39.20秒東経135度32分22.76秒","■彩都線","1.1 km（万博記念公園起点）","大阪モノレール","高架駅","1998年（平成10年）10月1日[1]","島式 1面2線","大阪府吹田市千里万博公園北緯34度48分39.20秒東経135度32分22.76秒﻿ / ﻿北緯34.8108889度 東経135.5396556度﻿ /34.8108889; 135.5396556座標:北緯34度48分39.20秒東経135度32分22.76秒﻿ / ﻿北緯34.8108889度 東経135.5396556度﻿ /34.8108889; 135.5396556",""," 51 ","","","","","1,538人/日-2019年-","","","","",""
"八幡山ロープウェー","公園前駅（こうえんまええき）","https://ja.wikipedia.org/wiki/八幡山ロープウェー","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"甲賀駅","甲賀駅（こうかえき）","https://ja.wikipedia.org/wiki/甲賀駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯34度54分4.81秒東経136度12分45.59秒","C草津線","7.4 km（柘植起点）","西日本旅客鉄道（JR西日本）","地上駅（橋上駅）","1904年（明治37年）3月1日","2面2線","滋賀県甲賀市甲賀町大原市場164北緯34度54分4.81秒東経136度12分45.59秒﻿ / ﻿北緯34.9013361度 東経136.2126639度﻿ /34.9013361; 136.2126639座標:北緯34度54分4.81秒東経136度12分45.59秒﻿ / ﻿北緯34.9013361度 東経136.2126639度﻿ /34.9013361; 136.2126639","簡易委託駅","","コカ","700人/日（降車客含まず）-2019年-","","","","","","","",""
"合格駅","合格駅（ごうかくえき）","https://ja.wikipedia.org/wiki/合格駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯34度50分43.66秒東経138度7分14.02秒","大井川本線","5.0 km（金谷起点）","大井川鐵道","地上駅","1927年（昭和2年）6月10日","島式 1面2線","静岡県島田市竹下字籾蒔島北緯34度50分43.66秒東経138度7分14.02秒﻿ / ﻿北緯34.8454611度 東経138.1205611度﻿ /34.8454611; 138.1205611座標:北緯34度50分43.66秒東経138度7分14.02秒﻿ / ﻿北緯34.8454611度 東経138.1205611度﻿ /34.8454611; 138.1205611","無人駅","","","20人/日（降車客含まず）-2019年-","42人/日-2019年-","","","","","","",""
"工学部前停留場","工学部前停留場（こうがくぶまえていりゅうじょう）","https://ja.wikipedia.org/wiki/工学部前停留場","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯31度34分6.09秒東経130度32分30.82秒","鹿児島市電唐湊線（2系統）","1.7km（鹿児島中央駅前起点）鹿児島駅前から4.6 km","鹿児島市交通局","地上駅","1957年3月29日","2面2線","鹿児島県鹿児島市郡元一丁目北緯31度34分6.09秒東経130度32分30.82秒﻿ / ﻿北緯31.5683583度 東経130.5418944度﻿ /31.5683583; 130.5418944﻿ (工学部前停留場)","","●N17","","","646人/日-2015年-","","","","","","",""
"広貫堂前停留場","広貫堂前停留場（こうかんどうまえていりゅうじょう）","https://ja.wikipedia.org/wiki/広貫堂前停留場","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯36度41分0.6秒東経137度12分57.4秒","富山軌道線（本線）","1.5 km（南富山駅前起点）","富山地方鉄道","地上駅","1913年（大正2年）9月1日","相対式2面2線","富山県富山市中野新町一丁目・二丁目北緯36度41分0.6秒東経137度12分57.4秒﻿ / ﻿北緯36.683500度 東経137.215944度﻿ /36.683500; 137.215944﻿ (広貫堂前停留場)","","C06","","","330[1]人/日-2019年-","","","","","","",""
"工機前駅","工機前駅（こうきまええき）","https://ja.wikipedia.org/wiki/工機前駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯36度23分18.04秒東経140度31分27.52秒","湊線","0.6 km（勝田起点）","ひたちなか海浜鉄道","地上駅","1962年（昭和37年）4月1日","1面1線","茨城県ひたちなか市武田字大塚前1092-15北緯36度23分18.04秒東経140度31分27.52秒﻿ / ﻿北緯36.3883444度 東経140.5243111度﻿ /36.3883444; 140.5243111﻿ (ひたちなか海浜鉄道湊線 日工前駅)座標:北緯36度23分18.04秒東経140度31分27.52秒﻿ / ﻿北緯36.3883444度 東経140.5243111度﻿ /36.3883444; 140.5243111﻿ (ひたちなか海浜鉄道湊線 日工前駅)","","","","","34[1]人/日-2019年-","","","","","","",""
"工業団地駅","工業団地駅（こうぎょうだんちえき）","https://ja.wikipedia.org/wiki/工業団地駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯32度57分23.43秒東経132度48分5.96秒","■宿毛線","14.7 km（中村起点）","土佐くろしお鉄道（TKT）","地上駅","1997年（平成9年）10月1日","1面1線","高知県宿毛市平田町戸内北緯32度57分23.43秒東経132度48分5.96秒","無人駅","○TK44","コキ","","33人/日-2018年-","","","","","","",""
"航空公園駅","航空公園駅（こうくうこうえんえき）","https://ja.wikipedia.org/wiki/航空公園駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度47分54.2秒東経139度27分56.5秒","■新宿線","30.5 km（西武新宿起点）","西武鉄道","地上駅（橋上駅）","1987年（昭和62年）5月28日","2面2線","埼玉県所沢市並木二丁目北緯35度47分54.2秒東経139度27分56.5秒﻿ / ﻿北緯35.798389度 東経139.465694度﻿ /35.798389; 139.465694座標:北緯35度47分54.2秒東経139度27分56.5秒﻿ / ﻿北緯35.798389度 東経139.465694度﻿ /35.798389; 139.465694","","SS23","","","24,494人/日-2019年-","","","","","","",""
