"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","標高","位置","山系","種類","初登頂","インペリアル,換算","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden"
"野坂岳","[11のさかだけ野坂岳福井県913.5地理院地図Googleマップ北緯35度35分23秒東経136度01分29秒﻿ / ﻿北緯35.589639度 東経136.024584度﻿ /35.589639; 136.024584﻿ (野坂岳)近畿百名山敦賀富士一等三角点] 野坂岳 （のさかだけ）は 福井県 敦賀市 に聳える 山塊 である。野坂山（のさかやま）とも言う。敦賀市の 最高峰 であり「敦賀三山」（野坂岳、 西方ヶ岳 、 岩籠山 ）の一つである。山頂には一等 三角点 が置かれ、標高は913mである   。","https://ja.wikipedia.org/wiki/野坂岳","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯35度35分22秒東経136度01分28秒","福井県敦賀市","913m","北緯35度35分22秒東経136度01分28秒﻿ / ﻿北緯35.58944度 東経136.02444度﻿ /35.58944; 136.02444座標:北緯35度35分22秒東経136度01分28秒﻿ / ﻿北緯35.58944度 東経136.02444度﻿ /35.58944; 136.02444","野坂山地","","","","","","","","","","","","","","",""
"赤坂山","[12あかさかやま赤坂山滋賀県福井県823.8地理院地図Googleマップ北緯35度31分12秒東経136度01分24秒﻿ / ﻿北緯35.520070度 東経136.023382度﻿ /35.520070; 136.023382﻿ (赤坂山)] 赤坂山 （あかさかやま）は、 滋賀県 高島市 と 福井県 三方郡 美浜町 の境界にある 山 である。","https://ja.wikipedia.org/wiki/赤坂山","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯35度31分12.3秒東経136度01分24.3秒","日本滋賀県高島市福井県三方郡美浜町","823.8m","北緯35度31分12.3秒東経136度01分24.3秒﻿ / ﻿北緯35.520083度 東経136.023417度﻿ /35.520083; 136.023417座標:北緯35度31分12.3秒東経136度01分24.3秒﻿ / ﻿北緯35.520083度 東経136.023417度﻿ /35.520083; 136.023417","野坂山地","","","","","","","","","","","","","","",""
"三十三間山","[13さんじゅうさんげんやま三十三間山福井県滋賀県842.3地理院地図Googleマップ北緯35度29分32秒東経135度55分48秒﻿ / ﻿北緯35.492103度 東経135.930122度﻿ /35.492103; 135.930122﻿ (三十三間山)近畿百名山] 三十三間山 （さんじゅうさんげんざん）は、 福井県 三方上中郡 若狭町 と 滋賀県 高島市 との境にある 山塊 である。 北川 の源流であり、山頂には一等 三角点 が所在する。","https://ja.wikipedia.org/wiki/三十三間山","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯35度29分31秒東経135度55分48秒","日本福井県三方上中郡若狭町滋賀県高島市","842.3m","北緯35度29分31秒東経135度55分48秒﻿ / ﻿北緯35.49194度 東経135.93000度﻿ /35.49194; 135.93000座標:北緯35度29分31秒東経135度55分48秒﻿ / ﻿北緯35.49194度 東経135.93000度﻿ /35.49194; 135.93000","比良山地","","","","","","","","","","","","","","",""
"百里ヶ岳","[14ひゃくりがだけ百里ヶ岳福井県滋賀県931.3地理院地図Googleマップ北緯35度23分30秒東経135度48分36秒﻿ / ﻿北緯35.391788度 東経135.810096度﻿ /35.391788; 135.810096﻿ (百里ヶ岳)近畿百名山] 百里ヶ岳 （ひゃくりがだけ）は、 滋賀県 高島市 と 福井県 小浜市 の境に所在する 標高 931.3mの山。","https://ja.wikipedia.org/wiki/百里ヶ岳","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯35度23分30秒東経135度48分36秒","日本滋賀県高島市・福井県小浜市","931.3m","北緯35度23分30秒東経135度48分36秒﻿ / ﻿北緯35.39167度 東経135.81000度﻿ /35.39167; 135.81000座標:北緯35度23分30秒東経135度48分36秒﻿ / ﻿北緯35.39167度 東経135.81000度﻿ /35.39167; 135.81000","丹波高地","","","","","","","","","","","","","","",""
"蛇谷ヶ峰 (存在しないページ)","[15画 像 募 集 中じゃたにがみね蛇谷ヶ峰滋賀県901.7地理院地図Googleマップ北緯35度19分13秒東経135度55分43秒﻿ / ﻿北緯35.320386度 東経135.928636度﻿ /35.320386; 135.928636﻿ (蛇谷ヶ峰)近畿百名山]","https://ja.wikipedia.org/w/index.php?title=蛇谷ヶ峰&amp;action=edit&amp;redlink=1","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"武奈ヶ岳","[16ぶながたけ武奈ヶ岳滋賀県1,214.4地理院地図Googleマップ北緯35度15分53秒東経135度53分49秒﻿ / ﻿北緯35.264600度 東経135.896985度﻿ /35.264600; 135.896985﻿ (武奈ヶ岳)日本二百名山新日本百名山近畿百名山] 武奈ヶ岳 （ぶながたけ）は、 滋賀県 大津市 にある、標高1214.4mの 山 。滋賀県西部、湖西地方に位置する 比良山地 の最高峰である。 琵琶湖国定公園 の一部。 日本二百名山 、近畿百名山の一つ。","https://ja.wikipedia.org/wiki/武奈ヶ岳","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯35度15分52秒東経135度53分48秒","日本滋賀県大津市","1,214.4m","北緯35度15分52秒東経135度53分48秒﻿ / ﻿北緯35.26444度 東経135.89667度﻿ /35.26444; 135.89667座標:北緯35度15分52秒東経135度53分48秒﻿ / ﻿北緯35.26444度 東経135.89667度﻿ /35.26444; 135.89667","比良山地","隆起準平原","","","","","","","","","","","","","",""
"蓬莱山 (滋賀県)","[17ほうらいさん蓬莱山滋賀県1,173.9地理院地図Googleマップ北緯35度12分34秒東経135度53分09秒﻿ / ﻿北緯35.209539度 東経135.885735度﻿ /35.209539; 135.885735﻿ (蓬莱山)日本三百名山びわ湖バレイスキー場・びわ湖テラス・ロープウェイ一等三角点] 蓬萊山 （ほうらいさん）は、 比良山地 中部に属する 山 である。比良山地の中では 武奈ヶ岳 に次ぐ高峰であり、 日本三百名山 の一つに数えられる  。","https://ja.wikipedia.org/wiki/蓬莱山_(滋賀県)","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯35度12分34秒東経135度53分09秒","滋賀県大津市","1,174m","北緯35度12分34秒東経135度53分09秒﻿ / ﻿北緯35.20944度 東経135.88583度﻿ /35.20944; 135.88583","比良山地","","","","","","","","","","","","","","",""
"太神山 (存在しないページ)","[18画 像 募 集 中たなかみやま太神山滋賀県599.7地理院地図Googleマップ北緯34度55分00秒東経135度59分03秒﻿ / ﻿北緯34.916710度 東経135.984296度﻿ /34.916710; 135.984296﻿ (太神山)]","https://ja.wikipedia.org/w/index.php?title=太神山&amp;action=edit&amp;redlink=1","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"三上山","[19みかみやま三上山滋賀県432地理院地図Googleマップ北緯35度03分02秒東経136度02分16秒﻿ / ﻿北緯35.050556度 東経136.037778度﻿ /35.050556; 136.037778﻿ (三上山)花の百名山御上神社近江富士花緑公園滋賀県希望が丘文化公園] 三上山 （みかみやま）は 滋賀県 野洲市 三上にある 山 。一般には 近江富士 として知られる。 標高 432m。ふもとには 御上神社 や 滋賀県希望が丘文化公園 がある。","https://ja.wikipedia.org/wiki/三上山","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯35度03分01秒東経136度02分16秒","日本滋賀県野洲市","432m","北緯35度03分01秒東経136度02分16秒﻿ / ﻿北緯35.05028度 東経136.03778度﻿ /35.05028; 136.03778座標:北緯35度03分01秒東経136度02分16秒﻿ / ﻿北緯35.05028度 東経136.03778度﻿ /35.05028; 136.03778","","残丘","","","","","","","","","","","","","",""
"青葉山 (京都府・福井県)","[20あおばさん青葉山福井県京都府693地理院地図Googleマップ北緯35度30分18秒東経135度29分02秒﻿ / ﻿北緯35.505000度 東経135.483889度﻿ /35.505000; 135.483889﻿ (青葉山)近畿百名山若狭富士] 青葉山 （あおばさん/あおばやま）  は、 福井県 大飯郡 高浜町 と 京都府 舞鶴市 にまたがる 山 。東峰（693メートル）と西峰（692メートル）の2峰からなる双耳峰であるが、 国土地理院 の 地形図 では東峰に山名の記載があるため、これに従うと標高は693メートルである。いずれの山頂も高浜町に位置する。高浜町の 最高峰 。 若狭富士 の異称を持つ  。東部海岸から眺める山容が秀麗な景観を見せる。","https://ja.wikipedia.org/wiki/青葉山_(京都府・福井県)","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯35度30分18秒東経135度29分02秒","日本福井県大飯郡高浜町京都府舞鶴市","693m","北緯35度30分18秒東経135度29分02秒﻿ / ﻿北緯35.50500度 東経135.48389度﻿ /35.50500; 135.48389座標:北緯35度30分18秒東経135度29分02秒﻿ / ﻿北緯35.50500度 東経135.48389度﻿ /35.50500; 135.48389","丹波高地","","","","","","","","","","","","","","",""
"八ヶ峰","[21画 像 募 集 中はちがみね八ヶ峰京都府福井県800.1地理院地図Googleマップ北緯35度21分26秒東経135度40分05秒﻿ / ﻿北緯35.357238度 東経135.668015度﻿ /35.357238; 135.668015﻿ (八ヶ峰)] 八ヶ峰 （はちがみね）は、 福井県 大飯郡 おおい町 と 京都府 南丹市 の境に所在する 標高 800.1 m の 山 。","https://ja.wikipedia.org/wiki/八ヶ峰","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯35度21分26秒東経135度40分05秒","福井県大飯郡おおい町京都府南丹市","800.1m","北緯35度21分26秒東経135度40分05秒﻿ / ﻿北緯35.35722度 東経135.66806度﻿ /35.35722; 135.66806座標:北緯35度21分26秒東経135度40分05秒﻿ / ﻿北緯35.35722度 東経135.66806度﻿ /35.35722; 135.66806","丹波高地","","","","","","","","","","","","","","",""
"雲取山 (京都府) (存在しないページ)","[22画 像 募 集 中くもとりやま雲取山京都府911.1地理院地図Googleマップ北緯35度10分42秒東経135度45分53秒﻿ / ﻿北緯35.178413度 東経135.764674度﻿ /35.178413; 135.764674﻿ (雲取山)]","https://ja.wikipedia.org/w/index.php?title=雲取山_(京都府)&amp;action=edit&amp;redlink=1","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"皆子山","[23みなごやま皆子山京都府滋賀県971.5地理院地図Googleマップ北緯35度12分08秒東経135度50分07秒﻿ / ﻿北緯35.202273度 東経135.835142度﻿ /35.202273; 135.835142﻿ (皆子山)近畿百名山京都府最高峰] 皆子山 （みなごやま）は、 京都府 京都市 左京区 と 滋賀県 大津市 との境に位置する 標高 971 m の 山 である   。","https://ja.wikipedia.org/wiki/皆子山","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯35度12分08秒東経135度50分07秒","京都府京都市左京区・滋賀県大津市","971.51m","北緯35度12分08秒東経135度50分07秒﻿ / ﻿北緯35.20222度 東経135.83528度﻿ /35.20222; 135.83528座標:北緯35度12分08秒東経135度50分07秒﻿ / ﻿北緯35.20222度 東経135.83528度﻿ /35.20222; 135.83528","丹波高地","","","","","","","","","","","","","","",""
"桟敷ヶ岳","[24さじきがたけ桟敷ヶ岳京都府895.8地理院地図Googleマップ北緯35度09分33秒東経135度43分02秒﻿ / ﻿北緯35.159212度 東経135.717236度﻿ /35.159212; 135.717236﻿ (桟敷ヶ岳)] 桟敷ヶ岳 （さじきがたけ   、さじきがだけ  ）は、 京都府 京都市 北区 と 右京区 京北町 の境界に位置する 山 。標高895.9mであり  、京都市北区の最高峰である。 関西百名山 に選ばれており、京都 北山 の代表的な山のひとつである  。 桟敷ケ岳 、 桟敷岳  と表記されることもある。","https://ja.wikipedia.org/wiki/桟敷ヶ岳","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯35度09分31.6秒東経135度43分02.0秒","日本京都府京都市北区・右京区","895.9m","北緯35度09分31.6秒東経135度43分02.0秒﻿ / ﻿北緯35.158778度 東経135.717222度﻿ /35.158778; 135.717222座標:北緯35度09分31.6秒東経135度43分02.0秒﻿ / ﻿北緯35.158778度 東経135.717222度﻿ /35.158778; 135.717222","京都北山","","1918年（京都府立第一中学校山岳部）","","","","","","","","","","","","",""
"比叡山","[25ひえいざん比叡山滋賀県京都府848.1地理院地図Googleマップ北緯35度03分57秒東経135度50分04秒﻿ / ﻿北緯35.065830度 東経135.834449度﻿ /35.065830; 135.834449﻿ (比叡山)日本三百名山近畿百名山大比叡一等三角点京福電気鉄道鋼索線叡山ロープウェイ延暦寺] 比叡山 （ひえいざん）は、 滋賀県 大津市 西部と 京都府 京都市 北東部にまたがる 山 。大津市と京都市 左京区 の県境に位置する 大比叡 （848.3m）と左京区に位置する 四明岳 （しめいがたけ、838m）の二峰から成る双耳峰の総称である。 高野山 と並び古くより信仰対象の山とされ、 延暦寺 や 日吉大社 があり繁栄した。 東山三十六峰 に含まれる場合も有る  。別称は叡山、北嶺、天台山、都富士など。","https://ja.wikipedia.org/wiki/比叡山","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯35度03分57秒東経135度50分04秒","日本滋賀県大津市・京都府京都市左京区","848.3m","北緯35度03分57秒東経135度50分04秒﻿ / ﻿北緯35.06583度 東経135.83444度﻿ /35.06583; 135.83444座標:北緯35度03分57秒東経135度50分04秒﻿ / ﻿北緯35.06583度 東経135.83444度﻿ /35.06583; 135.83444","","","","","","","","","","","","","","","",""
"愛宕山 (京都市)","[26あたごやま愛宕山京都府924地理院地図Googleマップ北緯35度03分36秒東経135度38分03秒﻿ / ﻿北緯35.060018度 東経135.634194度﻿ /35.060018; 135.634194﻿ (愛宕山)日本三百名山花の百名山新日本百名山近畿百名山愛宕神社] 愛宕山 （あたごやま、あたごさん）は、 京都府 京都市 右京区 の北西部、 山城国 と 丹波国 の国境にある 山 である。京都市街を取り巻く山の中で、 比叡山 と並びよく目立っており、信仰の山としても知られる。","https://ja.wikipedia.org/wiki/愛宕山_(京都市)","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯35度03分36秒東経135度38分03秒","日本京都府京都市右京区","924m","北緯35度03分36秒東経135度38分03秒﻿ / ﻿北緯35.06000度 東経135.63417度﻿ /35.06000; 135.63417座標:北緯35度03分36秒東経135度38分03秒﻿ / ﻿北緯35.06000度 東経135.63417度﻿ /35.06000; 135.63417","","","","","","","","","","","","","","","",""
"ポンポン山 (近畿)","[27ぽんぽんやまポンポン山京都府大阪府678.8地理院地図Googleマップ北緯34度56分07秒東経135度37分26秒﻿ / ﻿北緯34.935163度 東経135.623809度﻿ /34.935163; 135.623809﻿ (ポンポン山)大阪50山近畿百名山加茂勢山] ポンポン山 （ポンポンやま）は、 京都府 京都市 西京区 と 大阪府 高槻市 の境界に位置する 標高 678.7mの 山 で、西京区及び高槻市の 最高峰 である。山頂の二等 三角点 は西京区に所在する。古くは 加茂勢山 と呼ばれていた。 北摂山系 に属する。","https://ja.wikipedia.org/wiki/ポンポン山_(近畿)","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯34度56分07秒東経135度37分26秒","京都府京都市西京区・大阪府高槻市","678.7m","北緯34度56分07秒東経135度37分26秒﻿ / ﻿北緯34.93528度 東経135.62389度﻿ /34.93528; 135.62389﻿ (ポンポン山)座標:北緯34度56分07秒東経135度37分26秒﻿ / ﻿北緯34.93528度 東経135.62389度﻿ /34.93528; 135.62389﻿ (ポンポン山)","北摂山系","","","","","","","","","","","","","","",""
"妙見山 (能勢)","[28みょうけんさん妙見山 (能勢)大阪府兵庫県660.1地理院地図Googleマップ北緯34度55分44秒東経135度28分02秒﻿ / ﻿北緯34.928916度 東経135.467347度﻿ /34.928916; 135.467347﻿ (妙見山 (能勢))大阪50山ふるさと兵庫100山能勢電鉄妙見の森ケーブル妙見の森リフト能勢妙見堂] 妙見山 （みょうけんさん、みょうけんざん）は 兵庫県 、 大阪府 にまたがる 山 。 北摂山系 に属する。","https://ja.wikipedia.org/wiki/妙見山_(能勢)","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯34度55分44.328秒東経135度27分59.245秒","兵庫県川西市、大阪府豊能郡豊能町・能勢町","660.1m","北緯34度55分44.328秒東経135度27分59.245秒﻿ / ﻿北緯34.92898000度 東経135.46645694度﻿ /34.92898000; 135.46645694","北摂山系","","","","","","","","","","","","","","",""
