"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","標高","所在地","位置","山系","種類","初登頂","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden"
"西黒森","[11にしくろもり西黒森愛媛県西条市高知県いの町1,861地理院地図Googleマップ北緯33度47分40秒東経133度12分21秒﻿ / ﻿北緯33.7943500度 東経133.205964度﻿ /33.7943500; 133.205964﻿ (西黒森)] 西黒森 （にしくろもり）は、 愛媛県 西条市 と 高知県 いの町 にまたがる山。 四国山地 西部の 石鎚山脈 に属し、 四国百名山 に選定されている  。山頂近くの南側を 瓶ヶ森林道 が通り、容易に山頂に立つことが出来る。また、当山より東に向かって「神鳴池（かんならし）」「自念子ノ頭（じねんごのかしら）」「東黒森（ひがしくろもり）」も同林道により容易に行くことができるのでここで紹介する。","https://ja.wikipedia.org/wiki/西黒森","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度47分38秒東経133度12分24秒","1,861m","愛媛県西条市・高知県いの町","北緯33度47分38秒東経133度12分24秒﻿ / ﻿北緯33.79389度 東経133.20667度﻿ /33.79389; 133.20667","四国山地","","","","","","","","","","","","","","",""
"手箱山","[12 *てばこやま手箱山高知県いの町1,806.2地理院地図Googleマップ北緯33度43分44秒東経133度10分42秒﻿ / ﻿北緯33.728785度 東経133.178278度﻿ /33.728785; 133.178278﻿ (手箱山)氷室] 手箱山 （てばこやま）は、 四国山地 西部の 石鎚山脈 に属する 山 である。 四国百名山 に選定されている。","https://ja.wikipedia.org/wiki/手箱山","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度43分44秒東経133度10分42秒","1,806.2m","高知県いの町","北緯33度43分44秒東経133度10分42秒﻿ / ﻿北緯33.72889度 東経133.17833度﻿ /33.72889; 133.17833","四国山地","","","","","","","","","","","","","","",""
"大座礼山","[13おおざれやま大座礼山高知県大川村1,587.5地理院地図Googleマップ北緯33度49分16秒東経133度23分40秒﻿ / ﻿北緯33.821097度 東経133.394383度﻿ /33.821097; 133.394383﻿ (大座礼山)] 大座礼山 （おおざれやま）は、 高知県 土佐郡 大川村 にある山。 標高 1,587.6m。 石鎚山脈 の核心部から東に離れた位置にある。東西に大きく崩壊したザレ場があることが山名の由来と云われている  。","https://ja.wikipedia.org/wiki/大座礼山","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度49分20秒東経133度23分35秒","1,587.6m","高知県土佐郡大川村","北緯33度49分20秒東経133度23分35秒﻿ / ﻿北緯33.82222度 東経133.39306度﻿ /33.82222; 133.39306","四国山地","","","","","","","","","","","","","","",""
"佐々連尾山","[14 *さざれおやま佐々連尾山高知県本山町愛媛県四国中央市1,404.3地理院地図Googleマップ北緯33度52分55秒東経133度33分15秒﻿ / ﻿北緯33.881883度 東経133.554087度﻿ /33.881883; 133.554087﻿ (佐々連尾山)] 佐々連尾山 （さざれおやま）は、 愛媛県 四国中央市 と 高知県 長岡郡 本山町 にまたがる山。 標高 1,404.2m。 四国山地 中部にある。","https://ja.wikipedia.org/wiki/佐々連尾山","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度52分57.62秒東経133度33分15.57秒","1,404.2m","愛媛県四国中央市・高知県長岡郡本山町","北緯33度52分57.62秒東経133度33分15.57秒﻿ / ﻿北緯33.8826722度 東経133.5543250度﻿ /33.8826722; 133.5543250","四国山地","","","","","","","","","","","","","","",""
"笹ヶ峰 (愛媛県・高知県)","[15 *ささがみね笹ヶ峰高知県大豊町愛媛県四国中央市1,027地理院地図Googleマップ北緯33度53分00秒東経133度38分37秒﻿ / ﻿北緯33.8833333度 東経133.643528度﻿ /33.8833333; 133.643528﻿ (笹ヶ峰)笹ヶ峰峠旧土佐街道] 笹ヶ峰 （ささがみね）は、 四国山地 西部に属する 山 である。また、古より旧 土佐街道 （北山越）の 峠 でもあり、 笹ヶ峰峠 （ささがみねとうげ）と呼ばれる。四国山地西部には他に 日本二百名山 に選定されている同名の 笹ヶ峰 が存在し、共に 四国百名山 に選定されている  。","https://ja.wikipedia.org/wiki/笹ヶ峰_(愛媛県・高知県)","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度52分58.03秒東経133度38分31.51秒","1,027m","愛媛県四国中央市・高知県大豊町","北緯33度52分58.03秒東経133度38分31.51秒﻿ / ﻿北緯33.8827861度 東経133.6420861度﻿ /33.8827861; 133.6420861","四国山地","","","","","","","","","","","","","","",""
"西赤石山","[16にしあかいしやま西赤石山愛媛県新居浜市1,625.7地理院地図Googleマップ北緯33度52分32秒東経133度20分23秒﻿ / ﻿北緯33.875583度 東経133.339636度﻿ /33.875583; 133.339636﻿ (西赤石山)新・花の百名山別子銅山ツガザクラ、アカモノ] 西赤石山 （にしあかいしやま）は、 四国山地 西部の 石鎚山地 に属する 山 である。山名は赤茶けた変色を示す 橄欖岩 質が由来の 東赤石山 の西側に位置することによる。","https://ja.wikipedia.org/wiki/西赤石山","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度52分32秒東経133度20分23秒","1,625.7m","愛媛県新居浜市","北緯33度52分32秒東経133度20分23秒﻿ / ﻿北緯33.87556度 東経133.33972度﻿ /33.87556; 133.33972座標:北緯33度52分32秒東経133度20分23秒﻿ / ﻿北緯33.87556度 東経133.33972度﻿ /33.87556; 133.33972","四国山地","","","","","","","","","","","","","","",""
"東赤石山","[17ひがしあかいしやま東赤石山愛媛県四国中央市新居浜市1,706.0地理院地図Googleマップ北緯33度52分30秒東経133度22分30秒﻿ / ﻿北緯33.875077度 東経133.375041度﻿ /33.875077; 133.375041﻿ (東赤石山)日本二百名山橄欖岩] 東赤石山 （ひがしあかいしやま）は、 四国 に位置する標高1,706mの 山 である。 愛媛県 四国中央市 （旧 宇摩郡 土居町 ）と 新居浜市 （旧宇摩郡 別子山村 ）の境界に位置する。","https://ja.wikipedia.org/wiki/東赤石山","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度52分30秒東経133度22分30秒","1,706.0m","日本愛媛県四国中央市、新居浜市","北緯33度52分30秒東経133度22分30秒﻿ / ﻿北緯33.87500度 東経133.37500度﻿ /33.87500; 133.37500座標:北緯33度52分30秒東経133度22分30秒﻿ / ﻿北緯33.87500度 東経133.37500度﻿ /33.87500; 133.37500","石鎚山脈東部 -法皇山脈","","","","","","","","","","","","","","",""
"二ッ岳","[18ふたつだけ二ッ岳愛媛県四国中央市1,647.3地理院地図Googleマップ北緯33度53分17秒東経133度25分22秒﻿ / ﻿北緯33.888052度 東経133.422697度﻿ /33.888052; 133.422697﻿ (二ッ岳)険しい岩稜] 二ッ岳 （ふたつだけ）は、 四国山地 西部の 石鎚山脈 に属する 山 である。 二ツ岳 と表記される場合もあるが、 国土地理院 の 地形図 は「二ッ岳」と表記されている。 四国百名山 に選定されている。山名は二つの岩峰が相対して屹立していることによる  。 四国 において「岳」と付く山は少ない  。","https://ja.wikipedia.org/wiki/二ッ岳","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度53分17秒東経133度25分22秒","1,647.3m","愛媛県四国中央市・新居浜市","北緯33度53分17秒東経133度25分22秒﻿ / ﻿北緯33.88806度 東経133.42278度﻿ /33.88806; 133.42278座標:北緯33度53分17秒東経133度25分22秒﻿ / ﻿北緯33.88806度 東経133.42278度﻿ /33.88806; 133.42278","四国山地石鎚山脈","","","","","","","","","","","","","","",""
"赤星山","[19あかぼしやま赤星山愛媛県四国中央市1,453.2地理院地図Googleマップ北緯33度55分10秒東経133度27分29秒﻿ / ﻿北緯33.919376度 東経133.457936度﻿ /33.919376; 133.457936﻿ (赤星山)別名：伊予小富士] 赤星山 （あかぼしやま）は、 愛媛県 四国中央市 にある山。 標高 1,453.2メートル。 石鎚山脈 の北東部に出た支脈である 法皇山脈 に属する。伊予小富士の別名がある山の一つ  。","https://ja.wikipedia.org/wiki/赤星山","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度55分8秒東経133度27分28秒","1,453.2m","愛媛県四国中央市","北緯33度55分8秒東経133度27分28秒﻿ / ﻿北緯33.91889度 東経133.45778度﻿ /33.91889; 133.45778","四国山地","","","","","","","","","","","","","","",""
"豊受山","[20 *とようけやま豊受山愛媛県四国中央市1,450地理院地図Googleマップ北緯33度55分45秒東経133度28分44秒﻿ / ﻿北緯33.929213度 東経133.478940度﻿ /33.929213; 133.478940﻿ (豊受山)] 豊受山 （とようけやま）は、 愛媛県 四国中央市 にある山。 標高 1,247.4m。 石鎚山脈 の北東部に出た支脈である 法皇山脈 に属する。山容は隣の赤星山がゆったりおだやかであるのに比べ、天を突く尖頂が凛とした姿である。","https://ja.wikipedia.org/wiki/豊受山","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度55分46.02秒東経133度28分45.1秒","1247.4m","愛媛県四国中央市","北緯33度55分46.02秒東経133度28分45.1秒﻿ / ﻿北緯33.9294500度 東経133.479194度﻿ /33.9294500; 133.479194","四国山地","","","","","","","","","","","","","","",""
"翠波峰","[21すいはみね翠波峰愛媛県四国中央市900地理院地図Googleマップ北緯33度56分35秒東経133度32分17秒﻿ / ﻿北緯33.943068度 東経133.538068度﻿ /33.943068; 133.538068﻿ (翠波峰)翠波高原] 翠波峰 （すいはみね）は、 愛媛県 四国中央市 にある山。 標高 900m。 石鎚山脈 の北東部に出た支脈である 法皇山脈 東部にある。","https://ja.wikipedia.org/wiki/翠波峰","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度56分36.95秒東経133度32分12.13秒","900m","愛媛県四国中央市","北緯33度56分36.95秒東経133度32分12.13秒﻿ / ﻿北緯33.9435972度 東経133.5367028度﻿ /33.9435972; 133.5367028","四国山地","","","","","","","","","","","","","","",""
"塩塚峰","[22しおづかみね塩塚峰徳島県三好市愛媛県四国中央市1,043.4地理院地図Googleマップ北緯33度55分35秒東経133度40分32秒﻿ / ﻿北緯33.926322度 東経133.675694度﻿ /33.926322; 133.675694﻿ (塩塚峰)塩塚高原] 塩塚峰 （しおづかみね）は、 徳島県 三好市 と 愛媛県 四国中央市 との境界に位置する 標高 1,043.4mの 山 である。","https://ja.wikipedia.org/wiki/塩塚峰","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度55分35秒東経133度40分33秒","1,043.4m","徳島県三好市愛媛県四国中央市","北緯33度55分35秒東経133度40分33秒﻿ / ﻿北緯33.92639度 東経133.67583度﻿ /33.92639; 133.67583座標:北緯33度55分35秒東経133度40分33秒﻿ / ﻿北緯33.92639度 東経133.67583度﻿ /33.92639; 133.67583","","","","","","","","","","","","","","","",""
"石墨山","[23いしずみさん石墨山愛媛県久万高原町1,456.0地理院地図Googleマップ北緯33度44分02秒東経132度59分05秒﻿ / ﻿北緯33.733786度 東経132.984648度﻿ /33.733786; 132.984648﻿ (石墨山)] 石墨山 （いしずみさん）は、 愛媛県 上浮穴郡 久万高原町 にある山。 標高 1,456.5m。 皿ヶ嶺 連峰の東端に位置し、同連峰では一番標高が高い。","https://ja.wikipedia.org/wiki/石墨山","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度44分0秒東経132度59分0秒","1,456.5m","愛媛県上浮穴郡久万高原町","北緯33度44分0秒東経132度59分0秒﻿ / ﻿北緯33.73333度 東経132.98333度﻿ /33.73333; 132.98333","四国山地","","","","","","","","","","","","","","",""
"皿ヶ嶺","[24さらがみね皿ヶ嶺愛媛県東温市上浮穴郡久万高原町1,278地理院地図Googleマップ北緯33度43分03秒東経132度53分40秒﻿ / ﻿北緯33.717491度 東経132.894369度﻿ /33.717491; 132.894369﻿ (皿ヶ嶺)] 皿ヶ嶺 （さらがみね）は 愛媛県 中予地方 の 東温市 と 上浮穴郡 久万高原町 とに跨る 皿ヶ嶺連峰県立自然公園 を擁する山。山頂は久万高原町に属し、 標高 1271m。","https://ja.wikipedia.org/wiki/皿ヶ嶺","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度43分03秒東経132度53分40秒","1270.5m","愛媛県東温市・久万高原町","北緯33度43分03秒東経132度53分40秒﻿ / ﻿北緯33.71750度 東経132.89444度﻿ /33.71750; 132.89444座標:北緯33度43分03秒東経132度53分40秒﻿ / ﻿北緯33.71750度 東経132.89444度﻿ /33.71750; 132.89444","四国山地","","","","","","","","","","","","","","",""
"高縄山","[25たかなわさん高縄山愛媛県松山市986.0地理院地図Googleマップ北緯33度56分45秒東経132度51分00秒﻿ / ﻿北緯33.945720度 東経132.850039度﻿ /33.945720; 132.850039﻿ (高縄山)] 高縄山 （たかなわさん）は、 愛媛県 松山市 にある、県の北部にあって高縄山地を形成する 標高 993.2mの 山 である。","https://ja.wikipedia.org/wiki/高縄山","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度56分45秒東経132度51分00秒","993.2m","日本愛媛県松山市","北緯33度56分45秒東経132度51分00秒﻿ / ﻿北緯33.94583度 東経132.85000度﻿ /33.94583; 132.85000座標:北緯33度56分45秒東経132度51分00秒﻿ / ﻿北緯33.94583度 東経132.85000度﻿ /33.94583; 132.85000","高縄山地","","","","","","","","","","","","","","",""
"楢原山","[26ならばらさん楢原山愛媛県今治市1,041地理院地図Googleマップ北緯33度56分25秒東経132度56分40秒﻿ / ﻿北緯33.9402083度 東経132.944469度﻿ /33.9402083; 132.944469﻿ (楢原山)] 楢原山 （ならばらさん）は、 愛媛県 今治市 にある山。 標高 1041m。 高縄山 系の中央部にあり、 蒼社川 本流とその 支流 の木地川に挟まれている  。","https://ja.wikipedia.org/wiki/楢原山","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度56分23秒東経132度56分39秒","1041m","愛媛県今治市","北緯33度56分23秒東経132度56分39秒﻿ / ﻿北緯33.93972度 東経132.94417度﻿ /33.93972; 132.94417","高縄山地","","","","","","","","","","","","","","",""
"明神ヶ森","[27みょうじんがもり明神ヶ森愛媛県松山市東温市1,216.9地理院地図Googleマップ北緯33度53分38秒東経132度55分04秒﻿ / ﻿北緯33.893834度 東経132.917789度﻿ /33.893834; 132.917789﻿ (明神ヶ森)] 明神ヶ森 （みょうじんがもり）は、 愛媛県 松山市 と 東温市 にまたがる山。 標高 1,217.0m。 高縄山 系に属し、その中部にある。","https://ja.wikipedia.org/wiki/明神ヶ森","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度53分39秒東経132度55分4秒","1,217.0m","愛媛県松山市・東温市","北緯33度53分39秒東経132度55分4秒﻿ / ﻿北緯33.89417度 東経132.91778度﻿ /33.89417; 132.91778","高縄山地","","","","","","","","","","","","","","",""
"東三方ヶ森","[28 *ひがしさんぽうがもり東三方ヶ森愛媛県今治市西条市東温市1,232.7地理院地図Googleマップ北緯33度54分10秒東経132度57分35秒﻿ / ﻿北緯33.902786度 東経132.959708度﻿ /33.902786; 132.959708﻿ (東三方ヶ森)] 東三方ヶ森 （ひがしさんぽうがもり）とは、 愛媛県 今治市 、 西条市 、 東温市 にある 標高 1,232.7メートルの 山 である。 高縄半島 の南東部に位置し、同半島の最高峰である。","https://ja.wikipedia.org/wiki/東三方ヶ森","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度54分10秒東経132度57分35秒","1,232.7m","愛媛県今治市・西条市・東温市","北緯33度54分10秒東経132度57分35秒﻿ / ﻿北緯33.90278度 東経132.95972度﻿ /33.90278; 132.95972","高縄山系（高縄半島）","","","","","","","","","","","","","","",""
"鷲ヶ頭山","[29 *わしがとうさん鷲ヶ頭山愛媛県今治市（大三島）436.5地理院地図Googleマップ北緯34度14分21秒東経133度01分17秒﻿ / ﻿北緯34.239140度 東経133.021401度﻿ /34.239140; 133.021401﻿ (鷲ヶ頭山)大山祇神社しまなみ海道] 鷲ヶ頭山 （わしがとうざん、わしがとうさん）は、 愛媛県 今治市 の 大三島 のほぼ中央に位置する 標高 436mの 山 である   。","https://ja.wikipedia.org/wiki/鷲ヶ頭山","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯34度14分21秒東経133度01分17秒","436m","日本愛媛県今治市","北緯34度14分21秒東経133度01分17秒﻿ / ﻿北緯34.23917度 東経133.02139度﻿ /34.23917; 133.02139座標:北緯34度14分21秒東経133度01分17秒﻿ / ﻿北緯34.23917度 東経133.02139度﻿ /34.23917; 133.02139","","","","","","","","","","","","","","","",""
"壺神山","[30 *つぼがみや壺神山愛媛県伊予市大洲市970.5地理院地図Googleマップ北緯33度36分20秒東経132度33分17秒﻿ / ﻿北緯33.605567度 東経132.554612度﻿ /33.605567; 132.554612﻿ (壺神山)] 壺神山 （つぼがみやま）は、 愛媛県 大洲市 と 伊予市 にまたがる 出石山 地に属する 標高 970.8mの 山 である。","https://ja.wikipedia.org/wiki/壺神山","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度36分20.51秒東経132度33分16.14秒","970.8m","愛媛県大洲市・伊予市","北緯33度36分20.51秒東経132度33分16.14秒﻿ / ﻿北緯33.6056972度 東経132.5544833度﻿ /33.6056972; 132.5544833","四国山地","","","","","","","","","","","","","","",""
"高森山 (宇和島市・西予市)","[31 *たかもりやま高森山愛媛県宇和島市西予市634.9地理院地図Googleマップ北緯33度19分37秒東経132度32分30秒﻿ / ﻿北緯33.327055度 東経132.541608度﻿ /33.327055; 132.541608﻿ (高森山)法華津峠] 高森山 （たかもりやま）は、 愛媛県 西予市 と 宇和島市 にまたがる山。 標高 635.0m。法華津山脈に属する。","https://ja.wikipedia.org/wiki/高森山_(宇和島市・西予市)","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度19分38秒東経132度32分31秒","635.0m","愛媛県西予市・宇和島市","北緯33度19分38秒東経132度32分31秒﻿ / ﻿北緯33.32722度 東経132.54194度﻿ /33.32722; 132.54194","四国山地","","","","","","","","","","","","","","",""
