"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","地図","指定文化財","城郭構造","築城主","遺構","別名","築城年","主な城主","史跡","廃城年","形状","規模","築造時期","天守構造","出土品","時代","主な改修者"
"八幡林官衙遺跡","[八幡林官衙遺跡（はちまんばやしかんがいせき）〔長岡市〕] 八幡林官衙遺跡 （はちまんばやしかんがいせき  ）は、 新潟県 長岡市 島崎にある 飛鳥時代 の 官衙 跡。 1995年 （ 平成 7年） 3月17日 に 国史跡 に指定された  。","https://ja.wikipedia.org/wiki/八幡林官衙遺跡","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯37度34分47秒東経138度45分28秒","新潟県長岡市島崎","","","","","","","","","","","","","","","","","飛鳥時代",""
"藤橋遺跡","[藤橋遺跡（ふじはしいせき）〔長岡市〕] 藤橋遺跡 （ふじはしいせき）は、 新潟県 長岡市 西津町にある 縄文時代 の 遺跡 。 1978年 （昭和53年）10月13日、国の 史跡 に指定された。","https://ja.wikipedia.org/wiki/藤橋遺跡","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯37度25分41秒東経138度46分56秒","日本新潟県長岡市","","","","","","","","","","","","","","","","","",""
"荒屋遺跡","[荒屋遺跡（あらやいせき）〔長岡市〕] 荒屋遺跡 （あらやいせき）は、 新潟県 長岡市 西川口字荒屋（旧・ 北魚沼郡 川口町 ）にある 旧石器時代 の 遺跡 である。 2004年 （平成16年） 2月27日 に国の 史跡 に指定された  。","https://ja.wikipedia.org/wiki/荒屋遺跡","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯37度15分51秒東経138度51分31秒","日本新潟県長岡市","","","","","","","","","","","","","","","","","",""
"坂戸城","[坂戸城跡（さかどじょうあと）〔南魚沼市〕] 坂戸城 （さかどじょう）は、 新潟県 南魚沼市 に存在した大規模な 日本の城 （ 山城 ）。 坂戸山 山頂（ 標高 634メートル）に 本丸 、麓に平時の居館跡の 遺構 が見られ、 魚野川 をはさんで、 三国街道 を見下ろす交通上の要地に位置する。 1979年 （ 昭和 54年） 6月11日 、国の 史跡 に指定された  。","https://ja.wikipedia.org/wiki/坂戸城","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯37度03分32.6485秒東経138度53分54.21秒","","北緯37度03分32.6485秒東経138度53分54.21秒﻿ / ﻿北緯37.059069028度 東経138.8983917度﻿ /37.059069028; 138.8983917","坂戸城","国の史跡","山城","新田氏","曲輪、石垣、土塁、堀切","","鎌倉時代又は南北朝時代以降","新田氏、長尾氏、上杉氏、堀氏","","1609年（慶長14年）","","","","","","",""
"沖ノ原遺跡","[沖ノ原遺跡（おきのはらいせき）〔中魚沼郡津南町〕] 沖ノ原遺跡 （おきのはらいせき）は、 新潟県 中魚沼郡 津南町 赤沢字沖ノ原6546番地外にある 縄文時代 中期後葉の 環状集落 の 遺跡 。国の 史跡 に指定されている  。ここから出土する深鉢型の土器は 沖ノ原式土器 と呼ばれ、 火焔土器 終焉直後に位置づけられている。","https://ja.wikipedia.org/wiki/沖ノ原遺跡","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯36度59分29.4秒東経138度39分11.9秒","新潟県中魚沼郡津南町赤沢字沖ノ原","","","","","","","","","","","","","","","","","縄文時代中期",""
"下谷地遺跡","[下谷地遺跡（しもやちいせき）〔柏崎市〕] 下谷地遺跡 （しもやちいせき）は、 新潟県 柏崎市 吉井にある 弥生時代 中期の遺跡。1979年6月4日、国の 史跡 に指定された。","https://ja.wikipedia.org/wiki/下谷地遺跡","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯37度23分51秒東経138度37分27秒","新潟県柏崎市吉井","","","","","","","","","","","","","","","","","弥生時代",""
"春日山城","[春日山城跡（かすがやまじょうあと）〔上越市〕] 春日山城 （かすがやまじょう）は、 越後国 頸城郡 中屋敷春日山（現在の 新潟県 上越市 春日山町）  にあった中世の 山城 （ 日本の城 ）。主に 長尾氏 の居城で、戦国武将 上杉謙信 の城として知られる。春日山城跡は国の 史跡 に指定されている。日本五大山城の一つとされることもある  。","https://ja.wikipedia.org/wiki/春日山城","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯37度8分48.08秒東経138度12分19.99秒","","北緯37度8分48.08秒東経138度12分19.99秒﻿ / ﻿北緯37.1466889度 東経138.2055528度﻿ /37.1466889; 138.2055528","春日山城","国の史跡","連郭式山城","上杉氏","土塁、堀切、郭、井戸、虎口、","鉢(蜂/八)ヶ峰(峯)城","南北朝時代","長尾氏、上杉氏、堀氏","","1607年（慶長12年）","","","","なし","","","上杉房定、長尾為景"
"水科古墳群","[水科古墳群（みずしなこふんぐん）〔上越市〕] 水科古墳群 （みずしなこふんぐん）は、 新潟県 上越市 三和区 水科にある 古墳群 （ 群集墳 ）。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/水科古墳群","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯37度5分41.3秒 東経138度21分4.7秒","新潟県上越市三和区水科","","","","","","","","","","国の史跡「水科古墳群」","","","","","","","",""
"宮口古墳群","[宮口古墳群（みやぐちこふんぐん）〔上越市〕] 宮口古墳群 （みやぐちこふんぐん）は、 新潟県 上越市 牧区 宮口にある 古墳群 （ 群集墳 ）。国の 史跡 に指定され、出土品は新潟県指定有形文化財に指定されている。","https://ja.wikipedia.org/wiki/宮口古墳群","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯37度5分35.3秒 東経138度21分25.3秒","新潟県上越市牧区宮口","","","","","","","","","","国の史跡「宮口古墳群」","","円墳31基","","","","","",""
"観音平・天神堂古墳群","[観音平・天神堂古墳群（かんのんだいら・てんじんどうこふんぐん）〔妙高市〕] 3群38基前後からなり、前期の 前方後円墳 を含み中期の初期 群集墳 を主体とするようである  。尾根上の最高所に 帆立貝形古墳 の1号墳が存在し、方墳の3号墳をへて前方後円墳の4号墳が続く。下位の緩斜面部には墳頂平坦面の広い中期の円墳が主に群在する。 2001年 に1～4号墳の 発掘調査 が実施されたが、 葺石 は確認されず 埴輪 も出土しなかった。なお 弥生時代 の方形台状墓などが混在する可能性もある  。","https://ja.wikipedia.org/wiki/観音平・天神堂古墳群","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"鮫ヶ尾城","[鮫ヶ尾城跡（さめがおじょうあと）〔妙高市〕2008年7月28日] 鮫ヶ尾城 （さめがおじょう）は、現 新潟県 妙高市 にかつて存在した 上杉家 配下の 日本の城 。城跡は 2008年 （ 平成 20年） 7月28日 に国の 史跡 に指定された（ 鮫ヶ尾城跡 ）。","https://ja.wikipedia.org/wiki/鮫ヶ尾城","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯37度3分4秒東経138度13分48秒","","北緯37度3分4秒東経138度13分48秒﻿ / ﻿北緯37.05111度 東経138.23000度﻿ /37.05111; 138.23000","鮫ヶ尾城","国の史跡","連郭式山城","不明","堀切、郭、虎口、水場","","16世紀後半","堀江宗親","","不明","","","","","","",""
"長者ヶ原遺跡","[長者ヶ原遺跡（ちょうじゃがはらいせき）〔糸魚川市〕] 長者ヶ原遺跡 （ちょうじゃがはらいせき）は、 新潟県 糸魚川市 一の宮にある 縄文時代 の 遺跡 。国の 史跡 に指定されている  。 姫川 の東の丘に位置する  。この遺跡出土の土器は、「長者ヶ原式土器」と呼ばれる  。住居跡・炉跡等の 遺構 が発見され、多くの 硬玉 原石とその加工品のほか、攻玉用の砥石や擦切用石器などが出土しており、縄文時代中期の硬玉製作跡であることが判明している。","https://ja.wikipedia.org/wiki/長者ヶ原遺跡","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯37度01分38秒東経137度51分55秒","日本新潟県糸魚川市","","","","","","","","","","","","","","","","","",""
"寺地遺跡","[寺地遺跡（てらちいせき）〔糸魚川市〕] 寺地遺跡 （てらじいせき）は、 新潟県 糸魚川市 大字寺地にある 縄文時代 の 遺跡 。 1980年 （昭和55年）12月5日、国の 史跡 に指定された。","https://ja.wikipedia.org/wiki/寺地遺跡","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯37度01分30秒東経137度48分34秒","新潟県糸魚川市大字寺地","","","","","","","","","","","","","","","","","縄文時代",""
"松本街道","[松本街道（まつもとかいどう）〔糸魚川市〕] 千国街道 （ちくにかいどう）は、 長野県 松本市 から 新潟県 糸魚川市 に至る日本の 街道 。街道名は、街道の宿場の一つである千国（現 小谷村 ）から採られたもの。街道の両端の地名を冠した 糸魚川街道 （いといがわかいどう）、 松本街道 （まつもとかいどう）の別名を持つ。現代の 国道147号 （松本市 - 大町市 ）及び接続する 国道148号 （大町市-糸魚川市）、 大糸線 （ 松本駅 - 糸魚川駅 ）と概ね並行するが、 姫川 の急峻な渓谷を回避するために、長野 - 新潟県境付近などでは谷沿いから離れ山岳に移行する区間も存在する。	2002年3月19日に、「松本街道」の名で 国史跡 に指定され、2007年7月26日に追加指定が行われている  。","https://ja.wikipedia.org/wiki/松本街道","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"佐渡金山","[佐渡金銀山遺跡（さどきんぎんざんいせき）〔佐渡市〕] 2019年4月に情報発信の拠点施設として 県道45号佐渡一周線 沿いに映像シアターや各種展示、観光案内所などを備えたガイダンス施設「きらりうむ佐渡」がオープンした   。","https://ja.wikipedia.org/wiki/佐渡金山","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯38度2分31.3秒 東経138度15分32.8秒","〒952-1562新潟県佐渡市相川三町目浜町18番地1","","","","","","","","","","","","","","","","","",""
"佐渡国分寺跡 (存在しないページ)","[佐渡国分寺跡（さどこくぶんじあと）〔佐渡市〕]","https://ja.wikipedia.org/w/index.php?title=佐渡国分寺跡&amp;action=edit&amp;redlink=1","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"下国府遺跡","[下国府遺跡（しもこういせき）〔佐渡市〕] 下国府遺跡 （しもこういせき）は、 新潟県 佐渡市 竹田にある 遺跡 。 雑太城 の北東500メートルほどの位置で発掘された 平安時代 前期の遺跡であり、上国府（佐渡府内）に付随した施設である。 1976年 （昭和51年）6月21日に、国の 史跡 に指定された  。","https://ja.wikipedia.org/wiki/下国府遺跡","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯37度58分35秒東経138度21分53秒","〒952-0302新潟県佐渡市竹田371-7ほか (県道65号・南線沿線)","","","","","","","","","","","","","","","","","平安時代前期",""
"長者ヶ平遺跡","[長者ヶ平遺跡（ちょうじゃがだいらいせき）〔佐渡市〕] 長者ヶ平遺跡 （ちょうじゃがだいらいせき）は、 新潟県 佐渡市 小木にある 縄文時代 の集落跡である。1984年7月21日、国の 史跡 に指定された  。","https://ja.wikipedia.org/wiki/長者ヶ平遺跡","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯37度49分13秒東経138度14分04秒","新潟県佐渡市小木","","","","","","","","","","","","","","","","","縄文時代",""
"不動堂遺跡","[不動堂遺跡（ふどうどういせき）〔下新川郡朝日町〕1974年12月23日] 不動堂遺跡 （ふどうどういせき）は、 富山県 下新川郡 朝日町 にある 縄文時代 の 遺跡 。 1974年 （昭和49年） 12月23日 に国の 史跡 に指定された  。","https://ja.wikipedia.org/wiki/不動堂遺跡","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯36度55分15秒東経137度33分13秒","日本富山県下新川郡朝日町","","","","","","","","","","","","","","","","","縄文時代",""
"じょうべのま遺跡","[じょうべのま遺跡（じょうべのまいせき）〔下新川郡入善町〕1979年5月14日] じょうべのま遺跡 （じょうべのまいせき）は、 富山県 入善町 田中にある 平安時代 前期の 初期荘園 関連施設の跡とみられる 遺跡 。 国史跡 。","https://ja.wikipedia.org/wiki/じょうべのま遺跡","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯36度57分15.41秒 東経137度29分41.5秒","","","","","","","","","","","","","","","","","","",""
"日石寺","[大岩日石寺石仏（おおいわにっせきじせきぶつ）〔中新川郡上市町〕1930年7月8日] 日石寺 （にっせきじ）は、 富山県 中新川郡 上市町 にある 真言密宗 大本山の寺院。山号は大岩山（おおいわさん）で、山号から「大岩不動」の通称で知られる。別名・金剛不壊寺。","https://ja.wikipedia.org/wiki/日石寺","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯36度39分43.7秒東経137度23分27.9秒","富山県中新川郡上市町大岩163","北緯36度39分43.7秒東経137度23分27.9秒﻿ / ﻿北緯36.662139度 東経137.391083度﻿ /36.662139; 137.391083座標:北緯36度39分43.7秒東経137度23分27.9秒﻿ / ﻿北緯36.662139度 東経137.391083度﻿ /36.662139; 137.391083","","","","","","","","","","","","","","","","",""
"王塚・千坊山遺跡群 (存在しないページ)","[王塚・千坊山遺跡群（おうづか・せんぼうやまいせきぐん）〔富山市〕1948年1月14日]","https://ja.wikipedia.org/w/index.php?title=王塚・千坊山遺跡群&amp;action=edit&amp;redlink=1","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"北代遺跡","[北代遺跡（きただいいせき）〔富山市〕1984年1月4日] 北代遺跡 （きただいいせき）は、 富山県 富山市 北代字大畑にある 縄文時代 中期後葉（約4500年前）を中心とした大規模な集落跡である  。 1984年 1月4日、 国史跡 に指定された  。","https://ja.wikipedia.org/wiki/北代遺跡","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯36度43分03秒 東経137度11分10秒","","","","","","","","","","","","","","","","","","",""
"直坂遺跡","[直坂遺跡（すぐさかいせき）〔富山市〕1981年4月11日] 直坂遺跡 （すぐさかいせき）は、 富山県 富山市 （直坂地内）にある遺跡。1981年4月11日に国史跡に指定された。所在施設は 猿倉山森林公園 。","https://ja.wikipedia.org/wiki/直坂遺跡","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯36度33分35秒 東経137度13分12秒","","","","","","","","","","","","","","","","","","",""
"安田城 (越中国)","[安田城跡（やすだじょうあと）〔富山市〕1981年2月23日] 安田城 （やすだじょう）は、 越中国 婦負郡 安田（現在の 富山県 富山市 婦中町安田）にあった 戦国時代 末の 日本の城 （ 平城 ）。存城期間が短かったため後世の改変がなく、当時の 遺構 をほぼそのまま残す全国的にも貴重な 城跡 である。 1981年 （昭和56年）に「安田城跡」の名称で国の 史跡 に指定された  。 とやま城郭カード No.24   。","https://ja.wikipedia.org/wiki/安田城_(越中国)","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯36度40分49秒東経137度9分39秒","","北緯36度40分49秒東経137度9分39秒﻿ / ﻿北緯36.68028度 東経137.16083度﻿ /36.68028; 137.16083座標:北緯36度40分49秒東経137度9分39秒﻿ / ﻿北緯36.68028度 東経137.16083度﻿ /36.68028; 137.16083","安田城","国の史跡","連郭式平城","前田利家","土塁、堀","安田塁","1585年","岡嶋一吉","","慶長年間か","","","","","","","岡嶋一吉"
"串田新遺跡","[串田新遺跡（くしだしんいせき）〔射水市〕1976年9月20日] 串田新遺跡 （くしだしんいせき）は、 富山県 射水市 大門町にある 縄文時代 の 集落 遺跡 である。 1976年 （昭和51年）9月20日に国の 史跡 に指定された   。","https://ja.wikipedia.org/wiki/串田新遺跡","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯36度41分21秒東経137度02分29秒","日本富山県射水市","","","","","","","","","","","","","","","","","",""
"小杉丸山遺跡","[小杉丸山遺跡（こすぎまるやまいせき）〔射水市〕1990年3月8日] 小杉丸山遺跡 （こすぎまるやまいせき）は、 富山県 射水市 流通センター青井谷1丁目・水戸田2丁目にある 飛鳥時代 の 窯跡 および 工房 跡を中心とする 遺跡 である。 1990年 （平成2年）3月8日に国の 史跡 に指定された  。","https://ja.wikipedia.org/wiki/小杉丸山遺跡","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯36度41分47秒東経137度03分55秒","日本富山県射水市","","","","","","","","","","","","","","","","","飛鳥時代",""
"前田氏","[加賀藩主前田家墓所（かがはんしゅまえだけぼしょ）〔石川県金沢市・富山県高岡市〕2009年2月12日] 利仁流 の系統で、 叙用 （利仁の七男、 斎藤氏 の祖）の子・ 吉信 の三男・ 為時 （伊博）を祖とする。為時の末裔の 季基 の代に、 美濃国 守護代 斉藤氏庶家として、同国前田村に居住し前田氏を名乗ったとされる。","https://ja.wikipedia.org/wiki/前田氏","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"高岡城","[高岡城跡（たかおかじょうあと）〔高岡市〕2015年3月10日] 高岡城 （たかおかじょう）は、 富山県 高岡市 古城（旧 越中国 射水郡 関野）にあった 日本の城 （ 平城 ）。 日本100名城 のひとつである。現在、城跡は 高岡古城公園 （たかおかこじょうこうえん）として整備され、市民の憩いの場となっており、国の 史跡 に指定  されている。桜の名所としても有名で 日本さくら名所100選 に選定されている。 とやま城郭カード No.28   。","https://ja.wikipedia.org/wiki/高岡城","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯36度44分57秒東経137度1分14秒","","北緯36度44分57秒東経137度1分14秒﻿ / ﻿北緯36.74917度 東経137.02056度﻿ /36.74917; 137.02056座標:北緯36度44分57秒東経137度1分14秒﻿ / ﻿北緯36.74917度 東経137.02056度﻿ /36.74917; 137.02056","高岡城","国の史跡","梯郭式平城","前田利長","堀、石垣","高岡城","1609年（慶長14年）","前田利長","","1615年（元和元年）","","","","不明","","","不明"
"桜谷古墳群 (高岡市)","[桜谷古墳（さくらだにこふん）〔高岡市〕1934年12月28日] 桜谷古墳群 （さくらだにこふんぐん）は、 富山県 高岡市 太田にある 古墳群 。2基が国の 史跡 に指定され、出土品は高岡市指定有形文化財に指定されている。","https://ja.wikipedia.org/wiki/桜谷古墳群_(高岡市)","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"朝日貝塚","[朝日貝塚（あさひかいづか）〔氷見市〕1922年3月8日] 朝日貝塚は市街地の南西部にあり、遺跡の西側は市域中央を西から東に向かって伸びる朝日山丘陵で東南裾であり、ここから東側の湊川まで緩やかな斜面となる。 1918年 （大正7年）の発見以降数度にわたって発掘調査が行われた。国の 史跡 に指定されている  。 縄文時代 前期から 中世 にわたる複合遺跡であり、貝層の上部と表土からは 弥生土器 や 須恵器 が出土する  。","https://ja.wikipedia.org/wiki/朝日貝塚","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯36度50分54.1秒 東経136度59分0.7秒","","","","","","","","","","","","","","","","","","",""
