"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","所在地","ホーム","駅番号","備考","電報略号","乗降人員,-統計年度-","乗車人員,-統計年度-","乗換","通称","国","種類","起点","終点","駅数"
"草津駅 (広島県)","草津駅 (広島県)（くさつえき・広島電鉄宮島線）","https://ja.wikipedia.org/wiki/草津駅_(広島県)","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯34度22分53秒東経132度24分13.29秒","■宮島線","2.9 km（広電西広島起点）","広島電鉄","地上駅","1922年（大正11年）8月22日","広島市西区草津東二丁目11-24[1]北緯34度22分53秒東経132度24分13.29秒﻿ / ﻿北緯34.38139度 東経132.4036917度﻿ /34.38139; 132.4036917﻿ (草津駅)座標:北緯34度22分53秒東経132度24分13.29秒﻿ / ﻿北緯34.38139度 東経132.4036917度﻿ /34.38139; 132.4036917﻿ (草津駅)","2面2線","●M23","1日当たりの乗車人員は、年間乗車人員を日数で除することで算出した参考値","","","1,568人/日（降車客含まず）-2019年-","","","","","","",""
"草津南駅","草津南駅（くさつみなみえき）","https://ja.wikipedia.org/wiki/草津南駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯34度22分41.66秒東経132度23分55.89秒","■宮島線","3.5 km（広電西広島起点）","広島電鉄","地上駅","1924年（大正13年）4月6日","広島市西区草津南三丁目2-1[1]北緯34度22分41.66秒東経132度23分55.89秒﻿ / ﻿北緯34.3782389度 東経132.3988583度﻿ /34.3782389; 132.3988583﻿ (草津南駅)座標:北緯34度22分41.66秒東経132度23分55.89秒﻿ / ﻿北緯34.3782389度 東経132.3988583度﻿ /34.3782389; 132.3988583﻿ (草津南駅)","2面2線","●M24","1日当たりの乗車人員は、年間乗車人員を日数で除することで算出した参考値","","","978人/日（降車客含まず）-2019年-","","","","","","",""
"草薙駅 (JR東海)","草薙駅 (JR東海)（くさなぎえき・東海旅客鉄道東海道本線）","https://ja.wikipedia.org/wiki/草薙駅_(JR東海)","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度0分10.04秒東経138度26分31.23秒","CA東海道本線（静岡地区）","174.2 km（東京起点）","東海旅客鉄道（JR東海）","橋上駅","1926年（大正15年）4月3日","静岡市清水区草薙一丁目3番3号北緯35度0分10.04秒東経138度26分31.23秒﻿ / ﻿北緯35.0027889度 東経138.4420083度﻿ /35.0027889; 138.4420083座標:北緯35度0分10.04秒東経138度26分31.23秒﻿ / ﻿北緯35.0027889度 東経138.4420083度﻿ /35.0027889; 138.4420083","2面2線","CA  15 ","駅員配置駅JR全線きっぷうりば有","クサ","","10,961人/日（降車客含まず）-2019年-","S 10草薙駅-静岡鉄道静岡清水線徒歩3分","","","","","",""
"草薙駅 (静岡鉄道)","草薙駅 (静岡鉄道)（くさなぎえき・静岡鉄道静岡清水線）","https://ja.wikipedia.org/wiki/草薙駅_(静岡鉄道)","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度0分5.49秒東経138度26分34.09秒","S静岡清水線","6.4 km（新静岡起点）","静岡鉄道","地上駅","1908年（明治41年）12月9日","静岡市清水区草薙一丁目北緯35度0分5.49秒東経138度26分34.09秒﻿ / ﻿北緯35.0015250度 東経138.4428028度﻿ /35.0015250; 138.4428028座標:北緯35度0分5.49秒東経138度26分34.09秒﻿ / ﻿北緯35.0015250度 東経138.4428028度﻿ /35.0015250; 138.4428028","相対式 2面2線","S 10","","","7,801人/日-2018年-","3,934人/日（降車客含まず）-2018年-","CA  15 草薙駅（JR東海）","","","","","",""
"草野駅 (福島県)","草野駅 (福島県)（くさのえき・東日本旅客鉄道常磐線）","https://ja.wikipedia.org/wiki/草野駅_(福島県)","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯37度4分25.87秒東経140度56分51.21秒","■常磐線","214.8 km（日暮里起点）","東日本旅客鉄道（JR東日本）","地上駅","1897年（明治30年）8月29日[1]","福島県いわき市平泉崎字向原[1]北緯37度4分25.87秒東経140度56分51.21秒座標:北緯37度4分25.87秒 東経140度56分51.21秒","2面3線[1]","","無人駅","クサ","","397人/日（降車客含まず）-2018年-","","","","","","",""
"草野駅 (兵庫県)","草野駅 (兵庫県)（くさのえき・西日本旅客鉄道福知山線）","https://ja.wikipedia.org/wiki/草野駅_(兵庫県)","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯34度59分48.89秒東経135度9分8.25秒","G福知山線（JR宝塚線）","50.5km（尼崎起点）大阪から57.9 km","西日本旅客鉄道（JR西日本）","地上駅[1]","1958年（昭和33年）3月27日[1]","兵庫県丹波篠山市草野字横道ノ坪146-3[1]北緯34度59分48.89秒東経135度9分8.25秒﻿ / ﻿北緯34.9969139度 東経135.1522917度﻿ /34.9969139; 135.1522917座標:北緯34度59分48.89秒東経135度9分8.25秒﻿ / ﻿北緯34.9969139度 東経135.1522917度﻿ /34.9969139; 135.1522917","2面2線[1]","JR-G66","無人駅（自動券売機 有）[1]","クサ","","239人/日（降車客含まず）-2016年-","","","","","","",""
"朽網駅","朽網駅（くさみえき）","https://ja.wikipedia.org/wiki/朽網駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯33度48分26.34秒東経130度57分18.31秒","JF日豊本線","15.0 km（小倉起点）","九州旅客鉄道（JR九州）","地上駅（橋上駅）","1952年（昭和27年）6月1日[1]","北九州市小倉南区朽網東[1]一丁目1-23北緯33度48分26.34秒東経130度57分18.31秒","2面2線[1]","JF  07 ","業務委託駅みどりの窓口有北九州市内駅","クミ","","2,276人/日（降車客含まず）-2019年-","","","","","","",""
"草道駅","草道駅（くさみちえき）","https://ja.wikipedia.org/wiki/草道駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯31度51分16.42秒東経130度14分0.78秒","肥薩おれんじ鉄道線","107.3km（八代起点）339.6 km（門司港起点）","肥薩おれんじ鉄道","地上駅","1922年（大正11年）7月1日","鹿児島県薩摩川内市水引町字浜田150番地北緯31度51分16.42秒東経130度14分0.78秒﻿ / ﻿北緯31.8545611度 東経130.2335500度﻿ /31.8545611; 130.2335500座標:北緯31度51分16.42秒東経130度14分0.78秒﻿ / ﻿北緯31.8545611度 東経130.2335500度﻿ /31.8545611; 130.2335500","相対式 2面2線","OR26","無人駅","オレクサ","55人/日-2018年-","26人/日（降車客含まず）-2018年-","","","","","","",""
"串駅","串駅（くしえき）","https://ja.wikipedia.org/wiki/串駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯33度38分49.59秒東経132度33分46.68秒","■予讃線（愛ある伊予灘線）","225.0 km（高松起点）","四国旅客鉄道（JR四国）","地上駅","1964年（昭和39年）10月1日","愛媛県伊予市双海町串北緯33度38分49.59秒東経132度33分46.68秒﻿ / ﻿北緯33.6471083度 東経132.5629667度﻿ /33.6471083; 132.5629667座標:北緯33度38分49.59秒東経132度33分46.68秒﻿ / ﻿北緯33.6471083度 東経132.5629667度﻿ /33.6471083; 132.5629667","1面1線","○S10","無人駅","クシ","10[1]人/日-2019年-","","","","","","","",""
"久地駅","久地駅（くじえき・東日本旅客鉄道南武線）","https://ja.wikipedia.org/wiki/久地駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度36分38秒東経139度35分33.1秒","■南武線","14.9 km（川崎起点）","東日本旅客鉄道（JR東日本）","地上駅","1927年（昭和2年）8月11日[1]","川崎市高津区久地四丁目24-1北緯35度36分38秒東経139度35分33.1秒﻿ / ﻿北緯35.61056度 東経139.592528度﻿ /35.61056; 139.592528座標:北緯35度36分38秒東経139度35分33.1秒﻿ / ﻿北緯35.61056度 東経139.592528度﻿ /35.61056; 139.592528","2面2線","JN12","業務委託駅*1944年、久地梅林駅から改称。","クシ","","14,523人/日（降車客含まず）-2019年-","","","","","","",""
"久慈駅","久慈駅（くじえき・東日本旅客鉄道八戸線・三陸鉄道リアス線）","https://ja.wikipedia.org/wiki/久慈駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯40度11分25.0秒東経141度46分14.6秒","","","東日本旅客鉄道（JR東日本・駅詳細）三陸鉄道（駅詳細）","","","岩手県久慈市中央三丁目北緯40度11分25.0秒東経141度46分14.6秒座標:北緯40度11分25.0秒 東経141度46分14.6秒","","","","","","","","","","","","",""
"櫛ケ浜駅","櫛ケ浜駅（くしがはまえき）","https://ja.wikipedia.org/wiki/櫛ケ浜駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯34度1分52.33秒東経131度49分43.23秒","■山陽本線","411.5 km（神戸起点）","西日本旅客鉄道（JR西日本）","地上駅","1928年（昭和3年）2月11日","山口県周南市大字久米字院内3975-1北緯34度1分52.33秒東経131度49分43.23秒﻿ / ﻿北緯34.0312028度 東経131.8286750度﻿ /34.0312028; 131.8286750座標:北緯34度1分52.33秒東経131度49分43.23秒﻿ / ﻿北緯34.0312028度 東経131.8286750度﻿ /34.0312028; 131.8286750","3面5線","","業務委託駅","クシ","","925人/日（降車客含まず）-2019年-","","","","","","",""
"串木野駅","串木野駅（くしきのえき）","https://ja.wikipedia.org/wiki/串木野駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯31度43分16.58秒東経130度16分26.99秒","■鹿児島本線","12.0km（川内起点）門司港から361.2 km","九州旅客鉄道（JR九州）","地上駅","1913年（大正2年）12月15日","鹿児島県いちき串木野市曙町11760北緯31度43分16.58秒東経130度16分26.99秒﻿ / ﻿北緯31.7212722度 東経130.2741639度﻿ /31.7212722; 130.2741639座標:北緯31度43分16.58秒東経130度16分26.99秒﻿ / ﻿北緯31.7212722度 東経130.2741639度﻿ /31.7212722; 130.2741639","1面2線","","業務委託駅みどりの窓口有","クシ","","844人/日（降車客含まず）-2019年-","","","","","","",""
"櫛田駅","櫛田駅（くしだえき）","https://ja.wikipedia.org/wiki/櫛田駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯34度32分55.99秒東経136度34分57.75秒","M山田線","13.9 km（伊勢中川起点）","近畿日本鉄道（近鉄）","地上駅","1930年（昭和5年）3月27日","三重県松阪市豊原町1131-5北緯34度32分55.99秒東経136度34分57.75秒﻿ / ﻿北緯34.5488861度 東経136.5827083度﻿ /34.5488861; 136.5827083座標:北緯34度32分55.99秒東経136度34分57.75秒﻿ / ﻿北緯34.5488861度 東経136.5827083度﻿ /34.5488861; 136.5827083","2面2線"," M66 ","","クシタ","","672人/日（降車客含まず）-2019年-","","","","","","",""
"串間駅","串間駅（くしまえき）","https://ja.wikipedia.org/wiki/串間駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯31度27分46.53秒東経131度13分49.11秒","日南線","74.4 km（南宮崎起点）","九州旅客鉄道（JR九州）","地上駅","1935年（昭和10年）4月15日[1]","宮崎県串間市大字西方[1]北緯31度27分46.53秒東経131度13分49.11秒﻿ / ﻿北緯31.4629250度 東経131.2303083度﻿ /31.4629250; 131.2303083座標:北緯31度27分46.53秒東経131度13分49.11秒﻿ / ﻿北緯31.4629250度 東経131.2303083度﻿ /31.4629250; 131.2303083","1面1線[1]","","簡易委託駅[2]","シマ","","86人/日（降車客含まず）-2015年-","","","","","","",""
