"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","標高","通過路","山系","位置","国","種類","教派","献堂日","地方","団体コード","ISO 3166-2:JP","面積","総人口","人口密度","隣接都道府県","県の木","県の花","県の鳥"
"花立峠 (山形県・宮城県)","[11花立峠はなだて山形県最上郡最上町・宮城県大崎市] 花立峠 （はなだてとうげ）は、 山形県 最上郡 最上町 と 宮城県 大崎市 を結ぶ 峠 である。標高796m。","https://ja.wikipedia.org/wiki/花立峠_(山形県・宮城県)","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯38度47分26秒東経140度36分2秒","山形県最上郡最上町・宮城県大崎市","796m","山形県道・宮城県道63号最上鬼首線","奥羽山脈","","","","","","","","","","","","","","",""
"山刀伐峠","[12山刀伐峠なたぎり山形県最上郡最上町・尾花沢市] 山刀伐峠 （なたぎりとうげ）とは、 山形県 最上郡 最上町 と 尾花沢市 を結ぶ 峠 である。標高390m。","https://ja.wikipedia.org/wiki/山刀伐峠","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯38度41分25秒東経140度31分42秒","山形県最上郡最上町・尾花沢市","390m","山形県道28号尾花沢最上線（山刀伐トンネル）","奥羽山脈","","","","","","","","","","","","","","",""
"板谷峠","[13板谷峠いたや山形県米沢市・福島県福島市] 板谷峠 （いたやとうげ）は、 山形県 南部の 吾妻山 北麓にある、 奥羽山脈 を越える山形県・ 福島県 境近くの 峠 のことである。標高は755  m で、 米沢藩 の 参勤交代 路としても使われていた。","https://ja.wikipedia.org/wiki/板谷峠","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯37度48分34.5秒東経140度15分2.9秒","山形県米沢市","755m","山形県道232号板谷米沢停車場線山形新幹線・奥羽本線（板谷トンネル）","奥羽山脈","","","","","","","","","","","","","","",""
"笹谷峠","[14笹谷峠ささや宮城県柴田郡川崎町・山形県山形市] 笹谷峠 （ささやとうげ）は、 宮城県 と 山形県 とを結ぶ最古の 峠 である。標高906m。","https://ja.wikipedia.org/wiki/笹谷峠","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯38度13分41秒東経140度28分10秒","宮城県柴田郡川崎町・山形県山形市","906m","国道286号山形自動車道（笹谷トンネル）","蔵王連峰","","","","","","","","","","","","","","",""
"苅田峠 (存在しないページ)","[15苅田峠かった宮城県刈田郡蔵王町・七ヶ宿町・山形県上山市]","https://ja.wikipedia.org/w/index.php?title=苅田峠&amp;action=edit&amp;redlink=1","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","","","","","","","","","","","","","","","","","","","",""
"金山峠 (山形県・宮城県)","[16金山峠かねやま宮城県刈田郡七ヶ宿町・山形県上山市] 金山峠 （かねやまとうげ）は、 山形県 上山市 と 宮城県 刈田郡 七ヶ宿町 を結ぶ 峠 である。標高623m。","https://ja.wikipedia.org/wiki/金山峠_(山形県・宮城県)","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯38度3分24.8秒東経140度17分50.4秒","山形県上山市・宮城県刈田郡七ヶ宿町","623m","山形県道・宮城県道13号上山七ヶ宿線","奥羽山脈","","","","","","","","","","","","","","",""
"大内峠","[17大内峠おおうち福島県大沼郡会津美里町・会津若松市・南会津郡下郷町] 大内峠 （おおうちとうげ）は、 福島県 会津若松市 と同県 南会津郡 下郷町 の境界にある峠。峠の南側には、古くの 宿場 の雰囲気を残し、 茅葺き の民家などが残る 大内宿 が存在する。","https://ja.wikipedia.org/wiki/大内峠","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯37度21分26秒東経139度52分49秒","福島県会津若松市・南会津郡下郷町","899m","福島県道131号下郷会津本郷線","奥羽山脈","","","","","","","","","","","","","","",""
"六十里越","[18六十里越ろくじゅうりごえ福島県南会津郡只見町・新潟県魚沼市] 六十里越 （ろくじゅうりごえ）は、 新潟県 魚沼市 と 福島県 南会津郡 只見町 との間にある 峠 。","https://ja.wikipedia.org/wiki/六十里越","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯37度18分14秒東経139度12分52秒","新潟県魚沼市・福島県南会津郡只見町","863m","国道252号（六十里越トンネル）只見線（六十里越トンネル）","越後山脈","","","","","","","","","","","","","","",""
"金精峠","[19金精峠こんせい栃木県日光市・群馬県利根郡片品村] 金精峠 （こんせいとうげ）は、 栃木県 日光市 と 群馬県 利根郡 片品村 との境にある 標高 2024mの 峠 である。","https://ja.wikipedia.org/wiki/金精峠","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯36度49分08秒 東経139度23分42秒","日本栃木県日光市群馬県利根郡片品村","2,024m","国道120号","日光連山","","","","","","","","","","","","","","",""
"細尾峠","[20細尾峠ほそお栃木県日光市] 細尾峠 （ほそおとうげ）は、 栃木県 日光市 にある 峠 である。","https://ja.wikipedia.org/wiki/細尾峠","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯36度42分38秒東経139度30分51秒","日本栃木県日光市","1,197m","国道122号（日足トンネル）","足尾山地","","","","","","","","","","","","","","",""
"三国峠 (群馬県・新潟県)","[21三国峠みくに群馬県利根郡みなかみ町・新潟県南魚沼郡湯沢町] 三国峠 （みくにとうげ）は、 日本 の 新潟県 南魚沼郡 湯沢町 ・ 群馬県 利根郡 みなかみ町 の境（ 上越国境 ）を越える 峠 である。","https://ja.wikipedia.org/wiki/三国峠_(群馬県・新潟県)","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯36度45分58秒東経138度49分21秒","新潟県南魚沼郡湯沢町・群馬県利根郡みなかみ町三国峠-地理院地図三国峠-Google マップ","","国道17号（三国トンネル）三国街道","三国山脈","","","","","","","","","","","","","","",""
"暮坂峠","[22暮坂峠くれさか群馬県吾妻郡中之条町] 暮坂峠 （くれさかとうげ）は 群馬県 吾妻郡 中之条町 にある 峠 。","https://ja.wikipedia.org/wiki/暮坂峠","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯36度36分8秒東経138度41分3秒","群馬県吾妻郡中之条町","1088m","群馬県道55号中之条草津線","","","","","","","","","","","","","","","",""
"十石峠","[23十石峠じっこく群馬県多野郡上野村・長野県南佐久郡佐久穂町] 十石峠 （じっこくとうげ）  は、 長野県 南佐久郡 佐久穂町 と 群馬県 多野郡 上野村 の間にある 峠 。","https://ja.wikipedia.org/wiki/十石峠","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯36度6分22秒東経138度38分50秒","群馬県多野郡上野村・長野県南佐久郡佐久穂町","1,351m","国道299号国道462号","関東山地","","","","","","","","","","","","","","",""
"十文字峠","[24十文字峠じゅうもんじ埼玉県秩父市・長野県南佐久郡川上村] 十文字峠 （じゅうもんじとうげ）とは、 長野県 南佐久郡 川上村 と 埼玉県 秩父市 の境、 奥秩父 にある 峠 。標高1,962m。","https://ja.wikipedia.org/wiki/十文字峠","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯35度56分34秒東経138度44分05秒","日本埼玉県秩父市長野県南佐久郡川上村","1,962m","","奥秩父山塊","","","","","","","","","","","","","","",""
"雁坂峠","[25雁坂峠かりさか埼玉県秩父市・山梨県山梨市] 雁坂峠 （かりさかとうげ）は 埼玉県 秩父市 と 山梨県 山梨市 の境にある 峠 。 標高 2,082m。 奥秩父 の山域の主脈の一つであり 針ノ木峠 、 三伏峠 と並び、「日本三大峠」に数えられる。","https://ja.wikipedia.org/wiki/雁坂峠","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯35度53分34秒東経138度47分24秒","埼玉県秩父市・山梨県山梨市","2,082m","国道140号（秩父往還）（雁坂トンネル）","奥秩父山塊","","","","","","","","","","","","","","",""
"妻坂峠 (存在しないページ)","[26妻坂峠つまさか埼玉県飯能市・秩父郡横瀬町]","https://ja.wikipedia.org/w/index.php?title=妻坂峠&amp;action=edit&amp;redlink=1","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","","","","","","","","","","","","","","","","","","","",""
"境ノ明神峠 (存在しないページ)","[27境ノ明神峠さかいのみょうじん茨城県久慈郡大子町・栃木県那須郡那珂川町]","https://ja.wikipedia.org/w/index.php?title=境ノ明神峠&amp;action=edit&amp;redlink=1","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","","","","","","","","","","","","","","","","","","","",""
"横根峠 (存在しないページ)","[28横根峠よこね千葉県鴨川市・富津市・安房郡鋸南町]","https://ja.wikipedia.org/w/index.php?title=横根峠&amp;action=edit&amp;redlink=1","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","","","","","","","","","","","","","","","","","","","",""
"小仏峠","[29小仏峠こぼとけ東京都八王子市・神奈川県相模原市] 小仏峠 （こぼとけとうげ）は、 東京都 八王子市 裏高尾町 と 神奈川県 相模原市 緑区 の間にある 峠 。 多摩川 水系と 相模川 水系とを隔てる 分水界 。 標高 は548m。","https://ja.wikipedia.org/wiki/小仏峠","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯35度38分08秒東経139度13分00秒","日本東京都八王子市裏高尾町神奈川県相模原市緑区千木良","548m","","","北緯35度38分08秒東経139度13分00秒﻿ / ﻿北緯35.63556度 東経139.21667度﻿ /35.63556; 139.21667座標:北緯35度38分08秒東経139度13分00秒﻿ / ﻿北緯35.63556度 東経139.21667度﻿ /35.63556; 139.21667","","","","","","","","","","","","","",""
"御殿峠","[30御殿峠ごてん東京都八王子市・町田市] 御殿峠 （ごてんとうげ）は、 東京都 八王子市 片倉町 と 町田市 相原町 の境に位置する 国道16号 の 峠 である。 標高 183mは国道16号線の最高点。 御殿峠の周囲が杉山だった時期もあったことから杉山峠ともいう  。 御殿山 の麓に位置し、新道、旧道、古道が存在する。御殿山の東稜を切り開いて開通した新道は自動車交通の要衝である一方、古道は数少ない 鎌倉街道 の跡でもある。 日本閣 の私有地となり入れない場所もある。","https://ja.wikipedia.org/wiki/御殿峠","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯35度37分16秒東経139度20分28秒","八王子市宇津貫町","183mm","国道16号鎌倉街道大山道","","","","","","","","","","","","","","","",""
"足柄峠","[31足柄峠あしがら神奈川県南足柄市・静岡県駿東郡小山町] 足柄峠 （あしがらとうげ）は 静岡県 駿東郡 小山町 と 神奈川県 南足柄市 の間にある 峠 。 箱根外輪山 から北に伸びた 尾根 上に位置し、 箱根峠 とともに 東海道 を構成する。 標高 759m  。","https://ja.wikipedia.org/wiki/足柄峠","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯35度19分10秒東経139度0分43秒","静岡県駿東郡小山町・神奈川県南足柄市","759m","静岡県道・神奈川県道78号御殿場大井線","箱根外輪山","","","","","","","","","","","","","","",""
"長尾峠 (神奈川県・静岡県)","[32長尾峠ながお神奈川県足柄下郡箱根町・静岡県御殿場市] 長尾峠 （ながおとうげ）は 神奈川県 足柄下郡 箱根町 と 静岡県 御殿場市 の間にある 峠 。 箱根外輪山 にある。 標高 911m。","https://ja.wikipedia.org/wiki/長尾峠_(神奈川県・静岡県)","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯35度15分31秒東経138度58分30秒","神奈川県足柄下郡箱根町・静岡県御殿場市","911m","静岡県道401号・神奈川県道736号御殿場箱根線（長尾トンネル）","箱根外輪山","","","","","","","","","","","","","","",""
"大菩薩峠","[33大菩薩峠だいぼさつ山梨県甲州市・北都留郡小菅村] 大菩薩峠 （だいぼさつとうげ）は、 山梨県 甲州市 塩山上萩原と 北都留郡 小菅村 鞍部の境にある 峠 。 標高 1,897 m  。 大菩薩嶺 （標高2,057m）の南方約2kmに位置する尾根の鞍部である   。","https://ja.wikipedia.org/wiki/大菩薩峠","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯35度44分9秒東経138度51分12秒","山梨県甲州市・北都留郡小菅村","1,897m","","大菩薩連嶺・奥秩父山塊","","","","","","","","","","","","","","",""
"御坂峠","[34御坂峠みさか山梨県笛吹市・南都留郡富士河口湖町] 御坂峠 （みさかとうげ）は、 山梨県 南都留郡 富士河口湖町 と同県 笛吹市 御坂町にまたがる 峠 。鎌倉往還御坂路のルート上にある。御坂の名は 日本武尊 が東国遠征の際に越えたことに由来するとされる。","https://ja.wikipedia.org/wiki/御坂峠","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯35度33分23秒東経138度45分49秒","山梨県南都留郡富士河口湖町・笛吹市","1520m","国道137号（新御坂トンネル）山梨県道708号富士河口湖笛吹線（御坂隧道）","御坂山地","","","","","","","","","","","","","","",""
"鳥井峠","[35鳥井峠とりい新潟県東蒲原郡阿賀町・福島県耶麻郡西会津町] 鳥井峠 （とりいとうげ）は 新潟県 東蒲原郡 阿賀町 と 福島県 耶麻郡 西会津町 の境界にある峠である。標高199メートル。","https://ja.wikipedia.org/wiki/鳥井峠","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯37度39分38秒東経139度34分39秒","日本福島県耶麻郡西会津町新潟県東蒲原郡阿賀町","199m","国道49号","越後山脈","","","","","","","","","","","","","","",""
"倶利伽羅峠","[36倶利伽羅峠くりから富山県小矢部市・石川県河北郡津幡町] 倶利伽羅峠 （くりからとうげ）は、 富山県 と 石川県 の境にある 砺波山 の 峠 である。倶 梨 伽羅峠と表記することもある。","https://ja.wikipedia.org/wiki/倶利伽羅峠","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","","日本石川県河北郡津幡町富山県小矢部市","277m","国道8号くりからバイパス（倶利伽羅トンネル）石川県道・富山県道286号刈安安楽寺線北陸新幹線（新倶利伽羅トンネル）あいの風とやま鉄道線（倶利伽羅トンネル）","砺波山","","","","","","","","","","","","","","",""
"朴峠 (存在しないページ)","[37朴峠ほお富山県南砺市]","https://ja.wikipedia.org/w/index.php?title=朴峠&amp;action=edit&amp;redlink=1","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","","","","","","","","","","","","","","","","","","","",""
"谷峠","[38谷峠たに石川県白山市・福井県勝山市] 谷峠 （たにとうげ）は、 石川県 白山市 白峰 と 福井県 勝山市 北谷町の境界にある 峠 。最高地点の 標高 は910m。","https://ja.wikipedia.org/wiki/谷峠","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯36度08分00.4秒東経136度35分13.0秒","日本石川県白山市福井県勝山市","910m","国道157号","","","","","","","","","","","","","","","",""
"木の芽峠","[39木の芽峠きのめ福井県南条郡南越前町・敦賀市] 木ノ芽峠 （きのめとうげ）は、 福井県 の 嶺北 （越前地方）と 嶺南 （若狭地方）を隔てる 峠 である。 木嶺 （もくれい）とも言い、「嶺北」「嶺南」の語源となっている。","https://ja.wikipedia.org/wiki/木の芽峠","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯35度43分1秒東経136度8分26秒","福井県南条郡南越前町・敦賀市","628m","国道476号（木ノ芽峠トンネル）北陸自動車道（敦賀トンネル）北陸本線（北陸トンネル）","","","","","","","","","","","","","","","",""
"野麦峠","[40野麦峠のむぎ岐阜県高山市・長野県松本市] 野麦峠 （のむぎとうげ）は、 岐阜県 高山市 と 長野県 松本市 の県境に位置し、 飛騨国 と 信濃国 を結ぶ鎌倉街道・江戸街道と呼ばれる街道の 峠 。 乗鞍岳 と 鎌ヶ峰 の間にあり、標高1,672 m。 長野県道・岐阜県道39号奈川野麦高根線 が通っている。","https://ja.wikipedia.org/wiki/野麦峠","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯36度3分7秒東経137度36分19秒","岐阜県高山市・長野県松本市","1,672m","長野県道・岐阜県道39号奈川野麦高根線","飛騨山脈","","","","","","","","","","","","","","",""
"大門峠","[41大門峠だいもん長野県茅野市・小県郡長和町] 大門峠 （だいもんとうげ）は、 長野県 茅野市 と同県 小県郡 長和町 の境にある 峠 。 国道152号 が通過している。","https://ja.wikipedia.org/wiki/大門峠","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯36度6分36.6秒東経138度14分3.8秒","長野県茅野市・小県郡長和町","1,441m","国道152号","八ヶ岳連峰・霧ヶ峰","","","","","","","","","","","","","","",""
"関田峠 (存在しないページ)","[42関田峠せきた長野県飯山市・新潟県上越市]","https://ja.wikipedia.org/w/index.php?title=関田峠&amp;action=edit&amp;redlink=1","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","","","","","","","","","","","","","","","","","","","",""
"針ノ木峠","[43針ノ木峠はりのき長野県大町市・富山県中新川郡立山町] 針ノ木峠 （はりノきとうげ）は、 長野県 大町市 と 富山県 中新川郡 立山町 にまたがる 峠 。 飛騨山脈 （ 後立山連峰 ）の 針ノ木岳 と 蓮華岳 の鞍部に位置。標高は2,536 m  。","https://ja.wikipedia.org/wiki/針ノ木峠","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯36度32分13.8秒東経137度41分39.8秒","日本長野県大町市・富山県中新川郡立山町","2,536m","","飛騨山脈（後立山連峰）","","","","","","","","","","","","","","",""
"修那羅峠 (存在しないページ)","[44修那羅峠しょなら長野県東筑摩郡筑北村・小県郡青木村]","https://ja.wikipedia.org/w/index.php?title=修那羅峠&amp;action=edit&amp;redlink=1","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","","","","","","","","","","","","","","","","","","","",""
"徳本峠","[45徳本峠とくごう長野県松本市] 霞沢岳 （かすみざわだけ）は、 飛騨山脈 （北アルプス）南部に位置する 標高 は2,646 m の 山 。山体すべてが 長野県 松本市 に属する。","https://ja.wikipedia.org/wiki/徳本峠","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯36度13分16秒東経137度38分26秒","長野県松本市","2,645.60m","","飛騨山脈（常念山脈）","北緯36度13分16秒東経137度38分26秒﻿ / ﻿北緯36.22111度 東経137.64056度﻿ /36.22111; 137.64056座標:北緯36度13分16秒東経137度38分26秒﻿ / ﻿北緯36.22111度 東経137.64056度﻿ /36.22111; 137.64056","","","","","","","","","","","","","",""
"和田峠 (長野県)","[46和田峠わだ長野県小県郡長和町・諏訪郡下諏訪町] 和田峠 （わだとうげ）は 中山道 （中仙道）の 峠 で、 長野県 小県郡 長和町 と 諏訪郡 下諏訪町 の間にある。最大標高1,531m。","https://ja.wikipedia.org/wiki/和田峠_(長野県)","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯36度8分42秒東経138度8分38秒","長野県小県郡長和町・諏訪郡下諏訪町和田峠-地理院地図和田峠-Google マップ","1,531m","国道142号（和田峠トンネル）新和田トンネル有料道路（新和田トンネル）","筑摩山地","","","","","","","","","","","","","","",""
"碓氷峠","[47碓氷峠うすい長野県北佐久郡軽井沢町・群馬県安中市] 碓氷峠 （うすいとうげ）は、 群馬県 安中市 松井田町坂本 と 長野県 北佐久郡 軽井沢町 との境にある 日本 の 峠 である。 標高 は約960メートル (m)。 信濃川 水系と 利根川 水系とを分ける 中央分水嶺 である。峠の長野県側に降った雨は 日本海 へ、群馬県側に降った雨は 太平洋 へ流れる。","https://ja.wikipedia.org/wiki/碓氷峠","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯36度20分41.6秒東経138度39分3.8秒","群馬県安中市松井田町坂本・長野県北佐久郡軽井沢町","960m","国道18号北陸新幹線（碓氷峠トンネル）","関東山地","","","","","","","","","","","","","","",""
"杖突峠","[48杖突峠つえつき長野県茅野市・伊那市] 杖突峠 （つえつきとうげ）は、 長野県 伊那市 と 茅野市 との境にある 峠 。標高1,247 メートル 。古くは 東山道 、 杖突街道 、 国道256号 が通り  、現在は 国道152号 が通っている  。 日本百名峠 。","https://ja.wikipedia.org/wiki/杖突峠","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯35度58分17.8秒東経138度07分28.1秒","長野県伊那市・茅野市","1,247m","国道152号","赤石山脈（南アルプス）","","","","","","","","","","","","","","",""
"権兵衛峠 (存在しないページ)","[49権兵衛峠ごんべえ長野県塩尻市・上伊那郡南箕輪村]","https://ja.wikipedia.org/w/index.php?title=権兵衛峠&amp;action=edit&amp;redlink=1","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","","","","","","","","","","","","","","","","","","","",""
"鳥居峠 (長野県)","[50鳥居峠とりい長野県塩尻市・木曽郡木祖村] 鳥居峠 （とりいとうげ）は、 長野県 の 塩尻市 奈良井と 木曽郡 木祖村 藪原を結ぶ 峠 。 標高 は1,197m。 峠山 の標高は約1,415.7m、旧 中山道 の難所であった。","https://ja.wikipedia.org/wiki/鳥居峠_(長野県)","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯35度57分6秒東経137度47分47秒","長野県塩尻市・木曽郡木祖村","1,197m","国道19号（新鳥居トンネル）中央本線（鳥居トンネル）","","","","","","","","","","","","","","","",""
"馬籠峠","[51馬籠峠まごめ長野県木曽郡南木曽町・岐阜県中津川市] 馬籠峠 （まごめとうげ）は、 長野県 木曽郡 南木曽町 と 岐阜県 中津川市 の境にある旧 中山道 の 峠 。 標高 790メートル。","https://ja.wikipedia.org/wiki/馬籠峠","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯35度32分20秒東経137度35分4秒","長野県木曽郡南木曽町・岐阜県中津川市","790m","岐阜県道・長野県道7号中津川南木曽線","木曽山脈","","","","","","","","","","","","","","",""
