"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","標高","山系","種類","初登頂","最新噴火","最高峰","上位山系","延長","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden"
"室蘭岳","[11室蘭岳むろらんだけ911m北海道オクエゾサイシン地理院地図Google Map鷲別岳] 鷲別岳 （わしべつだけ）とは、 北海道 登別市 と 室蘭市 にまたがる山。 標高 911m。 北海道百名山 に選定されている。","https://ja.wikipedia.org/wiki/室蘭岳","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯42度26分08秒東経141度00分11秒","日本北海道室蘭市・登別市","北緯42度26分08秒東経141度00分11秒﻿ / ﻿北緯42.43556度 東経141.00306度﻿ /42.43556; 141.00306座標:北緯42度26分08秒東経141度00分11秒﻿ / ﻿北緯42.43556度 東経141.00306度﻿ /42.43556; 141.00306","911.1m","支笏・洞爺","成層火山","","","","","","","","","","","","","",""
"白雲山","[12白雲山はくうんざん1,186m北海道ナガバキタアザミ地理院地図Google Map然別湖] 白雲山 （はくうんざん）は、 北海道 河東郡 上士幌町 の 標高 1,186 m の 山 。","https://ja.wikipedia.org/wiki/白雲山_(北海道)","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯43度15分32秒東経143度6分55秒","北海道河東郡上士幌町","北緯43度15分32秒東経143度6分55秒﻿ / ﻿北緯43.25889度 東経143.11528度﻿ /43.25889; 143.11528座標:北緯43度15分32秒東経143度6分55秒﻿ / ﻿北緯43.25889度 東経143.11528度﻿ /43.25889; 143.11528","1,186m","石狩山地","溶岩ドーム","","","","","","","","","","","","","",""
"北八甲田山","[13北八甲田山きたはっこうださん1,584m青森県サンカヨウサワラン地理院地図Google Map日本百名山]","https://ja.wikipedia.org/w/index.php?title=北八甲田山&amp;action=edit&amp;redlink=1","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"八幡平","[14八幡平はちまんたい1,613m秋田県岩手県タテヤマリンドウイソツツジ地理院地図Google Map花の百名山日本百名山] 八幡平 （はちまんたい）は、 秋田県 と 岩手県 にまたがる 標高 1,614 m の山及びその周囲の高原台地  。 深田久弥 の 日本百名山 に挙げられている   。山域は 1956年 （昭和31年）に 十和田八幡平国立公園 に指定されている。","https://ja.wikipedia.org/wiki/八幡平","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯39度57分28秒東経140度51分15秒","日本岩手県八幡平市秋田県仙北市・鹿角市","北緯39度57分28秒東経140度51分15秒﻿ / ﻿北緯39.95778度 東経140.85417度﻿ /39.95778; 140.85417座標:北緯39度57分28秒東経140度51分15秒﻿ / ﻿北緯39.95778度 東経140.85417度﻿ /39.95778; 140.85417","1,613.50m","奥羽山脈","成層火山","","","","","","","","","","","","","",""
"種山高原","[15種山高原たねやまこうげん870m岩手県ムシカリ地理院地図Google Map種山ヶ原] 種山ヶ原 （たねやまがはら）は、 岩手県 奥州市 、 気仙郡 住田町 、 遠野市 にまたがる物見山（種山）を頂点とした標高600-870メートルに位置した 高原 地帯である。 北上高地 の南西部の東西11キロメートル、南北20キロメートルに及ぶ平原状の山で、物見山・大森山・立石などを総称して別名「 種山高原 」とも呼ばれている。 宮沢賢治 ゆかりの景勝地「 イーハトーブの風景地 」の一つとして国の 名勝 に指定されている。","https://ja.wikipedia.org/wiki/種山高原","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"秋田駒ヶ岳","[16秋田駒ヶ岳あきたこまがたけ1,637m秋田県岩手県キオンヒナザクラ地理院地図Google Map日本二百名山新日本百名山秋田県の最高峰] 秋田駒ヶ岳 （あきたこまがたけ）とは、 秋田県 仙北市 と 岩手県 岩手郡 雫石町 に跨る 活火山 である。 十和田八幡平国立公園 の南端。標高1,637m。全国に数多い 駒ヶ岳 のなかで最も 高山植物 の豊富な山としても知られる。 日本二百名山 の一つである。","https://ja.wikipedia.org/wiki/秋田駒ヶ岳","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯39度45分39.9774秒東経140度47分57.7149秒","日本秋田県仙北市岩手県岩手郡雫石町","北緯39度45分39.9774秒東経140度47分57.7149秒﻿ / ﻿北緯39.761104833度 東経140.799365250度﻿ /39.761104833; 140.799365250座標:北緯39度45分39.9774秒東経140度47分57.7149秒﻿ / ﻿北緯39.761104833度 東経140.799365250度﻿ /39.761104833; 140.799365250","1,637.4m","奥羽山脈","成層火山（活火山ランクB）","","1971年","","","","","","","","","","","",""
"早池峰山","[17早池峰山はやちねさん1,917m岩手県ハヤチネウスユキソウナンブイヌナズナミヤマオダマキ地理院地図Google Mapヒメコザクラ花の百名山日本百名山] 早池峰山 （はやちねさん）は、 岩手県 にある 標高 1917mの 山 。 北上山地 の最高峰で 日本百名山  、 新日本百名山  、 花の百名山  、 新・花の百名山  及び 一等三角点百名山  に選定されている。 六角牛山 、 石上山 と共に「遠野三山」と呼ばれる  。山頂は 宮古市 、 遠野市 、 花巻市 の3つの市の境界となっている。","https://ja.wikipedia.org/wiki/早池峰山","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯39度33分31秒東経141度29分19秒","日本岩手県宮古市・遠野市・花巻市","北緯39度33分31秒東経141度29分19秒﻿ / ﻿北緯39.55861度 東経141.48861度﻿ /39.55861; 141.48861座標:北緯39度33分31秒東経141度29分19秒﻿ / ﻿北緯39.55861度 東経141.48861度﻿ /39.55861; 141.48861","1917m","北上山地","","","","","","","","","","","","","","",""
"姫神山","[18姫神山ひめかみやま1,124m岩手県ガンコウラン地理院地図Google Map石川啄木日本二百名山] 姫神山 （ひめかみさん）は、 岩手県 盛岡市 にある山である。独立峰でピラミッド型をした山容が特徴である。山頂には一等三角点がある。 日本二百名山 の一つである。","https://ja.wikipedia.org/wiki/姫神山_(岩手県)","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯39度50分39秒東経141度14分49秒","日本岩手県盛岡市","北緯39度50分39秒東経141度14分49秒﻿ / ﻿北緯39.84417度 東経141.24694度﻿ /39.84417; 141.24694座標:北緯39度50分39秒東経141度14分49秒﻿ / ﻿北緯39.84417度 東経141.24694度﻿ /39.84417; 141.24694","1,123.8m","北上山地","","","","","","","","","","","","","","",""
"栗駒山","[19栗駒山くりこまやま1,627m宮城県秋田県岩手県クルマユリムシトリスミレ地理院地図Google Map花の百名山日本二百名山新日本百名山] 栗駒山 （くりこまやま）は、山体が 宮城県 、 秋田県 、 岩手県 の三県にまたがる 山 である。 標高 は1,626m  。山頂部は 宮城県 と 岩手県 の境界になっている。 奥羽山脈 に属し、 焼石岳 や 神室山 とともに 栗駒国定公園 や栗駒山・栃ヶ森周辺森林生態系保護地域として指定されている。 二百名山 の一つ。","https://ja.wikipedia.org/wiki/栗駒山","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯38度57分39秒東経140度47分18秒","日本岩手県一関市宮城県栗原市秋田県湯沢市・雄勝郡東成瀬村","北緯38度57分39秒東経140度47分18秒﻿ / ﻿北緯38.96083度 東経140.78833度﻿ /38.96083; 140.78833座標:北緯38度57分39秒東経140度47分18秒﻿ / ﻿北緯38.96083度 東経140.78833度﻿ /38.96083; 140.78833","1,626m","奥羽山脈","成層火山(活火山ランクB)","","1944年11月20日（昭和湖）","","","","","","","","","","","",""
"鳥海山","[20鳥海山ちょうかいさん2,236m秋田県山形県ニッコウキスゲチョウカイフスマ地理院地図Google Map花の百名山日本百名山、新日本百名山山形県の最高峰] 鳥海山 （ちょうかいさん、ちょうかいざん  ）は、 山形県 と 秋田県 に跨がる 標高 2,236mの 活火山 。山頂に雪が積もった姿が富士山に類似しているため、 出羽富士 （でわふじ）とも呼ばれ親しまれている。秋田県では 秋田富士 （あきたふじ）、山形県では 庄内富士 （しょうないふじ）とも呼ばれている。古くからの名では鳥見山（とりみやま）という。 鳥海国定公園 に属する。 日本百名山  ・ 日本百景 の一つ。2007年（平成19年）に 日本の地質百選 に選定された。2009年（平成21年）に 国史跡 「鳥海山」として指定された。","https://ja.wikipedia.org/wiki/鳥海山","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯39度05分57秒東経140度02分56秒","日本山形県飽海郡遊佐町・酒田市・秋田県由利本荘市・にかほ市","北緯39度05分57秒東経140度02分56秒﻿ / ﻿北緯39.09917度 東経140.04889度﻿ /39.09917; 140.04889座標:北緯39度05分57秒東経140度02分56秒﻿ / ﻿北緯39.09917度 東経140.04889度﻿ /39.09917; 140.04889","2,236m","出羽山地","成層火山","","","","","","","","","","","","","",""
"月山","[21月山がっさん1,984m山形県ウズラバハクサンチドリクロユリ地理院地図Google Map花の百名山日本百名山、新日本百名山] 月山 （がっさん）は、 山形県 の中央部にあり、 出羽丘陵 の南部に位置する 標高 1,984mの 火山 。山域は 磐梯朝日国立公園 の特別区域に指定され、 日本百名山  、 新日本百名山  、 花の百名山  及び 新・花の百名山  に選定されている。また、山麓は 月山山麓湧水群 として 名水百選  、 月山行人清水の森 として 水源の森百選 にも選定されている。","https://ja.wikipedia.org/wiki/月山","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯38度32分56秒東経140度01分37秒","日本山形県鶴岡市・東田川郡庄内町・最上郡大蔵村・西村山郡西川町","北緯38度32分56秒東経140度01分37秒﻿ / ﻿北緯38.54889度 東経140.02694度﻿ /38.54889; 140.02694﻿ (月山)座標:北緯38度32分56秒東経140度01分37秒﻿ / ﻿北緯38.54889度 東経140.02694度﻿ /38.54889; 140.02694﻿ (月山)","1,984m","出羽山地","成層火山","","","","","","","","","","","","","",""
"鎌倉岳","[22鎌倉岳かまくらだけ967m福島県クリンソウ地理院地図Google Map田村市] 鎌倉岳 （かまくらだけ）は、 阿武隈高地 中部、 福島県 田村市 常葉（ときわ）地区に位置する標高967mの山である  。 東北百名山 ならびに うつくしま百名山 の一つに選ばれている。","https://ja.wikipedia.org/wiki/鎌倉岳_(田村市)","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯37度28分01秒東経140度41分20秒","日本福島県田村市","北緯37度28分01秒東経140度41分20秒﻿ / ﻿北緯37.46694度 東経140.68889度﻿ /37.46694; 140.68889座標:北緯37度28分01秒東経140度41分20秒﻿ / ﻿北緯37.46694度 東経140.68889度﻿ /37.46694; 140.68889","966.6m","阿武隈高地","","","","","","","","","","","","","","",""
"大滝根山","[23大滝根山おおたきねやま1,192m福島県シャクナゲ地理院地図Google Map花の百名山日本三百名山] 大滝根山 （おおたきねやま）は、 福島県 田村市 と 双葉郡 川内村 との境界にそびえる山である。 標高 1,192.1mで 阿武隈高地 の最高峰である。","https://ja.wikipedia.org/wiki/大滝根山","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯37度21分18秒東経140度42分06秒","日本福島県田村市・双葉郡川内村","北緯37度21分18秒東経140度42分06秒﻿ / ﻿北緯37.35500度 東経140.70167度﻿ /37.35500; 140.70167座標:北緯37度21分18秒東経140度42分06秒﻿ / ﻿北緯37.35500度 東経140.70167度﻿ /37.35500; 140.70167","1,192.1m","阿武隈高地","","","","","","","","","","","","","","",""
"会津駒ヶ岳","[24会津駒ヶ岳あいづこまがたけ2,133m福島県コバイケイソウクロクモソウ地理院地図Google Map尾瀬国立公園日本百名山] 会津駒ヶ岳 （あいづこまがだけ）は、 福島県 南会津郡 檜枝岐村 にある 標高 2,133mの 山 である。 日本百名山 の一つ。一等 三角点 「岩駒ケ岳」（標高2,132.4m）設置。","https://ja.wikipedia.org/wiki/会津駒ヶ岳","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯37度02分51.4秒東経139度21分13.6秒","日本福島県南会津郡檜枝岐村","北緯37度02分51.4秒東経139度21分13.6秒﻿ / ﻿北緯37.047611度 東経139.353778度﻿ /37.047611; 139.353778座標:北緯37度02分51.4秒東経139度21分13.6秒﻿ / ﻿北緯37.047611度 東経139.353778度﻿ /37.047611; 139.353778","2,133m","越後山脈","","","","","","","","","","","","","","",""
"燧ヶ岳","[25燧ヶ岳ひうちがたけ2,356m福島県キンコウカツルコケモモ地理院地図Google Map尾瀬国立公園日本百名山福島県の最高峰] 燧ヶ岳 （ひうちがたけ）は 福島県 にある 火山 。山頂は 南会津郡 檜枝岐村 に属する。 尾瀬国立公園 内にあり、 至仏山 とともに 尾瀬 を代表する山でもある。 東北地方 最高峰（ 標高 2,356 m）であり 日本百名山 に選定されている。","https://ja.wikipedia.org/wiki/燧ヶ岳","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯36度57分18秒東経139度17分07秒","福島県南会津郡檜枝岐村","北緯36度57分18秒東経139度17分07秒﻿ / ﻿北緯36.95500度 東経139.28528度﻿ /36.95500; 139.28528座標:北緯36度57分18秒東経139度17分07秒﻿ / ﻿北緯36.95500度 東経139.28528度﻿ /36.95500; 139.28528","2,356m","独立峰","複成火山","","","","","","","","","","","","","",""
"日光白根山","[26日光白根山にっこうしらねさん2,578m栃木県群馬県シラネアオイ地理院地図Google Map日光国立公園日本百名山栃木県・群馬県の最高峰] 日光白根山 （にっこうしらねさん）は、 栃木県 日光市 と 群馬県 利根郡 片品村 の境界にある 標高 2,578mの 山 。","https://ja.wikipedia.org/wiki/日光白根山","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯36度47分55秒東経139度22分33秒","日本栃木県日光市・群馬県利根郡片品村","北緯36度47分55秒東経139度22分33秒﻿ / ﻿北緯36.79861度 東経139.37583度﻿ /36.79861; 139.37583座標:北緯36度47分55秒東経139度22分33秒﻿ / ﻿北緯36.79861度 東経139.37583度﻿ /36.79861; 139.37583","2,578m","日光火山群","溶岩ドーム","","","","","","","","","","","","","",""
"上州武尊山","[27上州武尊山じょうじゅうほたかやま2,158m群馬県ウメバチソウ地理院地図Google Map武尊山日本百名山] 武尊山 （ほたかやま）は、 群馬県 利根郡 みなかみ町 、 川場村 、 片品村 の境にある 標高 2,158 m の 成層火山 である。 北アルプス の 穂高岳 と区別するため、 上州武尊山 とも呼ばれる。 日本百名山  及び 新・花の百名山  に選定されている山である。","https://ja.wikipedia.org/wiki/上州武尊山","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯36度48分19秒東経139度07分57秒","日本群馬県利根郡みなかみ町、川場村、片品村","北緯36度48分19秒東経139度07分57秒﻿ / ﻿北緯36.80528度 東経139.13250度﻿ /36.80528; 139.13250座標:北緯36度48分19秒東経139度07分57秒﻿ / ﻿北緯36.80528度 東経139.13250度﻿ /36.80528; 139.13250","2157.96m","独立峰","成層火山","","","","","","","","","","","","","",""
"赤城山","[28赤城山あかぎさん1,827m群馬県クサタチバナ地理院地図Google Map日本百名山] 赤城山 （あかぎさん、あかぎやま、 後述 ）は、 関東地方 の北部、 群馬県 のほぼ中央に位置する 山 。 太平洋プレート が オホーツクプレート に沈み込んでできた 島弧 型火山である。また、赤城山は、カルデラ湖を伴う カルデラ を持つ、関東地方で有数の 複成火山 である。","https://ja.wikipedia.org/wiki/赤城山","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯36度33分39秒東経139度11分37秒","日本群馬県前橋市・桐生市・渋川市・沼田市・利根郡昭和村","北緯36度33分39秒東経139度11分37秒﻿ / ﻿北緯36.5608度 東経139.1936度﻿ /36.5608; 139.1936座標:北緯36度33分39秒東経139度11分37秒﻿ / ﻿北緯36.5608度 東経139.1936度﻿ /36.5608; 139.1936","1,827.6m","独立峰","複成火山（活火山ランクC）","","","","","","","","","","","","","",""
"榛名山","[29榛名山はるなさん1,390m群馬県ユウスゲ地理院地図Google Map榛名富士上毛三山] 榛名山 （はるなさん）は、 関東地方 の北部の 群馬県 にある 上毛三山 の一つであり、古来 山岳信仰 を受けてきた山である。山の南西麓に 榛名神社 が祀られている。","https://ja.wikipedia.org/wiki/榛名山","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯36度28分38秒東経138度51分02秒","日本群馬県高崎市","北緯36度28分38秒東経138度51分02秒﻿ / ﻿北緯36.47722度 東経138.85056度﻿ /36.47722; 138.85056座標:北緯36度28分38秒東経138度51分02秒﻿ / ﻿北緯36.47722度 東経138.85056度﻿ /36.47722; 138.85056","1,449m","独立峰","成層火山（活火山ランクB）","","","","","","","","","","","","","",""
"鳴神山","[30鳴神山なるかみやま980m群馬県イワタバコ地理院地図Google Map桐生市] 鳴神山 （なるかみやま）は、 群馬県 桐生市 にある、 標高 980 m の 山 である。","https://ja.wikipedia.org/wiki/鳴神山","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯36度29分25秒東経139度21分41秒","日本群馬県桐生市","北緯36度29分25秒東経139度21分41秒﻿ / ﻿北緯36.49028度 東経139.36139度﻿ /36.49028; 139.36139座標:北緯36度29分25秒東経139度21分41秒﻿ / ﻿北緯36.49028度 東経139.36139度﻿ /36.49028; 139.36139","980m","","","","","","","","","","","","","","","",""
"石裂山","[31石裂山おざくさん879m栃木県フタバアオイ地理院地図Google Map鹿沼市] 石裂山 （おざくさん、尾鑿山  ）は、 栃木県 鹿沼市 入粟野にある標高879mの山。","https://ja.wikipedia.org/wiki/石裂山","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯36度35分50秒東経139度34分53秒","栃木県鹿沼市","北緯36度35分50秒東経139度34分53秒﻿ / ﻿北緯36.59722度 東経139.58139度﻿ /36.59722; 139.58139座標:北緯36度35分50秒東経139度34分53秒﻿ / ﻿北緯36.59722度 東経139.58139度﻿ /36.59722; 139.58139","1,020m","足尾山地","","","","","","","","","","","","","","",""
"三毳山","[32三毳山みかもやま229m栃木県カタクリ地理院地図Google Mapカタクリの群生地] 三毳山の南側の一部は県営都市公園「みかも山公園」となっており  、山麓にはみかも山公園東口広場、みかも山公園西口広場、みかも山公園南口広場などが整備されて市民の憩いの場となっている。また、山の北側に カタクリ の群生地があり、「万葉自然公園かたくりの里」と呼ばれている  。山麓からは何本かのハイキングコースがあるほか、東口・西口・南口の各広場からはフラワートレインが運行されているので、これを利用して登ることもできる。","https://ja.wikipedia.org/wiki/三毳山","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯36度18分57.5秒東経139度37分45.3秒","日本栃木県佐野市・栃木市","北緯36度18分57.5秒東経139度37分45.3秒﻿ / ﻿北緯36.315972度 東経139.629250度﻿ /36.315972; 139.629250座標:北緯36度18分57.5秒東経139度37分45.3秒﻿ / ﻿北緯36.315972度 東経139.629250度﻿ /36.315972; 139.629250","229m","","","","","","","","","","","","","","","",""
