"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","球場規模","所有者","グラウンド","照明","開場","管理・運用者","フェンス","スコアボード","設計者","起工","創設","監督","閉場","建設者","建設費","分類","面積","運営者"
"オリックス・バファローズ (ファーム)","[オリックス・バファローズ-舞洲バファローズスタジアム（オセアンバファローズスタジアム舞洲、大阪府・大阪市此花区）] オリックス・バファローズ （ ORIX Buffaloes ）の ファーム は、 日本 の プロ野球 球団・ オリックス・バファローズ の下部組織として設置されている ファームチーム である。 ウエスタン・リーグ の球団のひとつ。","https://ja.wikipedia.org/wiki/オリックス・バファローズ_(ファーム)","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","1949年（一軍は1936年）","小林宏","","","","","",""
"阪神タイガース (ファーム)","[阪神タイガース-阪神鳴尾浜球場（兵庫県・西宮市）] 阪神タイガース （ Hanshin Tigers ）の ファーム は、 日本 の プロ野球 球団・ 阪神タイガース の下部組織として設置されている ファームチーム である。 ウエスタン・リーグ の球団のひとつ。","https://ja.wikipedia.org/wiki/阪神タイガース_(ファーム)","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","1950年（一軍は1935年）","平田勝男","","","","","",""
"広島東洋カープ (ファーム)","[広島東洋カープ-広島東洋カープ由宇練習場（山口県・岩国市）] 広島東洋カープ （ひろしまとうようカープ、 Hiroshima Toyo Carp ）の ファーム は、 日本 の プロ野球 球団・ 広島東洋カープ の下部組織として設置されている二軍チームである。 ウエスタン・リーグ の球団のひとつ。","https://ja.wikipedia.org/wiki/広島東洋カープ_(ファーム)","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","1950年","高信二","","","","","",""
"福岡ソフトバンクホークス (ファーム)","[福岡ソフトバンクホークス-HAWKSベースボールパーク筑後（タマホームスタジアム筑後、福岡県・筑後市）] 福岡ソフトバンクホークス （ふくおかソフトバンクホークス、 Fukuoka SoftBank Hawks ）の ファーム は、 日本 の プロ野球 球団・ 福岡ソフトバンクホークス の下部組織として設置されている ファームチーム である。 ウエスタン・リーグ の球団のひとつ。","https://ja.wikipedia.org/wiki/福岡ソフトバンクホークス_(ファーム)","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","1949年","藤本博史","","","","","",""
"富良野市","[富良野ブルーリッジ - 富良野市民球場（北海道・富良野市）[2] 富良野市 （ふらのし）は、 北海道 北部（ 道北地方南部 ）に位置し、 上川総合振興局 に属する 市 。","https://ja.wikipedia.org/wiki/富良野市","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯43度20分31秒東経142度23分00秒","〒076-8555北海道富良野市弥生町1-1北緯43度20分31秒東経142度23分00秒﻿ / ﻿北緯43.34194度 東経142.38333度﻿ /43.34194; 142.38333座標:北緯43度20分31秒東経142度23分00秒﻿ / ﻿北緯43.34194度 東経142.38333度﻿ /43.34194; 142.38333","","","","","","","","","","","","","","","","","600.71km2",""
"美唄市","[美唄ブラックダイヤモンズ - 美唄市営野球場（北海道・美唄市）[3] 美唄市 （びばいし）は、 北海道 中部（ 道央地方 ）に位置し、 空知総合振興局 に属する市。","https://ja.wikipedia.org/wiki/美唄市","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯43度19分58.6秒東経141度51分13.6秒","〒072-8660北海道美唄市西3条南1丁目1番1号北緯43度19分58.6秒東経141度51分13.6秒﻿ / ﻿北緯43.332944度 東経141.853778度﻿ /43.332944; 141.853778座標:北緯43度19分58.6秒東経141度51分13.6秒﻿ / ﻿北緯43.332944度 東経141.853778度﻿ /43.332944; 141.853778","","","","","","","","","","","","","","","","","277.69km2",""
"士別市ふどう野球場","[士別サムライブレイズ -士別市ふどう野球場（北海道・士別市）[2] 士別市ふどう野球場 （しべつしふどうやきゅうじょう）は、 北海道 士別市 の士別市ふどう公園内にある野球場。","https://ja.wikipedia.org/wiki/士別市ふどう野球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯44度9分48.8秒東経142度22分32.2秒","北海道士別市南士別町1612番地3","グラウンド面積：12,564㎡両翼：92m 中堅：116m","士別市","内野：土外野：天然芝","なし","昭和42年","士別市","","あり","","","","","","","","","",""
"青葉公園 (石狩市)","[石狩レッドフェニックス -青葉公園野球場（北海道・石狩市）[2] 青葉公園 （あおばこうえん）は、 北海道 石狩市 にある 公園 。 石狩湾新港地域 にある。","https://ja.wikipedia.org/wiki/青葉公園_(石狩市)#施設","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯43度11分50秒東経141度19分01秒","日本北海道石狩市新港南","","","","","","","","","","","","","","","","運動公園","13.1ヘクタール","石狩総合管理協同組合（指定管理者）"
"福島レッドホープス","[福島レッドホープス-須賀川市牡丹台野球場（福島県・須賀川市）] 福島レッドホープス （ふくしまレッドホープス、Fukushima RedHopes）は、 プロ野球 独立リーグ の ベースボール・チャレンジ・リーグ （ルートインBCリーグ）に所属する 福島県 のプロ野球球団である。 2015年 よりリーグに加盟した。2018年11月20日以前のチーム名は「 福島ホープス 」（改名の経緯は後述）。","https://ja.wikipedia.org/wiki/福島レッドホープス","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","2014年","岩村明憲","","","","","",""
"茨城アストロプラネッツ","[茨城アストロプラネッツ-鹿窪運動公園野球場（茨城県・結城市）] 茨城県では、1947年に存在し 国民野球連盟 に加盟していた 結城ブレーブス 以来のプロ野球団となる。高校と大学で野球経験のある代表者が、就職後に勤務地の 長野県 で 信濃グランセローズ に接したことで、自らの出身地である茨城県に球団を作る構想を抱き  、構想の発表から約2年をかけて加盟を実現させた  。","https://ja.wikipedia.org/wiki/茨城アストロプラネッツ","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","2017年","ジョニー・セリス","","","","","",""
"栃木ゴールデンブレーブス","[栃木ゴールデンブレーブス-小山運動公園野球場（栃木県・小山市）] 栃木ゴールデンブレーブス （とちぎゴールデンブレーブス、Tochigi Golden Braves）は、 プロ野球 独立リーグ ・ ベースボール・チャレンジ・リーグ （ルートインBCリーグ）に所属する 栃木県 のプロ野球チーム。 2016年 加盟。","https://ja.wikipedia.org/wiki/栃木ゴールデンブレーブス","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","2016年","寺内崇幸","","","","","",""
"群馬ダイヤモンドペガサス","[群馬ダイヤモンドペガサス-高崎市城南野球場（群馬県・高崎市）※本拠地] 群馬ダイヤモンドペガサス （ぐんまダイヤモンドペガサス、Gunma Diamond Pegasus）は、 プロ野球 独立リーグ ・ ベースボール・チャレンジ・リーグ （ルートインBCにリーグ）に所属する 群馬県 のプロ野球チーム。 2008年 加盟。","https://ja.wikipedia.org/wiki/群馬ダイヤモンドペガサス","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","2007年","牧野塁","","","","","",""
"埼玉武蔵ヒートベアーズ","[埼玉武蔵ヒートベアーズ-熊谷さくら運動公園野球場（埼玉県・熊谷市）※本拠地] 代表取締役CEO　山﨑 寿樹","https://ja.wikipedia.org/wiki/埼玉武蔵ヒートベアーズ","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","2013年","角晃多","","","","","",""
"神奈川フューチャードリームス","[神奈川フューチャードリームス-平塚球場（神奈川県・平塚市）西地区] 2019年 にリーグへの加盟が認められ、 2020年 のシーズンよりリーグ戦に参加した。リーグでは12番目の球団となる  。同年シーズンはリーグの東地区(FUTURE-East)に所属する予定だった  が、 新型コロナウイルス感染拡大 に伴う実施要項変更により、同年シーズンは東地区のグループB所属となった  。2021年も東地区に所属する  。","https://ja.wikipedia.org/wiki/神奈川フューチャードリームス","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","2019年","鈴木尚典","","","","","",""
