"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","標高","位置","山系","種類","初登頂","法人番号","最新噴火","国","地方","都道府県","市町村コード","面積","総人口","人口密度","隣接自治体","市の木","市の花","市長"
"小津権現山","[11小津権現山おづごんげんやま1,157.79　二等小津揖斐川町小津三山] 小津権現山 （おづごんげんさん、おづごんげんやま  ）は、 両白山地 南部（ 越美山地 ）の 岐阜県 揖斐郡 揖斐川町  にある 標高 1,158 m の 山  。別名が、 権現山  。","https://ja.wikipedia.org/wiki/小津権現山","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯35度35分51秒東経136度29分40秒","日本岐阜県揖斐郡揖斐川町","1,157.70m","北緯35度35分51秒東経136度29分40秒﻿ / ﻿北緯35.59750度 東経136.49444度﻿ /35.59750; 136.49444座標:北緯35度35分51秒東経136度29分40秒﻿ / ﻿北緯35.59750度 東経136.49444度﻿ /35.59750; 136.49444","越美山地","","","","","","","","","","","","","","",""
"花房山 (岐阜県)","[12花房山はなぶさやま1,189.51　三等水飲揖斐川町小津三山] 花房山 （はなぶさやま）は、 両白山地 南部  （ 越美山地 ）の 岐阜県 揖斐郡 揖斐川町 にある 標高 1,189 m の 山 。","https://ja.wikipedia.org/wiki/花房山_(岐阜県)","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯35度37分12.547秒東経136度31分9.603秒","日本岐阜県揖斐郡揖斐川町","1,189.49m","北緯35度37分12.547秒東経136度31分9.603秒﻿ / ﻿北緯35.62015194度 東経136.51933417度﻿ /35.62015194; 136.51933417座標:北緯35度37分12.547秒東経136度31分9.603秒﻿ / ﻿北緯35.62015194度 東経136.51933417度﻿ /35.62015194; 136.51933417","越美山地","","","","","","","","","","","","","","",""
"雷倉 (存在しないページ)","[13雷倉かみなりくら1,168.62　二等矢谷揖斐川町・本巣市小津三山]","https://ja.wikipedia.org/w/index.php?title=雷倉&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"タンポ (揖斐川町) (存在しないページ)","[14タンポたんぽ1,065.75　一等月夜谷山揖斐川町・本巣市]","https://ja.wikipedia.org/w/index.php?title=タンポ_(揖斐川町)&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"天狗山 (揖斐川町) (存在しないページ)","[15天狗山てんぐやま1,149.15　二等川尻揖斐川町]","https://ja.wikipedia.org/w/index.php?title=天狗山_(揖斐川町)&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"蕎麦粒山","[16蕎麦粒山そむぎやま1,296.71　二等蕎坪山揖斐川町] 蕎麦粒山 （そばつぶやま、そむぎやま）は、 山 の名前。","https://ja.wikipedia.org/wiki/蕎麦粒山","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"五蛇池山 (存在しないページ)","[17五蛇池山ごしゃいけやま1,147.58　三等五蛇池揖斐川町]","https://ja.wikipedia.org/w/index.php?title=五蛇池山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"上谷山 (存在しないページ)","[18上谷山うえんだにやま1,082.94　二等開田揖斐川町]","https://ja.wikipedia.org/w/index.php?title=上谷山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"黒壁 (揖斐川町) (存在しないページ)","[19黒壁くろかべ1,316.33　三等高丸揖斐川町別名「高丸」]","https://ja.wikipedia.org/w/index.php?title=黒壁_(揖斐川町)&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"三周ヶ岳","[20三周ヶ岳さんしゅうがだけ1,292.02　一等三周岳揖斐川町夜叉ヶ池] 三周ヶ岳 （さんしゅうがたけ）は、 岐阜県 揖斐郡 揖斐川町 門入  の 越美山地 西部の 標高 1,292 m の 山 である  。","https://ja.wikipedia.org/wiki/三周ヶ岳","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯35度41分01秒東経136度18分00秒","日本揖斐郡揖斐川町","1292.02m","北緯35度41分01秒東経136度18分00秒﻿ / ﻿北緯35.68361度 東経136.30000度﻿ /35.68361; 136.30000座標:北緯35度41分01秒東経136度18分00秒﻿ / ﻿北緯35.68361度 東経136.30000度﻿ /35.68361; 136.30000","越美山地（両白山地）","","","","","","","","","","","","","","",""
"美濃俣丸 (存在しないページ)","[21美濃俣丸みのまたまる1,253.80　三等三周岳揖斐川町・福井県]","https://ja.wikipedia.org/w/index.php?title=美濃俣丸&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"不動山 (存在しないページ)","[22不動山千回沢山ふどうさんせんがざわやま1,240.311,246.01　三等二等不動山荒谷揖斐川町揖斐川町]","https://ja.wikipedia.org/w/index.php?title=不動山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"笹ヶ峰 (岐阜・福井県境) (存在しないページ)","[23笹ヶ峰ささがみね1,284.59　三等長所揖斐川町・福井県]","https://ja.wikipedia.org/w/index.php?title=笹ヶ峰_(岐阜・福井県境)&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"釈迦嶺 (存在しないページ)","[24釈迦嶺しゃかりょう1,175.12　三等釈迦嶺揖斐川町]","https://ja.wikipedia.org/w/index.php?title=釈迦嶺&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"金草岳","[25金草岳かなくさだけ1,227.14　二等塚奥山揖斐川町・福井県] 金草岳 （かなくさだけ）は、 両白山地 南部の越美山地の 岐阜県 揖斐郡 揖斐川町  、 福井県 今立郡 池田町 と 南条郡 南越前町 にまたがる 標高 1,227 m の 山   。別名が「金糞ヶ岳」（かなくそがだけ）と「塚奥山」  。塚奥山は、 徳山村 塚の奥にある山であることに由来する  。","https://ja.wikipedia.org/wiki/金草岳","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯35度47分13.116秒東経136度21分35.786977秒","日本岐阜県揖斐郡揖斐川町福井県今立郡池田町、南条郡南越前町","1,227.09m","北緯35度47分13.116秒東経136度21分35.786977秒﻿ / ﻿北緯35.78697667度 東経136.35994082694度﻿ /35.78697667; 136.35994082694座標:北緯35度47分13.116秒東経136度21分35.786977秒﻿ / ﻿北緯35.78697667度 東経136.35994082694度﻿ /35.78697667; 136.35994082694","越美山地","","","","","","","","","","","","","","",""
"冠山 (岐阜・福井県境)","[26冠山かんむりやま1,256.60　三等冠山揖斐川町・福井県日本三百名山] 冠山 （かんむりやま）は、 両白山地 南部の越美山地の 岐阜県 と 福井県 にまたがる 標高 1,256 m の 山 である。 揖斐川 及び 九頭竜川 支流 の 足羽川 の源流となる山で、 冠山峠 がその 分水嶺 となっている。","https://ja.wikipedia.org/wiki/冠山_(岐阜・福井県境)","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯35度46分47秒東経136度24分34秒","日本岐阜県揖斐郡揖斐川町福井県今立郡池田町","1,256.57m","北緯35度46分47秒東経136度24分34秒﻿ / ﻿北緯35.77972度 東経136.40944度﻿ /35.77972; 136.40944座標:北緯35度46分47秒東経136度24分34秒﻿ / ﻿北緯35.77972度 東経136.40944度﻿ /35.77972; 136.40944","両白山地（越美山地）","","","","","","","","","","","","","","",""
"若丸山 (存在しないページ)","[27若丸山わかまるやま1,285.73　二等若丸山本巣市・福井県]","https://ja.wikipedia.org/w/index.php?title=若丸山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"能郷白山","[28能郷白山のうごうはくさん1,617.33　一等能郷白山本巣市・揖斐川町・福井県日本二百名山] 能郷白山 （のうごうはくさん）は、 岐阜県 本巣市 、 揖斐郡 揖斐川町 と 福井県 大野市 にまたがり、 両白山地 に属する 標高 の1,617 m の 山 。越美山地の 最高峰 。","https://ja.wikipedia.org/wiki/能郷白山","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯35度45分45秒東経136度30分51秒","日本岐阜県本巣市、揖斐郡揖斐川町福井県大野市","1,617.33m","北緯35度45分45秒東経136度30分51秒﻿ / ﻿北緯35.76250度 東経136.51417度﻿ /35.76250; 136.51417座標:北緯35度45分45秒東経136度30分51秒﻿ / ﻿北緯35.76250度 東経136.51417度﻿ /35.76250; 136.51417","両白山地（越美山地）","","（718年泰澄上人が開山）","","","","","","","","","","","","",""
"高屋山 (存在しないページ)","[29高屋山たかやさん1,136.06　三等高屋本巣市]","https://ja.wikipedia.org/w/index.php?title=高屋山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"大白木山 (存在しないページ)","[30大白木山おじろぎやま1,234.46　二等黒津本巣市]","https://ja.wikipedia.org/w/index.php?title=大白木山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"越山 (存在しないページ)","[31越山おやま1,129.25　三等赤岩本巣市・福井県]","https://ja.wikipedia.org/w/index.php?title=越山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"屏風山 (福井県・岐阜県) (存在しないページ)","[32屏風山びょうぶさん1,354.20　二等屏風山本巣市・福井県]","https://ja.wikipedia.org/w/index.php?title=屏風山_(福井県・岐阜県)&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"舟伏山 (本巣市・山県市)","[33舟伏山ふなぶせやま1,040.27　二等船伏山本巣市・山県市] 舟伏山 （船伏山、ふなぶせやま、ふなふせやま  ）は、 岐阜県 本巣市 と 山県市  にまたがる 標高 1,040.3 m の 越美山地 の 山  。 濃尾平野 や 岐阜市 郊外から  船 を伏せたような平坦な 尾根 が北東から南西にのびている山容が、山名の由来といわれている  。 松丸国照によって、1967-調査された。","https://ja.wikipedia.org/wiki/舟伏山_(本巣市・山県市)","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯35度39分29.7737秒東経136度40分53.2515秒","日本岐阜県本巣市、山県市","1,040.28m","北緯35度39分29.7737秒東経136度40分53.2515秒﻿ / ﻿北緯35.658270472度 東経136.681458750度﻿ /35.658270472; 136.681458750座標:北緯35度39分29.7737秒東経136度40分53.2515秒﻿ / ﻿北緯35.658270472度 東経136.681458750度﻿ /35.658270472; 136.681458750","越美山地","","","","","","","","","","","","","","",""
"日永岳 (存在しないページ)","[34日永岳ひながだけ1,215.72　三等日永岳関市・山県市]","https://ja.wikipedia.org/w/index.php?title=日永岳&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"ドウの天井 (存在しないページ)","[35ドウの天井どうのてんじょう1,332.66　二等上大須関市・山県市]","https://ja.wikipedia.org/w/index.php?title=ドウの天井&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"蕪山 (存在しないページ)","[36蕪山かぶらやま1,068.86　二等松葉関市]","https://ja.wikipedia.org/w/index.php?title=蕪山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"左門岳","[37左門岳さもんだけ1,223.62　三等左門岳本巣市・関市] 左門岳 （さもんだけ）は、 福井県 と 岐阜県 境、 両白山地 の南部にある、 越美山地 を形成する山の一つ。近隣には平家岳、日永岳がある。東側は関市板取を流れる 板取川 の水源  である。西側は根尾東谷川の水源である  。登山口手前に揚水発電所下池（ 上大須ダム ）がある。","https://ja.wikipedia.org/wiki/左門岳","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯35度46分54秒東経136度40分05秒","日本福井県大野市・岐阜県本巣市・関市","1,224.20m","北緯35度46分54秒東経136度40分05秒﻿ / ﻿北緯35.78167度 東経136.66806度﻿ /35.78167; 136.66806座標:北緯35度46分54秒東経136度40分05秒﻿ / ﻿北緯35.78167度 東経136.66806度﻿ /35.78167; 136.66806","両白山地越美山地","","","","","","","","","","","","","","",""
"滝波山 (存在しないページ)","[38滝波山たきなみやま1,412.46　三等滝波山関市]","https://ja.wikipedia.org/w/index.php?title=滝波山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"今淵ヶ岳 (存在しないページ)","[39今淵ヶ岳いまぶちがだけ1,048.42　三等今淵岳美濃市高賀三山]","https://ja.wikipedia.org/w/index.php?title=今淵ヶ岳&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"瓢ヶ岳 (存在しないページ)","[40瓢ヶ岳ふくべがたけ1,162.63　三等瓢ケ岳美濃市・郡上市高賀三山]","https://ja.wikipedia.org/w/index.php?title=瓢ヶ岳&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"高賀山","[41高賀山こうかさん1,224.20　一等高賀山関市・郡上市高賀三山] 高賀山 （こうかさん、こうがさん  ）は、 岐阜県 郡上市 と 関市 にまたがる 越美山地 東部の 標高 1,224.20 m の 山 。 濃尾平野 最北の 長良川 中流域に位置する。別称が「高賀嶽」  。","https://ja.wikipedia.org/wiki/高賀山","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯35度40分19秒東経136度51分33秒","日本岐阜県郡上市、関市","1,224.20m","北緯35度40分19秒東経136度51分33秒﻿ / ﻿北緯35.67194度 東経136.85917度﻿ /35.67194; 136.85917座標:北緯35度40分19秒東経136度51分33秒﻿ / ﻿北緯35.67194度 東経136.85917度﻿ /35.67194; 136.85917","越美山地","","","","","","","","","","","","","","",""
"大洞山","[42大洞山おおぼらやま1,034.56　一等黒津本巣市・福井県] 大洞山","https://ja.wikipedia.org/wiki/大洞山","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"烏帽子岳 (飛騨高地)","[44烏帽子岳えぼしだけ1,625.20　二等奥住郡上市] 烏帽子岳 （えぼしだけ）は、 岐阜県 高山市 と 郡上市   にまたがる 飛騨高地 の 標高 1,625.2 m の 山   。","https://ja.wikipedia.org/wiki/烏帽子岳_(飛騨高地)","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯35度56分2.41秒東経136度59分52.69秒","日本岐阜県高山市、郡上市","1,625.20m","北緯35度56分2.41秒東経136度59分52.69秒﻿ / ﻿北緯35.9340028度 東経136.9979694度﻿ /35.9340028; 136.9979694座標:北緯35度56分2.41秒東経136度59分52.69秒﻿ / ﻿北緯35.9340028度 東経136.9979694度﻿ /35.9340028; 136.9979694","飛騨高地","","","","","","","","","","","","","","",""
"鷲ヶ岳 (岐阜県)","[45鷲ヶ岳わしがだけ1,671.48　三等鷲ヶ岳郡上市日本三百名山] 鷲ヶ岳 （わしがたけ）は、 岐阜県 郡上市 と 高山市 にまたがる 飛騨高地 の 標高 1,671 m の 山 。 日本三百名山  および ぎふ百山  の一つに選定されている。別称は、「雲ヶ嶽」（雲ヶ岳　くもがたけ）  、「雲ヶ峰」  。","https://ja.wikipedia.org/wiki/鷲ヶ岳_(岐阜県)","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯35度56分25秒東経136度58分17秒","日本岐阜県郡上市・高山市","1,671.48m","北緯35度56分25秒東経136度58分17秒﻿ / ﻿北緯35.94028度 東経136.97139度﻿ /35.94028; 136.97139座標:北緯35度56分25秒東経136度58分17秒﻿ / ﻿北緯35.94028度 東経136.97139度﻿ /35.94028; 136.97139","飛騨高地","","","","","","","","","","","","","","",""
"大日ヶ岳","[46大日ヶ岳だいにちがだけ1,708.87　一等大日ケ岳郡上市日本二百名山] 大日ヶ岳 （だいにちがたけ）は、 白山国立公園 内  の 両白山地 南部に位置し、 岐阜県 高山市 と 郡上市 にまたがる 標高 1,709 m の 山 である。","https://ja.wikipedia.org/wiki/大日ヶ岳","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯36度00分05秒東経136度50分16秒","日本岐阜県郡上市、高山市","1708.87m","北緯36度00分05秒東経136度50分16秒﻿ / ﻿北緯36.00139度 東経136.83778度﻿ /36.00139; 136.83778座標:北緯36度00分05秒東経136度50分16秒﻿ / ﻿北緯36.00139度 東経136.83778度﻿ /36.00139; 136.83778","両白山地","","717年 (泰澄上人)","","","","","","","","","","","","",""
"毘沙門岳","[47毘沙門岳びしゃもんだけ1,385.45　三等毘沙門岳郡上市] 毘沙門岳 （びしゃもんだけ）は、 福井県 大野市 と 岐阜県 郡上市   にまたがる 両白山地 の 標高 1,385. 3 m の 山   。","https://ja.wikipedia.org/wiki/毘沙門岳","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯35度56分20.7998秒東経136度47分32.4377秒","日本福井県大野市、岐阜県郡上市","1,385.34m","北緯35度56分20.7998秒東経136度47分32.4377秒﻿ / ﻿北緯35.939111056度 東経136.792343806度﻿ /35.939111056; 136.792343806座標:北緯35度56分20.7998秒東経136度47分32.4377秒﻿ / ﻿北緯35.939111056度 東経136.792343806度﻿ /35.939111056; 136.792343806","両白山地","","","","","","","","","","","","","","",""
"野伏ヶ岳","[48野伏ヶ岳のぶせがだけ1,674.28　三等野伏郡上市・福井県日本三百名山] 野伏ヶ岳 （のぶせがたけ）は、 岐阜県 郡上市 白鳥町 と 福井県 大野市 の境にある、 標高 1,674 m の 山 。 両白山地 の山で、 日本三百名山  及び ぎふ百山  に選定されている。","https://ja.wikipedia.org/wiki/野伏ヶ岳","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯36度00分46秒東経136度43分57秒","日本岐阜県郡上市白鳥町福井県大野市","1,674.28m","北緯36度00分46秒東経136度43分57秒﻿ / ﻿北緯36.01278度 東経136.73250度﻿ /36.01278; 136.73250座標:北緯36度00分46秒東経136度43分57秒﻿ / ﻿北緯36.01278度 東経136.73250度﻿ /36.01278; 136.73250","両白山地","","","","","","","","","","","","","","",""
"願教寺山 (存在しないページ)","[49願教寺山がんきょうじやま1,690.88　三等願教寺山郡上市・福井県]","https://ja.wikipedia.org/w/index.php?title=願教寺山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"芦倉山 (存在しないページ)","[50芦倉山丸山あしくらやままるやま1,716.731,785.95　三等二等芦倉丸山谷郡上市・高山市郡上市・高山市]","https://ja.wikipedia.org/w/index.php?title=芦倉山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"高天良山 (存在しないページ)","[51高天良山たかでらやま908.04　二等赤岩下呂市]","https://ja.wikipedia.org/w/index.php?title=高天良山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"屏風山 (岐阜県)","[52屏風山びょうぶやま794.10　一等屏風山瑞浪市・恵那市] 屏風山 （びょうぶざん、びょうぶやま）は、 岐阜県 瑞浪市 と 恵那市 とにまたがる 標高 794.1 m の 山 である。","https://ja.wikipedia.org/wiki/屏風山_(岐阜県)","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯35度22分02.5秒東経137度19分31.9秒","日本岐阜県瑞浪市・恵那市","794.1m","北緯35度22分02.5秒東経137度19分31.9秒﻿ / ﻿北緯35.367361度 東経137.325528度﻿ /35.367361; 137.325528座標:北緯35度22分02.5秒東経137度19分31.9秒﻿ / ﻿北緯35.367361度 東経137.325528度﻿ /35.367361; 137.325528","","","","","","","","","","","","","","","",""
"ロクロ天井 (存在しないページ)","[53ロクロ天井ろくろてんじょう1,471.19　二等阿木中津川市]","https://ja.wikipedia.org/w/index.php?title=ロクロ天井&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"焼山 (岐阜県) (存在しないページ)","[54焼山やけやま1,709.17　三等焼山中津川市・長野県]","https://ja.wikipedia.org/w/index.php?title=焼山_(岐阜県)&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
