"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","位置","所属事業者","所属路線","キロ程","電報略号","駅構造","ホーム","乗車人員,-統計年度-","開業年月日","備考","乗降人員,-統計年度-","駅番号","乗降人員,-統計年次-","乗換","乗車人員,-統計年次-","標高","Hidden","Hidden","Hidden","Hidden"
"医王寺前駅","医王寺前駅（いおうじまええき）","https://ja.wikipedia.org/wiki/医王寺前駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","福島県福島市飯坂町平野字道添14北緯37度48分59.2秒東経140度26分46.2秒﻿ / ﻿北緯37.816444度 東経140.446167度﻿ /37.816444; 140.446167座標:北緯37度48分59.2秒東経140度26分46.2秒﻿ / ﻿北緯37.816444度 東経140.446167度﻿ /37.816444; 140.446167","","福島交通","福島交通飯坂線","7.4 km（福島駅起点）","","地上駅","1面2線","","1925年（大正14年）6月20日","1925年仏坂上駅として開業1926年現駅名に改称","592人/日-2018年-","","","","","","","",""
"伊尾木駅","伊尾木駅（いおきえき）","https://ja.wikipedia.org/wiki/伊尾木駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","高知県安芸市伊尾木北緯33度29分27.56秒東経133度55分44.73秒","","土佐くろしお鉄道（TKT）","■ごめん・なはり線","30.4 km（後免起点）","イオ","地上駅","単式 1面1線","","2002年（平成14年）7月1日","無人駅","50[1]人/日-2019年-","○GN26","","","","","","",""
"井荻駅","井荻駅（いおぎえき）","https://ja.wikipedia.org/wiki/井荻駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","東京都杉並区下井草五丁目23-15北緯35度43分28.3秒東経139度36分52.8秒﻿ / ﻿北緯35.724528度 東経139.614667度﻿ /35.724528; 139.614667座標:北緯35度43分28.3秒東経139度36分52.8秒﻿ / ﻿北緯35.724528度 東経139.614667度﻿ /35.724528; 139.614667","","西武鉄道","■新宿線","10.7 km（西武新宿起点）","","地上駅","2面2線（別に通過線1本あり）","","1927年（昭和2年）4月16日","上りホーム有効長は8両編成分","19,818人/日-2019年-","SS11","","","","","","",""
"伊賀駅","伊賀駅（いがえき）","https://ja.wikipedia.org/wiki/伊賀駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","福岡県糟屋郡粕屋町長者原西一丁目20北緯33度37分14.90秒東経130度28分24.87秒﻿ / ﻿北緯33.6208056度 東経130.4735750度﻿ /33.6208056; 130.4735750座標:北緯33度37分14.90秒東経130度28分24.87秒﻿ / ﻿北緯33.6208056度 東経130.4735750度﻿ /33.6208056; 130.4735750","","九州旅客鉄道（JR九州）","JD香椎線","18.2 km（西戸崎起点）","イカ","地上駅","1面1線","825人/日（降車客含まず）-2019年-","1904年（明治37年）1月1日","無人駅駅集中管理システム（Smart Support Station）採用*1908年に長者原駅から改称。","","JD  10 ","","","","","","",""
"伊賀上野駅","伊賀上野駅（いがうえのえき）","https://ja.wikipedia.org/wiki/伊賀上野駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","三重県伊賀市三田北緯34度47分20.55秒東経136度7分24.91秒﻿ / ﻿北緯34.7890417度 東経136.1235861度﻿ /34.7890417; 136.1235861座標:北緯34度47分20.55秒東経136度7分24.91秒﻿ / ﻿北緯34.7890417度 東経136.1235861度﻿ /34.7890417; 136.1235861","","西日本旅客鉄道（JR西日本）伊賀鉄道","V関西本線（JR西日本）","94.5 km（名古屋起点）亀山から34.6  km","ヘノ","地上駅","2面4線","（JR西日本）-2019年-525人/日（降車客含まず）（伊賀鉄道）-2019年-278人/日（降車客含まず）","1897年（明治30年）1月15日（JR）1916年（大正5年）8月8日（伊賀）[1]","共同使用駅（JR西日本の管轄駅）直営駅みどりの窓口有","","","","","","","","",""
"伊香牛駅","伊香牛駅（いかうしえき）","https://ja.wikipedia.org/wiki/伊香牛駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","北海道上川郡当麻町伊香牛北緯43度52分34.12秒東経142度31分31.09秒","","北海道旅客鉄道（JR北海道）","■石北本線","19.5 km（新旭川起点）","イカ","地上駅","2面2線","","1922年（大正11年）11月4日","無人駅","12人/日-2014年-","○A37","","","","","","",""
"伊賀神戸駅","伊賀神戸駅（いがかんべえき）","https://ja.wikipedia.org/wiki/伊賀神戸駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","三重県伊賀市比土2628-3北緯34度40分25.83秒東経136度9分10.48秒﻿ / ﻿北緯34.6738417度 東経136.1529111度﻿ /34.6738417; 136.1529111座標:北緯34度40分25.83秒東経136度9分10.48秒﻿ / ﻿北緯34.6738417度 東経136.1529111度﻿ /34.6738417; 136.1529111","","■近畿日本鉄道（近鉄）■伊賀鉄道","D大阪線（近鉄）","75.5 km（大阪上本町起点）","カヘ","地上駅","2面2線（近鉄）1面1線（伊賀鉄道）","（近鉄）-2019年-2,246**人/日（降車客含まず）（伊賀）-2019年-1,350**人/日（降車客含まず）","1930年（昭和5年）10月10日*","共同使用駅（近鉄の管轄駅）",""," D52 ","","","","","","",""
"伊賀上津駅","伊賀上津駅（いがこうづえき）","https://ja.wikipedia.org/wiki/伊賀上津駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","三重県伊賀市伊勢路192北緯34度40分57.7秒東経136度12分18.31秒﻿ / ﻿北緯34.682694度 東経136.2050861度﻿ /34.682694; 136.2050861座標:北緯34度40分57.7秒東経136度12分18.31秒﻿ / ﻿北緯34.682694度 東経136.2050861度﻿ /34.682694; 136.2050861","","近畿日本鉄道（近鉄）","D大阪線","80.6 km（大阪上本町起点）","コツ","地上駅（盛土上）","2面2線","110人/日（降車客含まず）-2019年-","1930年（昭和5年）12月20日","無人駅（自動券売機 無）* 1941年に参急上津駅から改称",""," D54 ","","","","","","",""
"五十崎駅","五十崎駅（いかざきえき）","https://ja.wikipedia.org/wiki/五十崎駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","愛媛県喜多郡内子町五十崎1928北緯33度32分16.32秒東経132度38分9.40秒﻿ / ﻿北緯33.5378667度 東経132.6359444度﻿ /33.5378667; 132.6359444座標:北緯33度32分16.32秒東経132度38分9.40秒﻿ / ﻿北緯33.5378667度 東経132.6359444度﻿ /33.5378667; 132.6359444","","四国旅客鉄道（JR四国）","■内子線","3.7km （新谷起点）高松から233.6 km","イキ","地上駅","1面1線","","1920年（大正9年）5月1日","無人駅","10[1]人/日-2019年-","○U11","","","","","","",""
"五十島駅","五十島駅（いがしまえき）","https://ja.wikipedia.org/wiki/五十島駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","新潟県東蒲原郡阿賀町五十島[1]北緯37度42分57.2秒東経139度21分12.6秒座標:北緯37度42分57.2秒 東経139度21分12.6秒","","東日本旅客鉄道（JR東日本）","■磐越西線","148.6 km（郡山起点）","イカ","地上駅","1面2線[2]","","1913年（大正2年）6月1日[1]","無人駅（自動券売機 有）[2]","","","","","","","","",""
"伊上駅","伊上駅（いがみえき）","https://ja.wikipedia.org/wiki/伊上駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","山口県長門市油谷伊上字西前2842-2北緯34度22分13.59秒東経131度0分40.62秒﻿ / ﻿北緯34.3704417度 東経131.0112833度﻿ /34.3704417; 131.0112833座標:北緯34度22分13.59秒東経131度0分40.62秒﻿ / ﻿北緯34.3704417度 東経131.0112833度﻿ /34.3704417; 131.0112833","","西日本旅客鉄道（JR西日本）","■山陰本線","617.9 km（京都起点）","イミ","地上駅","1面1線","9人/日（降車客含まず）-2019年-","1930年（昭和5年）12月7日","無人駅","","","","","","","","",""
"伊賀屋駅","伊賀屋駅（いがやえき）","https://ja.wikipedia.org/wiki/伊賀屋駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","佐賀県佐賀市兵庫町若宮1740北緯33度17分24.41秒東経130度20分11.28秒﻿ / ﻿北緯33.2901139度 東経130.3364667度﻿ /33.2901139; 130.3364667﻿ (伊賀屋駅)","","九州旅客鉄道（JR九州）","JH長崎本線","20.2 km（鳥栖起点）","イヤ←イカヤ","地上駅","2面2線","259人/日（降車客含まず）-2016年-","1928年（昭和3年）12月1日","無人駅（自動券売機 有）","512人/日-2016年-","JH  07 ","","","","","","",""
"碇ケ関駅","碇ケ関駅（いかりがせきえき）","https://ja.wikipedia.org/wiki/碇ケ関駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","青森県平川市碇ヶ関高田[1]13北緯40度28分46.19秒東経140度37分20.39秒座標:北緯40度28分46.19秒 東経140度37分20.39秒","","東日本旅客鉄道（JR東日本）","■奥羽本線","427.2 km（福島起点）","イセ","地上駅","2面3線[1]","76人/日（降車客含まず）-2019年-","1895年（明治28年）10月21日[1]","簡易委託駅[1]","","","","","","","","",""
"井川駅","井川駅（いかわえき）","https://ja.wikipedia.org/wiki/井川駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","静岡県静岡市葵区井川北緯35度12分45.01秒東経138度13分16.39秒﻿ / ﻿北緯35.2125028度 東経138.2212194度﻿ /35.2125028; 138.2212194座標:北緯35度12分45.01秒東経138度13分16.39秒﻿ / ﻿北緯35.2125028度 東経138.2212194度﻿ /35.2125028; 138.2212194","","大井川鐵道","井川線","25.5 km（千頭起点）","","地上駅","2面2線","120人/日（降車客含まず）-2019年-","1959年（昭和34年）8月1日","標高686m","238人/日-2019年-","","","","","","","",""
"井川さくら駅","井川さくら駅（いかわさくらえき）","https://ja.wikipedia.org/wiki/井川さくら駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","","","東日本旅客鉄道（JR東日本）","■奥羽本線","323.6 km（福島起点）","イサ","地上駅","2面2線","283人/日（降車客含まず）-2019年-","1995年（平成7年）12月1日[1]","簡易委託駅","","","","","","","","",""
"伊川谷駅","伊川谷駅（いかわだにえき）","https://ja.wikipedia.org/wiki/伊川谷駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","神戸市西区前開南町[1]北緯34度41分16.39秒東経135度2分28.91秒﻿ / ﻿北緯34.6878861度 東経135.0413639度﻿ /34.6878861; 135.0413639﻿ (伊川谷駅)座標:北緯34度41分16.39秒東経135度2分28.91秒﻿ / ﻿北緯34.6878861度 東経135.0413639度﻿ /34.6878861; 135.0413639﻿ (伊川谷駅)","","神戸市交通局（神戸市営地下鉄）","西神・山手線（正式には西神延伸線）","5.1km（名谷起点）谷上から25.9 km","","高架駅[1]","相対式 2面2線[1]","4,907人/日（降車客含まず）-2019年-","1987年（昭和62年）3月18日[1]","",""," S15 ","","","","","","",""
"一貴山駅","一貴山駅（いきさんえき）","https://ja.wikipedia.org/wiki/一貴山駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","福岡県糸島市二丈田中130-3北緯33度32分3.6秒東経130度10分5.39秒﻿ / ﻿北緯33.534333度 東経130.1681639度﻿ /33.534333; 130.1681639﻿ (一貴山駅)","","九州旅客鉄道（JR九州）","JK筑肥線","16.7 km（姪浜起点）","イキ","地上駅","1面1線","460人/日（降車客含まず）-2019年-","1924年（大正13年）5月29日","無人駅","","JK  11 ","","","","","","",""
"軍畑駅","軍畑駅（いくさばたえき）","https://ja.wikipedia.org/wiki/軍畑駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","東京都青梅市沢井1丁目北緯35度48分27.4秒東経139度12分27.8秒座標:北緯35度48分27.4秒 東経139度12分27.8秒","","東日本旅客鉄道（JR東日本）","■青梅線（東京アドベンチャーライン）","24.5 km（立川起点）","サハ","地上駅","1面1線[1]","238人/日（降車客含まず）-2010年-","1929年（昭和4年）9月1日[2]","無人駅（乗車駅証明書発行機 有）","","JC67","","","","","","",""
"生地駅","生地駅（いくじえき）","https://ja.wikipedia.org/wiki/生地駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","富山県黒部市吉田字浦島4303北緯36度54分21.09秒東経137度25分35.10秒﻿ / ﻿北緯36.9058583度 東経137.4264167度﻿ /36.9058583; 137.4264167座標:北緯36度54分21.09秒東経137度25分35.10秒﻿ / ﻿北緯36.9058583度 東経137.4264167度﻿ /36.9058583; 137.4264167","","あいの風とやま鉄道","■あいの風とやま鉄道線","77.4 km（倶利伽羅起点）金沢から95.2 km米原から271.8 km","イク","地上駅","2面2線","486人/日（降車客含まず）-2019年-","1910年（明治43年）4月16日","簡易委託駅","","","","","","","","",""
"生田駅 (神奈川県)","生田駅 (神奈川県)（いくたえき・小田急小田原線）","https://ja.wikipedia.org/wiki/生田駅_(神奈川県)","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","川崎市多摩区生田7丁目8番4号北緯35度36分54秒東経139度32分32秒﻿ / ﻿北緯35.61500度 東経139.54222度﻿ /35.61500; 139.54222座標:北緯35度36分54秒東経139度32分32秒﻿ / ﻿北緯35.61500度 東経139.54222度﻿ /35.61500; 139.54222","","小田急電鉄","小田原線","17.9 km（新宿起点）","","地上駅（橋上駅）","2面2線","","1927年（昭和2年）4月1日","","46,037人/日-2019年-","OH20","","","","","","",""
"生田原駅","生田原駅（いくたはらえき）","https://ja.wikipedia.org/wiki/生田原駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","北海道紋別郡遠軽町生田原北緯43度55分24.74秒東経143度32分4.89秒","","北海道旅客鉄道（JR北海道）","■石北本線","137.7 km（新旭川起点）","イハ","地上駅","2面2線","","1914年（大正3年）10月5日","無人駅","50人/日-2014年-","○A53","","","","","","",""
