"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","所在地","開業年月日","駅構造","ホーム","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","種類","本社所在地","業種","法人番号","代表者","外部リンク"
"青海駅 (新潟県)","採石場駅（さいせきじょうえき）","https://ja.wikipedia.org/wiki/青海駅_(新潟県)","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯37度1分21.88秒東経137度47分40.19秒","■日本海ひすいライン[1]","13.9km（市振起点）泊から23.3km米原から308.4 km","えちごトキめき鉄道[1]日本貨物鉄道（JR貨物）","新潟県糸魚川市大字青海853[1]北緯37度1分21.88秒東経137度47分40.19秒﻿ / ﻿北緯37.0227444度 東経137.7944972度﻿ /37.0227444; 137.7944972座標:北緯37度1分21.88秒東経137度47分40.19秒﻿ / ﻿北緯37.0227444度 東経137.7944972度﻿ /37.0227444; 137.7944972","1912年（大正元年）10月15日[1]","地上駅（橋上駅）[1]","2面4線[1]","無人駅（自動券売機 有）","","アミ[1]","131人/日（降車客含まず）-2019年-","","","","","","","",""
"西大寺駅","西大寺駅（さいだいじえき）","https://ja.wikipedia.org/wiki/西大寺駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯34度39分42.45秒東経134度2分14.0秒","N赤穂線","51.2km（相生起点）播州赤穂から40.7 km","西日本旅客鉄道（JR西日本）","岡山市東区西大寺上二丁目4-64北緯34度39分42.45秒東経134度2分14.0秒﻿ / ﻿北緯34.6617917度 東経134.037222度﻿ /34.6617917; 134.037222座標:北緯34度39分42.45秒東経134度2分14.0秒﻿ / ﻿北緯34.6617917度 東経134.037222度﻿ /34.6617917; 134.037222","1962年（昭和37年）9月1日","地上駅","2面3線","直営駅みどりの窓口有","JR-N06","サシ","3,631人/日（降車客含まず）-2019年-","","","","","","","",""
"西大寺町停留場","西大寺町停留場（さいだいじちょうていりゅうじょう）","https://ja.wikipedia.org/wiki/西大寺町停留場","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯34度39分30.57秒東経133度55分50.1秒","■東山本線（1系統）","1.7 km（岡山駅前起点）","岡山電気軌道","岡山市北区京橋町北緯34度39分30.57秒東経133度55分50.1秒﻿ / ﻿北緯34.6584917度 東経133.930583度﻿ /34.6584917; 133.930583﻿ (西大寺町停留場)","1912年（明治45年）6月1日","地上駅","1面2線","","○H06","","","","","","","","","",""
"さいたま新都心駅","さいたま新都心駅（さいたましんとしんえき）","https://ja.wikipedia.org/wiki/さいたま新都心駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯35度53分38.13秒東経139度38分0.81秒","■宇都宮線[* 2]（東北本線列車線）","28.7 km（東京起点）東京から尾久経由で28.9 km","東日本旅客鉄道（JR東日本）","さいたま市大宮区吉敷町四丁目261-1[* 1]北緯35度53分38.13秒東経139度38分0.81秒﻿ / ﻿北緯35.8939250度 東経139.6335583度﻿ /35.8939250; 139.6335583座標:北緯35度53分38.13秒東経139度38分0.81秒﻿ / ﻿北緯35.8939250度 東経139.6335583度﻿ /35.8939250; 139.6335583","2000年（平成12年）4月1日[新聞 1]","地上駅（橋上駅）","2面4線","直営駅（管理駅）みどりの窓口有","JU06","サタ","55,782人/日（降車客含まず）-2019年-","","","","","","","",""
"最知駅","最知駅（さいちえき）","https://ja.wikipedia.org/wiki/最知駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯38度51分12.18秒東経141度34分52.71秒","■気仙沼線BRT","63.3 km（前谷地起点）","東日本旅客鉄道（JR東日本）","宮城県気仙沼市最知川原北緯38度51分12.18秒東経141度34分52.71秒座標:北緯38度51分12.18秒 東経141度34分52.71秒","2012年（平成24年）8月20日*","地上駅","","無人駅","","","30人/日（降車客含まず）-2019年-","","","","","","","",""
"採銅所駅","採銅所駅（さいどうしょえき）","https://ja.wikipedia.org/wiki/採銅所駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯33度42分26.10秒東経130度51分11.45秒","JI日田彦山線[1]","18.1 km（城野起点）","九州旅客鉄道（JR九州）","福岡県田川郡香春町大字採銅所[2]2609北緯33度42分26.10秒東経130度51分11.45秒","1915年（大正4年）4月1日[1]","地上駅[2]","2面2線[2]","無人駅[2]（自動券売機 有）","JI  10 ","シヨ","","","","","","","","",""
"西戸崎駅","西戸崎駅（さいとざきえき）","https://ja.wikipedia.org/wiki/西戸崎駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯33度39分0.85秒東経130度21分28.17秒","JD香椎線","0.0 km（西戸崎起点）","九州旅客鉄道（JR九州）","福岡市東区西戸崎一丁目2-36北緯33度39分0.85秒東経130度21分28.17秒﻿ / ﻿北緯33.6502361度 東経130.3578250度﻿ /33.6502361; 130.3578250座標:北緯33度39分0.85秒東経130度21分28.17秒﻿ / ﻿北緯33.6502361度 東経130.3578250度﻿ /33.6502361; 130.3578250","1904年（明治37年）1月1日[1]","地上駅","2面2線","無人駅[2]駅集中管理システム（Smart Support Station）採用福岡市内駅","JD  01 ","サイ","920人/日（降車客含まず）-2019年-","","","","","","","",""
"彩都西駅","彩都西駅（さいとにしえき）","https://ja.wikipedia.org/wiki/彩都西駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯34度51分19.77秒東経135度31分22.55秒","■彩都線","6.8 km（万博記念公園起点）","大阪モノレール","大阪府茨木市彩都あさぎ1丁目北緯34度51分19.77秒東経135度31分22.55秒﻿ / ﻿北緯34.8554917度 東経135.5229306度﻿ /34.8554917; 135.5229306座標:北緯34度51分19.77秒東経135度31分22.55秒﻿ / ﻿北緯34.8554917度 東経135.5229306度﻿ /34.8554917; 135.5229306","2007年（平成19年）3月19日[1]","橋上駅","島式 1面2線",""," 54 ","","","","","","","","","",""
"西明寺駅","西明寺駅（さいみょうじえき）","https://ja.wikipedia.org/wiki/西明寺駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯39度39分11.55秒東経140度33分47.52秒","■秋田内陸線","86.9 km（鷹巣起点）","秋田内陸縦貫鉄道","秋田県仙北市西木町門屋六本杉北緯39度39分11.55秒東経140度33分47.52秒﻿ / ﻿北緯39.6532083度 東経140.5632000度﻿ /39.6532083; 140.5632000座標:北緯39度39分11.55秒東経140度33分47.52秒﻿ / ﻿北緯39.6532083度 東経140.5632000度﻿ /39.6532083; 140.5632000","1970年（昭和45年）11月1日","地上駅","1面1線","無人駅","","サイ","","14人/日-2018年-","","","","","","",""
"幸駅","幸駅（さいわいえき）","https://ja.wikipedia.org/wiki/幸駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯32度50分13.45秒東経130度4分0.4秒","■島原鉄道線","2.9 km（諫早起点）","島原鉄道","長崎県諫早市幸町北緯32度50分13.45秒東経130度4分0.4秒﻿ / ﻿北緯32.8370694度 東経130.066778度﻿ /32.8370694; 130.066778﻿ (幸駅)","2000年（平成12年）3月11日","地上駅","1面1線","* 年間乗車人員を日数で除算","","","*173人/日（降車客含まず）-2017年-","376人/日-2017年-","","","","","","",""
"佐伯区役所前駅","佐伯区役所前駅（さえきくやくしょまええき）","https://ja.wikipedia.org/wiki/佐伯区役所前駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯34度21分55.61秒東経132度21分41.99秒","■宮島線","7.2 km（広電西広島起点）","広島電鉄","広島市佐伯区海老園二丁目4-3[1]北緯34度21分55.61秒東経132度21分41.99秒﻿ / ﻿北緯34.3654472度 東経132.3616639度﻿ /34.3654472; 132.3616639﻿ (佐伯区役所前駅)座標:北緯34度21分55.61秒東経132度21分41.99秒﻿ / ﻿北緯34.3654472度 東経132.3616639度﻿ /34.3654472; 132.3616639﻿ (佐伯区役所前駅)","1987年（昭和62年）3月27日","地上駅","2面2線","1日当たりの乗車人員は、年間乗車人員を日数で除することで算出した参考値","●M29","","1,240人/日（降車客含まず）-2019年-","","","","","","","",""
"菜園場町停留場","菜園場町停留場（さえんばちょうていりゅうじょう）","https://ja.wikipedia.org/wiki/菜園場町停留場","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯33度33分32.66秒東経133度32分53.93秒","後免線","10.3 km（後免町起点）","とさでん交通","高知県高知市菜園場町北緯33度33分32.66秒東経133度32分53.93秒﻿ / ﻿北緯33.5590722度 東経133.5483139度﻿ /33.5590722; 133.5483139﻿ (菜園場町停留場*)","1908年（明治41年）10月31日","地上駅","2面2線","* 1938年に大鋸屋橋通停留場から改称","","","","","","","","","","",""
"蔵王駅","蔵王駅（ざおうえき）","https://ja.wikipedia.org/wiki/蔵王駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯38度12分21.59秒東経140度18分13.14秒","■奥羽本線（山形線）","81.8 km（福島起点）","東日本旅客鉄道（JR東日本）","山形県山形市大字松原387北緯38度12分21.59秒東経140度18分13.14秒座標:北緯38度12分21.59秒 東経140度18分13.14秒","1911年（明治44年）12月5日","地上駅","2面2線","業務委託駅*1951年に金井駅から改称[1]。","","サオカヰ（改称前）","1,144人/日（降車客含まず）-2019年-","","","","","","","",""
"蔵王ロープウェイ","蔵王山麓駅（ざおうさんろくえき）","https://ja.wikipedia.org/wiki/蔵王ロープウェイ","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","","","","","","","","","","","","","","","株式会社","日本〒990-2301山形県山形市蔵王温泉229番地","陸運業","9390001000654","大木剛裕（代表取締役社長）","http://www.zaoropeway.co.jp/"
"蔵王ロープウェイ","蔵王地蔵山頂駅（ざおうじぞうさんちょうえき）","https://ja.wikipedia.org/wiki/蔵王ロープウェイ","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","","","","","","","","","","","","","","","株式会社","日本〒990-2301山形県山形市蔵王温泉229番地","陸運業","9390001000654","大木剛裕（代表取締役社長）","http://www.zaoropeway.co.jp/"
"坂駅","坂駅（さかえき）","https://ja.wikipedia.org/wiki/坂駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯34度20分19.59秒東経132度30分38.99秒","Y呉線","81.8 km（三原起点）","西日本旅客鉄道（JR西日本）","広島県安芸郡坂町平成ヶ浜三丁目1-1北緯34度20分19.59秒東経132度30分38.99秒﻿ / ﻿北緯34.3387750度 東経132.5108306度﻿ /34.3387750; 132.5108306座標:北緯34度20分19.59秒東経132度30分38.99秒﻿ / ﻿北緯34.3387750度 東経132.5108306度﻿ /34.3387750; 132.5108306","1903年（明治36年）12月27日","地上駅（橋上駅）","2面3線","業務委託駅みどりの窓口有","JR-Y06","サカ","3,317人/日（降車客含まず）-2018年-","","","","","","","",""
"佐賀駅","佐賀駅（さがえき）","https://ja.wikipedia.org/wiki/佐賀駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯33度15分51.26秒東経130度17分49.79秒","JH長崎本線（■唐津線直通含む）","25.0 km（鳥栖起点）","九州旅客鉄道（JR九州）","佐賀県佐賀市駅前中央一丁目11番10号北緯33度15分51.26秒東経130度17分49.79秒﻿ / ﻿北緯33.2642389度 東経130.2971639度﻿ /33.2642389; 130.2971639座標:北緯33度15分51.26秒東経130度17分49.79秒﻿ / ﻿北緯33.2642389度 東経130.2971639度﻿ /33.2642389; 130.2971639","1891年（明治24年）8月20日","高架駅","2面4線","直営駅みどりの窓口有","JH  08 ","サカ","12,348人/日（降車客含まず）-2019年-","","","","","","","",""
"嵯峨嵐山駅","嵯峨嵐山駅（さがあらしやまえき）","https://ja.wikipedia.org/wiki/嵯峨嵐山駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯35度1分7.47秒東経135度40分52.71秒","E山陰本線（嵯峨野線）","10.3 km（京都起点）","西日本旅客鉄道（JR西日本）","京都市右京区嵯峨天竜寺車道町11-1北緯35度1分7.47秒東経135度40分52.71秒﻿ / ﻿北緯35.0187417度 東経135.6813083度﻿ /35.0187417; 135.6813083﻿ (嵯峨嵐山駅*)座標:北緯35度1分7.47秒東経135度40分52.71秒﻿ / ﻿北緯35.0187417度 東経135.6813083度﻿ /35.0187417; 135.6813083﻿ (嵯峨嵐山駅*)","1897年（明治30年）2月15日","地上駅（橋上駅）","2面4線","業務委託駅みどりの券売機プラス設置駅京都市内駅*1994年に嵯峨駅から改称。","JR-E08","サア","8,426人/日（降車客含まず）-2019年-","","トロッコ嵯峨駅（嵯峨野観光線）嵐電嵯峨駅（京福電鉄嵐山本線）","","","","","",""
"堺駅","堺駅（さかいえき）","https://ja.wikipedia.org/wiki/堺駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯34度34分54.09秒東経135度28分8.25秒","■南海本線","9.8 km（難波起点）","南海電気鉄道","堺市堺区戎島町3丁22北緯34度34分54.09秒東経135度28分8.25秒﻿ / ﻿北緯34.5816917度 東経135.4689583度﻿ /34.5816917; 135.4689583﻿ (堺駅)座標:北緯34度34分54.09秒東経135度28分8.25秒﻿ / ﻿北緯34.5816917度 東経135.4689583度﻿ /34.5816917; 135.4689583﻿ (堺駅)","1888年（明治21年）5月15日[1]","高架駅","2面4線","","NK 11","サカ","","","","","","","","",""
"堺市駅","堺市駅（さかいしえき）","https://ja.wikipedia.org/wiki/堺市駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯34度34分37.88秒東経135度29分53.99秒","R阪和線","8.8 km（天王寺起点）","西日本旅客鉄道（JR西日本）","堺市堺区東雲西町一丁1-1北緯34度34分37.88秒東経135度29分53.99秒﻿ / ﻿北緯34.5771889度 東経135.4983306度﻿ /34.5771889; 135.4983306座標:北緯34度34分37.88秒東経135度29分53.99秒﻿ / ﻿北緯34.5771889度 東経135.4983306度﻿ /34.5771889; 135.4983306","1932年（昭和7年）2月2日","地上駅（橋上駅）","2面2線","直営駅（管理駅）みどりの窓口有","JR-R28","サシ","12,047人/日（降車客含まず）-2019年-","","","","","","","",""
"堺筋本町駅","堺筋本町駅（さかいすじほんまちえき）","https://ja.wikipedia.org/wiki/堺筋本町駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯34度40分54.65秒東経135度30分23.47秒","●堺筋線","3.2 km（天神橋筋六丁目起点）","大阪市高速電気軌道(Osaka Metro)","大阪市中央区船場中央一丁目4-16北緯34度40分54.65秒東経135度30分23.47秒﻿ / ﻿北緯34.6818472度 東経135.5065194度﻿ /34.6818472; 135.5065194座標:北緯34度40分54.65秒東経135度30分23.47秒﻿ / ﻿北緯34.6818472度 東経135.5065194度﻿ /34.6818472; 135.5065194","1969年（昭和44年）12月6日","地下駅","1面2線（中央線）2面2線（堺筋線）計3面4線",""," K15 ","","46,001人/日（降車客含まず）-2020年-","94,776人/日-2020年-","","","","","","",""
"堺田駅","堺田駅（さかいだえき）","https://ja.wikipedia.org/wiki/堺田駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯38度44分8.59秒東経140度36分45.14秒","■陸羽東線[1]","55.3 km（小牛田起点）","東日本旅客鉄道（JR東日本）","山形県最上郡最上町大字堺田北緯38度44分8.59秒東経140度36分45.14秒座標:北緯38度44分8.59秒 東経140度36分45.14秒","1917年（大正6年）11月1日[1]","地上駅（掘割構造）","1面1線","無人駅[1]","","サヒ","5人/日（降車客含まず）-2004年-","","","","","","","",""
"坂出駅","坂出駅（さかいでえき）","https://ja.wikipedia.org/wiki/坂出駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯34度18分47.6秒東経133度51分22.77秒","■予讃線（■瀬戸大橋線含む）","21.3 km（高松起点）","四国旅客鉄道（JR四国）","香川県坂出市元町一丁目1-1北緯34度18分47.6秒東経133度51分22.77秒﻿ / ﻿北緯34.313222度 東経133.8563250度﻿ /34.313222; 133.8563250座標:北緯34度18分47.6秒東経133度51分22.77秒﻿ / ﻿北緯34.313222度 東経133.8563250度﻿ /34.313222; 133.8563250","1897年（明治30年）2月21日","高架駅[1]。","2面3線[1]","直営駅みどりの窓口有","○Y08","サテ","5,233人/日（降車客含まず）-2019年-","","","","","","","",""
"堺東駅","堺東駅（さかいひがしえき）","https://ja.wikipedia.org/wiki/堺東駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯34度34分31.79秒東経135度29分5.43秒","■高野線","11.0km（汐見橋起点）難波から10.3 km","南海電気鉄道","堺市堺区三国ケ丘御幸通61番地北緯34度34分31.79秒東経135度29分5.43秒﻿ / ﻿北緯34.5754972度 東経135.4848417度﻿ /34.5754972; 135.4848417﻿ (堺東駅*)座標:北緯34度34分31.79秒東経135度29分5.43秒﻿ / ﻿北緯34.5754972度 東経135.4848417度﻿ /34.5754972; 135.4848417﻿ (堺東駅*)","1898年（明治31年）1月30日","地上駅","2面4線","*1900年（明治33年）に大小路駅から改称","NK 56","サヒ","","","","","","","","",""
"境町駅","境町駅（さかいまちえき）","https://ja.wikipedia.org/wiki/境町駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯36度16分37.30秒東経139度15分23.63秒","■伊勢崎線","106.3 km（浅草起点）","東武鉄道","群馬県伊勢崎市境百々432北緯36度16分37.30秒東経139度15分23.63秒﻿ / ﻿北緯36.2770278度 東経139.2565639度﻿ /36.2770278; 139.2565639﻿ (境町駅)座標:北緯36度16分37.30秒東経139度15分23.63秒﻿ / ﻿北緯36.2770278度 東経139.2565639度﻿ /36.2770278; 139.2565639﻿ (境町駅)","1910年（明治43年）3月27日","地上駅","2面2線","","TI22","サカ","","1,569人/日-2019年-","","","","","","",""
"境松駅","境松駅（さかいまつえき）","https://ja.wikipedia.org/wiki/境松駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯40度38分57.03秒東経140度34分33.82秒","弘南線","15.3 km（弘前起点）","弘南鉄道","青森県黒石市境松2-46北緯40度38分57.03秒東経140度34分33.82秒﻿ / ﻿北緯40.6491750度 東経140.5760611度﻿ /40.6491750; 140.5760611座標:北緯40度38分57.03秒東経140度34分33.82秒﻿ / ﻿北緯40.6491750度 東経140.5760611度﻿ /40.6491750; 140.5760611","1950年（昭和25年）7月1日","地上駅","1面1線","無人駅","","","","43人/日-2017年-","","","","","","",""
"境港駅","境港駅（さかいみなとえき）","https://ja.wikipedia.org/wiki/境港駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯35度32分42.53秒東経133度13分21.58秒","C境線","17.9 km（米子起点）","西日本旅客鉄道（JR西日本）","鳥取県境港市大正町1-28北緯35度32分42.53秒東経133度13分21.58秒座標:北緯35度32分42.53秒 東経133度13分21.58秒","1902年（明治35年）11月1日","地上駅","1面2線","直営駅みどりの窓口有*1919年に境駅から改称。","","サヒ","","874人/日-2018年-","","","","","","",""
"栄駅 (愛知県)","栄駅 (愛知県)（さかええき・名古屋市営地下鉄東山線・名城線）","https://ja.wikipedia.org/wiki/栄駅_(愛知県)","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯35度10分11秒東経136度54分31秒","東山線","9.0 km（高畑起点）","名古屋市交通局（名古屋市営地下鉄）","名古屋市中区栄三丁目5-12北緯35度10分11秒東経136度54分31秒﻿ / ﻿北緯35.16972度 東経136.90861度﻿ /35.16972; 136.90861座標:北緯35度10分11秒東経136度54分31秒﻿ / ﻿北緯35.16972度 東経136.90861度﻿ /35.16972; 136.90861","1957年（昭和32年）11月15日[2]","地下駅","1面2線（東山線）2面2線（名城線）","*1966年に栄町駅から改称[2]。","H10","","109,901人/日（降車客含まず）-2019年-","220,688[1]人/日-2019年-","栄町駅（名鉄瀬戸線）","","","","","",""
