"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","指定区域","分類","面積","指定日","運営者","公式サイト","事務所","事務所所在地","年来園者数","施設","前身","告示","備考","現況","Hidden","Hidden","Hidden","Hidden","Hidden"
"富士箱根伊豆国立公園","[富士箱根伊豆国立公園東京都、神奈川県、山梨県、静岡県1936年2月1日指定時は富士箱根国立公園、後に改称121,7497,693] 富士箱根伊豆国立公園 （ふじはこねいずこくりつこうえん）は、 神奈川県 、 静岡県 、 東京都 、 山梨県 にまたがる 国立公園 である。","https://ja.wikipedia.org/wiki/富士箱根伊豆国立公園","日本の国立公園","https://ja.wikipedia.org/wiki/日本の国立公園","表形式","北緯34度40分00秒東経139度00分00秒","日本神奈川県、静岡県、東京都、山梨県にまたがる富士山・箱根・伊豆半島・伊豆諸島の4地域北緯34度40分00秒東経139度00分00秒﻿ / ﻿北緯34.66667度 東経139.00000度﻿ /34.66667; 139.00000座標:北緯34度40分00秒東経139度00分00秒﻿ / ﻿北緯34.66667度 東経139.00000度﻿ /34.66667; 139.00000","国立公園","121,695ha","1936年2月1日","環境省","富士箱根伊豆国立公園（環境省）","関東地方環境事務所","〒330-6018埼玉県さいたま市中央区新都心11-2明治安田生命さいたま新都心ビル18階","11,250万人（2010年）","","","","","","","","","",""
"秩父多摩甲斐国立公園","[秩父多摩甲斐国立公園埼玉県、東京都、山梨県、長野県1950年12月4日指定時は秩父多摩国立公園、後に改称126,2593,791] 日本百名山 に数えられる 金峰山 、 瑞牆山 、 大菩薩嶺 、 雲取山 や、 渓谷 美で知られる 西沢渓谷、東沢渓谷 や 御岳昇仙峡 などがよく知られる。また 三峰山 （ 三峯神社 ）や 御岳山 （ 武蔵御嶽神社 ）でも有名。","https://ja.wikipedia.org/wiki/秩父多摩甲斐国立公園","日本の国立公園","https://ja.wikipedia.org/wiki/日本の国立公園","表形式","北緯35度52分08秒東経138度56分45秒","日本埼玉県、東京都、山梨県、長野県にまたがる奥秩父山塊を中心とする山岳地北緯35度52分08秒東経138度56分45秒﻿ / ﻿北緯35.86889度 東経138.94583度﻿ /35.86889; 138.94583座標:北緯35度52分08秒東経138度56分45秒﻿ / ﻿北緯35.86889度 東経138.94583度﻿ /35.86889; 138.94583","国立公園","126,259ha","1950年7月10日","環境省","秩父多摩甲斐国立公園（環境省）","関東地方環境事務所","〒330-6018埼玉県さいたま市中央区新都心11-2明治安田生命さいたま新都心ビル18階","1,430万人（2010年）","","","","","","","","","",""
"南アルプス国立公園","[南アルプス国立公園山梨県、長野県、静岡県1964年6月1日35,7529,181] 南アルプス国立公園 （みなみアルプスこくりつこうえん）は、 山梨県 、 長野県 及び 静岡県 にまたがる 赤石山脈 (南アルプス) に位置する 国立公園 である。","https://ja.wikipedia.org/wiki/南アルプス国立公園","日本の国立公園","https://ja.wikipedia.org/wiki/日本の国立公園","表形式","北緯35度45分08秒東経137度40分23秒","日本山梨県韮崎市南アルプス市北杜市早川町静岡県静岡市葵区川根本町長野県伊那市飯田市大鹿村富士見町北緯35度45分08秒東経137度40分23秒﻿ / ﻿北緯35.7522度 東経137.6731度﻿ /35.7522; 137.6731座標:北緯35度45分08秒東経137度40分23秒﻿ / ﻿北緯35.7522度 東経137.6731度﻿ /35.7522; 137.6731","国立公園","357.52平方キロメートル","1964年（昭和39年）6月1日","環境省","南アルプス国立公園 : 環境省","関東地方環境事務所","〒330-6018埼玉県さいたま市中央区新都心11-2 明治安田生命さいたま新都心ビル18F","","","","","","","","","","",""
"小笠原国立公園","[小笠原国立公園東京都1972年10月16日6,6294,934] 小笠原国立公園 （おがさわらこくりつこうえん）は、 東京都 の 小笠原諸島 を中心とした 国立公園 。指定区域総面積6,629haは日本の国立公園の中で最小  であり、なおかつ公園指定範囲は全て 小笠原村 内にあり、単一行政単位（ 市町村 ）内のみで構成される日本唯一の国立公園である。小笠原諸島のうち立ち入りが制限されている 硫黄島 と 南硫黄島 を除く全ての島嶼が指定されている。また、孤立島の 沖ノ鳥島 と 南鳥島 は含まれない。","https://ja.wikipedia.org/wiki/小笠原国立公園","日本の国立公園","https://ja.wikipedia.org/wiki/日本の国立公園","表形式","北緯27度02分16秒東経142度10分30秒","日本　東京都東京都小笠原村（父島列島、母島列島、聟島列島、西之島、北硫黄島）北緯27度02分16秒東経142度10分30秒﻿ / ﻿北緯27.03778度 東経142.17500度﻿ /27.03778; 142.17500","国立公園","6,629ha　","1972年10月16日","環境省","小笠原国立公園（環境省）","関東地方環境事務所","〒330-6018埼玉県さいたま市中央区新都心11-2 明治安田生命さいたま新都心ビル18F","2万人（2006年）","","","","","世界遺産（自然遺産）","","","","",""
"尾瀬国立公園","[尾瀬国立公園福島県、栃木県、群馬県、新潟県2007年8月30日日光国立公園から尾瀬地域を分離37,2009,386] 尾瀬国立公園 （おぜこくりつこうえん）は、 福島県 、 栃木県 、 群馬県 、 新潟県 の4県にまたがる 国立公園 である。 2007年 8月30日 に 日光国立公園 から 尾瀬 地域 25,203 ha （現・尾瀬国立公園の67.75 % にあたる）を分割し、 会津駒ヶ岳 、 田代山 、 帝釈山 など周辺地域を編入する形で指定された。 釧路湿原国立公園 以来20年ぶりに新設された29番目の国立公園である。総面積は37,200haである。","https://ja.wikipedia.org/wiki/尾瀬国立公園","日本の国立公園","https://ja.wikipedia.org/wiki/日本の国立公園","表形式","北緯36度55分38秒東経139度18分58秒","日本群馬県、福島県、新潟県、栃木県にまたがる山岳地や高層湿原北緯36度55分38秒東経139度18分58秒﻿ / ﻿北緯36.92722度 東経139.31611度﻿ /36.92722; 139.31611座標:北緯36度55分38秒東経139度18分58秒﻿ / ﻿北緯36.92722度 東経139.31611度﻿ /36.92722; 139.31611","国立公園","37,200ha","2007年8月30日","環境省","尾瀬国立公園（環境省）","関東地方環境事務所","〒330-6018埼玉県さいたま市中央区新都心1-1さいたま新都心合同庁舎１号館６階","25万人（2019年）","","日光国立公園","","","","","","","",""
"中部山岳国立公園","[中部山岳国立公園新潟県、富山県、長野県、岐阜県1934年12月4日中部174,32364,129] 中部山岳国立公園 （ちゅうぶさんがくこくりつこうえん）は、 長野県 、 岐阜県 、 富山県 、 新潟県 にまたがる 飛騨山脈 （ 北アルプス ）を中心とした 国立公園 。","https://ja.wikipedia.org/wiki/中部山岳国立公園","日本の国立公園","https://ja.wikipedia.org/wiki/日本の国立公園","表形式","北緯36度17分21秒東経137度38分53秒","日本新潟県、富山県、長野県、岐阜県にまたがる北アルプスの主な山域北緯36度17分21秒東経137度38分53秒﻿ / ﻿北緯36.28917度 東経137.64806度﻿ /36.28917; 137.64806座標:北緯36度17分21秒東経137度38分53秒﻿ / ﻿北緯36.28917度 東経137.64806度﻿ /36.28917; 137.64806","国立公園","174,323ha","1934年12月4日","環境省","中部山岳国立公園（環境省）","環境省中部地方環境事務所（長野自然環境事務所）","〒380-0846長野県長野市旭町1108 長野第一合同庁舎","1,012万人（2004年）","関連施設を参照","","","","","","","","",""
"伊勢志摩国立公園","[伊勢志摩国立公園三重県1946年11月20日55,5441,003] 伊勢志摩国立公園 （いせしまこくりつこうえん）は、 三重県 志摩半島 一帯からなる 国立公園 である。 1946年 11月20日 に指定された。 リアス式海岸 と温暖な気候による 植生 が特徴で、 英虞湾 、 的矢湾 、 五ヶ所湾 など深い入り江が多い。","https://ja.wikipedia.org/wiki/伊勢志摩国立公園","日本の国立公園","https://ja.wikipedia.org/wiki/日本の国立公園","表形式","北緯34度27分18秒東経136度43分33秒","日本三重県志摩半島一帯北緯34度27分18秒東経136度43分33秒﻿ / ﻿北緯34.45500度 東経136.72583度﻿ /34.45500; 136.72583座標:北緯34度27分18秒東経136度43分33秒﻿ / ﻿北緯34.45500度 東経136.72583度﻿ /34.45500; 136.72583","国立公園","55,544ha","1946年11月20日","環境省","伊勢志摩国立公園（環境省）","中部地方環境事務所","〒460-0001愛知県名古屋市中区三の丸2-5-2","820万人（2010年）","関連施設を参照","","","","","","","","",""
"上信越高原国立公園","[上信越高原国立公園群馬県、新潟県、長野県1949年9月7日148,1949,201] 上信越高原国立公園 （じょうしんえつこうげんこくりつこうえん）は、 群馬県 ( 上 野国 )、 長野県 ( 信 濃国 )及び 新潟県 ( 越 後国 )の3県の県境にまたがる 国立公園 である。上信越国立公園  とも言う。","https://ja.wikipedia.org/wiki/上信越高原国立公園","日本の国立公園","https://ja.wikipedia.org/wiki/日本の国立公園","表形式","北緯36度37分30秒東経138度37分30秒","日本群馬県、長野県、新潟県にまたがる山岳部および高層湿原北緯36度37分30秒東経138度37分30秒﻿ / ﻿北緯36.62500度 東経138.62500度﻿ /36.62500; 138.62500座標:北緯36度37分30秒東経138度37分30秒﻿ / ﻿北緯36.62500度 東経138.62500度﻿ /36.62500; 138.62500","国立公園","148,194ha","1949年9月7日","環境省","上信越高原国立公園（環境省）","長野自然環境事務所","〒380-0846長野県長野市旭町1108 長野第1合同庁舎3F","2192万人（2015年）","関連施設を参照","","","","","","","","",""
"白山国立公園","[白山国立公園富山県、石川県、福井県、岐阜県1962年11月12日白山国定公園から昇格49,90017,857] 白山国立公園 （はくさんこくりつこうえん）は、 富山県 、 石川県 、 福井県 、 岐阜県 の4県にまたがる 白山 を中心とした 国立公園 である。","https://ja.wikipedia.org/wiki/白山国立公園","日本の国立公園","https://ja.wikipedia.org/wiki/日本の国立公園","表形式","北緯36度09分18秒東経136度46分17秒","日本富山県、石川県、福井県、岐阜県にまたがる両白山地の主な山域北緯36度09分18秒東経136度46分17秒﻿ / ﻿北緯36.15500度 東経136.77139度﻿ /36.15500; 136.77139座標:北緯36度09分18秒東経136度46分17秒﻿ / ﻿北緯36.15500度 東経136.77139度﻿ /36.15500; 136.77139","国立公園","47,700ha","1962年11月12日","環境省","白山国立公園（環境省）","環境省中部地方環境事務所","〒460-0001愛知県名古屋市中区三の丸二丁目5番2号","","白山国立公園センター","白山国定公園（1955年7月1日）","","","","","","","",""
"妙高戸隠連山国立公園","[妙高戸隠連山国立公園新潟県、長野県2015年3月27日上信越高原国立公園から分離39,7723,552] 妙高戸隠連山国立公園 （みょうこうとがくしれんざんこくりつこうえん）は、 新潟県 と 長野県 にまたがる 国立公園 である。 2015年 に 上信越高原国立公園 から分離して成立した、比較的新しい国立公園である。","https://ja.wikipedia.org/wiki/妙高戸隠連山国立公園","日本の国立公園","https://ja.wikipedia.org/wiki/日本の国立公園","表形式","","日本新潟県、長野県にまたがる山岳部","国立公園","39,772ha","2015年3月27日","環境省","妙高戸隠連山国立公園（環境省）","長野自然環境事務所","〒380-0846長野県長野市旭町1108　長野第1合同庁舎３F","","","","","http://chubu.env.go.jp/nagano/","","","","","",""
"吉野熊野国立公園","[吉野熊野国立公園三重県、奈良県、和歌山県1936年2月1日近畿61,4064,490] 吉野熊野国立公園 （よしのくまのこくりつこうえん）は、 奈良県 ・ 三重県 ・ 和歌山県 の 紀伊半島 3県に跨がる 国立公園 である。総面積61,406 ha で、その過半は奈良県に属する。 1936年 2月1日 に指定された。","https://ja.wikipedia.org/wiki/吉野熊野国立公園","日本の国立公園","https://ja.wikipedia.org/wiki/日本の国立公園","表形式","北緯33度47分56秒東経135度56分24秒","日本奈良県、三重県、和歌山県にまたがる紀伊半島の山岳部、河谷部および海岸部北緯33度47分56秒東経135度56分24秒﻿ / ﻿北緯33.79889度 東経135.94000度﻿ /33.79889; 135.94000座標:北緯33度47分56秒東経135度56分24秒﻿ / ﻿北緯33.79889度 東経135.94000度﻿ /33.79889; 135.94000","国立公園","59,793ha","1936年2月1日","環境省","吉野熊野国立公園（環境省）","吉野熊野国立公園管理事務所","〒647-0043和歌山県新宮市緑ヶ丘2-4-20","812万人（2010年）","","","","","","","","","",""
"山陰海岸国立公園","[山陰海岸国立公園京都府、兵庫県、鳥取県1963年7月15日山陰海岸国定公園から昇格8,783600] 山陰海岸国立公園 （さんいんかいがんこくりつこうえん）は、 京都府 の丹後の網野海岸から 兵庫県 の 但馬御火浦 を経て 鳥取県 の東部の 鳥取砂丘 までの 日本海 に面する75 km の海岸線を中心とする 日本 の 国立公園 である。当公園を中核とするエリアが世界ジオパーク「 山陰海岸ジオパーク 」に認定されている。","https://ja.wikipedia.org/wiki/山陰海岸国立公園","日本の国立公園","https://ja.wikipedia.org/wiki/日本の国立公園","表形式","北緯35度38分24秒東経134度55分48秒","日本京都府、兵庫県、鳥取県にまたがる日本海沿岸部北緯35度38分24秒東経134度55分48秒﻿ / ﻿北緯35.64000度 東経134.93000度﻿ /35.64000; 134.93000座標:北緯35度38分24秒東経134度55分48秒﻿ / ﻿北緯35.64000度 東経134.93000度﻿ /35.64000; 134.93000","国立公園","8,783ha","1963年7月15日","環境省","山陰海岸国立公園（環境省）","近畿地方環境事務所","〒540-6591大阪府大阪市中央区大手前1-7-31大阪マーチャンダイズマートビル8階","626万人（2010年）","","山陰海岸国定公園","","","","","","","",""
"大山隠岐国立公園","[大山隠岐国立公園鳥取県、島根県、岡山県1936年2月1日中国四国指定時大山国立公園、後に改称35,3532,234] 大山隠岐国立公園 （だいせんおきこくりつこうえん）は、 鳥取県 ・ 島根県 ・ 岡山県 の3県にまたがって所在する 国立公園 。元々は 1936年 2月1日 に十和田国立公園（現・ 十和田八幡平国立公園 ）、 吉野熊野国立公園 、富士箱根国立公園（現・ 富士箱根伊豆国立公園 ）とともに 大山 を中心とする限られた地域が指定されたのが始まりである。","https://ja.wikipedia.org/wiki/大山隠岐国立公園","日本の国立公園","https://ja.wikipedia.org/wiki/日本の国立公園","表形式","北緯35度22分16秒東経133度32分24秒","日本鳥取県、島根県、岡山県にまたがる山岳部、海岸部および島嶼部北緯35度22分16秒東経133度32分24秒﻿ / ﻿北緯35.37111度 東経133.54000度﻿ /35.37111; 133.54000座標:北緯35度22分16秒東経133度32分24秒﻿ / ﻿北緯35.37111度 東経133.54000度﻿ /35.37111; 133.54000","国立公園","69,410.5ha（陸域：35,353ha、海域：34,057.5ha）","1936年2月1日","環境省","大山隠岐国立公園（環境省）","中国四国地方環境事務所","〒700-0907岡山県岡山市北区下石井1-4-1岡山第2合同庁舎11階","926万人（2010年）","","","","","","","","","",""
"足摺宇和海国立公園","[足摺宇和海国立公園愛媛県、高知県1972年11月10日足摺国定公園から昇格11,345961] 足摺宇和海国立公園 （あしずりうわかいこくりつこうえん）は、 四国 南西部、 高知県 足摺岬 ～ 愛媛県 宇和海沿岸に至る 国立公園 である。 面積 は、11,345 ha 。","https://ja.wikipedia.org/wiki/足摺宇和海国立公園","日本の国立公園","https://ja.wikipedia.org/wiki/日本の国立公園","表形式","北緯32度43分24秒東経133度1分12秒","日本高知県、愛媛県にまたがる海岸部および山岳部北緯32度43分24秒東経133度1分12秒﻿ / ﻿北緯32.72333度 東経133.02000度﻿ /32.72333; 133.02000座標:北緯32度43分24秒東経133度1分12秒﻿ / ﻿北緯32.72333度 東経133.02000度﻿ /32.72333; 133.02000","国立公園","11,345ha","1972年11月10日","環境省","足摺宇和海国立公園（環境省）","中国四国地方環境事務所","〒700-0907岡山県岡山市北区下石井1-4-1岡山第2合同庁舎11階","196万人（2010年）","","足摺国定公園","","","","","","","",""
"雲仙天草国立公園","[雲仙天草国立公園長崎県、熊本県、鹿児島県1934年3月16日九州指定時雲仙国立公園、後に改称28,279589] 雲仙天草国立公園 （うんぜんあまくさこくりつこうえん）は 長崎県 島原半島 と 熊本県 天草諸島 に属する 国立公園 である（一部 鹿児島県 も含む）。雲仙地区は 1934年 3月16日 に 雲仙国立公園 として、 瀬戸内海国立公園 ，霧島国立公園（現・ 霧島錦江湾国立公園 ）とともに日本で最初の国立公園に指定される。天草地区は 1956年 7月20日 に編入され、現在の雲仙天草国立公園と改称され面積28,279 ha となる。","https://ja.wikipedia.org/wiki/雲仙天草国立公園","日本の国立公園","https://ja.wikipedia.org/wiki/日本の国立公園","表形式","北緯32度45分41秒東経130度17分56秒","日本長崎県、熊本県、鹿児島県にまたがる雲仙地域の山岳部と天草地域の多島海北緯32度45分41秒東経130度17分56秒﻿ / ﻿北緯32.76139度 東経130.29889度﻿ /32.76139; 130.29889座標:北緯32度45分41秒東経130度17分56秒﻿ / ﻿北緯32.76139度 東経130.29889度﻿ /32.76139; 130.29889","国立公園","28,279ha","1934年3月16日","環境省","雲仙天草国立公園（環境省）","九州地方環境事務所","〒862-0913熊本県熊本市東区尾ノ上1-6-22","649万人（2010年）","","","","","","","","","",""
