"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","開館","専門分野","事業主体","管理運営","外部リンク","正式名称","延床面積","前身","アクセス","館長","愛称","建物設計","来館者数","収蔵作品数","閉館","公式サイト","研究職員"
"小樽市総合博物館","[小樽市総合博物館] 小樽市総合博物館 （おたるしそうごうはくぶつかん）は、 北海道 小樽市 手宮 1丁目にある北海道の 歴史 や 自然 、 鉄道 をはじめとした 交通 、 科学 などに関する展示を行う 博物館 である。","https://ja.wikipedia.org/wiki/小樽市総合博物館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯43度12分40.8秒東経141度0分5.3秒","〒047-0041北海道小樽市手宮1-3-6","北緯43度12分40.8秒東経141度0分5.3秒﻿ / ﻿北緯43.211333度 東経141.001472度﻿ /43.211333; 141.001472座標:北緯43度12分40.8秒東経141度0分5.3秒﻿ / ﻿北緯43.211333度 東経141.001472度﻿ /43.211333; 141.001472","2007年（平成19年）7月14日","北海道の歴史や自然、交通、科学","小樽市","小樽市教育委員会","小樽市総合博物館","小樽市総合博物館","","小樽市博物館小樽市青少年科学技術館小樽交通記念館","","","","","","","","",""
"小樽文学館","[小樽文学館] 市立小樽文学館 （しりつおたるぶんがくかん、英: Otaru Municipal Museum of Literature）は、 北海道 小樽市 の 文学館  。小樽市分庁舎（旧小樽地方貯金局）にあり、 市立小樽美術館 を併設している。市町村立の文学館としては日本国内で初めて開館した  。","https://ja.wikipedia.org/wiki/小樽文学館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯43度11分48秒東経140度59分59秒","〒047-0031日本北海道小樽市色内1丁目9番5号","北緯43度11分48秒東経140度59分59秒﻿ / ﻿北緯43.19667度 東経140.99972度﻿ /43.19667; 140.99972","1978年11月3日","日本文学","小樽市","小樽市教育委員会","小樽市：市立小樽文学館","","","","■小樽駅から徒歩約10分北海道中央バス（おたもい営業所）「本局前」バス停下車 徒歩約5分","玉川薫","","小坂秀雄","","","","",""
"北海道立オホーツク流氷科学センター","[北海道立オホーツク流氷科学センター] なお、道の駅施設を含む 紋別港 一帯は2014年（平成26年）1月24日に みなとオアシスもんべつ として みなとオアシス に登録されている  。","https://ja.wikipedia.org/wiki/北海道立オホーツク流氷科学センター","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯44度19分42秒東経143度22分30秒","〒094-0023北海道紋別市元紋別11-6","","","","","","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","","","","","","","","","","","",""
"オホーツク流氷館","[オホーツク流氷館] オホーツク流氷館 （オホーツクりゅうひょうかん）は 北海道 網走市 の 天都山 山頂にある 流氷 と オホーツク海 をテーマとする網走市立の 科学館 。実物のオホーツク海の流氷を展示し、その発生の仕組み等を紹介する。そのほか、流氷の海に生息する、\"流氷の天使\" クリオネ や フウセンウオ などの海洋生物を飼育展示する。","https://ja.wikipedia.org/wiki/オホーツク流氷館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯44度0分3.8秒東経144度14分23.2秒","〒093-0044北海道網走市字天都山245-1","北緯44度0分3.8秒東経144度14分23.2秒﻿ / ﻿北緯44.001056度 東経144.239778度﻿ /44.001056; 144.239778座標:北緯44度0分3.8秒東経144度14分23.2秒﻿ / ﻿北緯44.001056度 東経144.239778度﻿ /44.001056; 144.239778","1985年（昭和60年）","流氷","網走市","株式会社網走観光振興公社（指定管理者）","http://www.ryuhyokan.com/","網走市オホーツク流氷館","","","","","オホーツク流氷館","","","","","",""
"かかし古里館","[かかし古里館] かかし古里館 （かかしふるさとかん）は、 北海道 岩内郡 共和町 にある共和町立の歴史 博物館 。","https://ja.wikipedia.org/wiki/かかし古里館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯42度58分48.59秒東経140度36分19.86秒","〒048-2202北海道共和町南幌似103-13","北緯42度58分48.59秒東経140度36分19.86秒﻿ / ﻿北緯42.9801639度 東経140.6055167度﻿ /42.9801639; 140.6055167座標:北緯42度58分48.59秒東経140度36分19.86秒﻿ / ﻿北緯42.9801639度 東経140.6055167度﻿ /42.9801639; 140.6055167","1994年（平成6年）4月1日","","共和町","共和町教育委員会","かかし古里館","共和町かかし古里館","1,566m2","","","","","","","","","",""
"旧函館博物館1号・2号","[旧函館博物館1号・2号] 旧函館博物館1号・2号 （きゅうはこだてはくぶつかん1ごう・2ごう）は、 函館市 青柳町の 函館公園 内にある、現存する日本最古の 博物館 施設である。","https://ja.wikipedia.org/wiki/旧函館博物館1号・2号","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"釧路市こども遊学館","[釧路市こども遊学館] 釧路市こども遊学館 （くしろしこどもゆうがくかん）は 北海道 釧路市 にある体験参加型の社会教育施設。 科学館 と 児童館 の機能を併せ持つ。","https://ja.wikipedia.org/wiki/釧路市こども遊学館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯42度59分12秒東経144度22分44秒","〒085-0017日本北海道釧路市幸町10丁目2","北緯42度59分12秒東経144度22分44秒﻿ / ﻿北緯42.98667度 東経144.37889度﻿ /42.98667; 144.37889","2005年（平成17年）","","","","釧路市こども遊学館","","","釧路青少年科学館","","","","","","","","",""
"釧路市立博物館","[釧路市立博物館] 釧路市立博物館 （くしろしりつはくぶつかん）は、 北海道 釧路市 にある 博物館 。","https://ja.wikipedia.org/wiki/釧路市立博物館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯42度58分27.1秒東経144度24分12.8秒","〒085-0822北海道釧路市春湖台1-7","北緯42度58分27.1秒東経144度24分12.8秒﻿ / ﻿北緯42.974194度 東経144.403556度﻿ /42.974194; 144.403556座標:北緯42度58分27.1秒東経144度24分12.8秒﻿ / ﻿北緯42.974194度 東経144.403556度﻿ /42.974194; 144.403556","1983年（昭和58年）11月3日","","釧路市","","釧路市立博物館","","","釧路市立郷土博物館","","白幡敏弘","","毛綱毅曠","","","","",""
"港文館","[港文館] 港文館 （こうぶんかん）は、 北海道 釧路市 にある港湾休憩所および 歌人 石川啄木 の資料を展示する 文学館 である。","https://ja.wikipedia.org/wiki/港文館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯42度58分48.6秒東経144度22分56.0秒","〒085-0847日本北海道釧路市大町2丁目1-12","北緯42度58分48.6秒東経144度22分56.0秒﻿ / ﻿北緯42.980167度 東経144.382222度﻿ /42.980167; 144.382222座標:北緯42度58分48.6秒東経144度22分56.0秒﻿ / ﻿北緯42.980167度 東経144.382222度﻿ /42.980167; 144.382222","1993年","","釧路市","企業組合北海道ろうきょう（指定管理者）","","大町地区港湾休憩所","","旧釧路新聞社社屋","釧路駅 徒歩20分","","","","","","","",""
"札幌市アイヌ文化交流センター","[札幌市アイヌ文化交流センター] 札幌市アイヌ文化交流センター サッポロピリカコタン （さっぽろしアイヌぶんかこうりゅうセンター サッポロピリカコタン、英語名：Sapporo AINU Culture Promotion Center \"Sapporo Pirka Kotan\"）は 北海道 札幌市 南区 小金湯 27番地にある アイヌ 民族の生活・文化・歴史をテーマとする 博物館 である。 札幌市 が運営・管理をおこなう。","https://ja.wikipedia.org/wiki/札幌市アイヌ文化交流センター","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯42度58分08.317秒 東経141度13分11.377秒","","","","","","","","","","","","","","","","","","",""
"札幌市交通資料館","[札幌市交通資料館] 札幌市交通資料館 （さっぽろしこうつうしりょうかん）は、 北海道 札幌市 南区 にある 札幌市交通事業振興公社 （ 札幌市交通局 の外郭団体）が運営する 鉄道保存展示施設 であり、 札幌市営地下鉄 南北線 自衛隊前駅 の南側 高架 下に設けられている。","https://ja.wikipedia.org/wiki/札幌市交通資料館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯43度0分16.89秒東経141度21分51.97秒","日本北海道札幌市南区真駒内東町1丁目1","北緯43度0分16.89秒東経141度21分51.97秒﻿ / ﻿北緯43.0046917度 東経141.3644361度﻿ /43.0046917; 141.3644361","1975年5月","鉄道","財団法人札幌市交通事業振興公社","","www.stsp.or.jp/business/museum/","","5,550m2","","札幌市営地下鉄南北線自衛隊前駅より徒歩数分","","","","","約1,000点","","",""
"札幌市資料館","[札幌市資料館] 札幌市資料館 （さっぽろししりょうかん）は、 北海道 札幌市 中央区 にある、札幌市の資料館。札幌市の歴史と文化について、さまざまな展示・紹介が行われている。","https://ja.wikipedia.org/wiki/札幌市資料館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯43度3分30.7秒東経141度20分14.9秒","〒060-0042北海道札幌市中央区大通西13丁目","北緯43度3分30.7秒東経141度20分14.9秒﻿ / ﻿北緯43.058528度 東経141.337472度﻿ /43.058528; 141.337472座標:北緯43度3分30.7秒東経141度20分14.9秒﻿ / ﻿北緯43.058528度 東経141.337472度﻿ /43.058528; 141.337472","1973年","","札幌市","札幌市資料館運営共同事業体（指定管理者）","札幌市資料館","","","","","","","","","","","",""
"札幌市水道記念館","[札幌市水道記念館] 札幌市水道記念館 （さっぽろしすいどうきねんかん）は 札幌市 が設置する 水道事業 の普及啓発施設である。","https://ja.wikipedia.org/wiki/札幌市水道記念館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯43度1分58.79秒東経141度19分43.6秒","〒064-0942北海道札幌市中央区伏見4丁目6-17","北緯43度1分58.79秒東経141度19分43.6秒﻿ / ﻿北緯43.0329972度 東経141.328778度﻿ /43.0329972; 141.328778座標:北緯43度1分58.79秒東経141度19分43.6秒﻿ / ﻿北緯43.0329972度 東経141.328778度﻿ /43.0329972; 141.328778","1977年（昭和52年）8月1日","水道事業の普及啓発","札幌市水道局","一般財団法人札幌市水道サービス協会","http://www.swsa.jp/museum/","","","札幌市水道局藻岩第一浄水場","","","","倉塚良夫","","","1997年 - 2007年","",""
"札幌市青少年科学館","[札幌市青少年科学館] 札幌市青少年科学館 （さっぽろしせいしょうねんかがくかん）は、 札幌市 厚別区 にある 科学館 。","https://ja.wikipedia.org/wiki/札幌市青少年科学館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯43度02分10秒東経141度28分20秒","〒004-0051日本札幌市厚別区厚別中央1条5丁目2-20","北緯43度02分10秒東経141度28分20秒﻿ / ﻿北緯43.03611度 東経141.47222度﻿ /43.03611; 141.47222座標:北緯43度02分10秒東経141度28分20秒﻿ / ﻿北緯43.03611度 東経141.47222度﻿ /43.03611; 141.47222","1981年10月4日","理工系","札幌市教育委員会","札幌市生涯学習振興財団（指定管理者）","札幌市青少年科学館","","10,017 m²","","札幌市営地下鉄東西線新さっぽろ駅1番出口正面北海道旅客鉄道（JR北海道）新札幌駅から徒歩約5分","京谷篤","","","","","","",""
"札幌市手稲記念館","[札幌市手稲記念館] 札幌市手稲記念館 （さっぽろしていねきねんかん、Sapporo city Teine Memorial Museum）は、 北海道 札幌市 西区 西町南 21丁目3-10にある郷土資料館。 1967年 （ 昭和 42年）の 手稲町 と 札幌市 の合併を記念して 1969年 （昭和44年）に開館した。","https://ja.wikipedia.org/wiki/札幌市手稲記念館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯43度5分8.6秒東経141度16分24.9秒","〒063-0062北海道札幌市西区西町南21丁目3番10号","北緯43度5分8.6秒東経141度16分24.9秒﻿ / ﻿北緯43.085722度 東経141.273583度﻿ /43.085722; 141.273583座標:北緯43度5分8.6秒東経141度16分24.9秒﻿ / ﻿北緯43.085722度 東経141.273583度﻿ /43.085722; 141.273583","1969年（昭和44年）","","札幌市","","","","690m2","","宮の沢駅（徒歩10分）札樽道札幌西IC（5分、小樽方面）","","","","","","","",""
"札幌市豊平川さけ科学館","[札幌市豊平川さけ科学館] 札幌市豊平川さけ科学館 （さっぽろしとよひらがわさけかがくかん）は、 北海道 札幌市 南区 真駒内公園 内にある、 サケ 回帰事業と自然知識普及を目的とする 博物館 、 科学館 。「 さけ科学館 」と略されることが多い。建物は、北海道を代表する建築家の 田上義也 の設計による。","https://ja.wikipedia.org/wiki/札幌市豊平川さけ科学館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯43度0分4秒東経141度20分36秒","〒005-0017北海道札幌市南区真駒内公園内","北緯43度0分4秒東経141度20分36秒﻿ / ﻿北緯43.00111度 東経141.34333度﻿ /43.00111; 141.34333","1984年10月6日","サケ回帰事業","札幌市","公益財団法人札幌市公園緑化協会（指定管理者）","札幌豊平川さけ科学館","","","","","","さけ科学館","田上義也","","","","",""
"札幌市埋蔵文化財センター","[札幌市埋蔵文化財センター札幌市中央区] 札幌市埋蔵文化財センター （さっぽろしまいぞうぶんかざいセンター）は 札幌市 が設置する 埋蔵文化財センター である。 埋蔵文化財 の保存と活用を図り、もって市民の文化的向上に資するため 1991年 （ 平成 3年）3月に設置された。 札幌市中央図書館 と併設されており、正面に向かって左側（東側）に埋蔵文化財センターが配置されている。1階には展示室が設置され、札幌市内の 遺跡 から出土された埋蔵文化財やその解説等が展示されており、誰でも見学することができる。","https://ja.wikipedia.org/wiki/札幌市埋蔵文化財センター","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯43度1分48.5秒東経141度20分27.7秒","〒064-0922北海道札幌市中央区南22条西13丁目","北緯43度1分48.5秒東経141度20分27.7秒﻿ / ﻿北緯43.030139度 東経141.341028度﻿ /43.030139; 141.341028座標:北緯43度1分48.5秒東経141度20分27.7秒﻿ / ﻿北緯43.030139度 東経141.341028度﻿ /43.030139; 141.341028","1991年3月","埋蔵文化財の調査及び研究等","札幌市","","http://www.city.sapporo.jp/kankobunka/maibun/index.html","","1,729m2（埋蔵文化財センター棟）","","","","","","","","","",""
"サッポロビール博物館","[サッポロビール博物館] サッポロビール博物館 （サッポロビールはくぶつかん）は、 北海道 札幌市 東区 にある 博物館 。 サッポロガーデンパーク にあり、日本国内で唯一となる ビール に関する博物館になっている。","https://ja.wikipedia.org/wiki/サッポロビール博物館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯43度04分18秒東経141度22分08秒","〒065-8633日本札幌市東区北7条東9丁目1-1","北緯43度04分18秒東経141度22分08秒﻿ / ﻿北緯43.07167度 東経141.36889度﻿ /43.07167; 141.36889座標:北緯43度04分18秒東経141度22分08秒﻿ / ﻿北緯43.07167度 東経141.36889度﻿ /43.07167; 141.36889","1987年7月1日","ビール","サッポロビール","サッポロビール","サッポロビール博物館 | サッポロビール","","約10,000 m²","開拓使麦酒記念館","","","","","","","","",""
"札幌村郷土記念館","[札幌村郷土記念館] 札幌村郷土記念館 （さっぽろむらきょうどきねんかん）は、 北海道 札幌市 東区 にある博物館。札幌の開拓者である 大友亀太郎 や当時栽培が盛んであった 玉葱 を中心に、郷土史を語り継いでいく目的で開設された。記念碑や像のほか、館内には多くの歴史的資料が展示されている。また、札幌市指定の有形文化財を多く収蔵しており、記念館全体の土地である大友亀太郎の役宅跡も札幌市指定史跡のうちの一つである。所在地は北海道札幌市 東区 北13条東16丁目。","https://ja.wikipedia.org/wiki/札幌村郷土記念館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯43度4分50秒東経141度22分37秒","〒065-0013北海道札幌市東区北13条東16丁目","北緯43度4分50秒東経141度22分37秒﻿ / ﻿北緯43.08056度 東経141.37694度﻿ /43.08056; 141.37694","1977年4月","","","札幌市","","","","","","","","","","","","",""
"沙流川歴史館","[沙流川歴史館] 沙流川歴史館 （さるがわれきしかん）は 北海道 沙流郡 平取町 二風谷 にある 博物館 。","https://ja.wikipedia.org/wiki/沙流川歴史館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯42度38分14.5秒東経142度9分21.2秒","〒055-0101北海道沙流郡平取町二風谷227-2","北緯42度38分14.5秒東経142度9分21.2秒﻿ / ﻿北緯42.637361度 東経142.155889度﻿ /42.637361; 142.155889座標:北緯42度38分14.5秒東経142度9分21.2秒﻿ / ﻿北緯42.637361度 東経142.155889度﻿ /42.637361; 142.155889","","考古、自然、歴史、治水","平取町","","公式サイト","","1,735.8㎡","","","森岡健治","","","","","","",""
"標津サーモン科学館","[標津サーモン科学館] 標津サーモン科学館 （しべつサーモンかがくかん）は、 北海道 標津町 にある 鮭 、 鱒 の生態系を扱う標津町立の 科学館 である。","https://ja.wikipedia.org/wiki/標津サーモン科学館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯43度39分36.3秒東経145度06分58.1秒","〒086-1631日本北海道標津郡標津町北1条西6丁目1-1","北緯43度39分36.3秒東経145度06分58.1秒﻿ / ﻿北緯43.660083度 東経145.116139度﻿ /43.660083; 145.116139座標:北緯43度39分36.3秒東経145度06分58.1秒﻿ / ﻿北緯43.660083度 東経145.116139度﻿ /43.660083; 145.116139","1991年（平成3年）9月15日","サケ・マス","標津町","標津町","標津サーモン科学館","標津サーモン科学館","","","","市村政樹","","","","","","",""
"市立函館博物館","[市立函館博物館] 市立函館博物館 （しりつはこだてはくぶつかん）は、 函館市 青柳町の 函館公園 内に本館がある公立総合 博物館 。","https://ja.wikipedia.org/wiki/市立函館博物館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯41度45分21.4秒東経140度42分52.7秒","〒040-0044北海道函館市青柳町17-1","北緯41度45分21.4秒東経140度42分52.7秒﻿ / ﻿北緯41.755944度 東経140.714639度﻿ /41.755944; 140.714639座標:北緯41度45分21.4秒東経140度42分52.7秒﻿ / ﻿北緯41.755944度 東経140.714639度﻿ /41.755944; 140.714639","1966年4月28日","北海道の自然・考古・歴史・民俗・美術工芸関連","函館市","","","","","開拓使函館支庁仮博物場","","","","","","","","",""
"サケのふるさと 千歳水族館","[サケのふるさと　千歳水族館] サケのふるさと 千歳水族館 （さけのふるさと ちとせすいぞくかん）は、 北海道 千歳市 にある 水族館 。","https://ja.wikipedia.org/wiki/サケのふるさと_千歳水族館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯42度49分58秒東経141度39分33秒","〒066-0028北海道千歳市花園2丁目312","北緯42度49分58秒東経141度39分33秒﻿ / ﻿北緯42.83278度 東経141.65917度﻿ /42.83278; 141.65917座標:北緯42度49分58秒東経141度39分33秒﻿ / ﻿北緯42.83278度 東経141.65917度﻿ /42.83278; 141.65917","1994年9月10日2015年7月25日（リニューアル）","淡水魚","","千歳青少年教育財団","","","","千歳サケのふるさと館","千歳駅から徒歩約10分新千歳空港から車で約10分千歳相互観光バス「千歳水族館入口」停留所","菊池基弘","","","","","","サケのふるさと 千歳水族館",""
