"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","面積","法人番号","国","外部リンク","都道府県","地方","市町村コード","総人口","隣接自治体","地図","人口密度","別名","札所等","市の木","市の花","市長","城郭構造"
"高千穂峡","[高千穂峡（宮崎）] 真名井の滝 （まないのたき）は、高千穂峡の川幅が狭まった部分に流れ落ちる 滝 である。 日本の滝百選 の一つ。","https://ja.wikipedia.org/wiki/高千穂峡","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","北緯32度42分3秒東経131度18分2秒","宮崎県高千穂町","北緯32度42分3秒東経131度18分2秒﻿ / ﻿北緯32.70083度 東経131.30056度﻿ /32.70083; 131.30056","","","","","","","","","","","","","","","","",""
"厳島","[宮島（広島）] 厳島 （いつくしま）は、日本の 広島県 廿日市市 宮島町にある島。 瀬戸内海 西部、 広島湾 の北西部に位置する。通称は 宮島 （みやじま）。また 安芸の宮島 ともいう。","https://ja.wikipedia.org/wiki/厳島","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","北緯34度16分0秒東経132度18分0秒","日本（広島県廿日市市）","","30.39km²","","","","","","","","","","","","","","","",""
"甲府盆地","[甲府盆地の夜景（山梨）] 甲府盆地 （こうふぼんち）は、 山梨県 中央部に位置する 盆地 。やや東西に長い逆三角形の盆地形状、 扇状地 になっている。面積は375 km 2 。 長野県 の 松本盆地 や 諏訪盆地 と続く 構造盆地 。中心部に県庁所在地 甲府市 が位置するほか、 甲州市 や 山梨市 など、多くの市域を含む。","https://ja.wikipedia.org/wiki/甲府盆地","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"秩父夜祭","[秩父夜祭（埼玉）] 秩父夜祭 （ちちぶよまつり）は、 ユネスコ 無形文化遺産 に登録されている 埼玉県 秩父市 にある 秩父神社 の 例祭 であり、毎年 12月1日 から 6日 に行われる   。12月2日が宵宮、12月3日が大祭であり、 提灯 で飾り付けられた 山車 （笠鉾・屋台）の曳き回しや、冬の 花火大会 で全国的に知られている。祭りは 寛文年間 から続くとされ、300年以上の歴史がある。日本屈指の極めて豪華な祭りであり、一連の行事が国の 重要無形民俗文化財 に指定されている。","https://ja.wikipedia.org/wiki/秩父夜祭","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"縄文杉","[縄文杉（鹿児島）] 縄文杉 （じょうもんすぎ）は、 鹿児島県 熊毛郡 屋久島町 （ 屋久島 ）に自生する最大級の 屋久杉 。 スギ の1 個体 に付された 名 であり、 種 の名称や、あるいは、 縄文時代 から生きている個体の総称ではない。屋久杉を代表する古木として著名である。 世界遺産 「屋久島」に包含される。","https://ja.wikipedia.org/wiki/縄文杉","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"東京タワー","[東京タワー（東京）] 東京タワー （とうきょうタワー、 英 : Tokyo Tower ）は、 日本 の 東京都 港区 芝公園 にある総合 電波塔 の 愛称 である。正式名称は 日本電波塔 （にっぽんでんぱとう）。創設者は 前田久吉 。 1958年 12月23日 竣工 。 東京 の シンボル 、 観光名所 である。","https://ja.wikipedia.org/wiki/東京タワー","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","北緯35度39分31秒東経139度44分44秒","〒105-0011東京都港区芝公園四丁目2番8号","","","","","","","","","","","","","","","","","",""
"美瑛町","[美瑛（びえい）の丘（北海道）] ","https://ja.wikipedia.org/wiki/美瑛町","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","北緯43度35分18秒東経142度28分1秒","〒071-0292北海道上川郡美瑛町本町4丁目6-1北緯43度35分18秒東経142度28分1秒﻿ / ﻿北緯43.58833度 東経142.46694度﻿ /43.58833; 142.46694座標:北緯43度35分18秒東経142度28分1秒﻿ / ﻿北緯43.58833度 東経142.46694度﻿ /43.58833; 142.46694","","676.78km2","8000020014591","日本","北海道美瑛町","北海道（上川総合振興局）","北海道地方","01459-1","9,695人（住民基本台帳人口、2021年5月31日）","上川総合振興局旭川市上川郡：東神楽町、東川町、上川町空知郡：上富良野町、中富良野町空知総合振興局芦別市十勝総合振興局上川郡：新得町","","14.3人/km2","","","","","",""
"釧路湿原","[釧路湿原（北海道）] 釧路湿原 （くしろ しつげん）は、 北海道 釧路平野 に位置する 日本 最大の 湿原  ・ 湿地 。面積は約2万6000 ha で、このうち中心部の7863haが ラムサール条約 登録湿地である  。 釧路湿原国立公園 としての区域は2万8788ha  。","https://ja.wikipedia.org/wiki/釧路湿原","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"白崎海岸","[白崎海岸（和歌山）] 白崎海岸 （しらさきかいがん）は、 和歌山県 日高郡 由良町 にある海岸。付近は 白崎海岸県立自然公園 に指定され、 日本の渚百選 に選定されている  。白い 石灰岩 で囲まれた 白崎海洋公園 を中心に ダイビング スポット、海水浴場が多数あり、黒島周辺や由良港は海釣りでも賑わう。毎年3月から7月頃には ウミネコ の大群が飛来する。 水仙 の群生地であり、10万株以上の水仙が植わっており、白と黄色の可憐な花と、甘い香りは冬の白崎海岸に美しい景観を与えている  。","https://ja.wikipedia.org/wiki/白崎海岸","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"伊勢神宮","[伊勢神宮（三重）] 伊勢神宮 （いせじんぐう）は、 三重県 伊勢市 にある 神社 。正式名称は地名（ 伊勢 ）を冠しない「 神宮 」（じんぐう）であり  、他の 神宮 と区別するために 伊勢神宮 と通称される。","https://ja.wikipedia.org/wiki/伊勢神宮","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","北緯34度27分18.00秒東経136度43分30.63秒","内宮（皇大神宮）：三重県伊勢市宇治館町1番地外宮（豊受大神宮）：三重県伊勢市豊川町279番地","内宮：北緯34度27分18.00秒東経136度43分30.63秒﻿ / ﻿北緯34.4550000度 東経136.7251750度﻿ /34.4550000; 136.7251750﻿ (皇大神宮（内宮）)座標:北緯34度27分18.00秒東経136度43分30.63秒﻿ / ﻿北緯34.4550000度 東経136.7251750度﻿ /34.4550000; 136.7251750﻿ (皇大神宮（内宮）)外宮：北緯34度29分14.05秒東経136度42分10.53秒﻿ / ﻿北緯34.4872361度 東経136.7029250度﻿ /34.4872361; 136.7029250﻿ (豊受大神宮（外宮）)","","","","","","","","","","","","伊勢神宮","神仏霊場巡拝の道特別参拝","","","",""
"阿蘇山","[阿蘇山（熊本）] 阿蘇山 （あそさん）は、 日本 の 九州 中央部、 熊本県 阿蘇地方に位置する 火山 。 カルデラ を伴う大型の 複成火山 であり、 活火山 である。","https://ja.wikipedia.org/wiki/阿蘇山","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","北緯32度53分3秒東経131度6分14秒","日本熊本県","北緯32度53分3秒東経131度6分14秒﻿ / ﻿北緯32.88417度 東経131.10389度﻿ /32.88417; 131.10389座標:北緯32度53分3秒東経131度6分14秒﻿ / ﻿北緯32.88417度 東経131.10389度﻿ /32.88417; 131.10389","","","","","","","","","","","","","","","","",""
"黒部ダム","[黒部ダム（富山）] 黒部ダム （くろべダム）は、 富山県 東部の 立山町 を流れる 黒部川 水系の黒部川に建設された 水力発電 専用の ダム である   。 1956年 （ 昭和 31年）着工、 太田垣士郎 指揮の下、171人の 殉職 者を出し7年の歳月をかけて、1961年1月に送電を開始  し、 1963年 （昭和38年）に完成した  。貯水量2億 トン  。","https://ja.wikipedia.org/wiki/黒部ダム","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","北緯36度33分59秒東経137度39分44秒","富山県中新川郡立山町芦峅寺","北緯36度33分59秒東経137度39分44秒﻿ / ﻿北緯36.56639度 東経137.66222度﻿ /36.56639; 137.66222","","","","","","","","","","","","","","","","",""
"霞ヶ浦","[霞ヶ浦の帆引き船（茨城）] 霞ヶ浦 （かすみがうら）は 茨城県 南東部に広がる、 琵琶湖 についで 日本 で二番目に大きい 湖 。 湖沼水質保全特別措置法 指定 湖沼 。「 霞ケ浦 」（大文字のケ）と表記することもある。 西浦 ・ 北浦 ・ 外浪逆浦 （そとなさかうら）・ 北利根川 ・ 鰐川 ・ 常陸川 の各水域の総体であり、一部水域は 千葉県 北東部にも跨がる  。 河川法 ではこの範囲を「 常陸利根川 」という 利根川 の支川としている。","https://ja.wikipedia.org/wiki/霞ヶ浦","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","北緯36度0分0秒東経140度25分0秒","茨城県10市1町1村、千葉県1市","北緯36度0分0秒東経140度25分0秒﻿ / ﻿北緯36.00000度 東経140.41667度﻿ /36.00000; 140.41667座標:北緯36度0分0秒東経140度25分0秒﻿ / ﻿北緯36.00000度 東経140.41667度﻿ /36.00000; 140.41667","220km2","","","","","","","","","","","","","","","",""
"曽木の滝","[曽木の滝（鹿児島）] 曽木の滝 （そぎのたき）は 鹿児島県 伊佐市 南部の 川内川 上流にある 滝 。「 曾木の滝 」とも書かれる。","https://ja.wikipedia.org/wiki/曽木の滝","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","北緯32度00分41秒東経130度34分36秒","鹿児島県伊佐市","北緯32度00分41秒東経130度34分36秒﻿ / ﻿北緯32.01139度 東経130.57667度﻿ /32.01139; 130.57667","","","","","","","","","","","","","","","","",""
"日光の社寺","[日光の社寺・杉並木（栃木）] 日光の社寺 （にっこうのしゃじ）は、 栃木県 日光市 にある 寺社 などから構成される ユネスコ の 世界遺産 である。 日光山内 （にっこうさんない）、 二社一寺 （にしゃいちじ）とも称される。","https://ja.wikipedia.org/wiki/日光の社寺","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"錦帯橋","[錦帯橋（山口）] 錦帯橋 （きんたいきょう）は、 山口県 岩国市 の 錦川 に 架橋 された、5連の木造 アーチ橋 である   。","https://ja.wikipedia.org/wiki/錦帯橋","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","北緯34度10分03.86秒東経132度10分41.43秒","山口県岩国市","","","","日本","","","","","","","","","","","","","",""
"東京ディズニーリゾート","[東京ディズニーリゾート（千葉）] 東京ディズニーリゾート （とうきょうディズニーリゾート、 英称 ：Tokyo Disney Resort、略称： TDR ）は 千葉県 浦安市 舞浜 にある日本最大の テーマパーク 群。","https://ja.wikipedia.org/wiki/東京ディズニーリゾート","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","北緯35度37分58秒東経139度52分50秒","〒279-0031千葉県浦安市舞浜1-1","北緯35度37分58秒東経139度52分50秒﻿ / ﻿北緯35.63278度 東経139.88056度﻿ /35.63278; 139.88056座標:北緯35度37分58秒東経139度52分50秒﻿ / ﻿北緯35.63278度 東経139.88056度﻿ /35.63278; 139.88056","201万m2（2.01km²）100万m2（パーク部分）","","","","","","","","","","","","","","","",""
"蔵王連峰","[蔵王（山形・宮城）] 蔵王連峰 （ざおうれんぽう）は、 東北地方 の中央を南北に連なる 奥羽山脈 の中にあって、 宮城県 と 山形県 の両県南部の県境に位置する 連峰     。奥羽山脈において時と場所を移しながら次々と繰り返された火山活動によって形成された複合火山群である  。","https://ja.wikipedia.org/wiki/蔵王連峰","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","北緯38度08分37秒東経140度26分22秒","宮城県・山形県","北緯38度08分37秒東経140度26分22秒﻿ / ﻿北緯38.14361度 東経140.43944度﻿ /38.14361; 140.43944座標:北緯38度08分37秒東経140度26分22秒﻿ / ﻿北緯38.14361度 東経140.43944度﻿ /38.14361; 140.43944（熊野岳）","","","","","","","","","","","","","","","","",""
"サンゴ礁","[サンゴ礁（沖縄）] サンゴ礁 （サンゴしょう、 珊瑚礁 、 さんご礁 、 Coral reef ）は、 造礁サンゴ の 群落 によって作られた 地形 の一つ。 熱帯 の外洋に面した 海岸 によく発達する。","https://ja.wikipedia.org/wiki/サンゴ礁","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"原爆ドーム","[原爆ドーム（広島）] 原爆ドーム （げんばくドーム、 英 : Atomic Bomb Dome ）の名で知られる 広島平和記念碑 （ひろしまへいわきねんひ、 英 : Hiroshima Peace Memorial ）は、1945年(昭和20年)8月6日8時15分日本の 広島市に投下された原子爆弾 の悲惨さを今に伝える 記念碑 （ 被爆建造物 ）である。もともとは広島県のさまざまな物産を展示するため  の 広島県物産陳列館 として開館され、戦中から原爆投下時までは 広島県産業奨励館 と呼ばれていた。 ユネスコ の 世界遺産 （ 文化遺産 ）に登録されており、「二度と同じような悲劇が起こらないように」と戒めや願いをこめて、特に 負の世界遺産  と呼ばれている。","https://ja.wikipedia.org/wiki/原爆ドーム","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"流氷","[流氷（北海道）] 流氷 （りゅうひょう、 英 : drift-ice  、 driftice  ）とは、 水面 を 漂流 する 氷 のこと。 定着氷 （ 陸 に定着している氷）以外のものを指し、 海水 が凍って生じた 海氷 のほか、 氷山 や、 川 の水が凍って生じた河川氷（ シガ 等）も含まれる。 北極海 や 南氷洋 （ 南極海 ）などのほか、 日本 近海では オホーツク海 で見られる  。","https://ja.wikipedia.org/wiki/流氷","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"旭川市旭山動物園","[旭山動物園（北海道）] 旭川市旭山動物園 （あさひかわしあさひやまどうぶつえん）は、 北海道 旭川市 東旭川町倉沼にある旭川市が運営する 動物園 。通称は旭山動物園。","https://ja.wikipedia.org/wiki/旭川市旭山動物園","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","北緯43度46分4.9秒東経142度28分47.2秒","〒078-8205北海道旭川市東旭川町倉沼","北緯43度46分4.9秒東経142度28分47.2秒﻿ / ﻿北緯43.768028度 東経142.479778度﻿ /43.768028; 142.479778座標:北緯43度46分4.9秒東経142度28分47.2秒﻿ / ﻿北緯43.768028度 東経142.479778度﻿ /43.768028; 142.479778","","","","","","","","","","","","","","","","",""
"ねぶた","[ねぶた（青森）] ねぶた とは、古来 日本 で、 旧暦 7月7日 の 年中行事 として、すなわち 七夕 行事の一つとして行われてきた  夏祭り の一類型である。 太陽暦 （ 新暦 ）の導入以降は元来の七夕との関連性は薄れ、 8月1日 から一週間ほどかけて行われる夏祭りへと変容した。 東北地方 から 北関東 にかけて 東日本 各地で行なわれてきたが、 近世 以降の 津軽地方 （ 江戸 幕藩体制 下においては 弘前藩 領 。 明治維新 以降の 青森県 西部）においてはとりわけ盛んで、祭りの形態も主にこの地で進化・発展を遂げてきた。今日では、ねぶたという祭りの類型は 南関東 や北海道にも拡散している。「 ねぶた 」と呼んで 仮名 表記するのが、最も広く知られる表現であるが、「 ねぷた 」と呼ぶ地域（ 弘前ねぷた など）も多く  、なかには 漢字 の 当て字 で「 佞武多 」と記して「ねぷた」と読みならわす地域（ 五所川原立佞武多 ）もある。また、かかる祭事（あるいは催事）は「 ねぶた祭 / ねぶた祭り （ねぶたまつり）」ともいい、 通称 ではあるが、当事者もこれを正式に用いる。加えて、ねぶた祭で使われる 山車 灯籠 を指して「ねぶた」「ねぷた」ということもある現状では、混同されることも致し方ない。発音は共通しており、「 ねふた 」または「 ねんふた 」が用いられることが多い  。","https://ja.wikipedia.org/wiki/ねぶた","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"弘前城","[弘前城（青森）] 弘前城 （ひろさきじょう）は、 陸奥国 鼻和郡 （のち統合と外浜（青森）、西浜（十三湊）を編入で 津軽郡 ）弘前（現・ 青森県 弘前市 下白銀町）にあった 日本の城 である。別名・ 鷹岡城 、 高岡城 。 江戸時代 に建造された 天守 や 櫓 などが現存し国の重要文化財に指定されている。また城跡は国の 史跡 に指定されている。 江戸時代 には 津軽氏 が居城し 弘前藩 の 藩庁 が置かれた。","https://ja.wikipedia.org/wiki/弘前城","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","北緯40度36分28.93秒東経140度27分49.7秒","","北緯40度36分28.93秒東経140度27分49.7秒﻿ / ﻿北緯40.6080361度 東経140.463806度﻿ /40.6080361; 140.463806","","","","","","","","","","弘前城","","鷹岡城、高岡城","","","","","梯郭式平山城"
"白神山地","[白神山地（青森・秋田）] 白神山地 （しらかみさんち）は、青森県から秋田県にまたがる山地帯の総称。 屋久島 とならんで1993年（平成5年）12月、日本で初めてのユネスコ 世界遺産 （自然遺産）に登録された  。 そこには「人の影響をほとんど受けていない原生的な ブナ 天然林が世界最大級の規模で分布」（世界遺産登録理由）と記されている。白神山地の名称は、昭和29年発行 国土地理院 地勢図で使われている。また、世界遺産登録以前には 弘西山地 （こうせいさんち）とも呼ばれていた。","https://ja.wikipedia.org/wiki/白神山地","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","","","","169.71km2","","","","","","","","","","","","","","","",""
"平泉","[平泉（岩手）] 平泉 （ひらいずみ）は、 日本 の 東北地方 、 岩手県 南西部（ 古代 の 陸奥国 磐井郡 ）にある古くからの 地名 であり、現在の岩手県 西磐井郡 平泉町 の中心部にあたる  。","https://ja.wikipedia.org/wiki/平泉","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","","","","176ha（緩衝地域 6,008 ha）","","","","","","","","","","","","","","","",""
"角館","[角館（秋田）] 角館 （かくのだて）は、 秋田県 仙北市 の地名、および国の 重要伝統的建造物群保存地区 の名称。現在も藩政時代の地割が踏襲され、 武家屋敷 等の建造物が数多く残されており、「みちのくの 小京都 」とも呼ばれる。","https://ja.wikipedia.org/wiki/角館","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"立石寺","[山寺（山形）] 立石寺 （りっしゃくじ）は、 山形県 山形市 にある 天台宗 の 仏教 寺院 。 山寺 （やまでら）の通称で知られ、古くは「りゅうしゃくじ  」と称した。詳しくは 宝珠山  阿所川院   立石寺 （ほうじゅさんあそかわいんりっしゃくじ）と称する。 本尊 は 薬師如来 。","https://ja.wikipedia.org/wiki/立石寺","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","北緯38度18分45.2秒東経140度26分14.6秒","山形県山形市大字山寺4456-1","北緯38度18分45.2秒東経140度26分14.6秒﻿ / ﻿北緯38.312556度 東経140.437389度﻿ /38.312556; 140.437389座標:北緯38度18分45.2秒東経140度26分14.6秒﻿ / ﻿北緯38.312556度 東経140.437389度﻿ /38.312556; 140.437389","","1390005000204","","","","","","","","","","","四寺廻廊最上三十三観音第2番（千手院）","","","",""
"松島","[松島（宮城）] 松島 （まつしま）は、 宮城県 の松島湾内外にある 諸島 のこと。または、それら諸島と湾周囲を囲む 松島丘陵 も含めた修景地区のことである。 日本三景 の1つに数えられている。2018年の観光入込客数は600万人  。","https://ja.wikipedia.org/wiki/松島","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"会津若松市","[会津若松（福島）] ","https://ja.wikipedia.org/wiki/会津若松市","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","北緯37度29分41.4秒東経139度55分47.1秒","〒965-8601福島県会津若松市東栄町3番46号北緯37度29分41.4秒東経139度55分47.1秒﻿ / ﻿北緯37.494833度 東経139.929750度﻿ /37.494833; 139.929750","","382.97km2（境界未定部分あり）","9000020072028","日本","公式ウェブサイト","福島県","東北地方","07202-8","117,209人（推計人口、2021年6月1日）","郡山市、喜多方市、耶麻郡猪苗代町、磐梯町、河沼郡会津坂下町、湯川村、岩瀬郡天栄村、南会津郡下郷町、大沼郡会津美里町","","306人/km2","","","アカマツ","タチアオイ","室井照平",""
