"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","本部所在地","学校種別","設置者","学部","ウェブサイト","研究科","大学設置","創立","キャンパス","大学設置/創立","学生数","廃止","学校設置/創立","大学校種別","学部相当","学長","大学校設置/創立","大学校設置","設立"
"愛知東邦大学","[愛知東邦大学] 1923年 に創設された東邦商業学校が前身で（創設者・ 下出民義 ）、学校法人東邦学園が運営する。 1965年 に 東邦学園短期大学 （愛知東邦大学への全面改組により 2008年 廃止）が開学し、 2001年 に 東邦学園大学 として大学が新たに設置された。 2006年 、愛知東邦大学に改称した。なお 東京都 に本部があり 千葉県 にもキャンパスがある 東邦大学 との関連性はないため、混同を避けるため大学名改称に際して「愛知」を入れている。","https://ja.wikipedia.org/wiki/愛知東邦大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯35度10分12.26秒東経136度59分12.81秒","愛知県名古屋市名東区平和が丘3-11北緯35度10分12.26秒東経136度59分12.81秒﻿ / ﻿北緯35.1700722度 東経136.9868917度﻿ /35.1700722; 136.9868917座標:北緯35度10分12.26秒東経136度59分12.81秒﻿ / ﻿北緯35.1700722度 東経136.9868917度﻿ /35.1700722; 136.9868917","私立","学校法人東邦学園","経営学部人間学部教育学部","https://www.aichi-toho.ac.jp/","なし","2001年","1923年","","","","","","","","","","",""
"愛知文教大学","[愛知文教大学] 1951年 に設置された稲沢女子短期大学（現・ 愛知文教女子短期大学 ）を母体として開学。 真宗大谷派 学校連合会に加盟。","https://ja.wikipedia.org/wiki/愛知文教大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯35度18分1.68秒東経137度0分28.61秒","愛知県小牧市大字大草字年上坂5969-3北緯35度18分1.68秒東経137度0分28.61秒﻿ / ﻿北緯35.3004667度 東経137.0079472度﻿ /35.3004667; 137.0079472座標:北緯35度18分1.68秒東経137度0分28.61秒﻿ / ﻿北緯35.3004667度 東経137.0079472度﻿ /35.3004667; 137.0079472","私立","学校法人足立学園","人文学部","http://www.abu.ac.jp/","国際文化研究科","","","","1998年","","","","","","","","",""
"愛知みずほ大学","[愛知みずほ大学] ","https://ja.wikipedia.org/wiki/愛知みずほ大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯35度7分38.2秒東経136度55分18.5秒","愛知県名古屋市瑞穂区春敲町2-13北緯35度7分38.2秒東経136度55分18.5秒﻿ / ﻿北緯35.127278度 東経136.921806度﻿ /35.127278; 136.921806座標:北緯35度7分38.2秒東経136度55分18.5秒﻿ / ﻿北緯35.127278度 東経136.921806度﻿ /35.127278; 136.921806","私立","学校法人瀬木学園","人間科学部","https://www.mizuho-c.ac.jp/","人間科学研究科","1993年","1940年","名古屋キャンパス","","","","","","","","","",""
"会津大学","[会津大学　公] 長年にわたり福島県の 会津地方 の高等教育機関は会津短期大学（現・会津大学短期大学部）のみであった。これにより会津大学の設立は、4年制大学を作るという会津の人々の悲願を叶えることとなった。","https://ja.wikipedia.org/wiki/会津大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯37度31分25秒東経139度56分16秒","福島県会津若松市一箕町鶴賀字上居合90北緯37度31分25秒東経139度56分16秒﻿ / ﻿北緯37.52361度 東経139.93778度﻿ /37.52361; 139.93778座標:北緯37度31分25秒東経139度56分16秒﻿ / ﻿北緯37.52361度 東経139.93778度﻿ /37.52361; 139.93778","公立","公立大学法人会津大学","コンピュータ理工学部","https://www.u-aizu.ac.jp/","コンピュータ理工学研究科","","","","1993年","","","","","","","","",""
"藍野大学","[藍野大学] 藍野大学 | びわこリハビリテーション専門職大学","https://ja.wikipedia.org/wiki/藍野大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯34度50分34.1秒東経135度34分55.3秒","大阪府茨木市東太田4-5-4北緯34度50分34.1秒東経135度34分55.3秒﻿ / ﻿北緯34.842806度 東経135.582028度﻿ /34.842806; 135.582028座標:北緯34度50分34.1秒東経135度34分55.3秒﻿ / ﻿北緯34.842806度 東経135.582028度﻿ /34.842806; 135.582028","私立","学校法人藍野大学","医療保健学部","http://univ.aino.ac.jp/","看護学研究科","","","本部所在地と同じ","2004年","","","","","","","","",""
"青森大学","[青森大学] 社会学部・総合経営学部・ソフトウェア情報学部・薬学部の4学部4学科を擁し、約1000人の学生が在籍している  。運営母体の 学校法人青森山田学園 の理念は「誠実、勤勉、純潔、明朗」であったが  、現在の基本理念は以下の3点である  。","https://ja.wikipedia.org/wiki/青森大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","","青森県青森市幸畑2-3-1","私立","学校法人青森山田学園","総合経営学部社会学部ソフトウェア情報学部薬学部","http://www.aomori-u.ac.jp/","","1968年","1962年","青森（青森県青森市）東京（東京都江戸川区）","","","","","","","","","",""
"青森県立保健大学","[青森県立保健大学　公] （沿革節の主要な出典は公式サイト  ）","https://ja.wikipedia.org/wiki/青森県立保健大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯40度48分50.86秒東経140度47分34.04秒","青森県青森市大字浜館字間瀬58-1北緯40度48分50.86秒東経140度47分34.04秒﻿ / ﻿北緯40.8141278度 東経140.7927889度﻿ /40.8141278; 140.7927889座標:北緯40度48分50.86秒東経140度47分34.04秒﻿ / ﻿北緯40.8141278度 東経140.7927889度﻿ /40.8141278; 140.7927889","公立","公立大学法人青森県立保健大学","健康科学部","https://www.auhw.ac.jp/","健康科学研究科","","","","1999年","","","","","","","","",""
"青森公立大学","[青森公立大学　公] 青森市 と 東津軽郡 の町村による 一部事務組合 の「青森地域広域事務組合」により、 1993年 に設置された。 2009年 4月より、青森市が設置する 公立大学法人 青森公立大学が運営・設置者である。","https://ja.wikipedia.org/wiki/青森公立大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","","青森県青森市大字合子沢字山崎153-4","公立","公立大学法人青森公立大学","経営経済学部","https://www.nebuta.ac.jp/","経営経済学研究科","","","","1993年","","","","","","","","",""
"青森中央学院大学","[青森中央学院大学] サテライトキャンパスFRIENDLY WINDOW","https://ja.wikipedia.org/wiki/青森中央学院大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯40度47分1.1秒東経140度45分42.6秒","青森県青森市横内字神田12北緯40度47分1.1秒東経140度45分42.6秒﻿ / ﻿北緯40.783639度 東経140.761833度﻿ /40.783639; 140.761833座標:北緯40度47分1.1秒東経140度45分42.6秒﻿ / ﻿北緯40.783639度 東経140.761833度﻿ /40.783639; 140.761833","私立","学校法人青森田中学園","経営法学部看護学部","http://www.aomoricgu.ac.jp/","地域マネジメント研究科","1998年","1946年","","","","","","","","","","",""
"青山学院大学","[青山学院大学] 青山学院大学は、明治7年（ 1874年 ）に 佐倉藩 の農学者、 津田仙 の斡旋により ドーラ・E・スクーンメーカー が麻布に設立した女子小学校、明治11年（ 1878年 ）に津田仙の命名、斡旋により ジュリアス・ソーパー が築地に設立した耕教学舎、明治12年（ 1879年 ）に ロバート・S・マクレイ が横浜山手町に設立した美會神学校の3つを源流とする大学である   。","https://ja.wikipedia.org/wiki/青山学院大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯35度39分37.3秒東経139度42分34.5秒","東京都渋谷区渋谷四丁目4番25号北緯35度39分37.3秒東経139度42分34.5秒﻿ / ﻿北緯35.660361度 東経139.709583度﻿ /35.660361; 139.709583座標:北緯35度39分37.3秒東経139度42分34.5秒﻿ / ﻿北緯35.660361度 東経139.709583度﻿ /35.660361; 139.709583","私立","学校法人青山学院","文学部教育人間科学部経済学部法学部経営学部国際政治経済学部総合文化政策学部理工学部社会情報学部地球社会共生学部コミュニティ人間科学部","青山学院大学","文学研究科教育人間科学研究科経済学研究科法学研究科経営学研究科国際政治経済学研究科総合文化政策学研究科理工学研究科社会情報学研究科国際マネジメント研究科法務研究科会計プロフェッション研究科","1949年","1874年","青山（東京都渋谷区）相模原（神奈川県相模原市中央区）","","20,003","","","","","","","",""
"秋田大学","[秋田大学　国] 1949年 に 秋田師範学校 （ 1878年 設立）、 秋田青年師範学校 （ 1944年 設立）、 秋田鉱山専門学校 （ 1910年 設立）を包括して設置された。秋田大学では1949年の 新制大学 設置年を創立年としているため、本稿でもその見解に従った。","https://ja.wikipedia.org/wiki/秋田大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯39度43分41.51秒東経140度8分2.52秒","秋田県秋田市手形学園町1-1北緯39度43分41.51秒東経140度8分2.52秒﻿ / ﻿北緯39.7281972度 東経140.1340333度﻿ /39.7281972; 140.1340333座標:北緯39度43分41.51秒東経140度8分2.52秒﻿ / ﻿北緯39.7281972度 東経140.1340333度﻿ /39.7281972; 140.1340333","国立","国立大学法人秋田大学","国際資源学部教育文化学部医学部理工学部","https://www.akita-u.ac.jp/","国際資源学研究科教育学研究科医学系研究科理工学研究科先進ヘルスケア工学院","","","手形（秋田県秋田市）本道（秋田県秋田市）保戸野（秋田県秋田市）","1949年","","","","","","","","",""
"秋田看護福祉大学","[秋田看護福祉大学] ","https://ja.wikipedia.org/wiki/秋田看護福祉大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯40度16分50秒東経140度33分12秒","秋田県大館市清水2丁目3番4号北緯40度16分50秒東経140度33分12秒﻿ / ﻿北緯40.28056度 東経140.55333度﻿ /40.28056; 140.55333座標:北緯40度16分50秒東経140度33分12秒﻿ / ﻿北緯40.28056度 東経140.55333度﻿ /40.28056; 140.55333","私立","学校法人ノースアジア大学","看護福祉学部","https://www.well.ac.jp/","","","","大館（秋田県大館市）秋田（秋田県秋田市）","2005年","","","","","","","","",""
"秋田県立大学","[秋田県立大学　公] 秋田県立大学は、 1999年 に 秋田県 により設置された。入学定員390人と小規模でありながら、3キャンパス1研究施設を持つ。秋田・大潟キャンパスは生物・農学系、本荘キャンパスは工学系である。各キャンパスは明るく、その清潔感と充実した先端設備から施設の充実度は高い。イギリスの教育情報会社「Quacquarelli Symonds Ltd.」から発表された、2016年版の「大学ランキング（QSランキング）」では、国内の国公私立大学約800校の中で41位タイ、東北の国公私立大学では東北大、国際教養大に次いで3位、国内の公立大学約80校の中では、首都大学東京、国際教養大、大阪市立大、大阪府立大、横浜市立大に次いで6位にランキングされている。  。","https://ja.wikipedia.org/wiki/秋田県立大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯39度48分8.93秒東経140度2分41.2秒","秋田県秋田市下新城中野字街道端西241-438北緯39度48分8.93秒東経140度2分41.2秒﻿ / ﻿北緯39.8024806度 東経140.044778度﻿ /39.8024806; 140.044778座標:北緯39度48分8.93秒東経140度2分41.2秒﻿ / ﻿北緯39.8024806度 東経140.044778度﻿ /39.8024806; 140.044778","公立","公立大学法人秋田県立大学","システム科学技術学部生物資源科学部","https://www.akita-pu.ac.jp/","システム科学技術研究科生物資源科学研究科","","","本荘キャンパス秋田キャンパス大潟キャンパス","1999年","","","","","","","","",""
"秋田公立美術大学","[秋田公立美術大学　公] 秋田公立美術工芸短期大学 が 2013年 （平成25年）に 4年制大学 移行によって設置された大学で、東北地方の 公立大学 では唯一の 美術系大学 となる、 美術学部 1学部の 単科大学 である。なお、 美術 とは、本来 工芸 分野を包摂するより広い概念であるということに鑑み、4年制大学移行にあたっては大学名から「工芸」を外し、秋田公立美術大学とした。同時に公立大学法人立へと移行しており、 秋田市 が設立する公立大学法人秋田公立美術大学を大学の設置者としている。","https://ja.wikipedia.org/wiki/秋田公立美術大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","","秋田県秋田市新屋大川町12番3号","公立","公立大学法人秋田公立美術大学","美術学部","https://www.akibi.ac.jp/","","2013年","1952年","","","","","","","","","","",""
"朝日大学","[朝日大学] 宮田慶三郎 によって 1971年 に岐阜歯科大学として設置された。","https://ja.wikipedia.org/wiki/朝日大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯35度22分54秒東経136度41分26秒","岐阜県瑞穂市穂積1851北緯35度22分54秒東経136度41分26秒﻿ / ﻿北緯35.38167度 東経136.69056度﻿ /35.38167; 136.69056座標:北緯35度22分54秒東経136度41分26秒﻿ / ﻿北緯35.38167度 東経136.69056度﻿ /35.38167; 136.69056","私立","学校法人朝日大学","法学部経営学部歯学部保健医療学部","http://www.asahi-u.ac.jp/","歯学研究科法学研究科経営学研究科","","","穂積キャンパス（岐阜県瑞穂市）名古屋キャンパス（愛知県名古屋市中区）","1971年","","","","","","","","",""
"旭川大学","[旭川大学] 旭川大学の建学の理念は「地域に根ざし、地域を拓き、地域に開かれた大学」となっている。","https://ja.wikipedia.org/wiki/旭川大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯43度49分0.9秒東経142度26分44.4秒","北海道旭川市永山3条23丁目北緯43度49分0.9秒東経142度26分44.4秒﻿ / ﻿北緯43.816917度 東経142.445667度﻿ /43.816917; 142.445667座標:北緯43度49分0.9秒東経142度26分44.4秒﻿ / ﻿北緯43.816917度 東経142.445667度﻿ /43.816917; 142.445667","私立","学校法人旭川大学","経済学部保健福祉学部","https://www.asahikawa-u.ac.jp/","経済学研究科","1968年","1898年","","","","","","","","","","",""
"旭川医科大学","[旭川医科大学　国] 樺太医学専門学校 (旧制)","https://ja.wikipedia.org/wiki/旭川医科大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","","北海道旭川市緑が丘東2条1丁目1-1","国立","国立大学法人旭川医科大学","医学部","http://www.asahikawa-med.ac.jp/","医学系研究科","","","","1973年","978","","","","","","","",""
"麻布大学","[麻布大学] 青山学院大学 | 麻布大学 | 神奈川大学 | 神奈川工科大学 | 関東学院大学 | 北里大学 | 相模女子大学 | 松蔭大学 | 湘南工科大学 | 情報セキュリティ大学院大学 | 専修大学 | 総合研究大学院大学 | 鶴見大学 | 桐蔭横浜大学 | 東海大学 | 東京工業大学 | 東京工芸大学 | 東京都市大学 | 日本大学 | 日本女子大学 | フェリス女学院大学 | 明治大学 | 横浜市立大学 | 横浜国立大学 | 文教大学 | 神奈川歯科大学","https://ja.wikipedia.org/wiki/麻布大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","","神奈川県相模原市中央区淵野辺1-17-71","私立","学校法人麻布獣医学園","獣医学部生命・環境科学部","https://www.azabu-u.ac.jp/","獣医学研究科環境保健学研究科","1950年","1890年","相模原","","","","","","","","","",""
