"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","面積","位置","アクセス","周囲長","最大水深","貯水量","成因","淡水・汽水","所在海域","最高標高","全長","駐車場","平均水深","水面の,標高","湖沼型","透明度","海岸線長"," • 合計"
"九十九里浜","[九十九里浜千葉県旭市、匝瑳市、山武市、山武郡横芝光町、九十九里町、大網白里市、長生郡白子町、長生村、一宮町] 九十九里浜 （くじゅうくりはま）は、 千葉県 東部の 刑部岬 から 太東崎 までに及ぶ 太平洋 沿岸に面する日本最大級の 砂浜海岸 。全域を 千葉県立九十九里自然公園 に指定されており、 日本の白砂青松100選 、 日本の渚百選 に選定されている    。海岸線を指す場合は 九十九里海岸 と呼ばれ、 オーストラリア の ゴールドコースト と類似した環境で行うビーチウォークに着目し、 九十九里コーストライン とも命名されている   。","https://ja.wikipedia.org/wiki/九十九里浜","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","北緯35度35分56秒東経140度30分51秒","日本千葉県旭市、匝瑳市、山武市、大網白里市、いすみ市、横芝光町、九十九里町、白子町、一宮町、長生村","","","九十九里有料道路など","","","","","","","","約66 km","","","","","","",""
"鵜原海岸 (存在しないページ)","[鵜原・守谷海岸勝浦市]","https://ja.wikipedia.org/w/index.php?title=鵜原海岸&amp;action=edit&amp;redlink=1","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"犬吠埼","[犬吠埼君ヶ浜海岸銚子市] 犬吠埼 （いぬぼうさき、 英 :Inubosaki）は、 関東平野 最東端に位置する 千葉県 銚子市 の 太平洋 に突出する 岬 。 水郷筑波国定公園 に含まれる 景勝地 。岬には 犬吠埼灯台 が屹立する。岬一帯の町名にも 犬吠埼 が使用されている。 郵便番号 は288-0012  。","https://ja.wikipedia.org/wiki/犬吠埼","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","北緯35度25分東経140度31分","","","","","","","","","","","","","","","","","","",""
"前原海岸 (存在しないページ)","[前原・横渚海岸鴨川市]","https://ja.wikipedia.org/w/index.php?title=前原海岸&amp;action=edit&amp;redlink=1","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"筆島","[筆島東京都大島町] 筆島 （ふでしま）は、 東京都 大島町 に属する小さな 無人島 。海に突き出た高さ30mほどの岩であり、その名のとおり 筆 先のような形をしている。 伊豆大島 の南東の海岸から、100mほどの沖に位置する。","https://ja.wikipedia.org/wiki/筆島","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","北緯34度42分23秒東経139度26分43秒","日本（東京都）","","","","","","","","","太平洋（フィリピン海）","30m","","","","","","","",""
"葛西臨海公園","[葛西海浜公園東なぎさ・西なぎさ江戸川区] 葛西臨海公園 （かさいりんかいこうえん）は、 東京都 江戸川区 に所在する 東京湾 に面した 都立公園 である。沖合に隣接する 葛西海浜公園 についても、ここで述べる。","https://ja.wikipedia.org/wiki/葛西臨海公園","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","北緯35度38分32秒東経139度51分37秒","東京都江戸川区","80.6ha","","京葉線葛西臨海公園駅下車","","","","","","","","","約2700台","","","","","",""
"照ヶ崎海岸 (存在しないページ)","[照ヶ崎海岸（こゆるぎの浜）神奈川県中郡大磯町]","https://ja.wikipedia.org/w/index.php?title=照ヶ崎海岸&amp;action=edit&amp;redlink=1","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"葉山海岸 (存在しないページ)","[葉山海岸三浦郡葉山町]","https://ja.wikipedia.org/w/index.php?title=葉山海岸&amp;action=edit&amp;redlink=1","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"七里ヶ浜","[七里ヶ浜海岸鎌倉市] 七里ヶ浜 （しちりがはま）は、 神奈川県 鎌倉市 南西部にある 相模湾 に面した2.9 km ほどの 浜 で、 稲村ヶ崎 と 小動岬 の間にある。 日本の渚百選 の一つで鎌倉市の 町名 でもある。現行行政地名は七里 ガ 浜一丁目及び二丁目並びに七里ガ浜東一丁目から七里ガ浜東五丁目。 住居表示 は実施済み区域だが、七里ガ浜東三丁目の一部のみ未実施区域  。 郵便番号 は七里ガ浜が248-0026  、七里ガ浜東が248-0025  。","https://ja.wikipedia.org/wiki/七里ヶ浜","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","","0.39km2"
"都道府県","[都道府県自治体] 都道府県 （とどうふけん）は、 日本 の 広域的地方公共団体 である「 都 」「 道 」「 府 」「 県 」の総称。","https://ja.wikipedia.org/wiki/都道府県","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"鯨波海岸 (存在しないページ)","[鯨波・青海川海岸新潟県柏崎市]","https://ja.wikipedia.org/w/index.php?title=鯨波海岸&amp;action=edit&amp;redlink=1","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"外海府海岸","[尖閣湾佐渡市] この記事には 複数の問題があります 。 改善 や ノートページ での議論にご協力ください。","https://ja.wikipedia.org/wiki/外海府海岸","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"雨晴海岸","[雨晴海岸・松田江の長浜富山県高岡市、氷見市] 座標 : .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap} 北緯36度49分40.7秒 東経137度1分7.4秒 ﻿ / ﻿ 北緯36.827972度 東経137.018722度 ﻿ / 36.827972; 137.018722","https://ja.wikipedia.org/wiki/雨晴海岸","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"宮崎・境海岸","[宮崎・境海岸下新川郡朝日町] 座標 : .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap} 北緯36度58分30.1秒 東経137度35分28.7秒 ﻿ / ﻿ 北緯36.975028度 東経137.591306度 ﻿ / 36.975028; 137.591306","https://ja.wikipedia.org/wiki/宮崎・境海岸","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"千里浜なぎさドライブウェイ","[千里浜なぎさドライブウェイ石川県羽咋市、羽咋郡宝達志水町] 千里浜なぎさドライブウェイ （ちりはまなぎさドライブウェイ）は、 石川県 羽咋郡 宝達志水町 今浜から同県 羽咋市 千里浜町に至る砂浜の延長約8 キロメートル (km) の観光道路であり、千里浜と今浜の一部と出浜の各 海水浴場 も兼ねている。","https://ja.wikipedia.org/wiki/千里浜なぎさドライブウェイ","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"鉢が崎海岸 (存在しないページ)","[鉢が崎海岸珠洲市]","https://ja.wikipedia.org/w/index.php?title=鉢が崎海岸&amp;action=edit&amp;redlink=1","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"小舞子海岸 (存在しないページ)","[小舞子海岸白山市]","https://ja.wikipedia.org/w/index.php?title=小舞子海岸&amp;action=edit&amp;redlink=1","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"東尋坊","[越前松島東尋坊福井県坂井市] 東尋坊 （とうじんぼう）は、 福井県 坂井市 三国町 安島に位置する 崖 。 越前加賀海岸国定公園 の特別保護地区に指定されている  。","https://ja.wikipedia.org/wiki/東尋坊","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"越前海岸","[越前海岸丹生郡越前町、福井市] 越前海岸 （えちぜんかいがん）は、 日本海 に面し、 福井県 敦賀市 杉津（ すいづ ）から 越前岬 を経て、 坂井市 三国町安島の 東尋坊 に至る 海岸 の総称。","https://ja.wikipedia.org/wiki/越前海岸","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"若狭湾","[若狭小浜小浜市] 若狭湾 （わかさわん）は、 福井県 から 京都府 にかけての 海岸 地形を形成する 日本海 が深く入り込んでできた 湾 。福井県北部西端の 越前岬 と京都府北端の 経ヶ岬 を結ぶ直線、及び 本州 の海岸線によって囲んだ海域を指し、2,657 km² の面積を有する。日本海側では珍しい大規模な リアス式海岸 が特徴である。","https://ja.wikipedia.org/wiki/若狭湾","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"山中湖","[山中湖夕焼けの渚山梨県南都留郡山中湖村] 山中湖 （やまなかこ）は、 山梨県 南都留郡 山中湖村 にある 淡水湖 。","https://ja.wikipedia.org/wiki/山中湖","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","北緯35度25分0秒東経138度52分30秒","山梨県南都留郡山中湖村","6.57km2","北緯35度25分0秒東経138度52分30秒﻿ / ﻿北緯35.41667度 東経138.87500度﻿ /35.41667; 138.87500座標:北緯35度25分0秒東経138度52分30秒﻿ / ﻿北緯35.41667度 東経138.87500度﻿ /35.41667; 138.87500","","13.87km","13.3m","0.06392km3","堰止湖","淡水","","","","","- m","980.5m","-","8.0 m","",""
"河口湖","[河口湖留守が岩浜富士河口湖町] 河口湖 （かわぐちこ）は、 本州 の中部山梨県、 富士山 の近くに存在する、 富士五湖 の1つに数えられる 相模川 水系の 湖 である。 富士箱根伊豆国立公園 に指定されている。富士五湖の中で最も長い湖岸線を持ち、最も低い標高地点にある。面積は富士五湖では2番目の大きさで、最大水深は 精進湖 とほぼ同じで 14.6m の深さ。","https://ja.wikipedia.org/wiki/河口湖","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","北緯35度31分4秒東経138度45分22秒","山梨県南都留郡富士河口湖町","5.48km2","北緯35度31分4秒東経138度45分22秒﻿ / ﻿北緯35.51778度 東経138.75611度﻿ /35.51778; 138.75611座標:北緯35度31分4秒東経138度45分22秒﻿ / ﻿北緯35.51778度 東経138.75611度﻿ /35.51778; 138.75611","","19.08km","14.6m","0.053km3","堰止湖","淡水","","","","","- m","833  m","-","7.0 m","",""
"諏訪湖","[諏訪湖ふれあい渚長野県諏訪市] 諏訪湖 （すわこ）は、 長野県 岡谷市 、 諏訪市 、 諏訪郡 下諏訪町 にまたがる  湖 。 河川法 では、 天竜川 （ 一級河川 ）水系の一部として扱われる。 湖沼水質保全特別措置法 指定湖沼。","https://ja.wikipedia.org/wiki/諏訪湖","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","北緯36度02分57秒東経138度05分07秒","日本長野県","12.81km2","北緯36度02分57秒東経138度05分07秒﻿ / ﻿北緯36.04917度 東経138.08528度﻿ /36.04917; 138.08528座標:北緯36度02分57秒東経138度05分07秒﻿ / ﻿北緯36.04917度 東経138.08528度﻿ /36.04917; 138.08528","","15.9km","7.2m","0.063km3","構造湖（断層湖）","淡水","","","","","4.7 m","759  m","富栄養湖","1.3 m","",""
"弓ヶ浜 (静岡県) (存在しないページ)","[弓ヶ浜静岡県賀茂郡南伊豆町]","https://ja.wikipedia.org/w/index.php?title=弓ヶ浜_(静岡県)&amp;action=edit&amp;redlink=1","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"牛臥海岸 (存在しないページ)","[牛臥・島郷・志下海岸沼津市]","https://ja.wikipedia.org/w/index.php?title=牛臥海岸&amp;action=edit&amp;redlink=1","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"恋路ヶ浜 (田原市)","[恋路ヶ浜愛知県田原市] 恋路ヶ浜 （こいじがはま）は、 渥美半島 の先端、 伊良湖岬 から付近にある 日出の石門 までの、約1kmの 砂浜 である。 愛知県 の 田原市 にある。","https://ja.wikipedia.org/wiki/恋路ヶ浜_(田原市)","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"千鳥ヶ浜 (愛知県)","[千鳥ヶ浜知多郡南知多町] 千鳥ヶ浜 （ちどりがはま）は、 知多半島 西側の 伊勢湾 に面した海岸・浜。 愛知県 知多郡 南知多町 大字内海にある。","https://ja.wikipedia.org/wiki/千鳥ヶ浜_(愛知県)","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"都道府県","[都道府県自治体] 都道府県 （とどうふけん）は、 日本 の 広域的地方公共団体 である「 都 」「 道 」「 府 」「 県 」の総称。","https://ja.wikipedia.org/wiki/都道府県","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"七里御浜","[七里御浜三重県熊野市] 七里御浜 （しちりみはま）は 三重県 熊野市 から 紀宝町 にかけて 熊野灘 に面した 浜 である。 日本の渚百選 、 日本の白砂青松百選 、 21世紀に残したい日本の自然百選 の一つ。 吉野熊野国立公園 の一部。また、 熊野古道伊勢路 の一部。","https://ja.wikipedia.org/wiki/七里御浜","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"二見浦海岸","[二見浦海岸伊勢市] 二見浦 （ふたみがうら）は、 三重県 伊勢市 二見町 の今一色から立石崎に至る海岸。立石崎から神前岬までの海岸（神前海岸）もその一部とされることがある。","https://ja.wikipedia.org/wiki/二見浦海岸","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"天橋立","[天橋立京都府宮津市] 天橋立 （あまのはしだて）は、 京都府 宮津市 の 宮津湾 と 内海 の 阿蘇海 を南北に隔てる全長3.6 キロメートル の湾口 砂州  。 日本三景 の一つであり    、 2013年 の観光入込客数は178万1900人と 京都市 を除いた京都府内の観光地で第1位である  。","https://ja.wikipedia.org/wiki/天橋立","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"伊根漁港","[伊根湾舟屋群与謝郡伊根町] 伊根町の漁港一覧 （いねちょう の ぎょこういちらん）では、 京都府 与謝郡 伊根町 に所在する 漁港 について述べる。","https://ja.wikipedia.org/wiki/伊根漁港","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"琴引浜","[琴引浜京丹後市] 白滝神社 （しらたきじんじゃ）は、 京丹後市 網野町 掛津に琴引浜を見下ろすように鎮座する神社である。名前の由来は神社の西の海に面したところにある白滝からきている  。祭神は 大物主命  。神は、 サザエ の殻に乗って漂着したと口伝が残る  。境内に7社、区内諸社に1社の神社をもつ   。","https://ja.wikipedia.org/wiki/琴引浜","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","北緯35度42分05秒東経135度02分48秒","京都府京丹後市網野町掛津小字西山7番ノ1","","北緯35度42分05秒東経135度02分48秒﻿ / ﻿北緯35.70139度 東経135.04667度﻿ /35.70139; 135.04667","","","","","","","","","","","","","","","",""
"慶野松原","[慶野松原兵庫県南あわじ市] 慶野松原 （けいのまつばら）は、 淡路島 の西側、 播磨灘 に面した兵庫県 南あわじ市 松帆古津路から松帆慶野にある 松原 である  。国指定の 名勝 。","https://ja.wikipedia.org/wiki/慶野松原","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"竹野浜","[竹野浜海岸豊岡市] 竹野浜 （たけのはま）は、 兵庫県 豊岡市 竹野町 竹野にある 白砂青松 の 砂浜 で、 日本海 に面する 竹野海岸 の 猫崎半島 の東に位置する。竹野浜を含む竹野海岸は 山陰海岸国立公園 および 山陰海岸ジオパーク に属する。","https://ja.wikipedia.org/wiki/竹野浜","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"須磨海岸","[須磨海岸神戸市] 須磨海岸 （すまかいがん）は、 兵庫県 神戸市 須磨区 にある 海岸 、景勝地。","https://ja.wikipedia.org/wiki/須磨海岸","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"白崎海岸","[白崎海岸和歌山県日高郡由良町] 白崎海岸 （しらさきかいがん）は、 和歌山県 日高郡 由良町 にある海岸。付近は 白崎海岸県立自然公園 に指定され、 日本の渚百選 に選定されている  。白い 石灰岩 で囲まれた 白崎海洋公園 を中心に ダイビング スポット、海水浴場が多数あり、黒島周辺や由良港は海釣りでも賑わう。毎年3月から7月頃には ウミネコ の大群が飛来する。 水仙 の群生地であり、10万株以上の水仙が植わっており、白と黄色の可憐な花と、甘い香りは冬の白崎海岸に美しい景観を与えている  。","https://ja.wikipedia.org/wiki/白崎海岸","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"白良浜","[白良浜西牟婁郡白浜町] 白良浜 （しららはま）は、 和歌山県 西牟婁郡 白浜町 の鉛山湾沿岸に位置する 砂浜 である。 石英 の砂からなる白い浜辺と 白浜温泉 で知られる。 ハワイ ・ ワイキキビーチ の友好姉妹浜（Goodwill Beach City Relationship）である。","https://ja.wikipedia.org/wiki/白良浜","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"都道府県","[都道府県自治体] 都道府県 （とどうふけん）は、 日本 の 広域的地方公共団体 である「 都 」「 道 」「 府 」「 県 」の総称。","https://ja.wikipedia.org/wiki/都道府県","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
