"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","開業年月日","駅構造","所在地","ホーム","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","種類","本社所在地","設立","業種","法人番号"
"大観峰駅","大観峰駅（だいかんぼうえき）","https://ja.wikipedia.org/wiki/大観峰駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯36度34分10.9秒東経137度37分54秒","無軌条電車線（立山トンネルトロリーバス）","3.7 km（室堂起点）","立山黒部貫光","1970年（昭和45年）7月25日[1]","地下駅（トロリーバス）地上駅（ロープウェイ）","富山県中新川郡立山町芦峅寺北緯36度34分10.9秒東経137度37分54秒座標:北緯36度34分10.9秒 東経137度37分54秒","","標高：2,316m","","","","","","","","","","",""
"代官山駅","代官山駅（だいかんやまえき）","https://ja.wikipedia.org/wiki/代官山駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度38分53.2秒東経139度42分11.4秒","■東横線","1.5 km（渋谷起点）","東急電鉄","1927年（昭和2年）8月28日","地上駅（橋上駅）","東京都渋谷区代官山町19-4北緯35度38分53.2秒東経139度42分11.4秒﻿ / ﻿北緯35.648111度 東経139.703167度﻿ /35.648111; 139.703167﻿ (代官山駅)座標:北緯35度38分53.2秒東経139度42分11.4秒﻿ / ﻿北緯35.648111度 東経139.703167度﻿ /35.648111; 139.703167﻿ (代官山駅)","2面2線","","TY02","","","20,403人/日-2020年-","","","","","","",""
"大行司駅","大行司駅（だいぎょうじえき）","https://ja.wikipedia.org/wiki/大行司駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯33度23分47.41秒東経130度52分28.41秒","■日田彦山線","59.3 km（城野起点）","九州旅客鉄道（JR九州）","1946年（昭和21年）9月20日[1]","地上駅（盛土上）[2]","福岡県朝倉郡東峰村大字宝珠山[1]11北緯33度23分47.41秒東経130度52分28.41秒","2面2線[1]","無人駅[1]","","タイ←ダイ","","","","","","","","",""
"青函トンネル竜飛斜坑線","体験坑道駅（たいけんこうどうえき）","https://ja.wikipedia.org/wiki/青函トンネル竜飛斜坑線","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"醍醐駅 (秋田県)","醍醐駅 (秋田県)（だいごえき・東日本旅客鉄道奥羽本線）","https://ja.wikipedia.org/wiki/醍醐駅_(秋田県)","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯39度14分58.5秒東経140度32分19.4秒","■奥羽本線","221.2 km（福島起点）","東日本旅客鉄道（JR東日本）","1951年（昭和26年）11月15日[1]","地上駅","秋田県横手市平鹿町醍醐字太茂田8北緯39度14分58.5秒東経140度32分19.4秒座標:北緯39度14分58.5秒 東経140度32分19.4秒","1面1線","無人駅[2]","","タコ","","","","","","","","",""
"醍醐駅 (京都府)","醍醐駅 (京都府)（だいごえき・京都市営地下鉄東西線）","https://ja.wikipedia.org/wiki/醍醐駅_(京都府)","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯34度57分3.09秒東経135度48分38.27秒","東西線","2.4 km（六地蔵起点）","京都市交通局（京都市営地下鉄）","1997年（平成9年）10月12日","地下駅","京都市伏見区醍醐高畑町北緯34度57分3.09秒東経135度48分38.27秒﻿ / ﻿北緯34.9508583度 東経135.8106306度﻿ /34.9508583; 135.8106306座標:北緯34度57分3.09秒東経135度48分38.27秒﻿ / ﻿北緯34.9508583度 東経135.8106306度﻿ /34.9508583; 135.8106306","1面2線","","●T03","","","12,864人/日-2019年-","","","","","","",""
"大国町駅","大国町駅（だいこくちょうえき）","https://ja.wikipedia.org/wiki/大国町駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯34度39分21.86秒東経135度29分52.09秒","●御堂筋線","11.7 km（江坂起点）千里中央から17.6 km","大阪市高速電気軌道(Osaka Metro)","1938年（昭和13年）4月21日","地下駅","大阪市浪速区敷津東三丁目北緯34度39分21.86秒東経135度29分52.09秒﻿ / ﻿北緯34.6560722度 東経135.4978028度﻿ /34.6560722; 135.4978028﻿ (大国町駅)座標:北緯34度39分21.86秒東経135度29分52.09秒﻿ / ﻿北緯34.6560722度 東経135.4978028度﻿ /34.6560722; 135.4978028﻿ (大国町駅)","2面4線",""," M21 ","","12,899人/日（降車客含まず）-2020年-","25,094人/日-2020年-","","","","","","",""
"大山寺駅","大山寺駅（たいさんじえき・名古屋鉄道犬山線）","https://ja.wikipedia.org/wiki/大山寺駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度15分48秒東経136度52分29秒","犬山線","8.1 km（枇杷島分岐点起点）","名古屋鉄道","1915年（大正4年）2月5日","地上駅","愛知県岩倉市大山寺町東出993番地1北緯35度15分48秒東経136度52分29秒﻿ / ﻿北緯35.26333度 東経136.87472度﻿ /35.26333; 136.87472座標:北緯35度15分48秒東経136度52分29秒﻿ / ﻿北緯35.26333度 東経136.87472度﻿ /35.26333; 136.87472","2面2線","無人駅（駅集中管理システム導入駅）","IY  06 ","","","2,065人/日-2019年-","","","","","","",""
"太地駅","太地駅（たいじえき）","https://ja.wikipedia.org/wiki/太地駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","","W紀勢本線（きのくに線）","199.9km（亀山起点）新宮から19.7 km","西日本旅客鉄道（JR西日本）","1935年（昭和10年）7月18日[1]","地上駅（盛土上）","","1面1線","無人駅（自動券売機 有）","","タイ","99人/日（降車客含まず）-2019年-","","","","","","","",""
"太子堂駅","太子堂駅（たいしどうえき）","https://ja.wikipedia.org/wiki/太子堂駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯38度13分4.27秒東経140度52分59.97秒","■東北本線（■常磐線・■仙台空港アクセス線）","346.3 km（東京駅起点）","東日本旅客鉄道（JR東日本）","2007年（平成19年）3月18日[1]","高架駅","仙台市太白区太子堂1-1北緯38度13分4.27秒東経140度52分59.97秒﻿ / ﻿北緯38.2178528度 東経140.8833250度﻿ /38.2178528; 140.8833250座標:北緯38度13分4.27秒東経140度52分59.97秒﻿ / ﻿北緯38.2178528度 東経140.8833250度﻿ /38.2178528; 140.8833250","1面2線","業務委託駅みどりの窓口有仙台市内駅","","タイ","4,007人/日（降車客含まず）-2019年-","","","","","","","",""
"大師橋駅","大師橋駅（だいしばしえき）","https://ja.wikipedia.org/wiki/大師橋駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度32分12.0秒東経139度44分27.0秒","■大師線","3.8 km（京急川崎起点）","京浜急行電鉄","1944年（昭和19年）6月1日","地下駅","川崎市川崎区大師河原二丁目4-25北緯35度32分12.0秒東経139度44分27.0秒﻿ / ﻿北緯35.536667度 東経139.740833度﻿ /35.536667; 139.740833座標:北緯35度32分12.0秒東経139度44分27.0秒﻿ / ﻿北緯35.536667度 東経139.740833度﻿ /35.536667; 139.740833","2面2線","","KK25","","","10,803人/日-2019年-","","","","","","",""
"城崎ロープウェイ","大師山山頂駅（だいしざんさんちょうえき）","https://ja.wikipedia.org/wiki/城崎ロープウェイ","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"太子橋今市駅","太子橋今市駅（たいしばしいまいちえき）","https://ja.wikipedia.org/wiki/太子橋今市駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯34度43分52.97秒東経135度33分17.77秒","●谷町線","3.0 km（大日起点）","大阪市高速電気軌道(Osaka Metro)","1977年（昭和52年）4月6日","地下駅","大阪市旭区太子橋1丁目北緯34度43分52.97秒東経135度33分17.77秒﻿ / ﻿北緯34.7313806度 東経135.5549361度﻿ /34.7313806; 135.5549361﻿ (太子橋今市駅)座標:北緯34度43分52.97秒東経135度33分17.77秒﻿ / ﻿北緯34.7313806度 東経135.5549361度﻿ /34.7313806; 135.5549361﻿ (太子橋今市駅)","2面4線（各線1面2線）",""," T13 ","","6,008人/日（降車客含まず）-2020年-","11,833人/日-2020年-","","","","","","",""
"大師前駅","大師前駅（だいしまええき）","https://ja.wikipedia.org/wiki/大師前駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度46分43.9秒東経139度46分53.4秒","■大師線","1.0 km（西新井起点）","東武鉄道","1931年（昭和6年）12月20日","高架駅[1]","東京都足立区西新井一丁目[1]北緯35度46分43.9秒東経139度46分53.4秒﻿ / ﻿北緯35.778861度 東経139.781500度﻿ /35.778861; 139.781500﻿ (大師前駅)座標:北緯35度46分43.9秒東経139度46分53.4秒﻿ / ﻿北緯35.778861度 東経139.781500度﻿ /35.778861; 139.781500﻿ (大師前駅)","1面1線","1968年、現在地に移設。無人駅[1]","TS51","マエ","","13,982人/日-2019年-","","","","","","",""
"大釈迦駅","大釈迦駅（だいしゃかえき）","https://ja.wikipedia.org/wiki/大釈迦駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","","■奥羽本線","467.2 km（福島起点）","東日本旅客鉄道（JR東日本）","1894年（明治27年）12月1日[1]","地上駅","","2面3線[1]","無人駅[1]","","シヤ","85人/日（降車客含まず）-2004年-","","","","","","","",""
"大正駅 (大阪府)","大正駅 (大阪府)（たいしょうえき・西日本旅客鉄道大阪環状線・Osaka Metro長堀鶴見緑地線）","https://ja.wikipedia.org/wiki/大正駅_(大阪府)","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","","","","西日本旅客鉄道（JR西日本・駅詳細）大阪市高速電気軌道（Osaka Metro・駅詳細）","","","大阪市大正区","","","","","","","","","","","","",""
"大正駅 (長崎県)","大正駅 (長崎県)（たいしょうえき・島原鉄道線）","https://ja.wikipedia.org/wiki/大正駅_(長崎県)","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯32度51分37.41秒東経130度13分31.75秒","■島原鉄道線","20.8 km（諫早起点）","島原鉄道","1955年（昭和30年）3月9日","地上駅","長崎県雲仙市瑞穂町岡北緯32度51分37.41秒東経130度13分31.75秒﻿ / ﻿北緯32.8603917度 東経130.2254861度﻿ /32.8603917; 130.2254861﻿ (大正駅)","1面1線","* 年間乗車人員を日数で除算","","","*32人/日（降車客含まず）-2017年-","68人/日-2017年-","","","","","","",""
"大聖寺駅","大聖寺駅（だいしょうじえき）","https://ja.wikipedia.org/wiki/大聖寺駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯36度18分2秒東経136度18分51秒","■北陸本線","130.2 km（米原起点）","西日本旅客鉄道（JR西日本）*","1897年（明治30年）9月20日","地上駅","石川県加賀市熊坂町イ136北緯36度18分2秒東経136度18分51秒﻿ / ﻿北緯36.30056度 東経136.31417度﻿ /36.30056; 136.31417座標:北緯36度18分2秒東経136度18分51秒﻿ / ﻿北緯36.30056度 東経136.31417度﻿ /36.30056; 136.31417","2面3線","業務委託駅みどりの窓口有","","タイ","902人/日（降車客含まず）-2019年-","","","","","","","",""
"大神宮下駅","大神宮下駅（だいじんぐうしたえき）","https://ja.wikipedia.org/wiki/大神宮下駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度41分38.4秒東経139度59分29秒","■本線","26.4 km（京成上野起点）","京成電鉄","1921年（大正10年）7月17日","高架駅","千葉県船橋市宮本二丁目9番9号北緯35度41分38.4秒東経139度59分29秒座標:北緯35度41分38.4秒 東経139度59分29秒","2面2線","","KS23","","","5,071人/日-2019年-","","","","","","",""
"大成駅","大成駅（たいせいえき）","https://ja.wikipedia.org/wiki/大成駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯42度54分57.8秒東経143度4分10.9秒","■根室本線","168.6 km（滝川起点）","北海道旅客鉄道（JR北海道）","1986年（昭和61年）11月1日","地上駅","北海道河西郡芽室町東芽室南2線北緯42度54分57.8秒東経143度4分10.9秒﻿ / ﻿北緯42.916056度 東経143.069694度﻿ /42.916056; 143.069694﻿ (大成駅)","1面1線","無人駅","○K28","タセ","","444人/日-2014年-","","","","","","",""
"大山口駅","大山口駅（だいせんぐちえき）","https://ja.wikipedia.org/wiki/大山口駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度29分5.91秒東経133度27分23.85秒","A山陰本線","308.8 km（京都起点）","西日本旅客鉄道（JR西日本）","1926年（大正15年）9月17日","地上駅","鳥取県西伯郡大山町国信544北緯35度29分5.91秒東経133度27分23.85秒﻿ / ﻿北緯35.4849750度 東経133.4566250度﻿ /35.4849750; 133.4566250﻿ (大山口駅)","2面2線","無人駅（自動券売機 有）","","タク","","426人/日-2018年-","","","","","","",""
"大川寺駅","大川寺駅（だいせんじえき）","https://ja.wikipedia.org/wiki/大川寺駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯36度36分29.92秒東経137度18分31.41秒","■上滝線","11.2 km（南富山起点）","富山地方鉄道","1929年（昭和4年）6月10日[1]","高架駅","富山県富山市上滝11北緯36度36分29.92秒東経137度18分31.41秒﻿ / ﻿北緯36.6083111度 東経137.3087250度﻿ /36.6083111; 137.3087250﻿ (大川寺駅)座標:北緯36度36分29.92秒東経137度18分31.41秒﻿ / ﻿北緯36.6083111度 東経137.3087250度﻿ /36.6083111; 137.3087250﻿ (大川寺駅)","単式1面1線","無人駅","T70","","63人/日（降車客含まず）-2019年-","129人/日-2019年-","","","","","","",""
"大善寺駅","大善寺駅（だいぜんじえき）","https://ja.wikipedia.org/wiki/大善寺駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯33度16分16.33秒東経130度28分27.9秒","■天神大牟田線","45.1 km（西鉄福岡（天神）起点）","西日本鉄道","1912年（大正元年）12月30日","地上駅","福岡県久留米市大善寺町宮本北緯33度16分16.33秒東経130度28分27.9秒﻿ / ﻿北緯33.2712028度 東経130.474417度﻿ /33.2712028; 130.474417座標:北緯33度16分16.33秒東経130度28分27.9秒﻿ / ﻿北緯33.2712028度 東経130.474417度﻿ /33.2712028; 130.474417","2面4線","","T  32 ","","","3,357人/日-2019年-","","","","","","",""
"代田橋駅","代田橋駅（だいたばしえき）","https://ja.wikipedia.org/wiki/代田橋駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度40分15.5秒東経139度39分31.6秒","■京王線","4.4 km（新宿起点）","京王電鉄","1913年（大正2年）4月15日","地上駅","東京都世田谷区大原二丁目18番9号北緯35度40分15.5秒東経139度39分31.6秒﻿ / ﻿北緯35.670972度 東経139.658778度﻿ /35.670972; 139.658778座標:北緯35度40分15.5秒東経139度39分31.6秒﻿ / ﻿北緯35.670972度 東経139.658778度﻿ /35.670972; 139.658778","2面2線","","KO05","","","20,131人/日-2019年-","","","","","","",""
"泰澄の里駅","泰澄の里駅（たいちょうのさとえき）","https://ja.wikipedia.org/wiki/泰澄の里駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度59分58秒東経136度11分54秒","福武線","12.2 km（越前武生駅起点）","福井鉄道","2011年（平成23年）3月20日[1][2][3]","地上駅","福井県福井市浅水町139北緯35度59分58秒東経136度11分54秒﻿ / ﻿北緯35.99944度 東経136.19833度﻿ /35.99944; 136.19833座標:北緯35度59分58秒東経136度11分54秒﻿ / ﻿北緯35.99944度 東経136.19833度﻿ /35.99944; 136.19833","1面1線","無人駅[2]","○F11","","","54人/日-2019年-","","","","","","",""
"大展望台駅","大展望台駅（だいてんぼうだいえき）","https://ja.wikipedia.org/wiki/大展望台駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","","","","","","","","","","","","","","","","株式会社","日本〒198-0174東京都青梅市御岳2丁目483番地","1927年11月20日","陸運業","9013101004059"
"太東駅","太東駅（たいとうえき）","https://ja.wikipedia.org/wiki/太東駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度19分11.7秒東経140度22分51.8秒","■外房線","49.3 km（千葉起点）","東日本旅客鉄道（JR東日本）","1899年（明治32年）12月13日[1]","地上駅","千葉県いすみ市岬町椎木304-3北緯35度19分11.7秒東経140度22分51.8秒座標:北緯35度19分11.7秒 東経140度22分51.8秒","2面3線","業務委託駅","","タト","436人/日（降車客含まず）-2019年-","","","","","","","",""
"大塔駅","大塔駅（だいとうえき）","https://ja.wikipedia.org/wiki/大塔駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯33度8分56.48秒東経129度46分55.9秒","■佐世保線（■大村線直通含む）","42.6 km（肥前山口起点）","九州旅客鉄道（JR九州）","1945年（昭和20年）5月15日","地上駅","長崎県佐世保市大塔町16-2北緯33度8分56.48秒東経129度46分55.9秒﻿ / ﻿北緯33.1490222度 東経129.782194度﻿ /33.1490222; 129.782194﻿ (大塔駅)","2面2線","無人駅（自動券売機 有）","","タト","504人/日（降車客含まず）-2019年-","","","","","","","",""
"大道駅","大道駅（だいどうえき）","https://ja.wikipedia.org/wiki/大道駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯34度3分11.72秒東経131度29分18.48秒","■山陽本線","449.2 km（神戸起点）","西日本旅客鉄道（JR西日本）","1900年（明治33年）12月3日","地上駅（橋上駅）","山口県防府市大字台道3607北緯34度3分11.72秒東経131度29分18.48秒﻿ / ﻿北緯34.0532556度 東経131.4884667度﻿ /34.0532556; 131.4884667座標:北緯34度3分11.72秒東経131度29分18.48秒﻿ / ﻿北緯34.0532556度 東経131.4884667度﻿ /34.0532556; 131.4884667","2面3線","簡易委託駅","","タイ","1,475人/日（降車客含まず）-2019年-","","","","","","","",""
"大同町駅","大同町駅（だいどうちょうえき）","https://ja.wikipedia.org/wiki/大同町駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度4分48秒東経136度54分34秒","常滑線","5.3 km（神宮前起点）","名古屋鉄道","1940年（昭和15年）5月31日[注釈 1]","高架駅","名古屋市南区大同町三丁目1-1北緯35度4分48秒東経136度54分34秒﻿ / ﻿北緯35.08000度 東経136.90944度﻿ /35.08000; 136.90944座標:北緯35度4分48秒東経136度54分34秒﻿ / ﻿北緯35.08000度 東経136.90944度﻿ /35.08000; 136.90944","相対式 2面2線","*1945年大同前駅から改称。特殊勤務駅（駅集中管理システム導入駅）","TA  04 ","","","13,614人/日-2019年[1]-","","","","","","",""
