"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","開業年月日","駅構造","ホーム","所在地","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","標高","標高差","最長滑走距離","最大傾斜","コース数"
"水道橋駅","水道橋駅（すいどうばしえき）","https://ja.wikipedia.org/wiki/水道橋駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","","","","東日本旅客鉄道（JR東日本・駅詳細）東京都交通局（駅詳細）","","","","東京都千代田区・文京区","","","","","","","","","","","",""
"水原駅","水原駅（すいばらえき）","https://ja.wikipedia.org/wiki/水原駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯37度50分11.68秒東経139度13分2.30秒","■羽越本線","10.2 km（新津起点）","東日本旅客鉄道（JR東日本）","1912年（大正元年）9月2日","地上駅","2面2線","新潟県阿賀野市下条町1-1北緯37度50分11.68秒東経139度13分2.30秒座標:北緯37度50分11.68秒 東経139度13分2.30秒","業務委託駅みどりの窓口有","","スイ","739人/日（降車客含まず）-2019年-","","","","","","","",""
"陶駅","陶駅（すええき・高松琴平電気鉄道琴平線）","https://ja.wikipedia.org/wiki/陶駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度15分1.4秒東経133度56分51.4秒","■琴平線","18.3 km（高松築港起点）","高松琴平電気鉄道","1926年（大正15年）12月21日","地上駅","相対式2面2線","香川県綾歌郡綾川町陶5693北緯34度15分1.4秒東経133度56分51.4秒﻿ / ﻿北緯34.250389度 東経133.947611度﻿ /34.250389; 133.947611座標:北緯34度15分1.4秒東経133度56分51.4秒﻿ / ﻿北緯34.250389度 東経133.947611度﻿ /34.250389; 133.947611","無人駅"," K13 ","","","616人/日-2018年-","","","","","","",""
"須恵駅","須恵駅（すええき・九州旅客鉄道香椎線）","https://ja.wikipedia.org/wiki/須恵駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯33度35分47.82秒東経130度29分53.57秒","JD香椎線","21.9 km（西戸崎起点）","九州旅客鉄道（JR九州）","1904年（明治37年）1月1日[1]","地上駅","1面1線[要出典]","福岡県糟屋郡須恵町大字植木587-8北緯33度35分47.82秒東経130度29分53.57秒﻿ / ﻿北緯33.5966167度 東経130.4982139度﻿ /33.5966167; 130.4982139座標:北緯33度35分47.82秒東経130度29分53.57秒﻿ / ﻿北緯33.5966167度 東経130.4982139度﻿ /33.5966167; 130.4982139","無人駅駅集中管理システム（Smart Support Station）採用","JD  13 ","スエ←スヱ","695人/日（降車客含まず）-2019年-","","","","","","","",""
"すえたちばな駅","すえたちばな駅","https://ja.wikipedia.org/wiki/すえたちばな駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯33度18分58.42秒東経129度36分49.44秒","■西九州線","58.2 km（有田起点）","松浦鉄道","1999年（平成11年）3月13日","地上駅","1面1線","長崎県佐世保市江迎町末橘北緯33度18分58.42秒東経129度36分49.44秒","","","","","5人/日-2018年-","","","","","","",""
"須恵中央駅","須恵中央駅（すえちゅうおうえき）","https://ja.wikipedia.org/wiki/須恵中央駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯33度35分13.16秒東経130度30分18.36秒","JD香椎線","23.1 km（西戸崎起点）","九州旅客鉄道（JR九州）","1989年（平成元年）3月11日[1]","地上駅","1面1線","福岡県糟屋郡須恵町大字須恵806北緯33度35分13.16秒東経130度30分18.36秒﻿ / ﻿北緯33.5869889度 東経130.5051000度﻿ /33.5869889; 130.5051000座標:北緯33度35分13.16秒東経130度30分18.36秒﻿ / ﻿北緯33.5869889度 東経130.5051000度﻿ /33.5869889; 130.5051000","無人駅駅集中管理システム（Smart Support Station）採用","JD  14 ","スチ","1,394人/日（降車客含まず）-2019年-","","","","","","","",""
"末続駅","末続駅（すえつぎえき）","https://ja.wikipedia.org/wiki/末続駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯37度10分20.94秒東経140度59分43.41秒","■常磐線","227.6 km（日暮里起点）","東日本旅客鉄道（JR東日本）","1947年（昭和22年）6月1日[1][2]","地上駅","2面2線[1]","福島県いわき市久之浜町末続字代[1]北緯37度10分20.94秒東経140度59分43.41秒座標:北緯37度10分20.94秒 東経140度59分43.41秒","無人駅[1]（乗車駅証明発行機 有）","","スツ","63人/日（降車客含まず）-2004年-","","","","","","","",""
"末恒駅","末恒駅（すえつねえき）","https://ja.wikipedia.org/wiki/末恒駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯35度31分26.81秒東経134度8分9.24秒","A山陰本線","239.6 km（京都起点）","西日本旅客鉄道（JR西日本）","1928年（昭和3年）9月11日[1]","地上駅","2面2線","鳥取県鳥取市伏野304北緯35度31分26.81秒東経134度8分9.24秒﻿ / ﻿北緯35.5241139度 東経134.1359000度﻿ /35.5241139; 134.1359000﻿ (末恒駅)","無人駅（自動券売機 有）","","スネ","486人/日（降車客含まず）-2019年-","","","","","","","",""
"末野原駅","末野原駅（すえのはらえき）","https://ja.wikipedia.org/wiki/末野原駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯35度2分23秒東経137度8分49.6秒","■愛知環状鉄道線","14.0 km（岡崎起点）","愛知環状鉄道*","1988年（昭和63年）1月31日","地上駅（掘割構造）","2面2線","愛知県豊田市豊栄町12-2-3北緯35度2分23秒東経137度8分49.6秒﻿ / ﻿北緯35.03972度 東経137.147111度﻿ /35.03972; 137.147111座標:北緯35度2分23秒東経137度8分49.6秒﻿ / ﻿北緯35.03972度 東経137.147111度﻿ /35.03972; 137.147111","駅員時間配置駅","○09","スエ","","2,567人/日-2019年-","","","","","","",""
"末広駅","末広駅（すえひろえき）","https://ja.wikipedia.org/wiki/末広駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯40度13分47.63秒東経140度44分14.12秒","■花輪線","82.2 km（好摩起点）","東日本旅客鉄道（JR東日本）","1915年（大正4年）12月25日","地上駅","1面1線","秋田県鹿角市十和田末広字向平北緯40度13分47.63秒東経140度44分14.12秒座標:北緯40度13分47.63秒 東経140度44分14.12秒","無人駅*1920年に毛馬内駅から改称。","","スエ","","","","","","","","",""
"末広町駅 (東京都)","末広町駅 (東京都)（すえひろちょうえき・東京地下鉄銀座線）","https://ja.wikipedia.org/wiki/末広町駅_(東京都)","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯35度42分10.6秒東経139度46分18秒","●[1]銀座線","3.3 km（浅草起点）","東京地下鉄（東京メトロ）","1930年（昭和5年）1月1日","地下駅","2面2線","東京都千代田区外神田四丁目7-3北緯35度42分10.6秒東経139度46分18秒﻿ / ﻿北緯35.702944度 東経139.77167度﻿ /35.702944; 139.77167座標:北緯35度42分10.6秒東経139度46分18秒﻿ / ﻿北緯35.702944度 東経139.77167度﻿ /35.702944; 139.77167","業務委託駅（メトロコマース）","G14[1]","スエ","","26,689人/日-2019年-","","","","","","",""
"末広町停留場 (北海道)","末広町停留場 (北海道)（すえひろちょうていりゅうじょう・函館市企業局交通部本線）","https://ja.wikipedia.org/wiki/末広町停留場_(北海道)","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯41度45分59.53秒東経140度42分44.75秒","函館市電本線","1.9km（函館駅前起点）湯の川より8.4 km","函館市企業局交通部","1913年10月30日","地上駅（停留場）","2面2線","北海道函館市末広町20-17先、21-2先北緯41度45分59.53秒東経140度42分44.75秒﻿ / ﻿北緯41.7665361度 東経140.7124306度﻿ /41.7665361; 140.7124306﻿ (末広町停留場)座標:北緯41度45分59.53秒東経140度42分44.75秒﻿ / ﻿北緯41.7665361度 東経140.7124306度﻿ /41.7665361; 140.7124306﻿ (末広町停留場)","","D21","","","542[1]人/日-2019年-","","","","","","",""
"末広町駅 (神奈川県)","末広町駅 (神奈川県)（すえひろちょうえき・神奈川臨海鉄道浮島線）","https://ja.wikipedia.org/wiki/末広町駅_(神奈川県)","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯35度31分51.0秒東経139度46分11.1秒","浮島線","2.9 km（川崎貨物起点）","神奈川臨海鉄道","1964年（昭和39年）3月25日","地上駅","","川崎市川崎区浮島町北緯35度31分51.0秒東経139度46分11.1秒﻿ / ﻿北緯35.530833度 東経139.769750度﻿ /35.530833; 139.769750座標:北緯35度31分51.0秒東経139度46分11.1秒﻿ / ﻿北緯35.530833度 東経139.769750度﻿ /35.530833; 139.769750","貨物専用駅","","","","","","","","","","",""
"末広町停留場 (富山県)","末広町停留場 (富山県)（すえひろちょうていりゅうじょう・万葉線高岡軌道線）","https://ja.wikipedia.org/wiki/末広町停留場_(富山県)","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯36度44分40.76秒東経137度0分48.06秒","高岡軌道線","0.5 km（高岡駅起点）","万葉線","2008年（平成20年）3月15日","地上駅","2面1線","富山県高岡市末広町北緯36度44分40.76秒東経137度0分48.06秒﻿ / ﻿北緯36.7446556度 東経137.0133500度﻿ /36.7446556; 137.0133500座標:北緯36度44分40.76秒東経137度0分48.06秒﻿ / ﻿北緯36.7446556度 東経137.0133500度﻿ /36.7446556; 137.0133500","","","","","","","","","","","",""
"周防久保駅","周防久保駅（すおうくぼえき）","https://ja.wikipedia.org/wiki/周防久保駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度1分45.02秒東経131度55分8.77秒","■岩徳線","34.7 km（岩国起点）","西日本旅客鉄道（JR西日本）","1934年（昭和9年）3月28日","地上駅","2面2線","山口県下松市大字河内795北緯34度1分45.02秒東経131度55分8.77秒﻿ / ﻿北緯34.0291722度 東経131.9191028度﻿ /34.0291722; 131.9191028座標:北緯34度1分45.02秒東経131度55分8.77秒﻿ / ﻿北緯34.0291722度 東経131.9191028度﻿ /34.0291722; 131.9191028","無人駅（自動券売機 有）","","クホ","72人/日（降車客含まず）-2019年-","","","","","","","",""
"周防佐山駅","周防佐山駅（すおうさやまえき）","https://ja.wikipedia.org/wiki/周防佐山駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度2分5.66秒東経131度21分49.21秒","■宇部線","7.5 km（新山口起点）","西日本旅客鉄道（JR西日本）","1925年（大正14年）3月26日","地上駅","1面1線","山口県山口市佐山字河内神五1094北緯34度2分5.66秒東経131度21分49.21秒﻿ / ﻿北緯34.0349056度 東経131.3636694度﻿ /34.0349056; 131.3636694座標:北緯34度2分5.66秒東経131度21分49.21秒﻿ / ﻿北緯34.0349056度 東経131.3636694度﻿ /34.0349056; 131.3636694","無人駅","","サヤ","54人/日（降車客含まず）-2019年-","","","","","","","",""
"周防下郷駅","周防下郷駅（すおうしもごうえき）","https://ja.wikipedia.org/wiki/周防下郷駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度6分4.33秒東経131度24分6.28秒","■山口線","1.0 km（新山口起点）","西日本旅客鉄道（JR西日本）","1935年（昭和10年）12月20日","地上駅","1面1線","山口県山口市小郡下郷北緯34度6分4.33秒東経131度24分6.28秒﻿ / ﻿北緯34.1012028度 東経131.4017444度﻿ /34.1012028; 131.4017444座標:北緯34度6分4.33秒東経131度24分6.28秒﻿ / ﻿北緯34.1012028度 東経131.4017444度﻿ /34.1012028; 131.4017444","無人駅（自動券売機 有）","","シコ","241人/日（降車客含まず）-2019年-","","","","","","","",""
"周防高森駅","周防高森駅（すおうたかもりえき）","https://ja.wikipedia.org/wiki/周防高森駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度5分26.67秒東経132度2分47.52秒","■岩徳線","20.6 km（岩国起点）","西日本旅客鉄道（JR西日本）","1934年（昭和9年）12月1日","地上駅","2面2線","山口県岩国市周東町大字下久原1550-2北緯34度5分26.67秒東経132度2分47.52秒﻿ / ﻿北緯34.0907417度 東経132.0465333度﻿ /34.0907417; 132.0465333座標:北緯34度5分26.67秒東経132度2分47.52秒﻿ / ﻿北緯34.0907417度 東経132.0465333度﻿ /34.0907417; 132.0465333","簡易委託駅POS端末設置","","タネ","410人/日（降車客含まず）-2019年-","","","","","","","",""
"周防花岡駅","周防花岡駅（すおうはなおかえき）","https://ja.wikipedia.org/wiki/周防花岡駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度2分9.66秒東経131度52分2.91秒","■岩徳線","39.8 km（岩国起点）","西日本旅客鉄道（JR西日本）","1932年（昭和7年）5月29日","地上駅","1面1線","山口県下松市大字末武上1900北緯34度2分9.66秒東経131度52分2.91秒﻿ / ﻿北緯34.0360167度 東経131.8674750度﻿ /34.0360167; 131.8674750座標:北緯34度2分9.66秒東経131度52分2.91秒﻿ / ﻿北緯34.0360167度 東経131.8674750度﻿ /34.0360167; 131.8674750","無人駅（自動券売機 有）","","ハナ","305人/日（降車客含まず）-2019年-","","","","","","","",""
"須賀駅","須賀駅（すかえき）","https://ja.wikipedia.org/wiki/須賀駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯35度20分23.3秒東経136度43分35.6秒","竹鼻線","6.1 km（笠松起点）","名古屋鉄道","1921年（大正10年）6月25日","地上駅","1面1線","岐阜県羽島市正木町須賀小松219北緯35度20分23.3秒東経136度43分35.6秒﻿ / ﻿北緯35.339806度 東経136.726556度﻿ /35.339806; 136.726556座標:北緯35度20分23.3秒東経136度43分35.6秒﻿ / ﻿北緯35.339806度 東経136.726556度﻿ /35.339806; 136.726556","無人駅（駅集中管理システム導入駅）","TH  04 ","","","1,041人/日-2019年-","","","","","","",""
"獅子吼高原","スカイ獅子吼駅（スカイししくえき）","https://ja.wikipedia.org/wiki/獅子吼高原#スカイ獅子吼","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","","","","","","","","石川県白山市八幡町","","","","","","","","600 m - 535 m","65 m","350 m","13度","2本"
"菅尾駅","菅尾駅（すがおえき）","https://ja.wikipedia.org/wiki/菅尾駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯33度0分51.63秒東経131度37分0.01秒","■豊肥本線","30.7 km（大分起点）","九州旅客鉄道（JR九州）","1921年（大正10年）3月27日[2]","地上駅","2面2線[1]","大分県豊後大野市三重町浅瀬[1]北緯33度0分51.63秒東経131度37分0.01秒","無人駅[2]（自動券売機有）","","スオ←スヲ","190人/日（降車客含まず）-2015年-","378人/日-2015年-","","","","","","",""
"須賀川駅","須賀川駅（すかがわえき）","https://ja.wikipedia.org/wiki/須賀川駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯37度18分1.24秒東経140度22分19.17秒","■東北本線","215.1 km（東京起点）","東日本旅客鉄道（JR東日本）","1887年（明治20年）7月16日","地上駅","2面2線","福島県須賀川市中山63-1北緯37度18分1.24秒東経140度22分19.17秒座標:北緯37度18分1.24秒 東経140度22分19.17秒","業務委託駅みどりの窓口有","","カハ","2,252人/日（降車客含まず）-2019年-","","","","","","","",""
"須ヶ口駅","須ヶ口駅（すかぐちえき）","https://ja.wikipedia.org/wiki/須ヶ口駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯35度11分55.2秒東経136度50分46.3秒","名古屋本線","73.5 km（豊橋起点）","名古屋鉄道","1914年（大正3年）1月23日","地上駅（橋上駅）","島式 2面4線","愛知県清須市須ケ口駅前一丁目1北緯35度11分55.2秒東経136度50分46.3秒﻿ / ﻿北緯35.198667度 東経136.846194度﻿ /35.198667; 136.846194座標:北緯35度11分55.2秒東経136度50分46.3秒﻿ / ﻿北緯35.198667度 東経136.846194度﻿ /35.198667; 136.846194","","NH  42 ","","","7,544人/日-2019年[1]-","","","","","","",""
"旭岳ロープウェイ","姿見駅（すがたみえき）","https://ja.wikipedia.org/wiki/旭岳ロープウェイ","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"菅野駅","菅野駅（すがのえき）","https://ja.wikipedia.org/wiki/菅野駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯35度43分41.56秒東経139度55分10.39秒","■本線","18.2 km（京成上野起点）","京成電鉄","1916年（大正5年）3月7日","地上駅（橋上駅）","1面2線","千葉県市川市菅野二丁目7番1号北緯35度43分41.56秒東経139度55分10.39秒座標:北緯35度43分41.56秒 東経139度55分10.39秒","","KS15","","","4,195人/日-2019年-","","","","","","",""
"巣鴨駅","巣鴨駅（すがもえき）","https://ja.wikipedia.org/wiki/巣鴨駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","","","","東日本旅客鉄道（JR東日本・駅詳細）東京都交通局（駅詳細）","","","","東京都豊島区巣鴨","","","","","","","","","","","",""
"巣鴨新田停留場","巣鴨新田停留場（すがもしんでんていりゅうじょう）","https://ja.wikipedia.org/wiki/巣鴨新田停留場","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯35度44分7.6秒東経139度43分40秒","都電荒川線（東京さくらトラム）","8.4 km（三ノ輪橋起点）","東京都交通局","1911年（明治44年）8月20日","地上駅","2面2線","東京都豊島区西巣鴨一丁目北緯35度44分7.6秒東経139度43分40秒﻿ / ﻿北緯35.735444度 東経139.72778度﻿ /35.735444; 139.72778座標:北緯35度44分7.6秒東経139度43分40秒﻿ / ﻿北緯35.735444度 東経139.72778度﻿ /35.735444; 139.72778","","SA22","","","1,180[1]人/日-2019年-","","","","","","",""
"菅谷駅","菅谷駅（すがやえき）","https://ja.wikipedia.org/wiki/菅谷駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯37度21分3.7秒東経140度38分39.0秒","■磐越東線","49.9 km（いわき起点）","東日本旅客鉄道（JR東日本）","1948年（昭和23年）10月10日[1]","地上駅","1面1線[1]","福島県田村市滝根町菅谷字堂田441[1]北緯37度21分3.7秒東経140度38分39.0秒座標:北緯37度21分3.7秒 東経140度38分39.0秒","簡易委託駅海抜463.2m[1]","","スヤ","66人/日（降車客含まず）-2019年-","","","","","","","",""
