"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","所有者","位置","運用者","グラウンド","開場","大型映像装置","照明","ピッチサイズ","設計者","建設者","修繕","建設費","起工","拡張","運営者","分類","公式サイト","設備・遊具"
"八戸市多賀多目的運動場","[プライフーズスタジアム（八戸市多賀多目的運動場）/ プラスタ -ヴァンラーレ八戸] 八戸市多賀多目的運動場 （はちのへしたがたもくてきうんどうじょう）は、 青森県 八戸市 市川町 多賀地区の 球技場 を主体とした多目的施設である  。","https://ja.wikipedia.org/wiki/八戸市多賀多目的運動場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯40度35分25.7秒東経141度27分22.0秒","日本青森県八戸市大字市川町字市川後55番地1","","","","","","","","","","","","","","","八戸市","","taga-playground.com","天然芝球技場人工芝球技場多目的広場"
"茨城県立カシマサッカースタジアム","[茨城県立カシマサッカースタジアム/ カシマ -鹿島アントラーズ] 茨城県立カシマサッカースタジアム （いばらきけんりつカシマサッカースタジアム）は、 茨城県 鹿嶋市 にある サッカー 専用スタジアム。 日本プロサッカーリーグ （Jリーグ）に加盟する 鹿島アントラーズ がホームスタジアムとして使用しており、その運営会社である株式会社鹿島アントラーズ・エフ・シーが 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/茨城県立カシマサッカースタジアム","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯35度59分30.25秒東経140度38分25.92秒","茨城県鹿嶋市神向寺26-2","茨城県","北緯35度59分30.25秒東経140度38分25.92秒﻿ / ﻿北緯35.9917361度 東経140.6405333度﻿ /35.9917361; 140.6405333座標:北緯35度59分30.25秒東経140度38分25.92秒﻿ / ﻿北緯35.9917361度 東経140.6405333度﻿ /35.9917361; 140.6405333","株式会社鹿島アントラーズ・エフ・シー","天然芝","","オーロラビジョンおよび帯状映像装置（リボンビジョン）","1500ルクス","105 x 68m","茨城県土木部、日建設計","竹中工務店・住友・常総・JV、勝村・岡部・JV","","193億（改修費）","","","","","",""
"埼玉スタジアム2002","[埼玉スタジアム2002/ 埼玉 -浦和レッズ] 埼玉スタジアム2002 （さいたまスタジアム にまるまるに  ）は、 埼玉県 さいたま市 緑区 の 埼玉スタジアム2002公園 内にある サッカー 専用の競技スタジアム。","https://ja.wikipedia.org/wiki/埼玉スタジアム2002","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯35度54分11.19秒東経139度43分3.37秒","埼玉県さいたま市緑区美園二丁目1番地","埼玉県","北緯35度54分11.19秒東経139度43分3.37秒﻿ / ﻿北緯35.9031083度 東経139.7176028度﻿ /35.9031083; 139.7176028座標:北緯35度54分11.19秒東経139度43分3.37秒﻿ / ﻿北緯35.9031083度 東経139.7176028度﻿ /35.9031083; 139.7176028","公益財団法人埼玉県公園緑地協会","天然芝","2001年10月6日","オーロラビジョン2基","平均2,000ルクス(ハイビジョン放送対応)","105 m x 68 m","埼玉県県土整備部スタジアム施設課（設計・監理）、梓設計（管理）","鹿島建設（施工建築）","","約356億円（設計価格 約404億円）（用地費等含む公園整備総額766億円）","1998年5月9日","","","","",""
"さいたま市大宮公園サッカー場","[NACK5スタジアム大宮（さいたま市大宮公園サッカー場）/ NACK -大宮アルディージャ] さいたま市大宮公園サッカー場 （さいたまし おおみやこうえん サッカーじょう）は、 埼玉県 さいたま市 大宮区 の 大宮公園 内にある サッカー 専用の 球技場 。同市所有。同市外郭団体 財団法人 さいたま市公園緑地協会が運営管理を行っている。","https://ja.wikipedia.org/wiki/さいたま市大宮公園サッカー場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯35度54分58.07秒東経139度38分0.16秒","さいたま市大宮区高鼻町4","さいたま市","北緯35度54分58.07秒東経139度38分0.16秒﻿ / ﻿北緯35.9161306度 東経139.6333778度﻿ /35.9161306; 139.6333778座標:北緯35度54分58.07秒東経139度38分0.16秒﻿ / ﻿北緯35.9161306度 東経139.6333778度﻿ /35.9161306; 139.6333778","（財）さいたま市公園緑地協会","天然芝","1960年4月","オーロラビジョン","鉄塔式4基","105 x 68m","NTTファシリティーズ（改修）","戸田・株木・ユーディーケー特定JV（改修）","","40億円（改修）","","1964年、2007年","","","",""
"日立柏サッカー場","[三協フロンテア柏スタジアム（日立柏総合グラウンドサッカー場）/ 三協F柏 -柏レイソル] 日立柏サッカー場 （ひたちかしわサッカーじょう）は、 千葉県 柏市 日立台 の日立柏総合グラウンド内にある サッカー 専用の競技場である。正式名称は「 日立柏総合グラウンドサッカー場 」（ひたちかしわそうごうグラウンドサッカーじょう）  。所在地の「 日立台 」（ひたちだい）の愛称で呼ばれている。","https://ja.wikipedia.org/wiki/日立柏サッカー場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯35度50分54.54秒東経139度58分30.62秒","千葉県柏市日立台1-2-50","株式会社日立柏レイソル","北緯35度50分54.54秒東経139度58分30.62秒﻿ / ﻿北緯35.8484833度 東経139.9751722度﻿ /35.8484833; 139.9751722","","天然芝","1985年","オーロラビジョン","4基（鉄塔式）","105m x 68m","","","","","","","","","",""
"静岡市清水日本平運動公園球技場","[IAIスタジアム日本平（静岡市清水日本平運動公園球技場）/ アイスタ -清水エスパルス] 静岡市清水日本平運動公園球技場 （しずおかし・しみず・にほんだいらうんどうこうえん・きゅうぎじょう）は、 静岡県 静岡市 清水区 の 静岡市清水日本平運動公園 にある球技専用のスタジアム。施設は静岡市が所有し、 公益財団法人 静岡市まちづくり公社が 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/静岡市清水日本平運動公園球技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯34度59分4.93秒東経138度28分52.99秒","静岡市清水区村松字大谷3880-1","静岡市","北緯34度59分4.93秒東経138度28分52.99秒﻿ / ﻿北緯34.9847028度 東経138.4813861度﻿ /34.9847028; 138.4813861座標:北緯34度59分4.93秒東経138度28分52.99秒﻿ / ﻿北緯34.9847028度 東経138.4813861度﻿ /34.9847028; 138.4813861","（公財）静岡市まちづくり公社","天然芝（135 × 73 m）","1991年","アストロビジョン","","105 × 68 m","","","","","","","","","",""
"藤枝市総合運動公園サッカー場","[藤枝市総合運動公園サッカー場/ 藤枝サ -藤枝MYFC] 藤枝総合運動公園サッカー場 （ふじえだそうごううんどうこうえんサッカーじょう）は 静岡県 藤枝市 の 藤枝総合運動公園 内にある サッカー 専用の スタジアム である。施設は藤枝市が所有し、藤枝市サッカー協会グループが 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/藤枝市総合運動公園サッカー場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯34度52分53.29秒東経138度13分57.95秒","静岡県藤枝市原100","藤枝市","北緯34度52分53.29秒東経138度13分57.95秒﻿ / ﻿北緯34.8814694度 東経138.2327639度﻿ /34.8814694; 138.2327639座標:北緯34度52分53.29秒東経138度13分57.95秒﻿ / ﻿北緯34.8814694度 東経138.2327639度﻿ /34.8814694; 138.2327639","藤枝市サッカー協会グループ","天然芝","2002年5月","なし","3基","105 m × 68 m","","","","","","","","","",""
"市立吹田サッカースタジアム","[Panasonic Stadium Suita（市立吹田サッカースタジアム）/ パナスタ -ガンバ大阪] 日本プロサッカーリーグ （Jリーグ）に加盟する ガンバ大阪 （G大阪）がホームスタジアムとして使用する  ことを前提に、G大阪が主体となった任意団体（ スタジアム建設募金団体 ）が建設した。完成後に吹田市が寄付を受けて施設を所有し、G大阪の運営会社である株式会社ガンバ大阪が 指定管理者 として運営管理を行っている。指定管理の契約期間は2063年3月までの約48年間で、スポーツ施設としては異例の長期契約となっている  。","https://ja.wikipedia.org/wiki/市立吹田サッカースタジアム","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯34度48分9.76秒東経135度32分17.16秒","大阪府吹田市千里万博公園3-3","吹田市","北緯34度48分9.76秒東経135度32分17.16秒﻿ / ﻿北緯34.8027111度 東経135.5381000度﻿ /34.8027111; 135.5381000座標:北緯34度48分9.76秒東経135度32分17.16秒﻿ / ﻿北緯34.8027111度 東経135.5381000度﻿ /34.8027111; 135.5381000","株式会社ガンバ大阪","天然芝","2015年10月26日（スタンド部分のみ）2016年2月14日（全面開場）","2面","LED投光器","","竹中工務店安井建築設計事務所（CM）","竹中工務店","","140億8566万5383円","2013年12月13日","","","","",""
"鳥取市営サッカー場","[Axisバードスタジアム（鳥取市営サッカー場）/ Axis -ガイナーレ鳥取] 鳥取市営サッカー場 （とっとりしえいサッカーじょう）は、 鳥取県 鳥取市 にある サッカー 専用の 球技場 である。施設は鳥取市が所有し、一般財団法人鳥取県サッカー協会が 指定管理者 として運営管理を行っている。愛称は バードスタジアム  。","https://ja.wikipedia.org/wiki/鳥取市営サッカー場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯35度27分29.57秒東経134度13分18.04秒","鳥取県鳥取市蔵田423","鳥取市","北緯35度27分29.57秒東経134度13分18.04秒﻿ / ﻿北緯35.4582139度 東経134.2216778度﻿ /35.4582139; 134.2216778座標:北緯35度27分29.57秒東経134度13分18.04秒﻿ / ﻿北緯35.4582139度 東経134.2216778度﻿ /35.4582139; 134.2216778","一般財団法人鳥取県サッカー協会","天然芝","1995年","ソニー製LEDビジョン(500inch, 15.88mmピッチ)","4基 (最大1,500Lx)","120 m × 80 m","","","","","","","","","",""
"ありがとうサービス. 夢スタジアム","[ありがとうサービス. 夢スタジアム/ 夢スタ -FC今治] ありがとうサービス. 夢スタジアム （ありがとうサービス.ゆめスタジアム）は、 愛媛県 今治市 高橋ふれあいの丘（ 今治新都市第一地区 ）の スポーツパーク（高橋ふれあいの丘） 内にある サッカー 専用スタジアム。2017年1月に、正式名称が定められるまでの仮称は、 今治スタジアム （いまばりスタジアム）であった。","https://ja.wikipedia.org/wiki/ありがとうサービス._夢スタジアム","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯34度02分27.8秒東経132度57分21.9秒","愛媛県今治市高橋ふれあいの丘16","今治市（土地、無償貸与）株式会社今治．夢スポーツ（施設）","北緯34度02分27.8秒東経132度57分21.9秒﻿ / ﻿北緯34.041056度 東経132.956083度﻿ /34.041056; 132.956083座標:北緯34度02分27.8秒東経132度57分21.9秒﻿ / ﻿北緯34.041056度 東経132.956083度﻿ /34.041056; 132.956083","株式会社今治．夢スポーツ","天然芝","2017年8月","","あり","105m×68m","米北測量設計事務所","四国通建","","約3億円","2016年5月24日","","","","",""
"ユニリーバスタジアム新富","[ユニリーバスタジアム新富/ ユニスタ -テゲバジャーロ宮崎] ユニリーバスタジアム新富 （ユニリーバスタジアムしんとみ）は、 宮崎県 児湯郡 新富町 のサッカースタジアム。","https://ja.wikipedia.org/wiki/ユニリーバスタジアム新富","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯32度04分23.26秒東経131度29分30.62秒","宮崎県児湯郡新富町三納代1586番地","新富町","北緯32度04分23.26秒東経131度29分30.62秒﻿ / ﻿北緯32.0731278度 東経131.4918389度﻿ /32.0731278; 131.4918389座標:北緯32度04分23.26秒東経131度29分30.62秒﻿ / ﻿北緯32.0731278度 東経131.4918389度﻿ /32.0731278; 131.4918389","株式会社エモテント","","2021年2月15日","","","105 × 68 m","COGITE多田脩二構造設計事務所","大淀開発（建築）明光社（設備）","","","2020年1月25日","","","","",""
"盛岡南公園球技場","[いわぎんスタジアム（盛岡南公園球技場）/ いわスタ -グルージャ盛岡] 盛岡南公園球技場 （もりおかみなみこうえんきゅうぎじょう）は、 岩手県 盛岡市 の盛岡南公園内にある サッカー や ラグビー に使用される球技専用 スタジアム である  。施設は盛岡市が所有し、 公益財団法人 盛岡市スポーツ協会が 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/盛岡南公園球技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯39度38分52.55秒東経141度8分15.03秒","岩手県盛岡市永井8-65　","盛岡市","北緯39度38分52.55秒東経141度8分15.03秒﻿ / ﻿北緯39.6479306度 東経141.1375083度﻿ /39.6479306; 141.1375083座標:北緯39度38分52.55秒東経141度8分15.03秒﻿ / ﻿北緯39.6479306度 東経141.1375083度﻿ /39.6479306; 141.1375083","公益財団法人盛岡市スポーツ協会","天然芝","1998年","無し","無し","145m×88m×2面","","","","","","","","","",""
"仙台スタジアム","[ユアテックスタジアム仙台（仙台スタジアム）/ ユアスタ -ベガルタ仙台] 仙台スタジアム （せんだいスタジアム）は、 宮城県 仙台市 泉区 の 七北田公園 にある サッカー 、 ラグビー 、 アメリカンフットボール の 球技場 である。施設は仙台市が所有し、仙台市公園緑地協会・日本体育施設グループが 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/仙台スタジアム","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯38度19分9秒東経140度52分54.5秒","宮城県仙台市泉区七北田字柳78","仙台市","北緯38度19分9秒東経140度52分54.5秒﻿ / ﻿北緯38.31917度 東経140.881806度﻿ /38.31917; 140.881806座標:北緯38度19分9秒東経140度52分54.5秒﻿ / ﻿北緯38.31917度 東経140.881806度﻿ /38.31917; 140.881806","仙台市公園緑地協会・日本体育施設グループ","天然芝（139m×79m）","1997年（平成9年）6月1日","2基","1,500Lx/ 750Lx / 300Lx","105m×68m","北海道開発コンサルタント","鹿島建設・大末建設・奥田建設JV","","約130億円","","","","","",""
"秋田市八橋運動公園球技場","[あきぎんスタジアム（秋田市八橋運動公園球技場）/ A-スタ -ブラウブリッツ秋田] 秋田市八橋運動公園球技場 （あきたしやばせうんどうこうえんきゅうぎじょう、Akita Yabase Playing Field）は、 秋田県 秋田市 の 八橋運動公園 内にあるサッカーやラグビーに使用される球技専用スタジアム。施設は秋田市が所有し、秋田市教育委員会スポーツ振興課が運営管理を行っている。","https://ja.wikipedia.org/wiki/秋田市八橋運動公園球技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯39度43分17.58秒東経140度5分57.4秒","秋田県秋田市八橋運動公園1-1","秋田市","北緯39度43分17.58秒東経140度5分57.4秒﻿ / ﻿北緯39.7215500度 東経140.099278度﻿ /39.7215500; 140.099278座標:北緯39度43分17.58秒東経140度5分57.4秒﻿ / ﻿北緯39.7215500度 東経140.099278度﻿ /39.7215500; 140.099278","秋田市教育委員会スポーツ振興課","天然芝","1953年8月","","8基","130m×80m","","","2002年3月、2004年7月他","","","","","","",""
