"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","位置","所在地","地図","指定文化財","遺構","築城年","築城主","廃城年","城郭構造","築造時期","史跡","規模","主な城主","形状","別名","出土品","天守構造","埋葬施設","特記事項"
"御所ヶ谷神籠石","[御所ヶ谷神籠石（ごしょがたにこうごいし）〔行橋市・京都郡みやこ町〕1953年11月14日] 御所ヶ谷神籠石 （ごしょがたにこうごいし）は、 福岡県 行橋市 ・ みやこ町 にまたがる御所ヶ岳（ホトギ山）  に築かれた、日本の 古代山城 （ 神籠石系山城 ）である。城跡は1953年（昭和28年）11月14日、「御所ヶ谷神籠石」の名称で国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/御所ヶ谷神籠石","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度40分28.2秒東経130度55分52.2秒","座標:北緯33度40分28.2秒東経130度55分52.2秒﻿ / ﻿北緯33.674500度 東経130.931167度﻿ /33.674500; 130.931167","","御所ヶ谷神籠石","国の史跡「御所ヶ谷神籠石」","土塁・石塁・水門・城門跡・礎石","不明","不明","","古代山城（神籠石系山城）","","","","","","","","","",""
"綾塚古墳","[綾塚古墳（あやづかこふん）〔京都郡みやこ町〕1973年4月14日] 綾塚古墳 （あやづかこふん）は、 福岡県 京都郡 みやこ町 勝山黒田にある、 古墳時代 後期（推定）の 円墳 。1973年4月14日、 国史跡 に指定された   。","https://ja.wikipedia.org/wiki/綾塚古墳","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度42分18秒 東経130度54分59秒","","","","","","","","","","","","","","","","","","",""
"橘塚古墳","[橘塚古墳（たちばなづかこふん）〔京都郡みやこ町〕1970年6月26日] 橘塚古墳 （たちばなづかこふん）は、 福岡県 京都郡 みやこ町 勝山黒田にある 古墳 。1970年6月26日、 国史跡 に指定された  。","https://ja.wikipedia.org/wiki/橘塚古墳","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度42分15秒 東経130度55分20秒","","","","","","","","","","","","","","","","","","",""
"豊前国分寺跡","[豊前国分寺跡（ぶぜんこくぶんじあと）〔京都郡みやこ町〕1976年7月15日] 豊前国分寺跡 （ぶぜんこくぶんじあと）は、 福岡県 京都郡 みやこ町 にある 寺院 跡。","https://ja.wikipedia.org/wiki/豊前国分寺跡","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"石塚山古墳","[石塚山古墳（いしづかやまこふん）〔京都郡苅田町〕1985年1月31日] 石塚山古墳 （いしづかやまこふん）は、 福岡県 京都郡 苅田町 富久町1丁目に所在する 古墳時代 前期の 前方後円墳 。江戸時代に 銅鏡 などの遺物が 発掘 されている。1985年（昭和60年）に国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/石塚山古墳","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度46分31.4秒東経130度58分48.0秒","北緯33度46分31.4秒東経130度58分48.0秒﻿ / ﻿北緯33.775389度 東経130.980000度﻿ /33.775389; 130.980000座標:北緯33度46分31.4秒東経130度58分48.0秒﻿ / ﻿北緯33.775389度 東経130.980000度﻿ /33.775389; 130.980000","福岡県京都郡苅田町富久町1丁目","","","","","","","","3世紀中頃～4世紀初頭","国の史跡（1985年指定）","墳丘長120m前後　","","前方後円墳","","三角縁神獣鏡7面以上　銅鏃　素環頭大刀　","","竪穴式石室",""
"御所山古墳","[御所山古墳（ごしょやまこふん）〔京都郡苅田町〕1936年9月3日] 御所山古墳 （ごしょやまこふん）は、 福岡県 京都郡 苅田町 大字与原にある 古墳 。形状は 前方後円墳 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/御所山古墳","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度45分30.64秒東経130度58分50.68秒","北緯33度45分30.64秒東経130度58分50.68秒﻿ / ﻿北緯33.7585111度 東経130.9807444度﻿ /33.7585111; 130.9807444座標:北緯33度45分30.64秒東経130度58分50.68秒﻿ / ﻿北緯33.7585111度 東経130.9807444度﻿ /33.7585111; 130.9807444","福岡県京都郡苅田町大字与原","御所山古墳","","","","","","","5世紀後半","国の史跡「御所山古墳」","墳丘長119m","","前方後円墳","","銅鏡・勾玉・管玉・ガラス玉・金銅製雲珠・埴輪など","","横穴式石室","豊前地方最大級の規模"
"英彦山","[英彦山（ひこさん）〔田川郡添田町〕2017年2月9日] 英彦山 （ひこさん）は、 福岡県 田川郡 添田町 と 大分県 中津市 山国町 にまたがる 標高 1,199mの 山 である   。 耶馬日田英彦山国定公園 の一部をなす。 日本百景 ・ 日本二百名山 の一つ。また、 弥彦山 （ 新潟県 ）・ 雪彦山 （ 兵庫県 ）とともに 日本三彦山 に数えられる。国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/英彦山","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度28分34秒東経130度55分34秒","北緯33度28分34秒東経130度55分34秒﻿ / ﻿北緯33.47611度 東経130.92611度﻿ /33.47611; 130.92611座標:北緯33度28分34秒東経130度55分34秒﻿ / ﻿北緯33.47611度 東経130.92611度﻿ /33.47611; 130.92611","日本大分県中津市福岡県田川郡添田町","","","","","","","","","","","","","","","","",""
"古月横穴 (存在しないページ)","[古月横穴（ふるつきよこあな）〔鞍手郡鞍手町〕1932年10月19日]","https://ja.wikipedia.org/w/index.php?title=古月横穴&amp;action=edit&amp;redlink=1","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"竹原古墳","[竹原古墳（たけはらこふん）〔宮若市〕1957年2月22日] 竹原古墳 （たけはらこふん）は、 福岡県 宮若市 竹原にある 装飾古墳 である。","https://ja.wikipedia.org/wiki/竹原古墳","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度43分59.7秒 東経130度36分36.5秒","","","","","","","","","","","","","","","","","","",""
"鹿毛馬神籠石","[鹿毛馬神籠石（かけのうまこうごいし）〔飯塚市〕1945年2月22日] 鹿毛馬神籠石 （かけのうまこうごいし    、かけのうまこうごういし   、かげのうまこうごいし  ）は、 福岡県 飯塚市 鹿毛馬にある鹿毛馬川沿いの 馬蹄型 丘陵地に築かれた日本の 古代山城 （ 神籠石系山城 ）である   。 1945年 （ 昭和 20年） 2月22日 付で国の 史跡 に指定され、 2002年 （平成14年） 3月19日 に追加指定されている  。","https://ja.wikipedia.org/wiki/鹿毛馬神籠石","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度40分37秒東経130度44分4秒","北緯33度40分37秒東経130度44分4秒﻿ / ﻿北緯33.67694度 東経130.73444度﻿ /33.67694; 130.73444座標:北緯33度40分37秒東経130度44分4秒﻿ / ﻿北緯33.67694度 東経130.73444度﻿ /33.67694; 130.73444","","鹿毛馬神籠石","国の史跡","列石・暗渠・水門","7世紀ごろ","","","古代山城（神籠石系山城）","","","","","","","","","",""
"大分廃寺塔跡 (存在しないページ)","[大分廃寺塔跡（だいぶはいじとうあと）〔飯塚市〕1941年12月13日]","https://ja.wikipedia.org/w/index.php?title=大分廃寺塔跡&amp;action=edit&amp;redlink=1","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"桜京古墳","[桜京古墳（さくらきょうこふん）〔宗像市〕1976年3月31日] 桜京古墳 （さくらきょうこふん）は、 福岡県 宗像市 牟田尻にある 古墳 。形状は 前方後円墳 。桜京古墳群を構成する古墳の1つ。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/桜京古墳","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度50分37.67秒東経130度29分43.68秒","北緯33度50分37.67秒東経130度29分43.68秒﻿ / ﻿北緯33.8437972度 東経130.4954667度﻿ /33.8437972; 130.4954667座標:北緯33度50分37.67秒東経130度29分43.68秒﻿ / ﻿北緯33.8437972度 東経130.4954667度﻿ /33.8437972; 130.4954667","福岡県宗像市牟田尻2019番地（字桜京）","桜京古墳","","","","","","","6世紀後半","国の史跡「桜京古墳」","墳丘長39m高さ6.4m（後円部）","","前方後円墳","桜京2号墳","鉄鏃茎・金属器・土器片","","後円部：横穴式石室前方部：横穴式石室","装飾古墳"
"宗像大社","[宗像神社境内（むなかたじんじゃけいだい）〔宗像市〕1971年4月22日] 宗像大社 （むなかたたいしゃ）は 福岡県 宗像市 に在る 神社 。 式内社 （ 名神大社 ）、 八神郡 の一つ。旧 社格 は 官幣大社 で、現在は 神社本庁 の 別表神社 。日本各地に七千余ある 宗像神社 、 厳島神社 、および 宗像三女神 を祀る神社の総本社であり、『 日本書紀 』では、一書に曰くとして「 道主貴 」と称される。 玄界灘 に浮かぶ 沖ノ島 を神域とし、沖ノ島で出土した 古代 祭祀 の奉献品の多くは 国宝 に指定されている。 裏伊勢 とも称される。","https://ja.wikipedia.org/wiki/宗像大社","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度49分51秒東経130度30分51秒","北緯33度49分51秒東経130度30分51秒﻿ / ﻿北緯33.83083度 東経130.51417度﻿ /33.83083; 130.51417座標:北緯33度49分51秒東経130度30分51秒﻿ / ﻿北緯33.83083度 東経130.51417度﻿ /33.83083; 130.51417","福岡県宗像市田島2331（辺津宮）福岡県宗像市大島1811（中津宮）福岡県宗像市大島沖之島（沖津宮）","","","","","","","","","","","","","道主貴（みちぬしのむち）","","","",""
"田熊石畑遺跡","[田熊石畑遺跡（たぐまいしはたけいせき）〔宗像市〕2010年2月22日] 田熊石畑遺跡 （たぐまいしはたけいせき）は、 福岡県 宗像市 田熊にある、 弥生時代 前期後半～中期前半の集落跡である。2010年2月22日に国の 史跡 に指定され、2017年2月9日に追加指定が行われた。出土品は国の 重要文化財 に指定されている。","https://ja.wikipedia.org/wiki/田熊石畑遺跡","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度48分02秒 東経130度32分14秒","","","","","","","","","","","","","","","","","","",""
"津屋崎古墳群","[津屋崎古墳群（つやざきこふんぐん）〔福津市〕] 津屋崎古墳群 （つやざきこふんぐん）は、 福岡県 福津市 津屋崎にある 古墳群 。2005年3月2日に国の 史跡 に指定され、2011年2月7日と2012年9月19日に指定区域が追加されている  。","https://ja.wikipedia.org/wiki/津屋崎古墳群","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"相島積石塚群","[相島積石塚群（あいのしまつみいしづかぐん）〔糟屋郡新宮町〕2001年8月13日] 相島積石塚群 （あいのしまつみいしづかぐん）は、 福岡県 糟屋郡 新宮町 相島 の長井浜にある、4世紀代～7世紀代にかけての 古墳群 である。全長100メートルの海浜部に254基もの 積石塚 が拡がる。こうした 遺跡 は全国的にも珍しく、2001年（平成13年）8月7日に 国史跡 に指定された   。","https://ja.wikipedia.org/wiki/相島積石塚群","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度45分42.0秒東経130度22分34.0秒","北緯33度45分42.0秒東経130度22分34.0秒﻿ / ﻿北緯33.761667度 東経130.376111度﻿ /33.761667; 130.376111座標:北緯33度45分42.0秒東経130度22分34.0秒﻿ / ﻿北緯33.761667度 東経130.376111度﻿ /33.761667; 130.376111","福岡県糟屋郡新宮町相島字百合越・長井・牟田","相島積石塚群福岡県内の位置","","","","","","","4世紀代-7世紀代","2001年（平成13年）8月7日国指定","積石塚254基（前方後方墳あり）","","","","","","",""
"首羅山遺跡","[首羅山遺跡（しゅらさんいせき）〔糟屋郡久山町〕2013年3月27日] 首羅山遺跡 （しゅらさんいせき）は、 福岡県 糟屋郡 久山町 にある 中世 の山岳 寺院 遺跡 。 2013年 （ 平成 25年）3月27日付で国の 史跡 に指定された。首羅山「 頭光寺 」という寺院があったとされる。","https://ja.wikipedia.org/wiki/首羅山遺跡","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度39分43.5秒 東経130度31分10.4秒","","","","","","","","","","","","","","","","","","",""
"光正寺古墳","[光正寺古墳（こうしょうじこふん）〔糟屋郡宇美町〕1975年6月26日] 光正寺古墳 （こうしょうじこふん）は、 福岡県 糟屋郡 宇美町 光正寺2丁目にある 古墳時代 前期（ 3世紀 中頃から後半）の 前方後円墳 。国の 史跡 （1975年（ 昭和 50年）6月26日指定）。","https://ja.wikipedia.org/wiki/光正寺古墳","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度34分41秒 東経130度29分59秒","","","","","","","","","","","","","","","","","","",""
"七夕池古墳","[七夕池古墳（たなばたいけこふん）〔糟屋郡志免町〕1975年6月26日] 七夕池古墳 （たなばたいけこふん）は、 福岡県 糟屋郡 志免町 田富3丁目にある 古墳時代 前期（4世紀）の 円墳 。国の 史跡 （1975年（ 昭和 50年）6月26日指定）。","https://ja.wikipedia.org/wiki/七夕池古墳","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度34分47秒 東経130度29分58秒","","","","","","","","","","","","","","","","","","",""
"船原古墳","[船原古墳（ふなばるこふん）〔古賀市〕2016年10月3日] 船原古墳 （ふなばるこふん）は、 福岡県 古賀市 にある 古墳 。 2016年 （ 平成 28年） 10月3日 に古賀市では初となる 国の史跡 に指定された   。","https://ja.wikipedia.org/wiki/船原古墳","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度42分53秒 東経130度30分9秒","","","","","","","","","","","","","","","","","","",""
"板付遺跡","[板付遺跡（いたづけいせき）〔福岡市〕1976年6月21日] 板付遺跡 （いたづけいせき）は、 福岡市 博多区 板付にある 縄文時代 晩期から 弥生時代 後期の 遺跡 である。国の 史跡  。遺跡は 竪穴住居 や水田が復元された公園になっており、展示施設（板付遺跡弥生館）もある。 佐賀県 唐津市 にある 菜畑遺跡 に次ぐ水稲耕作遺跡であり、福岡県 粕屋町 の 江辻遺跡 に次ぐ、日本でも最初期の 環濠集落 でもある。","https://ja.wikipedia.org/wiki/板付遺跡","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度33分55.7秒 東経130度27分10.1秒","","","","","","","","","","","","","","","","","","",""
"丸隈山古墳","[丸隈山古墳（まるくまやまこふん）] ","https://ja.wikipedia.org/wiki/丸隈山古墳","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度34分25.3秒 東経130度15分7.1秒","","","","","","","","","","","","","","","","","","",""
"大塚古墳","[大塚古墳（おおつかこふん）] 大塚古墳 （おおつかこふん）は、日本の 古墳 の名称。","https://ja.wikipedia.org/wiki/大塚古墳","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"鋤崎古墳","[鋤崎古墳（すきさきこふん）] 鋤崎古墳 （すきざきこふん）は、 福岡県 福岡市 西区 今宿 青木字鋤崎にある 古墳 で、国の史跡に指定されている  。 今宿古墳群 の古墳の1つで、同古墳群の代表的な存在。","https://ja.wikipedia.org/wiki/鋤崎古墳","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"飯氏二塚古墳 (存在しないページ)","[飯氏二塚古墳（いいじふたつかこふん）]","https://ja.wikipedia.org/w/index.php?title=飯氏二塚古墳&amp;action=edit&amp;redlink=1","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"兜塚古墳","[兜塚古墳（かぶとづかこふん）] 兜塚古墳 （かぶとづかこふん）は、現在の 宮城県 仙台市 太白区 、 宮城県仙台南高等学校 の校地にある 古墳 である。帆立貝式の 前方後円墳 で、築造は 5世紀 後半と推定されている。全長約75 メートル で、 葺石 と 埴輪 を伴い、同時期の 仙台平野 の古墳の中では大きなものであった。","https://ja.wikipedia.org/wiki/兜塚古墳","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯38度14分19.2秒東経140度53分3.2秒","北緯38度14分19.2秒東経140度53分3.2秒﻿ / ﻿北緯38.238667度 東経140.884222度﻿ /38.238667; 140.884222座標:北緯38度14分19.2秒東経140度53分3.2秒﻿ / ﻿北緯38.238667度 東経140.884222度﻿ /38.238667; 140.884222","宮城県仙台市太白区根岸町14","","","","","","","","5世紀後半","","全長約75メートル","","前方後円墳","","","","",""
"山ノ鼻一号墳 (存在しないページ)","[山ノ鼻一号墳（やまのはないちごうふん）]","https://ja.wikipedia.org/w/index.php?title=山ノ鼻一号墳&amp;action=edit&amp;redlink=1","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"若八幡宮古墳 (存在しないページ)","[若八幡宮古墳（わかはちまんぐうこふん）]","https://ja.wikipedia.org/w/index.php?title=若八幡宮古墳&amp;action=edit&amp;redlink=1","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"今山遺跡","[今山遺跡（いまやまいせき）〔福岡市〕1993年11月12日] 今山遺跡 （いまやまいせき）は、 福岡県 福岡市 西区 横浜 にある 弥生時代 の 石斧 製作 遺跡 である。1993年11月12日に 国史跡 に指定され、2002年12月19日に追加指定が行われた。","https://ja.wikipedia.org/wiki/今山遺跡","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度35分22秒 東経130度15分46秒","","","","","","","","","","","","","","","","","","",""
"金隈遺跡","[金隈遺跡（かねのくまいせき）〔福岡市〕1972年5月17日] 金隈遺跡 （かねのくまいせき）は、 福岡県 福岡市 博多区 大字金隈字日焼に所在する 弥生時代 の共同墓地である。 1972年 （ 昭和 47年） 5月17日 、国の 史跡 に指定される。","https://ja.wikipedia.org/wiki/金隈遺跡","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度33分44.6秒 東経130度28分19.0秒","","","","","","","","","","","","","","","","","","",""
