"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","位置","所在地","地図","城郭構造","築城年","廃城年","遺構","指定文化財","別名","天守構造","築城主","主な城主","主な改修者","法人番号","形状","築造時期","史跡","再建造物","規模"
"太龍寺","[太龍寺境内（たいりゅうじけいだい）] 太龍寺 （たいりゅうじ）は、 徳島県 阿南市 加茂町 にある 高野山真言宗 の 寺院 。 山号 は舎心山（しゃしんざん）、 院号 は常住院（じょうじゅういん）と号する。 四国八十八箇所 霊場 の第21番 札所 。 阿波秩父観音霊場 の第10番札所。 本尊 は 虚空蔵菩薩 。","https://ja.wikipedia.org/wiki/太龍寺","四国地方の史跡一覧","https://ja.wikipedia.org/wiki/四国地方の史跡一覧","箇条書き,制限あり","北緯33度52分57.1秒東経134度31分18.8秒","北緯33度52分57.1秒東経134度31分18.8秒﻿ / ﻿北緯33.882528度 東経134.521889度﻿ /33.882528; 134.521889座標:北緯33度52分57.1秒東経134度31分18.8秒﻿ / ﻿北緯33.882528度 東経134.521889度﻿ /33.882528; 134.521889","徳島県阿南市加茂町龍山2","","","","","","","","","","","","1480005004427","","","","",""
"讃岐国分寺","[讃岐国分寺跡（さぬきこくぶんじあと）〔高松市〕] 讃岐国分寺 （さぬきこくぶんじ）は、 香川県 高松市 国分寺町国分にある 真言宗御室派 の 寺院 。 四国八十八箇所 霊場 の第八十番 札所 。札所寺院としては単に「 國分寺  」と称するのが通例である。","https://ja.wikipedia.org/wiki/讃岐国分寺","四国地方の史跡一覧","https://ja.wikipedia.org/wiki/四国地方の史跡一覧","箇条書き,制限あり","北緯34度18分11.3秒東経133度56分39秒","北緯34度18分11.3秒東経133度56分39秒﻿ / ﻿北緯34.303139度 東経133.94417度﻿ /34.303139; 133.94417﻿ (国分寺)座標:北緯34度18分11.3秒東経133度56分39秒﻿ / ﻿北緯34.303139度 東経133.94417度﻿ /34.303139; 133.94417﻿ (国分寺)","香川県高松市国分寺町国分字上所2065番地","","","","","","","","","","","","1470005001879","","","","",""
"富田茶臼山古墳","[富田茶臼山古墳（とみたちゃうすやまこふん）〔さぬき市〕] 富田茶臼山古墳 （とみだちゃうすやまこふん  /とみたちゃうすやまこふん  ）は、 香川県 さぬき市 大川町富田中（とみだなか）にある 古墳 。形状は 前方後円墳 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/富田茶臼山古墳","四国地方の史跡一覧","https://ja.wikipedia.org/wiki/四国地方の史跡一覧","箇条書き,制限あり","北緯34度15分35.86秒東経134度14分38.39秒","北緯34度15分35.86秒東経134度14分38.39秒﻿ / ﻿北緯34.2599611度 東経134.2439972度﻿ /34.2599611; 134.2439972座標:北緯34度15分35.86秒東経134度14分38.39秒﻿ / ﻿北緯34.2599611度 東経134.2439972度﻿ /34.2599611; 134.2439972","香川県さぬき市大川町富田中3402-3他（字石仏）","富田茶臼山快天山渋野丸山富田茶臼山古墳快天山古墳","","","","","","","","","","","","前方後円墳","5世紀前半頃","国の史跡「富田茶臼山古墳」","","墳丘長139m高さ15m（後円部）"
"石清尾山古墳群","[石清尾山古墳群（いわせおやまこふんぐん）〔高松市〕] 石清尾山古墳群 （いわせおやまこふんぐん）は、 香川県 高松市 峰山町、室町、宮脇町、西春日町、鶴市町、西宝町にわたる 石清尾山塊 上に所在する 積石塚 を特色とする 古墳群 。国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/石清尾山古墳群","四国地方の史跡一覧","https://ja.wikipedia.org/wiki/四国地方の史跡一覧","箇条書き,制限あり","北緯34度19分39.6秒東経134度01分25.0秒","北緯34度19分39.6秒東経134度01分25.0秒﻿ / ﻿北緯34.327667度 東経134.023611度﻿ /34.327667; 134.023611座標:北緯34度19分39.6秒東経134度01分25.0秒﻿ / ﻿北緯34.327667度 東経134.023611度﻿ /34.327667; 134.023611","香川県高松市","石清尾山古墳群香川県内の位置","","","","","","","","","","","","双方中円墳、方墳、前方後円墳","3世紀末-7世紀初","国指定史跡:1934年（昭和9年）1月22日指定、1985年（昭和60年）7月16日追加指定・名称変更、1989年（平成元年）8月14日追加指定","",""
"讃岐国分尼寺 (存在しないページ)","[讃岐国分尼寺跡（さぬきこくぶんにじあと）〔高松市〕]","https://ja.wikipedia.org/w/index.php?title=讃岐国分尼寺&amp;action=edit&amp;redlink=1","四国地方の史跡一覧","https://ja.wikipedia.org/wiki/四国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"高松城 (讃岐国)","[高松城跡（たかまつじょうあと）〔高松市〕] 高松城 （たかまつじょう）は、 日本 の 香川県 高松市 玉藻町にあった 日本の城 である。別名・ 玉藻城 （たまもじょう）。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/高松城_(讃岐国)","四国地方の史跡一覧","https://ja.wikipedia.org/wiki/四国地方の史跡一覧","箇条書き,制限あり","北緯34度21分0.2秒東経134度3分1.4秒","北緯34度21分0.2秒東経134度3分1.4秒﻿ / ﻿北緯34.350056度 東経134.050389度﻿ /34.350056; 134.050389﻿ (高松城)座標:北緯34度21分0.2秒東経134度3分1.4秒﻿ / ﻿北緯34.350056度 東経134.050389度﻿ /34.350056; 134.050389﻿ (高松城)","","高松城","輪郭式平城","1590年（天正18年）","1869年（明治2年）","櫓、門、渡櫓、石垣、堀","国の重要文化財（北の丸月見櫓・水手御門・渡櫓、旧東の丸艮櫓、披雲閣）、国の史跡","玉藻城","独立式層塔型3重4階地下1階（1669年改・非現存）","生駒親正","生駒氏、松平氏","松平頼重、松平頼常","","","","","御殿",""
"屋島","[屋島（やしま）〔高松市〕] 屋島 （やしま、 旧字体 ： 屋嶋 ）は、 日本 の 四国 北東部の、 香川県 高松市 の東北に位置する、硬質の溶岩に覆われた平坦面が侵食された残丘。南北に長い 台地 状の地形  。","https://ja.wikipedia.org/wiki/屋島","四国地方の史跡一覧","https://ja.wikipedia.org/wiki/四国地方の史跡一覧","箇条書き,制限あり","北緯34度21分21秒東経134度6分17秒","北緯34度21分21秒東経134度6分17秒﻿ / ﻿北緯34.35583度 東経134.10472度﻿ /34.35583; 134.10472﻿ (屋島)座標:北緯34度21分21秒東経134度6分17秒﻿ / ﻿北緯34.35583度 東経134.10472度﻿ /34.35583; 134.10472﻿ (屋島)","香川県高松市","","","","","","","","","","","","","","","","",""
"府中・山内瓦窯跡 (存在しないページ)","[府中・山内瓦窯跡（ふちゅう・やまのうちかわらがまあと）〔坂出市・高松市〕]","https://ja.wikipedia.org/w/index.php?title=府中・山内瓦窯跡&amp;action=edit&amp;redlink=1","四国地方の史跡一覧","https://ja.wikipedia.org/wiki/四国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"城山 (香川県)","[城山（きやま）〔坂出市・丸亀市〕] 城山城 （きやまじょう、讃岐城山城）は、 讃岐国 阿野郡 の城山（きやま、現在の 香川県 坂出市 西庄町・川津町・府中町、 丸亀市 飯山町）にあった 日本 の 古代山城 （分類は 神籠石系山城 ）。城跡は国の 史跡 に指定されている（指定名称は「城山」）。","https://ja.wikipedia.org/wiki/城山_(香川県)","四国地方の史跡一覧","https://ja.wikipedia.org/wiki/四国地方の史跡一覧","箇条書き,制限あり","北緯34度17分22.94秒東経133度53分23.17秒","北緯34度17分22.94秒東経133度53分23.17秒﻿ / ﻿北緯34.2897056度 東経133.8897694度﻿ /34.2897056; 133.8897694座標:北緯34度17分22.94秒東経133度53分23.17秒﻿ / ﻿北緯34.2897056度 東経133.8897694度﻿ /34.2897056; 133.8897694","","","古代山城（神籠石系山城）","不明","不明","城門・水門・石塁・土塁ほか","国の史跡「城山」","","","","","","","","","","",""
"快天山古墳","[快天山古墳（かいてんやまこふん）〔丸亀市〕] 快天山古墳 （かいてんやまこふん）は、 香川県 丸亀市 綾歌町栗熊東・富熊にある 古墳 。形状は 前方後円墳 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/快天山古墳","四国地方の史跡一覧","https://ja.wikipedia.org/wiki/四国地方の史跡一覧","箇条書き,制限あり","北緯34度14分20.65秒東経133度53分26.15秒","北緯34度14分20.65秒東経133度53分26.15秒﻿ / ﻿北緯34.2390694度 東経133.8905972度﻿ /34.2390694; 133.8905972座標:北緯34度14分20.65秒東経133度53分26.15秒﻿ / ﻿北緯34.2390694度 東経133.8905972度﻿ /34.2390694; 133.8905972","香川県丸亀市綾歌町栗熊東字若狭・富熊字畑田","富田茶臼山快天山渋野丸山快天山古墳富田茶臼山古墳","","","","","","","","","","","","前方後円墳","4世紀中葉","国の史跡「快天山古墳」","","墳丘長98.8m高さ10.55m（後円部）"
"塩飽勤番所","[塩飽勤番所跡（しわくきんばんしょあと）〔丸亀市〕] 塩飽勤番所 （しわくきんばんしょ）は、 香川県 丸亀市 本島 にある 塩飽諸島 の旧政庁。現在では 塩飽水軍 の歴史を展示した資料館になっている。","https://ja.wikipedia.org/wiki/塩飽勤番所","四国地方の史跡一覧","https://ja.wikipedia.org/wiki/四国地方の史跡一覧","箇条書き,制限あり","北緯34度23分16.22秒 東経133度47分1.83秒","","香川県丸亀市本島町泊81","","","","","","","","","","","","","","","","",""
"丸亀城","[丸亀城跡（まるがめじょうあと）〔丸亀市〕] 丸亀城 （まるがめじょう）は、 讃岐国 、現在の 香川県 丸亀市 にある 日本の城 である。別名、 亀山城 （かめやまじょう）、 蓬莱城 （ほうらいじょう）ともいう。","https://ja.wikipedia.org/wiki/丸亀城","四国地方の史跡一覧","https://ja.wikipedia.org/wiki/四国地方の史跡一覧","箇条書き,制限あり","北緯34度17分10.63秒東経133度48分0.35秒","北緯34度17分10.63秒東経133度48分0.35秒﻿ / ﻿北緯34.2862861度 東経133.8000972度﻿ /34.2862861; 133.8000972﻿ (丸亀城)座標:北緯34度17分10.63秒東経133度48分0.35秒﻿ / ﻿北緯34.2862861度 東経133.8000972度﻿ /34.2862861; 133.8000972﻿ (丸亀城)","","丸亀城","渦郭式平山城","室町時代初期（14世紀頃）","1871年","現存天守・大手一の門・大手二の門・御殿表門・長屋・番所石垣、堀","重要文化財（天守・大手一の門・大手二の門）国の史跡","亀山城、蓬莱城","御三階櫓（複合式層塔型3重3階）（1660年築）（独立式層塔型3重3階）（1877年改）","奈良元安","生駒氏、山崎氏、京極氏","生駒親正、山崎家治","","","","","",""
"天霧城","[天霧城跡（あまきりじょうあと）〔善通寺市〕] 天霧城 （あまぎりじょう）は 讃岐国 、現在の 香川県 善通寺市 吉原町と 三豊市 三野町、 仲多度郡 多度津町 の市町境にあった 中世 日本の城 （ 山城 ）。国の 史跡  。別名・雨霧城または尼斬城。讃岐 香川氏 累代の有事の際の詰城で、平時の居館は多度津町の 本台山城 東麓にあったとされる。","https://ja.wikipedia.org/wiki/天霧城","四国地方の史跡一覧","https://ja.wikipedia.org/wiki/四国地方の史跡一覧","箇条書き,制限あり","北緯34度14分8.22秒東経133度44分7.47秒","北緯34度14分8.22秒東経133度44分7.47秒﻿ / ﻿北緯34.2356167度 東経133.7354083度﻿ /34.2356167; 133.7354083座標:北緯34度14分8.22秒東経133度44分7.47秒﻿ / ﻿北緯34.2356167度 東経133.7354083度﻿ /34.2356167; 133.7354083","","天霧城","山城","正平19年（1364年）","天正13年（1585年）","本丸（物見台）跡・二の丸跡・三の丸跡・隠し砦跡・外郭・石塁・堀切・井戸","国の史跡","雨霧城・尼斬城","不明","香川景則","香川氏","","","","","","なし",""
"有岡古墳群","[有岡古墳群（ありおかこふんぐん）〔善通寺市〕] 有岡古墳群 （ありおかこふんぐん）は、 香川県 善通寺市 に分布する 古墳群 。 弘法大師 の祖先ともいわれる 豪族 の墓群とも言われる。同じ系統の首長墓とされる古墳が集まっており、 1984年 11月29日 に国の史跡に指定された   。","https://ja.wikipedia.org/wiki/有岡古墳群","四国地方の史跡一覧","https://ja.wikipedia.org/wiki/四国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"仲多度郡","[中寺廃寺跡（なかでらはいじあと）〔仲多度郡まんのう町〕] 仲多度郡 （なかたどぐん）は、 香川県 の 郡 。","https://ja.wikipedia.org/wiki/仲多度郡","四国地方の史跡一覧","https://ja.wikipedia.org/wiki/四国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"二ノ宮窯跡 (存在しないページ)","[二ノ宮窯跡（にのみやかまあと）〔三豊市〕]","https://ja.wikipedia.org/w/index.php?title=二ノ宮窯跡&amp;action=edit&amp;redlink=1","四国地方の史跡一覧","https://ja.wikipedia.org/wiki/四国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"宗吉瓦窯跡 (存在しないページ)","[宗吉瓦窯跡（むねよしがようあと）〔三豊市〕]","https://ja.wikipedia.org/w/index.php?title=宗吉瓦窯跡&amp;action=edit&amp;redlink=1","四国地方の史跡一覧","https://ja.wikipedia.org/wiki/四国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"喜兵衛島製塩遺跡","[喜兵衛島製塩遺跡（きへえじませいえんいせき）〔香川郡直島町〕] 喜兵衛島製塩遺跡 （きべえじませいえんいせき）は、 香川県 香川郡 直島町 にある 古墳時代 の 遺跡 。 1979年 （昭和54年）6月25日、国の 史跡 に指定された  。","https://ja.wikipedia.org/wiki/喜兵衛島製塩遺跡","四国地方の史跡一覧","https://ja.wikipedia.org/wiki/四国地方の史跡一覧","箇条書き,制限あり","北緯34度29分59.8秒 東経133度58分33.8秒","","","","","","","","","","","","","","","","","","",""
"大坂城石垣石切丁場跡 (存在しないページ)","[大坂城石垣石切丁場跡（おおさかじょういしがきいしきりちょうばあと）〔小豆郡小豆島町〕]","https://ja.wikipedia.org/w/index.php?title=大坂城石垣石切丁場跡&amp;action=edit&amp;redlink=1","四国地方の史跡一覧","https://ja.wikipedia.org/wiki/四国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"宇摩向山古墳","[宇摩向山古墳（うまむかいやまこふん）〔四国中央市〕] 宇摩向山古墳 （うまむかいやまこふん）は、 愛媛県 四国中央市 金生町（きんせいちょう）下分にある 古墳 。形状は長方形墳。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/宇摩向山古墳","四国地方の史跡一覧","https://ja.wikipedia.org/wiki/四国地方の史跡一覧","箇条書き,制限あり","北緯34度0分24.22秒東経133度35分5.30秒","北緯34度0分24.22秒東経133度35分5.30秒﻿ / ﻿北緯34.0067278度 東経133.5848056度﻿ /34.0067278; 133.5848056座標:北緯34度0分24.22秒東経133度35分5.30秒﻿ / ﻿北緯34.0067278度 東経133.5848056度﻿ /34.0067278; 133.5848056","愛媛県四国中央市金生町下分乙","宇摩向山古墳","","","","","","","","","","","","長方形墳","7世紀前半","国の史跡「宇摩向山古墳」","","東西70m×南北46m"
"西条市","[法安寺跡（ほうあんじあと）〔西条市〕] 西条市 （さいじょうし）は、 愛媛県 東予地方 、西日本最高峰 石鎚山 の麓に位置する 市 。 瀬戸内海 燧灘 に面する。","https://ja.wikipedia.org/wiki/西条市","四国地方の史跡一覧","https://ja.wikipedia.org/wiki/四国地方の史跡一覧","箇条書き,制限あり","北緯33度55分10.4秒東経133度10分52.2秒","","〒793-8601愛媛県西条市明屋敷164番地北緯33度55分10.4秒東経133度10分52.2秒﻿ / ﻿北緯33.919556度 東経133.181167度﻿ /33.919556; 133.181167﻿ (西条市)座標:北緯33度55分10.4秒東経133度10分52.2秒﻿ / ﻿北緯33.919556度 東経133.181167度﻿ /33.919556; 133.181167﻿ (西条市)","","","","","","","","","","","","2000020382060","","","","",""
"永納山城","[永納山城跡（えいのうさんじょうあと）〔西条市・今治市〕] 永納山城 （えいのうさんじょう）は、 伊予国 桑村郡 の永納山・医王山（現在の 愛媛県 西条市 河原津・楠、 今治市 孫兵衛作（まごべえさく））  にあった 日本 の 古代山城 （分類は 神籠石系山城 ）。城跡は国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/永納山城","四国地方の史跡一覧","https://ja.wikipedia.org/wiki/四国地方の史跡一覧","箇条書き,制限あり","北緯33度58分40.30秒東経133度3分21.25秒","北緯33度58分40.30秒東経133度3分21.25秒﻿ / ﻿北緯33.9778611度 東経133.0559028度﻿ /33.9778611; 133.0559028座標:北緯33度58分40.30秒東経133度3分21.25秒﻿ / ﻿北緯33.9778611度 東経133.0559028度﻿ /33.9778611; 133.0559028","","","古代山城（神籠石系山城）","不明","不明","土塁・鍛冶関連遺構","国の史跡「永納山城跡」","","","","","","","","","","",""
"伊予国分寺","[伊予国分寺塔跡（いよこくぶんじとうあと）〔今治市〕] 伊予国分寺 （いよこくぶんじ）は、 愛媛県 今治市 国分に位置する 真言律宗 の寺院。金光山（こんごうざん）、最勝院（さいしょういん）と号す。 本尊 は 薬師瑠璃光如来 （薬師如来）。 四国八十八箇所 霊場 の第五十九番 札所 。札所寺院としては、単に「 国分寺 」と称するのが通例である。","https://ja.wikipedia.org/wiki/伊予国分寺","四国地方の史跡一覧","https://ja.wikipedia.org/wiki/四国地方の史跡一覧","箇条書き,制限あり","北緯34度1分34.2秒東経133度1分31.6秒","北緯34度1分34.2秒東経133度1分31.6秒﻿ / ﻿北緯34.026167度 東経133.025444度﻿ /34.026167; 133.025444座標:北緯34度1分34.2秒東経133度1分31.6秒﻿ / ﻿北緯34.026167度 東経133.025444度﻿ /34.026167; 133.025444","愛媛県今治市国分4-1-33","","","","","","","","","","","","6500005005038","","","","",""
"能島城跡","[能島城跡（のしまじょうあと）〔今治市〕] 能島 （のしま）は、 瀬戸内海 のほぼ中央、 伯方島 と 大島 との間の宮窪瀬戸、 鵜島 の南西に位置する 無人島 。 愛媛県 今治市 （旧： 越智郡 宮窪町 ）に属する。属島として鯛崎島が南にある。","https://ja.wikipedia.org/wiki/能島城跡","四国地方の史跡一覧","https://ja.wikipedia.org/wiki/四国地方の史跡一覧","箇条書き,制限あり","北緯34度10分58秒東経133度4分51秒","","日本（愛媛県）","","","","","","","","","","","","","","","","",""
"妙見山古墳 (今治市)","[妙見山古墳（みょうけんさんこふん）〔今治市〕] 妙見山古墳 （みょうけんさんこふん、 妙見山1号墳 ）は、 愛媛県 今治市 大西町宮脇にある 古墳 。形状は 前方後円墳 。妙見山古墳群を構成する古墳の1つ。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/妙見山古墳_(今治市)","四国地方の史跡一覧","https://ja.wikipedia.org/wiki/四国地方の史跡一覧","箇条書き,制限あり","北緯34度3分31.39秒東経132度55分50.97秒","北緯34度3分31.39秒東経132度55分50.97秒﻿ / ﻿北緯34.0587194度 東経132.9308250度﻿ /34.0587194; 132.9308250座標:北緯34度3分31.39秒東経132度55分50.97秒﻿ / ﻿北緯34.0587194度 東経132.9308250度﻿ /34.0587194; 132.9308250","愛媛県今治市大西町宮脇乙（藤山健康文化公園内）","妙見山古墳","","","","","","妙見山1号墳","","","","","","前方後円墳","古墳時代前期前半","国の史跡「妙見山古墳」","","墳丘長55.2m高さ7m（後円部）"
"来住廃寺跡 (存在しないページ)","[来住廃寺跡（きしはいじあと）]","https://ja.wikipedia.org/w/index.php?title=来住廃寺跡&amp;action=edit&amp;redlink=1","四国地方の史跡一覧","https://ja.wikipedia.org/wiki/四国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
