"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","面積","分類","運営者","公式サイト","外部リンク","法人番号","国","地方","総人口","人口密度","駐車場","開園","都道府県","市町村コード","隣接自治体","設備・遊具","市長","事務所"
"大室公園","[17大室公園市立総合公園群馬県前橋市大室古墳群] 大室公園 （おおむろこうえん）は、 群馬県 前橋市 に位置する 都市公園 （総合公園）である。 西大室町 と 東大室町 にまたがる  。 日本の歴史公園100選 に選ばれている。","https://ja.wikipedia.org/wiki/大室公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯36度23分14.9秒東経139度12分1.9秒","日本群馬県前橋市西大室町2545","37ha","都市公園（総合公園）","前橋市","前橋市のサイト","","","","","","","","","","","","","",""
"甘楽総合公園 (存在しないページ)","[18甘楽総合公園町立総合公園群馬県甘楽町楽山園ほか小幡城下町]","https://ja.wikipedia.org/w/index.php?title=甘楽総合公園&amp;action=edit&amp;redlink=1","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","","","","","","","","","","","","","","","","","","","",""
"諏訪尾余緑地 (存在しないページ)","[19諏訪尾余緑地市立都市緑地千葉県佐倉市旧堀田邸]","https://ja.wikipedia.org/w/index.php?title=諏訪尾余緑地&amp;action=edit&amp;redlink=1","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","","","","","","","","","","","","","","","","","","","",""
"鏑木緑地 (存在しないページ)","[及び鏑木緑地保全地区県特別緑地保全地区]","https://ja.wikipedia.org/w/index.php?title=鏑木緑地&amp;action=edit&amp;redlink=1","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","","","","","","","","","","","","","","","","","","","",""
"横利根閘門ふれあい公園 (存在しないページ)","[20横利根閘門ふれあい公園千葉県香取市横利根閘門]","https://ja.wikipedia.org/w/index.php?title=横利根閘門ふれあい公園&amp;action=edit&amp;redlink=1","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","","","","","","","","","","","","","","","","","","","",""
"日比谷公園","[21日比谷公園都立総合公園東京都千代田区日比谷公園] 日比谷公園 （ひびやこうえん）は、 東京都 千代田区 に所在する 公園 、および同公園を町域とする千代田区の町名である。 郵便番号 は100-0012。","https://ja.wikipedia.org/wiki/日比谷公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度40分25秒東経139度45分22秒","日本東京都千代田区","16.2ha","都市公園","東京都公園協会2011～2015年度指定管理者","公式ホームページ","","","","","","","なし","1903年6月1日","","","","日比谷公会堂、大音楽堂、小音楽堂、陳列場、日比谷図書文化館、テニスコート、児童遊園、軽飲食店、緑と水の市民カレッジ","","日比谷公園管理所"
"浜離宮恩賜庭園","[22浜離宮恩賜庭園都立歴史公園東京都中央区浜離宮恩賜庭園] 浜離宮恩賜庭園 （はまりきゅう おんし ていえん）は、 東京都 中央区 浜離宮庭園 にある 都立庭園 である。","https://ja.wikipedia.org/wiki/浜離宮恩賜庭園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度39分36秒東経139度45分49秒","東京都中央区浜離宮庭園","250,215.72m2（約25ヘクタール）","都立庭園・特別名勝・特別史跡","東京都公園協会2011 - 2015年度指定管理者","公式ホームページ","","","","","","","観光バスと障害者の車両のみ可","1946年4月1日","","","","集会場（芳梅亭・中島の御茶屋）など","",""
"旧古河庭園","[23旧古河庭園都立歴史公園東京都北区旧古河庭園] 旧古河庭園 （きゅうふるかわていえん）は、 東京都 北区 西ケ原 にある 都立庭園 である。 1919年 （ 大正 8年）に 古河財閥 の 古河虎之助 男爵 の邸宅として現在の形（洋館、西洋庭園、日本庭園）に整えられた。現在は 国有財産 であり、東京都が借り受けて一般公開している。国の 名勝 に指定されている。東京の バラ の名所として親しまれている。","https://ja.wikipedia.org/wiki/旧古河庭園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度44分33秒東経139度44分46秒","東京都北区西ケ原一丁目","30,780.86m2","都立庭園・名勝","東京都公園協会2011～2015年度指定管理者","公式ホームページ","","","","","","","","","","","","洋館・茶室（公財）大谷美術館の管理","",""
"元町公園 (曖昧さ回避)","[24元町公園区立街区公園東京都文京区元町公園] 元町公園 （もとまちこうえん）は、 日本 の 公園 。以下のものがある。","https://ja.wikipedia.org/wiki/元町公園_(曖昧さ回避)","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","","","","","","","","","","","","","","","","","","","",""
"小石川後楽園","[25小石川後楽園都立総合公園東京都文京区小石川後楽園] 小石川後楽園 （こいしかわこうらくえん）は、 東京都 文京区 後楽 一丁目にある 都立庭園 。 江戸時代 初期に 水戸徳川家 の 江戸 上屋敷内につくられた築山泉水回遊式の 日本庭園 （ 大名庭園 ）である。国の 特別史跡 及び 特別名勝 に指定されている  。","https://ja.wikipedia.org/wiki/小石川後楽園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度42分18.4秒東経139度44分59.6秒","日本東京都文京区後楽一丁目","7ha","都立庭園・特別名勝・特別史跡","東京都公園協会2011～2015年度指定管理者","小石川後楽園","","","","","","","なし","1938年4月3日","","","","集会場（涵徳亭）","","小石川後楽園サービスセンター"
"六義園","[26六義園都立歴史公園東京都文京区六義園] 六義園 （りくぎえん）は、 東京都 文京区 本駒込 六丁目にある 都立庭園 。","https://ja.wikipedia.org/wiki/六義園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度43分59.0秒東経139度44分48.0秒","東京都文京区本駒込六丁目","87,809.41m2","都立庭園・特別名勝","東京都公園協会2011～2015年度指定管理者","公式ホームページ","","","","","","","","","","","","集会場（心泉亭）、茶室（宣春亭）","",""
"上野恩賜公園","[27上野恩賜公園都立歴史公園東京都台東区寛永寺・園内の各種博物館、美術館] 上野恩賜公園 （うえのおんしこうえん）は、 東京都 台東区 にある 公園 。通称 上野公園 。「上野の森」とも呼ばれ、 武蔵野台地 末端の 舌状台地 「上野台」に公園が位置することから「上野の山」とも呼ばれる。面積は約53haである  。 東京都建設局 の管轄。公園内には博物館、動物園等、多くの文化施設が存在する。「上野公園」は台東区の町名でもある。","https://ja.wikipedia.org/wiki/上野恩賜公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度42分44秒東経139度46分16秒","日本東京都台東区上野公園","53.8ヘクタール","都市公園","","","","","","","","","有り","1873年10月19日","","","","東京国立博物館、国立西洋美術館、国立科学博物館、恩賜上野動物園他多数","","東京都東部公園緑地事務所"
"旧岩崎邸庭園","[28旧岩崎邸庭園都立歴史公園東京都台東区旧岩崎邸庭園] 旧岩崎邸庭園 （きゅういわさきていていえん）は、 東京都 台東区 池之端 一丁目にある 都立庭園 である。 三菱財閥 岩崎家 の茅町本邸だった建物とその庭園を公園として整備したもので、園内の歴史的建造物は、国の 重要文化財 に指定されている。","https://ja.wikipedia.org/wiki/旧岩崎邸庭園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度42分35秒東経139度46分4秒","東京都台東区池之端一丁目","16,912.88m2","都立庭園・重要文化財","東京都公園協会2011～2015年度指定管理者","旧岩崎邸庭園","","","","","","","","2001年10月1日","","","","旧岩崎家住宅（洋館、撞球室、和館）","","旧岩崎邸庭園サービスセンター"
"旧安田庭園","[29旧安田庭園区立歴史公園東京都墨田区旧安田庭園] 旧安田庭園 （きゅうやすだていえん）は、 東京都 墨田区 に所在する、潮入り 回遊式庭園 として整備された 大名庭園 である。","https://ja.wikipedia.org/wiki/旧安田庭園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度41分54.1秒 東経139度47分37.3秒","","","","","","","","","","","","","","","","","","",""
"下宅部遺跡はっけんのもり (存在しないページ)","[30下宅部遺跡はっけんのもり東京都東村山市下宅部遺跡]","https://ja.wikipedia.org/w/index.php?title=下宅部遺跡はっけんのもり&amp;action=edit&amp;redlink=1","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","","","","","","","","","","","","","","","","","","","",""
"三笠公園","[31三笠公園市立歴史公園神奈川県横須賀市戦艦「三笠」] 三笠公園 （みかさこうえん）は、 神奈川県 横須賀市 にある 都市公園 （歴史公園）である  。 横須賀新港 に面しており、 大日本帝国海軍 の 戦艦「三笠」 が保存・公開されている ","https://ja.wikipedia.org/wiki/三笠公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度17分6.7秒東経139度40分25.7秒","日本神奈川県横須賀市稲岡町","36,940m2","都市公園（歴史公園）","横須賀市(指定管理者:横須賀三笠・西武パートナーズ（西武造園、トライアングル、太陽造園共同事業体）","三笠公園管理事務所","","","","","","","あり（有料、3か所)","","","","","戦艦三笠、東郷平八郎銅像、噴水・壁泉、野外ステージ、芝生広場、アスレチック、すべり台、トイレなど","","三笠公園管理事務所（横須賀三笠・西武パートナーズ）"
"鎌倉海浜公園","[32鎌倉海浜公園稲村ガ崎地区市立総合公園神奈川県鎌倉市新田義貞徒渉伝説の地] 鎌倉海浜公園 は神奈川県 鎌倉市 にある都市公園（総合公園）である  。鎌倉市の南側にある 相模湾 に面している。","https://ja.wikipedia.org/wiki/鎌倉海浜公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度19分08秒 東経139度33分01秒","","","","","","","","","","","","","","","","","","",""
"小田原城址公園","[33小田原城址公園市立総合公園神奈川県小田原市小田原城] 小田原城址公園 （おだわらじょうしこうえん）は、 神奈川県 小田原市 城内に位置する 都市公園 （総合公園）である。 小田原城 の 本丸 及び 1960年 （昭和35年）に復興された 天守閣 を中心として整備されている。城址公園の大部分は、国の指定 史跡 の区域となっている。 日本さくら名所100選 に選定されている。","https://ja.wikipedia.org/wiki/小田原城址公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度15分2.7秒 東経139度9分17.2秒","日本神奈川県小田原市城内","11.1 ha","都市公園（総合公園）","小田原市","小田原市のサイト","","","","","","","","","","","","","",""
"恩賜箱根公園","[34恩賜箱根公園県立風致公園神奈川県箱根町函根離宮跡] 恩賜箱根公園 （おんしはこねこうえん）は、 神奈川県 足柄下郡 箱根町 元箱根 にある神奈川県立の 都市公園 （ 風致公園 ）。国の 登録記念物 。","https://ja.wikipedia.org/wiki/恩賜箱根公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度11分47秒東経139度1分33.3秒","日本神奈川県足柄下郡箱根町箱根、元箱根","15.9ha","都市公園（風致公園）","神奈川県（指定管理者：公益財団法人神奈川県公園協会・株式会社ランドフローラ）","神奈川県のサイト","","","","","","","123台","1946年（昭和21年）5月5日（都市公園として開園：1959年（昭和34年）4月28日）","","","","","",""
"新発田城址公園","[35新発田城址公園市立地区公園新潟県新発田市新発田城] 新発田城址公園 （しばたじょうしこうえん）は、 新潟県 新発田市 にある 公園 である。 日本の歴史公園100選 に指定されている。","https://ja.wikipedia.org/wiki/新発田城址公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","","日本新潟県新発田市大手町6－4","","","","施設案内：新発田城址公園（新発田市）","","","","","","","あり（無料）","","","","","","",""
"斐太史跡公園 (存在しないページ)","[36斐太史跡公園新潟県妙高市斐太遺跡群]","https://ja.wikipedia.org/w/index.php?title=斐太史跡公園&amp;action=edit&amp;redlink=1","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","","","","","","","","","","","","","","","","","","","",""
"高田城址公園","[37高田城址公園市立総合公園新潟県上越市高田城] 高田城址公園 （たかだじょうしこうえん）は、 新潟県 上越市 本城町にある 都市公園 （総合公園）  。 2020年 4月1日 に名称を 高田公園 （たかだこうえん）から改称した    。","https://ja.wikipedia.org/wiki/高田城址公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","","日本新潟県上越市本城町","48.1 ha","都市公園（総合公園）","上越市","高田城址公園","","","","","","","約530台","","","","","","",""
"富岩運河","[38富岩運河富山県富山市富岩運河関連施設] 富岩運河 （ふがんうんが）は、 神通川 下流の東岸に沿って位置し、 富山湾 の岩瀬港（富山市岩瀬）から 富山市 湊入船町までをつなぐ 運河 である。 富山県道30号富山港線 や 富山地方鉄道富山港線 とほぼ平行に流れている。","https://ja.wikipedia.org/wiki/富岩運河","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","","","","","","","","","","","","","","","","","","","",""
"富岩運河環水公園","[及び富岩運河環水公園県立総合公園] 富岩運河環水公園 （ふがんうんがかんすいこうえん）は、 富山県 富山市 湊入船町にある富山県立の 都市公園 （総合公園）である  。 通称 は 環水公園 。","https://ja.wikipedia.org/wiki/富岩運河環水公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯36度42分34秒東経137度12分48秒","日本富山県富山市湊入船町62-4","9.7ha","都市公園（総合公園）","富山県（指定管理者：公益財団法人富山県民福祉公園）","富岩運河環水公園","","","","","","","171台","1997年（平成9年）","","","","","","富岩運河環水公園パークセンター"
"高岡市","[39高岡古城公園市立総合公園富山県高岡市高岡城] 高岡市 （たかおかし）は、 富山県 北西部の 市 である   。県庁所在地である 富山市 に次ぐ富山県第2の都市で、県西部（呉西）の中心都市である。","https://ja.wikipedia.org/wiki/高岡市","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯36度45分14.6秒東経137度1分32.4秒","〒933-8601富山県高岡市広小路7番50号北緯36度45分14.6秒東経137度1分32.4秒﻿ / ﻿北緯36.754056度 東経137.025667度﻿ /36.754056; 137.025667座標:北緯36度45分14.6秒東経137度1分32.4秒﻿ / ﻿北緯36.754056度 東経137.025667度﻿ /36.754056; 137.025667","209.57km2","","","","公式ウェブサイト","9000020162027","日本","中部地方、北陸地方","165,405人（推計人口、2021年6月1日）","789人/km2","","","富山県","16202-7","氷見市、砺波市、小矢部市、射水市石川県：河北郡津幡町、羽咋郡宝達志水町","","高橋正樹",""
"兼六園","[38兼六園県立歴史公園石川県金沢市兼六園] 兼六園 （けんろくえん）は、 石川県 金沢市 に存在する 日本庭園 である。国の 特別名勝 に指定されている。広さは約11.7 ヘクタール 。","https://ja.wikipedia.org/wiki/兼六園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯36度33分43.7秒東経136度39分45.0秒","日本石川県金沢市","総面積 11.7ヘクタール","池泉回遊式日本庭園","","兼六園（石川県）","","","","","","","554台（兼六駐車場）","一般公開は1874年（明治7年）5月7日","","","","","","石川県金沢城・兼六園管理事務所"
"金沢城公園","[及び金沢城公園県立総合公園金沢城] 金沢城 （かなざわじょう）は、 加賀国 石川郡 尾山  （現・ 石川県 金沢市 丸の内）にあった 日本の城 である。 江戸時代 には 加賀藩 主 前田氏 の居城だった。城址は国の 史跡 に指定されており  、城址を含む一帯は 金沢城公園 （かなざわじょうこうえん）として整備されている。","https://ja.wikipedia.org/wiki/金沢城公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯36度33分51.54秒東経136度39分33.22秒","","","","","","","","","","","","","","","","","","",""
"卯辰山公園","[41卯辰山公園市立総合公園石川県金沢市春日窯・金沢出身の文豪文学碑] 卯辰山 （うたつやま）は、 石川県 金沢市 にある山である。 金沢城 から見て東（卯辰の方角）に位置することから名づけられた。宇多須山（うたすやま）、向山（むかいやま）、夢香山（むこうやま）、臥竜山（がりゅうざん）、春日山（かすがやま）等多数の別名がある。 日本の歴史公園100選 に選ばれている。","https://ja.wikipedia.org/wiki/卯辰山公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯36度34分23秒東経136度40分40秒","日本石川県金沢市","","","","","","","","","","","","","","","","","",""
