"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","標高","山系","種類","初登頂","最新噴火","最高峰","上位山系","山号","宗派","本尊","創建年","正式名","札所等","延長","幅","開基","寺格"
"摩周岳","[▲摩周岳] 摩周岳 （ましゅうだけ）は、 北海道 釧路総合振興局 弟子屈町 にある 標高 857 m の 山 。 カルデラ湖 である 摩周湖 の外輪山の最高峰で湖面標高は502m。","https://ja.wikipedia.org/wiki/摩周岳","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯43度34分20秒東経144度33分39秒","日本北海道川上郡弟子屈町","北緯43度34分20秒東経144度33分39秒﻿ / ﻿北緯43.57222度 東経144.56083度﻿ /43.57222; 144.56083座標:北緯43度34分20秒東経144度33分39秒﻿ / ﻿北緯43.57222度 東経144.56083度﻿ /43.57222; 144.56083","857m","","複成火山","","4,000年前以降","","","","","","","","","","","",""
"阿寒富士","[▲阿寒富士] 阿寒富士 （あかんふじ）は、美しい円錐状の山容を持つ 北海道 東部に位置する 活火山 。 標高 1,476m。 雌阿寒岳 （8つの小さな火山から構成される成層火山群）を構成する一火山である  。北海道 釧路総合振興局 白糠郡 白糠町 と 十勝総合振興局 足寄郡 足寄町 の境界に位置し、山腹の北東部が 釧路市 （旧 阿寒町 ）に属する。","https://ja.wikipedia.org/wiki/阿寒富士","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯43度22分26.6秒東経144度00分23.3秒","日本北海道釧路総合振興局白糠郡白糠町十勝総合振興局足寄郡足寄町","北緯43度22分26.6秒東経144度00分23.3秒﻿ / ﻿北緯43.374056度 東経144.006472度﻿ /43.374056; 144.006472座標:北緯43度22分26.6秒東経144度00分23.3秒﻿ / ﻿北緯43.374056度 東経144.006472度﻿ /43.374056; 144.006472","1,475.8m","","","","","","","","","","","","","","","",""
"雌阿寒岳","[▲雌阿寒岳] 雌阿寒岳 （めあかんだけ）は、 北海道 東部にある阿寒カルデラの南西部にある8つの火山で構成される成層火山群の総称  。主峰はポンマチネシリ（標高1,499m）  。 日本百名山 に選定されている  。","https://ja.wikipedia.org/wiki/雌阿寒岳","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯43度23分12秒東経144度00分32秒","日本北海道釧路総合振興局釧路市、十勝総合振興局足寄町","北緯43度23分12秒東経144度00分32秒﻿ / ﻿北緯43.38667度 東経144.00889度﻿ /43.38667; 144.00889座標:北緯43度23分12秒東経144度00分32秒﻿ / ﻿北緯43.38667度 東経144.00889度﻿ /43.38667; 144.00889","1,499m","","成層火山","","","","","","","","","","","","","",""
"雄阿寒岳","[▲雄阿寒岳] 雄阿寒岳 （おあかんだけ）は、 北海道 釧路市 阿寒町にある第四紀 火山 。","https://ja.wikipedia.org/wiki/雄阿寒岳","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯43度27分14.6秒東経144度9分40.3秒","日本北海道釧路市","北緯43度27分14.6秒東経144度9分40.3秒﻿ / ﻿北緯43.454056度 東経144.161194度﻿ /43.454056; 144.161194座標:北緯43度27分14.6秒東経144度9分40.3秒﻿ / ﻿北緯43.454056度 東経144.161194度﻿ /43.454056; 144.161194","1,370.5m","","成層火山・溶岩ドーム","","","","","","","","","","","","","",""
"天塩岳","[天塩岳] 天塩岳 （てしおだけ）は、 北海道 士別市 と 紋別郡 滝上町 にまたがる 標高 1,558mの 山 。","https://ja.wikipedia.org/wiki/天塩岳","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯43度57分51秒東経142度53分16秒","日本北海道士別市・紋別郡滝上町","北緯43度57分51秒東経142度53分16秒﻿ / ﻿北緯43.96417度 東経142.88778度﻿ /43.96417; 142.88778座標:北緯43度57分51秒東経142度53分16秒﻿ / ﻿北緯43.96417度 東経142.88778度﻿ /43.96417; 142.88778","1,557.6m","","","","","","","","","","","","","","","",""
"北鎮岳","[▲北鎮岳] 大雪山 （たいせつざん、だいせつざん）は、 北海道 中央部にある 旭岳 などの山々からなる巨大な山塊の名称  。大雪山系とも呼ばれ、一帯は 大雪山国立公園 に指定されている  。","https://ja.wikipedia.org/wiki/北鎮岳","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯43度39分48.9秒東経142度51分14.9秒","日本・北海道上川郡","北緯43度39分48.9秒東経142度51分14.9秒﻿ / ﻿北緯43.663583度 東経142.854139度﻿ /43.663583; 142.854139座標:北緯43度39分48.9秒東経142度51分14.9秒﻿ / ﻿北緯43.663583度 東経142.854139度﻿ /43.663583; 142.854139","旭岳：2,290.93m","石狩山地","複成火山","","","","","","","","","","","","","",""
"旭岳","[▲旭岳] 旭岳 （あさひだけ）は、 北海道 上川郡 東川町 にある 火山 である。 大雪山 連峰の主峰で 標高 2,291m。北海道最高峰。","https://ja.wikipedia.org/wiki/旭岳","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯43度39分48.9秒東経142度51分14.9秒","日本北海道上川郡東川町","北緯43度39分48.9秒東経142度51分14.9秒﻿ / ﻿北緯43.663583度 東経142.854139度﻿ /43.663583; 142.854139座標:北緯43度39分48.9秒東経142度51分14.9秒﻿ / ﻿北緯43.663583度 東経142.854139度﻿ /43.663583; 142.854139","2,290.93m","石狩山地（大雪山系）","成層火山","","","","","","","","","","","","","",""
"白雲岳","[▲白雲岳] 大雪山 （たいせつざん、だいせつざん）は、 北海道 中央部にある 旭岳 などの山々からなる巨大な山塊の名称  。大雪山系とも呼ばれ、一帯は 大雪山国立公園 に指定されている  。","https://ja.wikipedia.org/wiki/白雲岳","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯43度39分48.9秒東経142度51分14.9秒","日本・北海道上川郡","北緯43度39分48.9秒東経142度51分14.9秒﻿ / ﻿北緯43.663583度 東経142.854139度﻿ /43.663583; 142.854139座標:北緯43度39分48.9秒東経142度51分14.9秒﻿ / ﻿北緯43.663583度 東経142.854139度﻿ /43.663583; 142.854139","旭岳：2,290.93m","石狩山地","複成火山","","","","","","","","","","","","","",""
"黒岳 (北海道・大雪山)","[▲黒岳] 大雪山 （たいせつざん、だいせつざん）は、 北海道 中央部にある 旭岳 などの山々からなる巨大な山塊の名称  。大雪山系とも呼ばれ、一帯は 大雪山国立公園 に指定されている  。","https://ja.wikipedia.org/wiki/黒岳_(北海道・大雪山)","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯43度39分48.9秒東経142度51分14.9秒","日本・北海道上川郡","北緯43度39分48.9秒東経142度51分14.9秒﻿ / ﻿北緯43.663583度 東経142.854139度﻿ /43.663583; 142.854139座標:北緯43度39分48.9秒東経142度51分14.9秒﻿ / ﻿北緯43.663583度 東経142.854139度﻿ /43.663583; 142.854139","旭岳：2,290.93m","石狩山地","複成火山","","","","","","","","","","","","","",""
"忠別岳","[▲忠別岳] 忠別岳 （ちゅうべつだけ）は、 北海道 の 大雪山系 （表大雪）に位置し、 美瑛町 と 上川町 にまたがる 標高 1,963 m の 第四紀 火山 である。 大雪山国立公園 に属する。山頂には点名「忠別岳」の二等 三角点 が設置されている  。","https://ja.wikipedia.org/wiki/忠別岳","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯43度35分28秒東経142度53分40秒","日本北海道美瑛町、上川町","北緯43度35分28秒東経142度53分40秒﻿ / ﻿北緯43.59111度 東経142.89444度﻿ /43.59111; 142.89444座標:北緯43度35分28秒東経142度53分40秒﻿ / ﻿北緯43.59111度 東経142.89444度﻿ /43.59111; 142.89444","1,962.75m","大雪山系","","","","","","","","","","","","","","",""
"トムラウシ山","[▲トムラウシ山- 日本百名山] トムラウシ山 （富村牛山、富良牛山）は、 北海道 中央部、 上川管内 美瑛町 と 十勝管内 新得町 の境にそびえる 大雪山 系南部の 標高 2,141 m の 山 。「大雪の奥座敷」と称される。地元では昔から「カムイミンタラ」（神々の遊ぶ庭）として崇められてきた  。 日本百名山 に選定されている  。","https://ja.wikipedia.org/wiki/トムラウシ山","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯43度31分38秒東経142度50分56秒","日本北海道上川総合振興局上川郡美瑛町・十勝総合振興局上川郡新得町","北緯43度31分38秒東経142度50分56秒﻿ / ﻿北緯43.52722度 東経142.84889度﻿ /43.52722; 142.84889座標:北緯43度31分38秒東経142度50分56秒﻿ / ﻿北緯43.52722度 東経142.84889度﻿ /43.52722; 142.84889","2,141.19m","大雪山系（石狩山地）","成層火山","","","","","","","","","","","","","",""
"オプタテシケ山","[▲オプタテシケ山] オプタテシケ山 （オプタテシケやま）は 北海道 上川郡 美瑛町 と 新得町 の境界に位置する 標高 2,013mの山である   。 三等三角点 の名称は「 美瑛岳 」と記されている。","https://ja.wikipedia.org/wiki/オプタテシケ山","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯43度28分13秒東経142度45分05秒","日本北海道上川総合振興局上川郡美瑛町・十勝総合振興局上川郡新得町","北緯43度28分13秒東経142度45分05秒﻿ / ﻿北緯43.47028度 東経142.75139度﻿ /43.47028; 142.75139座標:北緯43度28分13秒東経142度45分05秒﻿ / ﻿北緯43.47028度 東経142.75139度﻿ /43.47028; 142.75139","2,012.48m","石狩山地（十勝岳連峰）","","","","","","","","","","","","","","",""
"富良野岳","[▲富良野岳] 富良野岳 （ふらのだけ）は、 石狩山地 の十勝岳連峰の南西部に位置し、 富良野市 と 上富良野町 にまたがる 標高 1,912 m の 山 である。山域は 大雪山国立公園 に指定されている  。","https://ja.wikipedia.org/wiki/富良野岳","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯43度23分37秒東経142度38分06秒","日本北海道上川総合振興局富良野市上川総合振興局上富良野町","北緯43度23分37秒東経142度38分06秒﻿ / ﻿北緯43.39361度 東経142.63500度﻿ /43.39361; 142.63500座標:北緯43度23分37秒東経142度38分06秒﻿ / ﻿北緯43.39361度 東経142.63500度﻿ /43.39361; 142.63500","1,911.90m","石狩山地（十勝岳連峰）","成層火山","","","","","","","","","","","","","",""
"美瑛岳","[▲美瑛岳] 美瑛岳 （びえいだけ）は、 北海道 上川郡 美瑛町 に位置する 標高 2,052 m の 火山 である。 大雪山国立公園 に属し、山頂には 二等三角点 （点名「帯経しけ」  ）がある。","https://ja.wikipedia.org/wiki/美瑛岳","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯43度26分23.8秒東経142度42分22.7秒","日本北海道上川郡美瑛町","北緯43度26分23.8秒東経142度42分22.7秒﻿ / ﻿北緯43.439944度 東経142.706306度﻿ /43.439944; 142.706306座標:北緯43度26分23.8秒東経142度42分22.7秒﻿ / ﻿北緯43.439944度 東経142.706306度﻿ /43.439944; 142.706306","2,052m","石狩山地（十勝岳連峰）","","","","","","","","","","","","","","",""
"十勝岳","[▲十勝岳- 日本百名山] 十勝岳 （とかちだけ）は、 北海道 の中央部の 上川管内 の 美瑛町 ・ 上富良野町 、 十勝管内 の 新得町 にまたがる 標高 2,077 m の 活火山 。 大雪山国立公園  内の 十勝岳連峰 （十勝火山群）の主峰である。 日本百名山  及び 花の百名山  に選定されている。","https://ja.wikipedia.org/wiki/十勝岳","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯43度25分05秒東経142度41分11秒","日本北海道上川総合振興局美瑛町・上富良野町、十勝総合振興局新得町","北緯43度25分05秒東経142度41分11秒﻿ / ﻿北緯43.41806度 東経142.68639度﻿ /43.41806; 142.68639座標:北緯43度25分05秒東経142度41分11秒﻿ / ﻿北緯43.41806度 東経142.68639度﻿ /43.41806; 142.68639","2,077m","石狩山地（十勝岳連峰）","成層火山・活火山（ランクＡ）・火山群","","","","","","","","","","","","","",""
"ニセイカウシュッペ山","[▲ニセイカウシュッペ山] ニセイカウシュッペ山 （ニセイカウシュッペやま）は、 北海道 上川郡 上川町 にある 標高 1,883 m の 火山 である。","https://ja.wikipedia.org/wiki/ニセイカウシュッペ山","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯43度46分48秒東経142度59分07秒","日本北海道上川郡上川町","北緯43度46分48秒東経142度59分07秒﻿ / ﻿北緯43.78000度 東経142.98528度﻿ /43.78000; 142.98528座標:北緯43度46分48秒東経142度59分07秒﻿ / ﻿北緯43.78000度 東経142.98528度﻿ /43.78000; 142.98528","1,883m","石狩山地、北大雪火山群","成層火山","","","","","","","","","","","","","",""
"武利岳 (存在しないページ)","[武利岳]","https://ja.wikipedia.org/w/index.php?title=武利岳&amp;action=edit&amp;redlink=1","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"三国山 (石狩山地)","[三国山] 三国山 （みくにやま）は、 北海道 北見市 と 上川郡 上川町 と 河東郡 上士幌町 の境界にある 標高 1,541mの山。 大雪山系 の東部に位置し  、 石狩山地 に属する。","https://ja.wikipedia.org/wiki/三国山_(石狩山地)","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯43度35分43秒東経143度08分47秒","日本北海道北見市・上川郡上川町・河東郡上士幌町","北緯43度35分43秒東経143度08分47秒﻿ / ﻿北緯43.59528度 東経143.14639度﻿ /43.59528; 143.14639座標:北緯43度35分43秒東経143度08分47秒﻿ / ﻿北緯43.59528度 東経143.14639度﻿ /43.59528; 143.14639","1541.4m","石狩山地","","","","","","","","","","","","","","",""
"北見富士 (存在しないページ)","[北見富士]","https://ja.wikipedia.org/w/index.php?title=北見富士&amp;action=edit&amp;redlink=1","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"東三国山 (存在しないページ)","[▲東三国山]","https://ja.wikipedia.org/w/index.php?title=東三国山&amp;action=edit&amp;redlink=1","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"喜登牛山 (存在しないページ)","[▲喜登牛山]","https://ja.wikipedia.org/w/index.php?title=喜登牛山&amp;action=edit&amp;redlink=1","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"西クマネシリ岳 (存在しないページ)","[▲西クマネシリ岳]","https://ja.wikipedia.org/w/index.php?title=西クマネシリ岳&amp;action=edit&amp;redlink=1","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"石狩岳","[石狩岳] 石狩岳 （いしかりだけ）は、 北海道 中央部、 石狩山地 にある 標高 1,967 m の 山 。山頂は 上川町 （ 石狩国 ）と 上士幌町 （ 十勝国 ）の境にある。名称は 石狩川 の水源であることから付けられた。 大雪山国立公園 に属している  。","https://ja.wikipedia.org/wiki/石狩岳","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯43度32分48秒東経143度01分20秒","日本北海道上川郡上川町河東郡上士幌町","北緯43度32分48秒東経143度01分20秒﻿ / ﻿北緯43.54667度 東経143.02222度﻿ /43.54667; 143.02222座標:北緯43度32分48秒東経143度01分20秒﻿ / ﻿北緯43.54667度 東経143.02222度﻿ /43.54667; 143.02222","1,967m","石狩山地","褶曲山脈","松本十郎（1876年）","","","","","","","","","","","","",""
"ニペソツ山","[▲ニペソツ山] ニペソツ山 （ニペソツやま）は、 北海道 の 東大雪 にある 標高 2,013 m の 山 。 北海道 十勝総合振興局 管内 新得町 と 上士幌町 の境にあり、標高2,000mを超える山としては国内で最も東に位置する。 日本二百名山 に選定されている。","https://ja.wikipedia.org/wiki/ニペソツ山","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯43度27分21秒東経143度01分56秒","北海道十勝総合振興局上川郡新得町河東郡上士幌町","北緯43度27分21秒東経143度01分56秒﻿ / ﻿北緯43.45583度 東経143.03222度﻿ /43.45583; 143.03222座標:北緯43度27分21秒東経143度01分56秒﻿ / ﻿北緯43.45583度 東経143.03222度﻿ /43.45583; 143.03222","2,012.88m","石狩山地","成層火山","","","","","","","","","","","","","",""
"丸山 (北海道十勝支庁)","[▲丸山] 丸山 （まるやま）は、 北海道 新得町 、 上士幌町 にまたがる 第四紀 火山 である。 標高 は1,692.1m。 活火山 に指定されている。1990年代まで火山の存在自体が知られていなかった。","https://ja.wikipedia.org/wiki/丸山_(北海道十勝支庁)","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯43度25分2.8秒東経143度1分51.5秒","日本北海道上川郡新得町・河東郡上士幌町","北緯43度25分2.8秒東経143度1分51.5秒﻿ / ﻿北緯43.417444度 東経143.030972度﻿ /43.417444; 143.030972座標:北緯43度25分2.8秒東経143度1分51.5秒﻿ / ﻿北緯43.417444度 東経143.030972度﻿ /43.417444; 143.030972","1,692.1m","ニペソツ火山群","","","1898年12月3日から（3日間）","","","","","","","","","","","",""
"ウペペサンケ山","[▲ウペペサンケ山] ウペペサンケ山 （ウペペサンケやま）は、 北海道 の 東大雪 南部にあり、 河東郡 鹿追町 と 上士幌町 とにまたがる 標高 1,848 mの 火山 である。","https://ja.wikipedia.org/wiki/ウペペサンケ山","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯43度23分22秒東経143度04分55秒","日本北海道十勝総合振興局河東郡鹿追町・河東郡上士幌町","北緯43度23分22秒東経143度04分55秒﻿ / ﻿北緯43.38944度 東経143.08194度﻿ /43.38944; 143.08194座標:北緯43度23分22秒東経143度04分55秒﻿ / ﻿北緯43.38944度 東経143.08194度﻿ /43.38944; 143.08194","1,848m","石狩山地","成層火山","","","","","","","","","","","","","",""
"神威岳 (赤平市・歌志内市)","[神威岳] 神威岳 （ かもいだけ 、 かむいだけ とも）は、 北海道 赤平市 から 歌志内市 に跨る 山 である。歌志内市の市街地北部に位置し、東は赤平山と接する。 標高 467.4m。","https://ja.wikipedia.org/wiki/神威岳_(赤平市・歌志内市)","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯43度31分12秒東経142度00分16秒","日本北海道赤平市歌志内市","北緯43度31分12秒東経142度00分16秒﻿ / ﻿北緯43.52000度 東経142.00444度﻿ /43.52000; 142.00444座標:北緯43度31分12秒東経142度00分16秒﻿ / ﻿北緯43.52000度 東経142.00444度﻿ /43.52000; 142.00444","467.4m","","","","","","","","","","","","","","","",""
"美唄山 (存在しないページ)","[美唄山]","https://ja.wikipedia.org/w/index.php?title=美唄山&amp;action=edit&amp;redlink=1","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"富良野西岳 (存在しないページ)","[富良野西岳]","https://ja.wikipedia.org/w/index.php?title=富良野西岳&amp;action=edit&amp;redlink=1","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"布部岳 (存在しないページ)","[布部岳]","https://ja.wikipedia.org/w/index.php?title=布部岳&amp;action=edit&amp;redlink=1","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"中天狗 (存在しないページ)","[中天狗]","https://ja.wikipedia.org/w/index.php?title=中天狗&amp;action=edit&amp;redlink=1","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
