"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","標高","山系","面積","駐車場","分類","運営者","公式サイト","種類","開園","事務所所在地","水系","事務所","アクセス","落差","備考","所在海域","最高標高"
"宮城県県民の森 (存在しないページ)","[宮城県県民の森（宮城県仙台市、利府町）]","https://ja.wikipedia.org/w/index.php?title=宮城県県民の森&amp;action=edit&amp;redlink=1","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"八幡平","[八幡平（秋田県鹿角市）] 八幡平 （はちまんたい）は、 秋田県 と 岩手県 にまたがる 標高 1,614 m の山及びその周囲の高原台地  。 深田久弥 の 日本百名山 に挙げられている   。山域は 1956年 （昭和31年）に 十和田八幡平国立公園 に指定されている。","https://ja.wikipedia.org/wiki/八幡平","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","北緯39度57分28秒東経140度51分15秒","日本岩手県八幡平市秋田県仙北市・鹿角市","北緯39度57分28秒東経140度51分15秒﻿ / ﻿北緯39.95778度 東経140.85417度﻿ /39.95778; 140.85417座標:北緯39度57分28秒東経140度51分15秒﻿ / ﻿北緯39.95778度 東経140.85417度﻿ /39.95778; 140.85417","1,613.50m","奥羽山脈","","","","","","成層火山","","","","","","","","",""
"風の松原","[能代海岸風の松原（秋田県能代市）] 風の松原 （かぜのまつばら）とは、 秋田県 能代市 の 海岸 に面した約700万本の クロマツ による 防砂林 のことである。760 ha の全域が 保安林 に指定されている。林内には、 サイクリング コースや ジョギング コースが設けられ、市民の憩いの場にもなっている。","https://ja.wikipedia.org/wiki/風の松原","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"羽黒山 (山形県)","[羽黒山・参道の杉並木 （山形県鶴岡市）] 羽黒山 （はぐろさん）は、 山形県 鶴岡市 にある 標高 414mの 山 。 出羽三山 の主峰である 月山 の北西山麓に位置する 丘陵 で、 独立峰 ではない。 修験道 を中心とした 山岳信仰 の山として知られる。","https://ja.wikipedia.org/wiki/羽黒山_(山形県)","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","北緯38度42分9.28秒東経139度58分54.75秒","日本山形県鶴岡市","北緯38度42分9.28秒東経139度58分54.75秒﻿ / ﻿北緯38.7025778度 東経139.9818750度﻿ /38.7025778; 139.9818750座標:北緯38度42分9.28秒東経139度58分54.75秒﻿ / ﻿北緯38.7025778度 東経139.9818750度﻿ /38.7025778; 139.9818750","414m","出羽山地","","","","","","","","","","","","","","",""
"高館山","[高館山自然休養林 （山形県鶴岡市）] 高館山 （たかだてやま）は、 山形県 鶴岡市 大山字城山331にある 標高 273.2mの 山 である。","https://ja.wikipedia.org/wiki/高館山","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","北緯38度45分47秒東経139度44分51秒","日本山形県鶴岡市","北緯38度45分47秒東経139度44分51秒﻿ / ﻿北緯38.76306度 東経139.74750度﻿ /38.76306; 139.74750座標:北緯38度45分47秒東経139度44分51秒﻿ / ﻿北緯38.76306度 東経139.74750度﻿ /38.76306; 139.74750","273.2m","","","","","","","","","","","","","","","",""
"背炙山","[背あぶり山（会津東山自然休養林） （福島県会津若松市）] 背炙山 （せあぶりやま）は、 福島県 会津若松市 にある標高863mの 山 である。","https://ja.wikipedia.org/wiki/背炙山","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","北緯37度28分22秒東経139度59分27秒","日本福島県会津若松市","北緯37度28分22秒東経139度59分27秒﻿ / ﻿北緯37.47278度 東経139.99083度﻿ /37.47278; 139.99083座標:北緯37度28分22秒東経139度59分27秒﻿ / ﻿北緯37.47278度 東経139.99083度﻿ /37.47278; 139.99083","863m","","","","","","","","","","","","","","","",""
"阿武隈川","[阿武隈川源流の原生林 （福島県西白河郡西郷村）] 阿武隈川 （あぶくまがわ）は、 福島県 および 宮城県 を流れる阿武隈川 水系 の本流で、 一級河川  である。水系としての流路延長239 km は、 東北地方 で 北上川 に次ぐ長さの川である。","https://ja.wikipedia.org/wiki/阿武隈川","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","北緯38度02分47秒東経140度55分20秒","","","","","","","","","","","","","一級水系阿武隈川","","","","","",""
"奥久慈憩いの森 (存在しないページ)","[奥久慈憩いの森（茨城県久慈郡大子町）]","https://ja.wikipedia.org/w/index.php?title=奥久慈憩いの森&amp;action=edit&amp;redlink=1","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大洗の松林 (存在しないページ)","[大洗の松林（茨城県東茨城郡大洗町）]","https://ja.wikipedia.org/w/index.php?title=大洗の松林&amp;action=edit&amp;redlink=1","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大沼の森 (存在しないページ)","[大沼の森（栃木県那須塩原市）]","https://ja.wikipedia.org/w/index.php?title=大沼の森&amp;action=edit&amp;redlink=1","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"釈迦ヶ岳 (栃木県)","[釈迦ヶ岳の栃木県県民の森（栃木県矢板市）] 高原山 （たかはらやま、たかはらさん）は、 栃木県 日光市 と同 塩谷郡 塩谷町 、 那須塩原市 、 矢板市 にまたがる 山 である。特に主峰 鶏頂山 、釈迦ヶ岳、中岳、西平岳の山頂部は日光市と塩谷町に在り、東北部の裾野である 八方ヶ原 も含め、その山体は 日光国立公園 に在る。 日本三百名山 の一つに選定されている。","https://ja.wikipedia.org/wiki/釈迦ヶ岳_(栃木県)","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","北緯36度54分0秒東経139度46分36秒","栃木県日光市、塩谷郡塩谷町","北緯36度54分0秒東経139度46分36秒﻿ / ﻿北緯36.90000度 東経139.77667度﻿ /36.90000; 139.77667座標:北緯36度54分0秒東経139度46分36秒﻿ / ﻿北緯36.90000度 東経139.77667度﻿ /36.90000; 139.77667","釈迦ヶ岳 1,794.9m","","","","","","","成層火山（活火山ランクC）","","","","","","","","",""
"桐生川","[桐生川源流林 （群馬県桐生市）] 桐生川 （きりゅうがわ）は、主に 群馬県 桐生市 を流れる 利根川 水系 渡良瀬川 支流の 一級河川 である。","https://ja.wikipedia.org/wiki/桐生川","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","","","","","","","","","","","","","一級水系利根川","","","","","",""
"武尊自然休養林 (存在しないページ)","[武尊自然休養林（群馬県利根郡片品村）]","https://ja.wikipedia.org/w/index.php?title=武尊自然休養林&amp;action=edit&amp;redlink=1","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"埼玉県県民の森","[埼玉県県民の森（埼玉県秩父郡横瀬町）] 埼玉県県民の森 （さいたまけんけんみんのもり）は、 埼玉県 秩父郡 横瀬町 にある埼玉県営の 森林公園 （ 県民の森 ）。埼玉県県民の森条例に基づき、県民の 森林 に対する理解の促進、 健康増進 などを目的に設置されている。 1986年 に 森林浴の森100選 に選定された。","https://ja.wikipedia.org/wiki/埼玉県県民の森","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"両神国民休養地 (存在しないページ)","[両神国民休養地（埼玉県秩父郡小鹿野町）]","https://ja.wikipedia.org/w/index.php?title=両神国民休養地&amp;action=edit&amp;redlink=1","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"千葉県立館山野鳥の森","[館山野鳥の森（千葉県館山市）] 座標 : .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap} 北緯34度55分11.42秒 東経139度50分7.88秒 ﻿ / ﻿ 北緯34.9198389度 東経139.8355222度 ﻿ / 34.9198389; 139.8355222 千葉県立館山野鳥の森 （ちばけんりつたてやまやちょうのもり）は、 千葉県 館山市 大神宮にある 県立 の 県民の森 。主に 野鳥 と触れ合うことのできる施設。","https://ja.wikipedia.org/wiki/千葉県立館山野鳥の森","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"鹿野山","[鹿野山（千葉県富津市、君津市）] 鹿野山 （かのうざん）は、 千葉県 君津市 にある 山 。","https://ja.wikipedia.org/wiki/鹿野山","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","北緯35度15分20秒東経139度58分18秒","日本千葉県君津市","北緯35度15分20秒東経139度58分18秒﻿ / ﻿北緯35.25556度 東経139.97167度﻿ /35.25556; 139.97167","379m","房総丘陵","","","","","","","","","","","","","","",""
"高尾山","[高尾山（東京都八王子市）] 高尾山 （たかおさん  ）は、 東京都 八王子市 にある 標高 599 メートル （m）の 山 。 明治の森高尾国定公園 及び 東京都立高尾陣場自然公園 に位置  。東京 都心 から近く、年間を通じて多くの 観光 客や 登山 者が訪れる。古くから 修験道 の 霊山 とされた。","https://ja.wikipedia.org/wiki/高尾山","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","北緯35度37分31秒東経139度14分37秒","日本東京都八王子市高尾町","北緯35度37分31秒東経139度14分37秒﻿ / ﻿北緯35.62528度 東経139.24361度﻿ /35.62528; 139.24361座標:北緯35度37分31秒東経139度14分37秒﻿ / ﻿北緯35.62528度 東経139.24361度﻿ /35.62528; 139.24361","599.3m","関東山地（秩父山地）","","","","","","","","","","","","","","",""
"明治神宮","[明治神宮の森 （東京都渋谷区）] 明治神宮 （めいじじんぐう）は、 東京都 渋谷区 にある 神社 。 旧社格 は官幣大社で、 勅祭社 。","https://ja.wikipedia.org/wiki/明治神宮","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","北緯35度40分34秒東経139度41分57秒","東京都渋谷区代々木神園町1番1号","北緯35度40分34秒東経139度41分57秒﻿ / ﻿北緯35.67611度 東経139.69917度﻿ /35.67611; 139.69917﻿ (明治神宮)座標:北緯35度40分34秒東経139度41分57秒﻿ / ﻿北緯35.67611度 東経139.69917度﻿ /35.67611; 139.69917﻿ (明治神宮)","","","","","","","","","","","","","","","","",""
"御岳山 (東京都)","[御岳山（東京都青梅市）] 御岳山 （みたけさん）は、 東京都 青梅市 にある 標高 929mの 山 である。 武蔵御岳山 とも呼ばれる。古くから 山岳信仰 の対象となっており、山上には 武蔵御嶽神社 が建立されている。","https://ja.wikipedia.org/wiki/御岳山_(東京都)","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","北緯35度46分58.3秒東経139度8分58.2秒","日本東京都青梅市","北緯35度46分58.3秒東経139度8分58.2秒﻿ / ﻿北緯35.782861度 東経139.149500度﻿ /35.782861; 139.149500座標:北緯35度46分58.3秒東経139度8分58.2秒﻿ / ﻿北緯35.782861度 東経139.149500度﻿ /35.782861; 139.149500","929m","奥多摩","","","","","","","","","","","","","","",""
"相模湖","[藤野(相模湖)の雑木林 （神奈川県相模原市）] 相模湖 （さがみこ）は、 神奈川県 相模原市 緑区 にある 湖 。 相模川 を 相模ダム によってせき止めて作られた人造湖である。命名者は 内山岩太郎 元神奈川県知事。","https://ja.wikipedia.org/wiki/相模湖","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","北緯35度36分43秒東経139度11分03秒","日本神奈川県相模原市緑区","北緯35度36分43秒東経139度11分03秒﻿ / ﻿北緯35.61194度 東経139.18417度﻿ /35.61194; 139.18417座標:北緯35度36分43秒東経139度11分03秒﻿ / ﻿北緯35.61194度 東経139.18417度﻿ /35.61194; 139.18417","","","","","","","","","","","","","","","","",""
"真鶴岬","[真鶴岬（神奈川県足柄下郡真鶴町）] 真鶴岬 （まなづるみさき）は、 神奈川県 足柄下郡 真鶴町 にある 岬 である。神奈川県南西部、 真鶴半島 先端に位置し、 相模灘 に向けて突き出す。当地と 三浦半島 南端沖に浮かぶ 城ヶ島 の長津呂崎を結ぶ線より北側の海域が 相模湾 と呼ばれ、この線より南側の海域は 相模灘 と呼ばれている。 神奈川県立真鶴半島自然公園 に指定され、付近の森林は 森林浴の森100選 、沿岸部は 日本の重要湿地500 に指定されている。 また、真鶴岬の先端を 三ツ石 と呼んでおり、「真鶴岬と三ツ石」が かながわの景勝50選 に指定されている。","https://ja.wikipedia.org/wiki/真鶴岬","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"西丹沢神奈川県県民の森 (存在しないページ)","[西丹沢神奈川県県民の森（神奈川県足柄上郡山北町）]","https://ja.wikipedia.org/w/index.php?title=西丹沢神奈川県県民の森&amp;action=edit&amp;redlink=1","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"五頭新潟県県民の森 (存在しないページ)","[五頭新潟県県民の森（新潟県阿賀野市、東蒲原郡阿賀町）]","https://ja.wikipedia.org/w/index.php?title=五頭新潟県県民の森&amp;action=edit&amp;redlink=1","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"彌彦神社","[弥彦神社社叢 （新潟県東蒲原郡弥彦村）] 彌彦神社 （いやひこじんじゃ、常用漢字体： 弥彦神社 ）は、 新潟県 西蒲原郡 弥彦村 弥彦にある 神社 。 式内社 （ 名神大社 ）、 越後国 一宮 。 旧社格 は 国幣中社 で、現在は 神社本庁 の 別表神社 。","https://ja.wikipedia.org/wiki/彌彦神社","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","北緯37度42分24.1秒東経138度49分33.6秒","新潟県西蒲原郡弥彦村大字弥彦2887番地2","北緯37度42分24.1秒東経138度49分33.6秒﻿ / ﻿北緯37.706694度 東経138.826000度﻿ /37.706694; 138.826000﻿ (彌彦神社)座標:北緯37度42分24.1秒東経138度49分33.6秒﻿ / ﻿北緯37.706694度 東経138.826000度﻿ /37.706694; 138.826000﻿ (彌彦神社)","","","","","","","","","","","","","","","","",""
"県民公園頼成の森","[県民公園頼成の森（富山県砺波市）] 県民公園頼成の森 （けんみんこうえんらんじょうのもり）は、 富山県 砺波市 にある 森林公園 である。","https://ja.wikipedia.org/wiki/県民公園頼成の森","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","北緯36度37分55秒東経137度2分27秒","日本富山県砺波市","","","","115ヘクタール","約800台（無料）","自然風致公園・森林公園","","県民公園頼成の森","","","富山県砺波市頼成156","","森林科学館内","北陸自動車道富山西インターチェンジから車で約20分砺波インターチェンジから車で約20分JR城端線砺波駅からバスで「頼成山」下車徒歩5分","","","",""
"立山美女平・ブナ坂・下の小平 (存在しないページ)","[立山美女平・ブナ坂・下の小平（富山県中新川郡立山町）]","https://ja.wikipedia.org/w/index.php?title=立山美女平・ブナ坂・下の小平&amp;action=edit&amp;redlink=1","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"鉢伏山 (石川県) (存在しないページ)","[鉢伏山（石川県鳳至郡柳田村）]","https://ja.wikipedia.org/w/index.php?title=鉢伏山_(石川県)&amp;action=edit&amp;redlink=1","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"石川県県民の森 (存在しないページ)","[石川県県民の森（石川県加賀市）]","https://ja.wikipedia.org/w/index.php?title=石川県県民の森&amp;action=edit&amp;redlink=1","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"九頭竜国民休養地 (存在しないページ)","[九頭竜国民休養地（福井県大野市）]","https://ja.wikipedia.org/w/index.php?title=九頭竜国民休養地&amp;action=edit&amp;redlink=1","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"八ヶ峰家族旅行村 (存在しないページ)","[八ヶ峰家族旅行村（福井県大飯郡おおい町）]","https://ja.wikipedia.org/w/index.php?title=八ヶ峰家族旅行村&amp;action=edit&amp;redlink=1","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"青木ヶ原樹海","[青木ヶ原樹海（山梨県南都留郡富士河口湖町、鳴沢村）] この記事には 複数の問題があります 。 改善 や ノートページ での議論にご協力ください。","https://ja.wikipedia.org/wiki/青木ヶ原樹海","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"西沢渓谷歩道 (存在しないページ)","[西沢渓谷歩道（山梨県山梨市）]","https://ja.wikipedia.org/w/index.php?title=西沢渓谷歩道&amp;action=edit&amp;redlink=1","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"赤沢自然休養林","[赤沢自然休養林（長野県木曽郡上松町）] 赤沢自然休養林 （あかさわしぜんきゅうようりん）は、 長野県 木曽郡 上松町 にある 林野庁 中部森林管理局 管轄の 国有林 であり、それに付随する公園地の名称である。 赤沢美林 ともいう。樹齢300年を超える木曽 ヒノキ の天然林があり、 2001年 （平成13年）に 環境省 の かおり風景100選 に、 2006年 （平成18年）に林野庁の 森林セラピー 基地に指定されている。現在、平均利用者数は年間10万人。","https://ja.wikipedia.org/wiki/赤沢自然休養林","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"角間渓谷 (存在しないページ)","[角間渓谷（長野県上田市、東御市）]","https://ja.wikipedia.org/w/index.php?title=角間渓谷&amp;action=edit&amp;redlink=1","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"城山公園 (岐阜県)","[城山公園（岐阜県高山市）] 城山公園 （しろやまこうえん）は 岐阜県 高山市 にある 公園 。","https://ja.wikipedia.org/wiki/城山公園_(岐阜県)","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","北緯36度8分13.29秒東経137度15分49.83秒","日本岐阜県高山市城山","","","","24.29ha","あり（20台）","総合公園","一般財団法人高山市施設振興公社（指定管理者）","城山公園（高山市HP）","","","","","","高山駅より徒歩30分","","","",""
"付知峡","[付知峡（岐阜県中津川市）] 付知峡 （つけちきょう）は、 岐阜県 中津川市 付知町 にある 峡谷 。","https://ja.wikipedia.org/wiki/付知峡","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"富士山","[富士山自然休養林 （静岡県富士宮市、富士市、裾野市、御殿場市）] 富士山 （ふじさん、 英語 : Mount Fuji ）は、 山梨県 （ 富士吉田市 、 南都留郡 鳴沢村 ）と、 静岡県 （ 富士宮市 、 裾野市 、 富士市 、 御殿場市 、 駿東郡 小山町 ）に跨る 活火山 である  。 標高 3776.12 m 、 日本最高峰 （ 剣ヶ峰 ）  の 独立峰 で、その優美な風貌は日本国外でも 日本 の 象徴 として広く知られている。数多くの芸術作品の題材とされ芸術面のみならず、気候や地層など地質学的にも社会的に大きな影響を与えている。懸垂曲線の山容を有した玄武岩質成層火山で構成され、その山体は 駿河湾 の海岸まで及ぶ。","https://ja.wikipedia.org/wiki/富士山","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","北緯35度21分45秒東経138度43分50秒","日本静岡県富士宮市裾野市富士市御殿場市駿東郡小山町山梨県富士吉田市南都留郡鳴沢村","北緯35度21分45秒東経138度43分50秒﻿ / ﻿北緯35.3625度 東経138.7306度﻿ /35.3625; 138.7306座標:北緯35度21分45秒東経138度43分50秒﻿ / ﻿北緯35.3625度 東経138.7306度﻿ /35.3625; 138.7306","3,776.12m","独立峰","","","","","","成層火山・活火山ランクB・常時観測火山","","","","","","","","",""
"天城山","[天城山自然休養林 （静岡県伊豆市、賀茂郡河津町、東伊豆町）] 天城山 （あまぎさん）は、 静岡県 の 伊豆半島 中央部の東西に広がる山。天城山は連山の総称で、 天城連山 や 天城山脈 と称されることもある。 日本百名山 の一つ。","https://ja.wikipedia.org/wiki/天城山","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","北緯34度51分46秒東経139度00分06秒","静岡県伊豆市・伊東市・賀茂郡東伊豆町・賀茂郡河津町","北緯34度51分46秒東経139度00分06秒﻿ / ﻿北緯34.86278度 東経139.00167度﻿ /34.86278; 139.00167﻿ (万三郎岳)座標:北緯34度51分46秒東経139度00分06秒﻿ / ﻿北緯34.86278度 東経139.00167度﻿ /34.86278; 139.00167﻿ (万三郎岳)","万三郎岳 1,406m","伊豆半島","","","","","","成層火山","","","","","","","","",""
"昭和の森 (豊田市)","[昭和の森（愛知県豊田市）] 昭和の森 （しょうわのもり）は、 愛知県 豊田市 西中山町にある 公園 である。愛知県緑化センターに隣接している。","https://ja.wikipedia.org/wiki/昭和の森_(豊田市)","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","北緯35度10分0.48秒東経137度11分53.25秒","日本愛知県豊田市西中山町長根1-1","","","","206.7ha","164台","","公益財団法人愛知公園協会","愛知県緑化センター・昭和の森","","1981年4月","愛知県豊田市西中山町猿田21-1","","愛知県緑化センター","","","","",""
