"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","面積","分類","設備・遊具","駐車場","告示","運営者","公式サイト","アクセス","事務所","バリアフリー","事務所所在地","開園","備考","前身","設計者","現況","年来園者数","正式名称"
"下手稲公園","[下手稲公園] 下手稲公園 （しもていねこうえん/Shimo-teine Park）は、 北海道 札幌市 手稲区 前田 5条13丁目にある 近隣公園 。","https://ja.wikipedia.org/wiki/下手稲公園","Category:札幌市の公園","https://ja.wikipedia.org/wiki/Category:札幌市の公園","箇条書き,制限あり","","日本札幌市手稲区前田5条13丁目","16,340m2","近隣公園","野球場、テニスコート、ゲートボール場、スキー山、シーソー、ターザンロープ、コンビネーション遊具、スプリング遊具、砂場、エントランス広場、あずまや、トイレ、パーゴラ","無","1991年（平成3年）3月31日","","","","","車椅子用水飲台","","","","","","","",""
"十五島公園","[十五島公園] 十五島公園 （じゅうごしまこうえん）は、 札幌市 南区 藤野 108地先  にある 公園 。札幌市を流れる 豊平川 流域近くにある。 石山 地区よりは、上流であるが、 定山渓 よりは下流に位置する。","https://ja.wikipedia.org/wiki/十五島公園","Category:札幌市の公園","https://ja.wikipedia.org/wiki/Category:札幌市の公園","箇条書き,制限あり","北緯42度57分57.5秒東経141度18分3秒","日本北海道札幌市南区藤野108地先","24,258 m2","都市公園 > 近隣公園","あずまや・時計塔・炊事広場","","1976年（昭和51年）3月31日","","","","","","","","","","","","",""
"創成川公園","[創成川公園] 創成川公園 （そうせいがわこうえん）は、 札幌市 中央区 にある 公園 。全長820 m  。","https://ja.wikipedia.org/wiki/創成川公園","Category:札幌市の公園","https://ja.wikipedia.org/wiki/Category:札幌市の公園","箇条書き,制限あり","北緯43度03分29秒東経141度21分29秒","札幌市中央区北1条西1丁目、大通西1丁目、南1条～南4条西1丁目","18,245 m²","特殊公園","園路、アートワーク、広場、トイレ","","","札幌市公園緑化協会","創成川公園","","創成川公園管理事務所","","","2011年4月1日","","","","","",""
"大学村の森","[大学村の森] 大学村の森 （だいがくむらのもり）は、 北海道 札幌市 東区 北28条東4丁目に所在する緑地。住宅街の中に残された小さな森で、 ハンノキ や ハルニレ が繁り、ゴムチップ舗装が施された散策路がめぐらされている  。","https://ja.wikipedia.org/wiki/大学村の森","Category:札幌市の公園","https://ja.wikipedia.org/wiki/Category:札幌市の公園","箇条書き,制限あり","北緯43度05分49秒東経141度21分14.6秒","日本北海道札幌市東区北28条東4丁目","18265m2","都市緑地","コンビネーション遊具、ローラーすべり台、スプリング遊具","なし","","","","","","","","","","札幌農学校第3農場","","","",""
"滝野すずらん丘陵公園","[滝野すずらん丘陵公園] 滝野すずらん丘陵公園 （たきのすずらんきゅうりょうこうえん）は、 北海道 札幌市 南区 にある 公園 。 北海道 唯一の 国営公園 。","https://ja.wikipedia.org/wiki/滝野すずらん丘陵公園","Category:札幌市の公園","https://ja.wikipedia.org/wiki/Category:札幌市の公園","箇条書き,制限あり","北緯42度54分49秒東経141度23分13秒","日本札幌市南区滝野","395.7ヘクタール","国営公園","園路、散策路、庭園、森林、遊具、展望台、天文台、オートキャンプ場、パークゴルフ場、スキー場、野外教育施設、ビジターセンター","渓流口駐車場150台中央口駐車場960台東口駐車場610台鱒見口駐車場160台（冬季閉鎖）滝野の森駐車場150台南駐車場180台","計画決定：昭和53年1月17日北海道告示第99号","国土交通省","国営滝野すずらん丘陵公園オフィシャルウェブサイト","札幌市営地下鉄南北線真駒内駅から北海道中央バス（西岡営業所）で約32分札幌市営地下鉄東豊線福住駅（福住バスターミナル）から北海道中央バス（大曲営業所）で約50分（4月～11月の土日祝と夏季のみ）","札幌市公園緑化協会共同体滝野管理センター","AED（自動体外式除細動器）電動車椅子多目的トイレ","札幌市南区滝野247番地","1983年7月30日（一部開園）2010年5月22日（全面開園）","","","","","57万6231人（2014年度）",""
"月寒公園","[月寒公園] 月寒公園 （つきさむこうえん）は、 札幌市 豊平区 にある 都市公園 。","https://ja.wikipedia.org/wiki/月寒公園","Category:札幌市の公園","https://ja.wikipedia.org/wiki/Category:札幌市の公園","箇条書き,制限あり","北緯43度01分56秒東経141度23分09秒","日本札幌市豊平区美園10～12条7、8丁目、月寒西2、3条4丁目","21.7ヘクタール","総合公園","野球場、テニスコート、パークゴルフ場、池、遊具、広場、森林","坂下駐車場40台高台駐車場83台身障者専用駐車場3台","都市計画決定：昭和37年3月14日建設省告示第555号","札幌市公園緑化協会（指定管理者）","月寒公園","札幌市営地下鉄東豊線美園駅から坂下駐車場まで徒歩約5分、月寒中央駅からこどもひろばまで徒歩約9分札幌市営地下鉄南北線南平岸駅から高台駐車場まで徒歩約16分北海道中央バス（西岡・平岡・白石営業所）「美園11条7丁目」「豊平区役所」バス停下車じょうてつバス、北都交通「豊平区役所」バス停下車","月寒公園管理事務所","ユニバーサルトイレ、車いす貸し出し","札幌市豊平区美園10条8丁目1","1961年","広域避難場所","大日本帝国陸軍第7師団歩兵第25連隊小演習場・射撃用地","","","",""
"手稲稲積公園","[手稲稲積公園] 手稲稲積公園 （ていねいなづみこうえん）は、 北海道 札幌市 手稲区 にある 公園 。","https://ja.wikipedia.org/wiki/手稲稲積公園","Category:札幌市の公園","https://ja.wikipedia.org/wiki/Category:札幌市の公園","箇条書き,制限あり","北緯43度06分57秒東経141度15分31秒","日本札幌市手稲区前田1条","18.1ヘクタール","運動公園","プール、テニスコート、野球場、パークゴルフ場、ゲートボール場、遊具、広場","123台1,000台（ていねプール）","都市計画決定：昭和47年1月7日北海道告示第28号","札幌市公園緑化協会札幌リゾート開発公社（ていねプール）","手稲稲積公園","北海道旅客鉄道（JR北海道）稲積公園駅下車 徒歩2分ジェイ・アール北海道バス札樽線「ていねプール前」バス停下車","手稲稲積公園管理事務所","多目的トイレ2ヶ所身障者用水飲み場身障者用駐車場4台車いす貸し出し2台","札幌市手稲区前田1条5丁目","1981年7月18日","広域避難場所","","","","",""
"手稲緑道","[手稲緑道] 手稲緑道 （ていねりょくどう）は 北海道 札幌市 手稲区 曙 1条1丁目 - 4条1丁目にある 緑道 （ 都市公園 ）。","https://ja.wikipedia.org/wiki/手稲緑道","Category:札幌市の公園","https://ja.wikipedia.org/wiki/Category:札幌市の公園","箇条書き,制限あり","","日本札幌市手稲区曙1～4条1丁目","16,357m2","緑道","多目的広場、スケートボード・ローラースケート広場、噴水、時計塔、パーゴラ（つる棚）、水飲み台、遊水路","無し","1987年（昭和62年）3月31日","札幌市環境局","公式サイト（札幌市公園検索システム）","手稲駅（徒歩で約5分）","札幌市手稲区土木センター（札幌市手稲区土木部維持管理課）","身障者対応トイレ、点字ブロック","札幌市手稲区曙5条5丁目2番1号","","","","","年中開放","",""
"道立自然公園野幌森林公園","[道立自然公園野幌森林公園] 道立自然公園野幌森林公園 （どうりつしぜんこうえんのっぽろしんりんこうえん）は、 北海道 札幌市 ・ 江別市 ・ 北広島市 にある 公園 （ 都道府県立自然公園 ）。","https://ja.wikipedia.org/wiki/道立自然公園野幌森林公園","Category:札幌市の公園","https://ja.wikipedia.org/wiki/Category:札幌市の公園","箇条書き,制限あり","北緯43度03分09秒東経141度30分02秒","日本札幌市厚別区・江別市・北広島市","2,053ヘクタール","自然公園","","","","北海道","道立自然公園野幌森林公園","#交通アクセス参照","北海道博物館総務課","公衆トイレ","札幌市厚別区厚別町小野幌53-2","1968年","公園内への動物・植物などの持ち込みは禁止（一部遊歩道では犬の散歩ができる）広域避難場所","","加藤誠平ら","","",""
"豊平公園","[豊平公園] 豊平公園 （とよひらこうえん）は、 札幌市 豊平区 にある 公園 。","https://ja.wikipedia.org/wiki/豊平公園","Category:札幌市の公園","https://ja.wikipedia.org/wiki/Category:札幌市の公園","箇条書き,制限あり","北緯43度02分35秒東経141度22分42秒","日本札幌市豊平区豊平5条13丁目、美園5・6条1丁目","7.4ヘクタール","地区公園","植物園、温室、花壇、庭園、テニスコート、温水プール","","都市計画決定：昭和50年12月15日北海道告示第3725号","札幌市公園緑化協会（指定管理者）","豊平公園","札幌市営地下鉄東豊線豊平公園駅下車徒歩5分北海道中央バス（大曲・平岡・西岡・白石営業所）「豊平3条12丁目」バス停下車徒歩5分","豊平公園管理事務所","身障者用トイレ身障者用駐車場3台","札幌市豊平区豊平5条13丁目","1977年","","農林省林業試験場","","","",""
"屯田西公園","[屯田西公園] 屯田西公園 （とんでんにしこうえん）は、 札幌市 北区 にある 公園 。","https://ja.wikipedia.org/wiki/屯田西公園","Category:札幌市の公園","https://ja.wikipedia.org/wiki/Category:札幌市の公園","箇条書き,制限あり","北緯43度07分55秒東経141度19分12秒","日本札幌市北区屯田4条9・10丁目","9.9ヘクタール","運動公園","ウォータースライダー、プール、野球場、陸上競技場、テニスコート、パークゴルフ場、ゲートボール場、遊具、ドッグラン、花壇、パーゴラ、四阿","76台","都市計画決定：昭和41年4月8日建設省告示第1203号","みどりみらいプロジェクトグループ（指定管理者）","みどりみらいプロジェクトグループ","北海道中央バス（新川営業所）「屯田西公園」バス停下車 徒歩1分","屯田西公園管理事務所","身障者対応トイレ、車椅子用水飲台","札幌市北区屯田4条10丁目1-1","1975年","広域避難場所","","","","",""
"中島公園","[中島公園] 中島公園 （なかじまこうえん）は、 札幌市 中央区 にある 公園 ・ 地名 。「 日本の都市公園100選 」「 日本の歴史公園100選 」選定  。","https://ja.wikipedia.org/wiki/中島公園","Category:札幌市の公園","https://ja.wikipedia.org/wiki/Category:札幌市の公園","箇条書き,制限あり","北緯43度02分39秒東経141度21分18秒","日本札幌市中央区中島公園・南14条西5丁目・南15条西4丁目","23.6ヘクタール","総合公園","児童館、劇場、茶室、日本庭園、池、西洋館、天文台、コンサートホール、広場、文学館、スポーツ施設、テニスコート","なし","昭和32年3月23日","公園緑化協会・中島公園コンソーシアム（指定管理者）","中島公園","札幌市営地下鉄南北線中島公園駅または幌平橋駅下車札幌市電中島公園通停留場または行啓通停留場下車 徒歩3分北海道中央バス（西岡営業所、新千歳空港連絡バス）「中島公園」「中島公園入口」「幌平橋」バス停下車ジェイ・アール北海道バス（琴似営業所）「中島公園駅前」「中島公園入口」バス停下車","中島公園管理事務所","ユニバーサルトイレ、スロープ（一部）","札幌市中央区中島公園1","","広域避難場所","中島遊園地","","","",""
"西岡公園","[西岡公園] 西岡公園 （にしおかこうえん）は、 札幌市 豊平区 にある 公園 。","https://ja.wikipedia.org/wiki/西岡公園","Category:札幌市の公園","https://ja.wikipedia.org/wiki/Category:札幌市の公園","箇条書き,制限あり","北緯42度59分12秒東経141度22分48秒","日本札幌市豊平区西岡","40.8ヘクタール","特殊公園","水源池、キャンプ場、四阿、展望台、パーゴラ","約50台","都市計画決定：平成20年6月18日札幌市告示第938号","札幌市公園緑化協会（指定管理者）","西岡公園","北海道中央バス（西岡営業所）「西岡水源池」バス停下車 徒歩1分、「西岡4条14丁目」バス停下車 徒歩15分","西岡公園管理事務所","","札幌市豊平区西岡487-2","","広域避難場所","","","","",""
"農試公園","[農試公園] 農試公園 （のうしこうえん）は、 札幌市 西区 にある 公園 。","https://ja.wikipedia.org/wiki/農試公園","Category:札幌市の公園","https://ja.wikipedia.org/wiki/Category:札幌市の公園","箇条書き,制限あり","北緯43度05分29秒東経141度18分18秒","日本札幌市西区八軒4条西6丁目、5条西6丁目、西8丁目","12.4ヘクタール","運動公園","屋内スポーツ施設、野球場、テニスコート、多目的広場、ゲートボール場、サイクリングロード、遊具、池","","都市計画決定：昭和44年3月22日建設省告示第664号","札幌市公園緑化協会（指定管理者）","農試公園","北海道旅客鉄道（JR北海道）琴似駅下車徒歩約15分、発寒中央駅下車徒歩約20分札幌市営地下鉄東西線琴似駅から徒歩約25分ジェイ・アール北海道バス（琴似営業所）「八軒6条西5丁目」バス停下車徒歩1分","農試公園管理事務所","身障者用トイレ貸し出し用車いす身障者用駐車場","札幌市西区八軒5条西6丁目95-21","1975年2月28日","公園内での火気使用厳禁","農林省北海道農業試験場","","","",""
"東雁来公園","[東雁来公園] 東雁来公園 （ひがしかりきこうえん）は、 北海道 札幌市 東区 東雁来 12条4丁目にある 公園 。","https://ja.wikipedia.org/wiki/東雁来公園","Category:札幌市の公園","https://ja.wikipedia.org/wiki/Category:札幌市の公園","箇条書き,制限あり","北緯43度05分55秒東経141度26分08秒","日本北海道札幌市東区東雁来","7.6ヘクタール","地区公園","ターザンロープ,遊具,芝生広場,スキー山,サッカー場,パークゴルフ場,園路","58台（うち身障者用2台）","都市計画決定：（当初）平成14年3月26日札幌市告示292号（最終）平成17年3月29日札幌市告示第411号","札幌市東区土木センター、公益財団法人北海道サッカー協会（サッカー場のみ業務委託）","","JR札幌駅より北海道中央バス(56)(90)で東雁来停留所下車　徒歩10分","","身障者対応トイレ、車椅子用水飲台","","2010年","雨水貯留池あり","","","","",""
"ひのまる公園","[ひのまる公園] ひのまる公園 （ひのまるこうえん）は、 北海道 札幌市 東区 北41条東 10丁目に所在する 公園 。北辺には 北海道道431号丘珠空港線 が東西に走り、道路を挟んで反対側には 札幌市立栄小学校 と 烈々布神社 がある。","https://ja.wikipedia.org/wiki/ひのまる公園","Category:札幌市の公園","https://ja.wikipedia.org/wiki/Category:札幌市の公園","箇条書き,制限あり","北緯43度6分40.7秒東経141度21分36.1秒","日本札幌市東区北41条東10丁目","31891m2","","遊水路（7月上旬 - 8月下旬）、少年野球場1面、テニスコート1面、ブランコ、コンビネーション遊具、砂場、鉄棒、シーソー、ジャングルジム、スプリング遊具","なし","","","","","","","","1974年（昭和49年）","","日の丸農場","","年中開放","",""
"平岡公園","[平岡公園] 平岡公園 （ひらおかこうえん）は、 札幌市 清田区 にある 公園 ・ 地名 。","https://ja.wikipedia.org/wiki/平岡公園","Category:札幌市の公園","https://ja.wikipedia.org/wiki/Category:札幌市の公園","箇条書き,制限あり","北緯43度00分30秒東経141度28分07秒","日本札幌市清田区平岡公園","66.3ヘクタール","総合公園","梅林、森林、湿地、池、広場、遊具、野球場、テニスコート、ゲートボール場、パークゴルフ場","東地区2ヶ所計170台西地区5ヶ所計504台","都市計画決定：昭和52年2月10日北海道告示第332号","札幌市公園緑化協会","平岡公園","道央自動車道札幌南ICから厚別中央通沿い駐車場まで約5分【東地区】0「平岡公園東2丁目」「平岡公園入口」バス停下車すぐ【西地区】0「平岡6条4丁目」「平岡5条6丁目」バス停下車いずれも徒歩5分","平岡公園管理事務所（東地区）","多目的トイレ、貸し出し用車いす、身障者用駐車場","札幌市清田区平岡公園1番地1号","1991年","公園内の火気使用厳禁広域避難場所","","","","",""
"平岡樹芸センター","[平岡樹芸センター] 平岡樹芸センター （ひらおかじゅげいセンター）は、 北海道 札幌市 清田区 に位置する 植物公園 （ 特殊公園  ）である。","https://ja.wikipedia.org/wiki/平岡樹芸センター","Category:札幌市の公園","https://ja.wikipedia.org/wiki/Category:札幌市の公園","箇条書き,制限あり","北緯43度0分8.8秒東経141度27分5.4秒","〒004-0874札幌市清田区平岡4条3丁目","","","","","","","","","","","","1984年","","竹澤養樹園","","","","札幌市緑化植物園平岡樹芸センター"
"平岸高台公園","[平岸高台公園] 平岸高台公園 （ひらぎしたかだいこうえん）は、 北海道 札幌市 豊平区 平岸 4条13丁目にある 公園 である。","https://ja.wikipedia.org/wiki/平岸高台公園","Category:札幌市の公園","https://ja.wikipedia.org/wiki/Category:札幌市の公園","箇条書き,制限あり","北緯43度01分36.6秒東経141度22分29.5秒","日本北海道札幌市豊平区平岸4条13丁目","9595m2","近隣公園","スキー山、あずまや、コンビネーション遊具、ブランコ、すべり台、砂場、鉄棒、シーソー","なし","","","","","","","","1974年（昭和49年）","","","","","",""
"伏古公園","[伏古公園] 伏古公園 （ふしここうえん）は、 北海道 札幌市 東区 伏古 1条2丁目にある 公園 。","https://ja.wikipedia.org/wiki/伏古公園","Category:札幌市の公園","https://ja.wikipedia.org/wiki/Category:札幌市の公園","箇条書き,制限あり","北緯43度05分02秒東経141度23分09秒","日本北海道札幌市東区伏古","6.6ヘクタール","地区公園","噴水広場,芝生広場,築山,ロックガーデン,ブランコ,砂場,鉄棒,遊具,スカルプチュア,テニスコート,野球場,ジョギングコース,園路","25台","都市計画決定：（当初）昭和18年5月8日内務省告示271号（最終）昭和54年12月22日北海道告示第3989号","北のふるさとＮグループ（指定管理者）","","札幌市営地下鉄東豊線環状通東駅より徒歩約15分 札幌市営地下鉄東豊線環状通東駅より北海道中央バス（東60・東62・東66・東69）「札幌小学校」下車　徒歩3分 札幌市営地下鉄環状通東駅より北海道中央バス（東68）「伏古2条3」下車　徒歩2分JR北海道札幌駅北口より北海道中央バス（東64・東65）「伏古2条3」下車　徒歩2分","伏古公園管理事務所","身障者対応トイレ、車椅子用水飲台","札幌市東区伏古1条2丁目","1979年","広域避難場所,AEDあり","","","","",""
"平和公園 (札幌市)","[平和公園 (札幌市)] 平和公園 （へいわこうえん）は、 北海道 札幌市 豊平区 月寒西 2条7丁目に所在する 公園 。区分は、近隣公園。面積12,069㎡。","https://ja.wikipedia.org/wiki/平和公園_(札幌市)","Category:札幌市の公園","https://ja.wikipedia.org/wiki/Category:札幌市の公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"紅桜公園","[紅桜公園] 紅桜公園 （べにざくらこうえん）は、 北海道 札幌市 南区 澄川 389にある私設の公園である。紅桜庭園、紅桜遊園地とも呼ばれる。","https://ja.wikipedia.org/wiki/紅桜公園","Category:札幌市の公園","https://ja.wikipedia.org/wiki/Category:札幌市の公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"星置緑地","[星置緑地] 星置緑地 （ほしおきりょくち）は、 北海道 札幌市 手稲区 星置 にある 緑地 （ 都市公園 ）である。","https://ja.wikipedia.org/wiki/星置緑地","Category:札幌市の公園","https://ja.wikipedia.org/wiki/Category:札幌市の公園","箇条書き,制限あり","北緯43度7分57.7秒東経141度12分15.9秒","日本札幌市手稲区星置1条5丁目","22,289m2","都市緑地","木道、観察デッキ","0台","都市計画決定：昭和61年9月11日北海道告示第746号","","星置緑地（札幌市公園検索システム）","星置駅（徒歩7分）","","","","","","","","","",""
"星観緑地","[星観緑地] 星観緑地 （ほしみりょくち）は、 北海道 札幌市 手稲区 にある 緑地 （ 都市公園 ）である。札幌市で唯一の 緩衝緑地 である   。","https://ja.wikipedia.org/wiki/星観緑地","Category:札幌市の公園","https://ja.wikipedia.org/wiki/Category:札幌市の公園","箇条書き,制限あり","北緯43度8分14.2秒東経141度11分21.8秒","日本札幌市手稲区手稲星置201外","154,783m2（19.5ha）","緩衝緑地","","130台","都市計画決定：平成6年9月9日北海道告示第1354号","","星観緑地のウェブサイト","ほしみ駅（徒歩5分）","星観緑地管理事務所","身障者対応トイレ、車椅子用水飲台","札幌市手稲区手稲星置317","","2002年（平成14年）3月29日：都市緑地から種別変更","","","","",""
