"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","所在地","ホーム","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","種類","標高","位置","山系","最新噴火"
"向山駅","向山駅（むかいやまえき）","https://ja.wikipedia.org/wiki/向山駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯40度37分48.03秒東経141度22分13.14秒","■青い森鉄道線","42.2km（目時起点）東京から659.5 km","青い森鉄道","地上駅","1936年（昭和11年）7月10日","青森県上北郡おいらせ町向山3北緯40度37分48.03秒東経141度22分13.14秒座標:北緯40度37分48.03秒 東経141度22分13.14秒","1面2線","無人駅","","ムカ","","68人/日-2018年-","","","","","","",""
"鵡川駅","鵡川駅（むかわえき）","https://ja.wikipedia.org/wiki/鵡川駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯42度34分44.04秒東経141度55分25.99秒","日高本線","30.5 km（苫小牧起点）","北海道旅客鉄道（JR北海道）","地上駅","1913年（大正2年）10月1日","北海道勇払郡むかわ町末広2-1北緯42度34分44.04秒東経141度55分25.99秒座標:北緯42度34分44.04秒 東経141度55分25.99秒","2面2線（側線1線）","無人駅","","ムカ","","","","","","","","",""
"牟岐駅","牟岐駅（むぎえき）","https://ja.wikipedia.org/wiki/牟岐駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯33度40分19.25秒東経134度25分5.24秒","■牟岐線","67.7 km（徳島起点）","四国旅客鉄道（JR四国）","地上駅","1942年（昭和17年）7月1日","徳島県海部郡牟岐町大字中村字本村141-3北緯33度40分19.25秒東経134度25分5.24秒﻿ / ﻿北緯33.6720139度 東経134.4181222度﻿ /33.6720139; 134.4181222座標:北緯33度40分19.25秒東経134度25分5.24秒﻿ / ﻿北緯33.6720139度 東経134.4181222度﻿ /33.6720139; 134.4181222","1面2線","直営駅","○M24","ムキ","","276[1]人/日-2019年-","","","","","","",""
"椋野駅","椋野駅（むくのえき）","https://ja.wikipedia.org/wiki/椋野駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯34度11分36.83秒東経132度2分0.61秒","錦川清流線","17.7 km（川西起点）","錦川鉄道","地上駅","1960年（昭和35年）11月1日","山口県岩国市美川町南桑北緯34度11分36.83秒東経132度2分0.61秒﻿ / ﻿北緯34.1935639度 東経132.0335028度﻿ /34.1935639; 132.0335028﻿ (椋野駅)座標:北緯34度11分36.83秒東経132度2分0.61秒﻿ / ﻿北緯34.1935639度 東経132.0335028度﻿ /34.1935639; 132.0335028﻿ (椋野駅)","1面1線","無人駅[2]1987年（昭和62年）7月25日に、岩日線から現在の第三セクターに転換。","","ムク","","26[1]人/日-2019年-","","","","","","",""
"武庫駅","武庫駅（むこえき）","https://ja.wikipedia.org/wiki/武庫駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度16分2.63秒東経133度28分36.60秒","V伯備線","116.0km（倉敷起点）岡山から131.9 km","西日本旅客鉄道（JR西日本）","地上駅","1961年（昭和36年）8月23日","鳥取県日野郡江府町大字武庫445北緯35度16分2.63秒東経133度28分36.60秒﻿ / ﻿北緯35.2673972度 東経133.4768333度﻿ /35.2673972; 133.4768333﻿ (武庫駅)","1面1線","無人駅","","ムコ","","43人/日-2018年-","","","","","","",""
"向ヶ丘駅","向ヶ丘駅（むこうがおかえき）","https://ja.wikipedia.org/wiki/向ヶ丘駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯34度42分22秒東経137度22分3秒","渥美線","7.1 km（新豊橋起点）","豊橋鉄道","地上駅","1959年（昭和34年）1月16日","愛知県豊橋市植田町西蛤沢北緯34度42分22秒東経137度22分3秒﻿ / ﻿北緯34.70611度 東経137.36750度﻿ /34.70611; 137.36750座標:北緯34度42分22秒東経137度22分3秒﻿ / ﻿北緯34.70611度 東経137.36750度﻿ /34.70611; 137.36750","1面1線","無人駅"," 9 ","","352人/日（降車客含まず）-2019年-","701人/日-2019年-","","","","","","",""
"向ヶ丘遊園駅","向ヶ丘遊園駅（むこうがおかゆうえんえき）","https://ja.wikipedia.org/wiki/向ヶ丘遊園駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度37分3.15秒東経139度33分53.39秒","小田原線","15.8 km（新宿起点）","小田急電鉄","地上駅","1927年（昭和2年）4月1日","川崎市多摩区登戸2098番地北緯35度37分3.15秒東経139度33分53.39秒﻿ / ﻿北緯35.6175417度 東経139.5648306度﻿ /35.6175417; 139.5648306座標:北緯35度37分3.15秒東経139度33分53.39秒﻿ / ﻿北緯35.6175417度 東経139.5648306度﻿ /35.6175417; 139.5648306","2面4線","","OH19","","","67,384人/日-2019年-","","","","","","",""
"向原停留場","向原停留場（むこうはらていりゅうじょう・都電荒川線）","https://ja.wikipedia.org/wiki/向原停留場","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度43分44秒東経139度43分29.6秒","都電荒川線（東京さくらトラム）","9.4 km（三ノ輪橋起点）","東京都交通局","地上駅","1925年（大正14年）12月12日","東京都豊島区東池袋四丁目および南大塚三丁目北緯35度43分44秒東経139度43分29.6秒﻿ / ﻿北緯35.72889度 東経139.724889度﻿ /35.72889; 139.724889座標:北緯35度43分44秒東経139度43分29.6秒﻿ / ﻿北緯35.72889度 東経139.724889度﻿ /35.72889; 139.724889","2面2線","","SA24","","","1,460[1]人/日-2019年-","","","","","","",""
"向日町駅","向日町駅（むこうまちえき）","https://ja.wikipedia.org/wiki/向日町駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯34度57分17.77秒東経135度42分34.56秒","A東海道本線（JR京都線）","520.0km（東京起点）京都から6.4 km","西日本旅客鉄道（JR西日本）日本貨物鉄道（JR貨物）*","地上駅","1876年（明治9年）7月26日","京都府向日市寺戸町久々相10番地北緯34度57分17.77秒東経135度42分34.56秒﻿ / ﻿北緯34.9549361度 東経135.7096000度﻿ /34.9549361; 135.7096000座標:北緯34度57分17.77秒東経135度42分34.56秒﻿ / ﻿北緯34.9549361度 東経135.7096000度﻿ /34.9549361; 135.7096000","2面4線（乗降は2面2線のみ）","直営駅みどりの券売機プラス設置駅","JR-A34","ムコ","7,994人/日（降車客含まず）-2019年-","","","","","","","",""
"武庫川駅","武庫川駅（むこがわえき）","https://ja.wikipedia.org/wiki/武庫川駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","","本線","12.0 km（大阪梅田起点）","阪神電気鉄道","地上駅（武庫川線）[1]橋梁上駅（本線）[1]","1905年（明治38年）4月12日[1]","","1面2線（武庫川線）[1]2面2線（本線）[1]","","HS12","","","","","29,867人/日-2019年-","","","","",""
"武庫川団地前駅","武庫川団地前駅（むこがわだんちまええき）","https://ja.wikipedia.org/wiki/武庫川団地前駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯34度42分17.76秒東経135度22分29.12秒","武庫川線","1.7 km（武庫川起点）","阪神電気鉄道","地上駅[1]","1984年（昭和59年）4月3日[1]","兵庫県西宮市上田東町4-83北緯34度42分17.76秒東経135度22分29.12秒﻿ / ﻿北緯34.7049333度 東経135.3747556度﻿ /34.7049333; 135.3747556﻿ (武庫川団地前駅)座標:北緯34度42分17.76秒東経135度22分29.12秒﻿ / ﻿北緯34.7049333度 東経135.3747556度﻿ /34.7049333; 135.3747556﻿ (武庫川団地前駅)","2面2線（実質は1面1線）[1]","無人駅[1]","HS51","","","","","","","","","",""
"武庫之荘駅","武庫之荘駅（むこのそうえき）","https://ja.wikipedia.org/wiki/武庫之荘駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯34度45分5.82秒東経135度23分35.21秒","■神戸本線","12.3 km（大阪梅田起点）","阪急電鉄","地上駅[2]","1937年（昭和12年）10月20日[2]","兵庫県尼崎市武庫之荘一丁目1番1号[1]北緯34度45分5.82秒東経135度23分35.21秒﻿ / ﻿北緯34.7516167度 東経135.3931139度﻿ /34.7516167; 135.3931139﻿ (武庫之荘駅)座標:北緯34度45分5.82秒東経135度23分35.21秒﻿ / ﻿北緯34.7516167度 東経135.3931139度﻿ /34.7516167; 135.3931139﻿ (武庫之荘駅)","2面2線[2]","","HK07","","","","","（通年平均）49,963人/日（全日）61,580人/日-2019年-","","","","",""
"武佐駅 (北海道)","武佐駅 (北海道)（むさえき・北海道旅客鉄道根室本線）","https://ja.wikipedia.org/wiki/武佐駅_(北海道)","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯42度59分30.34秒東経144度25分32.43秒","根室本線（花咲線）","312.5 km（滝川起点）","北海道旅客鉄道（JR北海道）","地上駅","1988年（昭和63年）3月13日","北海道釧路市武佐4丁目56-2北緯42度59分30.34秒東経144度25分32.43秒","1面1線","無人駅","","ムサ","","12人/日-2014年-","","","","","","",""
"武佐駅 (滋賀県)","武佐駅 (滋賀県)（むさえき・近江鉄道八日市線）","https://ja.wikipedia.org/wiki/武佐駅_(滋賀県)","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度6分53.75秒東経136度7分49.88秒","■八日市線（万葉あかね線）","6.5 km（八日市起点）","近江鉄道","地上駅","1913年（大正2年）12月29日","滋賀県近江八幡市長光寺町55-3北緯35度6分53.75秒東経136度7分49.88秒﻿ / ﻿北緯35.1149306度 東経136.1305222度﻿ /35.1149306; 136.1305222座標:北緯35度6分53.75秒東経136度7分49.88秒﻿ / ﻿北緯35.1149306度 東経136.1305222度﻿ /35.1149306; 136.1305222","相対式2面2線","無人駅","OR20","","175人/日（降車客含まず）-2017年-","","","","","","","",""
"武蔵五日市駅","武蔵五日市駅（むさしいつかいちえき）","https://ja.wikipedia.org/wiki/武蔵五日市駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度43分56秒東経139度13分41秒","■五日市線","11.1 km（拝島起点）","東日本旅客鉄道（JR東日本）","高架駅","1925年（大正14年）4月21日[2]","東京都あきる野市舘谷台16北緯35度43分56秒東経139度13分41秒﻿ / ﻿北緯35.73222度 東経139.22806度﻿ /35.73222; 139.22806座標:北緯35度43分56秒東経139度13分41秒﻿ / ﻿北緯35.73222度 東経139.22806度﻿ /35.73222; 139.22806","1面2線[1]","業務委託駅* 開業1ヶ月後に五日市駅から改称。","JC86","ムイ","4,164人/日（降車客含まず）-2019年-","","","","","","","",""
"武蔵浦和駅","武蔵浦和駅（むさしうらわえき）","https://ja.wikipedia.org/wiki/武蔵浦和駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度50分46.01秒東経139度38分52.68秒","■埼京線（東北本線支線）","10.6 km（赤羽起点）大崎から29.5 km","東日本旅客鉄道（JR東日本）","高架駅[1]","1985年（昭和60年）9月30日","さいたま市南区別所七丁目12-1北緯35度50分46.01秒東経139度38分52.68秒﻿ / ﻿北緯35.8461139度 東経139.6479667度﻿ /35.8461139; 139.6479667﻿ (武蔵浦和駅)","2面2線（武蔵野線）2面4線（埼京線）","直営駅（管理駅）みどりの窓口有","JA21","ムラ","53,992人/日（降車客含まず）-2019年-","","","","","","","",""
"武蔵小金井駅","武蔵小金井駅（むさしこがねいえき）","https://ja.wikipedia.org/wiki/武蔵小金井駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度42分4.8秒東経139度30分23.2秒","■中央本線（中央線）","18.8 km（新宿起点）東京から29.1 km","東日本旅客鉄道（JR東日本）","高架駅","1926年（大正15年）1月15日","東京都小金井市本町六丁目14-29北緯35度42分4.8秒東経139度30分23.2秒﻿ / ﻿北緯35.701333度 東経139.506444度﻿ /35.701333; 139.506444座標:北緯35度42分4.8秒東経139度30分23.2秒﻿ / ﻿北緯35.701333度 東経139.506444度﻿ /35.701333; 139.506444","2面4線","直営駅みどりの窓口有","JC15","ムコ[注釈 1]","62,565人/日（降車客含まず）-2019年-","","","","","","","",""
"武蔵小杉駅","武蔵小杉駅（むさしこすぎえき）","https://ja.wikipedia.org/wiki/武蔵小杉駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","","","","東日本旅客鉄道（JR東日本・駅詳細）東急電鉄（駅詳細）","","","川崎市中原区小杉町三丁目川崎市中原区新丸子東三丁目","","","","","","","","","","","","",""
"武蔵小山駅","武蔵小山駅（むさしこやまえき）","https://ja.wikipedia.org/wiki/武蔵小山駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度37分13.8秒東経139度42分15.9秒","■目黒線[1]","1.9 km（目黒起点）","東急電鉄","地下駅[2]","1923年（大正12年）3月11日","東京都品川区小山三丁目4-8[1]北緯35度37分13.8秒東経139度42分15.9秒﻿ / ﻿北緯35.620500度 東経139.704417度﻿ /35.620500; 139.704417座標:北緯35度37分13.8秒東経139度42分15.9秒﻿ / ﻿北緯35.620500度 東経139.704417度﻿ /35.620500; 139.704417","2面4線[2]","東急電鉄直営駅","MG03[1]","","","39,864人/日-2020年-","","","","","","",""
"武蔵境駅","武蔵境駅（むさしさかいえき）","https://ja.wikipedia.org/wiki/武蔵境駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","","","","東日本旅客鉄道（JR東日本・駅詳細）日本貨物鉄道（JR貨物）西武鉄道（駅詳細）","","","東京都武蔵野市","","","","","","","","","","","","",""
"武蔵白石駅","武蔵白石駅（むさししらいしえき）","https://ja.wikipedia.org/wiki/武蔵白石駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度30分6秒東経139度42分21秒","■鶴見線","4.1 km（鶴見起点）","東日本旅客鉄道（JR東日本）","地上駅","1931年（昭和6年）7月25日[1]","川崎市川崎区白石町1-5北緯35度30分6秒東経139度42分21秒﻿ / ﻿北緯35.50167度 東経139.70583度﻿ /35.50167; 139.70583﻿ (武蔵白石駅)","2面2線","無人駅（自動券売機 有）横浜市内駅","JI07","ライ","1,601人/日（降車客含まず）-2008年-","","","","","","","",""
"武蔵新城駅","武蔵新城駅（むさししんじょうえき）","https://ja.wikipedia.org/wiki/武蔵新城駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度35分14秒東経139度37分47秒","■南武線","10.5 km（川崎起点）","東日本旅客鉄道（JR東日本）","高架駅","1927年（昭和2年）3月9日[1]","川崎市中原区上新城二丁目11-1北緯35度35分14秒東経139度37分47秒﻿ / ﻿北緯35.58722度 東経139.62972度﻿ /35.58722; 139.62972座標:北緯35度35分14秒東経139度37分47秒﻿ / ﻿北緯35.58722度 東経139.62972度﻿ /35.58722; 139.62972","1面2線","業務委託駅","JN09","ムシ","37,642人/日（降車客含まず）-2019年-","","","","","","","",""
"武蔵砂川駅","武蔵砂川駅（むさしすながわえき）","https://ja.wikipedia.org/wiki/武蔵砂川駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度43分44.5秒東経139度23分32秒","■拝島線","9.6 km（小平起点）西武新宿から32.2 km","西武鉄道","高架駅","1983年（昭和58年）12月12日","東京都立川市上砂町五丁目44-4北緯35度43分44.5秒東経139度23分32秒﻿ / ﻿北緯35.729028度 東経139.39222度﻿ /35.729028; 139.39222﻿ (武蔵砂川駅)座標:北緯35度43分44.5秒東経139度23分32秒﻿ / ﻿北緯35.729028度 東経139.39222度﻿ /35.729028; 139.39222﻿ (武蔵砂川駅)","2面2線","","SS34","","","12,255人/日-2019年-","","","","","","",""
"武蔵関駅","武蔵関駅（むさしせきえき）","https://ja.wikipedia.org/wiki/武蔵関駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度43分39.2秒東経139度34分36.8秒","■新宿線","14.1 km（西武新宿起点）","西武鉄道","地上駅（橋上駅）","1927年（昭和2年）4月16日","東京都練馬区関町北二丁目29-1北緯35度43分39.2秒東経139度34分36.8秒﻿ / ﻿北緯35.727556度 東経139.576889度﻿ /35.727556; 139.576889座標:北緯35度43分39.2秒東経139度34分36.8秒﻿ / ﻿北緯35.727556度 東経139.576889度﻿ /35.727556; 139.576889","2面2線","ホーム有効長は10両編成分。","SS14","","","32,351人/日-2019年-","","","","","","",""
"武蔵高萩駅","武蔵高萩駅（むさしたかはぎえき）","https://ja.wikipedia.org/wiki/武蔵高萩駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度54分6.35秒東経139度22分17.24秒","■川越線","27.0 km（大宮起点）八王子から34.7 km","東日本旅客鉄道（JR東日本）","地上駅（橋上駅）[1]","1940年（昭和15年）7月22日[2]","埼玉県日高市大字高萩629北緯35度54分6.35秒東経139度22分17.24秒﻿ / ﻿北緯35.9017639度 東経139.3714556度﻿ /35.9017639; 139.3714556﻿ (武蔵高萩駅)座標:北緯35度54分6.35秒東経139度22分17.24秒﻿ / ﻿北緯35.9017639度 東経139.3714556度﻿ /35.9017639; 139.3714556﻿ (武蔵高萩駅)","2面2線[2]","業務委託駅","","タハ","3,442人/日（降車客含まず）-2019年-","","","","","","","",""
"武蔵塚駅","武蔵塚駅（むさしづかえき）","https://ja.wikipedia.org/wiki/武蔵塚駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯32度50分59.56秒東経130度46分12.00秒","■豊肥本線","135.1 km（大分起点）","九州旅客鉄道（JR九州）","地上駅","1981年（昭和56年）10月1日[1]","熊本市北区龍田町弓削[1]北緯32度50分59.56秒東経130度46分12.00秒座標:北緯32度50分59.56秒 東経130度46分12.00秒","2面2線[1]","業務委託駅[2]みどりの窓口有[1]","","ムサ","2,254人/日（降車客含まず）-2019年-","","","","","","","",""
