"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","外部リンク","登録路線","登録回","登録日","開駅日","営業時間","国","地方","都道府県","市町村コード","法人番号","面積","総人口","人口密度","隣接自治体","市の木","市の花","市の鳥,市の魚"
"道の駅笹川流れ","ささがわながれ笹川流れ（ささがわながれ）村上市国道345号新潟-11桑川駅に併設","https://ja.wikipedia.org/wiki/道の駅笹川流れ","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯38度22分28秒東経139度27分29秒","〒959-3665新潟県村上市桑川892-5","国土交通省案内ページ全国道の駅連絡会ページ","国道345号","第5回（15011）","1994年6月26日","1993年12月3日[1]","8:30-17:30","","","","","","","","","","","",""
"道の駅越後出雲崎天領の里","えちごいずもざきてんりょうのさと越後出雲崎天領の里（えちごいずもざきてんりょうのさと）三島郡出雲崎町国道352号新潟-12 ","https://ja.wikipedia.org/wiki/道の駅越後出雲崎天領の里","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯37度32分20秒東経138度40分43秒","〒949-4308新潟県三島郡出雲崎町大字尼瀬6-57","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","国道352号","第5回（15012）","1994年4月26日","不明","9:00-17:00","","","","","","","","","","","",""
"道の駅胎内","たいない胎内（たいない）胎内市県道53号胎内二王子公園羽黒線新潟-13 ","https://ja.wikipedia.org/wiki/道の駅胎内","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯38度03分49秒東経139度27分11秒","〒959-2806新潟県胎内市下赤谷387-1","国土交通省案内ページ全国道の駅連絡会ページ","新潟県道53号","第5回（15013）","1994年4月26日","不明","8:00-20:00","","","","","","","","","","","",""
"道の駅ゆのたに","ゆのたに魚沼市県道50号小出奥只見線新潟-14 ","https://ja.wikipedia.org/wiki/道の駅ゆのたに","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯37度13分26秒東経138度58分58秒","〒946-0075新潟県魚沼市吉田1148","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","新潟県道50号","第6回（15014）","1994年8月4日","不明","8:30-18:00","","","","","","","","","","","",""
"道の駅良寛の里わしま","りょうかんのさとわしま良寛の里わしま（りょうかんのさとわしま）長岡市国道116号新潟-15 ","https://ja.wikipedia.org/wiki/道の駅良寛の里わしま","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯37度34分54秒東経138度45分33秒","〒949-4525新潟県長岡市島崎5713番2","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","国道116号","第9回（15015）","1995年8月3日","不明","9:00-17:00","","","","","","","","","","","",""
"道の駅まつだいふるさと会館","まつだいふるさと会館（まつだいふるさとかいかん）十日町市国道253号新潟-16まつだい駅に併設","https://ja.wikipedia.org/wiki/道の駅まつだいふるさと会館","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯37度07分58秒東経138度36分50秒","〒942-1526新潟県十日町市松代3816-1","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","国道253号","第9回（15016）","1995年8月3日","1997年","8:30-20:00","","","","","","","","","","","",""
"道の駅越後市振の関","えちごいちぶりのせき越後市振の関（えちごいちぶりのせき）糸魚川市国道8号新潟-17 ","https://ja.wikipedia.org/wiki/道の駅越後市振の関","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯36度58分48秒東経137度38分41秒","〒949-0111新潟県糸魚川市大字市振1035-50","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","国道8号","第12回（15017）","1997年4月11日","1994年[1]","8:00-21:00","","","","","","","","","","","",""
"道の駅クロス10十日町","くろすてんとおかまちクロス10十日町（クロステンとおかまち）十日町市国道117号新潟-18 ","https://ja.wikipedia.org/wiki/道の駅クロス10十日町","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯37度08分19秒東経138度45分41秒","〒948-0003新潟県十日町市本町六の一丁目71番地26","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","国道117号","第12回（15018）","1997年4月11日","不明","9:00-17:009:00-18:00（4月 - 9月）","","","","","","","","","","","",""
"道の駅漢学の里しただ","かんがくのさとしただ漢学の里しただ（かんがくのさとしただ）三条市国道289号新潟-19 ","https://ja.wikipedia.org/wiki/道の駅漢学の里しただ","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯37度32分30秒東経139度06分07秒","〒955-0131新潟県三条市庭月451-1","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","国道289号","第12回（15019）","1997年4月11日","不明","10:00 - 16:0010:00 - 15:00（冬期）","","","","","","","","","","","",""
"道の駅風の丘米山","かぜのおかよねやま風の丘米山（かぜのおかよねやま）柏崎市国道8号新潟-202015年より休止中","https://ja.wikipedia.org/wiki/道の駅風の丘米山","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯37度20分47秒東経138度29分23秒","〒949-3661新潟県柏崎市大字青海川175-1","国土交通省案内ページ全国道の駅連絡会ページ","国道8号","第13回（15020）","1997年10月22日","不明","9:00-17:00","","","","","","","","","","","",""
"道の駅いりひろせ","いりひろせ魚沼市国道252号新潟-21 ","https://ja.wikipedia.org/wiki/道の駅いりひろせ","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯37度21分21秒東経139度03分26秒","〒946-0305新潟県魚沼市大栃山356-2","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","国道252号","第13回（15021）","1997年10月22日","不明","9:00-17:00","","","","","","","","","","","",""
"道の駅西山ふるさと公苑","にしやまふるさとこうえん西山ふるさと公苑（にしやまふるさとこうえん）柏崎市国道116号新潟-22 ","https://ja.wikipedia.org/wiki/道の駅西山ふるさと公苑","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯37度27分02秒東経138度39分42秒","〒949-4135新潟県柏崎市西山町坂田717-4","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","国道116号","第14回（15022）","1999年4月17日","不明","9:00-17:00","","","","","","","","","","","",""
"道の駅あらい","あらい妙高市国道18号新潟-23上信越自動車道新井PA/スマートICと接続（ハイウェイオアシス）","https://ja.wikipedia.org/wiki/道の駅あらい","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯37度01分34秒東経138度13分33秒","〒944-0075新潟県妙高市大字猪野山58-1","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","国道18号","（15023）","1999年8月27日","不明","9:00 - 21:00","","","","","","","","","","","",""
"道の駅R290とちお","ルート290とちおR290とちお（ルート290とちお）長岡市国道290号新潟-24 ","https://ja.wikipedia.org/wiki/道の駅R290とちお","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯37度27分35秒東経139度00分26秒","〒940-0233新潟県長岡市栃尾宮沢1764","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","国道290号","第15回（15024）","1999年8月27日","1999年7月30日[1]","10:00-18:00","","","","","","","","","","","",""
"佐渡市","あいぽーとさどあいぽーと佐渡（あいぽーとさど）佐渡市臨港道路湊線新潟-252020年5月25日に道の駅芸能とトキの里が移転して「道の駅あいぽーと佐渡」に名称変更[1]","https://ja.wikipedia.org/wiki/佐渡市","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯38度1分6.1秒東経138度22分5.4秒","〒952-1292新潟県佐渡市千種232番地北緯38度1分6.1秒東経138度22分5.4秒座標:北緯38度1分6.1秒 東経138度22分5.4秒","公式ウェブサイト","","","","","","日本","中部地方、北陸地方甲信越地方、信越地方北信越地方、上信越地方広域関東圏","新潟県","15224-2","9000020152242","855.69km2","50,964人[編集]（推計人口、2021年5月1日）","59.6人/km2","新潟市、長岡市、上越市","アテビ","カンゾウ","トキブリ"
"道の駅親不知ピアパーク","おやしらずピアパーク親不知ピアパーク（おやしらずピアパーク）糸魚川市国道8号新潟-26 ","https://ja.wikipedia.org/wiki/道の駅親不知ピアパーク","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯37度0分11.3秒東経137度43分47.3秒","〒940-0308新潟県糸魚川市大字外波903-1","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","国道8号","第16回（15026）","2000年8月18日","1988年","9:00-18:00（4-11月）10:00-16:00（12-3月）","","","","","","","","","","","",""
"道の駅瀬替えの郷せんだ","せがえのさとせんだ瀬替えの郷せんだ（せがえのさとせんだ）十日町市国道252号新潟-27 ","https://ja.wikipedia.org/wiki/道の駅瀬替えの郷せんだ","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯37度11分56秒東経138度41分11秒","〒948-0214新潟県十日町市中仙田甲826","国土交通省案内ページ全国道の駅連絡会ページ","国道252号","第16回（15027）","2000年8月18日","不明","9:00-17:00","","","","","","","","","","","",""
"道の駅雪のふるさとやすづか","ゆきのふるさとやすづか雪のふるさとやすづか（ゆきのふるさとやすづか）上越市国道403号新潟-28 ","https://ja.wikipedia.org/wiki/道の駅雪のふるさとやすづか","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯37度05分44秒東経138度28分13秒","〒942-0531新潟県上越市安塚区樽田140","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","国道403号","第17回（15028）","2001年8月21日","不明","9:00-18:00","","","","","","","","","","","",""
"道の駅じょんのびの里高柳","じょんのびの里高柳（じょんのびのさとたかやなぎ）柏崎市県道12号松代高柳線新潟-29 ","https://ja.wikipedia.org/wiki/道の駅じょんのびの里高柳","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯37度12分46秒東経138度37分59秒","〒945-1505新潟県柏崎市高柳町高尾10-1","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","新潟県道12号","第17回（15029）","2001年8月21日","不明","10:00-21:00","","","","","","","","","","","",""
"道の駅花夢里にいつ","かむりにいつ花夢里にいつ（かむりにいつ）新潟市秋葉区国道460号新潟-30 ","https://ja.wikipedia.org/wiki/道の駅花夢里にいつ","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯37度47分36秒東経139度04分43秒","〒956-0055新潟県新潟市秋葉区川根438","国土交通省案内ページ全国道の駅連絡会ページ","国道460号","第18回（15030）","2002年8月13日","1999年10月17日","9:00-18:00（4-8月）9:00-17:00（9-3月）","","","","","","","","","","","",""
"道の駅国上","くがみ国上（くがみ）燕市県道2号新潟寺泊線新潟-31 ","https://ja.wikipedia.org/wiki/道の駅国上","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯37度39分46秒東経138度49分31秒","〒959-0136新潟県燕市国上5866-1","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","新潟県道2号","第18回（15031）","2002年8月13日","2002年8月2日","9:00-21:00","","","","","","","","","","","",""
"道の駅越後川口","えちごかわぐち越後川口（えちごかわぐち）長岡市国道17号新潟-32 ","https://ja.wikipedia.org/wiki/道の駅越後川口","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯37度15分39秒東経138度52分04秒","〒949-7503新潟県長岡市川口中山84-2","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","国道17号","第19回（15032）","2003年8月8日","2004年5月30日","9:00-18:009:00-17:00","","","","","","","","","","","",""
"道の駅よしかわ杜氏の郷","よしかわ杜氏の郷（よしかわとうじのさと）上越市県道30号新井柿崎線新潟-33 ","https://ja.wikipedia.org/wiki/道の駅よしかわ杜氏の郷","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯37度14分29秒東経138度22分36秒","〒949-3449新潟県上越市吉川区杜氏の郷1","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","新潟県道30号","第19回（15033）","2003年8月8日","2000年10月1日","10:00-18:00","","","","","","","","","","","",""
"道の駅うみてらす名立","うみてらす名立（うみてらすなだち）上越市国道8号新潟-34 ","https://ja.wikipedia.org/wiki/道の駅うみてらす名立","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯37度09分49秒東経138度05分12秒","〒949-1602新潟県上越市名立区名立大町4280-1","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","国道8号","第28回（15034）","2008年8月8日","不明","10:00-22:00","","","","","","","","","","","",""
"道の駅南魚沼","みなみうおぬま南魚沼（みなみうおぬま）南魚沼市国道17号新潟-35 ","https://ja.wikipedia.org/wiki/道の駅南魚沼","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯37度00分11秒東経138度49分09秒","〒949-6363新潟県南魚沼市下一日市855","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","国道17号","第37回（15035）","2012年3月26日","2012年7月1日","四季味わい館9:00 - 18:30（5月 - 10月）10:00 - 18:00（11月 - 4月）","","","","","","","","","","","",""
"道の駅パティオにいがた","ぱてぃおにいがたパティオにいがた見附市県道20号見附中之島線新潟-36 ","https://ja.wikipedia.org/wiki/道の駅パティオにいがた","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯37度32分47秒東経138度53分01秒","〒954-0111新潟県見附市今町1丁目3358番地","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","新潟県道20号","第39回（15036）","2013年3月27日","2013年8月23日","9:00 - 16:00","","","","","","","","","","","",""
"道の駅みつまた","みつまた南魚沼郡湯沢町国道17号新潟-37 ","https://ja.wikipedia.org/wiki/道の駅みつまた","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯36度53分59秒東経138度46分38秒","〒949-6211新潟県南魚沼郡湯沢町大字三俣1000番地","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","国道17号","第40回（15037）","2013年10月11日","2013年11月23日","","","","","","","","","","","","",""
"道の駅燕三条地場産センター","つばめさんじょうじばさんセンター燕三条地場産センター（つばめさんじょうじばさんセンター）三条市国道289号市道燕三条停車場線新潟-38公益財団法人燕三条地場産業振興センターが申請[2]","https://ja.wikipedia.org/wiki/道の駅燕三条地場産センター","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯37度38分58秒東経138度56分01秒","〒955-0092新潟県三条市須頃1丁目17番地","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","市道燕三条停車場線","第44回（15038）","2015年11月5日","2016年3月25日","","","","","","","","","","","","",""
"道の駅庭園の郷保内","ていえんのさとほない庭園の郷 保内（ていえんのさとほない）三条市国道403号市道大崎547号線新潟-39 ","https://ja.wikipedia.org/wiki/道の駅庭園の郷保内","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯37度38分49秒東経139度01分35秒","〒955-0021新潟県三条市下保内4035番地","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","市道大崎547号線","第46回（15039）","2016年10月7日","2017年3月25日","","","","","","","","","","","","",""
"道の駅たがみ","たがみ南蒲原郡田上町国道403号新潟-40","https://ja.wikipedia.org/wiki/道の駅たがみ","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯37度41分55秒東経139度3分32秒","〒959-1503新潟県南蒲原郡田上町大字原ヶ崎新田3072-1","国土交通省案内ページ全国道の駅連絡会ページ","国道403号","第52回（15040）","2020年3月13日[1]","2020年10月28日[2]","","","","","","","","","","","","",""
"道の駅ながおか花火館","ながおかはなびかんながおか花火館（ながおかはなびかん）長岡市国道8号新潟-41 ","https://ja.wikipedia.org/wiki/道の駅ながおか花火館","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯37度27分18.1秒東経138度48分16.3秒","〒940-2121新潟県長岡市喜多町707","国土交通省案内ページ全国道の駅連絡会ページ","国道8号","第52回（15041）","2020年3月13日[1]","2020年9月18日[2]","10:00 - 19:00","","","","","","","","","","","",""
"道の駅細入","ほそいり細入（ほそいり）富山市国道41号富山-01 ","https://ja.wikipedia.org/wiki/道の駅細入","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯36度29分18.7秒東経137度14分17.1秒","〒939-2186富山県富山市片掛3-5","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","国道41号","第1回（16001）","1993年4月22日[1]","1993年4月24日[1]","10:00 - 18:00","","","","","","","","","","","",""
"道の駅砺波","となみ砺波（となみ）砺波市国道156号富山-02 ","https://ja.wikipedia.org/wiki/道の駅砺波","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯36度38分29.2秒東経136度57分36.3秒","〒939-1388富山県砺波市宮沢町3番9号","国土交通省案内ページ全国道の駅連絡会ページ","国道156号","第1回（16002）","1993年4月22日[1]","1993年8月10日[1][2]","9:00 - 18:00","","","","","","","","","","","",""
"道の駅上平","かみたいら上平（かみたいら）南砺市国道156号富山-03 ","https://ja.wikipedia.org/wiki/道の駅上平","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯36度22分38.5秒東経136度52分16.0秒","〒939-1977富山県南砺市西赤尾町72-1","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","国道156号","第1回（16003）","1993年4月22日","不明","10:00-17:00","","","","","","","","","","","",""
"道の駅利賀","とが利賀（とが）南砺市国道471号富山-04 ","https://ja.wikipedia.org/wiki/道の駅利賀","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯36度31分25.9秒東経137度1分37.1秒","〒939-2502富山県南砺市利賀村高沼下北山43-7","国土交通省案内ページ全国道の駅連絡会ページ","国道471号","第1回（16004）","1993年4月22日","不明","8:00 - 19:00","","","","","","","","","","","",""
"道の駅井波","いなみ井波（いなみ）南砺市国道471号富山-05 ","https://ja.wikipedia.org/wiki/道の駅井波","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯36度33分41.0秒東経136度58分40.6秒","〒932-0226富山県南砺市北川730","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","国道471号","第1回（16005）","1993年4月22日","不明","9:00 - 17:00","","","","","","","","","","","",""
"道の駅福光","ふくみつ福光（ふくみつ）南砺市国道304号富山-06 ","https://ja.wikipedia.org/wiki/道の駅福光","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯36度33分57.7秒東経136度51分43.4秒","〒939-1625富山県南砺市中ノ江16番地[1]","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","国道304号","第8回（16006）","1995年4月11日","1995年4月14日[2][3][4]","9:00 - 18:00","","","","","","","","","","","",""
"道の駅たいら","たいら南砺市国道156号富山-07 ","https://ja.wikipedia.org/wiki/道の駅たいら","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯36度26分43.2秒東経136度58分27.8秒","〒939-1905富山県南砺市東中江215番地[1]","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","国道156号","第11回（16007）","1996年8月5日","1996年9月17日[2]","9:00 - 17:00（和紙体験館・和紙工芸研究館・たいら郷土館）8:30 - 17:00（たいらマウンテンスクール）","","","","","","","","","","","",""
"道の駅庄川","しょうがわ庄川（しょうがわ）砺波市国道156号富山-08 ","https://ja.wikipedia.org/wiki/道の駅庄川","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯36度34分27.6秒東経136度58分48.1秒","〒932-0315富山県砺波市庄川町示野437番地","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","国道156号","第12回（16008）","1997年4月11日[1]","1991年4月26日[2]","9:00 - 18:00","","","","","","","","","","","",""
"道の駅うなづき","うなづき黒部市県道14号黒部宇奈月線富山-09 ","https://ja.wikipedia.org/wiki/道の駅うなづき","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯36度51分38.6秒東経137度32分30.1秒","〒938-0861富山県黒部市宇奈月町下立687","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","富山県道14号","第12回（16009）","1997年4月11日","不明","9:30 - 21:00","","","","","","","","","","","",""
"道の駅カモンパーク新湊","かもんぱーくしんみなとカモンパーク新湊（カモンパークしんみなと）射水市国道8号富山-10 ","https://ja.wikipedia.org/wiki/道の駅カモンパーク新湊","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯36度45分7.2秒東経137度5分6.2秒","〒934-0049富山県射水市鏡宮296番地","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","国道8号","第14回（16010）","1998年4月17日[1]","1998年9月24日[2]","8:00 - 21:00","","","","","","","","","","","",""
"道の駅ウェーブパークなめりかわ","うぇーぶぱーくなめりかわウェーブパークなめりかわ滑川市県道1号富山魚津線富山-11 ","https://ja.wikipedia.org/wiki/道の駅ウェーブパークなめりかわ","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯36度46分26.9秒東経137度20分40.0秒","〒936-0021富山県滑川市中川原410","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","富山県道1号","第14回（16011）","1998年4月17日","不明","9:00 - 17:00","","","","","","","","","","","",""
