"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","登録路線","登録回","登録日","開駅日","外部リンク","営業時間","施工","建築主","事業主体","管理運営","構造形式","建築面積","延床面積","階数","高さ","着工","竣工","開館開所"
"道の駅みんまや","みんまや東津軽郡外ヶ浜町国道339号青森-19 ","https://ja.wikipedia.org/wiki/道の駅みんまや","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯41度15分14秒東経140度20分48秒","〒030-1711青森県東津軽郡外ヶ浜町字三厩龍浜99","国道339号","第15回（02019）","1999年8月27日","1999年4月","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","8:40 - 17:00","","","","","","","","","","","",""
"道の駅こどまり","こどまり北津軽郡中泊町国道339号青森-20 ","https://ja.wikipedia.org/wiki/道の駅こどまり","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯41度08分43秒東経140度19分14秒","〒037-0300青森県北津軽郡中泊町小泊字折腰内45","国道339号","第16回（02020）","2000年8月18日","2000年4月","国土交通省案内ページ全国道の駅連絡会ページ","9:00-17:00","","","","","","","","","","","",""
"道の駅みさわ","みさわ三沢市県道170号天ヶ森三沢線青森-21 ","https://ja.wikipedia.org/wiki/道の駅みさわ","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯40度47分13秒東経141度21分43秒","〒033-0164青森県三沢市谷地頭4丁目298-652","青森県道170号","第16回（02021）","2000年8月18日","2000年10月","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 19:00（4月 - 10月）9:00 - 18:00（11月 - 3月）","","","","","","","","","","","",""
"道の駅とわだ","とわだ十和田市国道4号十和田バイパス青森-22 ","https://ja.wikipedia.org/wiki/道の駅とわだ","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯40度34分29秒東経141度15分53秒","〒034-0051青森県十和田市大字伝法寺字平窪37-2","国道4号","第17回（02022）","2001年8月21日","2001年12月13日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00-20:00（4-10月）9:00-19:00（11-3月）","","","","","","","","","","","",""
"道の駅つるた","つるた北津軽郡鶴田町国道339号青森-23 ","https://ja.wikipedia.org/wiki/道の駅つるた","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯40度44分12秒東経140度26分34秒","〒039-3501青森県北津軽郡鶴田町大字境字里見176-1","国道339号","第17回（02023）","2001年8月21日","2001年6月","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","10:30-19:00（4-10月）10:30-18:00（11-3月）","","","","","","","","","","","",""
"道の駅ふかうら","ふかうら西津軽郡深浦町国道101号青森-24 ","https://ja.wikipedia.org/wiki/道の駅ふかうら","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯40度44分38秒東経140度00分01秒","〒038-2411青森県西津軽郡深浦町大字風合瀬字上砂子川144-1","国道101号","第18回（02024）","2002年8月13日","2003年4月","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00-18:00（4月 - 12月）9:00-  17:00（1月 - 3月）","","","","","","","","","","","",""
"道の駅おがわら湖","おがわら湖（おがわらこ）上北郡東北町県道8号八戸野辺地線青森-25 ","https://ja.wikipedia.org/wiki/道の駅おがわら湖","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯40度43分42秒東経141度16分29秒","〒039-2401青森県上北郡東北町大字上野字南谷地122","青森県道8号","第19回（02025）","2003年8月8日","2004年5月","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 19:00（4月 - 9月）9:00 - 17:30（10月 - 3月）","","","","","","","","","","","",""
"道の駅たいらだて","たいらだて東津軽郡外ヶ浜町国道280号青森-26 ","https://ja.wikipedia.org/wiki/道の駅たいらだて","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯41度10分31秒東経140度38分29秒","〒030-1402青森県東津軽郡外ヶ浜町字平舘太郎右エ門沢1番地3","国道280号","第21回（02026）","2005年8月10日","2006年4月","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","8:00 - 17:00","","","","","","","","","","","",""
"道の駅ろくのへ","ろくのへ上北郡六戸町国道45号青森-27 ","https://ja.wikipedia.org/wiki/道の駅ろくのへ","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯40度36分23秒東経141度19分29秒","〒039-2392青森県上北郡六戸町大字犬落瀬字後田87","国道45号","第24回（02027）","2007年8月10日","2003年5月","国土交通省案内ページ全国道の駅連絡会ページ","9:00-18:00","","","","","","","","","","","",""
"道の駅津軽白神","つがるしらかみ津軽白神（つがるしらかみ）中津軽郡西目屋村県道28号岩崎西目屋弘前線青森-28 ","https://ja.wikipedia.org/wiki/道の駅津軽白神","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯40度34分40秒東経140度18分02秒","〒036-1411青森県中津軽郡西目屋村大字田代字神田219番地1","主要地方道岩崎西目屋弘前線","第48回（02028）","2017年11月17日","2017年11月11日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","","","","","","","","","","","","",""
"道の駅石鳥谷","いしどりや石鳥谷（いしどりや）花巻市国道4号岩手-01 ","https://ja.wikipedia.org/wiki/道の駅石鳥谷","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯39度29分00秒東経141度08分32秒","〒028-3171岩手県花巻市石鳥谷町中寺林第7地割17番地3","国道4号","第1回（03001）","1993年4月22日","1993年7月15日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 18:00（冬季は17:30まで）","","","","","","","","","","","",""
"道の駅高田松原","たかたまつばら高田松原（たかたまつばら）陸前高田市国道45号岩手-02","https://ja.wikipedia.org/wiki/道の駅高田松原","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯39度00分26秒東経141度37分37秒","〒029-2205岩手県陸前高田市気仙町字土手影180番地（高田松原津波復興祈念公園内）","国道45号","第1回（03002）","1993年（平成5年）4月22日","1991年（平成3年）7月","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 18:00（12月 - 2月 9:00 - 17:00）","","","","","","","","","","","",""
"道の駅区界高原","くざかいこうげん区界高原（くざかいこうげん）宮古市国道106号岩手-03 ","https://ja.wikipedia.org/wiki/道の駅区界高原","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯39度39分05秒東経141度21分13秒","〒028-2631岩手県宮古市区界第2地割434-2","国道106号","第1回（03003）","1993年4月22日","1987年3月","国土交通省案内ページ全国道の駅連絡会ページ","8:00 - 19:00","","","","","","","","","","","",""
"道の駅おおの (岩手県)","おおの九戸郡洋野町国道395号岩手-04 ","https://ja.wikipedia.org/wiki/道の駅おおの_(岩手県)","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯40度16分40秒東経141度39分56秒","〒028-8802岩手県九戸郡洋野町大野第58地割12番地30","国道395号","第5回（03004）","1994年4月26日","1994年4月","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 17:00","","","","","","","","","","","",""
"道の駅種山ヶ原","たねやまがはら種山ヶ原（たねやまがはら）気仙郡住田町国道397号岩手-05 ","https://ja.wikipedia.org/wiki/道の駅種山ヶ原","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯39度10分47秒東経141度23分45秒","〒027-0502岩手県気仙郡住田町世田米字子飼沢30-39","国道397号","第5回（03005）","1994年4月26日","1991年4月","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 17:00","","","","","","","","","","","",""
"道の駅いわいずみ","いわいずみ下閉伊郡岩泉町国道455号岩手-06 ","https://ja.wikipedia.org/wiki/道の駅いわいずみ","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯39度50分32秒東経141度51分46秒","〒027-0502岩手県下閉伊郡岩泉町乙茂字乙茂90番地1","国道455号","第5回（03006）","1994年4月26日","1990年4月","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","8:30 - 17:00","","","","","","","","","","","",""
"道の駅のだ","のだ九戸郡野田村国道45号岩手-07陸中野田駅併設","https://ja.wikipedia.org/wiki/道の駅のだ","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯40度06分57秒東経141度49分09秒","〒028-8201岩手県九戸郡野田村大字野田31-31-1","国道45号","第5回（03007）","1994年4月26日","1993年4月","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 18:30（3月15日-11月14日）9:00 - 18:00（11月15日-3月14日）","","","","","","","","","","","",""
"道の駅たろう","たろう宮古市国道45号岩手-08 ","https://ja.wikipedia.org/wiki/道の駅たろう","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯39度44分16秒東経141度58分18秒","〒027-0307岩手県宮古市田老2-5-1[1]","国道45号","第8回（03008）","1995年4月11日","1995年4月","国土交通省案内ページ全国道の駅連絡会ページ","9:00 - 17:00","","","","","","","","","","","",""
"道の駅たのはた","たのはた下閉伊郡田野畑村国道45号岩手-09 ","https://ja.wikipedia.org/wiki/道の駅たのはた","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯39度54分35秒東経141度54分08秒","〒028-8407岩手県下閉伊郡田野畑村菅窪151-6","国道45号","第10回（03009）","1996年4月16日","1996年4月","国土交通省案内ページ全国道の駅連絡会ページ","9:00 - 18:00","","","","","","","","","","","",""
"道の駅みずさわ","みずさわ奥州市国道343号岩手-10 ","https://ja.wikipedia.org/wiki/道の駅みずさわ","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯39度05分39秒東経141度10分54秒","〒023-0831岩手県奥州市水沢姉体町字石川原51-3","国道343号","第10回（03010）","1996年4月16日","1996年4月28日","国土交通省案内ページ全国道の駅連絡会ページ","9:00 - 21:00","","","","","","","","","","","",""
"道の駅にしね","にしね八幡平市国道282号岩手-11 ","https://ja.wikipedia.org/wiki/道の駅にしね","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯39度52分48秒東経141度05分57秒","〒028-7111岩手県八幡平市大更2-154-36","国道282号","第10回（03011）","1996年4月16日","1996年4月","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 18:30（4月 - 10月）9:00 - 17:00（11月 - 3月）","","","","","","","","","","","",""
"道の駅白樺の里やまがた","しらかばのさとやまがた白樺の里やまがた（しらかばのさとやまがた）久慈市国道281号岩手-12 ","https://ja.wikipedia.org/wiki/道の駅白樺の里やまがた","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯40度09分03秒東経141度34分25秒","〒028-8602岩手県久慈市山形町川井第8地割12番地1","国道281号","第14回（03012）","1998年4月17日","1998年4月28日","国土交通省案内ページ全国道の駅連絡会ページ","9:00 - 18:30","","","","","","","","","","","",""
"道の駅みやもり","みやもり遠野市国道283号岩手-13 ","https://ja.wikipedia.org/wiki/道の駅みやもり","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯39度20分46秒東経141度21分05秒","〒028-0304岩手県遠野市宮守町下宮守30-37-1","国道283号","第14回（03013）","1998年4月17日","1998年5月","国土交通省案内ページ全国道の駅連絡会ページ","9:00 - 18:00（4月 - 10月）9:00 - 17:30（11月 - 3月）","","","","","","","","","","","",""
"道の駅紫波","しわ紫波（しわ）紫波郡紫波町国道396号岩手-14 ","https://ja.wikipedia.org/wiki/道の駅紫波","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯39度33分20秒東経141度12分21秒","〒028-3535岩手県紫波郡紫波町遠山字松原7-8","国道396号","第14回（03014）","1998年4月17日","1998年4月","国土交通省案内ページ全国道の駅連絡会ページ","9:00 - 18:00","","","","","","","","","","","",""
"道の駅はやちね","はやちね花巻市県道25号紫波江繋線岩手-15 ","https://ja.wikipedia.org/wiki/道の駅はやちね","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯39度32分12秒東経141度20分26秒","〒028-3201岩手県花巻市大迫町内川目第10地割30番地114","岩手県道43号","第14回（03015）","1998年4月17日","1998年4月","国土交通省案内ページ全国道の駅連絡会ページ","10:00 - 16:30","","","","","","","","","","","",""
"道の駅やまだ","やまだ下閉伊郡山田町国道45号岩手-16 ","https://ja.wikipedia.org/wiki/道の駅やまだ","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯39度26分13秒東経141度58分23秒","〒028-1371岩手県下閉伊郡山田町船越第6地割141番地","国道45号","第15回（03016）","1999年8月27日","1999年5月","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 18:00","","","","","","","","","","","",""
"道の駅遠野風の丘","とおのかぜのおか遠野風の丘（とおのかぜのおか）遠野市国道283号岩手-17 ","https://ja.wikipedia.org/wiki/道の駅遠野風の丘","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯39度19分51秒東経141度30分02秒","〒028-1531岩手県遠野市綾織町新里8-2-1","国道283号","第15回（03017）","1999年8月27日","1998年6月30日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","8:00 - 19:00（4月1日-10月15日）8:30 - 17:30（10月16日-3月31日）","","","","","","","","","","","",""
"道の駅さんりく","さんりく大船渡市国道45号岩手-18 ","https://ja.wikipedia.org/wiki/道の駅さんりく","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯39度07分16秒東経141度47分56秒","〒022-0101岩手県大船渡市三陸町越喜来字井戸洞95-27","国道45号","第16回（03018）","2000年8月18日","2000年4月","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","8:30 - 19:00","","","","","","","","","","","",""
"道の駅錦秋湖","きんしゅうこ錦秋湖（きんしゅうこ）和賀郡西和賀町国道107号岩手-19 ","https://ja.wikipedia.org/wiki/道の駅錦秋湖","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯39度18分01秒東経140度52分32秒","〒024-0341岩手県和賀郡西和賀町杉名畑44地割264番地","国道107号","第16回（03019）","2000年8月18日","2000年10月14日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","8:30 - 20:30（4月 - 11月）9:00 - 18:00（12月 - 3月）","","","","","","","","","","","",""
"道の駅くずまき高原","くずまき高原（くずまきこうげん）岩手郡葛巻町国道281号岩手-20 ","https://ja.wikipedia.org/wiki/道の駅くずまき高原","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯39度59分04秒東経141度20分23秒","〒028-0711岩手県岩手郡葛巻町葛巻39-159-3","国道281号","第16回（03020）","2000年8月18日","2000年2月","国土交通省案内ページ全国道の駅連絡会ページ","9:00 - 18:00","","","","","","","","","","","",""
"道の駅石神の丘","いしがみのおか石神の丘（いしがみのおか）岩手郡岩手町国道4号岩手-21 ","https://ja.wikipedia.org/wiki/道の駅石神の丘","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯39度58分07秒東経141度12分50秒","〒028-4307岩手県岩手郡岩手町大字五日市10-121-20","国道4号","第17回（03021）","2001年8月21日","2002年7月","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 18:00","","","","","","","","","","","",""
"道の駅雫石あねっこ","しずくいしあねっこ雫石あねっこ（しずくいしあねっこ）岩手郡雫石町国道46号岩手-22 ","https://ja.wikipedia.org/wiki/道の駅雫石あねっこ","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯39度42分23秒東経140度52分29秒","〒020-0582岩手県岩手郡雫石町橋場坂本118番地10","国道46号","第17回（03022）","2001年8月21日","2002年7月1日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","8:30 - 18:00","","","","","","","","","","","",""
"道の駅とうわ","とうわ花巻市県道39号北上東和線岩手-23 ","https://ja.wikipedia.org/wiki/道の駅とうわ","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯39度22分58秒東経141度13分20秒","〒028-0115岩手県花巻市東和町安俵6区147番地2","岩手県道39号","第17回（03023）","2001年8月21日","2002年4月","国土交通省案内ページ全国道の駅連絡会ページ","9:00 - 18:30","","","","","","","","","","","",""
"道の駅厳美渓","げんびけい厳美渓（げんびけい）一関市国道342号岩手-24 ","https://ja.wikipedia.org/wiki/道の駅厳美渓","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯38度56分47秒東経141度03分10秒","〒021-0101岩手県一関市厳美町字沖野々220-1","国道342号","第17回（03024）","2001年8月21日","2001年4月28日","国土交通省案内ページ全国道の駅連絡会ページ","9:00 - 18:00（4月 - 10月）9:00 - 17:00（11月 - 3月）","","","","","","","","","","","",""
"道の駅おりつめ","おりつめ九戸郡九戸村県道22号軽米九戸線岩手-25 ","https://ja.wikipedia.org/wiki/道の駅おりつめ","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯40度14分54秒東経141度25分00秒","〒028-8802岩手県九戸郡九戸村大字山屋2-28-1","岩手県道22号","第17回（03025）","2001年8月21日","2002年3月20日","国土交通省案内ページ全国道の駅連絡会ページ","8:00 - 19:00","","","","","","","","","","","",""
