"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","面積","分類","運営者","指定区域","指定日","公式サイト","事務所","事務所所在地","年来園者数","前身","地域","創立日","運営組織","告示","所在地","最寄り","開園","場所","主要な島"
"男鹿国定公園","[男鹿国定公園1973年5月15日男鹿半島（入道崎、一ノ目潟など）] 男鹿国定公園 （おがこくていこうえん）は、 秋田県 男鹿市 の 国定公園 。 公園 管轄は秋田県。 1973年 5月15日指定。","https://ja.wikipedia.org/wiki/男鹿国定公園","国定公園","https://ja.wikipedia.org/wiki/国定公園","表形式","","","","","","","","","","","","","","","","","","","",""
"鳥海国定公園","[鳥海国定公園1963年7月24日鳥海山、象潟、飛島など] 鳥海国定公園 （ちょうかいこくていこうえん）は、 秋田県 と 山形県 の境界に位置する 鳥海山 を中心とした 国定公園 。指定区域は 鳥海山 のほか、 象潟 、 庄内砂丘 と 庄内海岸林 が続く海岸部一帯、そして 飛島 を含む。 1963年 （ 昭和 38年） 7月24日 指定。","https://ja.wikipedia.org/wiki/鳥海国定公園","国定公園","https://ja.wikipedia.org/wiki/国定公園","表形式","","","","","","","","","","","","","","","","","","","",""
"越後三山只見国定公園","[越後三山只見国定公園1973年5月15日越後三山（八海山など）、奥只見ダム周辺] 越後三山只見国定公園 （えちごさんざんただみこくていこうえん）は、 新潟県 と 福島県 にまたがる山岳公園。 1973年 （ 昭和 48年）5月15日指定。","https://ja.wikipedia.org/wiki/越後三山只見国定公園","国定公園","https://ja.wikipedia.org/wiki/国定公園","表形式","","","","","","","","","","","","","","","","","","","",""
"水郷筑波国定公園","[水郷筑波国定公園1959年3月3日※1筑波山、霞ヶ浦、十二橋周辺、鹿島神宮神域、犬吠埼など] 水郷筑波国定公園 （すいごうつくばこくていこうえん）は、 関東平野 東部に位置する 国定公園 。 茨城県 と 千葉県 にまたがり、 霞ヶ浦 、 潮来 、 佐原 などの 水郷 地帯、 鹿島神宮 、 香取神宮 、 犬吠埼 ～ 屏風ヶ浦 に至る海岸線を含め 水郷国定公園 と定めた。 1959年 3月3日指定。後の 1969年 2月1日に 筑波山 、 加波山 地域を加え水郷筑波国定公園とした。","https://ja.wikipedia.org/wiki/水郷筑波国定公園","国定公園","https://ja.wikipedia.org/wiki/国定公園","表形式","","34,956ha","国定公園","千葉県","日本関東平野東部","1959年3月3日","","","","1,755万人（2015年）","","","","","","","","","",""
"妙義荒船佐久高原国定公園","[妙義荒船佐久高原国定公園1969年4月10日妙義山、荒船山、佐久高原など] 妙義荒船佐久高原国定公園 （みょうぎあらふねさくこうげんこくていこうえん）は、 群馬県 （ 安中市 ・ 富岡市 ・ 下仁田町 ・ 南牧村 ・ 上野村 ）、 長野県 （ 軽井沢町 ・ 御代田町 ・ 佐久市 ）の 県境 に広がる全国39番目の 国定公園 。","https://ja.wikipedia.org/wiki/妙義荒船佐久高原国定公園","国定公園","https://ja.wikipedia.org/wiki/国定公園","表形式","","","","","","","","","","","","","","","","","","","",""
"南房総国定公園","[南房総国定公園1958年8月1日房総内浦、房総外浦、鹿野山、清澄山など] 南房総国定公園 （みなみぼうそうこくていこうえん）は、 千葉県 南部 房総半島 南部 に位置する 国定公園 。 1958年 （ 昭和 33年） 8月1日 に指定。","https://ja.wikipedia.org/wiki/南房総国定公園","国定公園","https://ja.wikipedia.org/wiki/国定公園","表形式","北緯35度7分45秒東経140度7分46秒","5,690ha","国定公園","千葉県","日本千葉県房総半島南部北緯35度7分45秒東経140度7分46秒﻿ / ﻿北緯35.12917度 東経140.12944度﻿ /35.12917; 140.12944座標:北緯35度7分45秒東経140度7分46秒﻿ / ﻿北緯35.12917度 東経140.12944度﻿ /35.12917; 140.12944","1958年8月1日","","","","1,135万人（2015年）","","","","","","","","","",""
"明治の森高尾国定公園","[明治の森高尾国定公園1967年12月11日高尾山] 明治の森高尾国定公園 （めいじのもりたかおこくていこうえん）は、 東京都 八王子市 にある 高尾山 および 町田市 の一部とその周辺の一帯を、 明治 100年記念事業のひとつとして 国定公園 に指定した公園。 1967年 （昭和42年）12月11日、 大阪府 の 明治の森箕面国定公園 と同時に国定公園に指定された。","https://ja.wikipedia.org/wiki/明治の森高尾国定公園","国定公園","https://ja.wikipedia.org/wiki/国定公園","表形式","北緯35度37分31秒東経139度14分37秒","約7,700,000 m2","国定公園","","","","明治の森高尾国定公園","","","","","","","","1967年（昭和42年）12月11日","日本東京都八王子市町田市","","","",""
"丹沢大山国定公園","[丹沢大山国定公園1965年3月25日丹沢湖、蛭ヶ岳、丹沢山、塔ノ岳、大山周辺] 丹沢大山国定公園 （たんざわおおやまこくていこうえん）は、 丹沢山地 一帯にある面積27,572 ha の 国定公園 である。全域が 神奈川県 内にある。 1965年 3月25日指定。","https://ja.wikipedia.org/wiki/丹沢大山国定公園","国定公園","https://ja.wikipedia.org/wiki/国定公園","表形式","","","","","","","","","","","","","","","","","","","",""
"佐渡弥彦米山国定公園","[佐渡弥彦米山国定公園1950年7月27日※2佐渡（外海府海岸、七浦海岸、小木海岸など）、弥彦山、米山、福浦八景など] 佐渡弥彦米山国定公園 （さどやひこよねやまこくていこうえん）とは、 新潟県 にある 国定公園 で、県を代表する景勝地3ヶ所を指す。","https://ja.wikipedia.org/wiki/佐渡弥彦米山国定公園","国定公園","https://ja.wikipedia.org/wiki/国定公園","表形式","","","","","","","","","","","","","","","","","","","",""
"能登半島国定公園","[能登半島国定公園1968年5月1日能登金剛、曽々木海岸、禄剛崎、内浦海岸、能登島、雨晴海岸など] 能登半島国定公園 （のとはんとうこくていこうえん）は、 石川県 ・ 富山県 を跨ぐ、 能登半島 の海岸を主体に指定されている 国定公園 である。","https://ja.wikipedia.org/wiki/能登半島国定公園","国定公園","https://ja.wikipedia.org/wiki/国定公園","表形式","北緯37度31分44秒東経137度19分35秒","96,720,000 m2","自然公園","","","","能登半島・越前加賀海岸国定公園","富山県生活環境文化部自然保護課石川県環境部自然環境課","富山県富山市新総曲輪1-7石川県金沢市鞍月1-1","","","","","","1968年5月1日","日本富山県・石川県","","","",""
"越前加賀海岸国定公園","[越前加賀海岸国定公園1968年5月1日越前海岸、東尋坊など] 越前加賀海岸国定公園 （えちぜんかがかいがんこくていこうえん）は、 石川県 加賀市 の新保町から 福井県 敦賀市 の鞠山に至る100km余りの海岸線を中心に指定された 国定公園 である。 昭和 43年（ 1968年 ） 5月1日 指定。面積20,596ha（陸地9,794ha、海域10,802ha）。  内陸1km前後にある ラムサール条約 指定湿地の 片野鴨池 及び 中池見湿地 を含む。","https://ja.wikipedia.org/wiki/越前加賀海岸国定公園","国定公園","https://ja.wikipedia.org/wiki/国定公園","表形式","","20,596ヘクタール","国定公園","石川県、福井県","日本石川県：加賀市福井県：あわら市、坂井市福井市丹生郡越前町、南条郡南越前町敦賀市","1968年5月1日","越前加賀海岸国定公園","石川県生活環境部自然環境課福井県安全環境部環境政策課","","5,531,000人","","","","","","","","","",""
"若狭湾国定公園","[若狭湾国定公園1955年6月1日若狭湾一帯（気比松原、三方五湖、蘇洞門、冠島）など] 若狭湾国定公園 （わかさわんこくていこうえん）は、 福井県 敦賀市 の 笙の川 河口左岸から 京都府 舞鶴市 の 由良川 河口右岸に至る、 若狭湾 に面した海岸線を中心に指定された 国定公園 。 2007年 8月時点での総面積は約19,197 ha 。かつては京都府 京丹後市 にある 丹後半島 北部を西端としていたが、由良川以西の区域は独立し 丹後天橋立大江山国定公園 の一部となっている。","https://ja.wikipedia.org/wiki/若狭湾国定公園","国定公園","https://ja.wikipedia.org/wiki/国定公園","表形式","","19,197ヘクタール","国定公園","石川県、福井県","日本福井県：敦賀市三方郡：美浜町、三方上中郡:若狭町小浜市大飯郡：おおい町、高浜町京都府舞鶴市","1968年5月1日","若狭湾国定公園","福井県安全環境部自然環境課京都府中丹広域振興局建設部","","10,190,000人","","","","","","","","","",""
"八ヶ岳中信高原国定公園","[八ヶ岳中信高原国定公園1964年6月1日八ヶ岳山麓、霧ヶ峰、蓼科高原界隈など] 八ヶ岳中信高原国定公園 （やつがたけちゅうしんこうげんこくていこうえん）は、 長野県 と 山梨県 にまたがる 八ヶ岳 と 松本市 東部の 美ヶ原 を中心とした 国定公園 。面積389.57 km 2 。 1964年 （ 昭和 39年）6月1日指定。","https://ja.wikipedia.org/wiki/八ヶ岳中信高原国定公園","国定公園","https://ja.wikipedia.org/wiki/国定公園","表形式","北緯36度07分10秒東経138度25分11秒","38,957ヘクタール","","","","","","","","","","長野県,山梨県","1964年6月1日","長野県, 山梨県","","","松本市,諏訪市,塩尻市,茅野市,岡谷市,下諏訪町,長和町,原村,立科町,佐久市,佐久穂町,小海町,南牧村,北杜市","","",""
"中央アルプス国定公園","[中央アルプス国定公園2020年3月27日木曽山脈、寝覚ノ床、田立の滝など[2] 中央アルプス国定公園 （ちゅうおうあるぷすこくていこうえん）は 長野県 南部に位置する 国定公園  。面積3万5427 ha 。 1951年 （昭和26年） 11月22日 に県立自然公園に指定され、2020年（令和2年）3月27日付環境省告示第33号「中央アルプス国定公園を指定する件  」で国定公園に指定された  。","https://ja.wikipedia.org/wiki/中央アルプス国定公園","国定公園","https://ja.wikipedia.org/wiki/国定公園","表形式","","","","","","","","","","","","","","","","","","","",""
"天竜奥三河国定公園","[天竜奥三河国定公園1969年1月10日天竜峡、佐久間ダム、茶臼山高原、鳳来寺山など] 天竜奥三河国定公園 （てんりゅうおくみかわこくていこうえん）は、 長野県 、 静岡県 、 愛知県 にまたがる 国定公園 。 渓谷 、 河川 、 高原 、山岳、岩山など多種多様な景観が特徴。 天竜峡 を中心とした 天竜川 上流域と愛知県の 茶臼山高原 一帯、新城市の 鳳来寺山 近辺を含む（ただし、茶臼山高原と鳳来寺山の間にある 設楽町 北部、 添沢温泉 の一帯は 愛知高原国定公園 に指定されており、境界が曖昧でややこしい）。 1969年 （昭和44年） 10月1日 に指定。","https://ja.wikipedia.org/wiki/天竜奥三河国定公園","国定公園","https://ja.wikipedia.org/wiki/国定公園","表形式","北緯35度16分東経137度50分","257.23平方キロメートル","","","","","","","","","","長野県,静岡県,愛知県","1969年10月1日","長野県,静岡県,愛知県","","","","","",""
"揖斐関ヶ原養老国定公園","[揖斐関ヶ原養老国定公園1970年12月28日関ヶ原古戦場跡、養老渓谷など] 揖斐関ヶ原養老国定公園 （いびせきがはらようろうこくていこうえん）は 岐阜県 南西部にある 国定公園 である。 1970年 12月28日に、 愛知高原国定公園 ・ 室生赤目青山国定公園 ・ 大和青垣国定公園 と同時に指定。","https://ja.wikipedia.org/wiki/揖斐関ヶ原養老国定公園","国定公園","https://ja.wikipedia.org/wiki/国定公園","表形式","","","","","","","","","","","","","","","","","","","",""
"飛騨木曽川国定公園","[飛騨木曽川国定公園1964年3月3日飛騨川（中山七里、飛水峡）、木曽川（日本ライン）など] 飛騨木曽川国定公園 （ひだきそがわこくていこうえん）は、 岐阜県 下呂市 から 美濃加茂市 にかけての 飛騨川 流域と岐阜県 瑞浪市 付近から 愛知県 犬山市 付近にかけての 木曽川 中流域を中心とした 国定公園 である。 1964年 3月3日 指定。飛騨川、木曽川の河川美が特色。 2005年 度の公園利用者は422万7000人。","https://ja.wikipedia.org/wiki/飛騨木曽川国定公園","国定公園","https://ja.wikipedia.org/wiki/国定公園","表形式","","","","","","","","","","","","","","","","","","","",""
"愛知高原国定公園","[愛知高原国定公園1970年12月28日猿投山、矢作川上流域、香嵐渓、本宮山など）] 愛知高原国定公園 （あいちこうげん こくていこうえん）は、 愛知県 豊田市 と 瀬戸市 にまたがる 国定公園 。","https://ja.wikipedia.org/wiki/愛知高原国定公園","国定公園","https://ja.wikipedia.org/wiki/国定公園","表形式","","","","","","","","","","","","","","","","","","","",""
"三河湾国定公園","[三河湾国定公園1958年4月10日知多半島、三河湾一帯、三ヶ根山、渥美半島、日間賀島など] 三河湾国定公園 （みかわわんこくていこうえん）は、 愛知県 の南部、 三河湾 を囲む 知多 、 渥美 の両 半島 、島嶼を包含する 国定公園 。 1958年 （ 昭和 33年） 4月10日 指定。","https://ja.wikipedia.org/wiki/三河湾国定公園","国定公園","https://ja.wikipedia.org/wiki/国定公園","表形式","","","","","","","","","","","","","","","","","","","",""
"鈴鹿国定公園","[鈴鹿国定公園1968年7月22日鈴鹿山脈（御在所山、宇賀渓、石水渓など各種渓谷）] 鈴鹿国定公園 （すずかこくていこうえん）は、 滋賀県 ・ 三重県 の県境の 鈴鹿山脈 一帯からなる 1968年 （昭和43年） 7月22日 に指定された 国定公園 。降水量が非常に多いため、樹木の生育が著しく、 標高 700 m 付近になると日本海側で繁茂する ブナ や アカマツ などの混淆林も見られる。また、北部は 石灰岩 の地形が多い。南部東麓は 花崗岩 の地形が多いため、河川の浸食によって形成された渓谷が多く見られる。","https://ja.wikipedia.org/wiki/鈴鹿国定公園","国定公園","https://ja.wikipedia.org/wiki/国定公園","表形式","","","","","","","","","","","","","","","","","","","",""
"室生赤目青山国定公園","[室生赤目青山国定公園1970年12月28日室生高原、赤目渓谷（香落渓、赤目四十八滝）、青山高原] 室生赤目青山国定公園 （むろうあかめあおやま こくていこうえん）は、 近畿地方 中部、 三重県 から 奈良県 にまたがる山間部の 国定公園 。 1970年 （昭和45年）12月28日に、 揖斐関ヶ原養老国定公園 、 愛知高原国定公園 、 大和青垣国定公園 と同時に指定された  。","https://ja.wikipedia.org/wiki/室生赤目青山国定公園","国定公園","https://ja.wikipedia.org/wiki/国定公園","表形式","","","","","","","","","","","","","","","","","","","",""
"琵琶湖国定公園","[琵琶湖国定公園1950年7月24日琵琶湖（竹生島、海津大崎など）、比叡山、比良山地、野坂山地、伊吹山など] 琵琶湖国定公園 （びわこ こくてい こうえん、 英語 名：Biwako Quasi-National Park）は、 日本 の 滋賀県 にある 琵琶湖 を中心とした 国定公園 である。 1950年 （ 昭和 25年）7月24日、日本初の国定公園に指定された  。 一部地域は 京都府 に含まれる。","https://ja.wikipedia.org/wiki/琵琶湖国定公園","国定公園","https://ja.wikipedia.org/wiki/国定公園","表形式","","97,601ha","","","","","","","","","","滋賀県、京都府","1950年7月24日","滋賀県、京都府","","","","","",""
"丹後天橋立大江山国定公園","[丹後天橋立大江山国定公園2007年8月3日丹後半島海岸部（天橋立、経ヶ岬を含む）、大江山、世屋高原] 丹後天橋立大江山国定公園 （たんごあまのはしだておおえやまこくていこうえん）は、 京都府 京丹後市 から 京都府 舞鶴市 の 由良川 河口右岸に至る「 丹後半島 海岸地区」及び、丹後半島内陸部の「 世屋高原 地区」、福知山市の旧大江町地域を中心とした「大江山連峰地区」の3地区で構成された 国定公園 。 2007年 8月3日に 若狭湾国定公園 から丹後半島海岸地区を独立させ、他の2地区を追加指定する形で新設された。17年ぶり、62番目の指定。総面積は約19,023 ha で、うち3,762ヘクタールは若狭湾国定公園から分離した部分である。","https://ja.wikipedia.org/wiki/丹後天橋立大江山国定公園","国定公園","https://ja.wikipedia.org/wiki/国定公園","表形式","北緯35度34分1.7秒 東経135度11分23.5秒","","","","","","","","","","","","","","","","","","",""
"京都丹波高原国定公園","[京都丹波高原国定公園2016年3月25日京都北山、芦生原生林、八丁平、美山かやぶきの里・北村] 京都丹波高原国定公園 （きょうとたんばこうげんこくていこうえん）は、 兵庫県 東部・ 京都府 ・ 大阪府 北部・ 滋賀県 西部・ 福井県 南西部に広がる 丹波高地 （丹波高原）のうち、京都府の 南丹市 、 綾部市 、 京丹波町 （ 船井郡 ）、 京都市 左京区 ・ 右京区 に跨る範囲を主体とし、北側は 由良川 水系の上中流域と上林川（由良川水系・国定公園域外合流）上流域、南側は 桂川 水系の上中流域（大堰川・保津川）、東側は 滋賀県 との府県境、西側は由良川と桂川が開削した 亀岡盆地 東縁部の範疇に設定された 国定公園 で、 2016年 （ 平成 28年） 2月23日 付で 中央環境審議会 より答申、 3月25日 に64番目の国定公園に指定された  。なお、亀岡盆地と丹波高原とは 尾根 続きの、福井県側や滋賀県の 比良山地 などは国定公園には含まれない。","https://ja.wikipedia.org/wiki/京都丹波高原国定公園","国定公園","https://ja.wikipedia.org/wiki/国定公園","表形式","","68,851 ha","国定公園","","","","京都丹波高原国定公園京都府","","","","","","","","2016年（平成28年）3月25日","日本京都府南丹市、綾部市、京丹波町、京都市左京区・右京区","","","",""
"明治の森箕面国定公園","[明治の森箕面国定公園1967年12月11日箕面の滝など] 明治の森箕面国定公園 （めいじのもりみのおこくていこうえん）は、 大阪府 の 箕面山 周辺に位置する 国定公園 である。","https://ja.wikipedia.org/wiki/明治の森箕面国定公園","国定公園","https://ja.wikipedia.org/wiki/国定公園","表形式","北緯34度50分27.8秒 東経135度28分17.6秒","","","","","","","","","","","","","","","","","","",""
"金剛生駒紀泉国定公園","[金剛生駒紀泉国定公園1958年4月10日※3金剛山地、生駒山地、和泉葛城山麓] 金剛生駒紀泉国定公園 （こんごういこまきせんこくていこうえん）は、 奈良県 ・ 大阪府 の府県境の 生駒山地 ・ 金剛山地 一帯と、大阪府・ 和歌山県 の府県境の 和泉山脈 一帯からなる 国定公園 のことである。","https://ja.wikipedia.org/wiki/金剛生駒紀泉国定公園","国定公園","https://ja.wikipedia.org/wiki/国定公園","表形式","","","","","","","","","","","","","","","","","","","",""
"氷ノ山後山那岐山国定公園","[氷ノ山後山那岐山国定公園1969年4月10日氷ノ山、那岐山、天滝渓谷、芦津渓谷、神鍋高原、瀞川平、阿瀬渓谷、蘇武岳] 氷ノ山後山那岐山国定公園 （ひょうのせんうしろやまなぎさんこくていこうえん）は、 兵庫県 と 岡山県 と 鳥取県 にまたがる山岳地帯の 国定公園 。","https://ja.wikipedia.org/wiki/氷ノ山後山那岐山国定公園","国定公園","https://ja.wikipedia.org/wiki/国定公園","表形式","","","","","","","","","","","","","","","","","","","",""
