"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","国","地方","都道府県","面積","総人口","人口密度","所在地","市町村コード","隣接自治体","外部リンク","法人番号","市長","市の花","市の木","市の鳥","特記事項","他のシンボル","区の木","区の花"
"滝川市","[滝川市] 滝川市 （たきかわし）は、 北海道 中部（ 道央地方 ）に位置し、 空知総合振興局 に属する 市 。また、 中空知 地域の中心都市である。","https://ja.wikipedia.org/wiki/滝川市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯43度33分28.2秒東経141度54分37.5秒","日本","北海道地方","北海道（空知総合振興局）","115.90km2","39,061人（住民基本台帳人口、2021年5月31日）","337人/km2","〒073-8686北海道滝川市大町1丁目2番15号北緯43度33分28.2秒東経141度54分37.5秒﻿ / ﻿北緯43.557833度 東経141.910417度﻿ /43.557833; 141.910417","01225-4","砂川市、赤平市、深川市、雨竜郡妹背牛町、雨竜町、樺戸郡新十津川町","公式ウェブサイト","2000020012254","前田康吉","ツツジコスモス","プラタナス","","","グライダー","",""
"砂川市","[砂川市] 砂川市 （すながわし）は、 北海道 中部（ 道央地方 ）に位置し、 空知総合振興局 管内に属する 市 。","https://ja.wikipedia.org/wiki/砂川市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯43度29分41.4秒東経141度54分12.5秒","日本","北海道地方","北海道（空知総合振興局）","78.68km2","16,325人（住民基本台帳人口、2021年5月31日）","207人/km2","〒073-0195北海道砂川市西6条北3丁目1-1北緯43度29分41.4秒東経141度54分12.5秒﻿ / ﻿北緯43.494833度 東経141.903472度﻿ /43.494833; 141.903472","01226-2","滝川市、赤平市、歌志内市、空知郡上砂川町、奈井江町、樺戸郡新十津川町","公式ウェブサイト","2000020012262","善岡雅文","スズラン","ナナカマド","","","なし","",""
"歌志内市","[歌志内市] 歌志内市 （うたしないし）は、 北海道 中部（ 道央地方 ）に位置し、 空知総合振興局 に属する 市 。 全国最小 の人口を有する市である。","https://ja.wikipedia.org/wiki/歌志内市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯43度31分17秒東経142度2分4秒","日本","北海道地方","北海道（空知総合振興局）","55.95km2","2,986人（住民基本台帳人口、2021年5月31日）","53.4人/km2","〒073-0492北海道歌志内市字本町5番地北緯43度31分17秒東経142度2分4秒﻿ / ﻿北緯43.52139度 東経142.03444度﻿ /43.52139; 142.03444","01227-1","芦別市、赤平市、砂川市、空知郡上砂川町","公式ウェブサイト","1000020012271","柴田一孔","ツツジ","ナナカマド","ウグイス","","","",""
"深川市","[深川市] 深川市 （ふかがわし）は、 北海道 中部（ 道央地方 ）に位置し、 空知総合振興局 に属する市。","https://ja.wikipedia.org/wiki/深川市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯43度43分23.7秒東経142度3分12.9秒","日本","北海道地方","北海道（空知総合振興局）","529.42km2","19,864人（住民基本台帳人口、2021年5月31日）","37.5人/km2","〒074-8650北海道深川市2条17番17号北緯43度43分23.7秒東経142度3分12.9秒﻿ / ﻿北緯43.723250度 東経142.053583度﻿ /43.723250; 142.053583","01228-9","旭川市、芦別市、赤平市、滝川市、留萌郡小平町、雨竜郡妹背牛町、秩父別町、沼田町、幌加内町","公式ウェブサイト","9000020012289","山下貴史","菊","シラカバ","カッコウ","","","",""
"空知郡","[空知郡：南幌町-奈井江町-上砂川町] 空知郡 （そらちぐん）は、 北海道 ・ 空知総合振興局 ・ 上川総合振興局 の 郡 。","https://ja.wikipedia.org/wiki/空知郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"夕張郡","[夕張郡：由仁町-長沼町-栗山町] 夕張郡 （ゆうばりぐん）は、 北海道 （ 石狩国 ） 空知総合振興局 管内の 郡 。","https://ja.wikipedia.org/wiki/夕張郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"樺戸郡","[樺戸郡：月形町-浦臼町-新十津川町] 樺戸郡 （かばとぐん）は、 北海道 （ 石狩国 ） 空知総合振興局 管内の 郡 。","https://ja.wikipedia.org/wiki/樺戸郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"雨竜郡","[雨竜郡：妹背牛町-秩父別町-雨竜町-北竜町-沼田町] ","https://ja.wikipedia.org/wiki/雨竜郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"小樽市","[小樽市] 小樽市 （おたるし）は、 北海道 中部（ 道央地方 ）に位置し、 後志総合振興局 に属する唯一の 市 。 保健所政令市 に指定されている。","https://ja.wikipedia.org/wiki/小樽市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯43度11分26.6秒東経140度59分39.7秒","日本","北海道地方","北海道（後志総合振興局）","243.83km2","111,409人（住民基本台帳人口、2021年5月31日）","457人/km2","〒047-8660北海道小樽市花園2丁目12番1号北緯43度11分26.6秒東経140度59分39.7秒﻿ / ﻿北緯43.190722度 東経140.994361度﻿ /43.190722; 140.994361","01203-3","後志総合振興局:余市郡余市町、赤井川村石狩振興局:札幌市、石狩市","小樽市","9000020012033","迫俊哉","ツツジ（昭和43年5月28日制定）","シラカンバ（昭和43年5月28日制定）","アオバト（昭和61年5月10日制定）","","","",""
"島牧郡","[島牧郡：島牧村] 島牧郡 （しままきぐん）は、 北海道 （ 後志国 ） 後志総合振興局 の 郡 。","https://ja.wikipedia.org/wiki/島牧郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"寿都郡","[寿都郡：寿都町-黒松内町] 寿都郡 （すっつぐん）は、 北海道 （ 後志国 ） 後志総合振興局 の 郡 。","https://ja.wikipedia.org/wiki/寿都郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"磯谷郡","[磯谷郡：蘭越町] 磯谷郡 （いそやぐん）は、 北海道 （ 後志国 ） 後志総合振興局 の 郡 。 人口 4,582人、 面積 449.78km²、 人口密度 10.2人/km²。（2021年5月31日、 住民基本台帳 人口） 以下の1町を含む。","https://ja.wikipedia.org/wiki/磯谷郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"虻田郡","[虻田郡：ニセコ町-真狩村-留寿都村-喜茂別町-京極町-倶知安町] 虻田郡 （あぶたぐん）は、 北海道 （ 胆振国 ） 胆振総合振興局 ・ 後志総合振興局 の 郡 。","https://ja.wikipedia.org/wiki/虻田郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"岩内郡","[岩内郡：共和町-岩内町] 岩内郡 （いわないぐん）は、 北海道 （ 後志国 ） 後志総合振興局 の 郡 。","https://ja.wikipedia.org/wiki/岩内郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"古宇郡","[古宇郡：泊村-神恵内村] 古宇郡 （ふるうぐん）は、 北海道 （ 後志国 ） 後志総合振興局 の 郡 。","https://ja.wikipedia.org/wiki/古宇郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"積丹郡","[積丹郡：積丹町] 積丹郡 （しゃこたんぐん）は、 北海道 （ 後志国 ） 後志総合振興局 の 郡 。","https://ja.wikipedia.org/wiki/積丹郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"古平郡","[古平郡：古平町] 古平郡 （ふるびらぐん）は、 北海道 （ 後志国 ） 後志総合振興局 の 郡 。","https://ja.wikipedia.org/wiki/古平郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"余市郡","[余市郡：仁木町-余市町-赤井川村] 余市郡 （よいちぐん）は、 北海道 （ 後志国 ） 後志総合振興局 の 郡 。","https://ja.wikipedia.org/wiki/余市郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"函館市","[函館市] 函館市 （はこだてし）は、 北海道 南部（ 道南地方 ）に位置し、 渡島総合振興局 に属する 市 。振興局所在地であり、 札幌市 ・ 旭川市 に次ぐ北海道第3位の人口（約25万人）を有する 中核市 である。","https://ja.wikipedia.org/wiki/函館市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯41度46分7.2秒東経140度43分44.1秒","日本","北海道地方","北海道（渡島総合振興局）","677.86km2","250,059人（住民基本台帳人口、2021年5月31日）","369人/km2","〒040-8666北海道函館市東雲町4-13北緯41度46分7.2秒東経140度43分44.1秒﻿ / ﻿北緯41.768667度 東経140.728917度﻿ /41.768667; 140.728917﻿ (函館市)座標:北緯41度46分7.2秒東経140度43分44.1秒﻿ / ﻿北緯41.768667度 東経140.728917度﻿ /41.768667; 140.728917﻿ (函館市)","01202-5","北斗市亀田郡七飯町、茅部郡鹿部町（海上を隔てて隣接）青森県下北郡大間町","函館市公式サイト","9000020012025","工藤壽樹","つつじ（やまつつじ）","おんこ（いちい）","","","市の鳥：ヤマガラ市の魚：イカ","",""
"北斗市","[北斗市] 北斗市 （ほくとし）は、 北海道 西部（ 道南地方 ）に位置し、 渡島総合振興局 に属する 市 。 2006年 （平成18年）2月1日に 上磯郡 上磯町 と 亀田郡 大野町 の新設合併により誕生した。","https://ja.wikipedia.org/wiki/北斗市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯41度49分26.8秒東経140度39分10.9秒","日本","北海道地方","北海道（渡島総合振興局）","397.44km2","45,253人（住民基本台帳人口、2021年5月31日）","114人/km2","〒049-0192北海道北斗市中央1丁目3-10北緯41度49分26.8秒東経140度39分10.9秒﻿ / ﻿北緯41.824111度 東経140.653028度﻿ /41.824111; 140.653028﻿ (北斗市)座標:北緯41度49分26.8秒東経140度39分10.9秒﻿ / ﻿北緯41.824111度 東経140.653028度﻿ /41.824111; 140.653028﻿ (北斗市)","01236-0","渡島総合振興局:函館市、上磯郡木古内町、亀田郡七飯町、茅部郡森町檜山振興局：檜山郡厚沢部町","公式ウェブサイト","3000020012360","池田達雄","春：サクラ、夏：マリーゴールド、秋：ムクゲ","クロマツ、ブナ","","","","",""
"松前郡","[松前郡：松前町-福島町] 松前郡 （まつまえぐん）は、 北海道 （ 渡島国 ） 渡島総合振興局 の 郡 。","https://ja.wikipedia.org/wiki/松前郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"上磯郡","[上磯郡：知内町-木古内町] 上磯郡 （かみいそぐん）は、 北海道 （ 渡島国 ） 渡島総合振興局 の 郡 。","https://ja.wikipedia.org/wiki/上磯郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"亀田郡","[亀田郡：七飯町] 亀田郡 （かめだぐん）は、 北海道 （ 渡島国 ） 渡島総合振興局 の 郡 。","https://ja.wikipedia.org/wiki/亀田郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"茅部郡","[茅部郡：鹿部町-森町] 茅部郡 （かやべぐん）は、 北海道 （ 渡島国 ） 渡島総合振興局 の 郡 。","https://ja.wikipedia.org/wiki/茅部郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"二海郡","[二海郡：八雲町] 二海郡 （ふたみぐん）は、 北海道 渡島総合振興局 の 郡 。","https://ja.wikipedia.org/wiki/二海郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"山越郡","[山越郡：長万部町] 山越郡 （やまこしぐん）は、 北海道 （ 胆振国 ） 渡島総合振興局 の 郡 。","https://ja.wikipedia.org/wiki/山越郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"檜山郡","[檜山郡：江差町-上ノ国町-厚沢部町] 檜山郡 （ひやまぐん）は、 北海道 （ 渡島国 ） 檜山振興局 の 郡 。","https://ja.wikipedia.org/wiki/檜山郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"爾志郡","[爾志郡：乙部町] 爾志郡 （にしぐん）は、 北海道 （ 渡島国 ） 檜山振興局 の 郡 。","https://ja.wikipedia.org/wiki/爾志郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"奥尻郡","[奥尻郡：奥尻町] 奥尻郡 （おくしりぐん）は、 北海道 （ 後志国 ） 檜山振興局 の 郡 。","https://ja.wikipedia.org/wiki/奥尻郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"瀬棚郡","[瀬棚郡：今金町] 瀬棚郡 （せたなぐん）は、 北海道 （ 後志国 ） 檜山振興局 の 郡 。","https://ja.wikipedia.org/wiki/瀬棚郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"久遠郡","[久遠郡：せたな町] 久遠郡 （くどうぐん・くどおぐん）は、 北海道 （ 後志国 ） 檜山振興局 の 郡 。","https://ja.wikipedia.org/wiki/久遠郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"室蘭市","[室蘭市] 室蘭市 （むろらんし）は、 北海道 中南部（ 道央地方 ）にある 市 。 胆振総合振興局 の振興局所在地。 計量特定市 。","https://ja.wikipedia.org/wiki/室蘭市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯42度18分54.9秒東経140度58分26.5秒","日本","北海道地方","北海道（胆振総合振興局）","80.88km2","80,709人（住民基本台帳人口、2021年5月31日）","998人/km2","〒051-8511北海道室蘭市幸町1-2北緯42度18分54.9秒東経140度58分26.5秒﻿ / ﻿北緯42.315250度 東経140.974028度﻿ /42.315250; 140.974028","01205-0","胆振総合振興局:登別市、伊達市","公式ウェブサイト","8000020012050","青山剛","ツツジ","ナナカマド","","","市の鳥：ヒガラ市の魚：クロソイ","",""
