"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","法人番号","位置","創建年","山号","本尊","宗派","文化財","開基","札所等","正式名","別称","公式HP","寺格","開山","宗旨","院号","中興","中興年"
"石山寺","[石山寺（いしやまでら）（滋賀県大津市）] 石山寺 （いしやまでら）は、 滋賀県 大津市 石山寺にある 東寺真言宗 の 大本山 の 寺院 。 山号 は石光山。 本尊 は如意輪観世音菩薩（ 如意輪観音 ）、 開山 は 良弁 。 西国三十三所 観音霊場第13番札所となっている。","https://ja.wikipedia.org/wiki/石山寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯34度57分37.51秒東経135度54分20.25秒","滋賀県大津市石山寺1丁目1-1","9160005000599","北緯34度57分37.51秒東経135度54分20.25秒﻿ / ﻿北緯34.9604194度 東経135.9056250度﻿ /34.9604194; 135.9056250座標:北緯34度57分37.51秒東経135度54分20.25秒﻿ / ﻿北緯34.9604194度 東経135.9056250度﻿ /34.9604194; 135.9056250","天平19年（747年）","石光山","如意輪観音","東寺真言宗","本堂、多宝塔、釈摩訶衍論ほか9件（国宝）東大門、鐘楼他（重要文化財）珪灰石（国の天然記念物）","聖武天皇（勅願）","西国三十三所第13番江州三十三観音第1番近江西国三十三観音霊場第3番びわ湖百八霊場第1番神仏霊場巡拝の道第146番（滋賀第14番）","石光山 石山寺","","大本山 石山寺 公式ホームページ","大本山","良弁","","","",""
"一乗寺","[一乗寺（いちじょうじ）（兵庫県加西市）] 一乗寺 （いちじょうじ）は、 兵庫県 加西市 にある 天台宗 の 寺院 。 山号 は法華山、 本尊 は 聖観音菩薩 。 西国三十三所 第26番札所。 国宝 の 三重塔 は 平安時代 後期を代表する 和様建築 の塔であり、国内屈指の古塔である。境内は、春は桜、秋は紅葉の名所としても知られている。中世には山内に 真言律宗 の有力律院も併設されており、宗祖の 興正菩薩叡尊 が 播磨国 （兵庫県）での布教活動の拠点とした他、真言律宗出身の 真言僧 で 後醍醐天皇 の腹心だった 文観房弘真 が仏門に入った地でもある。","https://ja.wikipedia.org/wiki/一乗寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯34度51分33.51秒東経134度49分8.49秒","兵庫県加西市坂本町821-17","9140005017455","北緯34度51分33.51秒東経134度49分8.49秒﻿ / ﻿北緯34.8593083度 東経134.8190250度﻿ /34.8593083; 134.8190250座標:北緯34度51分33.51秒東経134度49分8.49秒﻿ / ﻿北緯34.8593083度 東経134.8190250度﻿ /34.8593083; 134.8190250","伝・白雉元年（650年）","法華山","聖観音","天台宗","三重塔、聖徳太子及び天台高僧像10幅（国宝）、本堂ほか（重要文化財）","","西国三十三所第26番播磨西国三十三箇所第33番神仏霊場巡拝の道第77番（兵庫第12番）播磨天台六山","法華山 一乗寺","","","","伝・法道仙人","","","",""
"一畑寺","[一畑寺（いちばたじ）（島根県出雲市小境町）] 一畑寺 （いちばたじ）は、 島根県 出雲市 小境町にある 仏教 寺院 。 山号 は 醫王山 （いおうざん）。宗派は 臨済宗妙心寺派 で、 一畑薬師教団 の 総本山 ある。 一畑薬師 とも呼ばれ、「 目 のお薬師様」として知られる  。","https://ja.wikipedia.org/wiki/一畑寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯35度29分48.39秒東経132度52分26.77秒","島根県出雲市小境町803","2280005003365","北緯35度29分48.39秒東経132度52分26.77秒﻿ / ﻿北緯35.4967750度 東経132.8741028度﻿ /35.4967750; 132.8741028","(伝)寛平6年（894年）","醫王山（いおうざん）","薬師瑠璃光如来","臨済宗妙心寺派一畑薬師教団総本山","紙本墨画著色書院障壁画22面・絹本著色阿弥陀三尊像（県文化財）","補然","出雲十大薬師1番、出雲國神仏霊場3番、出雲観音特別霊場、中国33観音26番","","一畑薬師","","","","","","",""
"威徳寺","[威徳寺（いとくじ）（新潟県新潟市西区黒鳥）→威徳寺 (新潟市)] 威徳寺 （いとくじ）","https://ja.wikipedia.org/wiki/威徳寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"弥谷寺","[弥谷寺（いやだにじ）（香川県三豊市）] 弥谷寺 （いやだにじ）は、 香川県 三豊市 三野町 にある真言宗大本山の寺格を持つ仏教寺院。弥谷山（標高382m）の中腹225m辺りに本堂があり、その背後の岩盤には創建時に千手佛が納められた岩穴が残り、山全体が霊山であるとの信仰があり、日本三大霊場（他は 恐山 ・ 臼杵磨崖仏 ）  の一つに数えられたといわれる。 四国八十八箇所 霊場 の第七十一番 札所 。 本尊 は 千手観音 。","https://ja.wikipedia.org/wiki/弥谷寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯34度13分47秒東経133度43分27.34秒","香川県三豊市三野町大見乙70","3470005003873","北緯34度13分47秒東経133度43分27.34秒﻿ / ﻿北緯34.22972度 東経133.7242611度﻿ /34.22972; 133.7242611座標:北緯34度13分47秒東経133度43分27.34秒﻿ / ﻿北緯34.22972度 東経133.7242611度﻿ /34.22972; 133.7242611","（伝）奈良時代","剣五山","千手観世音菩薩","真言宗善通寺派","金銅四天王五鈷鈴（国の重要文化財）仏説観仏三昧海経（県文化財）弥谷寺信仰遺跡（県史跡）","（伝）行基、聖武天皇（勅願）","四国八十八箇所71番","剣五山 千手院 弥谷寺","弘法大師御学問所","弥谷寺","大本山","","","","",""
"伊予国分寺","[伊予国分寺（いよこくぶんじ）（愛媛県今治市）] 伊予国分寺 （いよこくぶんじ）は、 愛媛県 今治市 国分に位置する 真言律宗 の寺院。金光山（こんごうざん）、最勝院（さいしょういん）と号す。 本尊 は 薬師瑠璃光如来 （薬師如来）。 四国八十八箇所 霊場 の第五十九番 札所 。札所寺院としては、単に「 国分寺 」と称するのが通例である。","https://ja.wikipedia.org/wiki/伊予国分寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯34度1分34.2秒東経133度1分31.6秒","愛媛県今治市国分4-1-33","6500005005038","北緯34度1分34.2秒東経133度1分31.6秒﻿ / ﻿北緯34.026167度 東経133.025444度﻿ /34.026167; 133.025444座標:北緯34度1分34.2秒東経133度1分31.6秒﻿ / ﻿北緯34.026167度 東経133.025444度﻿ /34.026167; 133.025444","天平勝宝8年（756年）以前","金光山","薬師瑠璃光如来","真言律宗","伊予国分寺塔跡（国の史跡）","（伝）行基","四国八十八箇所59番、伊予府中十三石仏霊場7番薬師如来","金光山 最勝院 国分寺","国分寺","","","","","","",""
"永源寺","[永源寺（えいげんじ）（滋賀県東近江市）] 永源寺 （えいげんじ）は、 滋賀県 東近江市 永源寺高野町 にある 臨済宗 永源寺派 の 大本山 の 寺院 。 山号 は瑞石山。 紅葉 の美しさで知られる。開山忌が、毎年 10月1日 に行われる。","https://ja.wikipedia.org/wiki/永源寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯35度4分50.1秒東経136度19分10.5秒","滋賀県東近江市永源寺高野町41","1160005006034","北緯35度4分50.1秒東経136度19分10.5秒﻿ / ﻿北緯35.080583度 東経136.319583度﻿ /35.080583; 136.319583","康安元年（1361年）","瑞石山","世継観世音菩薩","臨済宗永源寺派","絹本着色地蔵十王像ほか（重要文化財）山門（滋賀県文化財）","佐々木氏頼","神仏霊場巡拝の道第140番（滋賀第8番）","瑞石山 永源寺","","","大本山","寂室元光","","","",""
"禅林寺 (京都市)","[永観堂（えいかんどう）（京都市）→禅林寺] 禅林寺 （ぜんりんじ）は、 京都市 左京区 永観堂町にある 浄土宗西山禅林寺派 の 総本山 の 寺院 。通称の 永観堂 （えいかんどう）の名で知られる。 山号 を 聖衆来迎山 （しょうじゅらいごうさん）と称する。 紅葉 の名所として知られ、古くより「秋はもみじの永観堂」といわれる。また、京都に3箇所あった 勧学院 （学問研究所）の一つでもあり、古くから学問（論義）が盛んである。","https://ja.wikipedia.org/wiki/禅林寺_(京都市)","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯35度0分52.29秒東経135度47分43.05秒","京都府京都市左京区永観堂町48","6130005000539","北緯35度0分52.29秒東経135度47分43.05秒﻿ / ﻿北緯35.0145250度 東経135.7952917度﻿ /35.0145250; 135.7952917座標:北緯35度0分52.29秒東経135度47分43.05秒﻿ / ﻿北緯35.0145250度 東経135.7952917度﻿ /35.0145250; 135.7952917","仁寿3年（853年）","聖衆来迎山","阿弥陀如来（みかえり阿弥陀、重要文化財）","浄土宗西山禅林寺派","山越阿弥陀図、金銅蓮華文磬（国宝）木造阿弥陀如来立像、絹本著色薬師如来像ほか（重要文化財）","","洛陽六阿弥陀めぐり第2番法然上人二十五霊跡縁故本山（番外）西山国師遺跡霊場第8番","聖衆來迎山無量壽院禪林寺","永観堂","永観堂(Eikando,Kyoto)","総本山","真紹","","無量寿院","",""
"栄山寺","[栄山寺（えいざんじ）（奈良県五條市）] 栄山寺 （えいさんじ）は、 奈良県 五條市 にある 真言宗豊山派 の 寺院 。 藤原武智麻呂 により創建された。山号は学晶山（がくしょうさん）。本尊は 薬師如来 。奈良時代の建築である 八角堂 （国宝）があることで知られる。","https://ja.wikipedia.org/wiki/栄山寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯34度21分21.4秒東経135度43分14.4秒","奈良県五條市小島町503","9150005006754","北緯34度21分21.4秒東経135度43分14.4秒﻿ / ﻿北緯34.355944度 東経135.720667度﻿ /34.355944; 135.720667座標:北緯34度21分21.4秒東経135度43分14.4秒﻿ / ﻿北緯34.355944度 東経135.720667度﻿ /34.355944; 135.720667","伝養老3年（719年）","学晶山（學晶山）","薬師如来","真言宗豊山派","八角堂・梵鐘（国宝）八角堂内陣装飾画・木造薬師如来坐像・木造十二神将立像・石灯篭・石塔婆（国の重要文化財）栄山寺行宮跡（国の史跡）","伝藤原武智麻呂","","","前山寺","","","","新義真言宗","","",""
"叡福寺","[叡福寺（えいふくじ）（上之太子、大阪府南河内郡太子町）] 叡福寺 （えいふくじ）は、 大阪府 南河内郡 太子町 太子にある太子宗の 本山 の 寺院 。 聖徳太子 の墓所とされる 叡福寺北古墳 （磯長墓〈しながのはか〉）があることで知られる。 山号 は磯長山（しながさん）。 本尊 は 如意輪観音 。開基は聖徳太子または 推古天皇 とも、 聖武天皇 ともいわれる。聖徳太子建立三太子の一つで、 野中寺 （ 羽曳野市 ）の「中の太子」、 大聖勝軍寺 （ 八尾市 ）の「下の太子」に対して、「 上の太子 」と呼ばれている。また、 大阪みどりの百選 に選定されている  。","https://ja.wikipedia.org/wiki/叡福寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯34度31分7.05秒東経135度38分23.14秒","大阪府南河内郡太子町太子2146","8120105004703","北緯34度31分7.05秒東経135度38分23.14秒﻿ / ﻿北緯34.5186250度 東経135.6397611度﻿ /34.5186250; 135.6397611﻿ (叡福寺)座標:北緯34度31分7.05秒東経135度38分23.14秒﻿ / ﻿北緯34.5186250度 東経135.6397611度﻿ /34.5186250; 135.6397611﻿ (叡福寺)","伝・神亀元年（724年）","磯長山","如意輪観音菩薩","真言宗系","聖霊殿・多宝塔（重要文化財）","伝・聖武天皇","新西国三十三箇所客番仏塔古寺十八尊第2番河内西国霊場第21番聖徳太子霊跡第6番西山国師遺跡霊場第15番河内飛鳥古寺霊場第15番神仏霊場巡拝の道第57番（大阪第16番）","","上之太子、上の太子","","本山","","太子宗","","",""
"永平寺","[永平寺（えいへいじ）（福井県永平寺町）] 永平寺 （えいへいじ）は、 福井県 吉田郡 永平寺町 にある 曹洞宗 の 仏教 寺院 。 總持寺 と並ぶ日本曹洞宗の中心寺院（ 大本山 ）である。 山号 を吉祥山と称し、 開山 は 道元 、 本尊 は 釈迦如来 ・ 弥勒仏 ・ 阿弥陀如来 の三世仏である。 寺紋 は久我山竜胆紋（久我竜胆紋・久我竜胆車紋）。","https://ja.wikipedia.org/wiki/永平寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯36度3分11秒東経136度21分20秒","福井県吉田郡永平寺町志比5-15","1210005001129","北緯36度3分11秒東経136度21分20秒﻿ / ﻿北緯36.05306度 東経136.35556度﻿ /36.05306; 136.35556座標:北緯36度3分11秒東経136度21分20秒﻿ / ﻿北緯36.05306度 東経136.35556度﻿ /36.05306; 136.35556","寛元2年（1244年）","吉祥山","釈迦如来・弥勒仏・阿弥陀如来","曹洞宗","普勧坐禅儀（国宝）梵鐘、道元禅師嗣書、山門、中雀門ほか（重要文化財）","波多野義重","","","","【公式サイト】大本山永平寺ホームページ","大本山","道元","","","",""
"永保寺","[永保寺（えいほうじ）（岐阜県多治見市）] 永保寺 （えいほうじ）は、 岐阜県 多治見市 虎渓山町にある 臨済宗南禅寺派 の 寺院 。 山号 は 虎渓山 （こけいざん）。 雲水 の 修行 道場 （ 僧堂 ）である 虎渓山専門道場 を併設している。","https://ja.wikipedia.org/wiki/永保寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯35度20分48秒東経137度7分51秒","岐阜県多治見市虎渓山町1-40","5200005008204","北緯35度20分48秒東経137度7分51秒﻿ / ﻿北緯35.34667度 東経137.13083度﻿ /35.34667; 137.13083座標:北緯35度20分48秒東経137度7分51秒﻿ / ﻿北緯35.34667度 東経137.13083度﻿ /35.34667; 137.13083","正和2年（1313年）","虎渓山","聖観世音菩薩","南禅寺派","観音堂、開山堂（国宝）絹本著色千手観音図（重要文化財）庭園（名勝）","夢窓疎石（開創）元翁本元（開山）","","虎渓山永保禅寺（虎渓山永保寺）","","","","","臨済宗","","",""
"回向院","[回向院（えこういん）（東京都墨田区）] 東京都 墨田区 両国 二丁目にある寺。山号は諸宗山。正称は諸宗山（一時期、国豊山と称す  ）無縁寺回向院。墨田区 本所地域 内に所在していることから「本所回向院」とも呼ばれている。","https://ja.wikipedia.org/wiki/回向院","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯35度41分36.24秒東経139度47分31秒","東京都墨田区両国二丁目8番10号","6010605000314","北緯35度41分36.24秒東経139度47分31秒﻿ / ﻿北緯35.6934000度 東経139.79194度﻿ /35.6934000; 139.79194﻿ (両国回向院)","1657年（明暦3年）","諸宗山","阿弥陀如来","浄土宗","","江戸幕府","江戸三十三箇所4番","諸宗山 無縁寺 回向院","本所回向院","回向院","","","","","",""
"恵日寺 (福島県磐梯町)","[恵日寺（えにちじ）（福島県耶麻郡磐梯町）] 恵日寺 （えにちじ）は、 福島県 耶麻郡 磐梯町 にある 真言宗豊山派 の 仏教 寺院 。かつては 慧日寺 （えにちじ）と称し、 明治 の 廃仏毀釈 で一旦 廃寺 になったが、 1904年 （明治37年）に復興され、現在の寺号となった。 平安時代 初期からの寺院の遺構は、 慧日寺跡 （えにちじあと）として国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/恵日寺_(福島県磐梯町)","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯37度34分2.7秒東経139度59分12.7秒","福島県耶麻郡磐梯町大字磐梯本寺上4950","9380005008380","北緯37度34分2.7秒東経139度59分12.7秒﻿ / ﻿北緯37.567417度 東経139.986861度﻿ /37.567417; 139.986861座標:北緯37度34分2.7秒東経139度59分12.7秒﻿ / ﻿北緯37.567417度 東経139.986861度﻿ /37.567417; 139.986861","807年（大同2年）","","","豊山派","白銅三鈷杵（重要文化財）慧日寺跡（史跡）","","","","慧日寺","","","徳一","豊山派法相宗として創建、真言宗として再建","","","1904年（明治37年）"
