"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","面積","分類","運営者","開園","事務所所在地","事務所","公式サイト","告示","備考","設備・遊具","地域","創立日","年来園者数","位置","アクセス","標高","山系","現況"
"天塩岳道立自然公園","[天塩岳道立自然公園] 天塩岳道立自然公園 （てしおだけどうりつしぜんこうえん）は、 北海道 士別市 （旧 朝日町 ）、 上川郡 下川町 、 紋別郡 滝上町 ・ 西興部村 にある 自然公園 （ 都道府県立自然公園 ）。公園地域は 北見山地 最高峰の 天塩岳 と 渚滑岳 周辺の地域、 ウエンシリ岳 周辺の地域に分けられる。","https://ja.wikipedia.org/wiki/天塩岳道立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯43度59分15秒東経142度51分38秒","日本北海道士別市、上川郡下川町、紋別郡滝上町、紋別郡西興部村","9,348ヘクタール","自然公園","北海道","1978年","北海道旭川市永山6条19丁目1北海道網走市北7条西3丁目","上川総合振興局保健環境部環境生活課オホーツク総合振興局保健環境部環境生活課","天塩岳道立自然公園","","スノーモビル・自動車などの乗入れ規制あり","","","","","","","","",""
"斜里岳道立自然公園","[斜里岳道立自然公園] 斜里岳道立自然公園 （しゃりだけどうりつしぜんこうえん）は、 北海道 斜里郡 斜里町 ・ 清里町 、 標津郡 標津町 にある 自然公園 （ 都道府県立自然公園 ）。道立自然公園の中では最も新しい公園になっている。 斜里岳 (1,547 m)は千島火山帯に属し、知床連山と阿寒・摩周火山群を繋ぐ位置にある。","https://ja.wikipedia.org/wiki/斜里岳道立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯43度45分42秒東経144度43分21秒","日本北海道斜里郡斜里町、斜里郡清里町、標津郡標津町","2,979ヘクタール","自然公園","北海道","1980年","北海道網走市北7条西3丁目北海道根室市常盤町3丁目28","オホーツク総合振興局保健環境部環境生活課根室振興局保健環境部環境生活課","斜里岳道立自然公園","","自動車・スノーモービルなどの乗入れ規制あり","","","","","","","","",""
"浅虫夏泊県立自然公園","[浅虫夏泊県立自然公園] 浅虫夏泊県立自然公園 （あさむしなつどまりけんりつしぜんこうえん）は 青森県 中央部にある 県立自然公園 で、1953年（昭和28年）6月に指定を受けた。指定地域は 夏泊半島 や 浅虫温泉 などを含んで4,964ヘクタールの陸地と3,526ヘクタールの海域からなる   。陸域のうち3,404ヘクタールが 平内町 （ 東津軽郡 ）、1,560ヘクタールが 青森市  。","https://ja.wikipedia.org/wiki/浅虫夏泊県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯40度53分23.1秒東経140度51分54.5秒","日本青森県東津軽郡平内町・青森市","陸地4964ha・海域3526ha","都道府県立自然公園","","","","","","1953年（昭和28年）6月10日指定1982年（昭和57年）3月30日計画決定","","","","","1,023,583人（2014年）","","","","",""
"大鰐碇ヶ関温泉郷県立自然公園 (存在しないページ)","[大鰐碇ヶ関温泉郷県立自然公園]","https://ja.wikipedia.org/w/index.php?title=大鰐碇ヶ関温泉郷県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"種差海岸階上岳県立自然公園 (存在しないページ)","[種差海岸階上岳県立自然公園→2013年5月24日発足の三陸復興国立公園に編入され発展的に消滅。]","https://ja.wikipedia.org/w/index.php?title=種差海岸階上岳県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"名久井岳県立自然公園","[名久井岳県立自然公園] 名久井岳 （なくいだけ）とは、 青森県 南東部にある 標高 615.4mの 山 である。名久井岳の周辺は 名久井岳県立自然公園 に指定されている。","https://ja.wikipedia.org/wiki/名久井岳県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯40度23分16.6秒東経141度18分30.0秒","日本青森県三戸郡南部町・三戸町","","","","","","","","","","","","","","北緯40度23分16.6秒東経141度18分30.0秒﻿ / ﻿北緯40.387944度 東経141.308333度﻿ /40.387944; 141.308333座標:北緯40度23分16.6秒東経141度18分30.0秒﻿ / ﻿北緯40.387944度 東経141.308333度﻿ /40.387944; 141.308333","","615.4m","名久井山地",""
"芦野池沼群県立自然公園","[芦野池沼群県立自然公園] 芦野池沼群県立自然公園 （あしのぬまぐんけんりつしぜんこうえん）は、 青森県 五所川原市 と 北津軽郡 中泊町 にある青森県立の 自然公園 であり、主に ため池 とその周辺区域が指定されている。","https://ja.wikipedia.org/wiki/芦野池沼群県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯40度55分09秒東経140度26分60秒","日本青森県五所川原市北津軽郡中泊町","612ha","都道府県立自然公園","","","","","","1983年（昭和58年）11月19日指定","","","","","","","","","",""
"黒石温泉郷県立自然公園 (存在しないページ)","[黒石温泉郷県立自然公園]","https://ja.wikipedia.org/w/index.php?title=黒石温泉郷県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"岩木高原県立自然公園","[岩木高原県立自然公園] 岩木高原県立自然公園 （いわきこうげんけんりつしぜんこうえん）は、 青森県 弘前市 にある青森県立 自然公園 である。","https://ja.wikipedia.org/wiki/岩木高原県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯40度39分21秒東経140度18分11秒","日本青森県弘前市","2,587ha","都道府県立自然公園","","","","","","1958年（昭和33年）10月14日指定","","","","","","","","","",""
"津軽白神県立自然公園 (存在しないページ)","[津軽白神県立自然公園（→2017年3月31日に赤石渓流暗門の滝県立自然公園から名称変更。）]","https://ja.wikipedia.org/w/index.php?title=津軽白神県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"花巻温泉郷県立自然公園 (存在しないページ)","[花巻温泉郷県立自然公園]","https://ja.wikipedia.org/w/index.php?title=花巻温泉郷県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"久慈平庭県立自然公園 (存在しないページ)","[久慈平庭県立自然公園]","https://ja.wikipedia.org/w/index.php?title=久慈平庭県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"外山早坂県立自然公園 (存在しないページ)","[外山早坂県立自然公園]","https://ja.wikipedia.org/w/index.php?title=外山早坂県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"湯田温泉峡県立自然公園 (存在しないページ)","[湯田温泉峡県立自然公園]","https://ja.wikipedia.org/w/index.php?title=湯田温泉峡県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"折爪馬仙峡県立自然公園 (存在しないページ)","[折爪馬仙峡県立自然公園]","https://ja.wikipedia.org/w/index.php?title=折爪馬仙峡県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"五葉山県立自然公園 (存在しないページ)","[五葉山県立自然公園]","https://ja.wikipedia.org/w/index.php?title=五葉山県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"室根高原県立自然公園","[室根高原県立自然公園] 室根高原県立自然公園 （むろねこうげんけんりつしぜんこうえん）は、 岩手県 一関市 室根町折壁一帯から 陸前高田市 にまたがる 県立自然公園  である。","https://ja.wikipedia.org/wiki/室根高原県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯38度58分26秒東経141度26分45秒","日本岩手県一関市室根町折壁","","自然公園","岩手県","1974年","","","","","","","","","","","東日本旅客鉄道（JR東日本）大船渡線の折壁駅から岩手県道263号折壁大原線を車で約30分","","",""
"蔵王高原県立自然公園 (存在しないページ)","[蔵王高原県立自然公園]","https://ja.wikipedia.org/w/index.php?title=蔵王高原県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"阿武隈渓谷県立自然公園","[阿武隈渓谷県立自然公園] 阿武隈渓谷県立自然公園 （あぶくまけいこくけんりつしぜんこうえん）は、 宮城県 伊具郡 丸森町 筆甫付近に広がる 県立自然公園  である。","https://ja.wikipedia.org/wiki/阿武隈渓谷県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯37度51分13秒東経140度46分50秒","日本宮城県伊具郡丸森町筆甫","","自然公園","宮城県","","","","","","公式ウェブサイト","","","","","","","","",""
"二口峡谷","[県立自然公園二口峡谷] 二口峡谷 （ふたくちきょうこく）は 宮城県 仙台市 の西部、 名取川 上流に広がる峡谷。全長8キロメートルで、上流部は 蔵王国定公園 、中流-下流は 県立自然公園 二口峡谷に属する。下流には 秋保温泉 がある。仙台近郊の自然景勝地として親しまれ、 二口峠 を越えると山形市の 山寺 に到着する。","https://ja.wikipedia.org/wiki/二口峡谷","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"県立自然公園船形連峰","[県立自然公園船形連峰] 県立自然公園船形連峰 （けんりつしぜんこうえんふながたれんぽう）は、 宮城県 西部の1市3町にまたがる 県立自然公園 である。","https://ja.wikipedia.org/wiki/県立自然公園船形連峰","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯38度27分01秒東経140度37分53秒","日本宮城県黒川郡大和町・加美郡色麻町・仙台市・加美郡加美町","35,449ha","自然公園","宮城県","1962年11月1日","","","","","公式ウェブサイト","","","","","","","","",""
"松島","[県立自然公園松島] 松島 （まつしま）は、 宮城県 の松島湾内外にある 諸島 のこと。または、それら諸島と湾周囲を囲む 松島丘陵 も含めた修景地区のことである。 日本三景 の1つに数えられている。2018年の観光入込客数は600万人  。","https://ja.wikipedia.org/wiki/松島","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"県立自然公園旭山","[県立自然公園旭山] 県立自然公園旭山 （けんりつしぜんこうえんあさひやま）は、 宮城県 石巻市 北村にある 県立自然公園 である。","https://ja.wikipedia.org/wiki/県立自然公園旭山","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯38度29分18秒東経141度10分52秒","日本宮城県石巻市","34ha","自然公園","宮城県","1940年12月13日","","","","","公式ウェブサイト","","","","","","","","",""
"硯上山万石浦県立自然公園 (存在しないページ)","[硯上山万石浦県立自然公園]","https://ja.wikipedia.org/w/index.php?title=硯上山万石浦県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"県立自然公園気仙沼 (存在しないページ)","[県立自然公園気仙沼]","https://ja.wikipedia.org/w/index.php?title=県立自然公園気仙沼&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"八森岩館県立自然公園","[八森岩館県立自然公園] 八森岩館県立自然公園 （はちもりいわだてけんりつしぜんこうえん）は、 秋田県 北部、 八峰町 沿岸部に位置する 県立自然公園 。 1964年 （昭和39年） 7月16日 指定。 2004年 に 秋田白神県立自然公園 が指定されたことで、一部の領域が変更された。","https://ja.wikipedia.org/wiki/八森岩館県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"秋田白神県立自然公園","[秋田白神県立自然公園] 秋田白神県立自然公園 （あきたしらかみけんりつしぜんこうえん）は、 秋田県 の北部に位置する 県立自然公園 。 2004年 （平成16年） 8月24日 指定。 秋田県内の県立自然公園としては 1975年 （昭和50年）以来約30年ぶりの新規指定であった。","https://ja.wikipedia.org/wiki/秋田白神県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"田代岳県立自然公園","[田代岳県立自然公園] 田代岳 （たしろだけ）は、 秋田県 大館市 にある 標高 1,178mの 山 。 田代岳県立自然公園 の中心をなす。","https://ja.wikipedia.org/wiki/田代岳県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯40度25分43秒東経140度24分32秒","日本秋田県大館市早口","","","","","","","","","","","","","","北緯40度25分43秒東経140度24分32秒﻿ / ﻿北緯40.42861度 東経140.40889度﻿ /40.42861; 140.40889座標:北緯40度25分43秒東経140度24分32秒﻿ / ﻿北緯40.42861度 東経140.40889度﻿ /40.42861; 140.40889","","1,178m","白神山地",""
"きみまち阪県立自然公園","[きみまち阪県立自然公園] きみまち阪 （きみまちざか、徯后坂）は、 秋田県 能代市 二ツ井町にある県立自然公園の名称。秋田県有数の 桜 、 ツツジ 、 紅葉 の名所であり、時期ともなると県内はもとより県外からも観光客が訪れる。 デートスポット としても有名。","https://ja.wikipedia.org/wiki/きみまち阪県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"森吉山県立自然公園 (存在しないページ)","[森吉山県立自然公園]","https://ja.wikipedia.org/w/index.php?title=森吉山県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"太平山県立自然公園 (秋田県)","[太平山県立自然公園] 太平山県立自然公園 （たいへいざんけんりつしぜんこうえん）は、 秋田県 のほぼ中央部に位置する 県立自然公園 。 1972年 （昭和47年） 7月15日 指定。","https://ja.wikipedia.org/wiki/太平山県立自然公園_(秋田県)","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"田沢湖抱返り県立自然公園","[田沢湖抱返り県立自然公園] 田沢湖抱返り県立自然公園 （たざわこだきがえりけんりつしぜんこうえん）は、 秋田県 東部に位置する 県立自然公園 。","https://ja.wikipedia.org/wiki/田沢湖抱返り県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"真木真昼県立自然公園","[真木真昼県立自然公園] 真木真昼県立自然公園 （まぎまひるけんりつしぜんこうえん）は、 秋田県 東部に位置する 県立自然公園 。 1975年 （昭和50年）指定。","https://ja.wikipedia.org/wiki/真木真昼県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"庄内海浜県立自然公園 (存在しないページ)","[庄内海浜県立自然公園]","https://ja.wikipedia.org/w/index.php?title=庄内海浜県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"御所山県立自然公園 (存在しないページ)","[御所山県立自然公園]","https://ja.wikipedia.org/w/index.php?title=御所山県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"県南県立自然公園 (存在しないページ)","[県南県立自然公園]","https://ja.wikipedia.org/w/index.php?title=県南県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"加無山県立自然公園","[加無山県立自然公園] 加無山県立自然公園 （かぶさん-けんりつしぜんこうえん）は、 山形県 北部の 真室川町 を中心として、 秋田県 との県境にかけて広がる、山形県の 県立自然公園 である。地元では通称、 甑岳 (こしきだけ)と総称される地域である。面積は8,502haにも及ぶ。","https://ja.wikipedia.org/wiki/加無山県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"天童高原県立自然公園 (存在しないページ)","[天童高原県立自然公園]","https://ja.wikipedia.org/w/index.php?title=天童高原県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"最上川県立自然公園 (存在しないページ)","[最上川県立自然公園]","https://ja.wikipedia.org/w/index.php?title=最上川県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"霊山 (福島県)","[霊山県立自然公園] 霊山 （りょうぜん）は、 福島県 伊達市 と 相馬市 との境にそびえる標高825メートルの山  。国の 名勝 、 日本百景 、 県立自然公園 および うつくしま百名山 に指定されている。また、 南北朝時代 の重要な 城跡 遺構として国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/霊山_(福島県)","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯37度46分08秒東経140度41分15秒","日本福島県伊達市・相馬市","","","","","","","","","","","","","","北緯37度46分08秒東経140度41分15秒﻿ / ﻿北緯37.76889度 東経140.68750度﻿ /37.76889; 140.68750座標:北緯37度46分08秒東経140度41分15秒﻿ / ﻿北緯37.76889度 東経140.68750度﻿ /37.76889; 140.68750","","825m","阿武隈高地",""
"霞ヶ城県立自然公園","[霞ヶ城県立自然公園] 霞ヶ城県立自然公園 （かすみがじょうけんりつしぜんこうえん）とは、 福島県 ・中通り地方にある 二本松市 にある 県立自然公園 のこと。","https://ja.wikipedia.org/wiki/霞ヶ城県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"南湖県立自然公園","[南湖県立自然公園] 南湖公園 （なんここうえん）は、 福島県 白河市 にある 都市公園 （風致公園）である  。日本最古の公園といわれており、 1924年 （ 大正 13年）12月9日、国の 史跡 および 名勝 に指定されている。","https://ja.wikipedia.org/wiki/南湖県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯37度6分35秒 東経140度13分11秒","日本福島県白河市南湖白河市南湖-地理院地図南湖公園-Google マップ","44.4 ha","都市公園（風致公園）","白河市","","","","白河市のサイト","","","","","","","","","","",""
