"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","開業","公式サイト","運営","部屋数","最寄駅","階数","位置","正式名称","最寄IC","法人番号","外部リンク","ホテルチェーン","種類","設立","業種","代表者","資本金","前身"
"アパホテル&amp;リゾート 両国駅タワー (存在しないページ)","[11アパホテル&リゾート〈両国駅タワー〉東京都墨田区1,11131階] アパグループ （APA Group）は、 ビジネスホテル チェーン アパホテル の開発・運営、 マンション の開発・分譲を中心とした 不動産デベロッパー 。代表の 元谷外志雄 一族が株式を保有する アパ株式会社 、 アパグループ株式会社 、 アパホールディングス株式会社 、 アパホテル株式会社 などの 同族会社 で 企業集団 を形成しているが、資本構成の細部は非公表である。本社は 東京都 港区 赤坂 、本店は 石川県 金沢市 。","https://ja.wikipedia.org/w/index.php?title=アパホテル&リゾート_両国駅タワー&amp;action=edit&amp;redlink=1","日本の大規模ホテル一覧","https://ja.wikipedia.org/wiki/日本の大規模ホテル一覧","表形式","","","","","","","","","","","","8010401047441","http://www.apa.co.jp/","","株式会社","1988年4月1日","サービス業","代表取締役社長 元谷一志","1000万円（グループ合算で18億1,200万円）",""
"リーガロイヤルホテル","[12リーガロイヤルホテル大阪府大阪市1,04230階] リーガロイヤルホテル （ RIHGA ROYAL HOTEL ）は、 大阪府 大阪市 北区 中之島 五丁目にある ホテル 。 リーガロイヤルホテルチェーン に属する。本項では運営会社の 株式会社ロイヤルホテル （ The Royal Hotel, Ltd. ）についても述べる。リーガ（RIHGA）は、 Royal International Hotel Group & Associates の頭文字をとったものである。","https://ja.wikipedia.org/wiki/リーガロイヤルホテル","日本の大規模ホテル一覧","https://ja.wikipedia.org/wiki/日本の大規模ホテル一覧","表形式","北緯34度41分25.76秒 東経135度29分14.41秒","","","","","","","","","","","2120001072198","https://www.rihga.co.jp/","","株式会社","1932年（昭和7年）3月14日（株式会社新大阪ホテル）","サービス業","蔭山秀一（代表取締役社長）","132億29百万円（2015年7月30日現在）",""
"ヨドバシ梅田","[13ホテル阪急レスパイア大阪大阪府大阪市1,03035階] ヨドバシ梅田 （ヨドバシうめだ）は、 大阪府 大阪市 北区 大深町 （JR 大阪駅 前）にある 複合商業施設 。大手 家電量販店 の「 ヨドバシカメラ マルチメディア梅田」をはじめ、2019年にはヨドバシ梅田タワーが完成し、低層階ではファッションやレストランなどの多数の テナント が入居している専門店街の「LINKS UMEDA（リンクス ウメダ）」、高層階では 阪急阪神ホテルズ の大型ホテルで構成される。日本の家電量販店の中で最大の規模の店舗で、またマルチメディア梅田は単独店舗で年商1,000億円を上回る  。家電量販店としてはは売上高・売場面積ともに開業以来日本一であり、専門店街の「LINKS UMEDA」と併せて日本有数の規模の都市型商業施設である。","https://ja.wikipedia.org/wiki/ヨドバシ梅田#ホテル阪急レスパイア大阪","日本の大規模ホテル一覧","https://ja.wikipedia.org/wiki/日本の大規模ホテル一覧","表形式","北緯34度42分15.1秒東経135度29分46.7秒","〒530-0011大阪府大阪市北区大深町1-1","","","","","","","","ヨドバシカメラマルチメディア梅田","","","","","","","","","","大阪鉄道管理局庁舎（旧・JR西日本本社ビル）↓OSAKA梅田ゴルフドーム"
"シェラトン・グランデ・トーキョーベイ・ホテル","[14シェラトン・グランデ・トーキョーベイ・ホテル千葉県浦安市1,01612階] シェラトン・グランデ・トーキョーベイ・ホテル ( Sheraton Grande Tokyo Bay Hotel ) とは、 千葉県 浦安市 舞浜 にある ホテル である  。 東京ディズニーリゾート・オフィシャルホテル の一つ。","https://ja.wikipedia.org/wiki/シェラトン・グランデ・トーキョーベイ・ホテル","日本の大規模ホテル一覧","https://ja.wikipedia.org/wiki/日本の大規模ホテル一覧","表形式","","〒279-0031千葉県浦安市舞浜1-9","1988年（昭和63年）4月14日","公式サイト","ケーヨーリゾート開発合同会社","1016室","ディズニーリゾートラインベイサイド・ステーション","地下1階- 12階","","シェラトン・グランデ・トーキョーベイ・ホテルSheraton Grande Tokyo Bay Hotel","首都高速湾岸線浦安出入口,舞浜入口","","","","","","","","","シェラトン・グランデ・トーキョーベイ ホテル&タワーズ"
"東京ドームホテル","[15東京ドームホテル東京都文京区1,00643階] 東京ドームホテル （とうきょうドームホテル、 Tokyo Dome Hotel ）は、 東京都 文京区 後楽 にある シティホテル 。運営は 株式会社東京ドームホテル 。","https://ja.wikipedia.org/wiki/東京ドームホテル","日本の大規模ホテル一覧","https://ja.wikipedia.org/wiki/日本の大規模ホテル一覧","表形式","北緯35度42分13.3秒東経139度45分12.6秒","〒112-8562東京都文京区後楽一丁目3番61号","2000年（平成12年）6月1日","公式サイト","株式会社東京ドームホテル","1,006室","都営地下鉄三田線水道橋駅","B3 - 43階","北緯35度42分13.3秒東経139度45分12.6秒﻿ / ﻿北緯35.703694度 東経139.753500度﻿ /35.703694; 139.753500座標:北緯35度42分13.3秒東経139度45分12.6秒﻿ / ﻿北緯35.703694度 東経139.753500度﻿ /35.703694; 139.753500","東京ドームホテル","首都高速道路飯田橋出入口","","","","","","","","",""
"都ホテル 京都八条","[17都ホテル 京都八条京都府京都市98610階] 都ホテル 京都八条 （みやこホテル きょうとはちじょう）は、 京都市 南区 にある 近鉄グループ の 都ホテルズ&リゾーツ に加盟するホテルのひとつ。株式会社近鉄・都ホテルズが運営。","https://ja.wikipedia.org/wiki/都ホテル_京都八条","日本の大規模ホテル一覧","https://ja.wikipedia.org/wiki/日本の大規模ホテル一覧","表形式","北緯34度59分1.6秒東経135度45分21.3秒","〒601-8412京都市南区西九条院町17","1975年3月25日（本館）2005年9月23日（サウスウィング）","公式サイト","近鉄・都ホテルズ","986（本館714・サウスウィング272）室","京都駅","地下2階（本館）／地下1階（サウスウィング） - 地上10階（本館）／地上7階（サウスウィング）階","北緯34度59分1.6秒東経135度45分21.3秒﻿ / ﻿北緯34.983778度 東経135.755917度﻿ /34.983778; 135.755917座標:北緯34度59分1.6秒東経135度45分21.3秒﻿ / ﻿北緯34.983778度 東経135.755917度﻿ /34.983778; 135.755917","都ホテル 京都八条","名神高速道路京都南インターチェンジ","","","都ホテルズ&リゾーツ","","","","","","新・都ホテル（2019年3月31日までの名称）"
"新阪急ホテル","[18大阪新阪急ホテル大阪府大阪市96110階] 東京オリンピック や 東海道新幹線 開業に沸いた 1964年 （昭和39年）大阪 キタ の中心地・ 梅田 に開業した。 阪急東宝グループ の創始者である 小林一三 が開業させた 新橋第一ホテル における「特権階級向けではなくビジネスマンに使いやすいホテルを」という構想を、一三の死後、高度経済成長の時期に今度は大阪で実現させたものである。","https://ja.wikipedia.org/wiki/新阪急ホテル","日本の大規模ホテル一覧","https://ja.wikipedia.org/wiki/日本の大規模ホテル一覧","表形式","北緯34度42分18.212秒東経135度29分51.104秒","〒530-8310大阪府大阪市北区芝田一丁目1番35号","1964年（昭和39年）8月8日","公式サイト","阪急阪神ホテルズ","961室","阪急電鉄梅田駅・JR大阪駅","地下2階 - 地上10階","北緯34度42分18.212秒東経135度29分51.104秒﻿ / ﻿北緯34.70505889度 東経135.49752889度﻿ /34.70505889; 135.49752889","大阪新阪急ホテル","阪神高速11号池田線梅田出入口","","","","","","","","",""
"帝国ホテル","[19帝国ホテル東京都千代田区931本館17階、タワー31階] 帝国ホテル （ていこくホテル、 英称 ：Imperial Hotel）は、 東京都 千代田区 内幸町 にある ホテル である。運営者は、 株式会社帝国ホテル 。東京の他に、大阪、上高地にある。","https://ja.wikipedia.org/wiki/帝国ホテル","日本の大規模ホテル一覧","https://ja.wikipedia.org/wiki/日本の大規模ホテル一覧","表形式","北緯35度40分20.6秒東経139度45分30秒","","","","","","","","","","","8010001008711","www.imperialhotel.co.jp","","株式会社","1887年（明治20年）12月","サービス業","定保英弥（代表取締役社長）","14億8500万円",""
"グランドプリンスホテル新高輪","[20グランドプリンスホテル新高輪東京都品川区91915階] グランドプリンスホテル新高輪 （グランドプリンスホテルしんたかなわ、 英称 : Grand Prince Hotel Shin Takanawa ）とは、 東京都 港区 高輪 にある ホテル である。 グランドプリンスホテル の一つ。当初の英称は Grand Prince Hotel New Takanawa だったが、2019年10月1日をもって、 Grand Prince Hotel Shin Takanawa に変更された  。","https://ja.wikipedia.org/wiki/グランドプリンスホテル新高輪","日本の大規模ホテル一覧","https://ja.wikipedia.org/wiki/日本の大規模ホテル一覧","表形式","北緯35度37分50.4秒 東経139度44分0.8秒","","","","","","","","","","","","","","","","","","",""
"京急イーエックスイン","[21京急イーエックスイン品川駅前東京都品川区91830階] 株式会社京急イーエックスイン （けいきゅうイーエックスイン）は、 京浜急行電鉄 （京急）が100%出資する ビジネスホテル チェーン を運営する企業である。","https://ja.wikipedia.org/wiki/京急イーエックスイン","日本の大規模ホテル一覧","https://ja.wikipedia.org/wiki/日本の大規模ホテル一覧","表形式","","","","","","","","","","","","9010401070244","https://www.keikyu-exinn.co.jp/","","株式会社","2007年（平成19年）7月2日","サービス業","四宮浩","1,000万円",""
"アパホテル&amp;リゾート 御堂筋本町駅タワー (存在しないページ)","[22アパホテル&リゾート〈御堂筋本町駅タワー〉大阪府大阪市91332階] アパグループ （APA Group）は、 ビジネスホテル チェーン アパホテル の開発・運営、 マンション の開発・分譲を中心とした 不動産デベロッパー 。代表の 元谷外志雄 一族が株式を保有する アパ株式会社 、 アパグループ株式会社 、 アパホールディングス株式会社 、 アパホテル株式会社 などの 同族会社 で 企業集団 を形成しているが、資本構成の細部は非公表である。本社は 東京都 港区 赤坂 、本店は 石川県 金沢市 。","https://ja.wikipedia.org/w/index.php?title=アパホテル&リゾート_御堂筋本町駅タワー&amp;action=edit&amp;redlink=1","日本の大規模ホテル一覧","https://ja.wikipedia.org/wiki/日本の大規模ホテル一覧","表形式","","","","","","","","","","","","8010401047441","http://www.apa.co.jp/","","株式会社","1988年4月1日","サービス業","代表取締役社長 元谷一志","1000万円（グループ合算で18億1,200万円）",""
"ホテルサンルート有明","[23ホテルサンルート有明東京都江東区91220階] 1階から16階までは サンルートホテルチェーン 直営ホテル「 ホテルサンルート有明 」として、 2009年 6月25日 に開業した。","https://ja.wikipedia.org/wiki/ホテルサンルート有明","日本の大規模ホテル一覧","https://ja.wikipedia.org/wiki/日本の大規模ホテル一覧","表形式","北緯35度37分55.4秒東経139度47分22秒","〒135-0063東京都江東区有明三丁目6番6号","2009年6月25日","公式サイト","相鉄ホテルマネジメント","912室","りんかい線国際展示場駅徒歩3分ゆりかもめ東京ビッグサイト駅徒歩3分","地下1階 - 地上20階","北緯35度37分55.4秒東経139度47分22秒﻿ / ﻿北緯35.632056度 東経139.78944度﻿ /35.632056; 139.78944座標:北緯35度37分55.4秒東経139度47分22秒﻿ / ﻿北緯35.632056度 東経139.78944度﻿ /35.632056; 139.78944","相鉄グランドフレッサ東京ベイ有明","首都高速湾岸線有明出入口","","","相鉄ホテルズ","","","","","","1階 - 16階：ホテルサンルート有明17階 - 20階：ビーコンテ有明→オークウッドホテル&アパートメンツ有明→ホテルサンルート有明（プレミアムフロア）"
"新横浜プリンスホテル","[24新横浜プリンスホテル神奈川県横浜市90442階] 新横浜プリンスホテル （しんよこはまプリンスホテル）は 神奈川県 横浜市 港北区 新横浜 にある プリンスホテル 運営の シティホテル である。","https://ja.wikipedia.org/wiki/新横浜プリンスホテル","日本の大規模ホテル一覧","https://ja.wikipedia.org/wiki/日本の大規模ホテル一覧","表形式","北緯35度30分35秒東経139度37分9.9秒","〒222-8533神奈川県横浜市港北区新横浜3-4","1992年3月20日","公式サイト","プリンスホテル","904室","新横浜駅","地下3 - 42階","北緯35度30分35秒東経139度37分9.9秒﻿ / ﻿北緯35.50972度 東経139.619417度﻿ /35.50972; 139.619417座標:北緯35度30分35秒東経139度37分9.9秒﻿ / ﻿北緯35.50972度 東経139.619417度﻿ /35.50972; 139.619417","","","","","プリンスホテルズ&リゾーツ","","","","","",""
"アパホテル&amp;リゾート 札幌 (存在しないページ)","[25アパホテル＆リゾート〈札幌〉北海道札幌市90314階] アパグループ （APA Group）は、 ビジネスホテル チェーン アパホテル の開発・運営、 マンション の開発・分譲を中心とした 不動産デベロッパー 。代表の 元谷外志雄 一族が株式を保有する アパ株式会社 、 アパグループ株式会社 、 アパホールディングス株式会社 、 アパホテル株式会社 などの 同族会社 で 企業集団 を形成しているが、資本構成の細部は非公表である。本社は 東京都 港区 赤坂 、本店は 石川県 金沢市 。","https://ja.wikipedia.org/w/index.php?title=アパホテル&リゾート_札幌&amp;action=edit&amp;redlink=1","日本の大規模ホテル一覧","https://ja.wikipedia.org/wiki/日本の大規模ホテル一覧","表形式","","","","","","","","","","","","8010401047441","http://www.apa.co.jp/","","株式会社","1988年4月1日","サービス業","代表取締役社長 元谷一志","1000万円（グループ合算で18億1,200万円）",""
"グランドニッコー東京 台場","[26グランドニッコー東京 台場東京都港区88430階] グランドニッコー東京 台場 （グランドニッコーとうきょう だいば、 GRAND NIKKO TOKYO DAIBA ）は、 東京都 港区 台場 にある シティホテル である。 京急グループ のホテル・グランパシフィック・メリディアンとして開業し、ホテル グランパシフィック LE DAIBAを経て、 オークラ ニッコー ホテルマネジメント による運営に移行したことに伴い、 2016年 7月、現名称にリブランドされた。底地と建物は ヒューリック が所有する。","https://ja.wikipedia.org/wiki/グランドニッコー東京_台場","日本の大規模ホテル一覧","https://ja.wikipedia.org/wiki/日本の大規模ホテル一覧","表形式","北緯35度37分31.2秒東経139度46分19.5秒","〒135-8701東京都港区台場2丁目6番1号","1998年6月1日","公式サイト","京急都市開発→ホテル京急→ホテルグランパシフィック→グランドニッコー東京","884室","台場駅","地下3階 - 地上30階","北緯35度37分31.2秒東経139度46分19.5秒﻿ / ﻿北緯35.625333度 東経139.772083度﻿ /35.625333; 139.772083座標:北緯35度37分31.2秒東経139度46分19.5秒﻿ / ﻿北緯35.625333度 東経139.772083度﻿ /35.625333; 139.772083","","","","","ニッコー・ホテルズ・インターナショナル","","","","","","ホテル・グランパシフィック・メリディアン→ホテル グランパシフィック LE DAIBA"
"ルスツリゾート","[27ルスツリゾートホテル北海道留寿都村88023階] ルスツリゾート （英：RUSUTSU RESORT）は、 北海道 虻田郡 留寿都村 （ゴルフ場コースの一部は 喜茂別町 ）にあるリゾート施設。","https://ja.wikipedia.org/wiki/ルスツリゾート","日本の大規模ホテル一覧","https://ja.wikipedia.org/wiki/日本の大規模ホテル一覧","表形式","北緯42度44分51秒東経140度53分47秒","日本北海道虻田郡留寿都村","1983年6月","ルスツリゾート公式サイト","","","","","","","","","","","","","","","",""
"アパホテル","[28アパホテル〈大阪肥後橋駅前〉大阪府大阪市85030階] アパグループ （APA Group）は、 ビジネスホテル チェーン アパホテル の開発・運営、 マンション の開発・分譲を中心とした 不動産デベロッパー 。代表の 元谷外志雄 一族が株式を保有する アパ株式会社 、 アパグループ株式会社 、 アパホールディングス株式会社 、 アパホテル株式会社 などの 同族会社 で 企業集団 を形成しているが、資本構成の細部は非公表である。本社は 東京都 港区 赤坂 、本店は 石川県 金沢市 。","https://ja.wikipedia.org/wiki/アパホテル","日本の大規模ホテル一覧","https://ja.wikipedia.org/wiki/日本の大規模ホテル一覧","表形式","","","","","","","","","","","","8010401047441","http://www.apa.co.jp/","","株式会社","1988年4月1日","サービス業","代表取締役社長 元谷一志","1000万円（グループ合算で18億1,200万円）",""
"ANAインターコンチネンタルホテル東京","[29ANAインターコンチネンタルホテル東京東京都港区84437階] ANAインターコンチネンタルホテル東京 （エイ・エヌ・エイインターコンチネンタルホテルとうきょう、ANA InterContinental Tokyo）は、東京・ 赤坂 の アークヒルズ にある高級 ホテル である。運営は IHG・ANA・ホテルズグループジャパン 。","https://ja.wikipedia.org/wiki/ANAインターコンチネンタルホテル東京","日本の大規模ホテル一覧","https://ja.wikipedia.org/wiki/日本の大規模ホテル一覧","表形式","北緯35度40分5.62秒東経139度44分27.9秒","〒107-0052東京都港区赤坂1-12-33","1986年（昭和61年）6月7日","公式サイト","IHG・ANAホテルズグループ","844室","東京メトロ溜池山王駅東京メトロ六本木一丁目駅","地下3 - 36階","北緯35度40分5.62秒東経139度44分27.9秒﻿ / ﻿北緯35.6682278度 東経139.741083度﻿ /35.6682278; 139.741083座標:北緯35度40分5.62秒東経139度44分27.9秒﻿ / ﻿北緯35.6682278度 東経139.741083度﻿ /35.6682278; 139.741083","","首都高速都心環状線霞が関出入口","","","IHG・ANAホテルズグループ","","","","","","東京全日空ホテル"
"千葉県","[29東横INN成田空港本館千葉県成田市844] 首都圏 を構成し、 都道府県人口 ・ 人口密度 は第6位  、 面積 は第28位の規模である。県の 財政力指数 は全国第5位  、訪日旅客数は全国第3位  であり、 中心業務地区 の 幕張新都心 、 アジア地域 有数の 国際見本市 会場である 幕張メッセ 、国際線旅客数・就航都市数・貿易額で 日本一 の 成田国際空港 、日本三大港湾である東京港湾の一角を担う 千葉港 、水揚げ量日本一で日本三大漁港の 銚子漁港 、集客施設来場者数日本一の ディズニーリゾート 、日本で唯一 国際標準模式層断面及び地点 に認定され、 チバニアン（千葉時代） として地質年代の名称になる証拠となった地層 千葉セクション 、日本一の数を有する 海水浴場 、自然豊かな 南房総国定公園 ・ 水郷筑波国定公園 などを筆頭とした 観光 ・ リゾート地 、優れた 社会基盤 、豊かな 地域資源 、バランスの取れた 産業構造 を核としている  。 学区別平均年収 の最も高い 地域 は 千葉市立打瀬小学校 の学区で1064万円である。","https://ja.wikipedia.org/wiki/千葉県","日本の大規模ホテル一覧","https://ja.wikipedia.org/wiki/日本の大規模ホテル一覧","表形式","北緯35度36分16.4秒東経140度7分23.3秒","〒260-8667千葉県千葉市中央区市場町1番1号北緯35度36分16.4秒東経140度7分23.3秒﻿ / ﻿北緯35.604556度 東経140.123139度﻿ /35.604556; 140.123139","","","","","","","","","","4000020120006","千葉県","","","","","","",""
"東京ベイ有明ワシントンホテル","[31東京ベイ有明ワシントンホテル東京都江東区83021階] 東京ベイ有明ワシントンホテル （とうきょうベイありあけワシントンホテル、Tokyo Bay Ariake Washington Hotel）は、 東京都 江東区 有明 にある ホテル である。","https://ja.wikipedia.org/wiki/東京ベイ有明ワシントンホテル","日本の大規模ホテル一覧","https://ja.wikipedia.org/wiki/日本の大規模ホテル一覧","表形式","北緯35度37分57.3秒東経139度47分34.7秒","〒135-0063東京都江東区有明3-7-11","1999年","公式サイト","藤田観光","830室","ゆりかもめ有明駅徒歩3分、りんかい線国際展示場駅徒歩4分","","北緯35度37分57.3秒東経139度47分34.7秒﻿ / ﻿北緯35.632583度 東経139.792972度﻿ /35.632583; 139.792972座標:北緯35度37分57.3秒東経139度47分34.7秒﻿ / ﻿北緯35.632583度 東経139.792972度﻿ /35.632583; 139.792972","東京ベイ有明ワシントンホテル","首都高速道路湾岸線有明出入口","","","ワシントンホテルチェーン","","","","","",""
