"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","起点","終点","全長","現況","道路車線数","所属路線名","位置","開通","通行対象","設計速度","管理","幅","通行料金","完成","所有","建設開始","所在地","最高部","路線延長"
"雁坂トンネル","[9かりさか/雁坂トンネル11埼玉県山梨県/国道140-国道140号6,625有通行不可1984年1994年1998年国道のトンネルでは日本最長。原動機付自転車が通行できるトンネルとしても日本最長。] 雁坂トンネル有料道路 （かりさかトンネルゆうりょうどうろ）は、 埼玉県 秩父市 と 山梨県山梨市 との県境付近を結ぶ 有料道路 である。路線の大部分を 雁坂峠 （ 標高 ：2,082m）の下を通る 雁坂トンネル が占めており、全線が 国道140号 に指定されている。 1998年 （ 平成 10年） 4月23日 に開通した  。","https://ja.wikipedia.org/wiki/雁坂トンネル","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","北緯35度54分23.2秒東経138度49分03.5秒","埼玉県秩父市","山梨県山梨市","6,625m","供用中","往復2車線","国道140号","埼玉県・山梨県","1998年（平成10年）4月","自動車・原付","40 km/h（規制速度 : 40 km/h）※原付は30 km/h","山梨県道路公社","7.5 m","","1994年（平成6年）9月","","1988年（昭和63年）10月","","",""
"肥後トンネル","[10ひこ/肥後トンネル43熊本県きゆうしゆう-九州自動車道八代JCT～人吉IC6,340有通行不可1989年] 肥後トンネル （ひごトンネル）は、 熊本県 八代市 坂本町鮎帰から同県 球磨郡 山江村 万江に至る 九州自動車道 の トンネル である。","https://ja.wikipedia.org/wiki/肥後トンネル","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","","熊本県八代市坂本町鮎帰","熊本県球磨郡山江村万江","上り線：6,331 m下り線：6,340 m","供用中","片側2車線","E3九州自動車道","日本・ 熊本県","1989年","自動車（危険物積載車両除く）","80 km/h","西日本高速道路","","","","","","","",""
"加久藤トンネル","[11かくとう/加久藤トンネル43熊本県宮崎県きゆうしゆう-九州自動車道人吉IC～えびのIC6,264有通行不可1995年] 加久藤トンネル （かくとうトンネル）は、 熊本県 人吉市 と 宮崎県 えびの市 の 県境 間にある道路 トンネル 。 国道221号 または 九州自動車道 の各トンネルの名称である。","https://ja.wikipedia.org/wiki/加久藤トンネル","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","","熊本県人吉市","宮崎県えびの市","1,808.7 m","供用中","片側1車線","国道221号","","1972年","自動車・歩行者","50 km/h","","","","","","","","",""
"あつみトンネル","[12あつみ/あつみトンネル06山形県にほんかい-日本海東北自動車道あつみ温泉IC～いらがわIC6,022無通行不可2005年2010年2012年] あつみトンネル （温海トンネル）は、 山形県 鶴岡市 温海 にある 日本海東北自動車道 の トンネル である。本坑の全長は6,022 メートル (m) で、 2017年 11月4日に 東北中央自動車道 の 栗子トンネル が開通するまでは東北地方では最長の道路トンネルであった  。","https://ja.wikipedia.org/wiki/あつみトンネル","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","北緯38度38分31秒東経139度36分19秒","山形県鶴岡市温海","山形県鶴岡市五十川","本坑：6,022m避難坑：6,024 m","供用中","片側1車線","E7日本海東北自動車道"," 山形県","2012年3月24日","自動車","100km/h（規制速度:70 km/h）","国土交通省東北地方整備局酒田河川国道事務所","本坑：7 m避難坑：2.9 m","無料","2012年3月19日","","2006年7月25日","","",""
"袴腰トンネル","[13はかまこし/袴腰トンネル16富山県とうかいほくりく-東海北陸自動車道五箇山IC～福光IC5,939有通行不可2000年] 袴腰トンネル （はかまごしトンネル）は、 富山県 南砺市 にある 東海北陸自動車道 の トンネル 。全長5,939  m 。専用の避難用トンネルの完成により、火災時などの避難経路が確保されている。","https://ja.wikipedia.org/wiki/袴腰トンネル","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","北緯36度25分40秒東経136度52分30秒","富山県南砺市漆谷","富山県南砺市上田外26ケ村入会地","5,939 m","供用中","2車線（片側1車線）","E41東海北陸自動車道"," 富山県南砺市","2000年（平成12年）9月30日","自動車","80km/h（規制速度 : 70 km/h）","","","","","","","","",""
"横浜北トンネル","[14よこはまきた/横浜北トンネル14神奈川県/しゆとこう-首都高速神奈川7号横浜北線岸谷生麦出入口～新横浜出入口5,900[4] 横浜北トンネル （よこはまきたトンネル）は 首都高速神奈川7号横浜北線 の トンネル で、2017年の開通時点において横浜市内で最長の道路トンネルである  。","https://ja.wikipedia.org/wiki/横浜北トンネル","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","","横浜市港北区新羽町（地図）","横浜市神奈川区子安台（地図）","5.9km","運用中","2×2","首都高速神奈川7号横浜北線","","2017年3月18日","","60Km/h","首都高速道路株式会社","","（有料）","（東行）2013年10月（西行）2014年3月","","（東行）2010年12月（西行）2011年11月","","",""
"箕面トンネル (箕面有料道路)","[15みのお/箕面トンネル27大阪府/国道423-国道423号（箕面有料道路）5,623無通行不可2007年] 箕面トンネル （みのおトンネル）は、 大阪府 箕面市 白島と同市下止々呂美の間にある 箕面有料道路 の トンネル 。","https://ja.wikipedia.org/wiki/箕面トンネル_(箕面有料道路)","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","","箕面市白島","箕面市下止々呂美","5,623m","供用中","両側2車線","箕面有料道路（国道423号バイパス）","日本・ 大阪府","2007年5月30日","自動車（危険物積載車両は通行禁止）","80km/h","大阪府道路公社","","","","","","","",""
"阪奈トンネル","[16はんな/阪奈トンネル27大阪府奈良県たい2はんな-第二阪奈有料道路西石切ランプ～壱分ランプ5,578無通行不可1986年1997年] 阪奈トンネル （はんなトンネル）は、 大阪府 東大阪市 と 奈良県 生駒市 を結ぶ、 第二阪奈道路 の 自動車専用道路 の トンネル である。","https://ja.wikipedia.org/wiki/阪奈トンネル","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","","大阪府東大阪市","奈良県生駒市","5,578m大阪側：3,461 m奈良側：2,117 m","供用中","片側2車線","E92第二阪奈道路","","1997年（平成9年）4月23日","自動車","60km/h","","","","","","","","",""
"寒風山トンネル","[17かんふうさん/寒風山トンネル39高知県愛媛県/国道194-国道194号5,432無通行不可1981年1996年1999年無料で通れる一般道路の道路トンネルとしては日本最長。歩行者・軽車両および自転車が通行できるトンネルとしても日本最長。] 寒風山トンネル （かんぷうざんトンネル）は、 国道194号 の 高知県 吾川郡 いの町 と 愛媛県 西条市 との間の 寒風山 の下を貫く トンネル である。 四国 最長の道路トンネルでもある。旧寒風山トンネル（寒風山隧道）と区別する場合、 新寒風山トンネル ということもある。旧寒風山トンネルも併用されている（下記）。","https://ja.wikipedia.org/wiki/寒風山トンネル","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","北緯33度48分12秒東経133度15分42秒","高知県吾川郡いの町","愛媛県西条市","5,432m","運用中","片側1車線","国道194号","高知県吾川郡いの町・愛媛県西条市","1999年(平成11年)4月17日","","","","9m","無料","","","","","",""
"関電トンネル","[18かんてん/関電トンネル20長野県富山県かんてん-関電トンネル電気バス5,375有1958年立山黒部アルペンルート構成路線の一つ。関西電力による電気バス（1964年から2018年まではトロリーバス[5] 関電トンネル （かんでんトンネル）は 長野県 大町市 と 富山県 中新川郡 立山町 を結ぶ道路 トンネル 。 関西電力 が保有しており、同社が運行する 関電トンネル電気バス の経路として供用されている。","https://ja.wikipedia.org/wiki/関電トンネル","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","北緯36度34分0.2秒東経137度41分31.8秒","長野県大町市","富山県中新川郡立山町","5.4km","供用中","1車線","","鳴沢岳地下","1958年（昭和33年）2月","路線バス","","関西電力","","","","関西電力","1956年（昭和31年）8月","","1,470 m",""
"樽峠トンネル","[19たるとうけ/樽峠トンネル19山梨県静岡県ちゆうふおうたん-中部横断自動車道新清水JCT～富沢IC4,999[6] 樽峠トンネル （たるとうげトンネル）は、 静岡県 静岡市 清水区 と 山梨県 南巨摩郡 南部町 を結ぶ 中部横断自動車道 の トンネル である。","https://ja.wikipedia.org/wiki/樽峠トンネル","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","北緯35度10分42秒東経138度27分29秒","静岡県静岡市清水区","山梨県南巨摩郡南部町","4,999 m（標識では5,000 m）","供用中","片側1車線 (暫定2車線)","E52中部横断自動車道"," 静岡県・ 山梨県","2019年3月10日","自動車","80km/h（規制速度   70 km/h","中日本高速道路","9.5m","","","","","","",""
"荒島第二トンネル","[あらしまたいに/荒島第二トンネル18福井県　おおのあふらさかとうろ-大野油坂道路勝原IC～下山IC4,998[8] 荒島第二トンネル （あらしまだいにトンネル）は、 福井県 大野市 に建設中の 中部縦貫自動車道 の トンネル である。名称は仮称である。","https://ja.wikipedia.org/wiki/荒島第二トンネル","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","","福井県大野市","同上","4,998m","事業中","完成2車線","E67中部縦貫自動車道（大野油坂道路）"," 福井県","2022年（令和4年）度（予定）","自動車","60km/h","","12.0 m","無料","","","2014年（平成26年）8月30日","","",""
"区界峠","[20しんくさかい/新区界トンネル03岩手県/国道106号-国道106号（宮古盛岡横断道路）4,998[10] 区界峠 （くざかいとうげ）は 岩手県 盛岡市 から同県 宮古市 を結ぶ峠。標高751 m。","https://ja.wikipedia.org/wiki/区界峠#新区界トンネル","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","北緯39度39分13秒 東経141度20分59.3秒","","","","","","","","","","","","","","","","","","",""
"箕面トンネル (新名神高速道路)","[21みのお/箕面トンネル27大阪府しんめいしんこうそくとうろ-新名神高速道路茨木千提寺IC～箕面とどろみIC4,997[12] 箕面トンネル （みのおトンネル 英語記名 : Mino Tunnel）は、 大阪府 にある 新名神高速道路 の トンネル 。 茨木千提寺IC / PA （ 茨木市 ） - 箕面とどろみIC （ 箕面市 ）間に位置し、 北摂山系 鉢伏山 （標高604  m ）を貫通してトンネル途中で 豊能郡 豊能町 を通過する。","https://ja.wikipedia.org/wiki/箕面トンネル_(新名神高速道路)","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","北緯34度52分26.4秒 東経135度29分14.3秒","大阪府茨木市","大阪府箕面市","（上り線）4,997m（下り線）4,982m","供用中","片側2車線（暫定4車線）","E1A新名神高速道路","日本・ 大阪府","2017年（平成29年）12月10日","自動車","100km/h","西日本高速道路","上下線とも各8m（車線3.5 m×2＋路肩1 m）","","2016年12月3日（上下線貫通）","","","","",""
"青崩トンネル","[あおくすれ/青崩トンネル22静岡県長野県さんえんなんしん-三遠南信自動車道水窪IC～南信濃IC4,9902019年[14] 青崩トンネル （あおくずれトンネル）は、 長野県 飯田市 から 静岡県 浜松市 天竜区 に至る 三遠南信自動車道 の建設中のトンネルである。","https://ja.wikipedia.org/wiki/青崩トンネル","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","","長野県飯田市","静岡県浜松市天竜区","4,998m","事業中","2車線（完成2車線）","E69三遠南信自動車道"," 長野県・ 静岡県","未定","自動車","60km/h","国土交通省中部地方整備局飯田国道事務所","9.5 m","無料","","","2019年","","",""
"利賀トンネル (存在しないページ)","[22とか/利賀トンネル16富山県とかたむこうしようとうろ-利賀ダム工事用道路4,982[15]将来は国道471号の利賀バイパスに転用される予定。]","https://ja.wikipedia.org/w/index.php?title=利賀トンネル&amp;action=edit&amp;redlink=1","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"えりも黄金トンネル","[23えりもおうこん/えりも黄金トンネル01北海道/国道336-国道336号（黄金道路）4,9412006年2009年2011年既存の宇遠別トンネルと接続。北海道最長のトンネル。] えりも黄金トンネル （えりもおうごんトンネル）は、 北海道 幌泉郡 えりも町 の 国道336号 （ 黄金道路 ）上にある国道 トンネル 。全長は4,941 m で、北海道内の道路トンネルで最も長い。","https://ja.wikipedia.org/wiki/えりも黄金トンネル","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","北緯42度07分11秒東経143度18分59秒","日高振興局えりも町庶野","日高振興局えりも町目黒","4,941m","供用中","2車線","","日本北海道","2011年（平成23年）2月2日","","","","","","","","","","6.6m",""
"岐阜山県第一トンネル (存在しないページ)","[きふやまかた/岐阜山県第一トンネル21岐阜県とうかいかんしよう-東海環状自動車道山県IC～岐阜IC4,931[16]2018年]","https://ja.wikipedia.org/w/index.php?title=岐阜山県第一トンネル&amp;action=edit&amp;redlink=1","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"大和川第3トンネル (存在しないページ)","[24やまとかわたいさん/大和川第3トンネル27大阪府はんしんこうそく6こうやまとかわ-阪神高速6号大和川線鉄砲出入口～三宅西出入口4,922[17]2020年]","https://ja.wikipedia.org/w/index.php?title=大和川第3トンネル&amp;action=edit&amp;redlink=1","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"大万木トンネル","[25おおよろき/大万木トンネル34広島県島根県まつえ-松江自動車道高野IC～雲南吉田IC4,8782008年2011年2013年] 大万木トンネル （おおよろぎトンネル）は、 広島県 庄原市 と 島根県 雲南市 に跨る 松江自動車道 の 高野IC - 雲南吉田IC 間に位置する トンネル である。","https://ja.wikipedia.org/wiki/大万木トンネル","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","","広島県庄原市高野町和南原","島根県雲南市吉田町吉田","4,878 m","供用中","暫定2車線","E54松江自動車道","広島県・島根県","2013年（平成25年）3月30日","自動車","80km/h（規制速度 : 70km/h）","国土交通省","","無料","2011年（平成23年）","国土交通省","2008年（平成20年）11月","","",""
"ささゆりトンネル (存在しないページ)","[26ささゆり/ささゆりトンネル21岐阜県のうひおうたん-濃飛横断自動車道金山IC～下呂IC4,8772012年]","https://ja.wikipedia.org/w/index.php?title=ささゆりトンネル&amp;action=edit&amp;redlink=1","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"猪八重トンネル","[いのはえ/猪八重トンネル45宮崎県ひかしきゆうしゆうしとうしやとう-東九州自動車道清武南IC～日南北郷IC4,858[18] 猪八重トンネル （いのはえトンネル）は 宮崎県 日南市 北郷町 で建設中の 東九州自動車道 のトンネルである。トンネル自体は2013年（平成25年）に貫通しているが、他のトンネルの工事の遅れ等により、2022年（令和4年）供用開始を予定している  。全長4,858m  。供用開始後、東九州道では最長、九州では 肥後トンネル （6,340m）、 加久藤トンネル （6,264m）に次いで3番目（宮崎県内では加久藤トンネルに次いで2番目）に長い道路トンネルになる予定である。","https://ja.wikipedia.org/wiki/猪八重トンネル","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","","日南市北郷町北河内","日南市北郷町郷之原","4,858m","貫通済（未供用）","暫定2車線（完成4車線）","E78東九州自動車道"," 宮崎県","2022年度供用開始","自動車","100km/h（暫定80km/h）","国土交通省 宮崎河川国道事務所","14.5m","無料","2013年4月8日（貫通）","国土交通省九州地方整備局","","","",""
"北薩トンネル","[27ほくさつ/北薩トンネル46鹿児島県ほくさつおうたんとうろ-北薩横断道路きららIC～中屋敷IC4,8502009年2013年2018年] 北薩トンネル （ほくさつトンネル）は、 鹿児島県 薩摩郡 さつま町 泊野から同県 出水市 高尾野町柴引に至る 北薩横断道路 の トンネル である。全長は4,850  m であり、鹿児島県の道路トンネルとしては最長   、 九州地方 の道路トンネルとしては 九州自動車道 の 加久藤トンネル に次いで3番目の延長を有する（ 2018年 現在）。","https://ja.wikipedia.org/wiki/北薩トンネル","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","","鹿児島県薩摩郡さつま町泊野（地図）","鹿児島県出水市高尾野町柴引（地図）","4,850m","供用中","2車線（暫定二車線）","北薩横断道路泊野道路","鹿児島県","2018年3月25日","自動車","60km/h","鹿児島県北薩地域振興局","9.5 m","無料","2013年3月24日","鹿児島県","2009年3月16日","","",""
"冠山峠2号トンネル (存在しないページ)","[かんむりやまとうけにこう/冠山峠2号トンネル21岐阜県福井県/国道417-国道417号4,834[19]2014年2020年[20]2024年]","https://ja.wikipedia.org/w/index.php?title=冠山峠2号トンネル&amp;action=edit&amp;redlink=1","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"青橅山トンネル (存在しないページ)","[あおふなやま/青橅山トンネル02青森県/国道103-国道103号4,810]","https://ja.wikipedia.org/w/index.php?title=青橅山トンネル&amp;action=edit&amp;redlink=1","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"滝室坂トンネル (存在しないページ)","[たきむろさか/滝室坂トンネル43熊本県/国道57-国道57号（中九州横断道路）4,800[21]2018年[21]]","https://ja.wikipedia.org/w/index.php?title=滝室坂トンネル&amp;action=edit&amp;redlink=1","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"笹子トンネル (中央自動車道)","[28ささこ/笹子トンネル19山梨県ちゆうおう-中央自動車道大月JCT～勝沼IC4,784有1975年1977年] 笹子トンネル （ささごトンネル）は、 山梨県 大月市 と同県 甲州市 の間にある、 中央自動車道 本線（西宮線）の トンネル である。","https://ja.wikipedia.org/wiki/笹子トンネル_(中央自動車道)","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","北緯35度37分7.7秒東経138度47分42.8秒","山梨県大月市笹子町","山梨県甲州市大和町","（上り線）4,784m（下り線）4,717 m","供用中","（上り線）2車線（下り線）2車線","E20中央自動車道"," 山梨県","1977年（昭和52年）12月20日","自動車","80km/h（規制速度:70 km/h）","","","","1975年（昭和50年）","中日本高速道路株式会社","","","",""
