"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","開園","公式サイト","管理運営","位置","面積","事業主体","前身","愛称","閉園","キャッチコピー","来園者数","運営者","テーマ","所有者","分類","外部リンク","住所","開業"
"郡山カルチャーパーク","[郡山カルチャーパーク　ドリームランド07福島1989] 郡山カルチャーパーク （こおりやまカルチャーパーク）は、 福島県 郡山市 安積町 にある レジャー施設 である。","https://ja.wikipedia.org/wiki/郡山カルチャーパーク#ドリームランド","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯37度22分0.1秒 東経140度19分43.9秒","〒963-0112福島県郡山市安積町成田字東丸山61番地","1989年","http://www.koriyamaculturepark.com/","郡山市観光交流振興公社","","","郡山市","","カルチャーパーク","","夢の国ワクワク！！元気いっぱいあそぶぞっ！！","","","","","","","",""
"国営ひたち海浜公園","[国営ひたち海浜公園（プレジャーガーデン）08茨城1991] 国営ひたち海浜公園 （こくえいひたちかいひんこうえん）  は、 茨城県 ひたちなか市 にある 日本 の 国営公園 である。","https://ja.wikipedia.org/wiki/国営ひたち海浜公園","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯36度24分2秒東経140度35分29秒","日本茨城県ひたちなか市","1991年（平成3年）10月5日","公式サイト","","","350ha","","アメリカ軍水戸射爆撃場","","","","","日本国（国土交通省関東地方整備局）","","","国営公園・都市公園","","",""
"かみね公園","[かみね公園08茨城1957] 日立市かみね公園 （ひたちしかみねこうえん）は、 茨城県 日立市 にある 公園 。 平和通り と共に 日本さくら名所100選 に選定されている。運営は公益財団法人 日立市公園協会。","https://ja.wikipedia.org/wiki/かみね公園","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯36度36分32.2秒東経140度39分26.4秒","日本茨城県日立市宮田町5-2-22北緯36度36分32.2秒東経140度39分26.4秒﻿ / ﻿北緯36.608944度 東経140.657333度﻿ /36.608944; 140.657333","1957年","","","","","","","","","","","日立市公園協会","","","都市公園","","",""
"那須ハイランドパーク","[那須ハイランドパーク09栃木1969] 那須ハイランドパーク （なすハイランドパーク）は、 栃木県 那須町 にある 北関東 最大級の レジャーランド 。","https://ja.wikipedia.org/wiki/那須ハイランドパーク","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯37度3分50.3秒 東経139度57分53.2秒","〒325-0398栃木県那須郡那須町高久乙3375","1969年8月","http://www.nasuhai.co.jp/","藤和那須リゾート株式会社","","500,000㎡","藤和那須リゾート株式会社","","","","東日本最大級の遊園地","","","","","","","",""
"那須りんどう湖 LAKE VIEW","[那須りんどう湖 LAKE VIEW09栃木1965旧・りんどう湖ファミリー牧場] 那須高原りんどう湖ファミリー牧場 （なすこうげんりんどうこファミリーぼくじょう、Nasukougen Rindouko family bokujo）は、 栃木県 那須郡 那須町 にある 観光牧場 と 遊園地 の要素を合わせ持った テーマパーク である。","https://ja.wikipedia.org/wiki/那須りんどう湖_LAKE_VIEW","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯37度02分46.7秒東経140度02分53.1秒","〒325-0302栃木県那須郡那須町高久丙414-2","1965年6月","https://www.rindo.co.jp/","","北緯37度02分46.7秒東経140度02分53.1秒﻿ / ﻿北緯37.046306度 東経140.048083度﻿ /37.046306; 140.048083座標:北緯37度02分46.7秒東経140度02分53.1秒﻿ / ﻿北緯37.046306度 東経140.048083度﻿ /37.046306; 140.048083","200,000m2","那須興業株式会社","那須りんどう湖ファミリー牧場→那須りんどう湖 LAKE VIEW","りんどう湖","","","","","那須高原の小さなスイス","","","","",""
"とちのきファミリーランド","[とちのきファミリーランド09栃木1979] とちのきファミリーランド は 栃木県 宇都宮市 の 栃木県総合運動公園 内に所在する 遊園地 。県有地で外郭団体が運営する。 1979年 4月にオープン。入場料を徴収しないため、ショー観覧や子どもの付き添いなどで入場だけすることも可能である。アトラクションを利用する場合、正面入口の窓口でワンデーパスを購入するか、券売機にてチケットを購入する。","https://ja.wikipedia.org/wiki/とちのきファミリーランド","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯36度30分44.6秒東経139度51分30.5秒","〒321-0152栃木県宇都宮市西川田4-1-1栃木県総合運動公園内","1979年4月","http://www.park-tochigi.com/tochinoki/","公益財団法人栃木県民公園福祉協会","北緯36度30分44.6秒東経139度51分30.5秒﻿ / ﻿北緯36.512389度 東経139.858472度﻿ /36.512389; 139.858472座標:北緯36度30分44.6秒東経139度51分30.5秒﻿ / ﻿北緯36.512389度 東経139.858472度﻿ /36.512389; 139.858472","","","","","","","","","","","","","",""
"華蔵寺公園遊園地","[華蔵寺公園遊園地10群馬1970旧・伊勢崎公園（1911）] 華蔵寺公園 （けぞうじこうえん）は、 群馬県 伊勢崎市 華蔵寺町・堤西町にまたがる 都市公園 （総合公園）である  。公園名の由来である華蔵寺に隣接し、広場、 遊園地 、各種運動施設（ 野球場 、 体育館 、 陸上競技場 、競泳場、市民 プール ）からなる。本項目では園内の 華蔵寺公園遊園地 についても述べる。","https://ja.wikipedia.org/wiki/華蔵寺公園遊園地","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","群馬県伊勢崎市華蔵寺町、堤西町","","伊勢崎市のサイト","","","26.6 ha","","","","","","","伊勢崎市（指定管理者：公益財団法人伊勢崎市公共施設管理公社）","","","都市公園（総合公園）","","",""
"るなぱあく","[るなぱあく10群馬1954] るなぱあく は、 群馬県 前橋市 にある 遊園地 。正式名称は「前橋市中央児童遊園」  で、 1954年 （昭和29年）11月に開園した前橋市立の遊園地である。 2004年 （平成16年）4月、市民公募によって「前橋るなぱあく」の愛称が付けられた。コンセプトは「にっぽんいちなつかしいゆうえんち」。","https://ja.wikipedia.org/wiki/るなぱあく","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯36度23分43.08秒東経139度03分47.05秒","〒371-0026群馬県前橋市大手町三丁目16-3","1954年（昭和29年）","前橋市中央児童遊園るなぱあく","株式会社オリエンタル群馬","北緯36度23分43.08秒東経139度03分47.05秒﻿ / ﻿北緯36.3953000度 東経139.0630694度﻿ /36.3953000; 139.0630694座標:北緯36度23分43.08秒東経139度03分47.05秒﻿ / ﻿北緯36.3953000度 東経139.0630694度﻿ /36.3953000; 139.0630694","8,815㎡","前橋市","","","","","約450,000人（2008年（平成20年）1月）","","","","","","",""
"渋川スカイランドパーク (存在しないページ)","[渋川スカイランドパーク10群馬1998]","https://ja.wikipedia.org/w/index.php?title=渋川スカイランドパーク&amp;action=edit&amp;redlink=1","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"おもちゃ王国","[軽井沢おもちゃ王国10群馬1999] 株式会社 おもちゃ王国 （おもちゃおうこく）は、 岡山県 玉野市 に本拠を置く日本の 企業 。同名の テーマパーク グループ「 おもちゃ王国 」の設置・運営・ フランチャイズ 管理を主業務としている。「おもちゃ王国」は同社の登録商標（第4867891号ほか）。","https://ja.wikipedia.org/wiki/おもちゃ王国","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"桐生が岡公園","[桐生が岡遊園地10群馬1953] 桐生が岡公園 （きりゅうがおかこうえん）は、 群馬県 桐生市 宮本町 、 西久方町 に位置している桐生市立の 都市公園 （総合公園）である  。","https://ja.wikipedia.org/wiki/桐生が岡公園","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯36度25分25.4秒東経139度20分27.6秒","群馬県桐生市宮本町二、三、四丁目、西久方町二丁目","","桐生が岡動物園桐生が岡遊園地","","","10.80ha","","","","","","","桐生市（桐生が岡遊園地は、指定管理者の公益財団法人桐生市スポーツ文化事業団","","","都市公園（総合公園）","","",""
"木更津かんらんしゃパークKISARAPIA","[木更津かんらんしゃパークKISARAPIA12千葉2016] 木更津かんらんしゃパークKISARAPIA （きさらづかんらんしゃパークキサラピア、 英 : Kisarazu Kanransha Park Kisarapia 、 略 :キサラピア）は、 千葉県 木更津市 金田東2丁目10番1にある 三井アウトレットパーク木更津 に隣接した 遊園地 。","https://ja.wikipedia.org/wiki/木更津かんらんしゃパークKISARAPIA","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯35度26分7秒東経139度56分6秒","〒292-0009日本千葉県木更津市金田東2丁目10番1","2016年7月1日","木更津かんらんしゃパークKISARAPIA","","北緯35度26分7秒東経139度56分6秒﻿ / ﻿北緯35.43528度 東経139.93500度﻿ /35.43528; 139.93500座標:北緯35度26分7秒東経139度56分6秒﻿ / ﻿北緯35.43528度 東経139.93500度﻿ /35.43528; 139.93500","約2万7千m2","泉陽興業株式会社","","キサラピア","","","","","","","","","",""
"東京ディズニーシー","[東京ディズニーシー12千葉2001] 年間来場者数は約1,350万人で、世界の テーマパーク ・ アミューズメントパーク の中では世界5位  。","https://ja.wikipedia.org/wiki/東京ディズニーシー","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯35度37分36.01秒東経139度53分17.02秒","〒279-0031千葉県浦安市舞浜1-1","2001年（平成13年）9月4日","東京ディズニーシー オフィシャルウェブサイト","株式会社オリエンタルランド","北緯35度37分36.01秒東経139度53分17.02秒﻿ / ﻿北緯35.6266694度 東経139.8880611度﻿ /35.6266694; 139.8880611座標:北緯35度37分36.01秒東経139度53分17.02秒﻿ / ﻿北緯35.6266694度 東経139.8880611度﻿ /35.6266694; 139.8880611","49万m2","株式会社オリエンタルランド","","TDS（略称）","","冒険とイマジネーションの海Where Adventure and Imagination Set Sail","1346万人（2016年度）","","ディズニー","","","","",""
"東京ディズニーランド","[東京ディズニーランド12千葉1983] 東京ディズニーランド （とうきょうディズニーランド、 英称 ：Tokyo Disneyland、 略称 ： TDL ）は、 千葉県 浦安市 舞浜 にある 東京ディズニーリゾート を形成する 日本 の ディズニーパーク 。","https://ja.wikipedia.org/wiki/東京ディズニーランド","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯35度37分58秒東経139度52分50秒","〒279-0031千葉県浦安市舞浜1-1","1983年（昭和58年）4月15日","https://www.tokyodisneyresort.jp/tdl/","株式会社オリエンタルランド","北緯35度37分58秒東経139度52分50秒﻿ / ﻿北緯35.63278度 東経139.88056度﻿ /35.63278; 139.88056座標:北緯35度37分58秒東経139度52分50秒﻿ / ﻿北緯35.63278度 東経139.88056度﻿ /35.63278; 139.88056","51万m2","株式会社オリエンタルランド","","TDL（略称）","","夢と魔法の王国The Kingdom of Dreams and Magic","1,791万人（2018年度）","","ディズニー","","","","",""
"東京ドイツ村","[東京ドイツ村12千葉2001] 東京ドイツ村 （とうきょうドイツむら）とは、 千葉県 袖ケ浦市 にある テーマパーク である。通称 ドイツ村 。入場者数は年間約100万人以上  。冬季のイルミネーションは過去(2012-2018)、 関東三大イルミネーション に認定されていた   。","https://ja.wikipedia.org/wiki/東京ドイツ村","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯35度24分20秒東経140度3分34秒","〒299-0204千葉県袖ケ浦市永吉419","2001年3月8日","東京ドイツ村","","北緯35度24分20秒東経140度3分34秒﻿ / ﻿北緯35.40556度 東経140.05944度﻿ /35.40556; 140.05944座標:北緯35度24分20秒東経140度3分34秒﻿ / ﻿北緯35.40556度 東経140.05944度﻿ /35.40556; 140.05944","","明和興産株式会社","","","","花と緑のテーマパーク","","","共生","","","","",""
"マザー牧場","[マザー牧場12千葉1962] マザー牧場 （マザーぼくじょう）は、 千葉県 富津市 の 鬼泪山 山頂付近にある テーマパーク 。 南房総国定公園 内に位置し、 関東 最大級である250万平方メートルの敷地を有する。","https://ja.wikipedia.org/wiki/マザー牧場","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯35度14分45.7秒東経139度56分5.4秒","〒299-1601日本千葉県富津市田倉940-3","1962年","マザー牧場","","北緯35度14分45.7秒東経139度56分5.4秒﻿ / ﻿北緯35.246028度 東経139.934833度﻿ /35.246028; 139.934833座標:北緯35度14分45.7秒東経139度56分5.4秒﻿ / ﻿北緯35.246028度 東経139.934833度﻿ /35.246028; 139.934833","約250万平方メートル","株式会社マザー牧場","","","","花と動物たちのエンターテイメントファーム","","","","","","","",""
"ロマンの森共和国","[ロマンの森共和国12千葉1969] この記事には 複数の問題があります 。 改善 や ノートページ での議論にご協力ください。","https://ja.wikipedia.org/wiki/ロマンの森共和国","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"千葉こどもの国キッズダム","[千葉こどもの国キッズダム12千葉1971] 千葉こどもの国キッズダム （ちばこどものくにキッズダム、英:Chiba Children's Country kids Dam）は、 日本 の 千葉県 市原市 山倉 （山倉湖）の湖畔に位置する 児童厚生施設 の 自然遊園地 である。 房総の魅力500選 に指定されている。","https://ja.wikipedia.org/wiki/千葉こどもの国キッズダム","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯35度29分23秒東経140度7分57秒","日本千葉県市原市山倉1487番地","1971年","千葉こどもの国キッズダム","","","18万m2","","千葉こどもの国","","","","","千葉県レクリエーション都市開発","","","","","",""
"蓮沼海浜公園","[蓮沼海浜公園12千葉?] 蓮沼海浜公園 （はすぬまかいひんこうえん）は、 千葉県 山武市 にある千葉県立の 都市公園 （レクリエーション都市）である。 海浜公園 と レジャー 施設が整備され、 ウォーターガーデン やガーデンハウスマリーノ（宿泊施設）、展望台  、 スポーツ 施設などからなる。","https://ja.wikipedia.org/wiki/蓮沼海浜公園","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯35度35分56秒 東経140度30分51秒","千葉県山武市蓮沼ホ","","千葉県のサイト","","","38.3ha（計画170.1ha）","","","","","","","千葉県（指定管理者：千葉県レクリエーション都市開発株式会社グループ）","","","都市公園（レクリエーション都市）","","",""
"もりのゆうえんち (存在しないページ)","[もりのゆうえんち12千葉2008]","https://ja.wikipedia.org/w/index.php?title=もりのゆうえんち&amp;action=edit&amp;redlink=1","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"ふなばしアンデルセン公園","[ふなばしアンデルセン公園12千葉1987] ふなばしアンデルセン公園 （ふなばしアンデルセンこうえん）は、 千葉県 船橋市 にある 総合公園 である。 トリップアドバイザー の「トラベラーズチョイス 世界の人気観光スポット2015」の「テーマパーク部門」  にて 東京ディズニーランド 、 東京ディズニーシー に次ぐ日本国内3位。年間来場者数は約90万人  。 名所 として 房総の魅力500選 に選定されている。","https://ja.wikipedia.org/wiki/ふなばしアンデルセン公園","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯35度45分35.97秒東経140度3分46.58秒","〒274-0054千葉県船橋市金堀町525番","1996年（平成8年）10月25日（ワンパク王国は1987年（昭和62年）11月15日）","ふなばしアンデルセン公園","公益財団法人船橋市公園協会","北緯35度45分35.97秒東経140度3分46.58秒﻿ / ﻿北緯35.7599917度 東経140.0629389度﻿ /35.7599917; 140.0629389座標:北緯35度45分35.97秒東経140度3分46.58秒﻿ / ﻿北緯35.7599917度 東経140.0629389度﻿ /35.7599917; 140.0629389","約39万平方メートル","公益財団法人船橋市公園協会","ワンパク王国（園内にゾーンの一つとして現存）","","","","","","","","","","",""
"ターザニア (存在しないページ)","[ターザニア12千葉?]","https://ja.wikipedia.org/w/index.php?title=ターザニア&amp;action=edit&amp;redlink=1","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"大慶園","[大慶園12千葉?] 大慶園 （だいけいえん）は、 千葉県 市川市 大町 にある アミューズメントパーク 。","https://ja.wikipedia.org/wiki/大慶園","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"西武園ゆうえんち","[西武園ゆうえんち11埼玉1950] 西武園ゆうえんち （せいぶえんゆうえんち）は、 埼玉県 所沢市 大字 山口2964にある 遊園地 。メインゲート前に埼玉県と 東京都 の都県境があり、 駐車場 の一部が東京都 東村山市 に属する。","https://ja.wikipedia.org/wiki/西武園ゆうえんち","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯35度46分5.9秒東経139度26分31.9秒","日本","","www.seibu-leisure.co.jp","","","210,000 m2","","","","","","","株式会社西武園ゆうえんち","","西武鉄道","","","埼玉県所沢市山口2964","1950年1月25日"
"ハイブリッド・レジャーランド東武動物公園","[ハイブリッド・レジャーランド東武動物公園11埼玉1981] ハイブリッド・レジャーランド東武動物公園 （ハイブリッド・レジャーランドとうぶどうぶつこうえん）は、 埼玉県 南埼玉郡 宮代町 と 白岡市 にある 遊園地 と 動物園 を併設している レジャーランド 。総面積は 関東 最大級の61 ha 。","https://ja.wikipedia.org/wiki/ハイブリッド・レジャーランド東武動物公園","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯36度1分12.3秒東経139度43分11秒","〒345-0831埼玉県南埼玉郡宮代町須賀110","1981年（昭和56年）3月28日","","株式会社 東武レジャー企画","北緯36度1分12.3秒東経139度43分11秒﻿ / ﻿北緯36.020083度 東経139.71972度﻿ /36.020083; 139.71972座標:北緯36度1分12.3秒東経139度43分11秒﻿ / ﻿北緯36.020083度 東経139.71972度﻿ /36.020083; 139.71972","","","","TDK・東武公","","","","","","東武グループ","","","",""
"むさしの村","[むさしの村11埼玉1969] むさしの村 （むさしのむら）は、 埼玉県 加須市 志多見にある 遊園地 ・ 農業 体験施設。 1969年 に開園。","https://ja.wikipedia.org/wiki/むさしの村","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯36度8分14.7秒 東経139度33分1.6秒","〒347-0042埼玉県加須市志多見1700-1","1969年1月","http://www.musashinomura.co.jp/","株式会社 むさしの村","","","","","むさしの村","","","","","食と農を基軸とした観光農園と遊園地事業のミックス・ファーム型レジャーランド","","","","",""
"浅草花やしき","[浅草花やしき13東京1853旧・花屋敷] 浅草花やしき （あさくさはなやしき）は、 東京都 台東区 浅草 の 浅草寺 西側にある 遊園地 。 1853年 （ 嘉永 6年）開園で、 日本 最初の遊園地 とされる。ただし 第二次世界大戦 の影響で一度取り壊された後、 1947年 に再開園したという経緯があるため、「現存する 日本最古 の遊園地」の地位は 1910年 開業の 大阪府 枚方市 にある ひらかたパーク （通称:ひらパー）  に譲る。","https://ja.wikipedia.org/wiki/浅草花やしき","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯35度42分55.66秒東経139度47分40.84秒","〒111-0032東京都台東区浅草二丁目28番1号","1949年","https://www.hanayashiki.net/","","北緯35度42分55.66秒東経139度47分40.84秒﻿ / ﻿北緯35.7154611度 東経139.7946778度﻿ /35.7154611; 139.7946778座標:北緯35度42分55.66秒東経139度47分40.84秒﻿ / ﻿北緯35.7154611度 東経139.7946778度﻿ /35.7154611; 139.7946778","1860坪","株式会社花やしき","植物園「花屋敷」","花やしき","","","","","","","","","",""
"あらかわ遊園","[あらかわ遊園13東京1922旧・荒川遊園] 荒川区立あらかわ遊園 （あらかわくりつあらかわゆうえん）は、 東京都 荒川区 西尾久6-35-11にある 遊園地 。 2018年 （ 平成 30年） 12月1日 より工事に伴い長期休園中となっている。","https://ja.wikipedia.org/wiki/あらかわ遊園","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯35度45分13秒東経139度45分31秒","〒116-0011　東京都荒川区西尾久六丁目35番11号","1922年5月","http://www.city.arakawa.tokyo.jp/yuuen/","","北緯35度45分13秒東経139度45分31秒﻿ / ﻿北緯35.75361度 東経139.75861度﻿ /35.75361; 139.75861座標:北緯35度45分13秒東経139度45分31秒﻿ / ﻿北緯35.75361度 東経139.75861度﻿ /35.75361; 139.75861","約3万m2","荒川区","","荒川遊園地","","わくわくメルヘンランド","","","","","","","",""
"東京ドームシティアトラクションズ","[東京ドームシティアトラクションズ13東京1955旧・後楽園ゆうえんち] 東京ドームシティアトラクションズ （とうきょうドームシティアトラクションズ）は、 東京ドームシティ 内にある都市型 遊園地 。","https://ja.wikipedia.org/wiki/東京ドームシティアトラクションズ","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯35度42分18.8秒 東経139度45分14.4秒","","","","","","","","","","","","","","","","","","",""
"アクアパーク品川","[アクアパーク品川東京2005旧・エプソン品川アクアスタジアム] マクセル アクアパーク品川 （マクセル アクアパークしながわ）は、 品川プリンスホテル の敷地内に所在する 水族館 を核とする屋内型 テーマパーク である。旧称は エプソン アクアパーク品川 、 エプソン 品川アクアスタジアム 。","https://ja.wikipedia.org/wiki/アクアパーク品川","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯35度37分40.184秒東経139度44分6.313秒","〒108-8611東京都港区高輪4丁目10-30","","マクセル アクアパーク品川","横浜八景島","北緯35度37分40.184秒東経139度44分6.313秒﻿ / ﻿北緯35.62782889度 東経139.73508694度﻿ /35.62782889; 139.73508694座標:北緯35度37分40.184秒東経139度44分6.313秒﻿ / ﻿北緯35.62782889度 東経139.73508694度﻿ /35.62782889; 139.73508694","11,535㎡","民間（プリンスホテルズ&リゾーツ系）","エプソン品川アクアスタジアム、エプソンアクアパーク品川","","","","174万人(2017年)","","","","","","",""
"東京サマーランド","[東京サマーランド13東京1967] 東京サマーランド （とうきょうサマーランド）は、 東京都 あきる野市 にある 遊園地 。日本最大級の流れる プール や天候を気にせず遊べるドーム内プールなど、多彩なウォーター アトラクション が中心。また、 株式会社東京サマーランド は、これを運営する企業で、 東京都競馬 の完全子会社である。","https://ja.wikipedia.org/wiki/東京サマーランド","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯35度43分2.7秒 東経139度16分38.6秒","","","","","","","","","","","","","","","","","https://www.summerland.co.jp/（東京サマーランド公式HP）","",""
