"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","ホーム","所在地","備考","電報略号","乗車人員,-統計年度-","駅番号","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","乗車人員,-統計年次-","Hidden","Hidden","Hidden","Hidden"
"長居駅","長居駅（ながいえき・西日本旅客鉄道阪和線・Osaka Metro御堂筋線）","https://ja.wikipedia.org/wiki/長居駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","","","","西日本旅客鉄道（JR西日本）（駅詳細）大阪市高速電気軌道(Osaka Metro)（駅詳細）","","","","大阪市住吉区長居東四丁目","","","","","","","","","","","",""
"長池駅","長池駅（ながいけえき）","https://ja.wikipedia.org/wiki/長池駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯34度50分32.42秒東経135度47分23.09秒","D奈良線","12.7 km（木津起点）","西日本旅客鉄道（JR西日本）","地上駅（橋上駅）","1896年（明治29年）1月25日","2面2線","京都府城陽市長池北裏72北緯34度50分32.42秒東経135度47分23.09秒﻿ / ﻿北緯34.8423389度 東経135.7897472度﻿ /34.8423389; 135.7897472座標:北緯34度50分32.42秒東経135度47分23.09秒﻿ / ﻿北緯34.8423389度 東経135.7897472度﻿ /34.8423389; 135.7897472","業務委託駅","ナケ","1,210人/日（降車客含まず）-2019年-","JR-D13","","","","","","","",""
"中井侍駅","中井侍駅（なかいさむらいえき）","https://ja.wikipedia.org/wiki/中井侍駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯35度14分9.29秒東経137度50分5.94秒","CD飯田線","87.8 km（豊橋起点）","東海旅客鉄道（JR東海）","地上駅","1936年（昭和11年）12月30日[1]","1面1線[1]","長野県下伊那郡天龍村平岡[1]2290北緯35度14分9.29秒東経137度50分5.94秒﻿ / ﻿北緯35.2359139度 東経137.8349833度﻿ /35.2359139; 137.8349833座標:北緯35度14分9.29秒東経137度50分5.94秒﻿ / ﻿北緯35.2359139度 東経137.8349833度﻿ /35.2359139; 137.8349833","駅員無配置駅[1]標高：289m[1]","ナカ[1]","4人/日（降車客含まず）-2018年-","","","","","","","","",""
"中泉駅","中泉駅（なかいずみえき）","https://ja.wikipedia.org/wiki/中泉駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯33度43分16.32秒東経130度44分32.40秒","■伊田線","4.3 km（直方起点）","■平成筑豊鉄道","地上駅","1898年（明治31年）2月9日","2面2線","福岡県直方市大字中泉395-1-2北緯33度43分16.32秒東経130度44分32.40秒","無人駅","ツミ","","HC5","100人/日-2018年-","","","","","","",""
"長泉なめり駅","長泉なめり駅（ながいずみなめりえき）","https://ja.wikipedia.org/wiki/長泉なめり駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯35度8分50.72秒東経138度53分57.45秒","CB御殿場線","53.5 km（国府津起点）","東海旅客鉄道（JR東海）","地上駅","2002年（平成14年）9月7日","1面1線","静岡県駿東郡長泉町納米里北緯35度8分50.72秒東経138度53分57.45秒﻿ / ﻿北緯35.1474222度 東経138.8992917度﻿ /35.1474222; 138.8992917座標:北緯35度8分50.72秒東経138度53分57.45秒﻿ / ﻿北緯35.1474222度 東経138.8992917度﻿ /35.1474222; 138.8992917","駅員無配置駅","ナナ","978人/日（降車客含まず）-2019年-","CB  15 ","","","","","","","",""
"中板橋駅","中板橋駅（なかいたばしえき）","https://ja.wikipedia.org/wiki/中板橋駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯35度45分22.5秒東経139度41分40.5秒","■東上本線","4.0 km（池袋起点）","東武鉄道","地上駅","1933年（昭和8年）7月12日","2面4線","東京都板橋区弥生町33-1北緯35度45分22.5秒東経139度41分40.5秒﻿ / ﻿北緯35.756250度 東経139.694583度﻿ /35.756250; 139.694583座標:北緯35度45分22.5秒東経139度41分40.5秒﻿ / ﻿北緯35.756250度 東経139.694583度﻿ /35.756250; 139.694583","","ナイ","","TJ05","29,052人/日-2019年-","","","","","","",""
"中飯降駅","中飯降駅（なかいぶりえき）","https://ja.wikipedia.org/wiki/中飯降駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯34度18分15.32秒東経135度31分55.05秒","T和歌山線","53.0 km（王寺起点）","西日本旅客鉄道（JR西日本）","地上駅（掘割式）","1957年（昭和32年）5月1日[1]","1面1線","和歌山県伊都郡かつらぎ町中飯降231-2北緯34度18分15.32秒東経135度31分55.05秒﻿ / ﻿北緯34.3042556度 東経135.5319583度﻿ /34.3042556; 135.5319583座標:北緯34度18分15.32秒東経135度31分55.05秒﻿ / ﻿北緯34.3042556度 東経135.5319583度﻿ /34.3042556; 135.5319583","無人駅（自動券売機 有）","ナリ","344人/日（降車客含まず）-2019年-","","","","","","","","",""
"中浦駅","中浦駅（なかうらえき）","https://ja.wikipedia.org/wiki/中浦駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯37度54分43.9秒東経139度18分9.3秒","■羽越本線","21.5 km（新津起点）","東日本旅客鉄道（JR東日本）","地上駅","1953年（昭和28年）7月1日","1面1線","新潟県新発田市下飯塚151北緯37度54分43.9秒東経139度18分9.3秒座標:北緯37度54分43.9秒 東経139度18分9.3秒","無人駅（自動券売機 有）","ナウ","","","","","","","","","",""
"長浦駅 (千葉県)","長浦駅 (千葉県)（ながうらえき・東日本旅客鉄道内房線）","https://ja.wikipedia.org/wiki/長浦駅_(千葉県)","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯35度27分0.8秒東経139度59分43.7秒","■内房線","20.5 km（蘇我起点）千葉から24.3 km","東日本旅客鉄道（JR東日本）","地上駅（橋上駅）","1947年（昭和22年）1月10日[1]","1面2線","千葉県袖ケ浦市蔵波5北緯35度27分0.8秒東経139度59分43.7秒﻿ / ﻿北緯35.450222度 東経139.995472度﻿ /35.450222; 139.995472座標:北緯35度27分0.8秒東経139度59分43.7秒﻿ / ﻿北緯35.450222度 東経139.995472度﻿ /35.450222; 139.995472","業務委託駅","ウラ←ナウラ","6,084人/日（降車客含まず）-2019年-","","","","","","","","",""
"長浦駅 (愛知県)","長浦駅 (愛知県)（ながうらえき・名古屋鉄道常滑線）","https://ja.wikipedia.org/wiki/長浦駅_(愛知県)","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯34度58分42秒東経136度50分52秒","常滑線","18.7 km（神宮前起点）","名古屋鉄道","地上駅","1930年（昭和5年）9月1日","2面2線","愛知県知多市長浦一丁目400北緯34度58分42秒東経136度50分52秒﻿ / ﻿北緯34.97833度 東経136.84778度﻿ /34.97833; 136.84778座標:北緯34度58分42秒東経136度50分52秒﻿ / ﻿北緯34.97833度 東経136.84778度﻿ /34.97833; 136.84778","無人駅（駅集中管理システム導入駅）","","","TA  14 ","1,014人/日-2019年[1]-","","","","","","",""
"中浦和駅","中浦和駅（なかうらわえき）","https://ja.wikipedia.org/wiki/中浦和駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯35度51分13.71秒東経139度38分14.8秒","■埼京線（東北本線支線）","11.8 km（赤羽起点）大崎から30.7 km","東日本旅客鉄道（JR東日本）","高架駅","1985年（昭和60年）9月30日","1面2線","さいたま市南区鹿手袋一丁目1-7北緯35度51分13.71秒東経139度38分14.8秒﻿ / ﻿北緯35.8538083度 東経139.637444度﻿ /35.8538083; 139.637444﻿ (中浦和駅)","業務委託駅","ナラ","13,537人/日（降車客含まず）-2019年-","JA22","","","","","","","",""
"長江駅","長江駅（ながええき）","https://ja.wikipedia.org/wiki/長江駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯35度28分48.15秒東経132度58分26.47秒","北松江線","26.7 km（電鉄出雲市起点）","一畑電車","地上駅","1928年（昭和3年）4月5日","1面1線","島根県松江市東長江町45-11北緯35度28分48.15秒東経132度58分26.47秒座標:北緯35度28分48.15秒 東経132度58分26.47秒","無人駅","","18人/日（降車客含まず）-2018年-","19","43人/日-2018年-","","","","","","",""
"長尾駅 (大阪府)","長尾駅 (大阪府)（ながおえき・西日本旅客鉄道片町線）","https://ja.wikipedia.org/wiki/長尾駅_(大阪府)","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯34度49分33.57秒東経135度42分45.93秒","H片町線（学研都市線）","18.6 km（木津起点）","西日本旅客鉄道（JR西日本）","地上駅（橋上駅）","1898年（明治31年）4月12日","1面2線","大阪府枚方市長尾元町五丁目21-1北緯34度49分33.57秒東経135度42分45.93秒﻿ / ﻿北緯34.8259917度 東経135.7127583度﻿ /34.8259917; 135.7127583座標:北緯34度49分33.57秒東経135度42分45.93秒﻿ / ﻿北緯34.8259917度 東経135.7127583度﻿ /34.8259917; 135.7127583","直営駅（管理駅）みどりの窓口有","ナオ","11,444人/日（降車客含まず）-2019年-","JR-H27","","","","","","","",""
"長尾駅 (香川県)","長尾駅 (香川県)（ながおえき・高松琴平電気鉄道長尾線）","https://ja.wikipedia.org/wiki/長尾駅_(香川県)","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯34度15分59.8秒東経134度10分9.8秒","■長尾線","14.6km（瓦町起点）高松築港から16.3 km","高松琴平電気鉄道","地上駅","1912年（明治45年）4月30日","単式1面1線","香川県さぬき市長尾西559番地2北緯34度15分59.8秒東経134度10分9.8秒﻿ / ﻿北緯34.266611度 東経134.169389度﻿ /34.266611; 134.169389座標:北緯34度15分59.8秒東経134度10分9.8秒﻿ / ﻿北緯34.266611度 東経134.169389度﻿ /34.266611; 134.169389","","",""," N17 ","1,038人/日-2018年-","","","","","","",""
"永尾駅","永尾駅（ながおえき・九州旅客鉄道佐世保線）","https://ja.wikipedia.org/wiki/永尾駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯33度11分35.62秒東経129度58分50.54秒","■佐世保線","18.3 km（肥前山口起点）","九州旅客鉄道（JR九州）","地上駅","1949年（昭和24年）1月15日","2面2線","佐賀県武雄市山内町大字犬走北緯33度11分35.62秒東経129度58分50.54秒﻿ / ﻿北緯33.1932278度 東経129.9807056度﻿ /33.1932278; 129.9807056﻿ (永尾駅)","無人駅","ナオ←ナガオ","54人/日（降車客含まず）-2016年-","","107人/日-2016年-","","","","","","",""
"長岡駅","長岡駅（ながおかえき）","https://ja.wikipedia.org/wiki/長岡駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯37度26分49.9秒東経138度51分13.8秒","上越新幹線","240.3 km（大宮起点）東京から270.6 km","東日本旅客鉄道（JR東日本）","高架駅（新幹線）地上駅（在来線）","1898年（明治31年）6月16日[1]","2面2線（新幹線）[1]3面5線（在来線・実質2面4線）[1]","新潟県長岡市城内町[1]二丁目794-4北緯37度26分49.9秒東経138度51分13.8秒﻿ / ﻿北緯37.447194度 東経138.853833度﻿ /37.447194; 138.853833座標:北緯37度26分49.9秒東経138度51分13.8秒﻿ / ﻿北緯37.447194度 東経138.853833度﻿ /37.447194; 138.853833","直営駅（管理駅）みどりの窓口有[1]","ナカ","11,493人/日（降車客含まず）-2019年-","","","","","","","","",""
"長岡京駅","長岡京駅（ながおかきょうえき）","https://ja.wikipedia.org/wiki/長岡京駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯34度55分24.66秒東経135度42分2.5秒","A東海道本線（JR京都線）","523.7km（東京起点）京都から10.1 km","西日本旅客鉄道（JR西日本）","地上駅（橋上駅）","1931年（昭和6年）8月1日","2面4線（乗降は2面2線のみ）","京都府長岡京市神足二丁目4-1北緯34度55分24.66秒東経135度42分2.5秒﻿ / ﻿北緯34.9235167度 東経135.700694度﻿ /34.9235167; 135.700694座標:北緯34度55分24.66秒東経135度42分2.5秒﻿ / ﻿北緯34.9235167度 東経135.700694度﻿ /34.9235167; 135.700694","直営駅（管理駅）みどりの窓口有*1995年に神足駅から改称[1]。","ナキ","20,521人/日（降車客含まず）-2019年-","JR-A35","","","","","","","",""
"中岡崎駅","中岡崎駅（なかおかざきえき）","https://ja.wikipedia.org/wiki/中岡崎駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯34度57分22秒東経137度9分9.9秒","■愛知環状鉄道線","3.4 km（岡崎起点）","愛知環状鉄道*","高架駅","1976年（昭和51年）4月26日","2面2線","愛知県岡崎市中岡崎町15-1北緯34度57分22秒東経137度9分9.9秒﻿ / ﻿北緯34.95611度 東経137.152750度﻿ /34.95611; 137.152750座標:北緯34度57分22秒東経137度9分9.9秒﻿ / ﻿北緯34.95611度 東経137.152750度﻿ /34.95611; 137.152750","","ナオ","","○03","4,159[1]人/日-2019年-","名鉄名古屋本線（岡崎公園前駅）","","","","","",""
"仲御徒町駅","仲御徒町駅（なかおかちまちえき）","https://ja.wikipedia.org/wiki/仲御徒町駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯35度42分23.6秒東経139度46分34.3秒","●[1]日比谷線","5.8 km（北千住起点）","東京地下鉄（東京メトロ）","地下駅","1961年（昭和36年）3月28日","1面2線","東京都台東区上野五丁目24-12北緯35度42分23.6秒東経139度46分34.3秒﻿ / ﻿北緯35.706556度 東経139.776194度﻿ /35.706556; 139.776194座標:北緯35度42分23.6秒東経139度46分34.3秒﻿ / ﻿北緯35.706556度 東経139.776194度﻿ /35.706556; 139.776194","","カチ","","H17[1]","43,271人/日-2019年-","G15[1]上野広小路駅（銀座線）E09[1]上野御徒町駅（都営地下鉄大江戸線）御徒町駅（JR京浜東北線・JR山手線）","","","","","",""
"長岡天神駅","長岡天神駅（ながおかてんじんえき）","https://ja.wikipedia.org/wiki/長岡天神駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯34度55分31.26秒東経135度41分33.78秒","■京都本線","31.7 km（十三起点）大阪梅田から34.1 km","阪急電鉄","地上駅（橋上駅）","1928年（昭和3年）11月1日","2面4線","京都府長岡京市天神一丁目30番1号[1]北緯34度55分31.26秒東経135度41分33.78秒﻿ / ﻿北緯34.9253500度 東経135.6927167度﻿ /34.9253500; 135.6927167座標:北緯34度55分31.26秒東経135度41分33.78秒﻿ / ﻿北緯34.9253500度 東経135.6927167度﻿ /34.9253500; 135.6927167","","","","HK77","30,708人/日-2019年-","","（通年平均）25,071人/日-2019年-","","","","",""
"中小国駅","中小国駅（なかおぐにえき）","https://ja.wikipedia.org/wiki/中小国駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯41度3分5.88秒東経140度35分48.88秒","■津軽線（JR東日本）","31.4 km（青森起点）","東日本旅客鉄道（JR東日本）*北海道旅客鉄道（JR北海道）","地上駅","1958年（昭和33年）10月21日","1面1線[1]","青森県東津軽郡外ヶ浜町字蟹田[1]小国南田北緯41度3分5.88秒東経140度35分48.88秒﻿ / ﻿北緯41.0516333度 東経140.5969111度﻿ /41.0516333; 140.5969111座標:北緯41度3分5.88秒東経140度35分48.88秒﻿ / ﻿北緯41.0516333度 東経140.5969111度﻿ /41.0516333; 140.5969111","無人駅[1]","ナカ","","","","","","","","","",""
"中小田井駅","中小田井駅（なかおたいえき）","https://ja.wikipedia.org/wiki/中小田井駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯35度12分53秒東経136度52分37秒","犬山線","2.4 km（枇杷島分岐点起点）","名古屋鉄道","高架駅","1912年（大正元年）8月6日","相対式 2面2線","名古屋市西区中小田井一丁目688北緯35度12分53秒東経136度52分37秒﻿ / ﻿北緯35.21472度 東経136.87694度﻿ /35.21472; 136.87694座標:北緯35度12分53秒東経136度52分37秒﻿ / ﻿北緯35.21472度 東経136.87694度﻿ /35.21472; 136.87694","","","","IY  02 ","3,791人/日-2019年[1]-","","","","","","",""
"中加積駅","中加積駅（なかかづみえき）","https://ja.wikipedia.org/wiki/中加積駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯36度44分8.87秒東経137度21分4.66秒","■本線","17.1 km（電鉄富山起点）","富山地方鉄道","地上駅","1913年（大正2年）6月25日","相対式2面2線","富山県滑川市堀江938北緯36度44分8.87秒東経137度21分4.66秒﻿ / ﻿北緯36.7357972度 東経137.3512944度﻿ /36.7357972; 137.3512944﻿ (中加積駅)座標:北緯36度44分8.87秒東経137度21分4.66秒﻿ / ﻿北緯36.7357972度 東経137.3512944度﻿ /36.7357972; 137.3512944﻿ (中加積駅)","","","","T14","262人/日-2018年-","","","","","","",""
"中神駅","中神駅（なかがみえき）","https://ja.wikipedia.org/wiki/中神駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯35度42分32.6秒東経139度22分32.9秒","■青梅線","3.6 km（立川起点）東京から41.1 km","東日本旅客鉄道（JR東日本）","地上駅（橋上駅）[1]","1908年（明治41年）5月16日[1]","2面2線[1]","東京都昭島市朝日町一丁目1-9北緯35度42分32.6秒東経139度22分32.9秒座標:北緯35度42分32.6秒 東経139度22分32.9秒","業務委託駅","ナミ←ナカミ","11,447人/日（降車客含まず）-2019年-","JC53","","","","","","","",""
"中萱駅","中萱駅（なかがやえき）","https://ja.wikipedia.org/wiki/中萱駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯36度16分24.14秒東経137度54分11.83秒","■大糸線","8.4 km（松本起点）","東日本旅客鉄道（JR東日本）","地上駅","1915年（大正4年）5月30日[3]","1面1線[1]","長野県安曇野市三郷明盛[1]北緯36度16分24.14秒東経137度54分11.83秒﻿ / ﻿北緯36.2733722度 東経137.9032861度﻿ /36.2733722; 137.9032861座標:北緯36度16分24.14秒東経137度54分11.83秒﻿ / ﻿北緯36.2733722度 東経137.9032861度﻿ /36.2733722; 137.9032861","簡易委託駅[1]標高：581.8m[1]","ナヤ[1]","385人/日（降車客含まず）-2019年-","□36[2]","","","","","","","",""
"中軽井沢駅","中軽井沢駅（なかかるいざわえき）","https://ja.wikipedia.org/wiki/中軽井沢駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","","■しなの鉄道線","4.0 km（軽井沢起点）","しなの鉄道","地上駅","1910年（明治43年）7月15日[1]","2面2線[1]","","簡易委託駅[1]。標高：938m*1956年に沓掛駅から改称[1]。","ナワ[1]クツ（改称前）","670人/日（降車客含まず）-2019年-","","","","","","","","",""
"中川駅 (山形県)","中川駅 (山形県)（なかがわえき・東日本旅客鉄道奥羽本線）","https://ja.wikipedia.org/wiki/中川駅_(山形県)","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯38度5分35.94秒東経140度12分11.83秒","■奥羽本線（山形線）","64.4 km（福島起点）","東日本旅客鉄道（JR東日本）","地上駅","1903年（明治36年）11月3日","2面2線","山形県南陽市小岩沢字前田255北緯38度5分35.94秒東経140度12分11.83秒座標:北緯38度5分35.94秒 東経140度12分11.83秒","無人駅","ナワ","122人/日（降車客含まず）-2004年-","","","","","","","","",""
