"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","位置","所在地","地図","築造時期","形状","史跡","規模","出土品","埋葬施設","法人番号","文化財","創建年","宗派","山号","別名","本尊","開基","所属","札所等"
"宝塚古墳 (松阪市)","[宝塚古墳（たからづかこふん）〔松阪市〕] 宝塚1号墳 は、宝塚古墳群の主墳。形状は 前方後円墳 。 1998 - 2000年 度（ 平成 10-12年度）に松阪市教育委員会による発掘調査が実施されている   。","https://ja.wikipedia.org/wiki/宝塚古墳_(松阪市)","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度32分59.12秒 東経136度30分55.03秒","","","","","","","","","","","","","","","","","","",""
"天白遺跡","[天白遺跡（てんぱくいせき）〔松阪市〕1999年5月21日] 天白遺跡 （てんぱくいせき）は、 三重県 松阪市 嬉野釜生田町にある、 縄文時代 の 祭祀遺跡 である。2000年（平成12年）4月11日、国の 史跡 に指定された   。","https://ja.wikipedia.org/wiki/天白遺跡","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度36分39秒 東経136度26分20秒","","","","","","","","","","","","","","","","","","",""
"松坂城","[松坂城跡（まつさかじょうあと）〔松阪市〕] 松坂城 （まつさかじょう）は、 日本の城 。現在は 松阪城 とも表記される  。所在地は 三重県 松阪市 殿町 。城跡は 松坂城跡 （まつさかじょうあと）として国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/松坂城","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度34分33.2秒東経136度31分32.6秒","北緯34度34分33.2秒東経136度31分32.6秒﻿ / ﻿北緯34.575889度 東経136.525722度﻿ /34.575889; 136.525722座標:北緯34度34分33.2秒東経136度31分32.6秒﻿ / ﻿北緯34.575889度 東経136.525722度﻿ /34.575889; 136.525722","","松坂城　(まつさかじょう)","","","","","","","","","","","","松阪城","","","",""
"向山古墳","[向山古墳（むかいやまこふん）〔松阪市〕] 向山古墳 （むかいやまこふん/むこうやまこふん）は、日本の古墳の名称。同名の古墳が各地にある。","https://ja.wikipedia.org/wiki/向山古墳","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"本居宣長","[本居宣長墓（山室山）(もとおりのりながのはか（やまむろやま））〔松阪市〕] 契沖 の文献考証と師・賀茂真淵の 古道 説を継承し  、国学の発展に多大な貢献をしたことで知られる  。宣長は、真淵の励ましを受けて『 古事記 』の研究に取り組み、約35年を費やして当時の『古事記』研究の集大成である注釈書『 古事記伝 』を著した  。『古事記伝』の成果は、当時の人々に衝撃的に受け入れられ、一般には正史である『日本書紀』を講読する際の副読本としての位置づけであった『古事記』が、独自の価値を持った史書としての評価を獲得していく契機となった。","https://ja.wikipedia.org/wiki/本居宣長","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"本居春庭","[本居宣長墓（樹敬寺） 附本居春庭墓（もとおりのりながのはか（じゅきょうじ） つけたり もとおりはるにわのはか）〔松阪市〕] 本居 春庭 （もとおり はるにわ、 宝暦 13年 2月3日 （ 1763年 3月17日 ） - 文政 11年 11月7日 （ 1828年 12月13日 ））は、 江戸時代 後期の 国学者 、 国語学者 。 本居宣長 の実子で長男。幼名は健蔵で父と同じ。","https://ja.wikipedia.org/wiki/本居春庭","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"斎宮寮","[斎宮跡（さいくうあと）〔多気郡明和町〕1979年3月27日] 斎宮寮 （さいぐうりょう）は 日本 の 律令制 において 伊勢 に置かれた 令外官 。","https://ja.wikipedia.org/wiki/斎宮寮","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度32分28.34秒 東経136度37分0.61秒","","","","","","","","","","","","","","","","","","",""
"水池土器製作遺跡","[水池土器製作遺跡（みずいけどきせいさくいせき）〔多気郡明和町〕] 水池土器製作遺跡 （みずいけどきせいさくいせき）は、 三重県 多気郡 明和町 明星にある土器製作集落跡。1977年7月25日、 国史跡 に指定された。","https://ja.wikipedia.org/wiki/水池土器製作遺跡","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度31分46秒 東経136度38分13秒","","","","","","","","","","","","","","","","","","",""
"朝熊山","[朝熊山経塚群（あさまやまきょうづかぐん）〔伊勢市〕] 朝熊山 （あさまやま）は、 三重県 伊勢市 ・ 鳥羽市 にある 山 。正式名称は 朝熊ヶ岳 （あさまがたけ）。『 三国地誌 』では「岳（たけ）」とも記され、伊勢市近辺で「岳」は朝熊山を意味する。南方に連なる「朝熊山地」を含めて「朝熊山」とする場合があり、この場合には 志摩市 まで跨がることになる。山頂付近に 臨済宗 の 金剛證寺 があり、この寺を「朝熊山」と呼ぶ場合もある。","https://ja.wikipedia.org/wiki/朝熊山","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度27分40秒東経136度46分54秒","北緯34度27分40秒東経136度46分54秒﻿ / ﻿北緯34.46111度 東経136.78167度﻿ /34.46111; 136.78167座標:北緯34度27分40秒東経136度46分54秒﻿ / ﻿北緯34.46111度 東経136.78167度﻿ /34.46111; 136.78167","日本三重県伊勢市・鳥羽市","","","","","","","","","","","","","","","","",""
"神宮文庫","[旧豊宮崎文庫（きゅうとよみやざきぶんこ）〔伊勢市〕] 神宮文庫 （じんぐうぶんこ）は、 伊勢神宮 が運営する 図書館 である。 伊勢の神宮 の 公益事業 であり、神宮の 宗教法人 としての 規則 である神宮規則第64条によると、「神宮所蔵の 図書 を整理保存し、 日本 固有 文化 に資する図書の蒐集及び補修を行い、これを一般に閲覧せしめ、文化の発展、 智識 の向上に資するを目的とする」。 内宮 と 外宮 が所蔵していた文書・記録などのほか、 慶安 1年（ 1648年 ）に設立された 豊宮崎文庫 （とよみやざきぶんこ）と、 貞享 3年（ 1686年 ）に設立された 林崎文庫 （はやしざきぶんこ）所蔵の図書を 明治時代 に統合・保管するために 1906年 （ 明治 39年）に設立された。基本的に木曜-土曜日には一般の利用が認められている。一般の利用が可能な日時は #外部リンク の公式サイトを参照のこと。","https://ja.wikipedia.org/wiki/神宮文庫","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度29分6秒東経136度43分33秒","北緯34度29分6秒東経136度43分33秒﻿ / ﻿北緯34.48500度 東経136.72583度﻿ /34.48500; 136.72583座標:北緯34度29分6秒東経136度43分33秒﻿ / ﻿北緯34.48500度 東経136.72583度﻿ /34.48500; 136.72583","〒516-0016三重県伊勢市神田久志本町1711","","","","","","","","","","","","","","","","",""
"神宮文庫","[旧林崎文庫（きゅうはやしざきぶんこ）〔伊勢市〕] 神宮文庫 （じんぐうぶんこ）は、 伊勢神宮 が運営する 図書館 である。 伊勢の神宮 の 公益事業 であり、神宮の 宗教法人 としての 規則 である神宮規則第64条によると、「神宮所蔵の 図書 を整理保存し、 日本 固有 文化 に資する図書の蒐集及び補修を行い、これを一般に閲覧せしめ、文化の発展、 智識 の向上に資するを目的とする」。 内宮 と 外宮 が所蔵していた文書・記録などのほか、 慶安 1年（ 1648年 ）に設立された 豊宮崎文庫 （とよみやざきぶんこ）と、 貞享 3年（ 1686年 ）に設立された 林崎文庫 （はやしざきぶんこ）所蔵の図書を 明治時代 に統合・保管するために 1906年 （ 明治 39年）に設立された。基本的に木曜-土曜日には一般の利用が認められている。一般の利用が可能な日時は #外部リンク の公式サイトを参照のこと。","https://ja.wikipedia.org/wiki/神宮文庫","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度29分6秒東経136度43分33秒","北緯34度29分6秒東経136度43分33秒﻿ / ﻿北緯34.48500度 東経136.72583度﻿ /34.48500; 136.72583座標:北緯34度29分6秒東経136度43分33秒﻿ / ﻿北緯34.48500度 東経136.72583度﻿ /34.48500; 136.72583","〒516-0016三重県伊勢市神田久志本町1711","","","","","","","","","","","","","","","","",""
"離宮院跡","[離宮院跡（りきゅういんあと）〔伊勢市〕1924年12月9日] 離宮院跡 （りきゅういんあと）は、 三重県 伊勢市 小俣町本町にある、 伊勢神宮 斎宮 の 離宮 のあった場所である。 1924年 （大正13年）に国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/離宮院跡","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度30分9.0秒 東経136度40分23.1秒","","","","","","","","","","","","","","","","","","",""
"赤木城","[赤木城跡及び田平子峠刑場跡（あかぎじょうあとおよびたびらことうげけいじょうあと）〔熊野市〕] 赤木城 （あかぎじょう）は、 三重県 熊野市 にあった 日本の城 である。城跡は 1989年 （ 平成 元年）10月9日に「赤木城跡及び田平子峠刑場跡」の名称で 国の史跡 に指定されている   。また、 2017年 （平成29年）4月6日、 続日本100名城 に選定された  。","https://ja.wikipedia.org/wiki/赤木城","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯33度53分43秒東経135度57分08秒","北緯33度53分43秒東経135度57分08秒﻿ / ﻿北緯33.89528度 東経135.95222度﻿ /33.89528; 135.95222座標:北緯33度53分43秒東経135度57分08秒﻿ / ﻿北緯33.89528度 東経135.95222度﻿ /33.89528; 135.95222","","赤木城","","","","","","","","","","","","","","","",""
"伊勢路 (熊野古道)","[伊勢路（いせじ）〔和歌山県新宮市・田辺市・三重県熊野市・尾鷲市・度会郡大紀町・北牟婁郡紀北町〕] 熊野古道 の 伊勢路 （いせじ）とは、 伊勢国 ・ 伊勢神宮 から、 熊野三山 （ 熊野本宮大社 、 熊野速玉大社 、 熊野那智大社 ）へ通じる参詣道であり、 熊野参詣道 のひとつである。伊勢神宮から熊野速玉大社までの総距離は約170 km  。","https://ja.wikipedia.org/wiki/伊勢路_(熊野古道)","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"七里御浜","[七里御浜（しちりみはま）〔三重県熊野市・南牟婁郡御浜町・南牟婁郡紀宝町〕] 七里御浜 （しちりみはま）は 三重県 熊野市 から 紀宝町 にかけて 熊野灘 に面した 浜 である。 日本の渚百選 、 日本の白砂青松百選 、 21世紀に残したい日本の自然百選 の一つ。 吉野熊野国立公園 の一部。また、 熊野古道伊勢路 の一部。","https://ja.wikipedia.org/wiki/七里御浜","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯33度47分20秒 東経136度2分20.4秒","","","","","","","","","","","","","","","","","","",""
"花窟神社","[花の窟（はなのいわや）〔三重県熊野市〕] 花窟神社 （花の窟神社、はなのいわやじんじゃ）は 三重県 熊野市 有馬町に所在する 神社 。 伊弉冉尊 （伊弉冊尊  、いざなみのみこと）と 軻遇突智尊 （かぐつちのみこと）を祀る  。","https://ja.wikipedia.org/wiki/花窟神社","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯33度52分47.5秒東経136度5分36秒","北緯33度52分47.5秒東経136度5分36秒﻿ / ﻿北緯33.879861度 東経136.09333度﻿ /33.879861; 136.09333","三重県熊野市有馬町上地130番地","","","","","","","","","","","","","","","","",""
"熊野三山","[熊野三山（くまのさんざん）　〔和歌山県田辺市・東牟婁郡那智勝浦町・新宮市・三重県南牟婁郡紀宝町〕　2000年11月2日指定、2002年12月19日分離・追加指定・名称変更 （「紀伊山地の霊場と参詣道」の構成資産）[2] 熊野三山 （くまのさんざん）は、 熊野本宮大社 、 熊野速玉大社 、 熊野那智大社 の3つの 神社 の総称。熊野三山の名前からもわかる通り、 仏教 的要素が強い。日本全国に約3千社ある 熊野神社 の総本社である。 熊野権現 も参照のこと。","https://ja.wikipedia.org/wiki/熊野三山","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"伊賀国庁跡","[伊賀国庁跡（いがこくちょうあと）〔伊賀市〕] 伊賀国庁跡 （いがこくちょうあと）は、 三重県 伊賀市 大字 坂之下 字 国庁（国町）に所在する、 律令制下 の地方行政機関の施設跡である。律令体下での下国の国庁の造営と変遷の実態がよくわかる遺構として   、 2009年 （ 平成 21年） 7月23日 に国の史跡に指定された  。","https://ja.wikipedia.org/wiki/伊賀国庁跡","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"伊賀国分寺跡","[伊賀国分寺跡（いがこくぶんじあと）〔伊賀市〕1923年3月7日] 伊賀国分寺跡 （いがこくぶんじあと）は、 三重県 伊賀市 西明寺にある古代 寺院 跡。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/伊賀国分寺跡","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度45分31.41秒 東経136度9分13.02秒","","","","","","","","","","","","","","","","","","",""
"上野城","[上野城跡（うえのじょうあと）〔伊賀市〕1967年12月27日] 上野城 （うえのじょう）は、 三重県 伊賀市 上野丸之内（上野公園）にあった 日本の城 （ 平山城 ）である。 白鳳城 、 伊賀上野城 とも呼ばれる。","https://ja.wikipedia.org/wiki/上野城","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度46分12.51秒東経136度7分37.71秒","北緯34度46分12.51秒東経136度7分37.71秒﻿ / ﻿北緯34.7701417度 東経136.1271417度﻿ /34.7701417; 136.1271417座標:北緯34度46分12.51秒東経136度7分37.71秒﻿ / ﻿北緯34.7701417度 東経136.1271417度﻿ /34.7701417; 136.1271417","","上野城","","","","","","","","","","","","白鳳城、伊賀上野城","","","",""
"崇広堂","[旧崇広堂（きゅうすうこうどう）〔伊賀市〕] 崇広堂 （すうこうどう）は、 三重県 伊賀市 上野丸之内にある建物。","https://ja.wikipedia.org/wiki/崇広堂","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度46分4.2秒 東経136度7分31.6秒","","","","","","","","","","","","","","","","","","",""
"城之越遺跡","[城之越遺跡（じょうのこしいせき）〔伊賀市〕] 城之越遺跡 （じょのこしいせき/じょうのこしいせき）は、 三重県 伊賀市 比土にある 遺跡 。国の 名勝 ・ 史跡 および三重県指定史跡に指定されている。","https://ja.wikipedia.org/wiki/城之越遺跡","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度40分44.28秒 東経136度9分45.33秒","","","","","","","","","","","","","","","","","","",""
"長楽山廃寺跡","[長楽山廃寺跡（ちょうらくさんはいじあと）〔伊賀市〕] 伊賀国分寺跡 （いがこくぶんじあと）は、 三重県 伊賀市 西明寺にある古代 寺院 跡。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/長楽山廃寺跡","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度45分31.41秒 東経136度9分13.02秒","","","","","","","","","","","","","","","","","","",""
"御墓山古墳","[御墓山古墳（みはかやまこふん）〔伊賀市〕] 御墓山古墳 （みはかやまこふん/おはかやまこふん  ）は、 三重県 伊賀市 佐那具町 にある 古墳 。形状は 前方後円墳 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/御墓山古墳","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度48分6.10秒東経136度10分23.77秒","北緯34度48分6.10秒東経136度10分23.77秒﻿ / ﻿北緯34.8016944度 東経136.1732694度﻿ /34.8016944; 136.1732694座標:北緯34度48分6.10秒東経136度10分23.77秒﻿ / ﻿北緯34.8016944度 東経136.1732694度﻿ /34.8016944; 136.1732694","三重県伊賀市佐那具町","御墓山古墳","5世紀","前方後円墳","国の史跡「御墓山古墳」","墳丘長188m高さ14m（後円部）","円筒埴輪・形象埴輪・家形埴輪など","不明","","","","","","","","","",""
"夏見廃寺","[夏見廃寺跡（なつみはいじあと）〔名張市〕] 関連施設","https://ja.wikipedia.org/wiki/夏見廃寺","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度37分20.86秒東経136度6分38.54秒","北緯34度37分20.86秒東経136度6分38.54秒﻿ / ﻿北緯34.6224611度 東経136.1107056度﻿ /34.6224611; 136.1107056","〒518-0441日本三重県名張市夏見2759番地","","","","","","","","","","","","","","","","",""
"美旗古墳群","[美旗古墳群（みはたこふんぐん）〔名張市〕] 美旗古墳群 （みはたこふんぐん）は、 三重県 名張市 にある 古墳群 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/美旗古墳群","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度39分43.3秒 東経136度8分4.6秒","","","","","","","","","","","","","","","","","","",""
"安土城","[安土城跡（あづちじょうあと）〔近江八幡市・東近江市〕] 安土城 （あづちじょう）は、 琵琶湖 東岸の、 近江国 蒲生郡 安土山（現在の 滋賀県 近江八幡市 安土町 下豊浦）  にあった 日本の城 （ 山城 ）。城址は国の 特別史跡 で、 琵琶湖国定公園 第1種特別地域になっている。","https://ja.wikipedia.org/wiki/安土城","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯35度9分21.29秒東経136度8分21.87秒","北緯35度9分21.29秒東経136度8分21.87秒﻿ / ﻿北緯35.1559139度 東経136.1394083度﻿ /35.1559139; 136.1394083座標:北緯35度9分21.29秒東経136度8分21.87秒﻿ / ﻿北緯35.1559139度 東経136.1394083度﻿ /35.1559139; 136.1394083","","安土城","","","","","","","","","","","","","","","",""
"彦根城","[彦根城跡（ひこねじょうあと）〔彦根市〕] 彦根城 （ひこね じょう）は、 滋賀県 彦根市 にある 城 。 江戸時代 には 彦根藩 の政庁が置かれた。 天守 、附櫓及び 多聞櫓 は 国宝 、城跡は 特別史跡 かつ 琵琶湖国定公園 第1種特別地域である。天守が国宝指定された5城のうちの一つである（他は 犬山城 、 松本城 、 姫路城 、 松江城 ）。","https://ja.wikipedia.org/wiki/彦根城","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯35度16分35秒東経136度15分07秒","北緯35度16分35秒東経136度15分07秒﻿ / ﻿北緯35.276422度 東経136.251889度﻿ /35.276422; 136.251889﻿ (彦根城)座標:北緯35度16分35秒東経136度15分07秒﻿ / ﻿北緯35.276422度 東経136.251889度﻿ /35.276422; 136.251889﻿ (彦根城)彦根城彦根城 (滋賀県)","","","","","","","","","","","","","","金亀城","","","",""
"高島市","[清水山城館跡（しみずやまじょうかんあと）〔高島市〕] 高島市 （たかしまし）は、 滋賀県 の西部、 琵琶湖 北西に位置する 市 。市の面積は県内最大である。","https://ja.wikipedia.org/wiki/高島市","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯35度21分10.8秒東経136度2分8.6秒","","〒520-1592滋賀県高島市新旭町北畑565北緯35度21分10.8秒東経136度2分8.6秒﻿ / ﻿北緯35.353000度 東経136.035722度﻿ /35.353000; 136.035722座標:北緯35度21分10.8秒東経136度2分8.6秒﻿ / ﻿北緯35.353000度 東経136.035722度﻿ /35.353000; 136.035722","","","","","","","","2000020252123","","","","","","","","",""
