"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","標高","山系","種類","初登頂","最高峰","最新噴火","延長","幅","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden"
"摩耶山 (山形県)"," 摩耶山 （まやさん）は、 山形県 鶴岡市 にある標高1,020mの山。摩耶山は、 新潟県 との県境近くにあり、1,000m程度の標高ながら、極めて峻険な山である。 日本三百名山 の一つである。","https://ja.wikipedia.org/wiki/摩耶山_(山形県)","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯38度31分12秒東経139度43分40秒","山形県鶴岡市","北緯38度31分12秒東経139度43分40秒﻿ / ﻿北緯38.52000度 東経139.72778度﻿ /38.52000; 139.72778座標:北緯38度31分12秒東経139度43分40秒﻿ / ﻿北緯38.52000度 東経139.72778度﻿ /38.52000; 139.72778","1,020m","朝日山地","","","","","","","","","","","","","","",""
"祝瓶山"," 祝瓶山 （いわいがめやま）は 山形県 西部に位置する 標高 1,417mの 山 である。山体は山形県 長井市 と 小国町 にまたがっており、 日本三百名山 の一つにも選ばれている。","https://ja.wikipedia.org/wiki/祝瓶山","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯38度11分51秒東経139度52分47秒","日本山形県長井市・西置賜郡小国町","北緯38度11分51秒東経139度52分47秒﻿ / ﻿北緯38.19750度 東経139.87972度﻿ /38.19750; 139.87972座標:北緯38度11分51秒東経139度52分47秒﻿ / ﻿北緯38.19750度 東経139.87972度﻿ /38.19750; 139.87972","1,417.0m","朝日連峰","火成岩（花崗岩）","","","","","","","","","","","","","",""
"泉ヶ岳"," 泉ヶ岳 （いずみがたけ）は、 宮城県 仙台市 泉区 の北西部に位置する 標高 1175 メートル の 山 である（ 三角点 は1172.18メートル、 地図 ）。船形連峰に連なる。","https://ja.wikipedia.org/wiki/泉ヶ岳","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯38度24分43.9秒東経140度42分31.7秒","宮城県仙台市泉区","北緯38度24分43.9秒東経140度42分31.7秒﻿ / ﻿北緯38.412194度 東経140.708806度﻿ /38.412194; 140.708806﻿ (泉ヶ岳山頂（標高1175m）)","1,175m","船形連峰","","","","","","","","","","","","","","",""
"一切経山"," 一切経山 （いっさいきょうざん）は、 福島県 福島市 と 猪苗代町 との境にある山である。 吾妻連峰 を構成する山の一つ。今も 火山 活動を続けている 活火山 であり、山頂は岩礫で覆われている。 標高 は1,948.8 メートル 。","https://ja.wikipedia.org/wiki/一切経山","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯37度44分07秒東経140度14分40秒","日本福島県福島市・耶麻郡猪苗代町","北緯37度44分07秒東経140度14分40秒﻿ / ﻿北緯37.73528度 東経140.24444度﻿ /37.73528; 140.24444座標:北緯37度44分07秒東経140度14分40秒﻿ / ﻿北緯37.73528度 東経140.24444度﻿ /37.73528; 140.24444","1,948.8m","吾妻連峰","","","","","","","","","","","","","","",""
"大滝根山"," 大滝根山 （おおたきねやま）は、 福島県 田村市 と 双葉郡 川内村 との境界にそびえる山である。 標高 1,192.1mで 阿武隈高地 の最高峰である。","https://ja.wikipedia.org/wiki/大滝根山","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯37度21分18秒東経140度42分06秒","日本福島県田村市・双葉郡川内村","北緯37度21分18秒東経140度42分06秒﻿ / ﻿北緯37.35500度 東経140.70167度﻿ /37.35500; 140.70167座標:北緯37度21分18秒東経140度42分06秒﻿ / ﻿北緯37.35500度 東経140.70167度﻿ /37.35500; 140.70167","1,192.1m","阿武隈高地","","","","","","","","","","","","","","",""
"八溝山"," 八溝山 （やみぞさん）は、 茨城県 と 福島県 の県境にある 標高 1,021.8mの 山 である。 茨城県最高峰 の山である。","https://ja.wikipedia.org/wiki/八溝山","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯36度55分49秒東経140度16分23秒","日本福島県東白川郡棚倉町・茨城県久慈郡大子町","北緯36度55分49秒東経140度16分23秒﻿ / ﻿北緯36.93028度 東経140.27306度﻿ /36.93028; 140.27306座標:北緯36度55分49秒東経140度16分23秒﻿ / ﻿北緯36.93028度 東経140.27306度﻿ /36.93028; 140.27306","1,021.8m","八溝山地","","","","","","","","","","","","","","",""
"二岐山"," 二岐山 （ふたまたやま）は、 奥羽山脈 の南部に位置し、 福島県 岩瀬郡 天栄村 と 南会津郡 下郷町 とにまたがる 第四紀 火山である。 標高 1,544.3m。二等 三角点 「二岐山」設置。大川羽鳥県立自然公園に指定されている。","https://ja.wikipedia.org/wiki/二岐山","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯37度14分47.0秒東経139度58分02.5秒","日本福島県岩瀬郡天栄村・南会津郡下郷町","北緯37度14分47.0秒東経139度58分02.5秒﻿ / ﻿北緯37.246389度 東経139.967361度﻿ /37.246389; 139.967361座標:北緯37度14分47.0秒東経139度58分02.5秒﻿ / ﻿北緯37.246389度 東経139.967361度﻿ /37.246389; 139.967361","1,544.3m","奥羽山脈","成層火山、溶岩ドーム","","","","","","","","","","","","","",""
"男鹿岳"," 大佐飛山地  （おおさびさんち）は 栃木県 北部にあり、 那須連山 と 高原山 にはさまれた 山地 。 大佐飛山 （1908m）を主峰とし  、 帝釈山脈 と共に 下野山地 を形成する山塊の一つである  。 那須野が原 扇状地 を形成する 蛇尾川 の源流域となっているほか、 那珂川 の主な源流域の一つであり、鬼怒川や福島県の大川の水源の一部でもある。最高峰である大佐飛山への登山道などは整備されておらず、残雪期に訪れるのが一般的である。周辺は「大佐飛山 自然環境保全地域 」に指定されている。","https://ja.wikipedia.org/wiki/男鹿岳","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯37度3分49秒東経139度50分40秒","日本福島県・栃木県","北緯37度3分49秒東経139度50分40秒﻿ / ﻿北緯37.06361度 東経139.84444度﻿ /37.06361; 139.84444座標:北緯37度3分49秒東経139度50分40秒﻿ / ﻿北緯37.06361度 東経139.84444度﻿ /37.06361; 139.84444","","","","","大佐飛山（1,908m）","","","","","","","","","","","",""
"荒海山"," 荒海山 （あらかいさん、あらかいざん、あらかいやま）は、 福島県 南会津郡 南会津町 と 栃木県 日光市 の境界に位置する 標高 1,581 mの山である。二等 三角点 「太郎岳」（標高1,580.4 m）は山頂の東北東約90 mに位置するピーク東峰にある。福島県側では荒海山、栃木県側では 太郎岳 （たろうだけ）と呼ばれる。江戸時代の文献『 新編会津風土記 』では 荒貝嶽 （あらかいがだけ）と表記されている。","https://ja.wikipedia.org/wiki/荒海山","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯37度02分10秒東経139度38分37秒","日本福島県南会津郡南会津町栃木県日光市","北緯37度02分10秒東経139度38分37秒﻿ / ﻿北緯37.03611度 東経139.64361度﻿ /37.03611; 139.64361座標:北緯37度02分10秒東経139度38分37秒﻿ / ﻿北緯37.03611度 東経139.64361度﻿ /37.03611; 139.64361","1,581m","帝釈山地","","","","","","","","","","","","","","",""
"七ヶ岳"," 七ヶ岳 （ななつがたけ、ななつがだけ）は、 福島県 南会津郡 南会津町 中央部にある 標高 1,635.8mの 山 。一等 三角点 「七ツケ岳」設置。","https://ja.wikipedia.org/wiki/七ヶ岳","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯37度07分27.4秒東経139度39分26.9秒","日本福島県南会津郡南会津町","北緯37度07分27.4秒東経139度39分26.9秒﻿ / ﻿北緯37.124278度 東経139.657472度﻿ /37.124278; 139.657472座標:北緯37度07分27.4秒東経139度39分26.9秒﻿ / ﻿北緯37.124278度 東経139.657472度﻿ /37.124278; 139.657472","1,635.8m","","","","","","","","","","","","","","","",""
"高原山"," 高原山 （たかはらやま、たかはらさん）は、 栃木県 日光市 と同 塩谷郡 塩谷町 、 那須塩原市 、 矢板市 にまたがる 山 である。特に主峰 鶏頂山 、釈迦ヶ岳、中岳、西平岳の山頂部は日光市と塩谷町に在り、東北部の裾野である 八方ヶ原 も含め、その山体は 日光国立公園 に在る。 日本三百名山 の一つに選定されている。","https://ja.wikipedia.org/wiki/高原山","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯36度54分0秒東経139度46分36秒","栃木県日光市、塩谷郡塩谷町","北緯36度54分0秒東経139度46分36秒﻿ / ﻿北緯36.90000度 東経139.77667度﻿ /36.90000; 139.77667座標:北緯36度54分0秒東経139度46分36秒﻿ / ﻿北緯36.90000度 東経139.77667度﻿ /36.90000; 139.77667","釈迦ヶ岳 1,794.9m","","成層火山（活火山ランクC）","","","約6500年前","","","","","","","","","","",""
"太郎山 (栃木県)"," 太郎山 （たろうさん）は、 栃木県 日光市 にある標高2,368mの 火山   。 日本三百名山 のひとつ。","https://ja.wikipedia.org/wiki/太郎山_(栃木県)","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯36度49分4.2秒東経139度28分58.1秒","栃木県日光市","北緯36度49分4.2秒東経139度28分58.1秒﻿ / ﻿北緯36.817833度 東経139.482806度﻿ /36.817833; 139.482806","2,367.5m","日光連山","溶岩ドーム","","","","","","","","","","","","","",""
"袈裟丸山"," 袈裟丸山 （けさまるやま）は 栃木県 日光市 ・ 群馬県 沼田市 と 群馬県 みどり市 にまたがる 山 。 前袈裟丸山 ・ 中袈裟丸山 ・ 後袈裟丸山 ・ 奥袈裟丸山 ・ 法師岳 の総称のこと。一般には前袈裟丸山がこう呼ばれる。標高は1,878 m （前袈裟丸山）。最高点は奥袈裟丸山の標高点1,961 m  。袈裟丸連峰。袈裟丸山は古い 皇海火山 を構成する一峰である  。 日本三百名山 。名所としては 寝釈迦像 が有名。","https://ja.wikipedia.org/wiki/袈裟丸山","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯36度38分17秒東経139度19分43秒","日本栃木県日光市群馬県沼田市・みどり市","北緯36度38分17秒東経139度19分43秒﻿ / ﻿北緯36.63806度 東経139.32861度﻿ /36.63806; 139.32861座標:北緯36度38分17秒東経139度19分43秒﻿ / ﻿北緯36.63806度 東経139.32861度﻿ /36.63806; 139.32861","1,961m","","火山岩（皇海火山の一部）","","","","","","","","","","","","","",""
"国師岳"," 国師岳 （こくしだけ）は 山梨県 山梨市 と 長野県 南佐久郡 川上村 の境界にある 標高 2,592 m の 山 である。 国師ヶ岳 （こくしがたけ）とも呼ばれる。","https://ja.wikipedia.org/wiki/国師岳","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯35度52分15秒東経138度40分23秒","日本山梨県山梨市長野県南佐久郡川上村","北緯35度52分15秒東経138度40分23秒﻿ / ﻿北緯35.87083度 東経138.67306度﻿ /35.87083; 138.67306座標:北緯35度52分15秒東経138度40分23秒﻿ / ﻿北緯35.87083度 東経138.67306度﻿ /35.87083; 138.67306","2,592m","奥秩父山塊","","","","","","","","","","","","","","",""
"三頭山 (東京都)"," 三頭山 （みとうさん）は、 東京都 西多摩郡 奥多摩町 ・ 檜原村 、 山梨県 上野原市 、 北都留郡 小菅村 にまたがる 標高 1,531mの 山 。 日本三百名山 、 山梨百名山 の一つに選定されている。古くは山の神々が集まる場所で鹿妻山と呼ばれていた。","https://ja.wikipedia.org/wiki/三頭山_(東京都)","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯35度44分19秒東経139度00分51秒","日本東京都西多摩郡奥多摩町、檜原村山梨県上野原市、北都留郡小菅村","北緯35度44分19秒東経139度00分51秒﻿ / ﻿北緯35.73861度 東経139.01417度﻿ /35.73861; 139.01417座標:北緯35度44分19秒東経139度00分51秒﻿ / ﻿北緯35.73861度 東経139.01417度﻿ /35.73861; 139.01417","1,531m","奥多摩","","","","","","","","","","","","","","",""
"大山 (神奈川県)"," 大山 （おおやま）は、 神奈川県 伊勢原市 ・ 秦野市 ・ 厚木市 境にある標高1,252 m の 山 である。 丹沢山 などの 丹沢 の山々とともに 丹沢大山国定公園 に属し、神奈川県有数の 観光地 のひとつである。 日本三百名山 や関東百名山のひとつでもある。","https://ja.wikipedia.org/wiki/大山_(神奈川県)","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯35度26分27秒東経139度13分52秒","神奈川県伊勢原市、秦野市、厚木市","北緯35度26分27秒東経139度13分52秒﻿ / ﻿北緯35.44083度 東経139.23111度﻿ /35.44083; 139.23111","1,252m","丹沢山地","","","","","","","","","","","","","","",""
"金時山"," 金時山 （きんときやま・きんときさん）は、 箱根山 の北西部に位置する標高1,212 m の山である   。 日本三百名山 のひとつ。","https://ja.wikipedia.org/wiki/金時山","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯35度17分23秒東経139度00分18秒","神奈川県南足柄市、足柄下郡箱根町静岡県駿東郡小山町","北緯35度17分23秒東経139度00分18秒﻿ / ﻿北緯35.28972度 東経139.00500度﻿ /35.28972; 139.00500座標:北緯35度17分23秒東経139度00分18秒﻿ / ﻿北緯35.28972度 東経139.00500度﻿ /35.28972; 139.00500","1,212.44m","箱根山、足柄山地","成層火山","","","","","","","","","","","","","",""
"神山"," 神山 （かみやま）は 神奈川県 足柄下郡 箱根町 にある標高1,438mの山で、 箱根山 の最高峰である。古くから神の山として崇められてきたことからこの名がついた。","https://ja.wikipedia.org/wiki/神山","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯35度14分00秒東経139度01分14秒","神奈川県足柄下郡箱根町","北緯35度14分00秒東経139度01分14秒﻿ / ﻿北緯35.23333度 東経139.02056度﻿ /35.23333; 139.02056","1,438m","箱根山","成層火山","","","","","","","","","","","","","",""
"御坂黒岳"," 黒岳 （くろたけ  ）は、 山梨県 南都留郡 富士河口湖町 と 山梨県 笛吹市 芦川町との境界に位置する標高1,793mの山で、 御坂山地 の最高峰。 河口湖 の北側に位置する。 日本三百名山 、 山梨百名山 に選定されている。","https://ja.wikipedia.org/wiki/御坂黒岳","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯35度33分8秒東経138度44分58秒","山梨県笛吹市山梨県南都留郡富士河口湖町","北緯35度33分8秒東経138度44分58秒﻿ / ﻿北緯35.55222度 東経138.74944度﻿ /35.55222; 138.74944座標:北緯35度33分8秒東経138度44分58秒﻿ / ﻿北緯35.55222度 東経138.74944度﻿ /35.55222; 138.74944","1,793m","御坂山地","","","","","","","","","","","","","","",""
"鉢伏山 (筑摩山地)"," 鉢伏山 （はちぶせやま）は標高1,929mの 筑摩山地 の 山   。 美ヶ原 高原の南東に 扉峠 をはさんで、南側の 高ボッチ山 とともになだらかな山容を見せる。鉢伏山から東方および南方に延びる尾根は 中央分水嶺 となり、 日本海 へ注ぐ河川である 犀川 ・ 千曲川 水系と、 太平洋 に注ぐ 天竜川 水系を分けている。 山岳信仰 の山であり、西側中腹にある 牛伏寺 がよく知られている。","https://ja.wikipedia.org/wiki/鉢伏山_(筑摩山地)","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯36度09分46秒東経138度03分33秒","長野県松本市、岡谷市、塩尻市","北緯36度09分46秒東経138度03分33秒﻿ / ﻿北緯36.16278度 東経138.05917度﻿ /36.16278; 138.05917","1,928.5m","筑摩山地","","","","","","","","","","","","","","",""
"粟ヶ岳 (新潟県)"," 粟ヶ岳 （あわがたけ）は、 新潟県 加茂市 と 三条市 の境、県のほぼ中央にある 標高 1,293mの 山 である。 日本三百名山 の一つ。","https://ja.wikipedia.org/wiki/粟ヶ岳_(新潟県)","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯37度33分19秒東経139度11分19秒","日本新潟県加茂市・三条市","北緯37度33分19秒東経139度11分19秒﻿ / ﻿北緯37.55528度 東経139.18861度﻿ /37.55528; 139.18861座標:北緯37度33分19秒東経139度11分19秒﻿ / ﻿北緯37.55528度 東経139.18861度﻿ /37.55528; 139.18861","1,292.7m","","","","","","","","","","","","","","","",""
"浅草岳"," 浅草岳 （あさくさだけ）は、 越後山脈 に位置し、 新潟県 魚沼市 、 福島県 南会津郡 只見町 にまたがる第四紀火山である。標高1,585.5m。一等 三角点 「浅草岳」設置。 越後三山只見国定公園 に属する。","https://ja.wikipedia.org/wiki/浅草岳","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯37度20分36.9秒東経139度14分00.8秒","日本新潟県魚沼市・福島県南会津郡只見町","北緯37度20分36.9秒東経139度14分00.8秒﻿ / ﻿北緯37.343583度 東経139.233556度﻿ /37.343583; 139.233556座標:北緯37度20分36.9秒東経139度14分00.8秒﻿ / ﻿北緯37.343583度 東経139.233556度﻿ /37.343583; 139.233556","1,585.5m","越後山脈","成層火山","","","","","","","","","","","","","",""
"金北山"," 金北山 （きんぽくさん）は、 新潟県 佐渡市 にある 山 。標高1,171.9mと、島内で最も高い山である。 大佐渡山地 のほぼ中央に位置する。","https://ja.wikipedia.org/wiki/金北山","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯38度06分14秒東経138度20分59秒","新潟県佐渡市","北緯38度06分14秒東経138度20分59秒﻿ / ﻿北緯38.10389度 東経138.34972度﻿ /38.10389; 138.34972","1,171.9m","大佐渡山地","","","","","","","","","","","","","","",""
"米山"," 米山 （よねやま）は、 新潟県 中越地方 と 上越地方 との境に位置する 山 である。 標高 992.5m。きれいな 四角錐 （ピラミッド型）の頂上部をもつ山容はよく目立ち、古くから海上交通の目印ともされた。","https://ja.wikipedia.org/wiki/米山","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯37度17分22.3秒東経138度29分02.2秒","日本新潟県柏崎市・上越市","北緯37度17分22.3秒東経138度29分02.2秒﻿ / ﻿北緯37.289528度 東経138.483944度﻿ /37.289528; 138.483944座標:北緯37度17分22.3秒東経138度29分02.2秒﻿ / ﻿北緯37.289528度 東経138.483944度﻿ /37.289528; 138.483944","992.5m","","","","","","","","","","","","","","","",""
"景鶴山"," 景鶴山 （けいづるやま）は、 尾瀬ヶ原 の北に存在する標高2,004mの 山 である。 群馬県 利根郡 片品村 と 新潟県 魚沼市 の境界に存在し、 日本三百名山  と ぐんま百名山  に指定されている。また山の南側は 尾瀬国立公園 に指定されている ","https://ja.wikipedia.org/wiki/景鶴山","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯36度57分24.7秒東経139度12分38秒","日本　新潟県魚沼市群馬県利根郡片品村戸倉","北緯36度57分24.7秒東経139度12分38秒﻿ / ﻿北緯36.956861度 東経139.21056度﻿ /36.956861; 139.21056座標:北緯36度57分24.7秒東経139度12分38秒﻿ / ﻿北緯36.956861度 東経139.21056度﻿ /36.956861; 139.21056","2,004m","越後山脈","","","","","","","","","","","","","","",""
"朝日岳 (群馬県)"," 朝日岳 （あさひだけ）は、 群馬県 利根郡 みなかみ町 と 新潟県 南魚沼市 にまたがる 標高 1,945 m の 山 である。","https://ja.wikipedia.org/wiki/朝日岳_(群馬県)","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯36度52分50秒東経138度58分21秒","日本群馬県利根郡みなかみ町新潟県南魚沼市","北緯36度52分50秒東経138度58分21秒﻿ / ﻿北緯36.88056度 東経138.97250度﻿ /36.88056; 138.97250座標:北緯36度52分50秒東経138度58分21秒﻿ / ﻿北緯36.88056度 東経138.97250度﻿ /36.88056; 138.97250","1,945.26m","三国山脈","","","","","","","","","","","","","","",""
