"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","標高","山系","種類","上位山系","最高峰","最新噴火","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden"
"黒森山","[黒森山[要曖昧さ回避] 黒森山 （くろもりやま）","https://ja.wikipedia.org/wiki/黒森山","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"鳥屋山 (存在しないページ)","[鳥屋山]","https://ja.wikipedia.org/w/index.php?title=鳥屋山&amp;action=edit&amp;redlink=1","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"須刈岳 (存在しないページ)","[須刈岳]","https://ja.wikipedia.org/w/index.php?title=須刈岳&amp;action=edit&amp;redlink=1","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"飯谷山 (存在しないページ)","[飯谷山]","https://ja.wikipedia.org/w/index.php?title=飯谷山&amp;action=edit&amp;redlink=1","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"三坂山 (存在しないページ)","[三坂山]","https://ja.wikipedia.org/w/index.php?title=三坂山&amp;action=edit&amp;redlink=1","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"本名御神楽","[本名御神楽（東北）] 御神楽岳 （みかぐらだけ）は、 新潟県 東蒲原郡 阿賀町 の南東部にある 山 。標高は1,386.5m。","https://ja.wikipedia.org/wiki/本名御神楽","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","北緯37度31分18.8秒東経139度25分33.1秒","新潟県東蒲原郡阿賀町","北緯37度31分18.8秒東経139度25分33.1秒﻿ / ﻿北緯37.521889度 東経139.425861度﻿ /37.521889; 139.425861","1,386.5m","越後山脈","","","","","","","","","","","","","","",""
"惣山 (存在しないページ)","[惣山]","https://ja.wikipedia.org/w/index.php?title=惣山&amp;action=edit&amp;redlink=1","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"白鳳三山","[白鳳三山] 白鳳三山 （はくほうさんざん）とは、 福島県 大沼郡 会津美里町 にある観音山・羽黒山・岩崎山（向羽黒山）の三山の総称である。","https://ja.wikipedia.org/wiki/白鳳三山","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"背炙山","[背炙山] 背炙山 （せあぶりやま）は、 福島県 会津若松市 にある標高863mの 山 である。","https://ja.wikipedia.org/wiki/背炙山","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","北緯37度28分22秒東経139度59分27秒","日本福島県会津若松市","北緯37度28分22秒東経139度59分27秒﻿ / ﻿北緯37.47278度 東経139.99083度﻿ /37.47278; 139.99083座標:北緯37度28分22秒東経139度59分27秒﻿ / ﻿北緯37.47278度 東経139.99083度﻿ /37.47278; 139.99083","863m","","","","","","","","","","","","","","","",""
"大戸岳","[大戸岳] 大戸岳 （おおとだけ）は、 福島県 会津若松市 および 南会津郡 下郷町 にまたがる 標高 1,415.9mの 山 である。山域の西側は大川羽鳥県立自然公園に属する。","https://ja.wikipedia.org/wiki/大戸岳","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","北緯37度20分12.3秒東経139度57分11.7秒","日本福島県会津若松市南会津郡下郷町","北緯37度20分12.3秒東経139度57分11.7秒﻿ / ﻿北緯37.336750度 東経139.953250度﻿ /37.336750; 139.953250﻿ (大戸岳)","1,415.9m","","","","","","","","","","","","","","","",""
"明神ヶ岳 (福島県)","[明神ヶ岳] 明神ヶ岳 （みょうじんがたけ）は、 福島県 大沼郡 会津美里町 と 河沼郡 柳津町 にまたがる標高1,074mの山","https://ja.wikipedia.org/wiki/明神ヶ岳_(福島県)","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","北緯37度25分40.8秒東経139度45分34.5秒","日本福島県大沼郡会津美里町・河沼郡柳津町","北緯37度25分40.8秒東経139度45分34.5秒﻿ / ﻿北緯37.428000度 東経139.759583度﻿ /37.428000; 139.759583座標:北緯37度25分40.8秒東経139度45分34.5秒﻿ / ﻿北緯37.428000度 東経139.759583度﻿ /37.428000; 139.759583","1,074m","","","","","","","","","","","","","","","",""
"志津倉山 (存在しないページ)","[志津倉山]","https://ja.wikipedia.org/w/index.php?title=志津倉山&amp;action=edit&amp;redlink=1","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"博士山","[博士山（東北）] 博士山 （はかせやま）は、 福島県 会津地方 のほぼ中央にあり、 柳津町 、 会津美里町 、 昭和村 の境界をなしている山。標高は1,482.0mで、一等 三角点 「博士山」設置。","https://ja.wikipedia.org/wiki/博士山","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","北緯37度21分47.4秒東経139度42分53.1秒","日本福島県河沼郡柳津町・大沼郡会津美里町・昭和村","北緯37度21分47.4秒東経139度42分53.1秒﻿ / ﻿北緯37.363167度 東経139.714750度﻿ /37.363167; 139.714750座標:北緯37度21分47.4秒東経139度42分53.1秒﻿ / ﻿北緯37.363167度 東経139.714750度﻿ /37.363167; 139.714750","1,482.0m","","","","","","","","","","","","","","","",""
"小野岳","[小野岳（東北）] 小野岳 （おのだけ）は、 福島県 南会津郡 下郷町 北部にある標高1,383mの山   。二等 三角点 「小野岳」設置。大川羽鳥県立自然公園に属する。","https://ja.wikipedia.org/wiki/小野岳","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","北緯37度19分31秒東経139度53分11秒","日本福島県南会津郡下郷町","北緯37度19分31秒東経139度53分11秒﻿ / ﻿北緯37.32528度 東経139.88639度﻿ /37.32528; 139.88639座標:北緯37度19分31秒東経139度53分11秒﻿ / ﻿北緯37.32528度 東経139.88639度﻿ /37.32528; 139.88639","1,383m","","","","","","","","","","","","","","","",""
"中山","[中山[要曖昧さ回避] 中山","https://ja.wikipedia.org/wiki/中山","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"斎藤山 (存在しないページ)","[斎藤山]","https://ja.wikipedia.org/w/index.php?title=斎藤山&amp;action=edit&amp;redlink=1","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"御前ヶ岳 (存在しないページ)","[御前ヶ岳]","https://ja.wikipedia.org/w/index.php?title=御前ヶ岳&amp;action=edit&amp;redlink=1","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"金石ヶ鳥屋山 (存在しないページ)","[金石ヶ鳥屋山]","https://ja.wikipedia.org/w/index.php?title=金石ヶ鳥屋山&amp;action=edit&amp;redlink=1","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"高森山","[高森山[要曖昧さ回避] 高森山 （たかもりやま他）","https://ja.wikipedia.org/wiki/高森山","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"蒲生岳","[蒲生岳（東北）] 蒲生岳 （がもうだけ）は、 福島県 南会津郡 只見町 にある山である。","https://ja.wikipedia.org/wiki/蒲生岳","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","北緯37度23分18.7秒東経139度20分07.8秒","日本福島県南会津郡只見町","北緯37度23分18.7秒東経139度20分07.8秒﻿ / ﻿北緯37.388528度 東経139.335500度﻿ /37.388528; 139.335500座標:北緯37度23分18.7秒東経139度20分07.8秒﻿ / ﻿北緯37.388528度 東経139.335500度﻿ /37.388528; 139.335500","828m","","","","","","","","","","","","","","","",""
"浅草岳","[浅草岳（三百）（東北）・鬼ヶ面山] 浅草岳 （あさくさだけ）は、 越後山脈 に位置し、 新潟県 魚沼市 、 福島県 南会津郡 只見町 にまたがる第四紀火山である。標高1,585.5m。一等 三角点 「浅草岳」設置。 越後三山只見国定公園 に属する。","https://ja.wikipedia.org/wiki/浅草岳","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","北緯37度20分36.9秒東経139度14分00.8秒","日本新潟県魚沼市・福島県南会津郡只見町","北緯37度20分36.9秒東経139度14分00.8秒﻿ / ﻿北緯37.343583度 東経139.233556度﻿ /37.343583; 139.233556座標:北緯37度20分36.9秒東経139度14分00.8秒﻿ / ﻿北緯37.343583度 東経139.233556度﻿ /37.343583; 139.233556","1,585.5m","越後山脈","成層火山","","","","","","","","","","","","","",""
"会津朝日岳","[会津朝日岳（二百）（東北）] 会津朝日岳 （あいづあさひだけ）は、 福島県 南会津郡 只見町 の南部にある山である。 標高 1,624.2m。三等 三角点 「朝日岳」設置。 越後三山只見国定公園 に属する。","https://ja.wikipedia.org/wiki/会津朝日岳","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","北緯37度13分16.1秒東経139度20分22.7秒","日本福島県南会津郡只見町","北緯37度13分16.1秒東経139度20分22.7秒﻿ / ﻿北緯37.221139度 東経139.339639度﻿ /37.221139; 139.339639座標:北緯37度13分16.1秒東経139度20分22.7秒﻿ / ﻿北緯37.221139度 東経139.339639度﻿ /37.221139; 139.339639","1,624.2m","","","","","","","","","","","","","","","",""
"唐倉山 (存在しないページ)","[唐倉山]","https://ja.wikipedia.org/w/index.php?title=唐倉山&amp;action=edit&amp;redlink=1","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"七ヶ岳","[七ヶ岳（三百）（東北）] 七ヶ岳 （ななつがたけ、ななつがだけ）は、 福島県 南会津郡 南会津町 中央部にある 標高 1,635.8mの 山 。一等 三角点 「七ツケ岳」設置。","https://ja.wikipedia.org/wiki/七ヶ岳","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","北緯37度07分27.4秒東経139度39分26.9秒","日本福島県南会津郡南会津町","北緯37度07分27.4秒東経139度39分26.9秒﻿ / ﻿北緯37.124278度 東経139.657472度﻿ /37.124278; 139.657472座標:北緯37度07分27.4秒東経139度39分26.9秒﻿ / ﻿北緯37.124278度 東経139.657472度﻿ /37.124278; 139.657472","1,635.8m","","","","","","","","","","","","","","","",""
"荒海山","[荒海山（三百）（東北）] 荒海山 （あらかいさん、あらかいざん、あらかいやま）は、 福島県 南会津郡 南会津町 と 栃木県 日光市 の境界に位置する 標高 1,581 mの山である。二等 三角点 「太郎岳」（標高1,580.4 m）は山頂の東北東約90 mに位置するピーク東峰にある。福島県側では荒海山、栃木県側では 太郎岳 （たろうだけ）と呼ばれる。江戸時代の文献『 新編会津風土記 』では 荒貝嶽 （あらかいがだけ）と表記されている。","https://ja.wikipedia.org/wiki/荒海山","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","北緯37度02分10秒東経139度38分37秒","日本福島県南会津郡南会津町栃木県日光市","北緯37度02分10秒東経139度38分37秒﻿ / ﻿北緯37.03611度 東経139.64361度﻿ /37.03611; 139.64361座標:北緯37度02分10秒東経139度38分37秒﻿ / ﻿北緯37.03611度 東経139.64361度﻿ /37.03611; 139.64361","1,581m","帝釈山地","","","","","","","","","","","","","","",""
"佐倉山 (存在しないページ)","[佐倉山]","https://ja.wikipedia.org/w/index.php?title=佐倉山&amp;action=edit&amp;redlink=1","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大嵐山 (存在しないページ)","[大嵐山]","https://ja.wikipedia.org/w/index.php?title=大嵐山&amp;action=edit&amp;redlink=1","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"田代山 (帝釈山脈)","[田代山・帝釈山（二百）（東北）] 田代山 （たしろやま）は、 帝釈山脈 にある 標高 1,971mの 山 である。山頂は 福島県 南会津郡 南会津町 に位置するが、山体は南会津町と 栃木県 日光市 にまたがる。 尾瀬国立公園 の一部をなす。","https://ja.wikipedia.org/wiki/田代山_(帝釈山脈)","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","北緯36度58分27.8秒東経139度28分42.6秒","日本福島県南会津郡南会津町","北緯36度58分27.8秒東経139度28分42.6秒﻿ / ﻿北緯36.974389度 東経139.478500度﻿ /36.974389; 139.478500座標:北緯36度58分27.8秒東経139度28分42.6秒﻿ / ﻿北緯36.974389度 東経139.478500度﻿ /36.974389; 139.478500","1,971m","帝釈山脈","","","","","","","","","","","","","","",""
"会津駒ヶ岳","[会津駒ヶ岳（百）（東北）・中門岳] 会津駒ヶ岳 （あいづこまがだけ）は、 福島県 南会津郡 檜枝岐村 にある 標高 2,133mの 山 である。 日本百名山 の一つ。一等 三角点 「岩駒ケ岳」（標高2,132.4m）設置。","https://ja.wikipedia.org/wiki/会津駒ヶ岳","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","北緯37度02分51.4秒東経139度21分13.6秒","日本福島県南会津郡檜枝岐村","北緯37度02分51.4秒東経139度21分13.6秒﻿ / ﻿北緯37.047611度 東経139.353778度﻿ /37.047611; 139.353778座標:北緯37度02分51.4秒東経139度21分13.6秒﻿ / ﻿北緯37.047611度 東経139.353778度﻿ /37.047611; 139.353778","2,133m","越後山脈","","","","","","","","","","","","","","",""
"燧ヶ岳","[燧ヶ岳（百）（東北）] 燧ヶ岳 （ひうちがたけ）は 福島県 にある 火山 。山頂は 南会津郡 檜枝岐村 に属する。 尾瀬国立公園 内にあり、 至仏山 とともに 尾瀬 を代表する山でもある。 東北地方 最高峰（ 標高 2,356 m）であり 日本百名山 に選定されている。","https://ja.wikipedia.org/wiki/燧ヶ岳","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","北緯36度57分18秒東経139度17分07秒","福島県南会津郡檜枝岐村","北緯36度57分18秒東経139度17分07秒﻿ / ﻿北緯36.95500度 東経139.28528度﻿ /36.95500; 139.28528座標:北緯36度57分18秒東経139度17分07秒﻿ / ﻿北緯36.95500度 東経139.28528度﻿ /36.95500; 139.28528","2,356m","独立峰","複成火山","","","","","","","","","","","","","",""
"吾妻連峰","[東吾妻連峰] 吾妻山 （あづまやま）もしくは 吾妻連峰 （あづまれんぽう）は、 福島県 と一部は 山形県 の県境に沿って東西に伸びる 火山 群・ 山塊 の総称である。最高峰は 西吾妻山 （2,035メートル）。 日本百名山 や うつくしま百名山 にもあげられている。","https://ja.wikipedia.org/wiki/吾妻連峰","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","北緯37度44分17秒東経140度08分26秒","日本山形県・福島県","北緯37度44分17秒東経140度08分26秒﻿ / ﻿北緯37.73806度 東経140.14056度﻿ /37.73806; 140.14056座標:北緯37度44分17秒東経140度08分26秒﻿ / ﻿北緯37.73806度 東経140.14056度﻿ /37.73806; 140.14056","","","成層火山や単成火山などからなる火山群","奥羽山脈","西吾妻山（2,035m）","","","","","","","","","","","",""
"安達太良山","[安達太良連峰（百）（東北）（新）] 安達太良山 （あだたらやま）は 福島県 中部にある 活火山 である。 日本百名山 、 新日本百名山 、 花の百名山 および うつくしま百名山 に選定されている。山頂には二等三角点「大関平」1699.6m が設置されている。別名は、岳山（だけやま）、安達太郎山。","https://ja.wikipedia.org/wiki/安達太良山","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","北緯37度38分50秒東経140度16分51秒","日本福島県福島市・二本松市・郡山市安達郡大玉村・耶麻郡猪苗代町","北緯37度38分50秒東経140度16分51秒﻿ / ﻿北緯37.64722度 東経140.28083度﻿ /37.64722; 140.28083座標:北緯37度38分50秒東経140度16分51秒﻿ / ﻿北緯37.64722度 東経140.28083度﻿ /37.64722; 140.28083","最高峰箕輪山 1,728m","奥羽山脈南部","成層火山(活火山ランクB)","","","1900年","","","","","","","","","","",""
"額取山","[額取山（東北）] 額取山 （ひたいとりやま）は、 郡山盆地 と 猪苗代湖 の間の 標高 1,000m前後の山々が連なる 尾根 の北端に位置する 山 である。標高は1,008.7m。","https://ja.wikipedia.org/wiki/額取山","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","北緯37度27分00.9秒東経140度13分13.3秒","日本福島県郡山市","北緯37度27分00.9秒東経140度13分13.3秒﻿ / ﻿北緯37.450250度 東経140.220361度﻿ /37.450250; 140.220361座標:北緯37度27分00.9秒東経140度13分13.3秒﻿ / ﻿北緯37.450250度 東経140.220361度﻿ /37.450250; 140.220361","1,008.7m","奥羽山脈","","","","","","","","","","","","","","",""
"高旗山","[高旗山] 高旗山 （たかはたやま）は、 奥羽山脈 の南部の 福島県 郡山市 付近にある 標高 968mの山。","https://ja.wikipedia.org/wiki/高旗山","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","北緯37度22分26.5秒東経140度12分15.7秒","日本福島県郡山市","北緯37度22分26.5秒東経140度12分15.7秒﻿ / ﻿北緯37.374028度 東経140.204361度﻿ /37.374028; 140.204361座標:北緯37度22分26.5秒東経140度12分15.7秒﻿ / ﻿北緯37.374028度 東経140.204361度﻿ /37.374028; 140.204361","968m","奥羽山脈","","","","","","","","","","","","","","",""
"笠ヶ森山","[笠ヶ森山] 笠ヶ森山 （かさがもりやま）は、 奥羽山脈 の南部に位置し、 福島県 郡山市 と 須賀川市 とにまたがる山である。 標高 1,013m。三等 三角点 「笠ヶ森山」設置。","https://ja.wikipedia.org/wiki/笠ヶ森山","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","北緯37度21分20.9秒東経140度10分26.7秒","日本福島県郡山市・須賀川市","北緯37度21分20.9秒東経140度10分26.7秒﻿ / ﻿北緯37.355806度 東経140.174083度﻿ /37.355806; 140.174083座標:北緯37度21分20.9秒東経140度10分26.7秒﻿ / ﻿北緯37.355806度 東経140.174083度﻿ /37.355806; 140.174083","1,012.6m","奥羽山脈","","","","","","","","","","","","","","",""
"高土山 (存在しないページ)","[高土山]","https://ja.wikipedia.org/w/index.php?title=高土山&amp;action=edit&amp;redlink=1","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"権太倉山 (存在しないページ)","[権太倉山]","https://ja.wikipedia.org/w/index.php?title=権太倉山&amp;action=edit&amp;redlink=1","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"二岐山","[二岐山（三百）（東北）] 二岐山 （ふたまたやま）は、 奥羽山脈 の南部に位置し、 福島県 岩瀬郡 天栄村 と 南会津郡 下郷町 とにまたがる 第四紀 火山である。 標高 1,544.3m。二等 三角点 「二岐山」設置。大川羽鳥県立自然公園に指定されている。","https://ja.wikipedia.org/wiki/二岐山","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","北緯37度14分47.0秒東経139度58分02.5秒","日本福島県岩瀬郡天栄村・南会津郡下郷町","北緯37度14分47.0秒東経139度58分02.5秒﻿ / ﻿北緯37.246389度 東経139.967361度﻿ /37.246389; 139.967361座標:北緯37度14分47.0秒東経139度58分02.5秒﻿ / ﻿北緯37.246389度 東経139.967361度﻿ /37.246389; 139.967361","1,544.3m","奥羽山脈","成層火山、溶岩ドーム","","","","","","","","","","","","","",""
"甲子山 (存在しないページ)","[甲子山]","https://ja.wikipedia.org/w/index.php?title=甲子山&amp;action=edit&amp;redlink=1","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"赤面山 (存在しないページ)","[赤面山]","https://ja.wikipedia.org/w/index.php?title=赤面山&amp;action=edit&amp;redlink=1","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"三本槍岳","[三本槍岳（東北）] 三本槍岳 （さんぼんやりだけ）は、 福島県 西白河郡 西郷村 と 栃木県 那須塩原市 との境界にある山である。 標高 1,916.9m。 那須岳 の最高峰。一等 三角点 「三倉山（みくらやま）」設置。 日光国立公園 に属する。","https://ja.wikipedia.org/wiki/三本槍岳","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","北緯37度09分00.5秒東経139度57分41.0秒","日本福島県西白河郡西郷村栃木県那須塩原市","北緯37度09分00.5秒東経139度57分41.0秒﻿ / ﻿北緯37.150139度 東経139.961389度﻿ /37.150139; 139.961389座標:北緯37度09分00.5秒東経139度57分41.0秒﻿ / ﻿北緯37.150139度 東経139.961389度﻿ /37.150139; 139.961389","1,916.9m","那須火山群","成層火山","","","","","","","","","","","","","",""
"厚樫山","[厚樫山] 厚樫山 （あつかしやま）は、 福島県 国見町 にある 標高 289.4mの低山である。 福島県 と 宮城県 の県境近くに位置しており、麓を 東北自動車道 、 国道4号 、 東北本線 が束になって通っている。 1189年 （ 文治 5年）の 奥州合戦 の際にはこの山一帯が古戦場（ 阿津賀志山の戦い ）となっており、その時の遺跡である二重堀（ 阿津賀志山防塁 ）が山中から山麓にかけて現存している。","https://ja.wikipedia.org/wiki/厚樫山","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","北緯37度53分39.2秒東経140度33分57.0秒","日本福島県伊達郡国見町","北緯37度53分39.2秒東経140度33分57.0秒﻿ / ﻿北緯37.894222度 東経140.565833度﻿ /37.894222; 140.565833座標:北緯37度53分39.2秒東経140度33分57.0秒﻿ / ﻿北緯37.894222度 東経140.565833度﻿ /37.894222; 140.565833","289.4m","","","","","","","","","","","","","","","",""
