"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","面積","淡水・汽水","成因","周囲長","水面の,標高","最大水深","位置","湖沼型","平均水深","透明度","貯水量","国","人口密度","推計人口"," • 合計","最大都市","流出河川","凍結"
"温根沼","[温根沼おんねとう北海道海跡5.727.00.0066根室市、根室半島西部にある。] 温根沼 （おんねとう）は、 北海道 根室管内 根室市 にある 沼 である。 野付風蓮道立自然公園 に含まれ、 2001年 （ 平成 13年）には 日本の重要湿地500 に選出されている  。","https://ja.wikipedia.org/wiki/温根沼","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯43度15分東経145度31分","北海道根室市","5.72km2","汽水","","15km","","7.3m","北緯43度15分東経145度31分﻿ / ﻿北緯43.250度 東経145.517度﻿ /43.250; 145.517座標:北緯43度15分東経145度31分﻿ / ﻿北緯43.250度 東経145.517度﻿ /43.250; 145.517","","","","","","","","","","",""
"オンネトー","[オンネトーおんねとー北海道火山0.239.80.0007一級河川・十勝川水系。足寄町にある。北海道三大秘湖。] オンネトー は、 北海道 足寄郡 足寄町 東部・ 阿寒摩周国立公園 内にある 湖 である。名前は アイヌ語 で「年老いた沼」あるいは「大きな沼」の意味である。","https://ja.wikipedia.org/wiki/オンネトー","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯43度23分04.5秒東経143度58分11.7秒","日本北海道（十勝総合振興局）","0.23km2","淡水","火山による堰止湖","2.5km","623  m","9.8m","北緯43度23分04.5秒東経143度58分11.7秒﻿ / ﻿北緯43.384583度 東経143.969917度﻿ /43.384583; 143.969917座標:北緯43度23分04.5秒東経143度58分11.7秒﻿ / ﻿北緯43.384583度 東経143.969917度﻿ /43.384583; 143.969917","酸栄養湖","3.0 m","7.1 m","0.0007km3","","","","","","",""
"オンネ沼 (存在しないページ)","[オンネ沼おんねぬまおんねとう北海道海跡0.47--根室市、根室半島中部にある。]","https://ja.wikipedia.org/w/index.php?title=オンネ沼&amp;action=edit&amp;redlink=1","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"カムイト沼","[カムイト沼かむいとぬま北海道海跡0.195.2-二級河川・猿払川水系。] カムイト沼 （カムイトぬま）は 北海道 宗谷管内 猿払村 にある 沼 である。浅茅野湿原と呼ばれる地域にあり、 北オホーツク道立自然公園 に含まれる。名称は、アイヌ語のカムイ（神）ト（沼）による。北オホーツクの海岸に近く、夏、朝霧に包まれることもある。","https://ja.wikipedia.org/wiki/カムイト沼","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯45度14分8.3秒 東経142度12分36秒","","0.19km2","淡水","海跡湖","2.3km","5  m","5.2m","","腐植栄養湖","3.5 m","","0.0007km3","","","","","","",""
"キモントウ沼 (存在しないページ)","[キモントウ沼きもんとうぬま北海道その他0.46--]","https://ja.wikipedia.org/w/index.php?title=キモントウ沼&amp;action=edit&amp;redlink=1","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"キモン沼 (存在しないページ)","[キモン沼きもんぬま北海道1.01北方領土・択捉島にある。]","https://ja.wikipedia.org/w/index.php?title=キモン沼&amp;action=edit&amp;redlink=1","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"キモンマ沼 (存在しないページ)","[キモンマ沼きもんまぬま北海道1.44北方領土・択捉島にある。]","https://ja.wikipedia.org/w/index.php?title=キモンマ沼&amp;action=edit&amp;redlink=1","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"久種湖","[久種湖くしゅこ北海道堰止0.495.20.00172日本最北端の湖。] 久種湖 （ くしゅこ ）は、 北海道 北部、 宗谷総合振興局 管内 礼文郡 礼文町 にある 淡水湖 である  。","https://ja.wikipedia.org/wiki/久種湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯45度25分55秒東経141度2分8秒","北海道（宗谷総合振興局）","0.49km2","淡水湖","堰止湖/海跡湖","3.0km","5.0m","5.2m","北緯45度25分55秒東経141度2分8秒﻿ / ﻿北緯45.43194度 東経141.03556度﻿ /45.43194; 141.03556座標:北緯45度25分55秒東経141度2分8秒﻿ / ﻿北緯45.43194度 東経141.03556度﻿ /45.43194; 141.03556","富栄養湖","3.5m","0.3(第2回調査)、0.8(第3回調査)m","0.00172km3","","","","","","",""
"屈斜路湖","[屈斜路湖くっしゃろこ北海道火山79.54117.02.25一級河川・釧路川水系。面積は日本で6番目に広い。周囲は日本で6番目に長い。] 屈斜路湖 （くっしゃろこ）は 北海道 東部、 弟子屈町 にある自然 湖 である。日本最大の カルデラ湖 で  、全面結氷する淡水湖としても日本最大の面積を持つ  。1934年（昭和9年）、全域が 阿寒国立公園 に指定された。","https://ja.wikipedia.org/wiki/屈斜路湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯43度38分0秒東経144度20分0秒","","79.54km2","淡水","カルデラ湖","57km","121  m","117.0m","北緯43度38分0秒東経144度20分0秒﻿ / ﻿北緯43.63333度 東経144.33333度﻿ /43.63333; 144.33333座標:北緯43度38分0秒東経144度20分0秒﻿ / ﻿北緯43.63333度 東経144.33333度﻿ /43.63333; 144.33333","酸栄養湖","28.4 m","6.0、1917年の測定では 20m m","2.25km3","","","","","","",""
"倶多楽湖","[倶多楽湖くったらこ北海道火山4.701480.491日本で透明度は摩周湖に劣らず。] 倶多楽湖 （くったらこ）は、 北海道 白老郡 白老町 にある カルデラ 湖で、活火山「倶多楽」の一部である。","https://ja.wikipedia.org/wiki/倶多楽湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯42度30分0秒東経141度11分0秒","日本北海道（胆振総合振興局）北緯42度30分0秒東経141度11分0秒﻿ / ﻿北緯42.50000度 東経141.18333度﻿ /42.50000; 141.18333﻿ (倶多楽湖)倶多楽湖-地理院地図倶多楽湖-Google マップ倶多楽湖倶多楽湖の位置北海道南部の地図を表示倶多楽湖倶多楽湖 (北海道)北海道の地図を表示倶多楽湖倶多楽湖 (日本)日本の地図を表示","4.70km2","淡水","カルデラ湖","8km","258  m","148m","","極貧栄養湖","104.9 m","19 m","0.491km3","","","","","","",""
"クッチャロ湖","[クッチャロ湖くっちゃろこ北海道海跡13.403.30.014大沼（おおぬま）と小沼（こぬま）の二水域からなる。] クッチャロ湖 （クッチャロこ）は、 北海道 北部、 宗谷総合振興局 管内 枝幸郡 浜頓別町 に存在する周囲約27㎞の 汽水湖 である。","https://ja.wikipedia.org/wiki/クッチャロ湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯45度8分0秒東経142度20分0秒","北海道（宗谷総合振興局）","13.40km2","汽水湖","海跡湖","27km","0.0  m","3.3m","北緯45度8分0秒東経142度20分0秒﻿ / ﻿北緯45.13333度 東経142.33333度﻿ /45.13333; 142.33333座標:北緯45度8分0秒東経142度20分0秒﻿ / ﻿北緯45.13333度 東経142.33333度﻿ /45.13333; 142.33333","富栄養湖","","","","","","","","","",""
"ケラムイ湖 (存在しないページ)","[ケラムイ湖けらむいこ北海道1.67北方領土・国後島にある。]","https://ja.wikipedia.org/w/index.php?title=ケラムイ湖&amp;action=edit&amp;redlink=1","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"大沼 (七飯町)","[小沼こぬま北海道火山3.815.00.008二級河川・折戸川水系。七飯町にあり大沼に隣接する。] 大沼 （おおぬま）は、 北海道 亀田郡 七飯町 にある 湖  。大沼、小沼、蓴菜(じゅんさい)沼などの大小の湖沼群や 北海道駒ヶ岳 などの周辺の総称として「大沼」とも呼ばれている。大沼という地名は アイヌ語 の「 ポロ・ト 」に由来している  。ポロは「大いなる」を意味し、トは「湖沼」や「水溜まり」を意味している  。そこで、「大湖」または「大沼」ということになって「大沼」が採られた  。","https://ja.wikipedia.org/wiki/大沼_(七飯町)","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯41度59分51秒東経140度41分02秒","北海道（渡島総合振興局）北緯41度59分51秒東経140度41分02秒﻿ / ﻿北緯41.99750度 東経140.68389度﻿ /41.99750; 140.68389﻿ (大沼)大沼-地理院地図大沼-Google マップ大沼の位置北海道南部の地図を表示大沼 (七飯町) (北海道)北海道の地図を表示大沼 (七飯町) (日本)日本の地図を表示","5.31km2","淡水","堰止湖","24km","130m","12.2m","","","4.7m","","","","","","","","",""
"駒止湖","[駒止湖こまどめこ北海道-0.025.00.00006] 駒止湖 （こまどめこ）は、 北海道 河東郡 鹿追町 にある湖である。 西小沼 （にしこぬま）とも呼ばれる。自然環境が保たれており、 大雪山国立公園 に指定されている。","https://ja.wikipedia.org/wiki/駒止湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯43度15分25秒東経143度5分37秒","北海道河東郡鹿追町","0.02km2","淡水","火口湖","0.8km","855m","5.0m","北緯43度15分25秒東経143度5分37秒﻿ / ﻿北緯43.25694度 東経143.09361度﻿ /43.25694; 143.09361座標:北緯43度15分25秒東経143度5分37秒﻿ / ﻿北緯43.25694度 東経143.09361度﻿ /43.25694; 143.09361","酸栄養湖","","","","","","","","","",""
"コムケ湖","[コムケ湖こむけこ北海道海跡4.843.80.007] コムケ湖 （コムケこ）は、 北海道 北東部、 紋別市 にある 湖 である。名前は北西端に三日月状に曲がった部分があり、ここが アイヌ語 で「コムケ・トー」（曲がっている・沼）と呼ばれていたことに由来。 小向沼 （こむけぬま）ともよばれる。","https://ja.wikipedia.org/wiki/コムケ湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯44度15分30秒東経143度30分20秒","北海道（オホーツク総合振興局）","4.84km2","汽水","海跡湖","22.7km","3.0  m","3.8m","北緯44度15分30秒東経143度30分20秒﻿ / ﻿北緯44.25833度 東経143.50556度﻿ /44.25833; 143.50556座標:北緯44度15分30秒東経143度30分20秒﻿ / ﻿北緯44.25833度 東経143.50556度﻿ /44.25833; 143.50556","富栄養湖","1.2 m","1.4 m","0.007km3","","","","","","",""
"サロマ湖","[サロマ湖さろまこ北海道海跡151.5919.61.3面積は日本で3番目に広い。周囲は日本で5番目に長い。] サロマ湖 （サロマこ）は、 北海道 オホーツク海 岸の 北見市 、 常呂郡 佐呂間町 、 紋別郡 湧別町 にまたがる 日本 最大の 汽水湖 。","https://ja.wikipedia.org/wiki/サロマ湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯44度8分0秒東経143度50分0秒","北海道","151.59km2","汽水","海跡湖","92km","0  m","19.6m","北緯44度8分0秒東経143度50分0秒﻿ / ﻿北緯44.13333度 東経143.83333度﻿ /44.13333; 143.83333座標:北緯44度8分0秒東経143度50分0秒﻿ / ﻿北緯44.13333度 東経143.83333度﻿ /44.13333; 143.83333","富栄養湖","8.7 m","9.4 m","1.3km3","","","","","","",""
"然別湖","[然別湖しかりべつこ北海道火山3.591080.193北海道で最も標高が高い。一級河川・十勝川水系。] 然別湖 （しかりべつこ）は、 北海道 十勝管内 の 鹿追町 北部と 上士幌町 南西部にまたがる 湖 である。 大雪山国立公園 内にある。","https://ja.wikipedia.org/wiki/然別湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","日本北海道（十勝総合振興局）","3.59km2","淡水","堰止湖","13.8km","810  m","108m","","貧栄養型","57.1 m","19.5 m","","","","","","","",""
"支笏湖","[支笏湖しこつこ北海道火山78.48363.020.9一級河川・石狩川水系。面積は日本で8番目に広く、水深・貯水量ともに2番目。] 支笏湖 （しこつこ）は、 北海道 千歳市 にある 淡水湖 。 支笏洞爺国立公園 に属し、 日本最北の不凍湖 となっている。","https://ja.wikipedia.org/wiki/支笏湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯42度45分0秒東経141度20分0秒","日本北海道（石狩振興局管内）北緯42度45分0秒東経141度20分0秒﻿ / ﻿北緯42.75000度 東経141.33333度﻿ /42.75000; 141.33333﻿ (支笏湖)支笏湖-地理院地図支笏湖-Google マップ支笏湖の位置北海道南部の地図を表示支笏湖 (北海道)北海道の地図を表示支笏湖 (日本)日本の地図を表示","78.48km2","淡水","カルデラ湖","40.4km","247  m","360.1m","","極貧栄養湖","265.4 m","17.5 m","20.9km3","","","","","","",""
"東雲湖","[東雲湖しののめこ北海道火山0.042.0-別名「東小沼（ひがしこぬま）」。北海道三大秘湖。] 東雲湖 （しののめこ）は、 北海道 上士幌町 にある湖（自然湖）である。 東小沼 （ひがしこぬま）とも呼ばれる。","https://ja.wikipedia.org/wiki/東雲湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯43度16分03.3秒東経143度08分17.2秒","日本北海道（十勝総合振興局）","0.04km2","淡水","火口湖","0.8km","810  m","2.0m","北緯43度16分03.3秒東経143度08分17.2秒﻿ / ﻿北緯43.267583度 東経143.138111度﻿ /43.267583; 143.138111座標:北緯43度16分03.3秒東経143度08分17.2秒﻿ / ﻿北緯43.267583度 東経143.138111度﻿ /43.267583; 143.138111","","","","","","","","","","",""
"シブノツナイ湖 (存在しないページ)","[シブノツナイ湖しぶのつないこ北海道海跡2.633.00.00276信部内湖とも。]","https://ja.wikipedia.org/w/index.php?title=シブノツナイ湖&amp;action=edit&amp;redlink=1","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"蘂取沼 (存在しないページ)","[蘂取沼しべとろぬま北海道2.83北方領土・択捉島にある。]","https://ja.wikipedia.org/w/index.php?title=蘂取沼&amp;action=edit&amp;redlink=1","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"紗那沼 (存在しないページ)","[紗那沼しゃなぬま北海道1.01北方領土・択捉島にある。]","https://ja.wikipedia.org/w/index.php?title=紗那沼&amp;action=edit&amp;redlink=1","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"シュンクシタカラ湖","[シュンクシタカラ湖しゅんくしたからこ北海道不明0.11--日本で最後に発見された湖。] シュンクシタカラ湖 (シュンクシタカラこ)は、 北海道 釧路市 阿寒町 にある 湖 である。","https://ja.wikipedia.org/wiki/シュンクシタカラ湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯43度15分19.2秒東経143度58分47.8秒","日本北海道（釧路総合振興局）","0.11km2","淡水","不明（自然湖）","1.8km","445  m","","北緯43度15分19.2秒東経143度58分47.8秒﻿ / ﻿北緯43.255333度 東経143.979944度﻿ /43.255333; 143.979944座標:北緯43度15分19.2秒東経143度58分47.8秒﻿ / ﻿北緯43.255333度 東経143.979944度﻿ /43.255333; 143.979944","","","","","","","","","","",""
"大沼 (七飯町)","[蓴菜沼じゅんさいぬま北海道火山0.734.60.002二級河川・折戸川水系。七飯町、大沼の西方にある。] 大沼 （おおぬま）は、 北海道 亀田郡 七飯町 にある 湖  。大沼、小沼、蓴菜(じゅんさい)沼などの大小の湖沼群や 北海道駒ヶ岳 などの周辺の総称として「大沼」とも呼ばれている。大沼という地名は アイヌ語 の「 ポロ・ト 」に由来している  。ポロは「大いなる」を意味し、トは「湖沼」や「水溜まり」を意味している  。そこで、「大湖」または「大沼」ということになって「大沼」が採られた  。","https://ja.wikipedia.org/wiki/大沼_(七飯町)","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯41度59分51秒東経140度41分02秒","北海道（渡島総合振興局）北緯41度59分51秒東経140度41分02秒﻿ / ﻿北緯41.99750度 東経140.68389度﻿ /41.99750; 140.68389﻿ (大沼)大沼-地理院地図大沼-Google マップ大沼の位置北海道南部の地図を表示大沼 (七飯町) (北海道)北海道の地図を表示大沼 (七飯町) (日本)日本の地図を表示","5.31km2","淡水","堰止湖","24km","130m","12.2m","","","4.7m","","","","","","","","",""
"シラルトロ沼","[シラルトロ沼しらるとろぬま北海道海跡1.722.30.00267一級河川・釧路川水系。] シラルトロ沼 （シラルトロぬま）は 北海道 東部、 標茶町 にある 淡水湖 。 シラルトロ湖 とも呼ばれる。 釧路湿原国立公園 に含まれる。","https://ja.wikipedia.org/wiki/シラルトロ沼","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯43度10分45秒東経144度30分07秒","日本北海道（釧路総合振興局）","1.72km2","淡水","海跡湖","6.5km","8  m","2.3m","北緯43度10分45秒東経144度30分07秒﻿ / ﻿北緯43.17917度 東経144.50194度﻿ /43.17917; 144.50194座標:北緯43度10分45秒東経144度30分07秒﻿ / ﻿北緯43.17917度 東経144.50194度﻿ /43.17917; 144.50194","腐植型","1.5 m","- m","-km3","","","","","","",""
"知床五湖","[知床五湖しれとこごこ北海道火山---一湖、二湖、三湖、四湖、五湖からなる湖沼群の総称。] 知床五湖 （しれとこごこ）は、 北海道 斜里町 にある 湖 （秘湖、沼）である。五湖とあり、一湖から五湖までの名前がついている。ただし、 湿地帯 にあるため融雪期には数が増える。","https://ja.wikipedia.org/wiki/知床五湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯44度7分32秒 東経145度4分52秒","","","","","","","","","","","","","","","","","","",""
"知床沼","[知床沼しれとこぬま北海道-0.038--古くは知床池とも。] 知床沼 （しれとこぬま）は、 北海道 北部、 根室振興局 管内 目梨郡 羅臼町 にある 沼 である。 知床池 とする文献もあるが現在では知床沼で知られている  。 知床世界遺産 、 知床国立公園 に含まれる。","https://ja.wikipedia.org/wiki/知床沼","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯44度14分54.0秒東経145度18分23.3秒","北海道（根室振興局）知床沼-地理院地図知床沼-Google マップ","0.038km2","淡水湖","堰止湖","0.9km","920  m","","北緯44度14分54.0秒東経145度18分23.3秒﻿ / ﻿北緯44.248333度 東経145.306472度﻿ /44.248333; 145.306472座標:北緯44度14分54.0秒東経145度18分23.3秒﻿ / ﻿北緯44.248333度 東経145.306472度﻿ /44.248333; 145.306472","貧栄養湖","","","","","","","","","",""
"神仙沼","[神仙沼しんせんぬま北海道高層湿原0.01192.0-数あるニセコ山系の沼の中で最も美しい沼と称される。] 神仙沼 （しんせんぬま）は 北海道 後志総合振興局 岩内郡 共和町 にある 高層湿原 である。","https://ja.wikipedia.org/wiki/神仙沼","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯42度54分15秒東経140度35分34秒","日本北海道（後志総合振興局）","0.0119km2","淡水","高層湿原","0.5km","765  m","2.0m","北緯42度54分15秒東経140度35分34秒﻿ / ﻿北緯42.90417度 東経140.59278度﻿ /42.90417; 140.59278座標:北緯42度54分15秒東経140度35分34秒﻿ / ﻿北緯42.90417度 東経140.59278度﻿ /42.90417; 140.59278","","約1.3 m","","","","","","","","",""
"達古武湖","[達古武湖たっこぶこ北海道海跡1.313.00.0026一級河川・釧路川水系。] 達古武湖 （たっこぶこ）は 北海道 東部、 釧路町 にある 淡水湖 。 釧路湿原国立公園 に含まれる。 達古武沼 とも呼ばれる。","https://ja.wikipedia.org/wiki/達古武湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯43度06分19秒東経144度29分03秒","北海道（釧路総合振興局）","1.31km2","淡水","海跡湖","4.9km","3  m","3.0m","北緯43度06分19秒東経144度29分03秒﻿ / ﻿北緯43.10528度 東経144.48417度﻿ /43.10528; 144.48417座標:北緯43度06分19秒東経144度29分03秒﻿ / ﻿北緯43.10528度 東経144.48417度﻿ /43.10528; 144.48417","腐食型","1.9 m","- m","0.0026km3","","","","","","",""
