"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","面積","標高","外部リンク","成因","淡水・汽水","湖沼型","山系","種類","周囲長","最大水深","水面の,標高","透明度","交通","最高標高","平均水深","都道府県","人口密度"
"十和田湖","[十和田湖（青森県）] 十和田湖 （とわだこ）は、 青森県 十和田市 と 秋田県 鹿角郡 小坂町 にまたがる 湖 。日本の湖沼としては、最大水深は326.8mで第3位  、面積では12番目  。東岸には、十和田湖の水が唯一流れ出る 奥入瀬川 があり、北東に約14kmにわたり 奥入瀬渓流 が延びる。約20km北には 八甲田山 が位置する。","https://ja.wikipedia.org/wiki/十和田湖","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","北緯40度27分53秒東経140度52分38秒","日本青森県十和田市秋田県鹿角郡小坂町","北緯40度27分53秒東経140度52分38秒﻿ / ﻿北緯40.46472度 東経140.87722度﻿ /40.46472; 140.87722座標:北緯40度27分53秒東経140度52分38秒﻿ / ﻿北緯40.46472度 東経140.87722度﻿ /40.46472; 140.87722","61.11km2","","","カルデラ湖","淡水","貧栄養湖","","","46.0km","326.8m","400  m","9.0 m","","","71.0 m","",""
"松島","[松島（宮城県）] 松島 （まつしま）は、 宮城県 の松島湾内外にある 諸島 のこと。または、それら諸島と湾周囲を囲む 松島丘陵 も含めた修景地区のことである。 日本三景 の1つに数えられている。2018年の観光入込客数は600万人  。","https://ja.wikipedia.org/wiki/松島","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"蔵王連峰","[蔵王山（山形県・宮城県）] 蔵王連峰 （ざおうれんぽう）は、 東北地方 の中央を南北に連なる 奥羽山脈 の中にあって、 宮城県 と 山形県 の両県南部の県境に位置する 連峰     。奥羽山脈において時と場所を移しながら次々と繰り返された火山活動によって形成された複合火山群である  。","https://ja.wikipedia.org/wiki/蔵王連峰","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","北緯38度08分37秒東経140度26分22秒","宮城県・山形県","北緯38度08分37秒東経140度26分22秒﻿ / ﻿北緯38.14361度 東経140.43944度﻿ /38.14361; 140.43944座標:北緯38度08分37秒東経140度26分22秒﻿ / ﻿北緯38.14361度 東経140.43944度﻿ /38.14361; 140.43944（熊野岳）","","","","","","","","","","","","","","","","",""
"奥入瀬渓谷","[奥入瀬渓谷（青森県）] 奥入瀬渓流 （おいらせけいりゅう）は、 青森県 十和田市 の 十和田湖 東岸の子ノ口（ねのくち）から北東に、焼山（十和田市法量（大字）焼山（字））までの約14kmにわたる 奥入瀬川 の 渓流 である。 十和田八幡平国立公園 に属する。国指定の 特別名勝 及び 天然記念物 。","https://ja.wikipedia.org/wiki/奥入瀬渓谷","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"八幡平","[八幡平（岩手県・秋田県）] 八幡平 （はちまんたい）は、 秋田県 と 岩手県 にまたがる 標高 1,614 m の山及びその周囲の高原台地  。 深田久弥 の 日本百名山 に挙げられている   。山域は 1956年 （昭和31年）に 十和田八幡平国立公園 に指定されている。","https://ja.wikipedia.org/wiki/八幡平","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","北緯39度57分28秒東経140度51分15秒","日本岩手県八幡平市秋田県仙北市・鹿角市","北緯39度57分28秒東経140度51分15秒﻿ / ﻿北緯39.95778度 東経140.85417度﻿ /39.95778; 140.85417座標:北緯39度57分28秒東経140度51分15秒﻿ / ﻿北緯39.95778度 東経140.85417度﻿ /39.95778; 140.85417","","1,613.50m","","","","","奥羽山脈","成層火山","","","","","","","","",""
"五色沼 (福島県北塩原村)","[五色沼（福島県）] 五色沼 （ごしきぬま）とは、 磐梯山 の北側、 裏磐梯 と呼ばれる地域にある大小30余りの小 湖沼 群のこと。緑・赤・青など、様々な色の沼が点在し、 磐梯朝日国立公園 に指定されている。","https://ja.wikipedia.org/wiki/五色沼_(福島県北塩原村)","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","","福島県北塩原村","","","","","山体崩壊","淡水","堰き止め湖","","","","","","","","","","",""
"浄土ヶ浜","[浄土ヶ浜（岩手県）] 浄土ヶ浜 （じょうどがはま）は、 岩手県 宮古市 にある 海岸 。国の 名勝 に指定されている。 三陸復興国立公園 に属し、 三陸 を代表する景勝地の1つである。","https://ja.wikipedia.org/wiki/浄土ヶ浜","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"平泉町","[平泉（岩手県）] 地理院地図 Google Bing GeoHack MapFan Mapion Yahoo! NAVITIME ゼンリン","https://ja.wikipedia.org/wiki/平泉町","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","北緯38度59分11.8秒東経141度6分49.8秒","〒029-4192岩手県西磐井郡平泉町平泉字志羅山45番地2北緯38度59分11.8秒東経141度6分49.8秒﻿ / ﻿北緯38.986611度 東経141.113833度﻿ /38.986611; 141.113833","","63.39km2（境界未定部分あり）","","公式ウェブサイト","","","","","","","","","","","","","岩手県","113人/km2"
"田沢湖","[田沢湖（秋田県）] 田沢湖 （たざわこ）は、 秋田県 仙北市 にある 淡水湖 。 一級河川 雄物川 水系に属する。 日本 で最も深い湖であり、日本で19番目に広い湖沼である  。その全域が 田沢湖抱返り県立自然公園 に指定されており、 日本百景 にも選ばれている景勝地である。1956年（昭和31年）から2005年（平成17年）まで存在した自治体である 田沢湖町 の名の由来であり、現在も旧田沢湖町の区域の地名冠称として使われている。","https://ja.wikipedia.org/wiki/田沢湖","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","北緯39度43分30秒東経140度39分41秒","日本秋田県仙北市","北緯39度43分30秒東経140度39分41秒﻿ / ﻿北緯39.72500度 東経140.66139度﻿ /39.72500; 140.66139座標:北緯39度43分30秒東経140度39分41秒﻿ / ﻿北緯39.72500度 東経140.66139度﻿ /39.72500; 140.66139","25.75km2","","","カルデラ","淡水","酸栄養湖","","","20km","423.4m","249  m","4.0 m","","","280.0 m","",""
"尾瀬","[尾瀬（福島県・新潟県・群馬県）] 尾瀬 （おぜ）は、 福島県 （ 南会津郡 檜枝岐村 ）・ 新潟県 （ 魚沼市 ）・ 群馬県 （ 利根郡 片品村 ）の3県にまたがる 高地 にある 盆地 状の 高原 であり、 阿賀野川 水系 最大の 支流 只見川 の源流域となっている。中心となる尾瀬ヶ原は約1万年前に形成されたと考えられる 湿原 である。 尾瀬国立公園 に指定され、 日本百景 に選定されている。","https://ja.wikipedia.org/wiki/尾瀬","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"日光市","[日光（栃木県）] 地理院地図 Google Bing GeoHack MapFan Mapion Yahoo! NAVITIME ゼンリン","https://ja.wikipedia.org/wiki/日光市","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","北緯36度43分11.4秒東経139度41分53.4秒","〒321-1292栃木県日光市今市本町1番地北緯36度43分11.4秒東経139度41分53.4秒﻿ / ﻿北緯36.719833度 東経139.698167度﻿ /36.719833; 139.698167","","1,449.83km2","","公式ウェブサイト","","","","","","","","","","","","","栃木県","53人/km2"
"犬吠埼","[犬吠埼（千葉県）] 犬吠埼 （いぬぼうさき、 英 :Inubosaki）は、 関東平野 最東端に位置する 千葉県 銚子市 の 太平洋 に突出する 岬 。 水郷筑波国定公園 に含まれる 景勝地 。岬には 犬吠埼灯台 が屹立する。岬一帯の町名にも 犬吠埼 が使用されている。 郵便番号 は288-0012  。","https://ja.wikipedia.org/wiki/犬吠埼","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","北緯35度25分東経140度31分","","","","","","","","","","","","","","","","","","",""
"箱根温泉","[箱根温泉郷（神奈川県）] 箱根温泉 （はこねおんせん）は、 神奈川県 足柄下郡 箱根町 （旧国 相模国 ）にある 温泉 の総称。 箱根火山 の麓から中腹まで、あちこちに 温泉街 が点在している。付近は 富士箱根伊豆国立公園 に指定されている。","https://ja.wikipedia.org/wiki/箱根温泉","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","","神奈川県足柄下郡箱根町","","","","箱根町観光協会公式サイト","","","","","","","","","","箱根登山鉄道箱根湯本駅など西湘バイパス箱根口インターチェンジ・東名高速道路御殿場インターチェンジから国道138号経由","","","",""
"戦場ヶ原","[戦場ヶ原（栃木県）] 戦場ヶ原 （せんじょうがはら）は、 栃木県 日光市 の 日光国立公園 内にある 高層湿原 である。標高は約1,390mから1,400mであり、広さは400haに及ぶ  。","https://ja.wikipedia.org/wiki/戦場ヶ原","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"箱根山","[箱根連山（神奈川県）] 箱根山 （はこねやま）は、 日本 の 神奈川県 足柄下郡 箱根町 を中心に、神奈川県と 静岡県 にまたがる 火山 の総称である（内訳は『主な山』節参照）。 富士箱根伊豆国立公園 に指定されている。地名「 箱根 」は古くは「函根」と記したが、同じく「箱根山」は 函根山 と記し、 函嶺 （かんれい）ともいった（ 函嶺洞門 、 函南町 などといった地名に名残がある）。","https://ja.wikipedia.org/wiki/箱根山","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","北緯35度15分35.7秒東経139度1分11.4秒","神奈川県・静岡県","北緯35度15分35.7秒東経139度1分11.4秒﻿ / ﻿北緯35.259917度 東経139.019833度﻿ /35.259917; 139.019833座標:北緯35度15分35.7秒東経139度1分11.4秒﻿ / ﻿北緯35.259917度 東経139.019833度﻿ /35.259917; 139.019833","","1,438m","","","","","","複成火山","","","","","","","","",""
"九十九里浜","[九十九里浜（千葉県）] 九十九里浜 （くじゅうくりはま）は、 千葉県 東部の 刑部岬 から 太東崎 までに及ぶ 太平洋 沿岸に面する日本最大級の 砂浜海岸 。全域を 千葉県立九十九里自然公園 に指定されており、 日本の白砂青松100選 、 日本の渚百選 に選定されている    。海岸線を指す場合は 九十九里海岸 と呼ばれ、 オーストラリア の ゴールドコースト と類似した環境で行うビーチウォークに着目し、 九十九里コーストライン とも命名されている   。","https://ja.wikipedia.org/wiki/九十九里浜","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","北緯35度35分56秒東経140度30分51秒","日本千葉県旭市、匝瑳市、山武市、大網白里市、いすみ市、横芝光町、九十九里町、白子町、一宮町、長生村","","","","","","","","","","","","","","","","","",""
"谷川岳","[谷川岳（群馬県）] 谷川岳 （たにがわだけ）は 群馬 ・ 新潟 の県境にある 三国山脈 の 山 である。 日本百名山 のひとつ。周囲の 万太郎山 ・ 仙ノ倉山 ・ 茂倉岳 などを総じて 谷川連峰 という。","https://ja.wikipedia.org/wiki/谷川岳","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","北緯36度50分14秒東経138度55分48秒","日本群馬県利根郡みなかみ町新潟県南魚沼郡湯沢町","北緯36度50分14秒東経138度55分48秒﻿ / ﻿北緯36.83722度 東経138.93000度﻿ /36.83722; 138.93000座標:北緯36度50分14秒東経138度55分48秒﻿ / ﻿北緯36.83722度 東経138.93000度﻿ /36.83722; 138.93000","","1,977m","","","","","三国山脈","","","","","","","","","",""
"中禅寺湖","[中禅寺湖（栃木県）] 中禅寺湖 （ちゅうぜんじこ）は 栃木県 日光市 の 日光国立公園 内にある 湖 。 日本 の湖沼では25番目の面積規模を有する。","https://ja.wikipedia.org/wiki/中禅寺湖","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","北緯36度44分26秒東経139度27分44秒","日本栃木県日光市","北緯36度44分26秒東経139度27分44秒﻿ / ﻿北緯36.74056度 東経139.46222度﻿ /36.74056; 139.46222座標:北緯36度44分26秒東経139度27分44秒﻿ / ﻿北緯36.74056度 東経139.46222度﻿ /36.74056; 139.46222","11.90km2","","","堰止湖","淡水","貧栄養湖","","","25km","163m","1,269  m","9.0 m","","","","",""
"城ヶ島","[城ヶ島（神奈川県）] 城ヶ島 （じょうがしま）は、 神奈川県 三浦半島 の 南 端に位置する 島 。","https://ja.wikipedia.org/wiki/城ヶ島","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","北緯35度8分1秒東経139度37分10秒","日本神奈川県三浦市","","0.99km²","","","","","","","","","","","","","29.9m","","",""
"上高地","[上高地（長野県）] 上高地 （かみこうち）とは、 長野県 西部の 飛騨山脈 南部の 梓川 上流の 景勝地 である。 中部山岳国立公園 の一部ともなっており、国の 文化財 （ 特別名勝 ・ 特別天然記念物 ）に指定されている。 標高 約1,500 m 。全域が 松本市 に属する。「かみこうち」の名称は本来「神垣内」の 漢字 表記だが、後に現在の「上高地」の漢字表記が一般的となった。「神垣内」とは、 穂高神社 の祭神・「 穂高見命 」（ほたかみのみこと）が穂高岳に降臨し、この地（穂高神社奥宮と 明神池 ）で祀られていることに由来する。","https://ja.wikipedia.org/wiki/上高地","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"志賀高原","[志賀高原（長野県）] 志賀高原 （しがこうげん）は、 上信越高原国立公園 の一部である 長野県 下高井郡 山ノ内町 とその周辺一帯に広がる 高原 である  。","https://ja.wikipedia.org/wiki/志賀高原","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"美ヶ原","[美ヶ原（長野県）] 美ヶ原 （うつくしがはら）は、 八ヶ岳中信高原国定公園 北西部にある 長野県 松本市 、 上田市 、 小県郡 長和町 にまたがる 高原 。 日本百名山 の一つ。","https://ja.wikipedia.org/wiki/美ヶ原","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","北緯36度13分32.8685秒東経138度6分26.7915秒","長野県松本市・上田市・小県郡長和町","北緯36度13分32.8685秒東経138度6分26.7915秒﻿ / ﻿北緯36.225796806度 東経138.107442083度﻿ /36.225796806; 138.107442083","","2034.34（王ヶ頭）m","","","","","","火山","","","","","","","","",""
"蓼科高原","[蓼科高原（長野県）] 蓼科高原 （たてしなこうげん）は、 長野県 茅野市 にある 高原 。北に 蓼科山 、東に 八ヶ岳 を望む。 八ヶ岳中信高原国定公園 に属する。 蓼科高原 、 蓼科中央高原 、 奥蓼科温泉郷 、 白樺湖 などのエリアに分けられ、西部の 車山 を蓼科高原の一部に含めることがある。","https://ja.wikipedia.org/wiki/蓼科高原","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"軽井沢","[軽井沢（長野県）] 軽井沢 （かるいざわ）は、 長野県 東信地方 の 佐久地域 にある地名である。一般的に長野県 北佐久郡 軽井沢町 の 旧軽井沢 地区（ ウィキ座標 、 旧軽井沢メインストリート も参照）、あるいは軽井沢町全体を指す。日本有数の 避暑地 で、 リゾートホテル や ペンション 、 別荘 、 保養所 などが多数存在する。","https://ja.wikipedia.org/wiki/軽井沢","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"昇仙峡","[昇仙峡（山梨県）] 昇仙峡 （しょうせんきょう）は、 山梨県 甲府市 、 甲府盆地 北側、 荒川  上流に位置する 渓谷 である。 特別名勝 に指定されており、国内有数の景勝地である。「日本五大名峡」の一つに数えられる  。","https://ja.wikipedia.org/wiki/昇仙峡","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"八方尾根","[八方尾根（長野県）] 白馬八方尾根スキー場 （はくばはっぽうおねスキーじょう）は、 長野県 北安曇郡 白馬村 八方にある スキー場 で、単体のスキー場としては日本国内最大級のスキー場である。「 八方尾根スキー場 」と呼ばれることが多い。 1998年長野オリンピック の際には アルペンスキー の高速系種目および複合の競技会場となった。","https://ja.wikipedia.org/wiki/八方尾根","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","北緯36度42分9.1秒東経137度50分12.5秒","〒399-9301長野県北安曇郡白馬村北城八方","","","1,831 m - 760 m","","","","","","","","","","","","","","",""
"野尻湖","[野尻湖（長野県）] 野尻湖 （のじりこ）は、 長野県 上水内郡 信濃町 にある 湖 。古くは 信濃尻湖 （しなのじりこ）と呼ばれた。 芙蓉湖 （ふようこ）とも呼ばれる。 ナウマンゾウ 化石が出土する湖としても知られており、 発掘調査 が行われる。 湖沼水質保全特別措置法 指定湖沼。天然湖で、 妙高高原 、 黒姫高原 とともに 妙高戸隠連山国立公園 に指定されている。","https://ja.wikipedia.org/wiki/野尻湖","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","北緯36度49分30秒東経138度13分20秒","日本長野県上水内郡信濃町","北緯36度49分30秒東経138度13分20秒﻿ / ﻿北緯36.82500度 東経138.22222度﻿ /36.82500; 138.22222座標:北緯36度49分30秒東経138度13分20秒﻿ / ﻿北緯36.82500度 東経138.22222度﻿ /36.82500; 138.22222","4.45km2","","","堰止湖","淡水","中栄養湖","","","16km","39.1m","657  m","5〜7 m","","","21 m","",""
"石廊崎","[石廊崎（静岡県）] 石廊崎 （いろうざき）は 静岡県 伊豆半島 最南端の 賀茂郡 南伊豆町 にある 岬 である。荒々しい 海岸 の景色で 観光地 になっている。","https://ja.wikipedia.org/wiki/石廊崎","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"日本平","[日本平（静岡県）] 日本平 （にほんだいら）は、 静岡県 静岡市 駿河区 と 清水区 の境界にある 丘陵 地、および 景勝地 である。名称は 日本武尊 （やまとたけるのみこと）伝説に由来する。","https://ja.wikipedia.org/wiki/日本平","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","北緯34度58分25.582秒東経138度27分56.664秒","日本静岡県静岡市駿河区・清水区","北緯34度58分25.582秒東経138度27分56.664秒﻿ / ﻿北緯34.97377278度 東経138.46574000度﻿ /34.97377278; 138.46574000座標:北緯34度58分25.582秒東経138度27分56.664秒﻿ / ﻿北緯34.97377278度 東経138.46574000度﻿ /34.97377278; 138.46574000","","307m","","","","","","","","","","","","","","",""
"寸又峡","[寸又峡（静岡県）] 寸又峡 （すまたきょう）は 静岡県 中部、 川根本町 にある 大井川 支流、 寸又川 の 峡谷 。全長16kmで、比高は100mに達する。","https://ja.wikipedia.org/wiki/寸又峡","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"伊良湖岬","[伊良湖岬（愛知県）] 伊良湖岬 （いらごみさき）は、 愛知県 田原市 にあり、 太平洋 と 三河湾 を望む 渥美半島 先端の 岬 である。","https://ja.wikipedia.org/wiki/伊良湖岬","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
