"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","開業年月日","駅構造","ホーム","所在地","備考","電報略号","乗車人員,-統計年度-","駅番号","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","種別","起終点","駅数","開業","所有者"
"相可駅","相可駅（おうかえき）","https://ja.wikipedia.org/wiki/相可駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯34度30分9.87秒東経136度32分43.99秒","紀勢本線","46.4 km（亀山起点）","東海旅客鉄道（JR東海）","1923年（大正12年）3月20日","地上駅","1面1線","三重県多気郡多気町相可1146北緯34度30分9.87秒東経136度32分43.99秒","駅員無配置駅","オウ","233人/日（降車客含まず）-2019年-","","","","","","","","",""
"扇大橋駅","扇大橋駅（おうぎおおはしえき）","https://ja.wikipedia.org/wiki/扇大橋駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯35度45分50.2秒東経139度46分14.9秒","日暮里・舎人ライナー","4.1 km（日暮里起点）","東京都交通局","2008年（平成20年）3月30日[1]","高架駅","1面2線","東京都足立区扇二丁目25-7北緯35度45分50.2秒東経139度46分14.9秒﻿ / ﻿北緯35.763944度 東経139.770806度﻿ /35.763944; 139.770806﻿ (扇大橋駅)座標:北緯35度45分50.2秒東経139度46分14.9秒﻿ / ﻿北緯35.763944度 東経139.770806度﻿ /35.763944; 139.770806﻿ (扇大橋駅)","無人駅","扇（駅名略称）","","NT06","10,144人/日-2019年-","","","","","","",""
"扇沢駅","扇沢駅（おうぎさわえき）","https://ja.wikipedia.org/wiki/扇沢駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯36度33分30.6秒東経137度43分15.1秒","関電トンネル電気バス","0.0 km（扇沢起点）","関西電力","1964年（昭和39年）8月1日[1]","地上駅","","長野県大町市平2117北緯36度33分30.6秒東経137度43分15.1秒﻿ / ﻿北緯36.558500度 東経137.720861度﻿ /36.558500; 137.720861﻿ (扇沢駅)座標:北緯36度33分30.6秒東経137度43分15.1秒﻿ / ﻿北緯36.558500度 東経137.720861度﻿ /36.558500; 137.720861﻿ (扇沢駅)","標高：1,433mキロ程はトロリーバス時代のものトロリーバスから電気バスへの転換により、現在はバス停留所となっている。","","","","","","","","","","",""
"扇田駅","扇田駅（おうぎたえき）","https://ja.wikipedia.org/wiki/扇田駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯40度13分46.81秒東経140度34分20.74秒","■花輪線","98.6 km（好摩起点）","東日本旅客鉄道（JR東日本）","1914年（大正3年）7月1日","地上駅","1面1線","秋田県大館市比内町扇田字上中島12北緯40度13分46.81秒東経140度34分20.74秒座標:北緯40度13分46.81秒 東経140度34分20.74秒","無人駅","オフ←ヲフ","103人/日（降車客含まず）-2001年-","","","","","","","","",""
"扇町駅 (神奈川県)","扇町駅 (神奈川県)（おうぎまちえき・東日本旅客鉄道鶴見線）","https://ja.wikipedia.org/wiki/扇町駅_(神奈川県)","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯35度30分5秒東経139度43分20.6秒","■鶴見線","7.0 km（鶴見起点）","東日本旅客鉄道（JR東日本）日本貨物鉄道（JR貨物）","1928年（昭和3年）8月18日[1]","地上駅","1面1線","川崎市川崎区扇町4-5北緯35度30分5秒東経139度43分20.6秒﻿ / ﻿北緯35.50139度 東経139.722389度﻿ /35.50139; 139.722389﻿ (扇町駅)","無人駅（乗車駅証明書発行機 有）[2]横浜市内駅","アチ","611人/日（降車客含まず）-2008年-","JI10","","","","","","","",""
"扇町駅 (大阪府)","扇町駅 (大阪府)（おうぎまちえき・大阪メトロ堺筋線）","https://ja.wikipedia.org/wiki/扇町駅_(大阪府)","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯34度42分13.71秒東経135度30分39秒","●堺筋線","0.7 km（天神橋筋六丁目起点）","大阪市高速電気軌道(Osaka Metro)","1969年（昭和44年）12月6日","地下駅","2面2線","大阪市北区天神橋四丁目北緯34度42分13.71秒東経135度30分39秒﻿ / ﻿北緯34.7038083度 東経135.51083度﻿ /34.7038083; 135.51083﻿ (扇町駅)","* 公式サイト等ではマクロン無しの「Ogimachi」表記だが、実際の駅名標ではマクロン付きで「Ōgimachi」と表記されている。","","6,640人/日（降車客含まず）-2020年-"," K12 ","14,061人/日-2020年-","天満駅（JR大阪環状線）","","","","","",""
"王子駅","王子駅（おうじえき・東日本旅客鉄道京浜東北線）","https://ja.wikipedia.org/wiki/王子駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","","","","東日本旅客鉄道（JR東日本・駅詳細）東京地下鉄（東京メトロ・駅詳細）東京都交通局（駅詳細）","","","","東京都北区王子一丁目","","","","","","","","","","","",""
"王寺駅","王寺駅（おうじえき・西日本旅客鉄道関西本線・和歌山線・近鉄生駒線）","https://ja.wikipedia.org/wiki/王寺駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","","","","西日本旅客鉄道（JR西日本・駅詳細）近畿日本鉄道（近鉄・駅詳細）","","","","奈良県北葛城郡王寺町久度","","","","","","","","","","","",""
"王子駅","王子駅前駅（おうじえきまええき）","https://ja.wikipedia.org/wiki/王子駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","","","","東日本旅客鉄道（JR東日本・駅詳細）東京地下鉄（東京メトロ・駅詳細）東京都交通局（駅詳細）","","","","東京都北区王子一丁目","","","","","","","","","","","",""
"王子保駅","王子保駅（おうしおえき）","https://ja.wikipedia.org/wiki/王子保駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯35度51分59秒東経136度9分56秒","■北陸本線","76.7 km（米原起点）","西日本旅客鉄道（JR西日本）","1927年（昭和2年）12月20日","地上駅","2面2線","福井県越前市四郎丸町55-4北緯35度51分59秒東経136度9分56秒﻿ / ﻿北緯35.86639度 東経136.16556度﻿ /35.86639; 136.16556座標:北緯35度51分59秒東経136度9分56秒﻿ / ﻿北緯35.86639度 東経136.16556度﻿ /35.86639; 136.16556","無人駅","オウ←ヲウ","271人/日（降車客含まず）-2019年-","","","","","","","","",""
"王子神谷駅","王子神谷駅（おうじかみやえき）","https://ja.wikipedia.org/wiki/王子神谷駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯35度45分54.4秒東経139度44分8.8秒","●[1]南北線","18.6 km（目黒起点）","東京地下鉄（東京メトロ）","1991年（平成3年）11月29日","地下駅","2面2線","東京都北区王子五丁目2-11北緯35度45分54.4秒東経139度44分8.8秒﻿ / ﻿北緯35.765111度 東経139.735778度﻿ /35.765111; 139.735778﻿ (王子神谷駅)座標:北緯35度45分54.4秒東経139度44分8.8秒﻿ / ﻿北緯35.765111度 東経139.735778度﻿ /35.765111; 139.735778﻿ (王子神谷駅)","","オカ","","N17[1]","37,449人/日-2019年-","","","","","","",""
"王子公園駅","王子公園駅（おうじこうえんえき）","https://ja.wikipedia.org/wiki/王子公園駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯34度42分36.6秒東経135度13分6.15秒","■神戸本線","29.2 km（大阪梅田起点）","阪急電鉄","1936年（昭和11年）4月1日[2]","高架駅[2]","2面2線[2]","神戸市灘区王子町一丁目4番20号[1]北緯34度42分36.6秒東経135度13分6.15秒﻿ / ﻿北緯34.710167度 東経135.2183750度﻿ /34.710167; 135.2183750座標:北緯34度42分36.6秒東経135度13分6.15秒﻿ / ﻿北緯34.710167度 東経135.2183750度﻿ /34.710167; 135.2183750","*1984年（昭和59年）に西灘駅から改称[2]","","10,992人/日（降車客含まず）-2019年-","HK14","","","（通年平均）17,996人/日-2019年-","","","","",""
"網田駅","網田駅（おうだえき・九州旅客鉄道三角線）","https://ja.wikipedia.org/wiki/網田駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯32度40分3.38秒東経130度32分48.56秒","三角線（あまくさみすみ線）","14.5 km（宇土起点）","九州旅客鉄道（JR九州）","1899年（明治32年）12月25日[1]","地上駅","2面2線[1]","熊本県宇土市下網田町[1]北緯32度40分3.38秒東経130度32分48.56秒","簡易委託駅","オタ","193人/日（降車客含まず）-2005年-","","","","","","","","",""
"麻生田駅","麻生田駅（おうだえき・三岐鉄道北勢線）","https://ja.wikipedia.org/wiki/麻生田駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯35度8分1.65秒東経136度32分8.58秒","■北勢線","18.1 km（西桑名起点）","三岐鉄道","1916年（大正5年）8月6日[1]","地上駅","1面1線","三重県いなべ市北勢町麻生田北緯35度8分1.65秒東経136度32分8.58秒﻿ / ﻿北緯35.1337917度 東経136.5357167度﻿ /35.1337917; 136.5357167座標:北緯35度8分1.65秒東経136度32分8.58秒﻿ / ﻿北緯35.1337917度 東経136.5357167度﻿ /35.1337917; 136.5357167","無人駅（自動券売機 有）","オウタ","134人/日（降車客含まず）-2019年-","","","","","","","","",""
"相知駅","相知駅（おうちえき）","https://ja.wikipedia.org/wiki/相知駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯33度20分49.6秒東経130度1分11.28秒","■唐津線","26.0 km（久保田起点）","九州旅客鉄道（JR九州）","1899年（明治32年）6月13日","地上駅","2面2線","佐賀県唐津市相知町相知30-2北緯33度20分49.6秒東経130度1分11.28秒座標:北緯33度20分49.6秒 東経130度1分11.28秒","簡易委託駅","オチ","220人/日（降車客含まず）-2016年-","","439人/日-2016年-","","","","","","",""
"奥武山公園駅","奥武山公園駅（おうのやまこうえんえき）","https://ja.wikipedia.org/wiki/奥武山公園駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯26度12分2.73秒東経127度40分31.05秒","■沖縄都市モノレール線（ゆいレール）","3.8 km（那覇空港起点）","沖縄都市モノレール","2003年（平成15年）8月10日[2][3]","高架駅","1面2線","沖縄県那覇市奥武山町316-2地先北緯26度12分2.73秒東経127度40分31.05秒﻿ / ﻿北緯26.2007583度 東経127.6752917度﻿ /26.2007583; 127.6752917座標:北緯26度12分2.73秒東経127度40分31.05秒﻿ / ﻿北緯26.2007583度 東経127.6752917度﻿ /26.2007583; 127.6752917","","","1,367人/日（降車客含まず）-2020年-","4","","","","","","","",""
"黄檗駅","黄檗駅（おうばくえき）","https://ja.wikipedia.org/wiki/黄檗駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","","","","京阪電気鉄道（駅詳細）西日本旅客鉄道（JR西日本・駅詳細）","","","","京都府宇治市五ケ庄","","","","","","","","","","","",""
"青海駅 (新潟県)","青海駅 (新潟県)（おうみえき・えちごトキめき鉄道日本海ひすいライン）","https://ja.wikipedia.org/wiki/青海駅_(新潟県)","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯37度1分21.88秒東経137度47分40.19秒","■日本海ひすいライン[1]","13.9km（市振起点）泊から23.3km米原から308.4 km","えちごトキめき鉄道[1]日本貨物鉄道（JR貨物）","1912年（大正元年）10月15日[1]","地上駅（橋上駅）[1]","2面4線[1]","新潟県糸魚川市大字青海853[1]北緯37度1分21.88秒東経137度47分40.19秒﻿ / ﻿北緯37.0227444度 東経137.7944972度﻿ /37.0227444; 137.7944972座標:北緯37度1分21.88秒東経137度47分40.19秒﻿ / ﻿北緯37.0227444度 東経137.7944972度﻿ /37.0227444; 137.7944972","無人駅（自動券売機 有）","アミ[1]","131人/日（降車客含まず）-2019年-","","","","","","","","",""
"近江今津駅","近江今津駅（おうみいまづえき）","https://ja.wikipedia.org/wiki/近江今津駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","","B湖西線","53.2km（山科起点）京都から58.7 km","西日本旅客鉄道（JR西日本）","1974年（昭和49年）7月20日","高架駅","2面4線","","直営駅みどりの窓口有","オイ","1,989人/日（降車客含まず）-2019年-","JR-B14","","","","","","","",""
"青海川駅","青海川駅（おうみがわえき）","https://ja.wikipedia.org/wiki/青海川駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯37度20分46.27秒東経138度29分9.8秒","■信越本線","29.6 km（直江津起点）","東日本旅客鉄道（JR東日本）","1899年（明治32年）7月28日[1][2]","地上駅","2面2線[1]","新潟県柏崎市大字青海川[1]北緯37度20分46.27秒東経138度29分9.8秒﻿ / ﻿北緯37.3461861度 東経138.486056度﻿ /37.3461861; 138.486056座標:北緯37度20分46.27秒東経138度29分9.8秒﻿ / ﻿北緯37.3461861度 東経138.486056度﻿ /37.3461861; 138.486056","無人駅[1]","ミワ","","","","","","","","","",""
"青海駅 (新潟県)","青海工場駅（おうみこうじょうえき）","https://ja.wikipedia.org/wiki/青海駅_(新潟県)","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯37度1分21.88秒東経137度47分40.19秒","■日本海ひすいライン[1]","13.9km（市振起点）泊から23.3km米原から308.4 km","えちごトキめき鉄道[1]日本貨物鉄道（JR貨物）","1912年（大正元年）10月15日[1]","地上駅（橋上駅）[1]","2面4線[1]","新潟県糸魚川市大字青海853[1]北緯37度1分21.88秒東経137度47分40.19秒﻿ / ﻿北緯37.0227444度 東経137.7944972度﻿ /37.0227444; 137.7944972座標:北緯37度1分21.88秒東経137度47分40.19秒﻿ / ﻿北緯37.0227444度 東経137.7944972度﻿ /37.0227444; 137.7944972","無人駅（自動券売機 有）","アミ[1]","131人/日（降車客含まず）-2019年-","","","","","","","","",""
"近江塩津駅","近江塩津駅（おうみしおつえき）","https://ja.wikipedia.org/wiki/近江塩津駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯35度32分22.7秒東経136度9分4.84秒","A北陸本線","31.4 km（米原起点）","西日本旅客鉄道（JR西日本）","1957年（昭和32年）10月1日","高架駅（盛土上）","2面4線","滋賀県長浜市西浅井町余245北緯35度32分22.7秒東経136度9分4.84秒﻿ / ﻿北緯35.539639度 東経136.1513444度﻿ /35.539639; 136.1513444﻿ (近江塩津駅)座標:北緯35度32分22.7秒東経136度9分4.84秒﻿ / ﻿北緯35.539639度 東経136.1513444度﻿ /35.539639; 136.1513444﻿ (近江塩津駅)","簡易委託駅","オオ","207人/日（降車客含まず）-2019年-","JR-A03","","","","","","","",""
"近江神宮前駅","近江神宮前駅（おうみじんぐうまええき）","https://ja.wikipedia.org/wiki/近江神宮前駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯35度1分41.07秒東経135度51分21.02秒","▼石山坂本線","9.1 km（石山寺起点）","京阪電気鉄道","1927年（昭和2年）5月15日","地上駅","2面2線","滋賀県大津市錦織二丁目7-16北緯35度1分41.07秒東経135度51分21.02秒﻿ / ﻿北緯35.0280750度 東経135.8558389度﻿ /35.0280750; 135.8558389﻿ (近江神宮前駅*)座標:北緯35度1分41.07秒東経135度51分21.02秒﻿ / ﻿北緯35.0280750度 東経135.8558389度﻿ /35.0280750; 135.8558389﻿ (近江神宮前駅*)","","","699人/日（降車客含まず）-2019年-","OT  16","1,317人/日-2019年-","","","","","","",""
"近江高島駅","近江高島駅（おうみたかしまえき）","https://ja.wikipedia.org/wiki/近江高島駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯35度17分33.47秒東経136度0分37.38秒","B湖西線","40.9km（山科起点）京都から46.4 km","西日本旅客鉄道（JR西日本）","1974年（昭和49年）7月20日","高架駅","2面2線","滋賀県高島市勝野2245-5北緯35度17分33.47秒東経136度0分37.38秒﻿ / ﻿北緯35.2926306度 東経136.0103833度﻿ /35.2926306; 136.0103833座標:北緯35度17分33.47秒東経136度0分37.38秒﻿ / ﻿北緯35.2926306度 東経136.0103833度﻿ /35.2926306; 136.0103833","業務委託駅","オタ","822人/日（降車客含まず）-2019年-","JR-B17","","","","","","","",""
"近江長岡駅","近江長岡駅（おうみながおかえき）","https://ja.wikipedia.org/wiki/近江長岡駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯35度21分33秒東経136度22分26.2秒","CA東海道本線（名古屋地区）","435.2 km（東京起点）","東海旅客鉄道（JR東海）日本貨物鉄道（JR貨物）","1889年（明治22年）7月1日","地上駅","2面4線","滋賀県米原市長岡1700-2北緯35度21分33秒東経136度22分26.2秒","業務委託駅（夜間無人駅）JR全線きっぷうりば有*1914年に長岡駅から改称。","ウナ","829人/日（降車客含まず）-2019年-","CA  81 ","","","","","","","",""
"近江中庄駅","近江中庄駅（おうみなかしょうえき）","https://ja.wikipedia.org/wiki/近江中庄駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯35度26分29.93秒東経136度2分18.31秒","B湖西線","58.0km（山科起点）京都から63.5 km","西日本旅客鉄道（JR西日本）","1974年（昭和49年）7月20日","高架駅","2面2線","滋賀県高島市マキノ町中庄中下1043北緯35度26分29.93秒東経136度2分18.31秒﻿ / ﻿北緯35.4416472度 東経136.0384194度﻿ /35.4416472; 136.0384194座標:北緯35度26分29.93秒東経136度2分18.31秒﻿ / ﻿北緯35.4416472度 東経136.0384194度﻿ /35.4416472; 136.0384194","無人駅","オナ","124人/日（降車客含まず）-2019年-","JR-B13","","","","","","","",""
"近江八幡駅","近江八幡駅（おうみはちまんえき）","https://ja.wikipedia.org/wiki/近江八幡駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","","","","西日本旅客鉄道（JR西日本・駅詳細）近江鉄道（駅詳細）","","","","滋賀県近江八幡市鷹飼町","","","","","","","","","","","",""
"近江舞子駅","近江舞子駅（おうみまいこえき）","https://ja.wikipedia.org/wiki/近江舞子駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯35度14分9.69秒東経135度57分32.68秒","B湖西線","32.2km（山科起点）京都から37.7 km","西日本旅客鉄道（JR西日本）","1974年（昭和49年）7月20日","高架駅","2面4線","滋賀県大津市南小松カヤ1109-8北緯35度14分9.69秒東経135度57分32.68秒﻿ / ﻿北緯35.2360250度 東経135.9590778度﻿ /35.2360250; 135.9590778座標:北緯35度14分9.69秒東経135度57分32.68秒﻿ / ﻿北緯35.2360250度 東経135.9590778度﻿ /35.2360250; 135.9590778","業務委託駅","オマ","754人/日（降車客含まず）-2019年-","JR-B19","","","","","","","",""
"青梅駅","青梅駅（おうめえき）","https://ja.wikipedia.org/wiki/青梅駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯35度47分25秒東経139度15分30.2秒","■青梅線","18.5 km（立川起点）東京から56.0 km","東日本旅客鉄道（JR東日本）","1894年（明治27年）11月19日[2]","地上駅","1面2線[1]","東京都青梅市本町192北緯35度47分25秒東経139度15分30.2秒﻿ / ﻿北緯35.79028度 東経139.258389度﻿ /35.79028; 139.258389座標:北緯35度47分25秒東経139度15分30.2秒﻿ / ﻿北緯35.79028度 東経139.258389度﻿ /35.79028; 139.258389","直営駅（管理駅）みどりの窓口有[1]","オメ←ヲメ","6,349人/日（降車客含まず）-2019年-","JC62[報道 1]","","","","","","","",""
