"タイトル","データＩＤ","ファイル拡張子","タイル名","有効ズームレベル","整備範囲","概要","地図データURL","地図データ提供先名","地図データ提供先URL","標高データID","BaseMapID","透過色","BaseMap上位"
"色別標高図","relief","png","12.色別標高図(relief)","6-15","日本全国","基礎地図情報(数値標高モデル)および日本海洋データ・センタが提供する500mメッシュ海底地形データをもとに作成。標高の変化を色の変化を用いて視覚的に表現したもの","https://cyberjapandata.gsi.go.jp/xyz/relief/{z}/{x}/{y}.png","国土地理院","https://maps.gsi.go.jp/development/ichiran.html","dem","","","True"
"活断層図(都市圏活断層図)","afm","png","13.活断層図(都市圏活断層)(afm)","7-16","日本全国の活断層","地震被害の軽減に向けて整備された。地形図、活断層とその状態、地形分類を可視化したもの","https://cyberjapandata.gsi.go.jp/xyz/afm/{z}/{x}/{y}.png","国土地理院","https://maps.gsi.go.jp/development/ichiran.html","dem","","",""
"宅地利用動向調査成果","lum4bl_capital1994","png","14.宅地利用動向調査成果(lum4bl_capital1994)","6-16","首都圏、(中部圏、近畿圏)","宅地利用動向調査の結果(山林・荒地、田、畑・その他の農地、造成中地、空地、工業用地一般低層住宅地、密集低層住宅地、中・高層住宅、商業・業務用地、道路用地、公園・緑地など、その他の公共施設用地、河川・湖沼など、その他、海、対象地域外)を可視化したもの首都圏は1994年、中部圏は1997年、近畿圏は1996年のデータが最新である","https://cyberjapandata.gsi.go.jp/xyz/lum4bl_capital1984/{z}/{x}/{y}.png","国土地理院","https://maps.gsi.go.jp/development/ichiran.html","dem","","",""
"全国植生指標データ","ndvi_250m_2010_10","png","15.全国植生指標データ(ndvi_250m_2010_10)"," 6-10","日本とその周辺","植生指標とは植物による光の反射の特徴を生かし衛星データを使って簡易な計算式で植生の状況を把握することを目的として考案された指標で植物の量や活力を表している","https://cyberjapandata.gsi.go.jp/xyz/ndvi_250m_2010_10/{z}/{x}/{y}.png","国土地理院","https://maps.gsi.go.jp/development/ichiran.html","dem","","","True"
"磁気図(2020.0年値)","jikizu2020_chijiki_h","png","17.磁気図(jikizu2020_chijiki_h)","6-8","日本全国","時期の偏角、伏角、全磁力、水平分力、鉛直分力を示したもの","https://cyberjapandata.gsi.go.jp/xyz/jikizu2020_chijiki_h/{z}/{x}/{y}.png","国土地理院","https://maps.gsi.go.jp/development/ichiran.html","dem","","",""
"オープンストリートマップ","osm","png","世界地図","0-18","世界各国","オープンストリートマップ（OpenStreetMap、OSM）は自由に利用でき、なおかつ編集機能のある世界地図を作る共同作業プロジェクトである","https://tile.openstreetmap.org/{z}/{x}/{y}.png","オープンストリートマップ","https://openstreetmap.jp/","demgm","","",""
"20万分の1日本シームレス地質図V2","seamless_v2","png","日本地図","3-13","日本全国","産業技術総合研究所地質調査総合センターが提供する日本全国統一の凡例を用いた地質図をタイル化したものです。産総研地質調査総合センターウェブサイト利用規約に従って利用できる","https://gbank.gsj.jp/seamless/v2/api/1.2.1/tiles/{z}/{y}/{x}.png","地震ハザードステーション","https://www.j-shis.bosai.go.jp/landslidemap","dem","","FFFFFF","False"
"赤色立体地図","sekishoku","png","標高・土地の凹凸 10ｍメッシュ（標高）DEM10B","2～14","日本全国","赤色立体地図はアジア航測株式会社の特許（第3670274号等）を使用して作成したものです。","https://cyberjapandata.gsi.go.jp/xyz/sekishoku/{z}/{x}/{y}.png","国土地理院","https://maps.gsi.go.jp/development/ichiran.html","dem","blank","FFFFFF","True"
"洪水浸水想定区域（想定最大規模）","01_flood_l2_shinsuishin_data","png","ハザードマップ","２～１７","都道府県","本データは、洪水浸水想定区域（想定最大規模）_国管理河川と洪水浸水想定区域（想定最大規模）_都道府県管理河川のデータを統合したものです。","https://disaportaldata.gsi.go.jp/raster/01_flood_l2_shinsuishin_data/{z}/{x}/{y}.png","ハザードマップポータルサイト","https://disaportal.gsi.go.jp/hazardmap/copyright/opendata.html","","pale","","True"
"地すべり地形分布図日本全国版","landslide","png","地すべり地形分布図日本全国版","5～15"," 日本全国（関東地方中央部、東京都及び鹿児島県の島嶼部並びに沖縄県を除く）","防災科学技術研究所地震ハザードステーション（J-SHIS）が提供する地すべり地形分布図日本全国版を表示します。地すべり地形分布図は、地すべり変動によって形成された地形的痕跡である「地すべり地形」の外形と基本構造（滑落崖・移動体）を空中写真判読によりマッピングし、1:50,000地形図にその分布を示した図面です。","https://jmapweb3v.bosai.go.jp/map/xyz/landslide/{z}/{x}/{y}.png","地震ハザードステーション","https://www.j-shis.bosai.go.jp/landslidemap","dem","pale","FFFFFF","False"
"雨雲レーダー","jmatile","png","全国","3-10","日本全国","気象庁が提供する「雨雲の動き」を表示、レーダー観測に基づく5分ごとの降水強度分布を表示する。1時間先までの予報を表示できる。高解像度降水ナウキャストは、気象レーダーの観測データを利用して、250m解像度で降水の短時間予報を提供している。","https://www.jma.go.jp/bosai/jmatile/data/nowc/{yyyyMMddHHmmss_UTC_10_10}/none/{yyyyMMddHHmmss_UTC0_10_10}/surf/hrpns/{z}/{x}/{y}.png","気象庁高解像度降水ナウキャスト","https://www.jma.go.jp/jma///kishou/know/kurashi/highres_nowcast.html","dem","pale","","False"
"今後の雨(降水短時間予報)","jmatile_rastf","png","今後の雨(降水短時間予報)","3 - 10","日本全国","レーダーとアメダスなどの降水量観測地から作成した降水量分布、15時間先までの1時間ごとの降水量分布を予測したもの。6時間先までの降水量予測は10分ごと7時間から15時間先までの降水量予測は1時間ごとに更新している。","https://www.jma.go.jp/bosai/jmatile/data/rasrf/{yyyyMMddHHmmss_UTC_60}/immed/{yyyyMMddHHmmss_UTC0_60}/surf/rasrf/{z}/{x}/{y}.png","気象庁 降水短時間予報","https://www.jma.go.jp/jma/kishou/know/kurashi/kotan_nowcast.html","dem","pale","","False"
"天気分布予報(気温)","jmatile_wdist","png","気温の分布予報","3-10","日本全国","日本全国を5km四方のメッシュに分け、そのそれぞれについて以下の要素の明日24時までの予報を掲載、色別で表示しているため、全国または各地域の天気、気温、降水量、降雪量の分布と変化傾向がひと目でわかります。毎日5時、11時、17時に発表で3時間おきの予報値をだす。","https://www.jma.go.jp/bosai/jmatile/data/wdist/{yyyyMMddHHmmss_UTC1}/none/{yyyyMMddHHmmss_UTC2}/surf/temp/{z}/{x}/{y}.png","気象庁 天気分布予報","https://www.jma.go.jp/jma/kishou/know/kurashi/bunpu.html","","blank","","True"
"標高タイル","dem_png","png","標高タイル（基盤地図情報数値標高モデル）","1～14","","基盤地図情報数値標高モデルを線形的に平滑化することによって得られた値","https://cyberjapandata.gsi.go.jp/xyz/dem_png/{z}/{x}/{y}.png","","","","","","False"
"stamen_toner","stamen_toner","png","白黒地図","0-18","世界","ハイコントラスト B+W (黒と白) マップは、私たちのドットスポッティング プロジェクトで紹介されています。彼らはデータマッシュアップや川の水上宿や沿岸地域を探索するのに最適です。6つの味で利用できる:標準的なトナー、ハイブリッド、ラベル、ライン、背景、およびライト。","https://stamen-tiles.a.ssl.fastly.net/toner/{z}/{x}/{y}.png","stame","http://maps.stamen.com/#terrain/12/37.7706/-122.3782","demgm","","",""
"stamen_terrain","stamen_terrain","jpg","地形図","0-18","世界","丘の陰の陰や自然な植生の色を特徴とする地形マップを自分で見つめてください。これらのマップは、二重道路道路の高度なラベリングとラインワークの一般化を示しています。地形はジェム・スピアとネルソン・ミナルと共同で開発されました。4 つのフレーバーで利用できます:標準地形、ラベル、ライン、および背景。","https://stamen-tiles.a.ssl.fastly.net/terrain/{z}/{x}/{y}.jpg","stamen","http://maps.stamen.com/#terrain/12/37.7706/-122.3782","demgm","","",""
"stamen_watercolor","stamen_watercolor","jpg","水彩画地図","0-18","世界","手描きの地図を連想させる、私たちの水彩画マップは、任意のマップに暖かいポップを追加するために、紙のテクスチャ上にラスターエフェクトエリアの流れと有機エッジを適用します。水彩画は、自転車の肖像画プロジェクトに触発されました.彼の初期のアドバイスのためにキャシディ・カーティスに感謝します。","https://stamen-tiles.a.ssl.fastly.net/watercolor/{z}/{x}/{y}.jpg","stamen","http://maps.stamen.com/#terrain/12/37.7706/-122.3782","demgm","","",""
"ESRI World Topo","World_Topo_Map","png","世界地図","0-20","世界","","http://services.arcgisonline.com/ArcGIS/rest/services/World_Topo_Map/MapServer/tile/{z}/{y}/{x}.png","ESRI World Topo","https://qms.nextgis.com/geoservices/519/","demgm","","",""
"Esri Ocean Base Map","Ocean_Basemap","png","海洋地図","0-13","世界","","http://server.arcgisonline.com/ArcGIS/rest/services/Ocean_Basemap/MapServer/tile/{z}/{y}/{x}.png","Esri Ocean Base Map","http://www.esrij.com/","demgm","","",""
"Outdoors map","outdoors","png","アウトドア用世界地図","0-18","世界","","http://tile.thunderforest.com/outdoors/{z}/{x}/{y}.png","Thunderforest Outdoors","https://wiki.openstreetmap.org/wiki/Tile_servers","demgm","","",""
"エコリス 陰影起伏","ecoris_hill","png","エコリス 陰影起伏","5～15","全国","基盤地図情報 数値標高データ10mメッシュから作成した陰影起伏図です。","https://map.ecoris.info/tiles/hill/{z}/{x}/{y}.png","エコリス地図タイル","https://map.ecoris.info/","","","",""
"MIERUNE","mierune","png","道路、登山道","9-18","全国","オープンストリートマップに独自の表現を加味したスタイリッシュな地図配信サービスです。民間企業が配信していますが、MIERUNE ColorとMIERUNE MONOは無料で利用できます。 https://github.com/MIERUNE/MIERUNE-Color","https://tile.mierune.co.jp/mierune/{z}/{x}/{y}.png","MIERUNE","https://www.mierune.co.jp/","","pale","FEFEFE,FEFFFF,FFFFFF","False"
"第5回 植生図","ecoris_vege","png","植生図","5～15","全国","第5回 自然環境保全基礎調査 植生調査結果を着色したものです","https://map.ecoris.info/tiles/vege/{z}/{x}/{y}.png","エコリス地図タイル","https://map.ecoris.info/","","","",""
"田んぼ","ecoris_tanbo","png","https://map.ecoris.info/tiles/tanbo/{z}/{x}/{y}.png","5～15","全国","第5回 自然環境保全基礎調査 植生調査結果から水田雑草群落を抽出し着色したものです。","https://map.ecoris.info/tiles/tanbo/{z}/{x}/{y}.png","エコリス地図タイル","https://map.ecoris.info/","","","",""
"スギ・ヒノキ・サワラ植林","sugihinoki","png","スギ・ヒノキ・サワラ植林","5-5","全国","第5回 自然環境保全基礎調査 植生調査結果GISデータ(環境省生物多様性センター)からスギ・ヒノキ・サワラ植林を抽出し、弊社が着色し加工したものです。","https://map.ecoris.info/tiles/sugihinoki/{z}/{x}/{y}.png","エコリス地図","https://map.ecoris.info/","","blank","","True"
"湖水深タイル","lakedepth","png","湖水深タイル","14","湖沼調査を実施した湖沼のうち「湖沼データ」として公開済みの湖沼部","湖沼調査で得られた水深グリッド（DEM）を線形的に平滑化することによって得られた値。湖水深は各湖沼の基準水面からの深さになります。また、測量年が古い湖沼もあり、測量当時と比べ現在の湖底地形が変化している場合があります。","https://cyberjapandata.gsi.go.jp/xyz/lakedepth/{z}/{x}/{y}.png","","","","","","False"
"胆振東部地震安平地区","20180906hokkaido_abira_0911do","png","平成30年北海道胆振東部地震 安平地区 正射画像（2018年9月11日撮影）","10～18","北海道勇払郡安平町・厚真町など","提供開始 平成30年9月13日","","","","","pale","","False"
"振東部地震 厚真川地区","20180906hokkaido_atsuma_0911do","png","平成30年北海道胆振東部地震 厚真川地区 正射画像（2018年9月11日撮影）","10～18","北海道勇払郡厚真町・安平町・むかわ町","提供開始 平成30年9月13日  簡易的な方法でオルソ画像を作成しているため、局所的に位置ずれが生じている場合があります。","","","","","","",""
"胆振東部地震 厚真東部地区","20180906hokkaido_atsumatoubu_0911do","png","平成30年北海道胆振東部地震 厚真東部地区 正射画像（2018年9月11日撮影）","10～18","北海道勇払郡厚真町・むかわ町、沙流郡平取町","提供開始 平成30年9月12日","","","","","","",""
"令和元年台風第19号 正射画像 多摩川地区","20191012typhoon19_tamagawa_1013do","png","令和元年台風第19号 正射画像 多摩川地区（東京都大田区、世田谷区、八王子市、立川市、府中市、昭島市、調布市、日野市、国立市、福生市、狛江市、多摩市、稲城市、あきる野市、神奈川県川崎市）多摩川地区（10/13撮影）","10～18","東京都大田区、世田谷区、八王子市、立川市、府中市、昭島市、調布市、日野市、国立市、福生市、狛江市、多摩市、稲城市、あきる野市、神奈川県川崎市","提供開始 令和元年10月23日 写真から自動処理したものなので、構造物等の歪み、不連続等が発生している箇所があります。","","","","","pale","","False"
"東日本大震災後正射画像（2011年3月～2011年4月撮影）","toho1","jpg","東日本大震災後正射画像（2011年3月～2011年4月撮影）","15, 16, 17","","提供開始 平成25年10月30日","","","","","pale","","False"
